pis,start,end,amount,agency,relationship,id,title,start-year,end-year
Carbone,7/1/12,6/30/15,198197,Harvard University,Institutes of higher education,20120259,Measuring and Modeling the Temporal Dynamics of Nonstructural Carbohydrate Pools in Forest Trees.,2012,2015
Carbone,7/1/13,6/30/16,315559,Harvard University,Institutes of higher education,20130476,Measuring and Modeling the Temporal Dynamics of Nonstructural Carbohydrate Pools in Forest Trees,2013,2016
"Carvalho, Bookhagen, Chadwick, Jones, Roberts",7/1/14,6/30/19,3801272,National Science Foundation,Federal agencies,20140275,WSC-Category 2: Hydrological and Geomorphological Impacts of South American Monsoon Extreme Events in the Peruvian Andes,2014,2019
"Carvalho, Carr, Clarke, Gautier, Jones",7/1/10,6/30/14,1399996,National Science Foundation,Federal agencies,20100661,"CNH: Collaborative Research: Climate Change Within the South American Monsoon and its Human Dimension: Impacts, Vulnerability and Feedbacks.",2010,2014
Clark,7/1/12,6/30/15,260000,UC Santa Cruz,UC-wide,20120808,New Tracers for Managed Aquifer Recharge,2012,2015
Clarke,1/1/14,12/31/16,81084,National Science Foundation,Federal agencies,20140036,Collaborative Research: Dynamic Response of the Soil Production Function to Erosion Rates,2014,2016
"Costello, Lenihan, Valencia",6/1/10,5/31/11,15000,UC Sea Grant College Program,UC-wide,20101230,Improving Estimates of Red Abalone(Haliotis rufescens) Growth in the Channel Islands to Inform Optimal Recovery.,2010,2011
Cottle,7/1/10,6/30/13,12676,University of Tennessee,Institutes of higher education,20100662,"Mountain Science, Mountain Adventure: Drawing Parallels Between the Appalachians and the Himalayas.",2010,2013
Cottle,1/1/11,12/31/13,77379,National Science Foundation,Federal agencies,20101630,"Collaborative Research: Origins of Granitic Magmas over 130 m.y. of Great Basin History from Detailed Geochronology, Geochemistry and Petrography of Accessory Minerals. ",2011,2013
Cottle,4/15/11,4/14/16,827581,US Department of Energy,Federal agencies,20110540,Quantifying Scales of Actinide Mobility in Geologic Matrices.,2011,2016
Cottle,7/1/13,6/30/18,566102,National Science Foundation,Federal agencies,20130054,"CAREER: Dynamics of Magma Districbution in the Ferrar Large Igneous Province of Southern Victoria Land, Antarctica - an Integrated Research and Education Plan",2013,2018
Cottle,1/1/14,12/31/16,51647,National Science Foundation,Federal agencies,20131409,Collaborative Research: The Plutonic Perspective on Modern Rhyolitc Volcanism in the Southern Andes,2014,2016
Cottle,1/1/15,12/31/17,54724,National Science Foundation,Federal agencies,20141390,Collaborative research: Silicic magma reservoir dynamics: Insights from young Southern Andean plutons,2015,2017
"Cottle, Kooijman, Kylander-Clark",7/1/13,6/30/16,331220,National Science Foundation,Federal agencies,20130719,Rutile Micro-Analysis: Developing a Key Geochronological and Petrological Tool.,2013,2016
"Cottle, Kylander-Clark",7/1/10,6/30/13,276240,National Science Foundation,Federal agencies,20100794,Developing Rutile as a Petrochronometer.,2010,2013
"D'Antonio, King",5/1/11,4/30/15,871420,National Science Foundation,Federal agencies,20110012,Climatic Alteration of Liter Dynamics and Plant Litter Feedback in a California Grassland Ecosystem.,2011,2015
"Davis, Hannah, Michaelsen",3/1/10,2/28/11,118153,US Department of Energy,Federal agencies,20100231,Downscaling Global Climate Model Data for Terrestrial Biogeographic Analysis.,2010,2011
DeVecchio,7/1/12,6/30/13,182332,National Science Foundation,Federal agencies,20110742,"Collaborative Research: Chronology, Correlation, and Formation of Marine Terrace Flights: Rates of Western Transverse Ranges, California",2012,2013
DeVecchio,1/1/13,12/31/13,57415,US Geological Survey,Federal agencies,20121382,"Resolving the order of magnitude deformation rate discrepancy along the Gaviota Coast, Southern California",2013,2013
"DeVecchio, Bookhagen, Keller",7/1/10,6/30/12,224178,National Science Foundation,Federal agencies,20100824,"Collaborative Research: Chronology and Rates of Surface Uplift Across the Width of an Active Orogenic Belt: Western Transverse Ranges, California.",2010,2012
"DeVecchio, Gurrola, Keller",1/1/11,12/31/11,58935,US Department of Interior,Federal agencies,20101433,"Resolving the Fault Slip-Rate Discepancy on the Red Mountain Fault Along the Coast of Southern California, Ventura County.",2011,2011
"DeVecchio, Keller, Simms",1/1/12,12/31/13,252970,National Science Foundation,Federal agencies,20111572,"Collaborative Research: Geochronology of stair-stepped marine terrace flights: Implications for global tectonics, past climate, and landscape evolution",2012,2013
"DeVecchio, Rood",1/1/14,12/31/14,44166,US Geological Survey,Federal agencies,20131324,Precise Fault Slip Rates on the Oak Ridge Fault: New age constraints on the Saugus Formation using 36Cl/10Be isochron burial dating,2014,2014
Dozier,4/1/10,3/31/11,97296,National Science Foundation,Federal agencies,20100609,Workshop Proposal: Stormwater Management--Merging Theory with Practice.,2010,2011
Dozier,7/1/10,6/30/13,602396,National Science Foundation,Federal agencies,20100759,Hydrological Response to Heterogeneous Snow Depostition and Melt in the Sierra Nevada.,2010,2013
Dozier,2/11/11,2/10/14,287550,National Science Foundation,Federal agencies,20110038,Collaborative Research: Impacts of a Warning Climate on Snowpacks and Biogeochemical Cycling.,2011,2014
Dozier,10/1/11,9/30/15,800631,National Science Foundation,Federal agencies,20110606,Collaborative Research: Response of Mountain Hydrology to Heterogeneous Snow Deposition and Melt.,2011,2015
Dozier,10/1/12,9/30/16,473734,US Department of Agriculture,Federal agencies,20120460,"Using Legacy Data, Remote Sensing and an Integrated and Hydrologic Model to Improve Management of Western Water Supply",2012,2016
Dozier,1/1/13,12/31/17,585636,Jet Propulsion Laboratory,Federal agencies,20121369,"Quantitative Earth System Data Records of Snow Cover, Albedo, and Dust/Black Carbon Radioactive Forcing",2013,2017
Dozier,1/1/14,12/31/14,150038,DA Army Cold Regions Research and Engineering Laboratory,Federal agencies,20140598,Methods to estimate and validate the spatial distribution of snow water equivalent (SWE),2014,2014
"Dozier, Brandt",9/1/13,8/31/14,30000,National Aeronautics and Space Administration,Federal agencies,20130855,Seasonal Snow in the Northwestern Himalaya,2013,2014
"Dozier, Brandt",9/1/14,8/31/15,30000,National Aeronautics and Space Administration,Federal agencies,20140876,Seasonal snow in High Mountain Asia,2014,2015
"Dozier, Costello, Tague",7/1/10,6/30/13,1467979,National Aeronautics and Space Administration,Federal agencies,20100349,Consequences of Changes in Glacier and Snowmelt Runoff in the Sierra Nevada and Bhutan Himalaya: A Comparative Study.,2010,2013
"Dozier, Kahl",10/1/11,9/30/12,30000,National Aeronautics and Space Administration,Federal agencies,20110899,Reconstruction of heterogeneous snow water equivalent at subpixel resolution from MODIS imagery and energy balance modeling,2011,2012
"Dozier, Keller, Kolstad, Melack, Tague",1/1/11,12/31/15,4994879,National Science Foundation,Federal agencies,20101292,"WSC Category 2: Snowmelt Runoff from the Southern Sierra Nevada and its Management for Ecosystems, Agriculture and Cities.",2011,2015
Dunne,7/1/10,1/31/11,21000,"Intelligent Automation, Inc.","Private agency, foundation",20101164,Riverine Conditions Relevant to the Deployment of a Robotic Drifter.,2010,2011
Fleishman,1/1/11,12/31/14,541459,College of William and Mary,Institutes of higher education,20101072,"Application of Integrated Spatial Models of Human Land-Use, Habitat Patch Dispersion, and Variation in Song Characteristics as New Tools for Understanding and Managing Avian Source-Sink Dynamics.",2011,2014
Florsheim,7/1/13,6/30/15,89886,University of South Carolina,Institutes of higher education,20130859,Hazard SEES Type 1: Non-event flooding and Sustainable Land Management at the fluvial-tidal transition,2013,2015
"Frew, Bookhagen",11/1/10,10/31/12,159999,The New Media Studio,"Private agency, foundation",20101349,NASA HiTide Climate Change Education.,2010,2012
"Frew, Lampoudi",4/1/12,3/31/14,734868,National Aeronautics and Space Administration,Federal agencies,20120184,Provenance for Cloud-based Computational Earth Science.,2012,2014
"Frew, Lampoudi",7/1/12,6/30/14,456752,National Science Foundation,Federal agencies,20120711,III: Small: Provenance for Cloud-based Computational Science,2012,2014
"Frew, O'Donovan",1/1/11,12/31/13,496265,National Science Foundation,Federal agencies,20101593,S12-SSE: Software Elements for Provenaqnce Querying and Visualization.,2011,2013
"Gaines, Halpern, Pulver, Anderson, Costello, Goodchild, Reed, Siegel",6/1/13,5/31/18,0,National Science Foundation,Federal agencies,20111426,Transforming and Integrating Decision-making for Environmental Solutions (TIDES) - preproposal,2013,2018
Gautier,9/1/11,8/31/14,473154,National Science Foundation,Federal agencies,20110569,Collaborative Research: Empirical Resaerch Proposal: Virtual Environments as Pedagogical Tools to Increase Climate Change Literacy.,2011,2014
"Gautier, Carvalho, Church",4/1/10,3/31/13,659181,National Science Foundation,Federal agencies,20100229,Transboundary River Basin Development and Climate Change: Example of the La Plata Basin.,2010,2013
"Gautier, Carvalho, Roberts",1/1/10,12/31/12,611074,National Aeronautics and Space Administration,Federal agencies,20100168,UCSB-ELAC Global Change Summer Research Intership Program.,2010,2012
"Gautier, McNally",9/1/10,8/31/11,30000,National Aeronautics and Space Administration,Federal agencies,20100946,Improving Agricultural Water Modeling in Data Sparse Basins Using Satellite Soil Moisture Retrievals.,2010,2011
Gordon,7/1/10,6/30/12,187969,National Science Foundation,Federal agencies,20100818,Collaborative Research: Continental subduction and deep crustal melting,2010,2012
Gordon,7/1/10,6/30/11,28917,National Science Foundation,Federal agencies,20101342,Collaborative Research: Continental Subduction and Deep Crustal Melting.,2010,2011
Hacker,6/1/12,5/17/17,413629,National Science Foundation,Federal agencies,20120559,Collaborative Research: Geordynamics of Intercontinental Subduction in the Pamir,2012,2017
"Hacker, Cottle",1/6/11,1/5/16,423237,National Science Foundation,Federal agencies,20110544,Collaborative Research: Geodynamics of Intracontinental Subduction in the Pamir.,2011,2016
"Hacker, Cottle",1/1/14,12/31/16,298022,National Science Foundation,Federal agencies,20131436,Using Xenoliths to Quantify Foundering,2014,2016
"Hacker, Cottle",1/1/15,12/31/17,306386,National Science Foundation,Federal agencies,20141389,Characterizing Crustal Recycling with Xenoliths,2015,2017
"Hacker, Cottle, Kylander-Clark",1/1/12,12/31/14,493897,National Science Foundation,Federal agencies,20110916,Facility Support: Enabling Community Access to Laser-Ablation Split-Stream ICP Petrochronology.,2012,2014
"Hacker, Kylander-Clark",1/1/13,12/31/15,392365,National Science Foundation,Federal agencies,20121558,What Causes UHT Metamorphisism: Lengthscales and Timescales.,2013,2015
"Hacker, Kylander-Clark, Mattinson",1/1/12,12/31/13,338816,National Science Foundation,Federal agencies,20111550,Developing Titanite Reference Materials for the Petrochronology Community.,2012,2013
"Halpern, Pulver, Gaines",9/1/14,8/31/17,1315218,National Science Foundation,Federal agencies,20140724,Coastal SEES Collaborative Research: Integrating uncertainty into coastal ecosystem services management ,2014,2017
Hess,7/1/10,6/30/16,0,Institut de Recherche pour le Developpement,"Private agency, foundation",20101640,Memorandum of Understanding,2010,2016
"Hess, Melack",11/1/13,10/31/16,529966,Woods Hole Oceanographic Institution,"Private agency, foundation",20131105,"Impacts of floods and droughts on aquatic macrophytes, forests, and fisheries of central Amazonian river floodplains",2013,2016
Holden,7/1/09,6/30/10,9496,US Geological Survey,Federal agencies,20100067,,2009,2010
Holden,9/1/09,12/31/09,13029,Mhw Laboratories,"Private agency, foundation",20100365,"Assessment of Fecal Contamination in Surface Waters on the Chumash Reservation, Santa Ynez, CA",2009,2009
Holden,7/1/12,6/30/15,951251,UC Lab Fees Research Program,UC-wide,20120858,Biological Fates of Multi-Walled Carbon Nanotubes (MWCNTs),2012,2015
"Holden, Dozier, Israelachvili, Schimel, Stucky",8/1/11,7/31/14,1359154,National Science Foundation,Federal agencies,20110859,MRI: Acquisition of a Dual Beam Environmental Scanning Electron Microscope with Elemental Analysis and Crystal Phase Mapping Capabilities for Soft and Hard Materials.,2011,2014
"Holden, Hayton, Stucky",10/1/10,9/30/13,539981,National Science Foundation,Federal agencies,20101102,Electrochemistry of Metal-Doped Nanoparticulate TiO2 at the Nano-Bio Interface.,2010,2013
"Holden, Israelachvili, Safinya, Schimel, Stucky",8/1/12,7/31/15,1535220,National Science Foundation,Federal agencies,20120888,MRI: Acquisition of an X-Ray Microscope for 3D Imaging of Bioinornanic and Environmental Materials.,2012,2015
Jackson,1/1/15,12/31/17,322364,National Science Foundation,Federal agencies,20140323,Collaborative Research: A multidisciplinary study of mantle flow and melting in the Northern Lau Basin,2015,2017
Ji,1/1/10,12/31/10,104387,National Science Foundation,Federal agencies,20100014,Acquisition or Upgrade of Research Equipment,2010,2010
Ji,1/1/12,12/31/13,334109,National Science Foundation,Federal agencies,20111459,Kinematic and Dynamic rupture Characterization of the 2011 Tohoku Earthquake Sequence.,2012,2013
Ji,7/1/12,6/30/15,405598,National Science Foundation,Federal agencies,20120637,"A Systematic Investigation of the ""Seismic Nucleation Phase"" of Global Large (Mw>7) Earthquakes since 1994 Using Broadband Seismic  Data.",2012,2015
Ji,1/1/13,12/31/13,77588,US Geological Survey,Federal agencies,20121385,Robust Estimation to the downdip extension of fault slip of global large earthquakes,2013,2013
"Ji, Archuleta, Tanimoto",1/1/11,12/31/12,443744,National Science Foundation,Federal agencies,20101551,"An Ultra Broadband Investigation of the 2010 Mw 8.8 Maule, Chile Earthquake.",2011,2012
"Jones, Bookhagen, Carvalho",1/1/13,12/31/17,3677941,National Science Foundation,Federal agencies,20121360,EaSM2: regional prediction of decadal climate change in the central Andes: impacts on water resources and food,2013,2017
"Jones, Carvalho",5/1/09,4/30/13,386590,National Oceanic and Atmospheric Administration,Federal agencies,20100304,"Multiannual to decadal Variations in Extreme Precipitation in the United States: Observations, Models and Predictability Sources.",2009,2013
"Jones, Carvalho",5/1/10,4/30/13,374078,National Oceanic and Atmospheric Administration,Federal agencies,20100520,Bridging Weather and Climate Variability: Probabilistic Forecasts of Precipitation and River Flow in the United States During Winter.,2010,2013
"Jones, Carvalho",12/1/10,11/30/13,535498,National Science Foundation,Federal agencies,20101541,Predictability of Santa Ana Winds in Southern California.,2010,2013
"Jones, Carvalho",5/1/11,4/30/12,74997,National Oceanic and Atmospheric Administration,Federal agencies,20110303,Evaluation of the Madden-Julian Oscillation in Reanalysis and Reforecasts Products.,2011,2012
"Jones, Carvalho",8/1/12,7/31/15,403232,National Oceanic and Atmospheric Administration,Federal agencies,20120366,Advancing Intraseasonal Forecasts Over the Contiguous United States.,2012,2015
"Jones, Carvalho",1/1/14,12/31/16,497634,National Aeronautics and Space Administration,Federal agencies,20131294,"An Integrated Understanding of the Madden-Julian Oscillation, Extreme Precipitation, Streamflow and Floods",2014,2016
Kay,7/1/12,6/30/14,241993,UC Sea Grant College Program,UC-wide,20121274,Collaborative fishery research and networking to support assessment and management of California spiny lobster,2012,2014
Keller,9/1/12,8/31/14,199965,National Science Foundation,Federal agencies,20121285,NUE: Nanotechnology in Society and the Enviornment,2012,2014
Keller,10/1/13,9/30/14,600000,Electric Power Research Institute,"Private agency, foundation",20130723,"Modeling Component of the EPA Nutrient Managem,ent Center.",2013,2014
"Keller, Lenihan",10/1/09,9/30/13,881011,University of California,UC-wide,20100161,"Behavior, Fate and Effects of Metallic Nanoparticles in Estuarine Environments.",2009,2013
"Keller, Nisbet, Dunne",9/1/10,8/31/13,380618,CalFed Bay-Delta Program,"California state, municipal agencies",20101663,Effect of Direct and Interactive Disturbances of Streamflow Regime of the Upper San Joaquin River on Key Instream Abiotic Drivers of Chinook Habitat.,2010,2013
Kendall,8/1/10,7/31/15,18474,Chicago Botanic Garden,"Private agency, foundation",20100826,LTREB:  Optimal monitoring of plant populations to detect responses to climate change and effects of management,2010,2015
Kendall,1/1/11,12/31/15,28920,Chicago Botanic Garden,"Private agency, foundation",20101652,Optimal Monitoring of Plant Population to Detect Responses to Environmental Disturbance and Management,2011,2015
Kendall,1/1/11,12/31/15,28920,Chicago Botanic Garden,"Private agency, foundation",20101652,Optimal monitoring of plant populations to detect responses to Environmental Disturbance and Management,2011,2015
Kendall,8/1/14,7/31/15,0,National Science Foundation,Federal agencies,20140824,"Preliminary Proposal: Rarity, Resilience, and Population Viability: A Theoretical and Empirical Synthesis",2014,2015
"Kendall, Davis",10/1/12,9/30/15,2,National Science Foundation,Federal agencies,20120794,Pre-Proposal: Integrating environmental and geographic representation to protect species with uncertain present and future distributions.,2012,2015
"Kendall, Simons, Caselle",2/1/12,1/31/14,275326,UC Sea Grant College Program,UC-wide,20111485,"Estimating the ""Network Benefits"" of Marine Protected Area Networks: Ecological Recovery in Southern California Bight MPAs.",2012,2014
King,7/1/14,6/30/17,1018985,National Science Foundation,Federal agencies,20130827,Quantifying the Role of Photodegradation in Ecosystem Carbon Cycling,2014,2017
King,9/1/14,8/31/15,0,National Science Foundation,Federal agencies,20140817,Preliminary Proposal: Quantifying the Role of Photodegradation in Ecosystem Carbon Cycling,2014,2015
"King, Carbone",5/1/13,4/30/16,2,National Science Foundation,Federal agencies,20120771,Preliminary Proposal: Quantifying the Role of Photodegradation in Ecosystem CO2 Fluxes,2013,2016
"King, Carbone",1/1/14,12/31/16,0,National Science Foundation,Federal agencies,20130827,Preliminary Proposal: Quantifying the Role of Photodegradation in Ecosystem Carbon Cycling.,2014,2016
"King, Carbone, Schimel, Lin",9/1/14,8/31/17,0,National Aeronautics and Space Administration,Federal agencies,20131201,The Influence of Moisture on Biotic and Abiotic Drivers of Carbon Storage and Flux in Arid and Semi-arid Ecosystems,2014,2017
"King, Schimel",9/1/14,8/31/17,1134890,National Aeronautics and Space Administration,Federal agencies,20131201,The Influence of Moisture on Biotic and Abiotic Drivers of Carbon Storage and Flux in Arid and Semi-arid Ecosystems,2014,2017
"King, Schimel, Carbone",9/1/13,8/31/16,1049968,US Department of Energy,Federal agencies,20130482,Moisture Pulse Dependency of Biotic and Abiotic Drivers of C Storage and Flux in Arid and Semi-arid Ecosystems,2013,2016
Kolstad,9/1/10,8/31/13,5995000,US Department of Energy,Federal agencies,20101113,Center for Integrated SAnalysis of Climate and Economy.,2010,2013
"Kooijman, Kylander-Clark, Cottle",7/1/12,6/30/15,280995,National Science Foundation,Federal agencies,20120737,Rutile Micro-analysis: Developing a Key Geochronological and Petrological Tool.,2012,2015
"Lavallee, Archuleta",7/1/10,6/30/12,318441,National Science Foundation,Federal agencies,20100752,Synthesis of the Stochastic Nature of Seismic Parameters and Slip Profiles.,2010,2012
"Lavallee, Archuleta",1/1/11,12/31/11,69665,US Department of Interior,Federal agencies,20101421,Analysis and Modeling of Seismic Slip Profiles Recorded at the Surface.,2011,2011
"Lavallee, Archuleta",7/1/11,6/30/13,317095,National Science Foundation,Federal agencies,20110629,Synthesis of the Nature of Seismic Source Parameters and Slip Profiles.,2011,2013
"Lavallee, Archuleta",1/1/12,12/31/13,382851,National Science Foundation,Federal agencies,20111412,Multiple Resolutions Analysis of the Coupling Between Pore Pressure and Groung Motion Time Histories.,2012,2013
Lenihan,10/1/10,9/30/14,272657,University of California,UC-wide,20101549,Dimensions: Integrated Biology of Consumer-Resource Interactions in a Model Island Ecosystem.,2010,2014
Lenihan,7/1/11,3/31/14,435771,University of California,UC-wide,20111190,Community-Based Collaborative Fishery Research: Assessing Spiny Lobster and Red Sea Urchin Impatcs of CA Marine Reserves.,2011,2014
Lenihan,2/1/11,12/31/11,5450,AECOM,"Private agency, foundation",20120327,Determining Risk Factoring For 3 Zero Valent Iron Materials,2011,2011
Luyendyk,10/1/12,9/30/15,54654,"Bubbleology Research International, LLC","Private agency, foundation",20121174,Hyperspectral imaging spectroscopic investigation of California natural and anthropogenic fossil methane emissions in the short-wave and thermal infrared,2012,2015
"Maritorena, Siegel",1/1/11,12/31/13,415618,National Aeronautics and Space Administration,Federal agencies,20101368,A Full Spectrum Semi-Analytical Model for Ocean Color (UV-visible-chlorophyll fluorescence),2011,2013
"Maritorena, Siegel",1/1/14,12/31/16,500685,National Aeronautics and Space Administration,Federal agencies,20131243,New UV Diffuse Attenuation Coefficient and Associated Products from MODIS and Multiplatform Ocean Color Data,2014,2016
"Maritorena, Siegel",7/1/14,6/30/17,503050,National Aeronautics and Space Administration,Federal agencies,20141055,Ocean Inherent Optical Property Products for Suomi NPP,2014,2017
Melack,2/1/13,1/31/18,284573,"Miami University, Ohio",Institutes of higher education,20121267,Lakes as Sentinels of Climate Change,2013,2018
Melack,2/1/15,1/31/20,302290,"Miami University, Ohio",Institutes of higher education,20141080,Lakes as Sentinels of Climate Change,2015,2020
"Melack, Bookhagen, D'Antonio, Dunne, Kolstad, Roberts, Schimel, Siegel, Tague",7/1/10,6/30/13,1836835,National Aeronautics and Space Administration,Federal agencies,20100347,"Fires, Floods and Environmental Change in Coastal Ecosystems.",2010,2013
"Molinari, Davis",7/1/14,6/30/17,354185,National Science Foundation,Federal agencies,20140629,SEES Fellows: An Integrative Approach to Evaluating the Ecological and Sociological Benefits of Habitat Restoration,2014,2017
Nelson,4/1/10,3/31/14,535571,National Science Foundation,Federal agencies,20110184,Collaborative Research: Linking CDOM Molecular-Level Geochemistry and Optics to Processes in the Glogal Ocean.,2010,2014
Nelson,10/1/12,9/30/15,310406,Woods Hole Oceanographic Institution,"Private agency, foundation",20121390,Toward the Remote Assessment of Rates of Net Community and Gross Primary Production,2012,2015
"Nelson, Siegel",2/1/10,1/31/14,996252,National Aeronautics and Space Administration,Federal agencies,20101424,Bermuda Bio-Optics Project: Enhancement of Radiometric Measurements for New Ocean Color Applications Using a Profiling Buoy System.,2010,2014
"Nelson, Siegel",3/1/11,7/29/11,50000,National Aeronautics and Space Administration,Federal agencies,20110909,The Bermuda Bio-optics Project: Biological and Biogeochemical Responses to Decade-Scale Climate Forcing.,2011,2011
"Nelson, Siegel",10/1/14,9/30/17,958223,National Aeronautics and Space Administration,Federal agencies,20141044,Bermuda Bio-Optics Project: Field Validation of Ocean Color Products from VIIRS data,2014,2017
"Nelson, Siegel",10/1/14,9/30/17,752428,National Aeronautics and Space Administration,Federal agencies,20141129,"Ocean Color Observations on CLIVAR: Chromophoric dissolved organic matter, IOP observations and methodological development for PACE ocean color applications",2014,2017
"Nelson, Siegel, Ohlmann, Kyriakidis",10/1/14,9/30/17,2827806,National Aeronautics and Space Administration,Federal agencies,20141458,Near-Surface Profiling Buoy: Vicarious Calibration for Ocean Color Sensors,2014,2017
Ohlmann,8/1/10,7/31/15,1915273,Oregon State University,Institutes of higher education,20101100,Lagrangian Motion in 4D Geophysical Fluid Flows.,2010,2015
Ohlmann,1/1/13,12/31/15,160871,National Aeronautics and Space Administration,Federal agencies,20121430,In situ observations for SWOT oceanographic mission objectives,2013,2015
Ohlmann,11/1/12,10/31/17,302805,Office of Naval Research,Federal agencies,20121561,Air-Sea Heat Transfer in the Arctic: The Influence of In-Water Solar Transmission Variability on SST and Sea Ice Distributions,2012,2017
Ohlmann,1/1/13,12/31/15,120566,University of California,UC-wide,20121566,"Observing Sub-Mesoscale Flows Using Coincedent Satellite, Shipboard, and Aircraft Measurements.",2013,2015
Ohlmann,1/1/14,12/31/16,147810,UC Los Angeles,UC-wide,20131395,"Assessing Submesoscale Dynamics through Remote Sensing, In-Situ Observations, and Modeling",2014,2016
