list,pis,start,end,amount,agency,relationship,id,title,start-year,end-year
12,Dozier,1/1/16,12/31/18,229309,National Science Foundation,Federal agencies,20151427,Inductive Modeling of Macro-Scale SWE Distribution Using Satellite Telemetry,2016,2018
75,Florsheim,8/1/16,2/28/18,134534,North Coast Resource Partnership,"Private agencies, foundations",20161076,"Synthesizing data for climate variation and change effects on feebacks between wildfire, sediment dynamics, and vegetation recovery",2016,2018
35,Simms,1/1/16,12/31/18,30000,Bureau of Safety and Environmental Enforcement,Federal agencies,20150516,Archeology meets geology: an integrated framework to study coastal landscape and settlement response to sea-level rise and climate change ,2016,2018
2,"Bair, Dozier",1/1/16,12/31/18,617614,National Aeronautics and Space Administration,Federal agencies,20151417,Reconciling spatially distributed estimates of snow on the ground to Global Precipitation Measurements,2016,2018
61,"Carvalho, Ohlmann, Romero, Jones, Siegel, Washburn",1/1/16,12/31/18,1130117,UC Office of the President,UC-wide,20160170,Multi-model prediction of oil spill movement in coastal CA,2016,2018
5,Clark,10/1/16,9/30/18,94960,UC Sea Grant College Program,UC-wide,20151211,Managed Aquifer Recharge: A cost effective and drought-resistant method for increasing local water supplies using reclaimed wastewater,2016,2018
7,Cottle,1/1/16,12/31/18,51670,National Science Foundation,Federal agencies,20151423,"Collaborative Research: A Plutonic Record of Generation, Storage, and Eruption of Rhyolitic Magma",2016,2018
20,Jackson,1/1/16,12/31/18,297747,National Science Foundation,Federal agencies,20151457,Investigating the implications of heterogeneous Sr-isotopes in olivines from Samoan lavas,2016,2018
76,Jackson,9/1/16,8/31/18,270713,National Science Foundation,Federal agencies,20160158,Collaborative Research: Geodynamic Implications of Two Long-Lived Mantle Anomalies: Tracing the Rurutu and Samoa Hotspots up to 120 Ma,2016,2018
83,"Keller, Suh",1/1/16,12/31/18,139090,UC Irvine,UC-wide,20160198,Green Catalyst Program for Products and Processes,2016,2018
32,Schimel,1/1/16,12/31/18,320878,National Science Foundation,Federal agencies,20150416,Collaborative Research: Predicting the future of High Arctic tundra N-C interactions to climate feedbacks by coupling long-term experiments and modeling,2016,2018
37,Simms,2/1/16,1/31/18,125565,National Science Foundation,Federal agencies,20150925,Quantifying the impacts of extreme events on beach sand supplies,2016,2018
43,Sorlien,1/1/16,12/31/18,107288,National Science Foundation,Federal agencies,20150730,"Collaborative Research: The growth of a continental transform by coupled translation and rotation above a fossil subduction megathrust, Central California margin",2016,2018
110,"Tague, Frew",2/1/16,1/31/18,450029,National Aeronautics and Space Administration,Federal agencies,20160049,Better Ecohydrological Modeling in California's Sierra Nevada,2016,2018
218,Tanimoto,3/1/16,2/28/18,95600,National Science Foundation,Federal agencies,20170846,Extreme Interaction Between Atmosphere and Solid Earth: Understanding the Forcing Mechanism by Hurricanes and its Application for Monitoring,2016,2018
66,DeVries,7/1/16,6/30/18,231228,National Science Foundation,Federal agencies,20160955,Quantifying uncertainties in the ocean's biological carbon pump with existing remotely-sensed and in-situ observations: Guidance for the EXPORTS field campaign,2016,2018
40,Simms,8/1/16,7/31/18,205169,National Science Foundation,Federal agencies,20151174,Collaborative Research: Using Optically Stimulated Luminescence to Determine the age of Pre-Last Glacial Maximum Beaches in Antarctica,2016,2018
4,Clark,2/1/16,1/31/18,119789,SFS Farms LLC,"Private agencies, foundations",20150950,"Quantifying groundwater contributions to the biogeochemistry of Carpinteria Slough, an estuarine system",2016,2018
24,MacIntyre,1/1/16,12/31/18,249697,National Aeronautics and Space Administration,Federal agencies,20151081,Arctic and boreal lakes and ponds: quantifying and upscaling spatial and temporal variability in methane and carbon dioxide emissions,2016,2018
39,Simms,2/1/16,1/31/18,92844,National Science Foundation,Federal agencies,20151023,Quantifying the Amount of Subsistence in a Southern California Estuary,2016,2018
69,Ding,7/1/16,6/30/18,27827,National Science Foundation,Federal agencies,20161286, NSFGEO-NERC: Paleoclimate signaturesof the climate  response to West antarctic ice sheet collapse,2016,2018
28,"Michaelsen, Stratton",1/1/16,12/31/18,549264,California Department of Fish and Wildlife,California state and municipal agencies,20151425,North Campus Open Space Coastal Lagoon Resilience,2016,2018
216,Tague,10/1/16,9/30/18,111336,University of Washington,Institutes of higher education,20170402,Increase predictive power of climate change forest modeling by improving understanding of subsurface hydrology in giant sequoia mixed conifer forests,2016,2018
111,Tanimoto,1/1/17,12/31/18,295971,National Oceanic and Atmospheric Administration,Federal agencies,20161346,Elucidating mechanical coupling processes in the Earth system,2017,2018
175,Thorsch,9/1/17,6/30/18,74369,The Institute of Museum and Library Services IMLS,Federal agencies,20180084,Kids in Nature University of California Santa Barbara (KIN2),2017,2018
79,Ji,1/1/17,12/31/18,221231,National Science Foundation,Federal agencies,20161317,Robust estimations of rupture dimension and stress drop of large intermediate depth earthquakes,2017,2018
139,"Siegel, Kramer",9/1/17,8/31/18,45000,National Aeronautics and Space Administration,Federal agencies,20170863,"Global Ocean Plankton: Genomics, Optics, Pigments.",2017,2018
143,Thorsch,7/1/17,5/31/18,49985,California Coastal Commission,California state and municipal agencies,20170516,Kids in Nature Explore North Campus Open Space,2017,2018
208,Florsheim,7/1/17,3/31/18,25000,University of Colorado,Institutes of higher education,20171370,Biophysical Approach Toward Riparian Conservation and Floodplain Ecosystem Functionality,2017,2018
213,Steidl,8/1/17,7/31/18,17970,US Geological Survey,Federal agencies,20171306,AlertCentralCoast/HPWREN High Resolution Wildfire Camera,2017,2018
225,Holden,1/1/17,12/31/18,91949,University of California,UC-wide,20181194,Fighting Drought with Stormwater:From Research to Practice,2017,2018
104,Simms,4/1/17,3/31/18,62886,US Geological Survey,Federal agencies,20161272,Record of Holocene Earthquakes within the Santa Barbara Area based on Seismic Stratigraphy of a Small Coastal Lagoon,2017,2018
295,Stratton,1/31/18,12/1/18,5000,Southern California Wetlands Recovery Project,"Private agencies, foundations",20180752,North Campus Open Space Wetland Restoration Project,2018,2018
200,Stevenson,5/1/18,4/30/18,45478,National Oceanic and Atmospheric Administration,Federal agencies,20190509,Collaborative Research: Quantifying spatial footprints of planktic foraminifera in marine sediments and exploring implications for past ocean variability and model-data synthesis,2018,2018
172,Stratton,1/1/18,12/31/18,19500,Southern California Gas Company,"Private agencies, foundations",20180139,North Campus Open Space Restoration Film,2018,2018
164,Oono,1/1/18,12/31/18,0,National Fish and Wildlife Foundation,"Private agencies, foundations",20181113,Characterizing the functional transition of endophytic fungi during plant senescence,2018,2018
1,Archuleta,8/1/15,7/31/19,558034,University of Southern California,Institutes of higher education,20150602,Hazards SEES: Use of a Big Data Framework for Developing Earthquake Ground Motion Perdiction Models using Real Time Data from Multiple Sources,2015,2019
51,Tague,8/1/15,7/31/19,112534,National Science Foundation,Federal agencies,20150811,"Increasing small-scale, woody bioenergy adoption in Idaho's Clearwater Basin",2015,2019
15,Florsheim,7/1/15,6/30/19,391157,California Landscape Conservation Cooperative,"Private agencies, foundations",20150607,"Hazards SEES: Recovery No More: Toward a New Paradigm for Wildfires in the ""Anthropocene""",2015,2019
204,DeVries,7/1/16,6/30/19,86468,Simons Foundation,"Private agencies, foundations",20171417,Quantifying the ocean's biological carbon pump with remotely sensed and in-situ observations,2016,2019
102,Simms,10/1/16,9/30/19,279119,US Geological Survey,Federal agencies,20161027,Collaborative Research: Co-Seismic Subsidence in Estuaries Outside of Subduction Zones,2016,2019
65,DeVries,9/1/16,8/31/19,374550,National Science Foundation,Federal agencies,20160878,Collaborative Research: The variation of marine organic matter stoichiometry and its role in the ocean's biological carbon pump,2016,2019
55,Awramik,1/24/16,1/23/19,322647,Jet Propulsion Laboratory,Federal agencies,20160079,Paleoclimate and taphonomy of Mars-analog Archean lake systems,2016,2019
56,Bair,8/1/16,7/31/19,202706,National Aeronautics and Space Administration,Federal agencies,20161133,"Enhanced resolution satellite-derived snow properties in High Mountain Asia for measuring and understanding changes in glaciers, snow and streamflow",2016,2019
60,"Carvalho, Jones, Norris, Bookhagen",8/1/16,7/31/19,1097175,National Aeronautics and Space Administration,Federal agencies,20161155,Using Satellite Products to Improve High Resolution Regional Modeling and Forecasts in High Mountain Asia,2016,2019
62,Cottle,7/1/16,6/30/19,53056,National Science Foundation,Federal agencies,20160400,Collaborative Research: Integrated monazite and garnet geochronology in the Moine Supergroup: Timing constraints on PT evolution of the Caledonides in northern Scotland,2016,2019
70,Dozier,9/1/16,8/31/19,324490,National Science Foundation,Federal agencies,20160841,BIGDATA: Collaborative Research: IA: Machine Learning Innovations to Estimate Snow Water Equivalent from Satellite and Airborne Imagery,2016,2019
71,"Dozier, Bair, Rittger",8/1/16,7/31/19,1298147,National Aeronautics and Space Administration,Federal agencies,20161158,"Retrospective Assessment and Seasonal Forecasts of Snowmelt Runoff, and their Contributions to Glacier Mass Balance",2016,2019
77,Jackson,8/1/16,7/31/19,311845,National Science Foundation,Federal agencies,20160159,Collaborative Research:  A multidisciplinary study of mantle plume - subduction interactions:   a case study of the Samoa plume - Tonga arc system,2016,2019
78,Jackson,7/1/16,6/30/19,299959,National Science Foundation,Federal agencies,20160869,Highly heterogeneous 87Sr/86Sr in melt inclusions from hotspot lavas: A role for assimilation of altered oceanic crust?,2016,2019
80,"Jones, Carvalho",6/1/16,5/31/19,591231,National Science Foundation,Federal agencies,20160430,The dynamics of the South American low-level jet and global warming,2016,2019
82,"Keller, Dugan",9/1/16,8/31/19,844984,National Oceanic and Atmospheric Administration,Federal agencies,20160703,EESLR 2016: The Beach and Seacliff Ecosystem (BASE) Project: Advancing Predictive Capabilities of Overlooked Ecosystems for Adaptive Management Solutions to Sea Level Rise,2016,2019
85,"Kostadinov, Maritorena",10/1/16,9/30/19,326441,University of Pennsylvania,Institutes of higher education,20160938,Carbon-based phytoplankton community size structure: novel flexible global modeling and ocean-color remote sensing,2016,2019
25,Matoza,3/1/16,2/28/19,142211,National Science Foundation,Federal agencies,20151324,Collaborative Research: Investigating the sound generation and correlated fluid dynamics of explosive volcanic jet flows,2016,2019
90,"McCauley, Manjunath",7/1/16,6/30/19,0,National Science Foundation,Federal agencies,20160740,IOS Preliminary Proposal: Collaborative Research: Deploying next-generation remote sensing technologies to understand collective risk avoidance in animal groups at multiple scales,2016,2019
91,"Melack, MacIntyre",10/1/16,9/30/19,539368,US Department of Energy,Federal agencies,20160752,Carbon cycling through forested wetlands in the Amazon basin,2016,2019
92,"Michaelides, Singer",7/1/16,6/30/19,197648,National Science Foundation,Federal agencies,20160258,Collaborative Research: Reconciling storm-driven erosion dynamics with landscape evolution in overland flow-dominated dryland basins,2016,2019
94,"Nelson, Siegel",7/1/16,6/30/19,975380,National Aeronautics and Space Administration,Federal agencies,20160822,Ocean Color on CLIVAR: Decadal-scale repeat sections,2016,2019
95,Nidzieko,8/15/16,8/14/19,630441,National Aeronautics and Space Administration,Federal agencies,20160879,Allometric scaling of mixing and transport in marine ecosystems,2016,2019
97,"Schimel, King",12/1/16,11/30/19,599281,US Department of Energy,Federal agencies,20160757,The Influence of Drought on Biotic and Abiotic Drivers of Ecosystem Carbon Storage and Flux,2016,2019
99,Siegel,7/1/16,6/30/19,179688,National Science Foundation,Federal agencies,20160937,"Comparing Ocean Carbon Export in the Northeast Atlantic Determined with Sediment Traps, In-Situ Tracers, New Camera Approaches and Satellite Algorithms",2016,2019
105,"Simons, Blanchette",7/1/16,6/30/19,443785,National Science Foundation,Federal agencies,20160153,Linking Regional Connectivity and Climate Variability with Larval Delivery in the Coastal Ocean,2016,2019
42,Singer,3/1/16,2/28/19,352589,National Science Foundation,Federal agencies,20151377,Collaborative Research: Impacts of Dynamic Climate-Driven Water Availability on Tree Water use within Mediterranean Riparian Forests,2016,2019
63,DeVries,7/1/16,6/30/19,611337,National Aeronautics and Space Administration,Federal agencies,20160162,Collaborative Research: Constraining the marine iron cycle with multiple tracers in a global inverse model,2016,2019
59,"Carvalho, Jones",5/1/16,4/30/19,441651,National Science Foundation,Federal agencies,20160449,Improving Forecast and Warning Decision Support for Fire Weather Hazards in coastal Santa Barbara County,2016,2019
202,Caylor,12/1/16,11/30/19,93230,University of Arizona,Institutes of higher education,20170254,Using NASA satellite information for developing climate services to support agricultural water-use decisions in southern Africa,2016,2019
88,Maritorena,7/1/16,6/30/19,461277,Bermuda Institute of Ocean Sciences (BIOS) Inc.,"Private agencies, foundations",20160956,Regional oceanic biogeochemistry and the bio-ecology of the Moorea (French Polynesia) coral reef,2016,2019
34,Siegel,5/1/16,4/30/19,199311,National Aeronautics and Space Administration,Federal agencies,20150920,RUI: Collaborative Research: Resolving spatial and temporal patterns of demographic connectivity and its drivers in open-coast marine systems using a multidisciplinary approach,2016,2019
100,Simms,7/1/17,6/30/19,450004,UC Sea Grant College Program,UC-wide,20160876,NSFOCE-BSF: Do large-scale environmental events create similar parasequence boundaries that correlate across basins?,2017,2019
103,Simms,9/1/17,8/31/19,156777,US Geological Survey,Federal agencies,20161212,Collaborative Research: Using Optically Stimulated Luminescence to Determine the age of Pre-Last Glacial Maximum Beaches in Antarctica,2017,2019
109,Tague,1/1/17,12/31/19,746772,New Mexico Institute of Mining & Technology,Institutes of higher education,20161333,"Assessing the sensitivity of carbon net ecosystem exchange to changes in climate, land use, and disturbance in two large river basins in the northeastern U.S. over multi-decadal time scales:a hydro-ecological investigation.",2017,2019
57,"Blankinship, Schimel",1/1/17,12/31/19,478051,US Department of Agriculture,Federal agencies,20161152,Using decomposition modeling and soil microbial ecology to produce organic fertilizers with a programmed delayed nitrogen release,2017,2019
64,DeVries,1/1/17,12/31/19,315057,National Aeronautics and Space Administration,Federal agencies,20161314,Impacts of climate variability and change on ocean accumulation of anthropogenic carbon,2017,2019
205,"Dozier, Bair",8/1/17,1/31/19,57432,Jet Propulsion Laboratory,Federal agencies,20170801,"Spatial Dynamics of Grain Size, Radiative Forcing by Impurities, and Spectral Albedo from AVIRIS-NG Data in the Indian Himalaya",2017,2019
86,"Kostadinov, Siegel",1/1/17,12/31/19,272874,University of Pennsylvania,Institutes of higher education,20161258,Emergence of climate-driven trends in ocean biology from ocean color data and Earth System Model ensemble simulations,2017,2019
131,Nidzieko,1/1/17,12/31/19,835132,National Aeronautics and Space Administration,Federal agencies,20170372,Submesoscale dynamics of in-situ Net Community  Production and satellite Net Primary Production,2017,2019
96,Porter,4/3/17,4/2/19,308272,National Aeronautics and Space Administration,Federal agencies,20161273,"Predation, oxygen, and the Neoproterozoic rise of eukaryotes",2017,2019
136,"Schimel, Slessarev",7/1/17,6/30/19,19898,National Science Foundation,Federal agencies,20170416,DISSERTATION RESEARCH: Understanding geochemical controls on soil carbon stability across timescales,2017,2019
170,Stratton,12/1/17,12/1/19,4196,"Marine Accoustics, Inc.","Private agencies, foundations",20180225,Assessing the effects of restoration on bats at the UCSB North Campus Open Space,2017,2019
112,Bair,1/1/17,12/31/19,326124,National Aeronautics and Space Administration,Federal agencies,20170015,Parallel energy balance modeling of snowmelt relying on remotely-sensed measurements,2017,2019
68,Ding,1/1/17,12/31/19,56914,National Aeronautics and Space Administration,Federal agencies,20161338,Midlatitude warm season extreme events and their relationship to atmospheric teleconnections and sensitivity to atmospheric aerosols,2017,2019
210,Hacker,9/1/17,8/31/19,198989,National Science Foundation,Federal agencies,20170921,Collaborative Research: Constructing and testing models of the mantle wedge in Alaska with seismology and petrology,2017,2019
223,Gans,6/1/18,5/31/19,35887,US Geological Survey,Federal agencies,20180590,"Geologic Mapping of the Snake and Deep Creek Ranges, Eastern Nevada: Unraveling the Geometry, Kinematics, and Timing of Episodic Cretaceous to Miocene Extensional Faulting",2018,2019
282,"Seltmann, Myers",9/1/18,8/31/19,47910,Clarence E. Heller Charitable Foundation,"Private agencies, foundations",20190142,Kids in Nature Explore Environmental Science,2018,2019
144,"Thorsch, Myers, Seltmann",2/1/18,1/31/19,49884,State Coastal Conservancy,California state and municipal agencies,20171240,Kids in Nature Explore the Coast at South Parcel (KIN2),2018,2019
219,Caylor,6/1/18,5/31/19,40140,"University of Georgia Research Foundation, Inc",Institutes of higher education,20180429,Wild robots: Innovating microcontroller use to explore wildlife loss’s impacts on the carbon cycle,2018,2019
132,Nidzieko,1/1/18,12/31/19,382284,National Aeronautics and Space Administration,Federal agencies,20171510,Assessing the turbulent kinetic energy budget in coastal fronts with satellites and in situ measurements,2018,2019
174,"Tanimoto, Archuleta",1/1/19,12/31/19,73996,US Geological Survey,Federal agencies,20181350,Shallow rigidity structure from co-located pressure and seismic data and its comparison to Vs30,2019,2019
46,Steidl,2/1/15,1/31/20,1089076,University of California,UC-wide,20150225,UCSB Geotechnical Array Monitoring Participation in ANSS,2015,2020
142,Tague,7/1/17,6/30/20,0,UC Merced,UC-wide,20170816,Preliminary Proposal: NSFDEB-BSF: Using water potential of soils and plants as a unifying term to assess forest vulnerability to drought,2017,2020
212,Schimel,7/1/17,6/30/20,0,UC Riverside,UC-wide,20170830,"Preliminary Proposal: Moisture, Microbes, and Minerals: Mobilizing Soil Carbon",2017,2020
101,Simms,5/1/17,4/30/20,291766,UC Sea Grant College Program,UC-wide,20160953,Collaborative Research: The influence of valley morphology on bayhead delta evolution,2017,2020
171,Stratton,9/1/17,8/31/20,24738,Outhwaite Foundation,"Private agencies, foundations",20180164,North Campus Open Space Wetland Restoration Project,2017,2020
113,Bair,9/1/17,8/31/20,357504,University of Colorado,Institutes of higher education,20171007,"Operational implementation of the ParBal model to predict snow and ice melt across the Sierra Nevada, USA",2017,2020
146,"DeVries, Maritorena, Siegel",12/1/17,11/30/20,734933,National Aeronautics and Space Administration,Federal agencies,20180208,A biogeochemically-consistent model of ocean productivity and carbon export from satellite observations,2017,2020
121,"Jones, Carvalho",6/1/17,5/31/20,635114,National Science Foundation,Federal agencies,20170489,The Dynamics of the South American low-level jet and global warming,2017,2020
158,"Maritorena, Siegel",12/1/17,11/30/20,716102,National Aeronautics and Space Administration,Federal agencies,20180207,"Data quality, inter-sensor consistency and multi-sensor ocean color data sets for environmental change studies",2017,2020
89,McCauley,3/1/17,2/29/20,287636,National Science Foundation,Federal agencies,20160740,Collaborative Research: Deploying next-generation remote sensing technologies to understand collective risk avoidance in animal groups at multiple scales ,2017,2020
93,"Michaelsen, Stratton",1/1/17,6/30/20,1094513,California EPA Water Control Board,California state and municipal agencies,20161142,"North Campus Open Space Stormwater Retention, Wetland Restoration and LID Demonstration Project",2017,2020
161,"Nelson, Siegel",12/15/17,12/14/20,953748,National Aeronautics and Space Administration,Federal agencies,20180209,Controls on open ocean phytoplankton community structure as revealed by ocean color and in situ measurements,2017,2020
133,"Nidzieko, Haskell",8/15/17,8/14/20,863039,National Aeronautics and Space Administration,Federal agencies,20170982,Submesoscale dynamics and in situ Net Community Production in the deep euphotic zone,2017,2020
137,Seltmann,7/1/17,6/30/20,524699,National Science Foundation,Federal agencies,20170278,Collaborative Research: ABI Development: Enabling Species Interaction Research Using Specimens and Observations (Associate!) ,2017,2020
138,"Siegel, DeVries",3/1/17,2/29/20,672497,National Aeronautics and Space Administration,Federal agencies,20170364,Modeling Global Ocean Zooplankton Distributions using Satellite Observations,2017,2020
141,"Simons, Iglesias-Rodrig",9/1/17,8/30/20,467090,National Science Foundation,Federal agencies,20170976,The role of circulation in the initiation and transport of phytoplankton blooms in an eastern boundary upwelling system,2017,2020
123,Keller,10/1/17,9/30/20,299969,National Science Foundation,Federal agencies,20170417,Application of Metabolomics to Discover Novel Applications and Implications of Nanomaterials,2017,2020
130,Nelson,8/15/17,8/14/20,372289,National Science Foundation,Federal agencies,20171188,Linking particulate organic matter export to the formation of refractory dissolved organic matter in the twilight zone,2017,2020
