pis,start,end,amount,agency,relationship,id,title,abstract,start-year,end-year
David Siegel Norm Nelson,1/1/11,12/31/14,"$765,235 ",National Science Foundation,Federal agencies,1040502,MRI: Development of Novel Profiling Buoy Technology for Satellite Ocean Color Calibration and Data Product Validation,"The Near Surface Profiling Buoy system is a floating/profiling optical sensor system that will enhance the calibration and validation of ocean color data from satellite instruments, enabling the collection of long-term climate data records of the ocean biosphere. Intellectual Merit: We propose to develop and evaluate the performance of a novel profiling buoy system for the calibration of satellite ocean color observations and the validation of their data products. This measurement capability is essential for creating longterm satellite climate data records of the ocean biosphere – but the costs of building and deploying existing moored buoy systems are excessive ($M’s to build & ~$1M/y to deploy for each site). Our system, the Near Surface Profiling Buoy (NSPB), will autonomously collect 100’s of high-quality, near-surface irradiance / radiance profiles during each multi-day deployment as part of a standard oceanographic research 181 cruise. The NSPB is built upon recent advances in optical profiling instrumentation designed for turbid water environments that is adapted to the calibration and validation of ocean color satellite data. The NSPB system is aimed at making day-long to week-long deployments improving the likelihood of high quality match-ups with satellite data than is possible with conventional profiling techniques. This will alleviate wire time constraints for shared research cruises, maximizing the return on research vessel time (often >$50K/day). The NSPB will be a cost- effective alternative to long-term, moored optical buoy installations for satellite ocean color sensor calibration and eliminates the need for addressing biofouling and extrapolation of subsurface signals to the sea surface, which are the major sources of uncertainty for long-term moored systems. We will test and deploy the NSPB system in both coastal and open ocean conditions as part of on-going UCSB research projects in the Santa Barbara Channel (PnB) and the Sargasso Sea (BBOP). System performance will be assessed and compared with traditional long-term moored buoy systems and conventional ship-based spectroradiometry profiling. All radiometric measurements will be fully characterized and tied to NIST standards and system radiometric performance will be monitored at UCSB. Broader Impacts: This equipment development will help reenergize long-term field research programs conducted by the UCSB group. More importantly, it will help solve a national need for a low-cost, high-performance, flexible buoy system for the calibration and validation of satellite ocean color observations. This development project has the potential to greatly improve the accuracy of present and future satellite ocean color sensors, which will have impacts far beyond this instrumentation development request. It will also involve a significant collaboration between academic researchers and the private sector that will advance the state of the art in optical technology and facilitate acquisition of quality data and instrumentation for long-term records of the ocean biosphere.",2011,2014
John Cottle,5/1/11,10/31/14,"$133,321 ",National Science Foundation,Federal agencies,1050043,Collaborative Research: Improving the Accuracy and Precision of Monazite and Allanite Geochronology via ID Th-Pb Ages for Reference Materials,The principal limitation for obtaining high-precision accurate standard-based 208Pb/232Th ages from monazite and allanite is the lack of appropriate well-characterized reference materials. Because both monazite and allanite are compositionally variable and SIMS LA-ICP-MS incur instrumental mass-dependent fractionation it is essential to closely match standards with unknowns. This proposal seeks to determine isotope dilution (ID) Th-Pb ages for the Th-rich accessory minerals monazite and allanite. Th-Pb ages currently exist for only one reference material that is commonly used-'554'. Consequently all standard-based geochronologic measurements require an assumption that Th-Pb and U-Pb ages are equivalent. This assumption is unnecessary and in many cases invalid. By obtaining high-precision ID Th-Pb ages for a suite of well-characterized community-wide reference materials this research will provide a means of independently calibrating Th-Pb ages for minerals that can be linked to fundamental tectonic processes.,2011,2014
Douglas Burbank Bodo Bookhagen,8/1/11,7/31/15,"$275,006 ",National Science Foundation,Federal agencies,1050070,The Pamir Frontal Thrust System: Rates Style and Controls on Deformation,Our goals include defining how where and at what rates shortening has been accommodated within the Pamir-Tian Shan structural corridor and exploring the extent to which erosion by an axial river modulates shortening rates on faults proximal to the river. We will focus our work along the axis of the structural corridor where we can examine a rich suite of along- strike structural variability in the style orientation and (likely) rate of deformation. The Pamir Frontal Thrust (PFT) is the leading edge of the Pamir orogen. In reality some apparently Pamir-related faults occur to the north of the PFT including nearby faults that ruptured in the 1985 M7.4 Wuqia earthquake [Feng et al. 1988]. Within the study area the PFT tends to be localized within lower Paleogene gypsum beds and it typically carries the entire Cenozoic stratigraphic succession (up to 8 km thick) in its hanging wall. Where the PFT is exposed in the Bozi Tage Range near the Kezilesu River it tends to be a low-angle thrust dipping from 0¬∞ to 15¬∞. Ongoing slip on the PFT is evidenced by offset talus slopes that show fresh scarps. Typically the PFT slices across the Xiyu conglomerate an upper Cenozoic time-transgressive fluvial conglomerate that ranges in age from 16 to 0 Ma within the foreland [Heermance et al. 2007] but which is less than 1.6 Ma where it has been paleomagnetically dated a few kilometers north of the PFT in the corridor [Chen et al. 2005]. On the eastern margin of the Mayikake Basin the PFT cuts nearly horizontally across a 50¬∞-dipping 3-km-thick panel of Xiyu conglomerate for about 4 kilometers.,2011,2015
Dylan Rood,9/15/11,8/31/14,"$89,382 ",National Science Foundation,Federal agencies,1103532,Collaborative Research: Synchronizing ther North American Varve Chronology and the Greenland Ice Core Record Using Meteoric 10-BE-Flux,"This project will investigate the systematics of 10Be concentrations in glacial and nonglacial varved sediments from the NAVC, with the goal of determining how best to extract a record of 10Be fallout variations. Second, we will use the information gained in this first part of the project to plan and carry out a sampling and measurement scheme most likely to yield a record of centennial variability in 10Be fallout flux that can be matched to the 10Be flux record from the Greenland ice cores. Measurement of bulk 10Be in NAVC sediments: The specific analytical tasks in this project include locating and obtaining samples of NAVC sediments, subsampling them for 10Be analysis, and measuring 10Be concentrations by accelerator mass spectrometry (AMS). Our primary source of samples will be an extensive archive of cores of NAVC sediments that PI Ridge has collected over many years and that are stored at Tufts University. One important aspect of this part of the project, however, is to ensure that subsamples are not cross-contaminated, or contaminated with modern 10Be, during collection. This requirement may restrict use of archived cores that are highly fractured or otherwise difficult to sample cleanly. If we can not obtain the samples we need from this archive, we will revisit source outcrops and collect new samples, typically by collecting short cores from outcrops using a hammered-PVC-pipe procedure that Ridge has employed for many years. Ridge will have primary responsibility for locating archived and new sample material and correlating it to the NAVC, although students will also be closely involved in this process and all project personnel will participate. 10Be concentrations are measured by an isotope dilution method in which a 9Be carrier is added to the sample, the entire sample is digested and the Be extracted, and the Be isotope ratio is measured by accelerator mass spectrometry (AMS). All aspects of this process are proven, reliable, and efficient. We will carry out Be extraction from sediments in a purpose-built 159 chemistry laboratory at the University of Vermont (see Facilities and Resources), using a total- fusion method described by Stone (1996) and further refined during the past few years by Balco, Bierman, and Bierman’s students. At the 10Be concentrations we expect to measure in this project (> 107 atoms g␣1), AMS measurement is rapid (a few minutes per sample) and precise (␣1-2% analytical uncertainty). Research focus 1: systematics of 10Be deposition in varved sediments. We will use several strategies in the first part of the project. First, we will investigate how 10Be is delivered to glacial and nonglacial varved sediments. We hypothesize that 10Be deposition is seasonally focused due to effects such as more effective scavenging by fine sediment during winter, suppression of fallout 10Be delivery to the lake during winter due to snow and ice cover, and the strong overall seasonality of sediment transport and deposition. We will investigate this by characterizing 10Be concentrations and their variability within both summer and winter layers to investigate seasonal effects, as well as laterally within a single varve to investigate the effect of sediment source variation between direct glacial sediment and runoff from the landscape. Understanding which, if any, of these processes are important may suggest means to preferentially sample fallout 10Be rather than recycled 10Be. Second, we will determine whether or not short-period solar variability, in particular the diagnostic 11-year Schwabe cycle, is present. As noted in many ice- core studies (Beer et al., 1994; Yiou et al., 1997; Steig et al., 1998), observing the 11-year cycle in a 10Be concentration record clearly shows that 10Be fallout variations are recorded (the reverse is not necessarily true: if we did not observe the 11-year cycle, it could signal only that it was suppressed by a multi-year residence time for fallout 10Be in the lake and catchment, which would not affect recording of centennial-scale variability). Analytical work for this part of the project will require approximately 90 10Be measurements, including paired summer and winter analyses on a number of glacial and nonglacial sections (approx. 40 analyses) and analyses of at least two short continuous sections at a resolution adequate to observe the 11-year period (e.g., two-year spacing over a 50-year period; 50 samples). Research focus 2: generating a long 10Be flux record suitable for correlation. In the second part of the project we will choose a section of the NAVC from which to generate a long 10Be record with resolution appropriate to matching the centennial-scale variations in 10Be flux observed in the Greenland ice cores, and then generate this record. At present, absent any new information we may gain from the first part of the project described above, we think the nonglacial varve section at Newbury is the most likely section of the NAVC to yield such a record, for three reasons. First, varves are relatively thin, which limits dilution of the fallout signal. Second, centennial-scale variations in 10Be flux during this time interval are suitable for correlation at the needed precision, as demonstrated by Muscheler et al. (2008). Third, this section is one of the longest continuous sections in the NAVC, which permits us to generate as long a record as possible from a single site: this avoids any potential complications related to patching together 10Be records from multiple locations within the lake system.",2011,2014
Joshua Schimel Seeta Sistla,9/1/11,8/30/13,"$15,000 ",National Science Foundation,Federal agencies,1110843,Dissertation Rersearch: Exploring the Impacts of Long-Term Warming on Arctic Soils: Linking Microbial Communities with Seasonal Biogeochemical Dynamics,"The goals of this project are to: 1. Estimate changes in soil C and N stocks with warming (July, 2008).Characterize extractable C and N, soil incubation-derived C-mineralization rates, extracellular enzymatic potential and microbial biomass across soil horizons and seasons. 2. Characterize differences in actively growing and overall microbial community composition in response to warming and link this community data with concurrently collected biogeochemical data (preliminary data from May 2009, through seasons 2010, data analysis through 2012). 3. Incorporate biogeochemical data from the project into a model framework (2010 - 2013).",2011,2013
Dylan Rood,9/15/11,8/31/14,"$150,017 ",National Science Foundation,Federal agencies,1114436,Collaborative Research: Deciphering Connections Among Land Management Soil Erosion and Sediment Yield in Large River Basins,"This research is a systematic, multidisciplinary study of the relationship between land-use and fluvial sediment transport in a mountainous region of western China. In this region, a unique hydrological dataset provides a framework to relate sediment transport changes to land-use, in the context of rapid urbanization and climate change. We will use hydrological observations and isotopic measurements to estimate sediment transport over a variety of temporal and spatial scales, determine the sources and sinks of the sediment, and tie our findings to regional land-use history. We anticipate these efforts will demonstrate that understanding the source and fate of sediment is important as it will allow us to unravel the effect of land-use on sediment transport in sensitive mountain regions undergoing population expansion, provide critical information for development and environmental conservation projects, and better allow us to use sediment flux measurements on a variety of time scales to estimate geological-time-scale rates of mass export from the landscape.",2011,2014
Leila Carvalho Charles Jones Bodo Bookhagen,8/15/11,7/31/15,"$563,506 ",National Science Foundation,Federal agencies,1116105,Climate Variability and Impacts on Regional Surface Runoff in High Asia Mountains,The current state and future fate of the ‚ÄòHigh Asian water towers‚Äô (i.e. freshwater reservoirs at high elevations) are of central importance for water food and power supply of densely populated regions in south east and central Asia. In addition to the highly seasonal summer rainfall winter precipitation is important for snowmelt and discharge in the pre-monsoon (spring) season. Runoff from snow is especially significant in the central Asian and western Himalayan regions where hundreds of millions of people reside but observation understanding and prediction of terrestrial water storage and fluxes remain poorly understood. Quantification of seasonal amounts of rain snow glacial and snowmelt waters and associated physical processes are largely unknown despite their importance to pre-monsoon and dry-season water for irrigation drinking and power generation. The main goal of this project is to advance our current understanding of climate processes on regional-to-continental scales and how they affect the water balance in the High Asia Mountains. The project focuses on multiannual-to-decadal variations in the Indian Summer Monsoon (ISM) and winter western disturbances (WD) and their impacts on rainfall snow and runoff variability in High Asia. The project will focus on three specific objectives: I. Characterize and investigate multi-annual-to-decadal variations in the Indian Summer Monsoon and western disturbances and their regional impacts on the surface water budget in the High Asia Mountains. II. Examine the spatiotemporal variability of the surface water budget including changes in rainfall and snow and their relative roles in driving runoff variations in High Asia. III. Develop case studies to investigate changes in Indian Summer Monsoon and western disturbances seasons and their influences on the long-term variability of snow and associated runoff in the High Asia Mountains. Changes in the Indian Summer Monsoon and western disturbances include extremely wet/dry monsoon seasons high/low frequency and precipitation intensity of winter storms and teleconnections associated with warm/cold El NinÃÉo/Southern Oscillation (ENSO) phases.,2011,2015
Ralph Archuleta,9/1/11,8/31/12,"$28,237 ",National Science Foundation,Federal agencies,1143751,4th International IASPEI Symposium on Effects of Surface Geology on Seismic Motion UC Santa Barbara 23 - 26 August 2011,The Fourth ESG International Symposium will address current issues in earthquake ground motion prediction with an emphasis on the effects of surface geology on seismic motion. ESG4 will present recent studies taking into account advances in research since 2006 and help to guide future studies of the effects of surface geology on seismic motion. We expect approximately 200 persons. Attendees will be an international group of earthquake scientists and engineers (and students) who will speak on diverse topics from the state of the art of ground motion research and practice.,2011,2012
James Frew,8/1/13,7/31/16,"$250,364 ",National Science Foundation,Federal agencies,1302236,III: Medium: Collaborative Research: Citing Structured and Evolving Data,Citation is an essential part of scientific and scholarly publishing: it is used to gauge the trust placed in published data and for better or worse is an important factor in judging academic reputation. Now that much scientific publishing ‚Äì especially data publishing ‚Äì takes place through a database rather than conventional journals how should something that is found in a database be cited? More generally how should digital data that is stored in a repository with internal structure and which is subject to change be cited? This is the case for the very large number of curated databases through which much scientific publishing now takes place; it is also true of most scientific data collections which are seldom stable. There has recently been substantial interest in the problem of data citation and various organizations have proposed structures for the format and content of citations; however most proposals do not address issues of structure and change that are intrinsic to databases. The focus of this proposal is to develop a framework for data citation which takes into account the following issues: (1) the potentially very large number of possible citations; (2) citations should be both human and machine readable; and (3) citations must conform to specifications prescribed by both the publishers of the data and by the various standards that are being established. All these give rise to interesting computational challenges: citations must be generated automatically from the data; the source data must be guaranteed to support the generation of these citations; and the generated citations must be guaranteed to conform to the specifications. Of course as with any computational problem all this must be done efficiently. Citation is also closely related to provenance and issues of reproducible results. Workflows executable papers and microcitations have all been proposed to support reproducible analysis of data. The work of this project will explore the connections between these ideas and where possible establish a common framework. For many databases the publishers and authors have a clear idea of how they would like their data to be cited and there is enough information in the database to enable these citations to be generated once the right computational machinery has been developed. However interesting questions arise when a set of data to be cited is arrived at by means of a query in which case the query itself may need to be included (an actionable citation). In other cases the navigational structure needed for meaningful citation ‚Äì such as in the case with linked open data or RDF which are ostensibly large amorphous graphs ‚Äì may be missing. The challenge here is to find techniques for discovering or adding that structure to provide the necessary basis for citation.,2013,2016
J. Carter Ohlmann,12/1/08,3/31/12,"$146,651 ",Jet Propulsion Laboratory,Federal agencies,1360271,Impact of NASA Satellite Data and Models on U.S. Coast Guard's Decision Support Tool for Search and Rescue in the Northeastern Pacific Ocean,"A drifter study is being proposed for a quantitative indication of horizontal advection and diffusion processes in the study region over a wide range of time and space scales. Drifters provide a direct measure of transport pathways taken by surface water parcels. In addition, dispersion values are accurately obtained from drifter data by considering the relative motion of drifter pairs. Finally, drifter data can quantify sub-grid-scale motions averaged in H.F. radar fields, and provide a means for quantifying trajectories determined from both Eulerian data (i.e. H.F. radar) and numerical models. The primary goals of the proposed drifter work are: ● observe the eddy energy on scales not resolved by HF radar ● validate HF radar derived velocities ● quantify the skill of trajectories determined from numerical models Data from a set of drifting buoys, or drifters, will be collected and used to achieve the project goals. A total of 12 drifters will be repetitively deployed in a variety of configurations so as to achieve the project goals during the ~2 week intensive sampling program. The first sampling configuration (hereafter “small scale deployment”) will involve placing all 12 drifters uniformly within a 1x1 km HF radar grid cell. As the drifters leave the box, they will be retrieved and redeployed so as to maintain a nearly uniform distribution throughout the box. This sampling configuration will give in situ time and space average surface current values over the same scales as observed with HF radar, thus allowing for validation HF radar data and quantification of the eddy kinetic energy (EKE) that exists on sub HF radar scales (i.e. Ohlmann et al 2007). 149 Knowledge of the quality of HF radar data and the aliased energy are crucial parameters that must accompany assimilation of HF radar data in numerical models. The second sampling configuration (hereafter “large scale deployment”) will involve successive deployment of clusters of 3 drifters throughout a day. The drifters will be left to sample the circulation for roughly 3 days, or until it appears they are near beaching or exiting the sound. This sampling configuration will give in situ trajectories that can be used for quantifying skill of trajectories obtained from numerical model results. In addition, the data will give examples of how trajectories can change with small variations in the deployment time. Finally, computation of eddy diffusivity values on a number of scales from drifter pair separation statistics will provide direct observations of eddy motions that are parameterized in numerical models. Small scale deployments will occur within an HF radar grid cell located where radials are near orthogonal so as to avoid errors from geometric dilution of precision. This sampling configuration will be carried out for 1 day at the beginning, middle, and end of the observational period. Drifters will be drogued at a depth of 1 meter, close to integration depth of the radar which depends on HF radar operating frequency. Large scale deployments will occur during the first and second weeks of the intensive observational period so as to (presumably) capture flows during two unique synoptic events. Drogue depth, primarily at 1 meter, will be altered on one of the cluster releases to look at variation in the effect of wind drift with depth. This will be especially useful for model validation which assimilates surface data and predicts subsurface values. A recent study shows the significance of vertical shear in the horizontal current field over the top few meters of the ocean on determination of trajectories (French McCay et al. 2007) High resolution Microstar drifters are proposed. The recently developed Microstar (Ohlmann et al. 2005) records its position with GPS and transmits the position data to a host computer using the Iridium satellite communications network. Data transmission is near real-time allowing drifter positions to be monitored from any computer with internet access. Position data, sampled every 10 minutes, is accurate to within ~10 m. The sampling frequency provides a high signal-to- noise ratio even in small velocity regimes. The spatial accuracy and near real-time transmission enables drifters to be recovered and redeployed. The Microstar uses a collapsible scaled-down tri-star type drogue with a drag-area-ratio greater than 41 that is centered at ~1 m depth. Slip is ~0.1% of the wind speed (~1 cm/s in 10 m/s of wind) which is typical of modern-day drifters. The Microstar is appropriate for the proposed work for a number of reasons. First, it has extremely high spatial and temporal resolution, required to resolve the small scales of motion that characterize coastal flows.",2008,2012
Jiancheng Shi,12/1/08,12/31/13,"$376,004 ",Jet Propulsion Laboratory,Federal agencies,1360781,Technical Development for SMAP Soil Moisture Retrieval,"The Soil Moisture Active and Passive (SMAP) mission, to be launched in 2013, will use a combined L-band radiometer (40 km) and high-resolution radar (1-3 km) to measure surface soil moisture and freeze-thaw state. Dr. Jiancheng Shi at University of California, Santa Barbara (UCSB) will contribute to the SMAP mission through two complementary efforts. (1) Dr. Jiancheng Shi will contribute, along with other SMAP team members, to establish the soil moisture algorithm test-beds for SMAP mission. Specifically, Dr. Jiancheng Shi will provide computer simulations of the SMAP backscatter and brightness temperature response to a geophysical scene typical of that to be observed by SMAP. The backscatter and brightness temperature simulations will include effects of soil and vegetation, and noise and calibration error characteristics typical of those expected for SMAP. The output of the simulations will be a database that will be made available to other members of the SMAP team. (2) Dr. Jiancheng Shi will participate with other SMAP team members to provide the guidance and associated physical theory on the directions of soil moisture retrieval algorithm developments using passive, active, and combined active-passive approaches by the performance of validation, analyses and documents on the current and any new algorithms. Specifically, Dr. Jiancheng Shi will □ Using the current state-art microwave theoretical models to evaluate the algorithm’s basic assumptions and sensitivities on soil moisture, surface roughness, and vegetation properties to direct improvements on algorithms; □ Using the current available ground, airborne, and satellite experimental data to evaluate the algorithm’s basic assumptions and sensitivities on soil moisture, surface roughness, and vegetation properties to direct improvements on algorithms. 167 □ Retrievals will be performed by the current available algorithms on this database to assess the ability to recover soil moisture in the presence of vegetation and other instrument and geophysical noise.",2008,2013
Laura Hess,3/16/09,9/30/12,"$441,708 ",Jet Propulsion Laboratory,Federal agencies,1367520,An Inundated Wetlands Earth System Data Record: Global Monitoring of Wetland Extent and Dynamics,This project will focus on 1) documentation of classification system and procedures 2) setting up data processing infrastructure and 3) generating products for the central Amazon region. An LCCS2-based classification system for wetland cover and inundation cross-referenced to ALOS K&C wetlands products will be developed. Optimal segmentation parameters for ScanSAR and Fine Beam data will be assessed using empirical metrics. Procedures will be established for watershed-based low-resolution assessment of seasonality of precipitation and river stage from existing datasets. Using existing validated algorithms for tropical wetlands mapping wetland extent vegetation structure and seasonal inundation will be mapped for the central Amazon region and high-water validation datasets will be assembled.,2009,2012
Leonel Romero,1/1/13,12/31/13,"$35,985 ",University of California,UC-wide,2004310,Modeling and Analysis of Measurements of Waves Interacting with Eddies in the Gulf of Mexico,"In October 2011, novel airborne measurements were collected during a two-week experiment in the GoM. The airborne instrumentation included a scanning LIDAR to measure the surface waves and geostrophic currents, a downward-looking camera to detect breaking waves, and an Infrared camera to measure the fine structure of the temperature field near the surface. The wave measurements have a spatial resolution nearly 100 times better than other similar data in the literature (e.g. Romero and Melville, 2010). This will allow testing and improving the numerical wind-wave predictions a across multiple scales (100m to 30cm). The scope of the proposed work is to analyze and model the airborne wave observations with emphasis on the wave statistics including the incidence of extreme waves and the crest-length statistics in areas with significant wave-current interactions.",2013,2013
Ralph Archuleta,9/1/13,8/31/14,"$47,000 ",University of Southern California,Institutes of higher education,10035505,SCEC4 Participation Project F: Broadband Modeling of Earthquake Ground Motions,The scope of UCSB‚Äôs involvement is to ensure the correct implementation of the UCSB‚Äôs broadband modeling modules (Schmedes et al. 2012) in the validations and forward simulations. Once the validations are complete the UCSB module will be made available on the SCEC Broadband Platform. UCSB is only one of several modeling techniques that will be developed and fined tuned during the calibration phase of the validation project. The first validations will run through January 2013 for earthquakes that are modeled with a single plane and through February 2013 for earthquakes involving more than one fault plane.,2013,2014
Ralph Archuleta,11/1/12,8/31/13,"$47,000 ",University of Southern California,Institutes of higher education,10113445,SCEC4 Participation Project F: Broadband Modeling of Earthquake Ground Motions,The scope of UCSB‚Äôs involvement is to ensure the correct implementation of the UCSB‚Äôs broadband modeling modules (Schmedes et al. 2012) in the validations and forward simulations. Once the validations are complete the UCSB module will be made available on the SCEC Broadband Platform. UCSB is only one of several modeling techniques that will be developed and fined tuned during the calibration phase of the validation project. The first validations will run through January 2013 for earthquakes that are modeled with a single plane and through February 2013 for earthquakes involving more than one fault plane.,2012,2013
Ralph Archuleta,1/1/11,12/31/12,"$72,170 ",US Department of Interior,Federal agencies,10600014,Strong Ground Motions in Salt Lake City and Other Metropolitan Areas From Large Earthquakes on the Wasatch Fault,Nearly 80% of the population of Utah lives near the Wasatch fault (Utah Geological Survey 1996). The metropolitan areas of Salt Lake City and Provo/Orem are among the most hazardous regions of the United States (USGS 1998). Besides the question: When will the next large earthquake occur? The most important question is: What will the ground motion be? Large earthquakes even moderate sized events are relatively rare on the Wasatch fault. The geological setting‚Äîwhere most of the infrastructure and the population are sitting on alluvial filled valleys‚Äî exacerbates the situation. We propose to mitigate the seismic risk by using dynamic and kinematic simulations of different earthquake scenarios to derive estimates of the expected ground motion from large earthquakes on the Wasatch fault. These simulations will account for: 1) geometry of the fault 2) the velocity structure in particular the 3D structure with sediments juxtaposed against the granite of the mountains 3) topography 4) heterogeneous stress on the fault and 5) physics of the constitutive laws for friction. Many different earthquake scenarios based on different hypocenters and variations of the input parameters will be simulated in order to determine the range of the ground motion. These simulations will provide ground motion for frequencies up to 1-2 Hz. We will make use of the extensive investigations already done for the Wasatch fault that document the geometry of the fault active tectonics and the velocity and attenuation structure. Recent USGS funded projects will provide more details about the 3D velocity structure as well as the near-surface velocities for some limited regions. Professor Robert Smith University of Utah has been either directly or indirectly involved with most of the studies that provide these basic data. We have used the 3D community velocity model and the USGS description of the fault geometry as the baseline for our simulations. We have incorporated these features in our initial simulations of the dynamics of a spontaneously propagating fracture. We use the finite element code MAFE [Ma and Beroza 2008; Ma and Archuleta 2006; Ma et al. 2007] to simulate dynamic ruptures on dipping faults. The dynamics includes heterogeneous stress conditions and a slip weakening constitutive law for friction that couples the heterogeneous stresses on the fault with the elastic response during a spontaneous shear fracture. While this method includes the realistic effects of geology fault structure and the physics of a spontaneously propagating shear fracture the ground motion is computationally limited to frequencies less than 1-2 Hz. To extend the frequency range to higher frequencies ~10-20 Hz we will collaborate with Professor Jacobo Bielak Carnegie Mellon University who has developed a hierarchical finite element method that can take our dynamic results of faulting as input to a kinematic model and propagate the motion to higher frequencies. With many different faulting scenarios there will be many different ground motion maps. The purpose of the project is to estimate the range of ground motion that should be expected from a MW ~7 earthquake on the Wasatch Fault. Preliminary results for normal faulting earthquakes show that the ground motion on the hanging wall (the side of the fault where most of population resides) has large ground motion and long duration due both to the proximity of the fault plane and the sediment filled basin. The largest amplitudes are within ¬±5 km of the fault trace with the largest amplitudes on the vertical component. Basically we have very limited direct knowledge of what to expect from a large normal-faulting earthquake. Through simulations of many scenario earthquakes that include realistic geological structure and fault geometries we will provide robust estimates for the expected ground motion from a MW~7 earthquake on the Wasatch fault.,2011,2012
Brian Clarke Douglas Burbank,9/1/12,8/31/15,"$171,556 ",National Science Foundation,Federal agencies,12272278,Quantifying Near-Surface Patterns of Bedrock Fractures and Assessing Controls on Fracture Formation,Rock strength is a well recognized but poorly known variable in landscape dynamics. Such strength plays a key role in shaping landscapes resisting erosive processes and modulating landslide hazards. The key factor however is not the strength of intact rock but rather the effective strength of the entire rock-mass at the surface where it interacts with climatic topographic and biotic variables. This effective strength is modulated by the development of fractures that weaken the rock mass and make it more susceptible to erosion physical and chemical weathering biologic activity or collapse. We have recently developed a methodology using both shallow seismic refraction surveys bedrock outcrops and laboratory analyses of ‚Äúintact‚Äù samples to delineate variations in fracture density in the shallow subsurface. These new data indicate two common fracture patterns versus depth: rock that is uniformly fractured (apparently by large-scale tectonic forces); and rock with a distinct fracture gradient in an upper layer (apparently due to geomorphic fracturing processes have damaged the near-surface) that overlies a much stronger less fractured lower layer. Although very promising this methodology needs to be refined tested and explored more thoroughly.,2012,2015
Leonel Romero,1/1/12,12/31/12,"$24,355 ",UC San Diego,UC-wide,20042310,Modeling and Analysis of Measurements of Waves Interacting with Eddies in the Gulf of Mexico,"This project involves the analysis and modeling of airborne surface wave observations. The subcontract is part of a project between UCSD and British Petroleum (BP) to study wind- waves and currents in the Gulf of Mexico (GoM). The goal is to develop new techniques for the monitoring of the surface waves and currents as well as improved numerical models for the prediction of waves and currents in the Gulf of Mexico. In October 2011, novel airborne measurements were collected during a two-week experiment in the GoM. The airborne instrumentation included a scanning LIDAR to measure the surface waves and geostrophic currents, a downward-looking camera to detect breaking waves, and an Infrared camera to measure the fine structure of the temperature field near the surface. The wave measurements have a spatial resolution nearly 100 times better than other similar data in the literature (e.g. Romero and Melville, 2010). This will allow testing and improving the numerical wind-wave predictions a across multiple scales (100m to 30cm). The scope of the proposed work is to analyze and model the airborne wave observations from the GoM. The findings of this work will lead to an improved wind-wave model including the interaction between surface waves and currents.",2012,2012
Erica Fleishman,4/17/09,4/30/13,"$50,000 ",Wilburforce Foundation,"Private agency, foundation",20091083,Maintaning Connectivity in the Great Basin in the Face of Climate and Land-Cover Change,We aimed to estimate the current location quality and connectivity of habitat for numerous species of breeding birds in four mountain ranges in the central Great Basin (Lander Nye and Eureka Counties Nevada) and to project the future location quality and connectivity of habitat for these species given different scenarios of climate-induced land-cover change. In the United States such models are relevant to federally mandated management of wild animals by state-level agencies. We sampled birds during the breeding seasons of 2001‚Äì2009 with fixed-radius point counts. For each of 50 species we used boosted regression trees to model reporting rate (proportion of years a location was surveyed in which the species was present) as a function of covariates related to topography and current land cover and climate. To assess model fit we calculated the proportion of binomial deviance explained. We used cross-validation to estimate the predictive accuracy of the models. We applied program Zonation which was designed for spatial conservation prioritization to identify the set of cells that maximized summed reporting rates for multiple species through time given current land cover and two scenarios of land-cover change (expansion of pinyon‚Äìjuniper woodland and contraction of riparian woodland). Models based on the set of 13 covariates derived from remotely sensed data had some predictive capacity for 41 of 50 species. Models suggested little change in the spatial distribution of high-quality habitat for these species following projected expansion of pinyon‚Äìjuniper woodland. There were considerable differences among species with respect to variables that explained a high proportion of variation in reporting rates and in projected responses to different scenarios of land-cover change.,2009,2013
Erica Fleishman,7/1/09,9/30/12,"$176,073 ",Kresge Foundation,"Private agency, foundation",20091450,Identification of Research Questions with Great Potential to Inform Conservation Policy and Investment Strategies in the United States,To maximize the utility of research to decision making especially given limited financial resources scientists must set priorities for their efforts We developed a list of 40 high-priority multidisciplinary research questions directed toward informing current and future decisions about management of species communities and ecological functions in the United States. The questions were generated by an open inclusive process that included personal interviews with decision makers broad solicitation of research needs from scientists and policymakers and an intensive workshop that included more than 30 scientifically oriented individuals responsible for managing and developing policy related to natural resources. The process differed from previous efforts to set priorities for conservation research in its focus on the engagement of decision- makers in addition to researchers. The research priorities emphasized the policy relevance of addressing societal context exploration of trade-offs among alternative policies and actions and more-traditional questions related to ecological processes and functions. We then conducted a survey of natural resource policymakers managers and scientists to rank the research questions with respect to their applicability to policy. We received completed surveys from 602 respondents including 194 policymakers and 70 scientists from government 228 scientists from academia and 110 others. A question on water supply necessary to sustain human populations and ecosystem resilience was ranked as having the greatest potential to increase the effectiveness of policies related to management of natural resources in the United States. There were significant differences in research priorities among respondents. We did not however find differences in priorities between academics and government employees nor between academic and government scientists and policymakers. No simplistic science-policy divide was evident in our sample.,2009,2012
Joshua Schimel Claudia Boot,7/1/09,6/30/11,"$10,000 ",National Science Foundation,Federal agencies,20091548,Dissolved Organic Matter in the Arctic: What does it Look Like Why does it Matter?,,2009,2011
