pis,start,end,amount,agency,relationship,id,title,funded,start-year,end-year
Christopher Costello,9/1/14,8/31/17,"$37,515 ",Conservation International,"Private agencies, foundations",1000487,Maintaining productivity and incomes in the Tonle Sap fishery in the face of climate change,y,2014,2017
Cathy Busby,3/30/14,2/28/15,"$99,778 ",Consortium for Ocean Leadership,"Private agencies, foundations",T350A44,U.S. Science Support Program,y,2014,2015
Joan Florsheim Edward Keller,10/1/16,9/30/17,"$13,943 ",CSU San Diego State University,Institutes of higher education,SA0000537,Evaluating Potential Environmental Impacts from Channel Morphology and Habitat Changes to the Santa Ana River Downstream of Prado Dam,y,2016,2017
Jeff Dozier Ned Bair,1/20/15,1/19/20,"$150,215 ",DA Army Cold Regions Research and Engineering Laboratory,Federal agencies,W913E5-15-C-0003,Methods to Estimate and Validate the Spatial Distribution of Snow Water Equivalent (SWE),y,2015,2020
Jeff Dozier Ned Bair,9/15/16,9/26/18,"$387,268 ",DA Army Cold Regions Research and Engineering Laboratory,Federal agencies,W913E5-16-C-0013,Methods to Robustly Assess the Snow Water Resource in Remote Mountains,y,2016,2018
Derek Booth,9/21/12,9/30/14,"$104,893 ",DA Army Cold Regions Research and Engineering Laboratory,Federal agencies,W912HZ-12-2-0016,Web-Based Conceptual Model for Urban Stream Systems,y,2012,2014
Margarita Portnykh Gary Libecap,8/1/14,3/31/17,"$192,692 ",Donors Trust,"Private agencies, foundations",73346928,Essays on Adaptation to Climate Change,y,2014,2017
Norm Nelson,8/9/13,8/8/15,"$7,662 ",East Carolina University,Institutes of higher education,A13-0184,A workshop on the laboratory measurement of the spectral absorption of color dissolved organic matter,y,2013,2015
Arturo Keller,10/1/13,7/31/14,"$9,995 ",Electric Power Research Institute,"Private agencies, foundations",00-10001423,"Publication on ""Use of InvEST to evaluate ecosystem services""",y,2013,2014
Arturo Keller,11/1/11,2/28/15,"$83,554 ",Electric Power Research Institute,"Private agencies, foundations",EP-P42069/C18398,Modeling Nutrient Credit Calculations in Ohio River Basin,y,2011,2015
Edward Keller,5/1/17,6/30/18,"$2,840 ",Evolving Earth Foundation,"Private agencies, foundations",SB170164,Chronology and Deformation of the Gaviota Coast near Santa Barbara California,y,2017,2018
Peter Homyak Joshua Schimel,6/1/17,5/31/18,"$45,000 ",Ford Foundation,"Private agencies, foundations",SB170159,Evaluating paradigms in phosphorus (P) biogeochemical cycling: The paradox of high P availability in ecosystems developing on P-poor parent material,y,2017,2018
Samantha Stevenson,9/15/18,9/14/21,"$105,178 ",Georgia Institute of Technology,Institutes of higher education,RK586-G1,Evaluating mechanisms of Pacific decadal variability in ESMs and their sensitivity to external forcing setup and implementation of simulations with E3SM and the analysis of output from E3SM and other CMIP6-class models,y,2018,2021
Robert Heilmayr,7/1/18,5/31/19,"$73,615 ",Global Canopy,"Private agencies, foundations",20181164,Trase for Indonesian Palm Oil,y,2018,2019
Lisa Stratton,8/1/17,12/31/19,"$75,000 ",Goleta West Sanitary District,California state and municipal agencies,SB180076,North Campus Open Space (NCOS) Public Access Implementation Project,y,2017,2019
Phil Gans,7/1/13,9/30/15,"$31,915 ",Great Lakes Exploration,"Private agencies, foundations",SB140046,Exploration of the Rochford Area Black Hills South Dakota: An Integrated Geologic Mapping and Framework Study,y,2013,2015
Leila Carvalho Charles Jones,1/1/12,12/31/16,"$450,000 ",International Potato Center (CIP),"Private agencies, foundations",SB120184,Regional Climate Variability and Changes in the Central Andes,y,2012,2016
Jeff Dozier Ned Bair,11/30/17,5/31/19,"$57,432 ",Jet Propulsion Laboratory,Federal agencies,1591172,Spatial Dynamics of Grain Size Radiative Forcing by Impurities and Spectral Albedo from AVIRIS-NG Data in the Indian Himalaya,y,2017,2019
Stephane Maritorena,12/1/18,9/30/19,"$124,164 ",Jet Propulsion Laboratory,Federal agencies,,CORAL Coral Reef Airborne Laboratory,y,2018,2019
Joel Michaelsen Lisa Stratton,12/21/15,6/30/20,"$923,718 ",Land Trust for Santa Barbara County,"Private agencies, foundations",SB160090,North Campus Open Space Devereux Creek Flood Plain Restoration Project,y,2015,2020
Kelsey Bisson David Siegel,5/15/17,6/30/19,"$50,000 ",National Academies Keck Futures Initiative,"Private agencies, foundations", NAKFI DB53,Project ROAM: Rendering Oceanography in Artistic Mediums,y,2017,2019
Ned Bair Karl Rittger,10/1/18,9/30/21,"$213,968 ",National Aeronautics and Space Administration,Federal agencies,80NSSC18K1489,Fusion of MODIS VIIRS and Landsat snow cover data to create high spatial and temporal resolution estimates of snow water equivalent in a well-instrumented and austere basin,y,2018,2021
Timothy DeVries Michael Nowicki,9/1/18,8/31/19,"$45,000 ",National Aeronautics and Space Administration,Federal agencies,80NSSC18K1353,Improving satellite-based estimates of net primary productivity by assimilating oceanographic data,y,2018,2019
Timothy DeVries,7/1/16,6/30/19,"$260,662 ",National Aeronautics and Space Administration,Federal agencies,NNX16AI22G,Quantifying the ocean's biological carbon pump with remotely sensed and in-situ observations,y,2016,2019
Jeff Dozier James Frew,6/24/11,9/30/16,"$1,425,210 ",National Aeronautics and Space Administration,Federal agencies,NNX11AK35A,Error Analysis of MODIS Fractional Snow-Covered Area and Snow Albedo in Mountain Regions,y,2011,2016
Jeff Dozier,4/1/12,9/30/17,"$834,399 ",National Aeronautics and Space Administration,Federal agencies,NNX12AJ87G,Assessing Water Resources in Remote Sparsely Gauged Snow-Dominated Mountain Basins,y,2012,2017
Jeff Dozier,9/1/15,8/31/17,"$239,066 ",National Aeronautics and Space Administration,Federal agencies,NNX15AT01G,CAS-NASA Workshops on Snow and Glacier Change and Related Natural Disasters in High Mountain Asia,y,2015,2017
Laura Hess,1/6/12,10/5/16,"$1,139,723 ",National Aeronautics and Space Administration,Federal agencies,NNX12AD27G,Land and Resource Use on the Amazon Floodplain Under Evolving Management Systems and Environmental Change: Fish Forests Cattle and Settlements,y,2012,2016
Stephane Maritorena David Siegel,2/8/11,2/7/15,"$487,545 ",National Aeronautics and Space Administration,Federal agencies,NNX11AE87G,From UV to Fluorescence a Semi-analytical Ocean Color Model for MODIS and Beyond,y,2011,2015
Stephane Maritorena David Siegel,5/15/13,5/14/18,"$956,638 ",National Aeronautics and Space Administration,Federal agencies,NNX13AK22A,Creating Unified Ocean Color Data Records with Uncertainties,y,2013,2018
Stephane Maritorena David Siegel,11/25/14,11/24/18,"$364,386 ",National Aeronautics and Space Administration,Federal agencies,NNX15AC65G,How useful will the PACE UV bands be for IOP retrievals and atmospheric correction?,y,2014,2018
John Melack Laura Hess Sally MacIntyre,1/1/10,12/31/14,"$357,736 ",National Aeronautics and Space Administration,Federal agencies,NNX10AB66G,Analysis and Synthesis of Carbon Dynamics on Amazon Floodplains,y,2010,2014
John Melack Sally MacIntyre,5/3/17,5/2/20,"$859,009 ",National Aeronautics and Space Administration,Federal agencies,NNX17AK49G,Methane fluxes from tropical aquatic systems: Integration of measurements hydrological and biogeochemical models and remote sensing,y,2017,2020
Norm Nelson David Siegel,3/27/18,3/26/21,"$579,527 ",National Aeronautics and Space Administration,Federal agencies,80NSSC18K0736,Bermuda Bio-Optics Project: Data for MODIS Algorithm Maintenance,y,2018,2021
Norm Nelson David Siegel,2/8/11,2/7/15,"$732,936 ",National Aeronautics and Space Administration,Federal agencies,NNX11AE99G,Bermuda Bio-Optics Project: Enhancement of Measurements for New Ocean Color Applications,y,2011,2015
Norm Nelson David Siegel,3/26/14,3/25/17,"$439,579 ",National Aeronautics and Space Administration,Federal agencies,NNX14AG24G,Ocean Color Observations on CLIVAR: Opportunities in 2014 and 2015,y,2014,2017
Norm Nelson David Siegel,7/1/14,7/1/18,"$1,056,179 ",National Aeronautics and Space Administration,Federal agencies,NNX14AM83G,Bermuda Bio-Optics Project: Continuation of Time-series and Retrospective Data Analysis,y,2014,2018
Alyson Santoro,7/20/18,7/19/21,"$351,478 ",National Aeronautics and Space Administration,Federal agencies,80NSSC18K1431,Surface versus subsurface controls on microbial attenuation of sinking particulate flux in the mesopelagic ocean,y,2018,2021
David Siegel Norm Nelson Uta Passow,8/1/17,9/17/21,"$4,263,668 ",National Aeronautics and Space Administration,Federal agencies,80NSSC17K0692,Synthesizing Optically- and Carbon Export-Relevant Particle Size Distributions for the EXPORTS Field Campaign,y,2017,2021
David Siegel,3/27/18,3/26/21,"$574,858 ",National Aeronautics and Space Administration,Federal agencies,80NSSC18K0735,Plumes and Blooms MODIS Algorithm Maintenance,y,2018,2021
David Siegel,7/7/11,7/6/15,"$825,000 ",National Aeronautics and Space Administration,Federal agencies,NNX11AL94G,Evaluating NPP Ocean Color Data Products in a Complex Coastal Environment: The Plumes and Blooms Program.,y,2011,2015
David Siegel Fernanda Henderikx-Freitas,9/1/11,8/31/14,"$90,000 ",National Aeronautics and Space Administration,Federal agencies,NNX11AQ26H,Bio-optical Variability of Plumes Blooms and Relaxations in the Santa Barbara Channel: How Biased are our Current Assessments?,y,2011,2014
David Siegel Thomas Bell,9/1/12,8/31/15,"$90,000 ",National Aeronautics and Space Administration,Federal agencies,NNX12AO05H,Hyperspectral Remote Sensing of Kelp Condition in the Santa Barbara Channel,y,2012,2015
David Siegel,10/1/12,11/12/14,"$102,158 ",National Aeronautics and Space Administration,Federal agencies,NNX13AC35G,Controls on Open Ocean Productivity and Export eXperiment - COOPEX,y,2012,2014
David Siegel,7/7/14,7/6/18,"$840,001 ",National Aeronautics and Space Administration,Federal agencies,NNX14AL94G,Plumes and Blooms: A Multi-Decadal Coastal Bio-Optical Time-series and Retrospective Data Analysis,y,2014,2018
David Siegel Norm Nelson Stephane Maritorena,3/1/15,2/28/20,"$1,280,934 ",National Aeronautics and Space Administration,Federal agencies,NNX15AE72G,North Atlantic Aerosol and Marine Ecosystem Study (NAAMES),y,2015,2020
David Siegel James Allen,9/1/15,8/31/18,"$105,000 ",National Aeronautics and Space Administration,Federal agencies,NNX15AN87H,Retrieval of Phytoplankton Size Distribution from Satellite Imagery,y,2015,2018
David Siegel Dylan Catlett,9/1/16,8/31/20,"$120,000 ",National Aeronautics and Space Administration,Federal agencies,NNX16AO44H,Linking Ocean Optical Properties with Marine Microbial Diversity Assessed by Next-Generation Sequencing,y,2016,2020
David Siegel,8/25/16,8/24/20,"$762,291 ",National Aeronautics and Space Administration,Federal agencies,NNX16AR49G,Data Mining Global Ocean Ecosystem & Carbon Cycling Observations for EXPORTS Planning & Synthesis,y,2016,2020
Jeff Dozier,9/1/16,8/31/19,"$120,000 ",National Aeronautics and Space Administration,Federal agencies,NNX16AO25H,Using the spatial variability of snow accumulation to evaluate the orographic effect in California's Sierra Nevada,y,2016,2019
Max Moritz,12/31/99,00/00/00,$0 ,National Fish and Wildlife Foundation,"Private agencies, foundations",0806.18.059850,Restoration & Resilience of Endemic BCDF: Phase II,y,1999,#VALUE!
Kelly Caylor, 11/28/2018,12/31/19,"$100,000 ",National Geographic Society,"Private agencies, foundations", NGS-57848R-18,Global maps of center pivot agriculture for improving estimates of crop yield and groundwater use,y,#VALUE!,2019
Douglas McCauley ,10/1/17,9/30/18,"$20,200 ",National Geographic Society,"Private agencies, foundations", WW-151R-17,Deploying next-generation remote sensing technologies to understand collective behavior in animal groups at multiple scales,y,2017,2018
Ned Bair,10/1/18,9/30/20,"$59,519 ",National Oceanic and Atmospheric Administration,Federal agencies,NA18OAR4590380,Improving subseasonal water supply prediction across the Western United States through assimilation of remotely sensed snow cover snow albedo and snow water equivalent in the NOAA National Water Model,y,2018,2020
Leila Carvalho Charles Jones,8/1/10,7/31/15,"$370,984 ",National Oceanic and Atmospheric Administration,Federal agencies,NA10OAR4310170,An Integrated View of the American Monsoon Systems: Observations Models and Probabilistic Forecasts,y,2010,2015
Qinghua Ding Charles Jones,9/1/18,8/30/20,"$297,938 ",National Oceanic and Atmospheric Administration,Federal agencies,NA18OAR4310424,Abrupt Arctic warming episodes driven by atmospheric circulation changes in the past 1150 years,y,2018,2020
Derek Booth Thomas Dunne,7/1/15,6/30/20,"$850,034 ",National Park Service,Federal agencies, P15AC01121,Yosemite Valley Merced River Restoration,y,2015,2020
Roland Knapp,9/30/18,9/30/23,"$96,601 ",National Park Service,Federal agencies,,Restoring Genetic Diversity of Endangered Mountain Yellow-legged Frogs in Extirpated Watersheds,y,2018,2023
Roland Knapp,6/10/15,6/10/20,"$10,325 ",National Park Service,Federal agencies, P15AC01412,Restoring rare frogs in Yosemite National Park,y,2015,2020
Roland Knapp,9/30/16,9/30/21,"$44,703 ",National Park Service,Federal agencies,P16AC01701,Critical Restoration Efforts to Recover Endangered Mountain Yellow-legged Frogs in Sequoia and Kings Canyon National Parks,y,2016,2021
Roland Knapp,12/31/99,00/00/00,$0 ,National Park Service,Federal agencies,P19AC00789,Assess Condition and Habitat of Parkwide Endangered Mountain Yellow-legged Frog Populations in SEKI and YOSE to Inform Design of Recovery Strategies,y,1999,#VALUE!
Sarah Anderson Elizabeth Hiroyasu,8/15/18,7/31/20,"$16,885 ",National Science Foundation,Federal agencies,1747562,Doctoral Dissertation Research: Using Prospect Theory and Human Perceptions of Wildlife to Predict Support for Invasive Species Management,y,2018,2020
Ralph Archuleta,1/1/15,12/31/15,"$38,006 ",National Science Foundation,Federal agencies,1449275,Numerical Modeling of Earthquake Motions: Waves and Ruptures,y,2015,2015
Ralph Archuleta Chen Ji,9/1/12,8/31/17,"$359,859 ",National Science Foundation,Federal agencies,EAR-1215769,Improving Resolution of Finite Inversions With Increasing Bandwidth,y,2012,2017
Douglas Burbank Bodo Bookhagen,7/1/08,7/31/14,"$280,000 ",National Science Foundation,Federal agencies,819874,Collaborative Research: Orogeny orography and unsteady erosion: evolution of the Himalaya,y,2008,2014
Douglas Burbank Bodo Bookhagen,8/1/11,7/31/17,"$275,006 ",National Science Foundation,Federal agencies,1050070,The Pamir Frontal Thrust System: Rates Style and Controls on Deformation,y,2011,2017
Douglas Burbank Bodo Bookhagen,5/15/12,4/30/16,"$143,370 ",National Science Foundation,Federal agencies,EAR-1148268,Collaborative Research: Reconstructing Mid-Miocene-to-Recent Paleo-Erosion Rates in the Eastern Andes Northern Argentina,y,2012,2016
Cathy Busby,3/1/14,2/28/18,"$137,042 ",National Science Foundation,Federal agencies,EAR-1347901,Collaborative Research: The Rosario Segment of the Cretaceous Alisitos Oceanic Arc (Baja California Mexico): An Outstanding Field Analog to the Izu Bonin Arc,y,2014,2018
Cathy Busby,8/1/14,7/31/17,"$116,048 ",National Science Foundation,Federal agencies,EAR-1358130,REU Site: Collaborative Research: Field-Based Research on the Gulf of California Rift Margin Basins Baja California Sur (Mexico),y,2014,2017
Leila Carvalho Charles Jones Bodo Bookhagen,8/15/11,1/31/17,"$563,506 ",National Science Foundation,Federal agencies,1116105,Climate Variability and Impacts on Regional Surface Runoff in High Asia Mountains,y,2011,2017
Kelly Caylor Leila Carvalho Matthew Hall Greg Husak David Siegel,8/1/17,12/31/18,"$481,730 ",National Science Foundation,Federal agencies,1659449CC,Networking Infrastructure: UCSB Network Upgrade to 100 Gigabit,y,2017,2018
Kelly Caylor,2/1/17,2/29/20,"$628,779 ",National Science Foundation,Federal agencies,1801251,WSC-Category 2 Collaborative: Impacts of Agricultural Decision Making and Adaptive Management on Food Security,y,2017,2020
Jordan Clark,9/1/10,8/31/14,"$185,621 ",National Science Foundation,Federal agencies,OCE-1031352,Collaborative Research: Large-scale Long-term Multi-directional Cross-hole Experiments in the Upper Oceanic Crust Using a Borehole Observatory Network,y,2010,2014
Jordan Clark,6/1/13,5/31/17,"$121,801 ",National Science Foundation,Federal agencies,OCE-1260353,Collaborative Research: Completing single- and cross-hole hydrogeologic and microbial experiments: Juan de Fuca Flank,y,2013,2017
Brian Clarke Douglas Burbank,9/1/12,8/31/15,"$171,556 ",National Science Foundation,Federal agencies,12272278,Quantifying Near-Surface Patterns of Bedrock Fractures and Assessing Controls on Fracture Formation,y,2012,2015
Brian Clarke,9/1/13,8/31/16,"$25,549 ",National Science Foundation,Federal agencies,EAR-1324627,Collaborative Research: Differentiating Between Lithologic and Baselevel Controls on River Profiles: Canyons of the Colorado Plateau,y,2013,2016
John Cottle,5/1/11,10/31/14,"$133,321 ",National Science Foundation,Federal agencies,1050043,Collaborative Research: Improving the Accuracy and Precision of Monazite and Allanite Geochronology via ID Th-Pb Ages for Reference Materials,y,2011,2014
John Cottle,9/1/15,8/31/19,"$257,128 ",National Science Foundation,Federal agencies,1443296,Petrologic Constraints on Subduction Termination from Lamprophyres Ross Orogen Antarctica,y,2015,2019
John Cottle,1/15/17,6/30/20,"$86,426 ",National Science Foundation,Federal agencies,1650265,Collaborative Research: Andean plutonic perspectives on generation storage and eruption of rhyolite,y,2017,2020
John Cottle,7/1/11,12/31/15,"$311,385 ",National Science Foundation,Federal agencies,ANT-1043152,Exploring the Significance of Na-Alkalkine Magmatism in Subduction Systems a Case Study From the Ross Orogen Antartica,y,2011,2015
John Cottle,7/1/11,6/30/16,"$366,356 ",National Science Foundation,Federal agencies,EAR-1119380,How Does the Mid-crust Accommodate Deformation in Large Hot Collisional Orogens? Insight From the Himalaya-Tibet System,y,2011,2016
Frank Davis,10/1/15,9/30/18,"$63,513 ",National Science Foundation,Federal agencies,1550653,Collaborative Research: EAGER-NEON: How do microscale biophysical processes mediate ecosystem shifts during climate change-driven drought?,y,2015,2018
Frank Davis,6/1/11,12/31/17,"$2,328,985 ",National Science Foundation,Federal agencies,EF-1065864,Collaborative Research: Do Micro-environments Govern Macro-ecology?,y,2011,2017
Timothy DeVries,7/1/17,6/30/20,"$274,355 ",National Science Foundation,Federal agencies,1658392,Collaborative research: Combining models and observations to constrain the marine iron cycle,y,2017,2020
Qinghua Ding,6/1/18,5/31/21,"$341,590 ",National Science Foundation,Federal agencies,1744598,Collaborative Research: Arctic sea ice variability: Remote drivers and local processes,y,2018,2021
Jeff Dozier,10/1/10,9/30/14,"$33,972 ",National Science Foundation,Federal agencies,EAR-1015057,Rapid Quantitative Snow Stratigraphy for Avalanche Forecasting Using Near-Infrared Photography,y,2010,2014
Zachary Eilon,8/15/17,7/31/21,"$244,801 ",National Science Foundation,Federal agencies,1658214,Collaborative Research: Imaging small-scale convection and structure of the mantle in the south Pacific: a US contribution to an international PacificArray,y,2017,2021
Zachary Eilon,5/15/18,4/30/21,"$179,944 ",National Science Foundation,Federal agencies,1723170,Collaborative Research: The context for rifting in East Africa - melt distribution and lithospheric removal imaged from axis to flank,y,2018,2021
Zachary Eilon,1/1/18,12/31/19,"$183,537 ",National Science Foundation,Federal agencies,1753722,Collaborative research: Lithosphere-scale anisotropic imaging across the Eastern North America Margin's ocean-continent transition,y,2018,2019
Joan Florsheim Edward Keller,9/15/13,2/28/17,"$22,866 ",National Science Foundation,Federal agencies,EAR-1359734,Collaborative Research: RAPID: Short-and Long-term Sediment Dynamics Following Wildfire in Chaparral Environments,y,2013,2017
James Frew,8/1/13,7/31/19,"$250,364 ",National Science Foundation,Federal agencies,1302236,III: Medium: Collaborative Research: Citing Structured and Evolving Data,y,2013,2019
Brad Hacker,2/1/09,1/31/15,"$227,664 ",National Science Foundation,Federal agencies,838264,Collaborative Research: Testing Channel-Flow Models Using Middle-Crustal Rocks of North Himalayan Gneiss Domes,y,2009,2015
Brad Hacker,4/1/13,3/31/16,"$75,489 ",National Science Foundation,Federal agencies,1249486,Collaborative Research: The Role of Fluids in Intermediate-Depth Seismicity and Wedge Anisitrophy: Case Studies for Cascadia and Alaska With a Comparison to Japan,y,2013,2016
Brad Hacker John Cottle,2/15/16,1/31/20,"$332,772 ",National Science Foundation,Federal agencies,1551054,Collaborative Research: Characterizing and Modeling Crustal Recycling,y,2016,2020
Brad Hacker,9/1/18,8/31/21,"$91,110 ",National Science Foundation,Federal agencies,1829426,Collaborative Research: Structure and dynamics of the Alaska mantle wedge,y,2018,2021
Brad Hacker,6/1/11,5/31/16,"$266,136 ",National Science Foundation,Federal agencies,EAR-1008760,Collaborative Research: The Suturing Process: Insight from the India-Asia Collision Zone,y,2011,2016
Brad Hacker Andrew Kylander-Clark,7/1/12,6/30/16,"$329,701 ",National Science Foundation,Federal agencies,EAR-1219942,What Determines Whether the Deep Continental Crust Flows?,y,2012,2016
Brad Hacker Andrew Kylander-Clark,3/1/14,2/28/19,"$304,644 ",National Science Foundation,Federal agencies,EAR-1348003,What Causes UHT Metamorphism: Lengthscales and Timescales,y,2014,2019
