,division,group,label,count
79,Engineering, 0913 Mechanical Engineering,913,11
81,Studies in Human Society, 1606 Political Science,1606,10
82,Built Environment and Design, 1205 Urban and Regional Planning,1205,10
84,Chemical Sciences,0305 Organic Chemistry,305,9
87,Engineering,0911 Maritime Engineering,911,9
93,Physical Sciences,0204 Condensed Matter Physics,204,7
95,Physical Sciences,0205 Optical Physics,205,7
100,Technology, 10 Technology,10,6
102,Medical and Health Sciences,11 Medical and Health Sciences,11,6
101,Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,703,6
98,Law and Legal Studies,1801 Law,1801,6
96,Built Environment and Design, 1202 Building,1202,6
110,Economics,1499 Other Economics,1499,5
109,Studies in Human Society,1601 Anthropology,1601,5
103,Information and Computing Sciences, 0804 Data Format,804,5
107,Information and Computing Sciences,08 Information and Computing Sciences,8,5
106,Mathematical Sciences,0102 Applied Mathematics,102,5
105,Medical and Health Sciences,1103 Clinical Sciences,1103,5
119,Information and Computing Sciences,0803 Computer Software,803,4
118,Psychology and Cognitive Sciences, 1702 Cognitive Sciences,1702,4
115,History and Archaeology, 2101 Archaeology,2101,4
116,Medical and Health Sciences,1108 Medical Microbiology,1108,4
128,Medical and Health Sciences,1109 Neurosciences,1109,3
127,Studies in Human Society,1603 Demography,1603,3
125,Mathematical Sciences,0103 Numerical and Computational Mathematics,103,3
123,Mathematical Sciences,0101 Pure Mathematics,101,3
122,History and Archaeology,2103 Historical Studies,2103,3
120,Earth Sciences, 0499 Other Earth Sciences,499,3
148,"Commerce, Management, Tourism and Services",1506 Tourism,1506,2
144,Technology,1001 Agricultural Biotechnology,1001,2
146,Education,1303 Specialist Studies In Education,1303,2
147,Economics, 14 Economics,14,2
149,Medical and Health Sciences,1107 Immunology,1107,2
151,Technology,1004 Medical Biotechnology,1004,2
142,Education,1302 Curriculum and Pedagogy,1302,2
143,"Language, Communication, and Culture",2004 Linguistics,2004,2
136,History and Archaeology,2102 Curatorial and Related Studies,2102,2
141,Economics, 1403 Econometrics,1403,2
133,"Commerce, Management, Tourism and Services", 1507 Transportation and Freight Services,1507,2
140,Psychology and Cognitive Sciences,17 Psychology and Cognitive Sciences,17,2
130,Studies in Human Society,16 Studies in Human Society,16,2
131,Engineering,0903 Biomedical Engineering,903,2
134,Physical Sciences, 0203 Classical Physics,203,2
138,"Commerce, Management, Tourism and Services",1505 Marketing,1505,2
180,Economics, 1401 Economic Theory,1401,1
177,Medical and Health Sciences, 1101 Medical Biochemistry and Metabolomics,1101,1
178,Information and Computing Sciences, 0802 Computation Theory and Mathematics,802,1
179,Built Environment and Design,12 Built Environment and Design,12,1
181,Studies in Human Society, 1607 Social Work,1607,1
169,Medical and Health Sciences, 1115 Pharmacology and Pharmaceutical Sciences,1115,1
167,"Commerce, Management, Tourism and Services"," 15 Commerce, Management, Tourism and Services",15,1
166,Medical and Health Sciences,1102 Cardiorespiratory Medicine and Haematology,1102,1
165,Medical and Health Sciences,1113 Ophthalmology and Optometry,1113,1
164,Biological Sciences,0606 Physiology,606,1
159,Agricultural and Veterinary Sciences,0799 Other Agricultural and Veterinary Sciences,799,1
157,Chemical Sciences,0304 Medicinal and Biomolecular Chemistry,304,1
156,Engineering, 0910 Manufacturing Engineering,910,1
