,division,group,label,count_14_19,count_09_14,difference,norm_09_14,norm_14_19,norm_diff
30,Biological Sciences,0601 Biochemistry and Cell Biology,601,36.0,27.0,9.0,0.0073972602739726025,0.006470165348670022,-0.0009270949253025809
31,Engineering,0912 Materials Engineering,912,34.0,73.0,-39.0,0.02,0.006110711718188354,-0.013889288281811647
32,Agricultural and Veterinary Sciences,0704 Fisheries Sciences,704,33.0,14.0,19.0,0.0038356164383561643,0.00593098490294752,0.0020953684645913556
33,Biological Sciences, 0608 Zoology,608,31.0,38.0,-7.0,0.010410958904109589,0.005571531272465852,-0.004839427631643737
34,Chemical Sciences, 0399 Other Chemical Sciences,399,31.0,25.0,6.0,0.00684931506849315,0.005571531272465852,-0.0012777837960272981
35,Psychology and Cognitive Sciences,1701 Psychology,1701,29.0,24.0,5.0,0.006575342465753425,0.005212077641984184,-0.0013632648237692406
36,Chemical Sciences,0301 Analytical Chemistry,301,25.0,20.0,5.0,0.005479452054794521,0.004493170381020848,-0.0009862816737736726
37,Medical and Health Sciences,11 Medical and Health Sciences,11,25.0,6.0,19.0,0.0016438356164383563,0.004493170381020848,0.0028493347645824917
38,Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,703,24.0,6.0,18.0,0.0016438356164383563,0.004313443565780014,0.002669607949341658
39,Physical Sciences, 0203 Classical Physics,203,23.0,2.0,21.0,0.000547945205479452,0.00413371675053918,0.003585771545059728
40,Mathematical Sciences,0102 Applied Mathematics,102,22.0,5.0,17.0,0.0013698630136986301,0.003953989935298346,0.002584126921599716
41,Information and Computing Sciences,08 Information and Computing Sciences,8,20.0,5.0,15.0,0.0013698630136986301,0.0035945363048166786,0.0022246732911180484
42,Studies in Human Society,1605 Policy and Administration,1605,20.0,12.0,8.0,0.0032876712328767125,0.0035945363048166786,0.00030686507193996605
43,Mathematical Sciences,0104 Statistics,104,19.0,15.0,4.0,0.00410958904109589,0.0034148094895758447,-0.0006947795515200453
44,Agricultural and Veterinary Sciences, 0705 Forestry Sciences,705,18.0,12.0,6.0,0.0032876712328767125,0.003235082674335011,-5.258855854170172e-05
45,Studies in Human Society,1608 Sociology,1608,18.0,15.0,3.0,0.00410958904109589,0.003235082674335011,-0.0008745063667608792
46,Physical Sciences,0299 Other Physical Sciences,299,17.0,37.0,-20.0,0.010136986301369864,0.003055355859094177,-0.007081630442275687
47,Studies in Human Society, 1606 Political Science,1606,17.0,10.0,7.0,0.0027397260273972603,0.003055355859094177,0.00031562983169691663
48,Law and Legal Studies,1801 Law,1801,16.0,6.0,10.0,0.0016438356164383563,0.002875629043853343,0.0012317934274149868
49,Engineering,09 Engineering,9,16.0,67.0,-51.0,0.018356164383561645,0.002875629043853343,-0.015480535339708303
50,Engineering, 0906 Electrical and Electronic Engineering,906,15.0,13.0,2.0,0.003561643835616438,0.002695902228612509,-0.0008657416070039291
51,"Commerce, Management, Tourism and Services", 1507 Transportation and Freight Services,1507,14.0,2.0,12.0,0.000547945205479452,0.0025161754133716753,0.001968230207892223
52,Medical and Health Sciences,1108 Medical Microbiology,1108,13.0,4.0,9.0,0.001095890410958904,0.002336448598130841,0.001240558187171937
53,Chemical Sciences,03 Chemical Sciences,3,13.0,80.0,-67.0,0.021917808219178082,0.002336448598130841,-0.01958135962104724
54,Technology,1005 Communications Technologies,1005,12.0,12.0,0.0,0.0032876712328767125,0.002156721782890007,-0.0011309494499867055
55,Economics, 1499 Other Economics,1499,11.0,5.0,6.0,0.0013698630136986301,0.001976994967649173,0.000607131953950543
56,Information and Computing Sciences,0803 Computer Software,803,10.0,4.0,6.0,0.001095890410958904,0.0017972681524083393,0.0007013777414494353
57,Medical and Health Sciences,1109 Neurosciences,1109,10.0,3.0,7.0,0.0008219178082191781,0.0017972681524083393,0.0009753503441891612
58,Mathematical Sciences, 01 Mathematical Sciences,1,9.0,14.0,-5.0,0.0038356164383561643,0.0016175413371675054,-0.002218075101188659
59,Engineering,0914 Resources Engineering and Extractive Metallurgy,914,9.0,12.0,-3.0,0.0032876712328767125,0.0016175413371675054,-0.0016701298957092071
60,Engineering, 0904 Chemical Engineering,904,9.0,12.0,-3.0,0.0032876712328767125,0.0016175413371675054,-0.0016701298957092071
61,Built Environment and Design, 1202 Building,1202,9.0,6.0,3.0,0.0016438356164383563,0.0016175413371675054,-2.629427927085086e-05
62,Economics,1403 Econometrics,1403,8.0,2.0,6.0,0.000547945205479452,0.0014378145219266715,0.0008898693164472195
63,Earth Sciences, 0499 Other Earth Sciences,499,8.0,3.0,5.0,0.0008219178082191781,0.0014378145219266715,0.0006158967137074934
64,Physical Sciences,02 Physical Sciences,2,8.0,42.0,-34.0,0.011506849315068493,0.0014378145219266715,-0.010069034793141822
65,Engineering,0911 Maritime Engineering,911,8.0,9.0,-1.0,0.002465753424657534,0.0014378145219266715,-0.0010279389027308627
66,Chemical Sciences,0302 Inorganic Chemistry,302,7.0,45.0,-38.0,0.012328767123287671,0.0012580877066858376,-0.011070679416601833
67,Chemical Sciences,0303 Macromolecular and Materials Chemistry,303,7.0,19.0,-12.0,0.0052054794520547945,0.0012580877066858376,-0.003947391745368957
68,Physical Sciences,0201 Astronomical and Space Sciences,201,6.0,60.0,-54.0,0.01643835616438356,0.0010783608914450035,-0.015359995272938557
69,Economics,14 Economics,14,6.0,2.0,4.0,0.000547945205479452,0.0010783608914450035,0.0005304156859655515
70,Information and Computing Sciences, 0804 Data Format,804,6.0,5.0,1.0,0.0013698630136986301,0.0010783608914450035,-0.0002915021222536266
71,Technology,1007 Nanotechnology,1007,6.0,18.0,-12.0,0.004931506849315068,0.0010783608914450035,-0.003853145957870065
72,Studies in Human Society,16 Studies in Human Society,16,6.0,2.0,4.0,0.000547945205479452,0.0010783608914450035,0.0005304156859655515
73,Physical Sciences," 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",202,5.0,24.0,-19.0,0.006575342465753425,0.0008986340762041696,-0.005676708389549256
74,Agricultural and Veterinary Sciences,0707 Veterinary Sciences,707,5.0,0.0,5.0,0.0,0.0008986340762041696,0.0008986340762041696
75,"Commerce, Management, Tourism and Services"," 15 Commerce, Management, Tourism and Services",15,5.0,1.0,4.0,0.000273972602739726,0.0008986340762041696,0.0006246614734644436
76,"Commerce, Management, Tourism and Services",1503 Business and Management,1503,5.0,0.0,5.0,0.0,0.0008986340762041696,0.0008986340762041696
77,Psychology and Cognitive Sciences,17 Psychology and Cognitive Sciences,17,5.0,2.0,3.0,0.000547945205479452,0.0008986340762041696,0.00035068887072471763
78,Agricultural and Veterinary Sciences, 0799 Other Agricultural and Veterinary Sciences,799,5.0,1.0,4.0,0.000273972602739726,0.0008986340762041696,0.0006246614734644436
79,Medical and Health Sciences,1103 Clinical Sciences,1103,4.0,5.0,-1.0,0.0013698630136986301,0.0007189072609633358,-0.0006509557527352944
80,Engineering, 0910 Manufacturing Engineering,910,4.0,1.0,3.0,0.000273972602739726,0.0007189072609633358,0.00044493465822360975
81,Built Environment and Design,12 Built Environment and Design,12,4.0,1.0,3.0,0.000273972602739726,0.0007189072609633358,0.00044493465822360975
82,History and Archaeology,2101 Archaeology,2101,4.0,4.0,0.0,0.001095890410958904,0.0007189072609633358,-0.00037698314999556827
83,Mathematical Sciences, 0103 Numerical and Computational Mathematics,103,4.0,3.0,1.0,0.0008219178082191781,0.0007189072609633358,-0.00010301054725584237
84,Studies in Human Society, 1601 Anthropology,1601,4.0,5.0,-1.0,0.0013698630136986301,0.0007189072609633358,-0.0006509557527352944
85,Biological Sciences,0606 Physiology,606,3.0,1.0,2.0,0.000273972602739726,0.0005391804457225018,0.00026520784298277576
86,Physical Sciences,0205 Optical Physics,205,3.0,7.0,-4.0,0.0019178082191780822,0.0005391804457225018,-0.0013786277734555803
87,Medical and Health Sciences,1111 Nutrition and Dietetics,1111,3.0,0.0,3.0,0.0,0.0005391804457225018,0.0005391804457225018
88,Engineering, 0913 Mechanical Engineering,913,3.0,11.0,-8.0,0.0030136986301369864,0.0005391804457225018,-0.0024745181844144848
89,Medical and Health Sciences,1199 Other Medical and Health Sciences,1199,3.0,0.0,3.0,0.0,0.0005391804457225018,0.0005391804457225018
90,Agricultural and Veterinary Sciences," 0701 Agriculture, Land and Farm Management",701,3.0,0.0,3.0,0.0,0.0005391804457225018,0.0005391804457225018
91,Technology,1003 Industrial Biotechnology,1003,3.0,0.0,3.0,0.0,0.0005391804457225018,0.0005391804457225018
92,Psychology and Cognitive Sciences,1702 Cognitive Sciences,1702,3.0,4.0,-1.0,0.001095890410958904,0.0005391804457225018,-0.0005567099652364023
93,Medical and Health Sciences,1113 Ophthalmology and Optometry,1113,3.0,1.0,2.0,0.000273972602739726,0.0005391804457225018,0.00026520784298277576
94,Education,1303 Specialist Studies In Education,1303,3.0,2.0,1.0,0.000547945205479452,0.0005391804457225018,-8.76475975695025e-06
95,Built Environment and Design, 1203 Design Practice and Management,1203,2.0,0.0,2.0,0.0,0.0003594536304816679,0.0003594536304816679
96,"Commerce, Management, Tourism and Services",1505 Marketing,1505,2.0,2.0,0.0,0.000547945205479452,0.0003594536304816679,-0.00018849157499778414
97,Economics, 1401 Economic Theory,1401,2.0,1.0,1.0,0.000273972602739726,0.0003594536304816679,8.548102774194187e-05
98,"Language, Communication, and Culture",2004 Linguistics,2004,2.0,2.0,0.0,0.000547945205479452,0.0003594536304816679,-0.00018849157499778414
99,Chemical Sciences,0307 Theoretical and Computational Chemistry,307,2.0,18.0,-16.0,0.004931506849315068,0.0003594536304816679,-0.004572053218833401
100,Engineering, 0903 Biomedical Engineering,903,2.0,2.0,0.0,0.000547945205479452,0.0003594536304816679,-0.00018849157499778414
101,Studies in Human Society,1603 Demography,1603,2.0,3.0,-1.0,0.0008219178082191781,0.0003594536304816679,-0.00046246417773751025
102,"Commerce, Management, Tourism and Services",1506 Tourism,1506,2.0,2.0,0.0,0.000547945205479452,0.0003594536304816679,-0.00018849157499778414
103,"Language, Communication, and Culture",2002 Cultural Studies,2002,2.0,0.0,2.0,0.0,0.0003594536304816679,0.0003594536304816679
104,Information and Computing Sciences, 0802 Computation Theory and Mathematics,802,2.0,1.0,1.0,0.000273972602739726,0.0003594536304816679,8.548102774194187e-05
105,Built Environment and Design,1201 Architecture,1201,2.0,0.0,2.0,0.0,0.0003594536304816679,0.0003594536304816679
106,Philosophy and Religious Studies, 2202 History and Philosophy of Specific Fields,2202,2.0,0.0,2.0,0.0,0.0003594536304816679,0.0003594536304816679
107,Medical and Health Sciences,1107 Immunology,1107,2.0,2.0,0.0,0.000547945205479452,0.0003594536304816679,-0.00018849157499778414
108,Studies in Human Society, 1607 Social Work,1607,2.0,1.0,1.0,0.000273972602739726,0.0003594536304816679,8.548102774194187e-05
109,Chemical Sciences, 0304 Medicinal and Biomolecular Chemistry,304,1.0,1.0,0.0,0.000273972602739726,0.00017972681524083394,-9.424578749889207e-05
110,Philosophy and Religious Studies, 2204 Religion and Religious Studies,2204,1.0,0.0,1.0,0.0,0.00017972681524083394,0.00017972681524083394
111,Engineering, 0908 Food Sciences,908,1.0,0.0,1.0,0.0,0.00017972681524083394,0.00017972681524083394
112,History and Archaeology,2102 Curatorial and Related Studies,2102,1.0,2.0,-1.0,0.000547945205479452,0.00017972681524083394,-0.0003682183902386181
113,Education, 1302 Curriculum and Pedagogy,1302,1.0,2.0,-1.0,0.000547945205479452,0.00017972681524083394,-0.0003682183902386181
114,Chemical Sciences,0305 Organic Chemistry,305,1.0,9.0,-8.0,0.002465753424657534,0.00017972681524083394,-0.0022860266094167003
115,Studies in Human Society,1699 Other Studies In Human Society,1699,1.0,0.0,1.0,0.0,0.00017972681524083394,0.00017972681524083394
116,Medical and Health Sciences,1114 Paediatrics and Reproductive Medicine,1114,1.0,0.0,1.0,0.0,0.00017972681524083394,0.00017972681524083394
117,Philosophy and Religious Studies,2203 Philosophy,2203,1.0,0.0,1.0,0.0,0.00017972681524083394,0.00017972681524083394
118,Technology, 10 Technology,10,1.0,6.0,-5.0,0.0016438356164383563,0.00017972681524083394,-0.0014641088011975224
119,Medical and Health Sciences,1102 Cardiorespiratory Medicine and Haematology,1102,1.0,1.0,0.0,0.000273972602739726,0.00017972681524083394,-9.424578749889207e-05
120,History and Archaeology,2103 Historical Studies,2103,1.0,3.0,-2.0,0.0008219178082191781,0.00017972681524083394,-0.0006421909929783442
121,Philosophy and Religious Studies, 22 Philosophy and Religious Studies,22,1.0,0.0,1.0,0.0,0.00017972681524083394,0.00017972681524083394
122,"Language, Communication, and Culture",2005 Literary Studies,2005,1.0,0.0,1.0,0.0,0.00017972681524083394,0.00017972681524083394
123,Agricultural and Veterinary Sciences,0706 Horticultural Production,706,1.0,0.0,1.0,0.0,0.00017972681524083394,0.00017972681524083394
124,Medical and Health Sciences,1115 Pharmacology and Pharmaceutical Sciences,1115,1.0,1.0,0.0,0.000273972602739726,0.00017972681524083394,-9.424578749889207e-05
125,Environmental Sciences, 0599 Other Environmental Sciences,599,1.0,0.0,1.0,0.0,0.00017972681524083394,0.00017972681524083394
126,Technology,1001 Agricultural Biotechnology,1001,1.0,2.0,-1.0,0.000547945205479452,0.00017972681524083394,-0.0003682183902386181
127,,,204,0.0,7.0,-7.0,0.0019178082191780822,0.0,-0.0019178082191780822
128,,,101,0.0,3.0,-3.0,0.0008219178082191781,0.0,-0.0008219178082191781
129,,,1004,0.0,2.0,-2.0,0.000547945205479452,0.0,-0.000547945205479452
130,,,1101,0.0,1.0,-1.0,0.000273972602739726,0.0,-0.000273972602739726
