,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5,filename
45,400,pub.1047615473,10.1098/rsif.2012.0509,22951344,PMC3481590,Frigatebird behaviour at the ocean–atmosphere interface: integrating animal behaviour with multi-satellite data,Journal of The Royal Society Interface,,"Air Movements; Animals; Behavior, Animal; Birds; Climate Change; Ecosystem; Geographic Information Systems; Nonlinear Dynamics; Oceans and Seas; Remote Sensing Technology; Wind",12/7/12,2012,9,77,3351-3358,All OA; Gold,Article,"De Monte, Silvia; Cotté, Cedric; d'Ovidio, Francesco; Lévy, Marina; Le Corre, Matthieu; Weimerskirch, Henri",,"De Monte, Silvia (French National Centre for Scientific Research; École Normale Supérieure); Cotté, Cedric (French National Centre for Scientific Research; Centre d'Etudes Biologiques de Chizé); d'Ovidio, Francesco (French National Centre for Scientific Research); Lévy, Marina (French National Centre for Scientific Research); Le Corre, Matthieu (); Weimerskirch, Henri (Centre d'Etudes Biologiques de Chizé)",34,12,0.68,4.79,http://rsif.royalsocietypublishing.org/content/9/77/3351.full.pdf,https://app.dimensions.ai/details/publication/pub.1047615473,0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,,Marina-Levy.csv
46,100,pub.1038402465,10.1016/j.dsr.2012.05.015,,,How does dynamical spatial variability impact 234Th-derived estimates of organic export?,Deep Sea Research Part I Oceanographic Research Papers,,,2012-10,2012,68,,24-45,"All OA; Green, Published",Article,"Resplandy, L.; Martin, A.P.; Le Moigne, F.; Martin, P.; Aquilina, A.; Mémery, L.; Lévy, M.; Sanders, R.","Resplandy, L.","Resplandy, L. (National Oceanography Centre); Martin, A.P. (National Oceanography Centre); Le Moigne, F. (National Oceanography Centre); Martin, P. (National Oceanography Centre; Woods Hole Oceanographic Institution); Aquilina, A. (National Oceanography Centre); Mémery, L. (Laboratoire des Sciences de l'Environnement Marin); Lévy, M. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Sanders, R. (National Oceanography Centre)",33,10,,4.14,https://zenodo.org/record/1226/files/resplandy%20et%20al%202012%20POSTPRINT.pdf,https://app.dimensions.ai/details/publication/pub.1038402465,0403 Geology; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0405 Oceanography,0402 Geochemistry,,Marina-Levy.csv
47,100,pub.1016266421,10.1029/2012gl052756,,,Bringing physics to life at the submesoscale,Geophysical Research Letters,,,7/28/12,2012,39,14,n/a-n/a,All OA; Gold,Article,"Lévy, Marina; Ferrari, Raffaele; Franks, Peter J. S.; Martin, Adrian P.; Rivière, Pascal",,"Lévy, Marina (); Ferrari, Raffaele (Massachusetts Institute of Technology); Franks, Peter J. S. (University of California, San Diego); Martin, Adrian P. (National Oceanography Centre); Rivière, Pascal ()",201,73,,35.49,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012GL052756,https://app.dimensions.ai/details/publication/pub.1016266421,0915 Interdisciplinary Engineering; 0405 Oceanography,0915 Interdisciplinary Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,,Marina-Levy.csv
48,100,pub.1017121125,10.1029/2011gb004145,,,Contribution of tropical cyclones to the air‐sea CO2 flux: A global view,Global Biogeochemical Cycles,,,2012-06,2012,26,2,n/a-n/a,All OA; Gold,Article,"Lévy, M.; Lengaigne, M.; Bopp, L.; Vincent, E. M.; Madec, G.; Ethé, C.; Kumar, D.; Sarma, V. V. S. S.",,"Lévy, M. (); Lengaigne, M. (National Institute of Oceanography); Bopp, L. (); Vincent, E. M. (); Madec, G. (); Ethé, C. (); Kumar, D. (National Institute of Oceanography); Sarma, V. V. S. S. (National Institute of Oceanography)",13,5,,1.46,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011GB004145,https://app.dimensions.ai/details/publication/pub.1017121125,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
49,100,pub.1031139729,10.5194/bgd-9-5509-2012,,,Controlling factors of the OMZ in the Arabian Sea,Biogeosciences Discussions,,,5/10/12,2012,9,5,5509-5550,All OA; Gold,Article,"Resplandy, L.; Lévy, M.; Bopp, L.; Echevin, V.; Pous, S.; Sarma, V. V. S. S.; Kumar, D.",,"Resplandy, L. (); Lévy, M. (); Bopp, L. (); Echevin, V. (); Pous, S. (National Museum of Natural History); Sarma, V. V. S. S. (National Institute of Oceanography); Kumar, D. (National Institute of Oceanography)",1,1,,0.11,https://doi.org/10.5194/bgd-9-5509-2012,https://app.dimensions.ai/details/publication/pub.1031139729,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
50,100,pub.1048599875,10.1016/j.ocemod.2012.02.004,,,Grid degradation of submesoscale resolving ocean models: Benefits for offline passive tracer transport,Ocean Modelling,,,2012-05,2012,48,,9-Jan,Closed,Article,"Lévy, M.; Resplandy, L.; Klein, P.; Capet, X.; Iovino, D.; Ethé, C.","Lévy, M.","Lévy, M. (); Resplandy, L. (); Klein, P. (); Capet, X. (); Iovino, D. (); Ethé, C. ()",23,4,,4.65,,https://app.dimensions.ai/details/publication/pub.1048599875,0911 Maritime Engineering; 0405 Oceanography,0911 Maritime Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,,Marina-Levy.csv
51,100,pub.1016816360,10.1016/j.ocemod.2011.12.003,,,Large-scale impacts of submesoscale dynamics on phytoplankton: Local and remote effects,Ocean Modelling,,,2012-01,2012,43,Nature 437 2005,77-93,Closed,Article,"Lévy, M.; Iovino, D.; Resplandy, L.; Klein, P.; Madec, G.; Tréguier, A.-M.; Masson, S.; Takahashi, K.","Lévy, M.","Lévy, M. (); Iovino, D. (); Resplandy, L. (); Klein, P. (); Madec, G. (); Tréguier, A.-M. (); Masson, S. (); Takahashi, K. ()",76,26,,15.38,,https://app.dimensions.ai/details/publication/pub.1016816360,0911 Maritime Engineering; 0405 Oceanography,0911 Maritime Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,,Marina-Levy.csv
52,100,pub.1024498534,10.1029/2011gl048588,,,Long range transport of a quasi isolated chlorophyll patch by an Agulhas ring,Geophysical Research Letters,,,2011-08,2011,38,16,n/a-n/a,All OA; Gold,Article,"Lehahn, Yoav; d'Ovidio, Francesco; Lévy, Marina; Amitai, Yael; Heifetz, Eyal",,"Lehahn, Yoav (Tel Aviv University; Weizmann Institute of Science); d'Ovidio, Francesco (Sorbonne University); Lévy, Marina (Sorbonne University); Amitai, Yael (Hebrew University of Jerusalem); Heifetz, Eyal (Tel Aviv University)",46,17,,12.65,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011GL048588,https://app.dimensions.ai/details/publication/pub.1024498534,0915 Interdisciplinary Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,,Marina-Levy.csv
53,400,pub.1040755186,10.1098/rsta.2010.0340,21502173,,Impact of episodic vertical fluxes on sea surface pCO2,Philosophical Transactions of The Royal Society A Mathematical Physical and Engineering Sciences,,,5/28/11,2011,369,1943,2009-2025,All OA; Gold,Article,"Mahadevan, A.; Tagliabue, A.; Bopp, L.; Lenton, A.; Mémery, L.; Lévy, M.",,"Mahadevan, A. (Boston University); Tagliabue, A. (Laboratoire des Sciences du Climat et de l'Environnement); Bopp, L. (Laboratoire des Sciences du Climat et de l'Environnement); Lenton, A. (); Mémery, L. (); Lévy, M. ()",18,4,0.12,2.37,http://rsta.royalsocietypublishing.org/content/369/1943/2009.full.pdf,https://app.dimensions.ai/details/publication/pub.1040755186,0907 Environmental Engineering; 0405 Oceanography,0907 Environmental Engineering,09 Engineering,04 Earth Sciences,0405 Oceanography,,Marina-Levy.csv
54,100,pub.1015637836,10.1093/plankt/fbq131,,,Impact of eddy-driven vertical fluxes on phytoplankton abundance in the euphotic layer,Journal of Plankton Research,,,5/1/11,2011,33,5,827-831,All OA; Gold,Article,"Lathuiliere, Cyril; Levy, Marina; Echevin, Vincent",,"Lathuiliere, Cyril (); Levy, Marina (); Echevin, Vincent ()",17,3,,2.5,https://academic.oup.com/plankt/article-pdf/33/5/827/4298955/fbq131.pdf,https://app.dimensions.ai/details/publication/pub.1015637836,0607 Plant Biology; 0602 Ecology; 0608 Zoology,0607 Plant Biology,0602 Ecology,06 Biological Sciences,0608 Zoology,,Marina-Levy.csv
55,100,pub.1033208837,10.4319/lo.2011.56.1.0219,,,Scale‐dependent interactions of Mediterranean whales with marine dynamics,Limnology and Oceanography,,,2011-01,2011,56,1,219-232,All OA; Gold,Article,"Cotte, Cèdric; d'Ovidio, Francesco; Chaigneau, Alexis; Lèvy, Marina; Taupier-Letage, Isabelle; Mate, Bruce; Guinet, Christophe",,"Cotte, Cèdric (Délégation Provence et Corse; French National Centre for Scientific Research); d'Ovidio, Francesco (French National Centre for Scientific Research); Chaigneau, Alexis (French National Centre for Scientific Research; Instituto del Mar del Peru); Lèvy, Marina (French National Centre for Scientific Research); Taupier-Letage, Isabelle (Délégation Provence et Corse); Mate, Bruce (Oregon State University); Guinet, Christophe (French National Centre for Scientific Research)",60,20,,6.25,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2011.56.1.0219,https://app.dimensions.ai/details/publication/pub.1033208837,0602 Ecology,0602 Ecology,06 Biological Sciences,,,,Marina-Levy.csv
56,100,pub.1012404856,10.1016/j.ocemod.2010.12.003,,,Modifications of mode water properties by sub-mesoscales in a bio-physical model of the Northeast Atlantic,Ocean Modelling,,,2011-01,2011,39,2-Jan,47-60,Closed,Article,"Karleskind, P.; Lévy, M.; Mémery, L.","Lévy, M.","Karleskind, P. (Laboratoire des Sciences de l'Environnement Marin); Lévy, M. (); Mémery, L. (Laboratoire des Sciences de l'Environnement Marin)",14,2,,1.49,,https://app.dimensions.ai/details/publication/pub.1012404856,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
57,100,pub.1052526726,10.1029/2010jc006446,,,"Subduction of carbon, nitrogen, and oxygen in the northeast Atlantic",Journal of Geophysical Research,,,2011,2011,116,C2,,All OA; Gold,Article,"Karleskind, P.; Lévy, M.; Memery, L.",,"Karleskind, P. (Laboratoire des Sciences de l'Environnement Marin); Lévy, M. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Memery, L. (Laboratoire des Sciences de l'Environnement Marin)",21,7,,2.24,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010JC006446,https://app.dimensions.ai/details/publication/pub.1052526726,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
58,100,pub.1028988875,10.1029/2011jc007006,,,Contribution of mesoscale processes to nutrient budgets in the Arabian Sea,Journal of Geophysical Research,,,2011,2011,116,C11,,All OA; Gold,Article,"Resplandy, L.; Lévy, M.; Madec, G.; Pous, S.; Aumont, O.; Kumar, D.",,"Resplandy, L. (); Lévy, M. (); Madec, G. (National Oceanography Centre); Pous, S. (); Aumont, O. (French National Centre for Scientific Research); Kumar, D. (National Institute of Oceanography)",38,9,,4.05,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011JC007006,https://app.dimensions.ai/details/publication/pub.1028988875,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
59,400,pub.1024603659,10.1073/pnas.1004620107,20974927,PMC2972977,Fluid dynamical niches of phytoplankton types,Proceedings of the National Academy of Sciences,,"Algorithms; Biophysical Phenomena; Chlorophyll; Ecosystem; Marine Biology; Models, Biological; Oceans and Seas; Phytoplankton",10/26/10,2010,107,43,18366-18370,All OA; Gold,Article,"d’Ovidio, Francesco; De Monte, Silvia; Alvain, Séverine; Dandonneau, Yves; Lévy, Marina",,"d’Ovidio, Francesco (Sorbonne University); De Monte, Silvia (École Normale Supérieure; Sorbonne University; French National Centre for Scientific Research); Alvain, Séverine (Laboratoire d’Océanologie et de Géosciences); Dandonneau, Yves (Sorbonne University); Lévy, Marina (Sorbonne University)",145,34,1.28,13.71,http://www.pnas.org/content/107/43/18366.full.pdf,https://app.dimensions.ai/details/publication/pub.1024603659,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
60,100,pub.1040319618,10.1016/j.ocemod.2010.04.001,,,Modifications of gyre circulation by sub-mesoscale physics,Ocean Modelling,,,2010-01,2010,34,2-Jan,15-Jan,Closed,Article,"Lévy, M.; Klein, P.; Tréguier, A.-M.; Iovino, D.; Madec, G.; Masson, S.; Takahashi, K.","Lévy, M.","Lévy, M. (Sorbonne University); Klein, P. (French Research Institute for Exploitation of the Sea); Tréguier, A.-M. (French Research Institute for Exploitation of the Sea); Iovino, D. (Sorbonne University); Madec, G. (Sorbonne University); Masson, S. (Sorbonne University); Takahashi, K. (Japan Agency for Marine-Earth Science and Technology)",84,18,,20.14,,https://app.dimensions.ai/details/publication/pub.1040319618,0915 Interdisciplinary Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,,Marina-Levy.csv
61,100,pub.1033509216,10.1029/2010jc006569,,,Impact of nearshore wind stress curl on coastal circulation and primary productivity in the Peru upwelling system,Journal of Geophysical Research,,,2010,2010,115,C12,,All OA; Gold,Article,"Albert, A.; Echevin, V.; Lévy, M.; Aumont, O.",,"Albert, A. (French National Centre for Scientific Research); Echevin, V. (French National Centre for Scientific Research); Lévy, M. (French National Centre for Scientific Research); Aumont, O. ()",54,13,,5.11,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010JC006569,https://app.dimensions.ai/details/publication/pub.1033509216,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
62,100,pub.1021628902,10.1029/2009jc005827,,,On the role of the mesoscale circulation on an idealized coastal upwelling ecosystem,Journal of Geophysical Research,,,2010,2010,115,C9,,All OA; Gold,Article,"Lathuilière, C.; Echevin, V.; Lévy, M.; Madec, G.",,"Lathuilière, C. (); Echevin, V. (); Lévy, M. (); Madec, G. ()",36,5,,3.4,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009JC005827,https://app.dimensions.ai/details/publication/pub.1021628902,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
63,100,pub.1014197474,10.1029/2008gb003239,,,Impact of submesoscale variability in estimating the air‐sea CO2 exchange: Results from a model study of the POMME experiment,Global Biogeochemical Cycles,,,2009-03,2009,23,1,n/a-n/a,All OA; Gold,Article,"Resplandy, L.; Lévy, M.; d'Ovidio, F.; Merlivat, L.",,"Resplandy, L. (Sorbonne University); Lévy, M. (Sorbonne University); d'Ovidio, F. (École Normale Supérieure); Merlivat, L. (Sorbonne University)",23,3,,1.84,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008GB003239,https://app.dimensions.ai/details/publication/pub.1014197474,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
64,100,pub.1012477612,10.1016/j.jmarsys.2008.08.003,,,On the key role of nutrient data to constrain a coupled physical–biogeochemical assimilative model of the North Atlantic Ocean,Journal of Marine Systems,,,2009-01,2009,75,2-Jan,100-115,Closed,Article,"Ourmières, Yann; Brasseur, Pierre; Lévy, Marina; Brankart, Jean-Michel; Verron, Jacques","Ourmières, Yann","Ourmières, Yann (University of Toulon); Brasseur, Pierre (Laboratory of Geophysical and Industrial Flows); Lévy, Marina (French National Centre for Scientific Research); Brankart, Jean-Michel (Laboratory of Geophysical and Industrial Flows); Verron, Jacques (Laboratory of Geophysical and Industrial Flows)",28,5,,2.24,,https://app.dimensions.ai/details/publication/pub.1012477612,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
65,100,pub.1020767664,10.1029/2008jc005246,,,Seasonal and intraseasonal biogeochemical variability in the thermocline ridge of the southern tropical Indian Ocean,Journal of Geophysical Research,,,2009,2009,114,C7,,All OA; Gold,Article,"Resplandy, L.; Vialard, J.; Lévy, M.; Aumont, O.; Dandonneau, Y.",,"Resplandy, L. (Sorbonne University); Vialard, J. (Sorbonne University); Lévy, M. (Sorbonne University); Aumont, O. (); Dandonneau, Y. (Sorbonne University)",35,4,,2.8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008JC005246,https://app.dimensions.ai/details/publication/pub.1020767664,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
66,100,pub.1015017785,10.1029/2009gl039490,,,New production stimulated by high‐frequency winds in a turbulent mesoscale eddy field,Geophysical Research Letters,,,2009,2009,36,16,,All OA; Gold,Article,"Lévy, M.; Klein, P.; Jelloul, M. Ben",,"Lévy, M. (Sorbonne University); Klein, P. (University of Western Brittany); Jelloul, M. Ben (University of Western Brittany)",34,5,,7.64,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009GL039490,https://app.dimensions.ai/details/publication/pub.1015017785,0915 Interdisciplinary Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,,Marina-Levy.csv
67,100,pub.1003546038,10.1029/2009jc005546,,,Nutrients in mode waters of the northeast Atlantic,Journal of Geophysical Research,,,2009,2009,114,C10,,All OA; Gold,Article,"Reverdin, G.; Lévy, M.; Raimbault, P.; Lefèvre, D.",,"Reverdin, G. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Lévy, M. (Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques); Raimbault, P. (); Lefèvre, D. ()",3,0,,0.24,http://onlinelibrary.wiley.com/doi/10.1029/2009JC005546/pdf,https://app.dimensions.ai/details/publication/pub.1003546038,0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,,Marina-Levy.csv
68,100,pub.1000037157,10.1029/2008jc005161,,,Impact of the subtropical mode water biogeochemical properties on primary production in the North Atlantic: New insights from an idealized model study,Journal of Geophysical Research,,,2009,2009,114,C7,,"All OA; Green, Accepted & Submitted",Article,"Krémeur, A.‐S.; Lévy, M.; Aumont, O.; Reverdin, G.",,"Krémeur, A.‐S. (Institut Pierre-Simon Laplace); Lévy, M. (Institut Pierre-Simon Laplace); Aumont, O. (); Reverdin, G. (Institut Pierre-Simon Laplace)",21,4,,2.05,https://hal.archives-ouvertes.fr/hal-00413625,https://app.dimensions.ai/details/publication/pub.1000037157,0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,,Marina-Levy.csv
