,Code,Count,Label
104, 1601 Anthropology,27,1601
105, 1202 Building,26,1202
106,0606 Physiology,25,0606
107, 0203 Classical Physics,25,0203
109, 18 Law and Legal Studies,22,18
111,2101 Archaeology,21,2101
113, 1203 Design Practice and Management,21,1203
114,1201 Architecture,21,1201
116, 0913 Mechanical Engineering,20,0913
115, 1103 Clinical Sciences,20,1103
117,1801 Law,18,1801
120, 0802 Computation Theory and Mathematics,18,0802
119, 0103 Numerical and Computational Mathematics,18,0103
124, 1499 Other Economics,17,1499
126,1109 Neurosciences,17,1109
125, 0799 Other Agricultural and Veterinary Sciences,17,0799
123,1108 Medical Microbiology,17,1108
122, 0499 Other Earth Sciences,17,0499
127, 1702 Cognitive Sciences,16,1702
132," 20 Language, Communication and Culture",15,20
131, 0707 Veterinary Sciences,15,0707
129, 0804 Data Format,15,0804
128, 1603 Demography,15,1603
133,1403 Econometrics,14,1403
137,0201 Astronomical and Space Sciences,14,0201
139, 0101 Pure Mathematics,13,0101
140, 13 Education,12,13
144, 0205 Optical Physics,11,0205
145, 1503 Business and Management,11,1503
142, 1401 Economic Theory,11,1401
148," 0701 Agriculture, Land and Farm Management",9,0701
149, 0903 Biomedical Engineering,8,0903
150,0305 Organic Chemistry,8,0305
151,2004 Linguistics,8,2004
152, 0910 Manufacturing Engineering,8,0910
155, 1506 Tourism,8,1506
156,0204 Condensed Matter Physics,8,0204
161,1505 Marketing,7,1505
160,2102 Curatorial and Related Studies,7,2102
159,2103 Historical Studies,7,2103
162," 1502 Banking, Finance and Investment",6,1502
164, 1699 Other Studies In Human Society,6,1699
165,1303 Specialist Studies In Education,6,1303
170,1111 Nutrition and Dietetics,6,1111
173,2203 Philosophy,5,2203
174,0307 Theoretical and Computational Chemistry,5,0307
171, 0304 Medicinal and Biomolecular Chemistry,5,0304
172,1302 Curriculum and Pedagogy,5,1302
179, 1116 Medical Physiology,4,1116
180,1102 Cardiorespiratory Medicine and Haematology,4,1102
181, 1107 Immunology,4,1107
182, 1003 Industrial Biotechnology,4,1003
190, 1607 Social Work,3,1607
194,2002 Cultural Studies,3,2002
193, 1199 Other Medical and Health Sciences,3,1199
189, 1602 Criminology,3,1602
186, 0899 Other Information and Computing Sciences,3,0899
185,1113 Ophthalmology and Optometry,3,1113
207, 0901 Aerospace Engineering,2,0901
206, 1504 Commercial Services,2,1504
205, 1114 Paediatrics and Reproductive Medicine,2,1114
204,1001 Agricultural Biotechnology,2,1001
203, 1115 Pharmacology and Pharmaceutical Sciences,2,1115
199, 0206 Quantum Physics,2,0206
198, 2204 Religion and Religious Studies,2,2204
197, 0908 Food Sciences,2,0908
224,"1501 Accounting, Auditing and Accountability",1,1501
221, 0807 Library and Information Studies,1,0807
222, 1004 Medical Biotechnology,1,1004
223,0706 Horticultural Production,1,0706
227,2005 Literary Studies,1,2005
226, 0599 Other Environmental Sciences,1,0599
220, 0805 Distributed Computing,1,0805
218,1110 Nursing,1,1110
215, 1101 Medical Biochemistry and Metabolomics,1,1101
