,"""About the data: Exported on Nov 02, 2019. Criteria: Researcher is Kelly Krispin Caylor. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1103600605,10.3390/rs10040641,,,On the Use of Unmanned Aerial Systems for Environmental Monitoring,Remote Sensing,,,2018-04-20,2018,10,4,641,All OA; Gold,Article,"Manfreda, Salvatore; McCabe, Matthew F.; Miller, Pauline E.; Lucas, Richard; Madrigal, Victor Pajuelo; Mallinis, Giorgos; Dor, Eyal Ben; Helman, David; Estes, Lyndon; Ciraolo, Giuseppe; Müllerová, Jana; Tauro, Flavia; de Lima, M. Isabel; de Lima, João L. M. P.; Maltese, Antonino; Frances, Felix; Caylor, Kelly; Kohv, Marko; Perks, Matthew; Ruiz-Pérez, Guiomar; Su, Zhongbo; Vico, Giulia; Toth, Brigitta",,"Manfreda, Salvatore (University of Basilicata); McCabe, Matthew F. (); Miller, Pauline E. (); Lucas, Richard (); Madrigal, Victor Pajuelo (); Mallinis, Giorgos (); Dor, Eyal Ben (); Helman, David (); Estes, Lyndon (); Ciraolo, Giuseppe (); Müllerová, Jana (); Tauro, Flavia (); de Lima, M. Isabel (); de Lima, João L. M. P. (); Maltese, Antonino (); Frances, Felix (); Caylor, Kelly (); Kohv, Marko (); Perks, Matthew (); Ruiz-Pérez, Guiomar (); Su, Zhongbo (); Vico, Giulia (); Toth, Brigitta (University of Pannonia)",64,64,,,https://www.mdpi.com/2072-4292/10/4/641/pdf,https://app.dimensions.ai/details/publication/pub.1103600605,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
11,100,pub.1099750686,10.1088/1748-9326/aa9f30,,,"Simulated sensitivity of African terrestrial ecosystem photosynthesis to rainfall frequency, intensity, and rainy season length",Environmental Research Letters,,,2018-02-01,2018,13,2,025013,All OA; Gold,Article,"Guan, Kaiyu; Good, Stephen P; Caylor, Kelly K; Medvigy, David; Pan, Ming; Wood, Eric F; Sato, Hisashi; Biasutti, Michela; Chen, Min; Ahlström, Anders; Xu, Xiangtao",,"Guan, Kaiyu (); Good, Stephen P (Oregon State University); Caylor, Kelly K (University of California, Santa Barbara); Medvigy, David (University of Notre Dame); Pan, Ming (Princeton University); Wood, Eric F (Princeton University); Sato, Hisashi (Japan Agency for Marine-Earth Science and Technology); Biasutti, Michela (Lamont-Doherty Earth Observatory); Chen, Min (); Ahlström, Anders (Stanford University; Lund University); Xu, Xiangtao (Harvard University)",4,4,,,https://doi.org/10.1088/1748-9326/aa9f30,https://app.dimensions.ai/details/publication/pub.1099750686,0602 Ecology; 0699 Other Biological Sciences; 0406 Physical Geography and Environmental Geoscience; 0501 Ecological Applications; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0699 Other Biological Sciences,0406 Physical Geography and Environmental Geoscience,0501 Ecological Applications,04 Earth Sciences
12,100,pub.1100461135,10.1080/02626667.2017.1420191,,,Measurements and Observations in the XXI century (MOXXI): innovation and multi-disciplinarity to sense the hydrological cycle,Hydrological Sciences Journal,,,2018-01-25,2018,63,2,169-196,All OA; Gold,Article,"Tauro, Flavia; Selker, John; van de Giesen, Nick; Abrate, Tommaso; Uijlenhoet, Remko; Porfiri, Maurizio; Manfreda, Salvatore; Caylor, Kelly; Moramarco, Tommaso; Benveniste, Jerome; Ciraolo, Giuseppe; Estes, Lyndon; Domeneghetti, Alessio; Perks, Matthew T.; Corbari, Chiara; Rabiei, Ehsan; Ravazzani, Giovanni; Bogena, Heye; Harfouche, Antoine; Brocca, Luca; Maltese, Antonino; Wickert, Andy; Tarpanelli, Angelica; Good, Stephen; Alcala, Jose Manuel Lopez; Petroselli, Andrea; Cudennec, Christophe; Blume, Theresa; Hut, Rolf; Grimaldi, Salvatore",,"Tauro, Flavia (Tuscia University); Selker, John (Oregon State University); van de Giesen, Nick (Delft University of Technology); Abrate, Tommaso (World Meteorological Organization); Uijlenhoet, Remko (Wageningen University & Research); Porfiri, Maurizio (New York University); Manfreda, Salvatore (University of Basilicata); Caylor, Kelly (University of California, Santa Barbara); Moramarco, Tommaso (Research Institute for Geo-Hydrological Protection); Benveniste, Jerome (); Ciraolo, Giuseppe (University of Palermo); Estes, Lyndon (Clark University); Domeneghetti, Alessio (University of Bologna); Perks, Matthew T. (Newcastle University); Corbari, Chiara (Polytechnic University of Milan); Rabiei, Ehsan (); Ravazzani, Giovanni (Polytechnic University of Milan); Bogena, Heye (); Harfouche, Antoine (Tuscia University); Brocca, Luca (Research Institute for Geo-Hydrological Protection); Maltese, Antonino (University of Palermo); Wickert, Andy (University of Minnesota); Tarpanelli, Angelica (Research Institute for Geo-Hydrological Protection); Good, Stephen (Oregon State University); Alcala, Jose Manuel Lopez (Oregon State University); Petroselli, Andrea (Tuscia University); Cudennec, Christophe (Higher Institute for agricultural sciences, food industry, horticulture and landscape management); Blume, Theresa (Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences); Hut, Rolf (Delft University of Technology); Grimaldi, Salvatore ()",41,41,,,https://www.tandfonline.com/doi/pdf/10.1080/02626667.2017.1420191?needAccess=true,https://app.dimensions.ai/details/publication/pub.1100461135,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
13,500,pub.1091826088,10.1111/gcb.13904,28921806,,"A large‐area, spatially continuous assessment of land cover map error and its impact on downstream analyses",Global Change Biology,,"Conservation of Natural Resources; Crop Production; Crops, Agricultural; Environmental Monitoring; Forests; Geographic Information Systems; Geographic Mapping; South Africa",2018-01,2018,24,1,322-337,"All OA; Green, Accepted & Submitted",Article,"Estes, Lyndon; Chen, Peng; Debats, Stephanie; Evans, Tom; Ferreira, Stefanus; Kuemmerle, Tobias; Ragazzo, Gabrielle; Sheffield, Justin; Wolf, Adam; Wood, Eric; Caylor, Kelly",,"Estes, Lyndon (Clark University; Princeton University); Chen, Peng (Indiana University Bloomington); Debats, Stephanie (Princeton University); Evans, Tom (Indiana University Bloomington); Ferreira, Stefanus (); Kuemmerle, Tobias (Humboldt University of Berlin); Ragazzo, Gabrielle (Princeton University); Sheffield, Justin (Princeton University; University of Southampton); Wolf, Adam (); Wood, Eric (Princeton University); Caylor, Kelly (Princeton University; University of California, Santa Barbara)",11,11,,,https://eprints.soton.ac.uk/425356/1/main.pdf,https://app.dimensions.ai/details/publication/pub.1091826088,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
14,100,pub.1099618483,10.5194/hess-21-6235-2017,,,Calibration of a parsimonious distributed ecohydrological daily model in a data-scarce basin by exclusively using the spatio-temporal variation of NDVI,Hydrology and Earth System Sciences,,,2017-12-08,2017,21,12,6235-6251,All OA; Gold,Article,"Ruiz-Pérez, Guiomar; Koch, Julian; Manfreda, Salvatore; Caylor, Kelly; Francés, Félix",,"Ruiz-Pérez, Guiomar (Swedish University of Agricultural Sciences; Polytechnic University of Valencia); Koch, Julian (Geological Survey of Denmark and Greenland; University of Copenhagen); Manfreda, Salvatore (University of Basilicata); Caylor, Kelly (University of California, Santa Barbara); Francés, Félix (Polytechnic University of Valencia)",4,4,,1.76,https://www.hydrol-earth-syst-sci.net/21/6235/2017/hess-21-6235-2017.pdf,https://app.dimensions.ai/details/publication/pub.1099618483,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
15,500,pub.1090275175,10.1111/pce.13002,28658718,,Leaf water 18O and 2H maps show directional enrichment discrepancy in Colocasia esculenta,Plant Cell & Environment,,Colocasia; Deuterium; Mass Spectrometry; Oxygen Isotopes; Plant Leaves; Water,2017-10,2017,40,10,2095-2108,Closed,Article,"Gerlein‐Safdi, Cynthia; Gauthier, Paul P. G.; Sinkler, Craig James; Caylor, Kelly Krispin",,"Gerlein‐Safdi, Cynthia (Princeton University); Gauthier, Paul P. G. (Princeton University; University of New Mexico); Sinkler, Craig James (Rider University); Caylor, Kelly Krispin (Princeton University; University of California, Santa Barbara)",3,2,0.42,1.46,,https://app.dimensions.ai/details/publication/pub.1090275175,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
16,100,pub.1091406049,10.1101/178293,,,Dew-induced transpiration suppression impacts the water and isotope balances of Colocasia leaves,bioRxiv,,,2017-08-25,2017,,,178293,"All OA; Green, Published",Preprint,"Gerlein-Safdi, Cynthia; Gauthier, Paul P.G.; Caylor, Kelly K.",,"Gerlein-Safdi, Cynthia (University of Michigan); Gauthier, Paul P.G. (Princeton University); Caylor, Kelly K. ()",2,2,,0.65,https://www.biorxiv.org/content/biorxiv/early/2018/05/08/178293.full.pdf,https://app.dimensions.ai/details/publication/pub.1091406049,0607 Plant Biology; 0699 Other Biological Sciences; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,06 Biological Sciences,,
17,100,pub.1109356601,10.7287/peerj.preprints.3004,,,Integrating active learning and crowdsourcing into large-scale supervised landcover mapping algorithms,PeerJ Preprints,,,2017-06-06,2017,,,,"All OA; Green, Published",Preprint,"Debats, Stephanie R; Estes, Lyndon D; Thompson, David R; Caylor, Kelly K",,"Debats, Stephanie R (Princeton University); Estes, Lyndon D (Princeton University); Thompson, David R (Jet Propulsion Lab); Caylor, Kelly K (Princeton University; University of California, Santa Barbara)",0,0,,0,https://peerj.com/preprints/3004.pdf,https://app.dimensions.ai/details/publication/pub.1109356601,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
18,100,pub.1107334580,10.7287/peerj.preprints.3004v1,,,Integrating active learning and crowdsourcing into large-scale supervised landcover mapping algorithms,PeerJ Preprints,,,2017-06-06,2017,5,,e3004v1,"All OA; Green, Published",Preprint,"Debats, Stephanie R; Estes, Lyndon D; Thompson, David R; Caylor, Kelly K",,"Debats, Stephanie R (Princeton University); Estes, Lyndon D (Princeton University); Thompson, David R (Jet Propulsion Lab); Caylor, Kelly K (Princeton University; University of California, Santa Barbara)",1,1,,0.82,https://peerj.com/preprints/3004.pdf,https://app.dimensions.ai/details/publication/pub.1107334580,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
19,100,pub.1084746461,10.1016/j.epsl.2017.02.015,,,"Triple oxygen isotope composition of leaf waters in Mpala, central Kenya",Earth and Planetary Science Letters,,,2017-06,2017,468,Quat. Sci. Rev. 127 2015,38-50,Closed,Article,"Li, Shuning; Levin, Naomi E.; Soderberg, Keir; Dennis, Kate J.; Caylor, Kelly K.","Li, Shuning","Li, Shuning (Johns Hopkins University; University of California Los Angeles); Levin, Naomi E. (Johns Hopkins University; University of Michigan); Soderberg, Keir (Princeton University); Dennis, Kate J. (Princeton University); Caylor, Kelly K. (University of California, Santa Barbara)",7,6,,,,https://app.dimensions.ai/details/publication/pub.1084746461,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
20,100,pub.1001935698,10.1002/eco.1809,,,An ecohydrological framework to explain shifts in vegetation organization across climatological gradients,Ecohydrology,,,2017-04,2017,10,3,e1809,All OA; Gold,Article,"Manfreda, Salvatore; Caylor, Kelly K.; Good, Stephen P.",,"Manfreda, Salvatore (University of Basilicata); Caylor, Kelly K. (); Good, Stephen P. (Oregon State University)",7,5,,3.06,http://dx.doi.org/10.1002/eco.1809,https://app.dimensions.ai/details/publication/pub.1001935698,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
21,500,pub.1083400858,10.1038/srep41366,28145496,PMC5286448,Dominant role of plant physiology in trend and variability of gross primary productivity in North America,Scientific Reports,,"Climate; Models, Statistical; North America; Plant Development; Plant Physiological Phenomena; Regression Analysis; Seasons; Temperature; Time Factors",2017-02,2017,7,1,41366,All OA; Gold,Article,"Zhou, Sha; Zhang, Yao; Ciais, Philippe; Xiao, Xiangming; Luo, Yiqi; Caylor, Kelly K.; Huang, Yuefei; Wang, Guangqian","Zhou, Sha","Zhou, Sha (Tsinghua University; Princeton University); Zhang, Yao (University of Oklahoma); Ciais, Philippe (Laboratoire des Sciences du Climat et de l'Environnement); Xiao, Xiangming (University of Oklahoma; Fudan University); Luo, Yiqi (University of Oklahoma; Tsinghua University); Caylor, Kelly K. (Princeton University); Huang, Yuefei (Tsinghua University; Qinghai University); Wang, Guangqian (Tsinghua University)",16,11,0.52,7.78,https://www.nature.com/articles/srep41366.pdf,https://app.dimensions.ai/details/publication/pub.1083400858,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
22,100,pub.1006846078,10.1016/j.agwat.2016.11.016,,,Comparison of ET partitioning and crop coefficients between partial plastic mulched and non-mulched maize fields,Agricultural Water Management,,,2017-02,2017,181,,23-34,Closed,Article,"Gong, Daozhi; Mei, Xurong; Hao, Weiping; Wang, Hanbo; Caylor, Kelly K.","Gong, Daozhi","Gong, Daozhi (Institute of Environment and Sustainable Development in Agriculture); Mei, Xurong (Institute of Environment and Sustainable Development in Agriculture; Chinese Academy of Agricultural Sciences); Hao, Weiping (Institute of Environment and Sustainable Development in Agriculture); Wang, Hanbo (Institute of Environment and Sustainable Development in Agriculture); Caylor, Kelly K. (Princeton University)",12,10,,6.18,,https://app.dimensions.ai/details/publication/pub.1006846078,0703 Crop and Pasture Production; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,07 Agricultural and Veterinary Sciences,,,
23,100,pub.1050288180,10.1016/j.agwat.2016.06.006,,,Comparison of multi-level water use efficiency between plastic film partially mulched and non-mulched croplands at eastern Loess Plateau of China,Agricultural Water Management,,,2017-01,2017,179,,215-226,Closed,Article,"Gong, Daozhi; Mei, Xurong; Hao, Weiping; Wang, Hanbo; Caylor, Kelly K.","Gong, Daozhi","Gong, Daozhi (Institute of Environment and Sustainable Development in Agriculture); Mei, Xurong (Institute of Environment and Sustainable Development in Agriculture; Chinese Academy of Agricultural Sciences); Hao, Weiping (Institute of Environment and Sustainable Development in Agriculture); Wang, Hanbo (Institute of Environment and Sustainable Development in Agriculture); Caylor, Kelly K. (Princeton University)",10,8,,4.85,,https://app.dimensions.ai/details/publication/pub.1050288180,"09 Engineering; 0905 Civil Engineering; 0701 Agriculture, Land and Farm Management; 0799 Other Agricultural and Veterinary Sciences; 07 Agricultural and Veterinary Sciences",09 Engineering,0905 Civil Engineering,"0701 Agriculture, Land and Farm Management",0799 Other Agricultural and Veterinary Sciences,07 Agricultural and Veterinary Sciences
24,100,pub.1084473441,10.5751/es-09156-220148,,,Household-level heterogeneity of water resources within common-pool resource systems,Ecology and Society,,,2017,2017,22,1,,All OA; Gold,Article,"McCord, Paul; Dell'Angelo, Jampel; Gower, Drew; Caylor, Kelly; Evans, Tom",,"McCord, Paul (); Dell'Angelo, Jampel (); Gower, Drew (); Caylor, Kelly (); Evans, Tom ()",6,5,,6.36,http://www.ecologyandsociety.org/vol22/iss1/art48/ES-2017-9156.pdf,https://app.dimensions.ai/details/publication/pub.1084473441,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
25,100,pub.1040085255,10.5194/hess-2016-573,,,Calibration of a parsimonious distributed ecohydrological daily model in a data scarce basin using exclusively the spatio-temporal variation of NDVI,Hydrology and Earth System Sciences Discussions,,,2016-11-08,2016,,,1-33,All OA; Gold,Article,"Ruiz-Pérez, Guiomar; Koch, Julian; Manfreda, Salvatore; Caylor, Kelly; Francés, Félix",,"Ruiz-Pérez, Guiomar (Swedish University of Agricultural Sciences); Koch, Julian (Geological Survey of Denmark and Greenland; University of Copenhagen); Manfreda, Salvatore (University of Basilicata); Caylor, Kelly (University of California, Santa Barbara); Francés, Félix (Polytechnic University of Valencia)",3,1,,1.05,https://doi.org/10.5194/hess-2016-573,https://app.dimensions.ai/details/publication/pub.1040085255,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
26,100,pub.1044324530,10.1088/1748-9326/11/11/115005,,,Modeling ecohydrological dynamics of smallholder strategies for food production in dryland agricultural systems,Environmental Research Letters,,,2016-11-01,2016,11,11,115005,All OA; Gold,Article,"Gower, Drew B; Dell’Angelo, Jampel; McCord, Paul F; Caylor, Kelly K; Evans, Tom P",,"Gower, Drew B (Princeton University); Dell’Angelo, Jampel (National Socio-Environmental Synthesis Center); McCord, Paul F (Indiana University Bloomington); Caylor, Kelly K (Princeton University; University of California, Santa Barbara); Evans, Tom P (Indiana University Bloomington)",7,4,,2.29,https://iopscience.iop.org/article/10.1088/1748-9326/11/11/115005/pdf,https://app.dimensions.ai/details/publication/pub.1044324530,0703 Crop and Pasture Production; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
