,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Stanley M Awramik. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1036687718,10.1130/g36793.1,,,"Giant stromatolites of the Eocene Green River Formation (Colorado, USA)",Geology,,,2015-08,2015,43,8,691-694,All OA; Gold,Article,"Awramik, Stanley M.; Buchheim, H. Paul",,"Awramik, Stanley M. (University of California, Santa Barbara); Buchheim, H. Paul (Loma Linda University)",9,4,,1.85,https://pubs.geoscienceworld.org/geology/article-pdf/43/8/691/470589/691.pdf,https://app.dimensions.ai/details/publication/pub.1036687718,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,100,pub.1068916756,10.2110/jsr.2015.28,,,"Lacustrine Facies In Response To Millennial–Century-Scale Climate Changes (Lake Hayk, Northern Ethiopia)ALONG-STRIKE VARIABILITY OF SHORELINE",Journal of Sedimentary Research,,,2015-04-23,2015,85,4,381-398,Closed,Article,"Ghinassi, Massimiliano; D'oriano, Filippo; Benvenuti, Marco; Fedi, Mariaelena; Awramik, Stanley",,"Ghinassi, Massimiliano (University of Padua); D'oriano, Filippo (); Benvenuti, Marco (University of Florence); Fedi, Mariaelena (INFN Sezione di Firenze); Awramik, Stanley (University of California, Santa Barbara)",3,2,,0.59,,https://app.dimensions.ai/details/publication/pub.1068916756,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
12,100,pub.1001881929,10.1016/j.palaeo.2012.09.029,,,"Shoreline fluctuations of Lake Hayk (northern Ethiopia) during the last 3500years: Geomorphological, sedimentary, and isotope records",Palaeogeography Palaeoclimatology Palaeoecology,,,2012-12,2012,365,,209-226,Closed,Article,"Ghinassi, Massimiliano; D'Oriano, Filippo; Benvenuti, Marco; Awramik, Stanley; Bartolini, Carlo; Fedi, Mariaelena; Ferrari, Giovanni; Papini, Mauro; Sagri, Mario; Talbot, Micheal","Ghinassi, Massimiliano","Ghinassi, Massimiliano (University of Padua); D'Oriano, Filippo (University of Bologna); Benvenuti, Marco (University of Florence); Awramik, Stanley (University of California, Santa Barbara); Bartolini, Carlo (University of Florence); Fedi, Mariaelena (); Ferrari, Giovanni (University of Florence); Papini, Mauro (University of Florence); Sagri, Mario (University of Florence); Talbot, Micheal (University of Bergen)",16,5,,2.78,,https://app.dimensions.ai/details/publication/pub.1001881929,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
13,100,pub.1036244971,10.2110/palo.2012.p12-016r,,,"LOWER CAMBRIAN ANEMONE BURROWS FROM THE UPPER MEMBER OF THE WOOD CANYON FORMATION, DEATH VALLEY REGION, UNITED STATES: PALEOECOLOGICAL AND PALEOENVIRONMENTAL SIGNIFICANCE",Palaios,,,2012-10-04,2012,27,9,594-606,Closed,Article,"MATA, SCOTT A.; CORSETTI, CARA L.; CORSETTI, FRANK A.; AWRAMIK, STANLEY M.; BOTTJER, DAVID J.",,"MATA, SCOTT A. (University of Southern California); CORSETTI, CARA L. (); CORSETTI, FRANK A. (University of Southern California); AWRAMIK, STANLEY M. (University of California, Santa Barbara); BOTTJER, DAVID J. (University of Southern California)",14,5,,2.34,,https://app.dimensions.ai/details/publication/pub.1036244971,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1043971311,10.1111/j.1755-6724.2011.00398.x,,,"Acanthomorph Biostratigraphic Succession of the Ediacaran Doushantuo Formation in the East Yangtze Gorges, South China",Acta Geologica Sinica - English Edition,,,2011-04,2011,85,2,283-295,Closed,Article,"Chongyu, YIN; Pengju, LIU; AWRAMIK, Stanley M.; Shouming, CHEN; Feng, TANG; Linzhi, GAO; Ziqiang, WANG; RIEDMAN, Leigh A.",,"Chongyu, YIN (Chinese Academy of Geological Sciences); Pengju, LIU (Chinese Academy of Geological Sciences); AWRAMIK, Stanley M. (University of California, Santa Barbara); Shouming, CHEN (Chinese Academy of Geological Sciences); Feng, TANG (Chinese Academy of Geological Sciences); Linzhi, GAO (Chinese Academy of Geological Sciences); Ziqiang, WANG (China University of Geosciences); RIEDMAN, Leigh A. (University of California, Santa Barbara)",17,5,,2.14,,https://app.dimensions.ai/details/publication/pub.1043971311,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
15,100,pub.1006742158,10.1007/978-94-007-0397-1_20,,,"Micro-FTIR Spectroscopic Imaging of ~1,900 Ma Stromatolitic Chert","Cellular Origin, Life in Extreme Habitats and Astrobiology",STROMATOLITES: Interaction of Microbes with Sediments,,2011,2011,18,,445-461,Closed,Chapter,"Igisu, Motoko; Ueno, Yuichiro; Nakashima, Satoru; Awramik, Stanley M.; Maruyama, Shigenori","Igisu, Motoko","Igisu, Motoko (Tokyo Institute of Technology; Osaka University; University of Tokyo); Ueno, Yuichiro (Tokyo Institute of Technology); Nakashima, Satoru (University of California, Santa Barbara); Awramik, Stanley M. (University of California, Santa Barbara); Maruyama, Shigenori (Tokyo Institute of Technology)",3,1,,0.31,,https://app.dimensions.ai/details/publication/pub.1006742158,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
16,100,pub.1012188697,10.1016/j.precamres.2009.07.005,,,"A giant, Late Archean lake system: The Meentheena Member (Tumbiana Formation; Fortescue Group), Western Australia",Precambrian Research,,,2009-11,2009,174,3-4,215-240,Closed,Article,"Awramik, Stanley M.; Buchheim, H. Paul","Awramik, Stanley M.","Awramik, Stanley M. (University of California, Santa Barbara); Buchheim, H. Paul (Loma Linda University)",63,13,,11.53,,https://app.dimensions.ai/details/publication/pub.1012188697,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
17,100,pub.1049596155,10.1016/j.precamres.2009.03.006,,,Micro-FTIR spectroscopic signatures of Bacterial lipids in Proterozoic microfossils,Precambrian Research,,,2009-09,2009,173,1-4,19-26,Closed,Article,"Igisu, Motoko; Ueno, Yuichiro; Shimojima, Mie; Nakashima, Satoru; Awramik, Stanley M.; Ohta, Hiroyuki; Maruyama, Shigenori","Ueno, Yuichiro","Igisu, Motoko (Tokyo Institute of Technology; Osaka University; University of Tokyo); Ueno, Yuichiro (Tokyo Institute of Technology); Shimojima, Mie (Tokyo Institute of Technology); Nakashima, Satoru (Osaka University); Awramik, Stanley M. (University of California, Santa Barbara); Ohta, Hiroyuki (Tokyo Institute of Technology); Maruyama, Shigenori (Tokyo Institute of Technology)",65,16,,,,https://app.dimensions.ai/details/publication/pub.1049596155,04 Earth Sciences,04 Earth Sciences,,,,
18,100,pub.1029419409,10.1016/j.precamres.2009.05.005,,,"Evidence for eukaryotic diversification in the ∼1800 million-year-old Changzhougou Formation, North China",Precambrian Research,,,2009-09,2009,173,1-4,93-104,Closed,Article,"Lamb, D.M.; Awramik, S.M.; Chapman, D.J.; Zhu, S.","Lamb, D.M.","Lamb, D.M. (University of California, Santa Barbara); Awramik, S.M. (University of California, Santa Barbara); Chapman, D.J. (University of California, Santa Barbara); Zhu, S. (China Geological Survey)",60,14,,10.99,,https://app.dimensions.ai/details/publication/pub.1029419409,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
19,200,pub.1010571845,10.1117/12.800918,,,3D characterization of stromatolites and the emergence of complexity,Proceedings of SPIE,"Instruments, Methods, and Missions for Astrobiology XI",,2008-08-28,2008,7097,,709711-709711-8,Closed,Proceeding,"Storrie-Lombardi, Michael C.; Awramik, Stanley M.; Nesson, John",,"Storrie-Lombardi, Michael C. (); Awramik, Stanley M. (University of California, Santa Barbara); Nesson, John ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1010571845,,,,,,
20,200,pub.1104356446,10.1017/cbo9780511812958.018,,,The evolution and diversification of life,,Planets and Life,,2007-09-13,2007,,,313-334,Closed,Chapter,"Awramik, Stanley M.; McNamara, Kenneth J.",,"Awramik, Stanley M. (); McNamara, Kenneth J. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1104356446,,,,,,
21,100,pub.1015821119,10.1007/s11707-007-0018-1,,,"Discoveries of new Longfengshaniaceae from the uppermost Ediacaran in eastern Yunnan, South China and the significance",Frontiers of Earth Science,,,2007-05,2007,1,2,142-149,Closed,Article,"Tang, Feng; Song, Xueliang; Yin, Chongyu; Liu, Pengju; Awramik, S. M.; Wang, Ziqiang; Gao, Linzhi","Tang, Feng","Tang, Feng (Chinese Academy of Geological Sciences); Song, Xueliang (); Yin, Chongyu (Chinese Academy of Geological Sciences); Liu, Pengju (Chinese Academy of Geological Sciences); Awramik, S. M. (University of California, Santa Barbara); Wang, Ziqiang (China University of Geosciences); Gao, Linzhi (Chinese Academy of Geological Sciences)",5,2,,0.34,,https://app.dimensions.ai/details/publication/pub.1015821119,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
22,100,pub.1029389522,10.1016/j.precamres.2006.12.012,,,"Paleoproterozoic compression-like structures from the Changzhougou Formation, China: Eukaryotes or clasts?",Precambrian Research,,,2007-04,2007,154,3-4,236-247,Closed,Article,"Lamb, D.M.; Awramik, S.M.; Zhu, S.","Lamb, D.M.","Lamb, D.M. (University of California, Santa Barbara); Awramik, S.M. (University of California, Santa Barbara); Zhu, S. (China Geological Survey)",13,2,,1.35,,https://app.dimensions.ai/details/publication/pub.1029389522,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
23,400,pub.1065257088,10.1366/000370206778664707,17059662,,In situ Infrared Microspectroscopy of ∼850 Million-Year-Old Prokaryotic Fossils,Applied Spectroscopy,,"Fossils; Geologic Sediments; Spectroscopy, Fourier Transform Infrared; Spectrum Analysis, Raman",2006-10,2006,60,10,1111-1120,Closed,Article,"Igisu, Motoko; Nakashima, Satoru; Ueno, Yuichiro; Awramik, Stanley M.; Maruyama, Shigenori",,"Igisu, Motoko (Tokyo Institute of Technology); Nakashima, Satoru (Tokyo Institute of Technology); Ueno, Yuichiro (Tokyo Institute of Technology); Awramik, Stanley M. (Tokyo Institute of Technology); Maruyama, Shigenori (Tokyo Institute of Technology)",26,5,0.27,4.33,,https://app.dimensions.ai/details/publication/pub.1065257088,09 Engineering; 03 Chemical Sciences; 0301 Analytical Chemistry; 0913 Mechanical Engineering,09 Engineering,03 Chemical Sciences,0301 Analytical Chemistry,0913 Mechanical Engineering,
24,200,pub.1021591781,10.1117/12.679869,,,A sideways view of stromatolites: complexity metrics for stromatolite laminae,Proceedings of SPIE,"Instruments, Methods, and Missions for Astrobiology IX",,2006-08-31,2006,6309,,63090p-63090p-12,Closed,Proceeding,"Storrie-Lombardi, Michael C.; Awramik, Stanley M.",,"Storrie-Lombardi, Michael C. (); Awramik, Stanley M. (University of California, Santa Barbara)",3,1,,,,https://app.dimensions.ai/details/publication/pub.1021591781,,,,,,
25,300,pub.1048277139,10.1038/441700a,16760962,,Respect for stromatolites,Nature,,"Australia; Carbonates; Ecosystem; Fossils; Geologic Sediments; History, Ancient; Marine Biology; Paleontology; Seawater; Time Factors",2006-06,2006,441,7094,700-701,Closed,Article,"Awramik, Stanley M.",,"Awramik, Stanley M. (University of California, Santa Barbara)",18,1,0.04,2.12,,https://app.dimensions.ai/details/publication/pub.1048277139,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
26,100,pub.1004038154,10.1666/0022-3360(2006)80[411:fcngaf]2.0.co;2,,,"Favosamaceria cooperi new group and form: A widely dispersed, time-restricted thrombolite",Journal of Paleontology,,,2006-05,2006,80,3,411-422,"All OA; Green, Published",Article,"Shapiro, Russell S.; Awramik, Stanley M.",,"Shapiro, Russell S. (); Awramik, Stanley M. (University of California, Santa Barbara)",30,6,,3.53,http://www.geol.ucsb.edu/faculty/awramik/pubs/SHAP0611.pdf,https://app.dimensions.ai/details/publication/pub.1004038154,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
27,200,pub.1018385496,10.1117/12.625556,,,"Stromatolites: biogenicity, biosignatures, and bioconfusion",Proceedings of SPIE,Astrobiology and Planetary Missions,,2005-08-18,2005,5906,,59060p-59060p-9,Closed,Proceeding,"Awramik, Stanley M.; Grey, Kathleen",,"Awramik, Stanley M. (University of California, Santa Barbara); Grey, Kathleen (Geological Survey of Western Australia)",38,10,,,,https://app.dimensions.ai/details/publication/pub.1018385496,,,,,,
28,400,pub.1036989367,10.1073/pnas.0730560100,12682298,PMC153566,"A complex microbiota from snowball Earth times: Microfossils from the Neoproterozoic Kingston Peak Formation, Death Valley, USA",Proceedings of the National Academy of Sciences,,Biological Evolution; California; Ecosystem; Fossils; Geological Phenomena; Geology; Paleontology,2003-04-15,2003,100,8,4399-4404,All OA; Gold,Article,"Corsetti, Frank A.; Awramik, Stanley M.; Pierce, David",,"Corsetti, Frank A. (University of Southern California); Awramik, Stanley M. (University of California, Santa Barbara); Pierce, David (University of California, Santa Barbara)",66,3,0.1,5.64,http://www.pnas.org/content/100/8/4399.full.pdf,https://app.dimensions.ai/details/publication/pub.1036989367,0605 Microbiology; 04 Earth Sciences; 0403 Geology; 06 Biological Sciences,0605 Microbiology,04 Earth Sciences,0403 Geology,06 Biological Sciences,
29,100,pub.1053243369,10.1139/e00-040,,,"Evidence for initial calcite-aragonite composition of Lower Algal Chert Member ooids and stromatolites, Paleoproterozoic Gunflint Formation, Ontario, Canada",Canadian Journal of Earth Sciences,,,2000-09,2000,37,9,1229-1243,Closed,Article,"Sommers, M G; Awramik, S M; Woo, K S",,"Sommers, M G (); Awramik, S M (); Woo, K S ()",12,2,,1.13,,https://app.dimensions.ai/details/publication/pub.1053243369,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
30,100,pub.1010901750,10.1080/00206810009465096,,,Using Chemostratigraphy to Correlate and Calibrate Unconformities in Neoproterozoic Strata from the Southern Great Basin of the United States,International Geology Review,,,2000-06,2000,42,6,516-533,Closed,Article,"Corsetti, Frank A.; Awramik, Stanley M.; Pierce, David; Kaufman, Alan J.",,"Corsetti, Frank A. (University of California, Santa Barbara); Awramik, Stanley M. (University of California, Santa Barbara); Pierce, David (University of California, Santa Barbara); Kaufman, Alan J. (University of Maryland, College Park)",18,1,,1.7,,https://app.dimensions.ai/details/publication/pub.1010901750,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
31,400,pub.1058620890,10.1086/314394,10736268,,Microbialite morphostratigraphy as a tool for correlating Late Cambrian-Early Ordovician sequences.,The Journal of Geology,,"Biological Evolution; California; Earth (Planet); Environmental Microbiology; Evolution, Planetary; Fossils; Geologic Sediments; Geology; Nevada; Paleontology; Utah",2000-03,2000,108,2,171-80,Closed,Article,"Shapiro, R S; Awramik, S M",,"Shapiro, R S (University of California, Santa Barbara); Awramik, S M ()",18,2,0.01,1.7,,https://app.dimensions.ai/details/publication/pub.1058620890,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
32,100,pub.1051321209,10.1080/08912969909386584,,,Proterozoic stromatolites: The first marine evolutionary biota,Historical Biology,,,1999-01,1999,13,4,241-253,Closed,Article,"Awramik, Stanley M.; Sprinkle, James",,"Awramik, Stanley M. (University of California, Santa Barbara); Sprinkle, James (The University of Texas at Austin)",58,9,,,,https://app.dimensions.ai/details/publication/pub.1051321209,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
33,100,pub.1048924718,10.1130/0016-7606(1997)109<0444:llapho>2.3.co;2,,,"Lake level and paleoenvironmental history of Lake Tanganyika, Africa, as inferred from late Holocene and modern stromatolites",Geological Society of America Bulletin,,,1997-04,1997,109,4,444-460,Closed,Article,"Cohen, Andrew S.; Talbot, Michael R.; Awramik, Stanley M.; Dettman, David L.; Abell, Paul",,"Cohen, Andrew S. (University of Arizona); Talbot, Michael R. (University of Bergen); Awramik, Stanley M. (University of California, Santa Barbara); Dettman, David L. (University of Arizona); Abell, Paul (University of Rhode Island)",96,11,,,,https://app.dimensions.ai/details/publication/pub.1048924718,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
34,400,pub.1028782212,10.1130/0016-7606(1992)104<1138:sotmla>2.3.co;2,11538391,,"Stromatolites of the Mescal Limestone (Apache Group, middle Proterozoic, central Arizona): Taxonomy, biostratigraphy, and paleoenvironments",Geological Society of America Bulletin,,Arizona; Calcium Carbonate; California; Geological Phenomena; Geology; Mexico; Paleontology; Texas,1992-09,1992,104,9,1138-1155,Closed,Article,"BERTRAND-SARFATI, JANINE; AWRAMIK, STANLEY M.",,"BERTRAND-SARFATI, JANINE (); AWRAMIK, STANLEY M. (University of California, Santa Barbara)",16,0,0,,,https://app.dimensions.ai/details/publication/pub.1028782212,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
35,400,pub.1008926792,10.1007/bf00039172,24408570,,The oldest records of photosynthesis,Photosynthesis Research,,,1992-08,1992,33,2,75-89,"All OA; Green, Accepted & Submitted",Article,"Awramik, Stanley M.",,"Awramik, Stanley M. (University of California, Santa Barbara)",96,9,0.57,,http://www.geol.ucsb.edu/faculty/awramik/pubs/AWRA9275.pdf,https://app.dimensions.ai/details/publication/pub.1008926792,0607 Plant Biology; 0604 Genetics; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0607 Plant Biology,0604 Genetics,0601 Biochemistry and Cell Biology,06 Biological Sciences,
36,400,pub.1074874827,,11538389,,The oldest records of photosynthesis.,Photosynthesis Research,,Australia; Bacterial Physiological Phenomena; Biological Evolution; Cyanobacteria; Fossils; Geological Phenomena; Geology; Paleontology; Photosynthesis; Prokaryotic Cells; South Africa,1992,1992,33,,75-89,Closed,Article,"Awramik, S M",,"Awramik, S M (University of California, Santa Barbara)",13,0,0.37,,,https://app.dimensions.ai/details/publication/pub.1074874827,0607 Plant Biology; 0604 Genetics; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0607 Plant Biology,0604 Genetics,0601 Biochemistry and Cell Biology,06 Biological Sciences,
