,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Mark A Brzezinski. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1101745436,10.1101/286138,,,Divergent gene expression among phytoplankton taxa in response to upwelling,bioRxiv,,,2018-03-23,2018,,,286138,"All OA; Green, Published",Preprint,"Lampe, Robert H; Cohen, Natalie R; Ellis, Kelsey A; Bruland, Kenneth W; Maldonado, Maria T; Peterson, Tawnya D; Till, Claire P; Brzezinski, Mark A; Bargu, Sibel; Thamatrakoln, Kimberlee; Kuzminov, Fedor I; Twining, Benjamin S; Marchetti, Adrian",,"Lampe, Robert H (University of North Carolina at Chapel Hill); Cohen, Natalie R (University of North Carolina at Chapel Hill); Ellis, Kelsey A (University of North Carolina at Chapel Hill); Bruland, Kenneth W (University of California, Santa Cruz); Maldonado, Maria T (University of British Columbia); Peterson, Tawnya D (Oregon Health & Science University); Till, Claire P (Humboldt State University); Brzezinski, Mark A (); Bargu, Sibel (Louisiana State University); Thamatrakoln, Kimberlee (Rutgers, The State University of New Jersey); Kuzminov, Fedor I (Rutgers, The State University of New Jersey); Twining, Benjamin S (Bigelow Laboratory For Ocean Sciences); Marchetti, Adrian (University of North Carolina at Chapel Hill)",0,0,,,https://www.biorxiv.org/content/biorxiv/early/2018/06/15/286138.full.pdf,https://app.dimensions.ai/details/publication/pub.1101745436,0607 Plant Biology; 0604 Genetics; 06 Biological Sciences,0607 Plant Biology,0604 Genetics,06 Biological Sciences,,
11,100,pub.1092685165,10.3389/fmars.2017.00360,,,Diatom Transcriptional and Physiological Responses to Changes in Iron Bioavailability across Ocean Provinces,Frontiers in Marine Science,,,2017-11-14,2017,4,,360,All OA; Gold,Article,"Cohen, Natalie R.; Ellis, Kelsey A.; Lampe, Robert H.; McNair, Heather; Twining, Benjamin S.; Maldonado, Maria T.; Brzezinski, Mark A.; Kuzminov, Fedor I.; Thamatrakoln, Kimberlee; Till, Claire P.; Bruland, Kenneth W.; Sunda, William G.; Bargu, Sibel; Marchetti, Adrian",,"Cohen, Natalie R. (University of North Carolina at Chapel Hill); Ellis, Kelsey A. (University of North Carolina at Chapel Hill); Lampe, Robert H. (University of North Carolina at Chapel Hill); McNair, Heather (University of California, Santa Barbara); Twining, Benjamin S. (Bigelow Laboratory For Ocean Sciences); Maldonado, Maria T. (University of British Columbia); Brzezinski, Mark A. (University of California, Santa Barbara); Kuzminov, Fedor I. (Rutgers, The State University of New Jersey); Thamatrakoln, Kimberlee (Rutgers, The State University of New Jersey); Till, Claire P. (University of California, Santa Cruz; Humboldt State University); Bruland, Kenneth W. (University of California, Santa Cruz); Sunda, William G. (University of North Carolina at Chapel Hill); Bargu, Sibel (Louisiana State University); Marchetti, Adrian (University of North Carolina at Chapel Hill)",17,17,,5.28,https://www.frontiersin.org/articles/10.3389/fmars.2017.00360/pdf,https://app.dimensions.ai/details/publication/pub.1092685165,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
12,500,pub.1085205720,10.1111/jpy.12545,28457002,,Patterns and regulation of silicon accumulation in Synechococcus spp.,Journal of Phycology,,Silicic Acid; Silicon; Synechococcus,2017-08,2017,53,4,746-761,All OA; Gold,Article,"Brzezinski, Mark A.; Krause, Jeffrey W.; Baines, Stephen B.; Collier, Jackie L.; Ohnemus, Daniel C.; Twining, Benjamin S.",,"Brzezinski, Mark A. (University of California, Santa Barbara); Krause, Jeffrey W. (Dauphin Island Sea Lab; University of South Alabama); Baines, Stephen B. (Stony Brook University); Collier, Jackie L. (Stony Brook University); Ohnemus, Daniel C. (Bigelow Laboratory For Ocean Sciences); Twining, Benjamin S. (Bigelow Laboratory For Ocean Sciences)",8,6,0.31,2.12,https://doi.org/10.1111/jpy.12545,https://app.dimensions.ai/details/publication/pub.1085205720,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
13,100,pub.1084819751,10.1002/2017gb005619,,,Picoplankton contribution to biogenic silica stocks and production rates in the Sargasso Sea,Global Biogeochemical Cycles,,,2017-05,2017,31,5,762-774,All OA; Gold,Article,"Krause, Jeffrey W.; Brzezinski, Mark A.; Baines, Stephen B.; Collier, Jackie L.; Twining, Benjamin S.; Ohnemus, Daniel C.",,"Krause, Jeffrey W. (Dauphin Island Sea Lab; University of South Alabama); Brzezinski, Mark A. (University of California, Santa Barbara); Baines, Stephen B. (Stony Brook University); Collier, Jackie L. (Stony Brook University); Twining, Benjamin S. (Bigelow Laboratory For Ocean Sciences); Ohnemus, Daniel C. (Bigelow Laboratory For Ocean Sciences)",7,7,,2.17,https://doi.org/10.1002/2017gb005619,https://app.dimensions.ai/details/publication/pub.1084819751,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
14,500,pub.1084295353,10.1371/journal.pone.0173145,28257422,PMC5336268,Elevated pCO2 enhances bacterioplankton removal of organic carbon,PLoS ONE,,Carbon; Carbon Dioxide; Cyanobacteria; Ecosystem; Environmental Monitoring; Humans; Oceans and Seas; Phytoplankton; Seawater; Water Microbiology,2017-03-03,2017,12,3,e0173145,All OA; Gold,Article,"James, Anna K.; Passow, Uta; Brzezinski, Mark A.; Parsons, Rachel J.; Trapani, Jennifer N.; Carlson, Craig A.",,"James, Anna K. (University of California, Santa Barbara); Passow, Uta (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Parsons, Rachel J. (Bermuda Institute of Ocean Sciences); Trapani, Jennifer N. (Bermuda Institute of Ocean Sciences); Carlson, Craig A. (University of California, Santa Barbara)",6,6,0.23,1.86,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0173145&type=printable,https://app.dimensions.ai/details/publication/pub.1084295353,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
15,100,pub.1043235047,10.1039/c6ja00302h,,,GEOTRACES inter-calibration of the stable silicon isotope composition of dissolved silicic acid in seawater,Journal of Analytical Atomic Spectrometry,,,2017,2017,32,3,562-578,"All OA; Green, Accepted & Submitted",Article,"Grasse, Patricia; Brzezinski, Mark A.; Cardinal, Damien; de Souza, Gregory F.; Andersson, Per; Closset, Ivia; Cao, Zhimian; Dai, Minhan; Ehlert, Claudia; Estrade, Nicolas; François, Roger; Frank, Martin; Jiang, Guibin; Jones, Janice L.; Kooijman, Ellen; Liu, Qian; Lu, Dawei; Pahnke, Katharina; Ponzevera, Emanuel; Schmitt, Melanie; Sun, Xiaole; Sutton, Jill N.; Thil, François; Weis, Dominique; Wetzel, Florian; Zhang, Anyu; Zhang, Jing; Zhang, Zhouling",,"Grasse, Patricia (GEOMAR Helmholtz Centre for Ocean Research Kiel; University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Cardinal, Damien (Sorbonne University); de Souza, Gregory F. (Swiss Federal Institute of Technology in Zurich); Andersson, Per (Swedish Museum of Natural History); Closset, Ivia (Sorbonne University); Cao, Zhimian (Xiamen University); Dai, Minhan (Xiamen University); Ehlert, Claudia (Carl von Ossietzky University of Oldenburg); Estrade, Nicolas (University of British Columbia); François, Roger (University of British Columbia); Frank, Martin (GEOMAR Helmholtz Centre for Ocean Research Kiel); Jiang, Guibin (Research Center for Eco-Environmental Sciences); Jones, Janice L. (University of California, Santa Barbara); Kooijman, Ellen (Swedish Museum of Natural History); Liu, Qian (Research Center for Eco-Environmental Sciences); Lu, Dawei (Research Center for Eco-Environmental Sciences); Pahnke, Katharina (Carl von Ossietzky University of Oldenburg); Ponzevera, Emanuel (); Schmitt, Melanie (Swedish Museum of Natural History); Sun, Xiaole (Stockholm University); Sutton, Jill N. (); Thil, François (); Weis, Dominique (University of British Columbia); Wetzel, Florian (Swiss Federal Institute of Technology in Zurich); Zhang, Anyu (East China Normal University); Zhang, Jing (East China Normal University); Zhang, Zhouling (Xiamen University)",10,8,,3.33,http://nrm.diva-portal.org/smash/get/diva2:1082078/FULLTEXT01,https://app.dimensions.ai/details/publication/pub.1043235047,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
16,100,pub.1003525664,10.1016/j.marchem.2016.10.003,,,Silicon content of individual cells of Synechococcus from the North Atlantic Ocean,Marine Chemistry,,,2016-12,2016,187,,16-24,Closed,Article,"Ohnemus, Daniel C.; Rauschenberg, Sara; Krause, Jeffrey W.; Brzezinski, Mark A.; Collier, Jackie L.; Geraci-Yee, Sabrina; Baines, Stephen B.; Twining, Benjamin S.","Ohnemus, Daniel C.","Ohnemus, Daniel C. (Bigelow Laboratory For Ocean Sciences); Rauschenberg, Sara (Bigelow Laboratory For Ocean Sciences); Krause, Jeffrey W. (Dauphin Island Sea Lab; University of South Alabama); Brzezinski, Mark A. (University of California, Santa Barbara); Collier, Jackie L. (Stony Brook University); Geraci-Yee, Sabrina (Stony Brook University); Baines, Stephen B. (Stony Brook University); Twining, Benjamin S. (Bigelow Laboratory For Ocean Sciences)",6,3,,1.29,,https://app.dimensions.ai/details/publication/pub.1003525664,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
17,400,pub.1000632576,10.1371/journal.pone.0165191,27893739,PMC5125570,Evaluating Carbonate System Algorithms in a Nearshore System: Does Total Alkalinity Matter?,PLoS ONE,,Algorithms; California; Carbonates; Ecosystem; Environmental Monitoring; Hydrogen-Ion Concentration; Seasons; Seawater,2016-11-28,2016,11,11,e0165191,All OA; Gold,Article,"Jones, Jonathan M.; Sweet, Julia; Brzezinski, Mark A.; McNair, Heather M.; Passow, Uta",,"Jones, Jonathan M. (University of California, Santa Barbara); Sweet, Julia (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); McNair, Heather M. (University of California, Santa Barbara); Passow, Uta (University of California, Santa Barbara)",1,1,0.14,0.22,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0165191&type=printable,https://app.dimensions.ai/details/publication/pub.1000632576,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
18,100,pub.1017995604,10.1002/2015gb005277,,,Heavy silicon isotopic composition of silicic acid and biogenic silica in Arctic waters over the Beaufort shelf and the Canada Basin,Global Biogeochemical Cycles,,,2016-06,2016,30,6,804-824,Closed,Article,"Varela, D. E.; Brzezinski, M. A.; Beucher, C. P.; Jones, J. L.; Giesbrecht, K. E.; Lansard, B.; Mucci, A.",,"Varela, D. E. (University of Victoria); Brzezinski, M. A. (University of California, Santa Barbara); Beucher, C. P. (University of Victoria; University of California, Santa Barbara); Jones, J. L. (University of California, Santa Barbara); Giesbrecht, K. E. (University of Victoria); Lansard, B. (McGill University); Mucci, A. (McGill University)",3,3,,0.65,,https://app.dimensions.ai/details/publication/pub.1017995604,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
19,100,pub.1036992365,10.3389/fmars.2016.00022,,,Prediction of the Export and Fate of Global Ocean Net Primary Production: The EXPORTS Science Plan,Frontiers in Marine Science,,,2016-03-08,2016,3,,22,All OA; Gold,Article,"Siegel, David A.; Buesseler, Ken O.; Behrenfeld, Michael J.; Benitez-Nelson, Claudia R.; Boss, Emmanuel; Brzezinski, Mark A.; Burd, Adrian; Carlson, Craig A.; D'Asaro, Eric A.; Doney, Scott C.; Perry, Mary J.; Stanley, Rachel H. R.; Steinberg, Deborah K.",,"Siegel, David A. (University of California, Santa Barbara); Buesseler, Ken O. (Woods Hole Oceanographic Institution); Behrenfeld, Michael J. (Oregon State University); Benitez-Nelson, Claudia R. (University of South Carolina); Boss, Emmanuel (University of Maine); Brzezinski, Mark A. (University of California, Santa Barbara); Burd, Adrian (University of Georgia); Carlson, Craig A. (University of California, Santa Barbara); D'Asaro, Eric A. (University of Washington); Doney, Scott C. (Woods Hole Oceanographic Institution); Perry, Mary J. (University of Maine); Stanley, Rachel H. R. (Woods Hole Oceanographic Institution); Steinberg, Deborah K. (William & Mary)",54,37,,11.65,https://www.frontiersin.org/articles/10.3389/fmars.2016.00022/pdf,https://app.dimensions.ai/details/publication/pub.1036992365,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
20,100,pub.1049963905,10.1016/j.marchem.2015.09.001,,,Roles of diatom nutrient stress and species identity in determining the short- and long-term bioavailability of diatom exudates to bacterioplankton,Marine Chemistry,,,2015-12,2015,177,Mar. Ecol. Prog. Ser. 186 1999,335-348,Closed,Article,"Wear, Emma K.; Carlson, Craig A.; Windecker, Laura A.; Brzezinski, Mark A.","Wear, Emma K.","Wear, Emma K. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara); Windecker, Laura A. (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara)",9,6,,1.51,,https://app.dimensions.ai/details/publication/pub.1049963905,0405 Oceanography; 0402 Geochemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 04 Earth Sciences,0405 Oceanography,0402 Geochemistry,0399 Other Chemical Sciences,03 Chemical Sciences,04 Earth Sciences
