,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Craig A Carlson. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1092916863,10.1016/j.marchem.2017.11.007,,,Organic complexation of iron in the eastern tropical South Pacific: Results from US GEOTRACES Eastern Pacific Zonal Transect (GEOTRACES cruise GP16),Marine Chemistry,,,2018-04,2018,201,Mar. Chem. 120 2010,229-241,Closed,Article,"Buck, Kristen N.; Sedwick, Peter N.; Sohst, Bettina; Carlson, Craig A.","Buck, Kristen N.","Buck, Kristen N. (University of South Florida); Sedwick, Peter N. (Old Dominion University); Sohst, Bettina (Old Dominion University); Carlson, Craig A. (University of California, Santa Barbara)",9,9,,,,https://app.dimensions.ai/details/publication/pub.1092916863,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
11,100,pub.1109357059,10.7287/peerj.preprints.3372,,,Fluorescent organic exudates of corals and algae in tropical reefs are compositionally distinct and increase with nutrient enrichment,PeerJ Preprints,,,2017-10-25,2017,,,,"All OA; Green, Published",Preprint,"Quinlan, Zachary A; Remple, Kristina; Fox, Michael D; Silbiger, Nyssa J; Oliver, Thomas A; Putnam, Hollie M; Kelly, Linda W; Carlson, Craig A; Donahue, Megan J; Nelson, Craig E",,"Quinlan, Zachary A (University of Hawaii at Manoa); Remple, Kristina (University of Hawaii at Manoa); Fox, Michael D (University of California, San Diego); Silbiger, Nyssa J (California State University, Northridge); Oliver, Thomas A (National Marine Fisheries Service); Putnam, Hollie M (University of Rhode Island); Kelly, Linda W (San Diego State University); Carlson, Craig A (University of California, Santa Barbara); Donahue, Megan J (University of Hawaii at Manoa); Nelson, Craig E (University of Hawaii at Manoa)",0,0,,0,https://peerj.com/preprints/3372.pdf,https://app.dimensions.ai/details/publication/pub.1109357059,0607 Plant Biology; 0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0605 Microbiology,0602 Ecology,06 Biological Sciences,
12,100,pub.1107341460,10.7287/peerj.preprints.3372v1,,,Fluorescent organic exudates of corals and algae in tropical reefs are compositionally distinct and increase with nutrient enrichment,PeerJ Preprints,,,2017-10-25,2017,5,,e3372v1,"All OA; Green, Published",Preprint,"Quinlan, Zachary A; Remple, Kristina; Fox, Michael D; Silbiger, Nyssa J; Oliver, Thomas A; Putnam, Hollie M; Kelly, Linda W; Carlson, Craig A; Donahue, Megan J; Nelson, Craig E",,"Quinlan, Zachary A (University of Hawaii at Manoa); Remple, Kristina (University of Hawaii at Manoa); Fox, Michael D (University of California, San Diego); Silbiger, Nyssa J (California State University, Northridge); Oliver, Thomas A (National Marine Fisheries Service); Putnam, Hollie M (University of Rhode Island); Kelly, Linda W (San Diego State University); Carlson, Craig A (University of California, Santa Barbara); Donahue, Megan J (University of Hawaii at Manoa); Nelson, Craig E (University of Hawaii at Manoa)",0,0,,0,https://peerj.com/preprints/3372.pdf,https://app.dimensions.ai/details/publication/pub.1107341460,0607 Plant Biology; 0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0605 Microbiology,0602 Ecology,06 Biological Sciences,
13,100,pub.1091659954,10.1029/2017eo080045,,,Monitoring Ocean Change in the 21st Century,Eos,,,2017-09-08,2017,,,,All OA; Gold,Article,"Neuer, Susanne; Benway, Heather; Bates, Nicholas; Carlson, Craig; Church, Matthew; DeGrandpre, Michael; Dunne, John; Letelier, Ricardo; Lomas, Michael; Lorenzoni, Laura; Muller-Karger, Frank; Perry, Mary; Quay, Paul",,"Neuer, Susanne (); Benway, Heather (); Bates, Nicholas (); Carlson, Craig (); Church, Matthew (); DeGrandpre, Michael (); Dunne, John (); Letelier, Ricardo (); Lomas, Michael (); Lorenzoni, Laura (); Muller-Karger, Frank (); Perry, Mary (); Quay, Paul ()",2,2,,,http://www.us-ocb.org/wp-content/uploads/sites/43/2017/01/TS_Workshop_report_FINAL.pdf,https://app.dimensions.ai/details/publication/pub.1091659954,,,,,,
14,200,pub.1084431549,10.3354/ame01824,,,"Marine bacterioplankton consortia follow deterministic, non-neutral community assembly rules",Aquatic Microbial Ecology,,,2017-05-22,2017,79,2,165-175,Closed,Article,"Vergin, KL; Jhirad, N; Dodge, J; Carlson, CA; Giovannoni, SJ",,"Vergin, KL (); Jhirad, N (); Dodge, J (); Carlson, CA (); Giovannoni, SJ ()",2,1,,0.68,,https://app.dimensions.ai/details/publication/pub.1084431549,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
15,500,pub.1084295353,10.1371/journal.pone.0173145,28257422,PMC5336268,Elevated pCO2 enhances bacterioplankton removal of organic carbon,PLoS ONE,,Carbon; Carbon Dioxide; Cyanobacteria; Ecosystem; Environmental Monitoring; Humans; Oceans and Seas; Phytoplankton; Seawater; Water Microbiology,2017-03-03,2017,12,3,e0173145,All OA; Gold,Article,"James, Anna K.; Passow, Uta; Brzezinski, Mark A.; Parsons, Rachel J.; Trapani, Jennifer N.; Carlson, Craig A.",,"James, Anna K. (University of California, Santa Barbara); Passow, Uta (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Parsons, Rachel J. (Bermuda Institute of Ocean Sciences); Trapani, Jennifer N. (Bermuda Institute of Ocean Sciences); Carlson, Craig A. (University of California, Santa Barbara)",6,6,0.23,1.86,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0173145&type=printable,https://app.dimensions.ai/details/publication/pub.1084295353,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
16,100,pub.1036992365,10.3389/fmars.2016.00022,,,Prediction of the Export and Fate of Global Ocean Net Primary Production: The EXPORTS Science Plan,Frontiers in Marine Science,,,2016-03-08,2016,3,,22,All OA; Gold,Article,"Siegel, David A.; Buesseler, Ken O.; Behrenfeld, Michael J.; Benitez-Nelson, Claudia R.; Boss, Emmanuel; Brzezinski, Mark A.; Burd, Adrian; Carlson, Craig A.; D'Asaro, Eric A.; Doney, Scott C.; Perry, Mary J.; Stanley, Rachel H. R.; Steinberg, Deborah K.",,"Siegel, David A. (University of California, Santa Barbara); Buesseler, Ken O. (Woods Hole Oceanographic Institution); Behrenfeld, Michael J. (Oregon State University); Benitez-Nelson, Claudia R. (University of South Carolina); Boss, Emmanuel (University of Maine); Brzezinski, Mark A. (University of California, Santa Barbara); Burd, Adrian (University of Georgia); Carlson, Craig A. (University of California, Santa Barbara); D'Asaro, Eric A. (University of Washington); Doney, Scott C. (Woods Hole Oceanographic Institution); Perry, Mary J. (University of Maine); Stanley, Rachel H. R. (Woods Hole Oceanographic Institution); Steinberg, Deborah K. (William & Mary)",54,37,,11.65,https://www.frontiersin.org/articles/10.3389/fmars.2016.00022/pdf,https://app.dimensions.ai/details/publication/pub.1036992365,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
17,200,pub.1022106763,10.1016/j.marchem.2015.10.002,,,Introduction to the special issue on the Biogeochemistry of Dissolved Organic Matter,Marine Chemistry,,,2015-12,2015,177,,203-204,Closed,Article,"Repeta, Daniel J.; Aluwihare, Lihini; Carlson, Craig; Liu, Zhanfei; Nelson, Craig; Stubbins, Aron",,"Repeta, Daniel J. (); Aluwihare, Lihini (); Carlson, Craig (); Liu, Zhanfei (); Nelson, Craig (); Stubbins, Aron ()",1,1,,0.17,,https://app.dimensions.ai/details/publication/pub.1022106763,0405 Oceanography; 0402 Geochemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 04 Earth Sciences,0405 Oceanography,0402 Geochemistry,0399 Other Chemical Sciences,03 Chemical Sciences,04 Earth Sciences
18,100,pub.1049963905,10.1016/j.marchem.2015.09.001,,,Roles of diatom nutrient stress and species identity in determining the short- and long-term bioavailability of diatom exudates to bacterioplankton,Marine Chemistry,,,2015-12,2015,177,Mar. Ecol. Prog. Ser. 186 1999,335-348,Closed,Article,"Wear, Emma K.; Carlson, Craig A.; Windecker, Laura A.; Brzezinski, Mark A.","Wear, Emma K.","Wear, Emma K. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara); Windecker, Laura A. (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara)",9,6,,1.51,,https://app.dimensions.ai/details/publication/pub.1049963905,0405 Oceanography; 0402 Geochemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 04 Earth Sciences,0405 Oceanography,0402 Geochemistry,0399 Other Chemical Sciences,03 Chemical Sciences,04 Earth Sciences
19,100,pub.1037092726,10.1016/j.marchem.2015.06.024,,,Microbial community composition and nitrogen availability influence DOC remineralization in the South Pacific Gyre,Marine Chemistry,,,2015-12,2015,177,,325-334,All OA; Gold,Article,"Letscher, Robert T.; Knapp, Angela N.; James, Anna K.; Carlson, Craig A.; Santoro, Alyson E.; Hansell, Dennis A.","Letscher, Robert T.","Letscher, Robert T. (University of California, Irvine); Knapp, Angela N. (Florida State University); James, Anna K. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara); Santoro, Alyson E. (University of Maryland Center For Environmental Sciences); Hansell, Dennis A. (University of Miami)",17,14,,2.69,https://manuscript.elsevier.com/S0304420315300104/pdf/S0304420315300104.pdf,https://app.dimensions.ai/details/publication/pub.1037092726,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
20,100,pub.1039201611,10.1002/lno.10154,,,Patterns and controls of reef‐scale production of dissolved organic carbon by giant kelp Macrocystis pyrifera,Limnology and Oceanography,,,2015-11,2015,60,6,1996-2008,Closed,Article,"Reed, Daniel C.; Carlson, Craig A.; Halewood, Elisa R.; Nelson, J. Clinton; Harrer, Shannon L.; Rassweiler, Andrew; Miller, Robert J.",,"Reed, Daniel C. (University of California, Santa Barbara); Carlson, Craig A. (University of California, Santa Barbara); Halewood, Elisa R. (University of California, Santa Barbara); Nelson, J. Clinton (University of California, Santa Barbara); Harrer, Shannon L. (University of California, Santa Barbara); Rassweiler, Andrew (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara)",12,10,,1.9,,https://app.dimensions.ai/details/publication/pub.1039201611,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
21,200,pub.1071157381,10.3354/ame01768,,,Water column stratification structures viral community composition in the Sargasso Sea,Aquatic Microbial Ecology,,,2015-10-07,2015,76,2,85-94,All OA; Gold,Article,"Goldsmith, DB; Brum, JR; Hopkins, M; Carlson, CA; Breitbart, M",,"Goldsmith, DB (); Brum, JR (); Hopkins, M (); Carlson, CA (); Breitbart, M ()",8,3,,1.45,https://www.int-res.com/articles/feature/a076p085.pdf,https://app.dimensions.ai/details/publication/pub.1071157381,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
22,400,pub.1048503788,10.1111/1462-2920.12445,24589037,,Bacterioplankton turnover within seasonally hypoxic waters,Environmental Microbiology,,"Alphaproteobacteria; Bermuda; Carbon Dioxide; Chlorobi; Euryarchaeota; Methane; Microbial Consortia; Oxidation-Reduction; Oxygen; Plankton; RNA, Ribosomal; RNA, Ribosomal, 16S; Seawater; Sulfur; Synechococcus",2015-10,2015,17,10,3481-3499,Closed,Article,"Parsons, Rachel J; Nelson, Craig E; Carlson, Craig A; Denman, Carmen C; Andersson, Andreas J; Kledzik, Andrew L; Vergin, Kevin L; McNally, Sean P; Treusch, Alexander H; Giovannoni, Stephen J",,"Parsons, Rachel J (); Nelson, Craig E (University of California, Santa Barbara; University of Hawaii at Manoa); Carlson, Craig A (University of California, Santa Barbara); Denman, Carmen C (Oregon State University; London School of Hygiene & Tropical Medicine); Andersson, Andreas J (University of California, San Diego); Kledzik, Andrew L (Florida Institute of Technology); Vergin, Kevin L (Oregon State University); McNally, Sean P (University of Rhode Island); Treusch, Alexander H (Oregon State University; University of Southern Denmark); Giovannoni, Stephen J (Oregon State University)",9,0,0.56,1.87,,https://app.dimensions.ai/details/publication/pub.1048503788,0605 Microbiology; 06 Biological Sciences; 0603 Evolutionary Biology,0605 Microbiology,06 Biological Sciences,0603 Evolutionary Biology,,
23,100,pub.1013529004,10.1002/lno.10063,,,Combined effects of CO2 and temperature on carbon uptake and partitioning by the marine diatoms Thalassiosira weissflogii and Dactyliosolen fragilissimus,Limnology and Oceanography,,,2015-05,2015,60,3,901-919,All OA; Gold,Article,"Taucher, J.; Jones, J.; James, A.; Brzezinski, M. A.; Carlson, C. A.; Riebesell, U.; Passow, U.",,"Taucher, J. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Jones, J. (University of California, Santa Barbara); James, A. (University of California, Santa Barbara); Brzezinski, M. A. (University of California, Santa Barbara); Carlson, C. A. (University of California, Santa Barbara); Riebesell, U. (GEOMAR Helmholtz Centre for Ocean Research Kiel); Passow, U. (University of California, Santa Barbara)",37,15,,6.52,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lno.10063,https://app.dimensions.ai/details/publication/pub.1013529004,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
24,100,pub.1030611404,10.1002/lno.10042,,,Synchronous shifts in dissolved organic carbon bioavailability and bacterial community responses over the course of an upwelling‐driven phytoplankton bloom,Limnology and Oceanography,,,2015-03,2015,60,2,657-677,Closed,Article,"Wear, Emma K.; Carlson, Craig A.; James, Anna K.; Brzezinski, Mark A.; Windecker, Laura A.; Nelson, Craig E.",,"Wear, Emma K. (); Carlson, Craig A. (); James, Anna K. (); Brzezinski, Mark A. (); Windecker, Laura A. (); Nelson, Craig E. (University of Hawaii at Manoa)",22,12,,,,https://app.dimensions.ai/details/publication/pub.1030611404,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
25,200,pub.1096968199,10.1575/1912/7670,,,Temporal and spatial perspectives on the fate of anthropogenic carbon : a carbon cycle slide deck for broad audiences,,,,2015,2015,,,,Closed,Monograph,"Khatiwala, Samar; DeVries, Timothy; Cook, Jack; McKinley, Galen A.; Carlson, Craig A.; Benway, Heather M.",,"Khatiwala, Samar (); DeVries, Timothy (); Cook, Jack (); McKinley, Galen A. (); Carlson, Craig A. (); Benway, Heather M. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1096968199,,,,,,
26,200,pub.1003958909,10.1016/b978-0-12-405940-5.09990-8,,,Preface,,Biogeochemistry of Marine Dissolved Organic Matter,,2015,2015,,,xvii-xviii,Closed,Chapter,"Hansell, Dennis A.; Carlson, Craig A.",,"Hansell, Dennis A. (University of Miami; University of California, Santa Barbara); Carlson, Craig A. (University of Miami; University of California, Santa Barbara)",2,1,,,,https://app.dimensions.ai/details/publication/pub.1003958909,,,,,,
27,100,pub.1052469989,10.1016/b978-0-12-405940-5.00003-0,,,"Chapter 3 DOM Sources, Sinks, Reactivity, and Budgets",,Biogeochemistry of Marine Dissolved Organic Matter,,2015,2015,,,65-126,Closed,Chapter,"Carlson, Craig A.; Hansell, Dennis A.",,"Carlson, Craig A. (University of Miami); Hansell, Dennis A. (University of California, Santa Barbara)",89,58,,14.53,,https://app.dimensions.ai/details/publication/pub.1052469989,0605 Microbiology; 06 Biological Sciences; 04 Earth Sciences; 0405 Oceanography,0605 Microbiology,06 Biological Sciences,04 Earth Sciences,0405 Oceanography,
