,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Hillary S Young. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
15,200,pub.1104021135,10.1098/rspb.2018.0612,29769364,PMC5966613,What explains tick proliferation following large-herbivore exclusion?,Proceedings of The Royal Society B Biological Sciences,,Animals; Cell Proliferation; Climate; Herbivory; Tick-Borne Diseases; Ticks,2018-05-16,2018,285,1878,20180612,All OA; Gold,Article,"Titcomb, Georgia; Pringle, Robert M.; Palmer, Todd M.; Young, Hillary S.",,"Titcomb, Georgia (University of California, Santa Barbara; Mpala Research Center and Wildlife Foundation); Pringle, Robert M. (Mpala Research Center and Wildlife Foundation; Princeton University); Palmer, Todd M. (Mpala Research Center and Wildlife Foundation; University of Florida); Young, Hillary S. (University of California, Santa Barbara; Mpala Research Center and Wildlife Foundation)",0,0,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2018.0612,https://app.dimensions.ai/details/publication/pub.1104021135,11 Medical and Health Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,11 Medical and Health Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
16,100,pub.1101678460,10.1016/j.rama.2018.01.005,,,Relationships between Cattle and Biodiversity in Multiuse Landscape Revealed by Kenya Long-Term Exclosure Experiment,Rangeland Ecology & Management,,,2018-05,2018,71,3,281-291,"All OA; Green, Accepted & Submitted",Article,"Young, Truman P.; Porensky, Lauren M.; Riginos, Corinna; Veblen, Kari E.; Odadi, Wilfred O.; Kimuyu, Duncan M.; Charles, Grace K.; Young, Hillary S.",,"Young, Truman P. (University of California, Davis; Mpala Research Center and Wildlife Foundation); Porensky, Lauren M. (Agricultural Research Service); Riginos, Corinna (Mpala Research Center and Wildlife Foundation; University of Wyoming); Veblen, Kari E. (Mpala Research Center and Wildlife Foundation; Utah State University); Odadi, Wilfred O. (Mpala Research Center and Wildlife Foundation; Egerton University); Kimuyu, Duncan M. (Mpala Research Center and Wildlife Foundation; Karatina University); Charles, Grace K. (University of California, Davis); Young, Hillary S. (University of California, Santa Barbara)",4,4,,,https://karuspace.karu.ac.ke/bitstream/20.500.12092/2160/1/Duncan%20M.Kimuyu%20.pdf,https://app.dimensions.ai/details/publication/pub.1101678460,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
17,200,pub.1101548727,10.1126/science.aas8694,29590062,,A landscape of disgust,Science,,Animals; Avoidance Learning; Biological Evolution; Fear; Host-Parasite Interactions; Humans; Infection; Parasites; Risk,2018-03-16,2018,359,6381,1213-1214,Closed,Article,"Weinstein, Sara B.; Buck, Julia C.; Young, Hillary S.",,"Weinstein, Sara B. (University of Utah); Buck, Julia C. (University of California, Santa Barbara); Young, Hillary S. (University of California, Santa Barbara)",18,18,,,,https://app.dimensions.ai/details/publication/pub.1101548727,,,,,,
18,500,pub.1101262169,10.1098/rsbl.2017.0743,29491026,PMC5830668,Local extinction of the Asian tiger mosquito (Aedes albopictus) following rat eradication on Palmyra Atoll,Biology Letters,,"Aedes; Animals; Extinction, Biological; Introduced Species; Islands; Mosquito Vectors; Rats",2018-02-28,2018,14,2,20170743,All OA; Gold,Article,"Lafferty, Kevin D.; McLaughlin, John P.; Gruner, Daniel S.; Bogar, Taylor A.; Bui, An; Childress, Jasmine N.; Espinoza, Magaly; Forbes, Elizabeth S.; Johnston, Cora A.; Klope, Maggie; Kuile, Ana Miller-ter; Lee, Michelle; Plummer, Katherine A.; Weber, David A.; Young, Ronald T.; Young, Hillary S.",,"Lafferty, Kevin D. (University of California, Santa Barbara); McLaughlin, John P. (University of California, Santa Barbara); Gruner, Daniel S. (University of Maryland, College Park); Bogar, Taylor A. (University of California, Santa Barbara); Bui, An (University of California, Santa Barbara); Childress, Jasmine N. (University of California, Santa Barbara); Espinoza, Magaly (University of California, Santa Barbara); Forbes, Elizabeth S. (University of California, Santa Barbara); Johnston, Cora A. (University of California, Santa Barbara; University of Maryland, College Park); Klope, Maggie (University of California, Santa Barbara); Kuile, Ana Miller-ter (University of California, Santa Barbara); Lee, Michelle (University of California, Santa Barbara); Plummer, Katherine A. (Stanford University); Weber, David A. (Stanford University); Young, Ronald T. (University of California, Santa Barbara); Young, Hillary S. (University of California, Santa Barbara)",1,1,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rsbl.2017.0743,https://app.dimensions.ai/details/publication/pub.1101262169,06 Biological Sciences,06 Biological Sciences,,,,
19,500,pub.1099688161,10.1007/s00128-017-2247-7,29248955,,Lead Concentrations in Soils and Some Wild Plant Species Along Two Busy Roads in Pakistan,Bulletin of Environmental Contamination and Toxicology,,"Environmental Monitoring; Lead; Metals, Heavy; Pakistan; Plants; Soil; Soil Pollutants",2018-02,2018,100,2,250-258,Closed,Article,"Khalid, Noreen; Hussain, Mumtaz; Young, Hillary S.; Ashraf, Muhammad; Hameed, Mansoor; Ahmad, Rashid","Khalid, Noreen","Khalid, Noreen (University of California, Santa Barbara); Hussain, Mumtaz (University of Agriculture Faisalabad); Young, Hillary S. (University of California, Santa Barbara); Ashraf, Muhammad (Pakistan Science Foundation; King Saud University); Hameed, Mansoor (University of Agriculture Faisalabad); Ahmad, Rashid (University of Agriculture Faisalabad)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1099688161,03 Chemical Sciences; 05 Environmental Sciences,03 Chemical Sciences,05 Environmental Sciences,,,
20,100,pub.1084217376,10.1111/rec.12511,,,Stable isotope analysis as an early monitoring tool for community‐scale effects of rat eradication,Restoration Ecology,,,2017-11,2017,25,6,1015-1025,All OA; Gold,Article,"Nigro, Katherine M.; Hathaway, Stacie A.; Wegmann, Alex S.; Kuile, Ana Miller‐ter; Fisher, Robert N.; Young, Hillary S.",,"Nigro, Katherine M. (University of California, Santa Barbara); Hathaway, Stacie A. (); Wegmann, Alex S. (); Kuile, Ana Miller‐ter (University of California, Santa Barbara); Fisher, Robert N. (); Young, Hillary S. (University of California, Santa Barbara)",5,5,,2.19,https://doi.org/10.1111/rec.12511,https://app.dimensions.ai/details/publication/pub.1084217376,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
21,500,pub.1091614550,10.1098/rspb.2017.0475,28878055,PMC5597820,Interacting effects of wildlife loss and climate on ticks and tick-borne disease,Proceedings of The Royal Society B Biological Sciences,,"Africa, Eastern; Animals; Animals, Wild; Climate Change; Population Density; Population Dynamics; Rain; Tick-Borne Diseases; Ticks",2017-09-13,2017,284,1862,20170475,"All OA; Green, Published",Article,"Titcomb, Georgia; Allan, Brian F.; Ainsworth, Tyler; Henson, Lauren; Hedlund, Tyler; Pringle, Robert M.; Palmer, Todd M.; Njoroge, Laban; Campana, Michael G.; Fleischer, Robert C.; Mantas, John Naisikie; Young, Hillary S.",,"Titcomb, Georgia (University of California, Santa Barbara; Mpala Research Center and Wildlife Foundation); Allan, Brian F. (Mpala Research Center and Wildlife Foundation; University of Illinois at Urbana Champaign); Ainsworth, Tyler (University of California, Santa Barbara); Henson, Lauren (National Zoological Park); Hedlund, Tyler (University of Illinois at Urbana Champaign); Pringle, Robert M. (Mpala Research Center and Wildlife Foundation; Princeton University); Palmer, Todd M. (Mpala Research Center and Wildlife Foundation; University of Florida); Njoroge, Laban (National Museums of Kenya); Campana, Michael G. (National Zoological Park); Fleischer, Robert C. (National Zoological Park); Mantas, John Naisikie (Mpala Research Center and Wildlife Foundation); Young, Hillary S. (University of California, Santa Barbara; Mpala Research Center and Wildlife Foundation)",9,9,1.7,3.51,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5597820,https://app.dimensions.ai/details/publication/pub.1091614550,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
22,500,pub.1090956499,10.1371/journal.pone.0181526,28767677,PMC5540553,Limited trophic partitioning among sympatric delphinids off a tropical oceanic atoll,PLoS ONE,,"Animals; Behavior, Animal; Biopsy; Dolphins; Ecosystem; Feeding Behavior; Food Chain; Nutritional Status; Remote Sensing Technology; Skin",2017-08-02,2017,12,8,e0181526,All OA; Gold,Article,"Young, Hillary; Nigro, Katherine; McCauley, Douglas J.; Ballance, Lisa T.; Oleson, Erin M.; Baumann-Pickering, Simone",,"Young, Hillary (University of California, Santa Barbara); Nigro, Katherine (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara); Ballance, Lisa T. (Southwest Fisheries Science Center; Scripps Institution of Oceanography); Oleson, Erin M. (Pacific Islands Fisheries Science Center); Baumann-Pickering, Simone (Scripps Institution of Oceanography)",1,1,0,0.39,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0181526&type=printable,https://app.dimensions.ai/details/publication/pub.1090956499,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
23,500,pub.1084740909,10.1002/ecy.1858,28403506,,Parasite responses to large mammal loss in an African savanna,Ecology,,"Africa; Animals; Animals, Wild; Biodiversity; Ecosystem; Grassland; Host-Parasite Interactions; Parasites",2017-07,2017,98,7,1839-1848,All OA; Gold,Article,"Weinstein, Sara; Titcomb, Georgia; Agwanda, Bernard; Riginos, Corinna; Young, Hillary",,"Weinstein, Sara (University of California, Santa Barbara); Titcomb, Georgia (University of California, Santa Barbara; Mpala Research Center and Wildlife Foundation); Agwanda, Bernard (National Museums of Kenya); Riginos, Corinna (Mpala Research Center and Wildlife Foundation; University of Wyoming); Young, Hillary (University of California, Santa Barbara; Mpala Research Center and Wildlife Foundation)",6,6,0.7,2.5,https://doi.org/10.1002/ecy.1858,https://app.dimensions.ai/details/publication/pub.1084740909,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
24,500,pub.1085258132,10.1098/rstb.2016.0122,28438911,PMC5413870,Human infectious disease burdens decrease with urbanization but not with biodiversity,Philosophical Transactions of the Royal Society B Biological Sciences,,Biodiversity; Communicable Diseases; Disabled Persons; Environment; Humans; Prevalence; Public Health; Quality-Adjusted Life Years; Socioeconomic Factors; Urbanization,2017-06-05,2017,372,1722,20160122,"All OA; Green, Published",Article,"Wood, Chelsea L.; McInturff, Alex; Young, Hillary S.; Kim, DoHyung; Lafferty, Kevin D.",,"Wood, Chelsea L. (University of Michigan; University of Washington); McInturff, Alex (University of California, Berkeley); Young, Hillary S. (University of California, Santa Barbara); Kim, DoHyung (University of Maryland, College Park); Lafferty, Kevin D. (University of California, Santa Barbara)",22,17,2.73,12.23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5413870,https://app.dimensions.ai/details/publication/pub.1085258132,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
