,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is James E Frew. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1029345906,10.1016/j.advwatres.2008.08.011,,,Time–space continuity of daily maps of fractional snow cover and albedo from MODIS,Advances in Water Resources,,,2008-11,2008,31,11,1515-1526,Closed,Article,"Dozier, Jeff; Painter, Thomas H.; Rittger, Karl; Frew, James E.","Dozier, Jeff","Dozier, Jeff (University of California, Santa Barbara); Painter, Thomas H. (University of Utah); Rittger, Karl (University of California, Santa Barbara); Frew, James E. (University of California, Santa Barbara)",119,29,,37.05,,https://app.dimensions.ai/details/publication/pub.1029345906,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
11,100,pub.1017973439,10.1002/cpe.1247,,,Automatic capture and reconstruction of computational provenance,Concurrency and Computation Practice and Experience,,,2008-04-10,2008,20,5,485-496,All OA; Gold,Article,"Frew, James; Metzger, Dominic; Slaughter, Peter",,"Frew, James (University of California, Santa Barbara); Metzger, Dominic (University of California, Santa Barbara); Slaughter, Peter (University of California, Santa Barbara)",66,7,,20.74,http://onlinelibrary.wiley.com/doi/10.1002/cpe.1247/pdf,https://app.dimensions.ai/details/publication/pub.1017973439,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
12,100,pub.1039288984,10.1007/978-3-540-89965-5_21,,,ES3: A Demonstration of Transparent Provenance for Scientific Computation,Lecture Notes in Computer Science,Provenance and Annotation of Data and Processes,,2008,2008,5272,,200-207,All OA; Gold,Chapter,"Frew, James; Slaughter, Peter",,"Frew, James (University of California, Santa Barbara); Slaughter, Peter (University of California, Santa Barbara)",7,1,,2.2,https://link.springer.com/content/pdf/10.1007%2F978-3-540-89965-5_21.pdf,https://app.dimensions.ai/details/publication/pub.1039288984,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
13,100,pub.1008005573,10.1145/1378889.1378912,,,A data model and architecture for long-term preservation,,Proceedings of the 8th ACM/IEEE-CS joint conference on Digital libraries - JCDL '08,,2008,2008,,,134-144,"All OA; Green, Accepted & Submitted",Proceeding,"Janée, Greg; Mathena, Justin; Frew, James",,"Janée, Greg (University of California, Santa Barbara); Mathena, Justin (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",14,0,,4.39,http://alexandria.sdc.ucsb.edu/~gjanee/archive/2008/jcdl-paper.pdf,https://app.dimensions.ai/details/publication/pub.1008005573,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
14,100,pub.1023428878,10.1145/1057977.1057978,,,Lineage retrieval for scientific data processing: a survey,ACM Computing Surveys,,,2005-03-01,2005,37,1,1-28,"All OA; Green, Accepted & Submitted",Article,"Bose, Rajendra; Frew, James",,"Bose, Rajendra (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",240,17,,63,http://homepages.inf.ed.ac.uk/rbose/pubs/bose_2005_ACM_CS.pdf,https://app.dimensions.ai/details/publication/pub.1023428878,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
15,100,pub.1038207390,10.1007/11551362_27,,,A Hybrid Declarative/Procedural Metadata Mapping Language Based on Python,Lecture Notes in Computer Science,Research and Advanced Technology for Digital Libraries,,2005,2005,3652,,302-313,"All OA; Green, Accepted & Submitted",Chapter,"Janée, Greg; Frew, James",,"Janée, Greg (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",2,0,,0.87,http://fiesta.bren.ucsb.edu/~dozier/REASoN-pubs/Janee-Frew-2005.pdf,https://app.dimensions.ai/details/publication/pub.1038207390,"2004 Linguistics; 20 Language, Communication and Culture",2004 Linguistics,"20 Language, Communication and Culture",,,
16,100,pub.1095599955,10.1109/ssdm.2004.1311219,,,Composing Lineage Metadata with XML for Custom Satellite-Derived Data Products,,"Proceedings. 16th International Conference on Scientific and Statistical Database Management, 2004.",,2004,2004,,,275-284,"All OA; Green, Accepted & Submitted",Proceeding,"Bose, Rajendra; Frew, James",,"Bose, Rajendra (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",18,2,,4.43,http://essw.bren.ucsb.edu/~frew/cv/pubs/2004_lineage_XML.pdf,https://app.dimensions.ai/details/publication/pub.1095599955,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
17,100,pub.1013515612,10.1145/996350.996369,,,Accessing the alexandria digital library from geographic information systems,,Proceedings of the 2004 joint ACM/IEEE conference on Digital libraries  - JCDL '04,,2004,2004,,,74-75,"All OA; Green, Accepted & Submitted",Proceeding,"Ancona, D.; Frew, J.; Janée, G.; Valentine, D.",,"Ancona, D. (University of California, Santa Barbara); Frew, J. (University of California, Santa Barbara); Janée, G. (University of California, Santa Barbara); Valentine, D. (University of California, Santa Barbara)",2,0,,0.51,http://alexandria.sdc.ucsb.edu/~gjanee/archive/2004/gis-access.pdf,https://app.dimensions.ai/details/publication/pub.1013515612,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
18,100,pub.1095831605,10.1109/jcdl.2003.1204874,,,Content Access Characterization in Digital Libraries,,"2003 Joint Conference on Digital Libraries, 2003. Proceedings.",,2003,2003,,,261-262,"All OA; Green, Accepted & Submitted",Proceeding,"Janée, Greg; Frew, James; Valentine, David",,"Janée, Greg (); Frew, James (); Valentine, David ()",1,0,,0.24,http://alexandria.sdc.ucsb.edu/~gjanee/archive/2003/jcdl-access-paper.pdf,https://app.dimensions.ai/details/publication/pub.1095831605,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
19,100,pub.1045113908,10.1145/544220.544306,,,The ADEPT digital library architecture,,Proceedings of the second ACM/IEEE-CS joint conference on Digital libraries  - JCDL '02,,2002,2002,,,342-350,"All OA; Green, Accepted & Submitted",Proceeding,"Janée, Greg; Frew, James",,"Janée, Greg (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",26,0,,6.43,http://alexandria.sdc.ucsb.edu/~gjanee/archive/2002/jcdl-adept.pdf,https://app.dimensions.ai/details/publication/pub.1045113908,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
20,100,pub.1094981146,10.1109/ssdm.2001.938550,,,Earth System Science Workbench: A Data Management Infrastructure for Earth Science Products,,Proceedings Thirteenth International Conference on Scientific and Statistical Database Management. SSDBM 2001,,2001,2001,,,180-189,"All OA; Green, Accepted & Submitted",Proceeding,"Frew, James; Bose, Rajendra",,"Frew, James (University of California, Santa Barbara); Bose, Rajendra (University of California, Santa Barbara)",37,3,,9.45,http://essw.bren.ucsb.edu/~frew/cv/pubs/2001_ESSW.pdf,https://app.dimensions.ai/details/publication/pub.1094981146,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
21,100,pub.1022540244,10.1145/379437.379463,,,The Alexandria digital earth prototype,,Proceedings of the first ACM/IEEE-CS joint conference on Digital libraries  - JCDL '01,,2001,2001,,,118-119,Closed,Proceeding,"Smith, Terence R.; Janee, Greg; Frew, James; Coleman, Anita",,"Smith, Terence R. (University of California, Santa Barbara); Janee, Greg (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara); Coleman, Anita (University of California, Santa Barbara)",16,0,,4.08,,https://app.dimensions.ai/details/publication/pub.1022540244,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
22,100,pub.1085145118,10.1007/pl00021470,,,The Alexandria Digital Library architecture,International Journal on Digital Libraries,,,2000-05,2000,2,4,259-268,Closed,Article,"Frew, J.; Freeston, M.; Freitas, N.; Hill, L.; Janée, G.; Lovette, K.; Nideffer, R.; Smith, T.; Zheng, Q.",,"Frew, J. (University of California, Santa Barbara); Freeston, M. (University of Aberdeen); Freitas, N. (University of California, Santa Barbara); Hill, L. (University of California, Santa Barbara); Janée, G. (University of California, Santa Barbara); Lovette, K. (University of California, Santa Barbara); Nideffer, R. (University of California, Irvine); Smith, T. (University of California, Santa Barbara); Zheng, Q. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1085145118,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
23,100,pub.1005980756,10.1002/(sici)1097-4571(2000)51:3<246::aid-asi4>3.0.co;2-6,,,Alexandria digital library: user evaluation studies and system design,Journal of the Association for Information Science and Technology,,,2000,2000,51,3,246-259,Closed,Article,"Hill, Linda L.; Carver, Larry; Larsgaard, Mary; Dolin, Ron; Smith, Terence R.; Frew, James; Rae, Mary‐Anna",,"Hill, Linda L. (University of California, Santa Barbara); Carver, Larry (University of California, Santa Barbara); Larsgaard, Mary (University of California, Santa Barbara); Dolin, Ron (University of California, Santa Barbara); Smith, Terence R. (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara); Rae, Mary‐Anna (University of California, Santa Barbara)",41,1,,10.76,,https://app.dimensions.ai/details/publication/pub.1005980756,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
24,100,pub.1015554295,10.1002/(sici)1097-4571(1999)50:13<1169::aid-asi3>3.0.co;2-3,,,Collection metadata solutions for digital library applications,Journal of the Association for Information Science and Technology,,,1999,1999,50,13,1169-1181,"All OA; Green, Accepted & Submitted",Article,"Hill, Linda L.; Janée, Greg; Dolin, Ron; Frew, James; Larsgaard, Mary",,"Hill, Linda L. (University of California, Santa Barbara); Janée, Greg (University of California, Santa Barbara); Dolin, Ron (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara); Larsgaard, Mary (University of California, Santa Barbara)",36,0,,,http://dewey.yonsei.ac.kr/diglib/hill1999.pdf,https://app.dimensions.ai/details/publication/pub.1015554295,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
25,100,pub.1031846318,10.1007/3-540-49653-x_5,,,The Alexandria Digital Library Architecture,Lecture Notes in Computer Science,Research and Advanced Technology for Digital Libraries,,1998,1998,1513,,61-73,Closed,Chapter,"Frew, James; Freeston, Michael; Freitas, Nathan; Hill, Linda; Janee, Greg; Lovette, Kevin; Nideffer, Robert; Smith, Terence; Zheng, Qi",,"Frew, James (University of California, Santa Barbara); Freeston, Michael (University of California, Santa Barbara); Freitas, Nathan (University of California, Santa Barbara); Hill, Linda (University of California, Santa Barbara); Janee, Greg (University of California, Santa Barbara); Lovette, Kevin (University of California, Santa Barbara); Nideffer, Robert (University of California, Irvine); Smith, Terence (University of California, Santa Barbara); Zheng, Qi (University of California, Santa Barbara)",12,1,,,,https://app.dimensions.ai/details/publication/pub.1031846318,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
26,100,pub.1027435479,10.1145/248603.248609,,,Data management for earth system science,ACM SIGMOD Record,,,1997-03-01,1997,26,1,27-31,"All OA; Green, Accepted & Submitted",Article,"Frew, James; Dozier, Jeff",,"Frew, James (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara)",9,0,,,http://fiesta.bren.ucsb.edu/~dozier/Pubs/FrewDozier-SIGMOD1997.pdf,https://app.dimensions.ai/details/publication/pub.1027435479,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
27,100,pub.1034369916,10.1007/bfb0024614,,,Alexandria digital library: Rapid prototype and metadata schema,Lecture Notes in Computer Science,Digital Libraries Research and Technology Advances,,1996,1996,1082,,221-241,Closed,Chapter,"Fischer, Christoph; Frew, James; Larsgaard, Mary; Smith, Terence R.; Zheng, Qi",,"Fischer, Christoph (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara); Larsgaard, Mary (University of California, Santa Barbara); Smith, Terence R. (University of California, Santa Barbara); Zheng, Qi (University of California, Santa Barbara)",6,0,,,,https://app.dimensions.ai/details/publication/pub.1034369916,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
28,100,pub.1094445138,10.1109/mass.1994.373028,,,Sequoia 2000: a next-generation information system for the study of global change,,Proceedings Thirteenth IEEE Symposium on Mass Storage Systems. Toward Distributed Storage and Data Management Systems,,1994,1994,,,47-53,Closed,Proceeding,"Dozier, J.; Stonebraker, M.; Frew, J.",,"Dozier, J. (University of California, Santa Barbara); Stonebraker, M. (); Frew, J. ()",4,1,,,,https://app.dimensions.ai/details/publication/pub.1094445138,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
29,100,pub.1026146566,10.1007/3-540-56869-7_22,,,The SEQUOIA 2000 project,Lecture Notes in Computer Science,Advances in Spatial Databases,,1993,1993,692,,397-412,Closed,Chapter,"Stonebraker, Michael; Frew, James; Dozier, Jeff",,"Stonebraker, Michael (University of California, Berkeley); Frew, James (University of California, Berkeley); Dozier, Jeff (University of California, Santa Barbara)",16,0,,,,https://app.dimensions.ai/details/publication/pub.1026146566,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
30,100,pub.1061161629,10.1109/36.58986,,,Rapid calculation of terrain parameters for radiation modeling from digital elevation data,IEEE Transactions on Geoscience and Remote Sensing,,,1990,1990,28,5,963-969,Closed,Article,"Dozier, J.; Frew, J.",,"Dozier, J. (University of California, Santa Barbara); Frew, J. (University of California, Santa Barbara)",256,43,,,,https://app.dimensions.ai/details/publication/pub.1061161629,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
31,200,pub.1086188902,10.1109/igarss.1989.576516,,,Rapid Calculation Of Terrain Parameters For Radiation Modeling From Digital Elevation Data,,"12th Canadian Symposium on Remote Sensing Geoscience and Remote Sensing Symposium,",,1989,1989,3,,1769-1774,Closed,Proceeding,"Dozier, J.; Frew, J.",,"Dozier, J. (); Frew, J. ()",5,1,,,,https://app.dimensions.ai/details/publication/pub.1086188902,,,,,,
32,100,pub.1046927162,10.1016/0034-4257(81)90019-5,,,Atmospheric corrections to satellite radiometric data over rugged terrain,Remote Sensing of Environment,,,1981-01,1981,11,,191-205,Closed,Article,"Dozier, Jeff; Frew, James",,"Dozier, Jeff (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",34,2,,,,https://app.dimensions.ai/details/publication/pub.1046927162,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
