,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Joseph C Blankinship. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1090298832,10.1007/s10530-017-1497-y,,,Invasive plants decrease microbial capacity to nitrify and denitrify compared to native California grassland communities,Biological Invasions,,,2017-10,2017,19,10,2941-2957,"All OA; Green, Published",Article,"Carey, Chelsea J.; Blankinship, Joseph C.; Eviner, Valerie T.; Malmstrom, Carolyn M.; Hart, Stephen C.","Carey, Chelsea J.","Carey, Chelsea J. (University of California, Merced; Point Blue Conservation Science); Blankinship, Joseph C. (University of California, Merced; University of Arizona); Eviner, Valerie T. (University of California, Davis); Malmstrom, Carolyn M. (Michigan State University); Hart, Stephen C. (University of California, Merced)",5,5,,1.82,https://escholarship.org/content/qt9b47r7g0/qt9b47r7g0.pdf?t=ou8bdl,https://app.dimensions.ai/details/publication/pub.1090298832,0602 Ecology; 0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
11,100,pub.1011072622,10.1016/j.geoderma.2016.03.008,,,Plant versus microbial controls on soil aggregate stability in a seasonally dry ecosystem,Geoderma,,,2016-06,2016,272,,39-50,All OA; Gold,Article,"Blankinship, Joseph C.; Fonte, Steven J.; Six, Johan; Schimel, Joshua P.","Blankinship, Joseph C.","Blankinship, Joseph C. (University of California, Santa Barbara); Fonte, Steven J. (University of California, Davis; Colorado State University); Six, Johan (Swiss Federal Institute of Technology in Zurich); Schimel, Joshua P. (University of California, Santa Barbara)",27,20,,7.54,https://manuscript.elsevier.com/S0016706116301069/pdf/S0016706116301069.pdf,https://app.dimensions.ai/details/publication/pub.1011072622,0602 Ecology; 0605 Microbiology; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0605 Microbiology,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences
12,400,pub.1050166541,10.1073/pnas.1520496113,27114523,PMC4868446,Aridity and plant uptake interact to make dryland soils hotspots for nitric oxide (NO) emissions,Proceedings of the National Academy of Sciences,,Air Pollutants; Desert Climate; Ecosystem; Humidity; Nitric Oxide; Plants; Poaceae; Soil Pollutants,2016-05-10,2016,113,19,e2608-e2616,"All OA; Green, Published",Article,"Homyak, Peter M.; Blankinship, Joseph C.; Marchus, Kenneth; Lucero, Delores M.; Sickman, James O.; Schimel, Joshua P.",,"Homyak, Peter M. (University of California, Santa Barbara); Blankinship, Joseph C. (University of California, Santa Barbara); Marchus, Kenneth (University of California, Santa Barbara); Lucero, Delores M. (University of California, Riverside); Sickman, James O. (University of California, Riverside); Schimel, Joshua P. (University of California, Santa Barbara)",34,20,1.74,9.33,http://europepmc.org/articles/pmc4868446?pdf=render,https://app.dimensions.ai/details/publication/pub.1050166541,06 Biological Sciences; 0503 Soil Sciences; 0602 Ecology; 05 Environmental Sciences,06 Biological Sciences,0503 Soil Sciences,0602 Ecology,05 Environmental Sciences,
13,200,pub.1037562413,10.1007/s11258-015-0541-1,,,Retraction Note to: CO2 effects on plant nutrient concentration depend on plant functional group and available nitrogen: a meta-analysis,Plant Ecology,,,2015-12,2015,216,12,1675-1675,All OA; Gold,Article,"Duval, Benjamin D.; Blankinship, Joseph C.; Dijkstra, Paul; Hungate, Bruce A.","Duval, Benjamin D.","Duval, Benjamin D. (Northern Arizona University; University of Illinois at Urbana Champaign); Blankinship, Joseph C. (University of California, Merced); Dijkstra, Paul (Northern Arizona University); Hungate, Bruce A. (Northern Arizona University)",1,1,,0.23,https://link.springer.com/content/pdf/10.1007%2Fs11258-015-0541-1.pdf,https://app.dimensions.ai/details/publication/pub.1037562413,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
14,100,pub.1041714187,10.1657/1938-4246-46.2.355,,,Hydrological Control of Greenhouse Gas Fluxes in a Sierra Nevada Subalpine Meadow,Arctic Antarctic and Alpine Research,,,2014-05,2014,46,2,355-364,All OA; Gold,Article,"Blankinship, Joseph C.; Hart, Stephen C.",,"Blankinship, Joseph C. (University of California, Merced); Hart, Stephen C. (University of California, Merced)",3,2,,0.46,https://www.tandfonline.com/doi/pdf/10.1657/1938-4246-46.2.355?needAccess=true,https://app.dimensions.ai/details/publication/pub.1041714187,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
15,100,pub.1026989622,10.1016/j.soilbio.2014.01.010,,,Separating cellular metabolism from exoenzyme activity in soil organic matter decomposition,Soil Biology and Biochemistry,,,2014-04,2014,71,Soil Science 72 1951,68-75,Closed,Article,"Blankinship, Joseph C.; Becerra, Caryl A.; Schaeffer, Sean M.; Schimel, Joshua P.","Blankinship, Joseph C.","Blankinship, Joseph C. (University of California, Santa Barbara); Becerra, Caryl A. (University of California, Santa Barbara); Schaeffer, Sean M. (University of Tennessee at Knoxville); Schimel, Joshua P. (University of California, Santa Barbara)",41,18,,5.44,,https://app.dimensions.ai/details/publication/pub.1026989622,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
16,100,pub.1012534833,10.1002/2013wr014541,,,Snowmelt timing alters shallow but not deep soil moisture in the Sierra Nevada,Water Resources Research,,,2014-02,2014,50,2,1448-1456,All OA; Gold,Article,"Blankinship, Joseph C.; Meadows, Matthew W.; Lucas, Ryan G.; Hart, Stephen C.",,"Blankinship, Joseph C. (University of California, Merced; University of California, Santa Barbara); Meadows, Matthew W. (University of California, Merced); Lucas, Ryan G. (University of California, Merced); Hart, Stephen C. (University of California, Merced)",32,18,,10.58,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013WR014541,https://app.dimensions.ai/details/publication/pub.1012534833,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
17,100,pub.1037720605,10.1007/s10533-011-9655-2,,,Effects of multiple global change treatments on soil N2O fluxes,Biogeochemistry,,,2012-07,2012,109,1-3,85-100,Closed,Article,"Brown, Jamie R.; Blankinship, Joseph C.; Niboyet, Audrey; van Groenigen, Kees Jan; Dijkstra, Paul; Le Roux, Xavier; Leadley, Paul W.; Hungate, Bruce A.","Hungate, Bruce A.","Brown, Jamie R. (Northern Arizona University); Blankinship, Joseph C. (Northern Arizona University; University of California, Merced); Niboyet, Audrey (University of Paris-Sud; Agro ParisTech); van Groenigen, Kees Jan (Northern Arizona University); Dijkstra, Paul (Northern Arizona University); Le Roux, Xavier (Microbial Ecology); Leadley, Paul W. (University of Paris-Sud); Hungate, Bruce A. (Northern Arizona University)",59,11,,12.16,,https://app.dimensions.ai/details/publication/pub.1037720605,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
18,100,pub.1046058629,10.1007/s11258-011-9998-8,,,RETRACTED ARTICLE: CO2 effects on plant nutrient concentration depend on plant functional group and available nitrogen: a meta-analysis,Plant Ecology,,,2012-03,2012,213,3,505-521,Closed,Article,"Duval, Benjamin D.; Blankinship, Joseph C.; Dijkstra, Paul; Hungate, Bruce A.","Duval, Benjamin D.","Duval, Benjamin D. (Northern Arizona University; University of Illinois at Urbana Champaign); Blankinship, Joseph C. (University of California, Merced); Dijkstra, Paul (Northern Arizona University); Hungate, Bruce A. (Northern Arizona University)",47,9,,8.77,,https://app.dimensions.ai/details/publication/pub.1046058629,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
19,100,pub.1024062927,10.1890/es11-00225.1,,,Consequences of manipulated snow cover on soil gaseous emission and N retention in the growing season: a meta‐analysis,Ecosphere,,,2012-01,2012,3,1,1-20,All OA; Gold,Article,"Blankinship, Joseph C.; Hart, Stephen C.",,"Blankinship, Joseph C. (University of California, Merced); Hart, Stephen C. (University of California, Merced)",44,15,,7.09,https://doi.org/10.1890/es11-00225.1,https://app.dimensions.ai/details/publication/pub.1024062927,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
20,400,pub.1039837801,10.1371/journal.pone.0020105,21687708,PMC3110610,Global Change Could Amplify Fire Effects on Soil Greenhouse Gas Emissions,PLoS ONE,,Carbon Dioxide; Chemical Precipitation; Denitrification; Fires; Greenhouse Effect; Internationality; Nitrogen; Nitrous Oxide; Soil; Soil Microbiology; Time Factors,2011-06-08,2011,6,6,e20105,All OA; Gold,Article,"Niboyet, Audrey; Brown, Jamie R.; Dijkstra, Paul; Blankinship, Joseph C.; Leadley, Paul W.; Le Roux, Xavier; Barthes, Laure; Barnard, Romain L.; Field, Christopher B.; Hungate, Bruce A.",,"Niboyet, Audrey (University of Paris-Sud); Brown, Jamie R. (Northern Arizona University); Dijkstra, Paul (Northern Arizona University); Blankinship, Joseph C. (Northern Arizona University); Leadley, Paul W. (University of Paris-Sud); Le Roux, Xavier (Microbial Ecology); Barthes, Laure (University of Paris-Sud); Barnard, Romain L. (Swiss Federal Institute of Technology in Zurich); Field, Christopher B. (Department of Plant Biology); Hungate, Bruce A. (Northern Arizona University)",16,1,0.23,2.35,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0020105&type=printable,https://app.dimensions.ai/details/publication/pub.1039837801,0501 Ecological Applications; 0503 Soil Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,0503 Soil Sciences,05 Environmental Sciences,0502 Environmental Science and Management,
21,100,pub.1023704416,10.1890/es10-00148.1,,,Testing interactive effects of global environmental changes on soil nitrogen cycling,Ecosphere,,,2011-05,2011,2,5,1-24,All OA; Gold,Article,"Niboyet, A.; Le Roux, X.; Dijkstra, P.; Hungate, B. A.; Barthes, L.; Blankinship, J. C.; Brown, J. R.; Field, C. B.; Leadley, P. W.",,"Niboyet, A. (University of Paris-Sud); Le Roux, X. (Microbial Ecology); Dijkstra, P. (Northern Arizona University); Hungate, B. A. (Northern Arizona University); Barthes, L. (University of Paris-Sud); Blankinship, J. C. (Northern Arizona University); Brown, J. R. (Northern Arizona University); Field, C. B. (Department of Plant Biology); Leadley, P. W. (University of Paris-Sud)",34,7,,5.72,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES10-00148.1,https://app.dimensions.ai/details/publication/pub.1023704416,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
22,400,pub.1043900692,10.1007/s00442-011-1909-0,21274573,,A meta-analysis of responses of soil biota to global change,Oecologia,,"Animals; Biodiversity; Carbon Dioxide; Climate Change; Food Chain; Models, Biological; Rain; Soil; Trees",2011-03,2011,165,3,553-565,Closed,Article,"Blankinship, Joseph C.; Niklaus, Pascal A.; Hungate, Bruce A.","Blankinship, Joseph C.","Blankinship, Joseph C. (Northern Arizona University; University of California, Merced); Niklaus, Pascal A. (University of Zurich); Hungate, Bruce A. (Northern Arizona University)",184,61,2.81,19.35,,https://app.dimensions.ai/details/publication/pub.1043900692,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
23,100,pub.1052642877,10.1016/j.soilbio.2010.09.022,,,Probing carbon flux patterns through soil microbial metabolic networks using parallel position-specific tracer labeling,Soil Biology and Biochemistry,,,2011-01,2011,43,1,126-132,Closed,Article,"Dijkstra, Paul; Blankinship, Joseph C.; Selmants, Paul C.; Hart, Stephen C.; Koch, George W.; Schwartz, Egbert; Hungate, Bruce A.","Dijkstra, Paul","Dijkstra, Paul (Northern Arizona University); Blankinship, Joseph C. (Northern Arizona University); Selmants, Paul C. (University of California, Santa Cruz); Hart, Stephen C. (University of California, Merced); Koch, George W. (Northern Arizona University); Schwartz, Egbert (Northern Arizona University); Hungate, Bruce A. (Northern Arizona University)",25,8,,4.21,,https://app.dimensions.ai/details/publication/pub.1052642877,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
24,100,pub.1024585018,10.1007/s10021-010-9391-9,,,Response of Terrestrial CH4 Uptake to Interactive Changes in Precipitation and Temperature Along a Climatic Gradient,Ecosystems,,,2010-12,2010,13,8,1157-1170,Closed,Article,"Blankinship, Joseph C.; Brown, Jamie R.; Dijkstra, Paul; Allwright, Michael C.; Hungate, Bruce A.","Blankinship, Joseph C.","Blankinship, Joseph C. (Northern Arizona University; University of California, Merced); Brown, Jamie R. (Northern Arizona University); Dijkstra, Paul (Northern Arizona University); Allwright, Michael C. (Northern Arizona University); Hungate, Bruce A. (Northern Arizona University)",40,13,,3.78,,https://app.dimensions.ai/details/publication/pub.1024585018,0602 Ecology; 0699 Other Biological Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0699 Other Biological Sciences,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
25,100,pub.1037036675,10.1029/2009jg001097,,,Effects of interactive global changes on methane uptake in an annual grassland,Journal of Geophysical Research,,,2010-06,2010,115,G2,n/a-n/a,All OA; Gold,Article,"Blankinship, Joseph C.; Brown, Jamie R.; Dijkstra, Paul; Hungate, Bruce A.",,"Blankinship, Joseph C. (Northern Arizona University); Brown, Jamie R. (Northern Arizona University); Dijkstra, Paul (Northern Arizona University); Hungate, Bruce A. (Northern Arizona University)",29,5,,3.8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009JG001097,https://app.dimensions.ai/details/publication/pub.1037036675,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
26,200,pub.1021470340,10.1201/9781420003826.ch5,,,Belowground Food Webs in a Changing Climate,Advances in Agroecology,Agroecosystems in a Changing Climate,,2006-09,2006,20062456,,117-150,Closed,Chapter,"Hungate, Bruce; Blankinship, Joseph",,"Hungate, Bruce (); Blankinship, Joseph ()",2,0,,,,https://app.dimensions.ai/details/publication/pub.1021470340,,,,,,
27,100,pub.1046061186,10.1111/j.1365-2435.2006.01146.x,,,Several components of global change alter nitrifying and denitrifying activities in an annual grassland,Functional Ecology,,,2006-08,2006,20,4,557-564,All OA; Gold,Article,"BARNARD, R.; LE ROUX, X.; HUNGATE, B. A.; CLELAND, E. E.; BLANKINSHIP, J. C.; BARTHES, L.; LEADLEY, P. W.",,"BARNARD, R. (University of Paris-Sud); LE ROUX, X. (Microbial Ecology); HUNGATE, B. A. (); CLELAND, E. E. (Department of Plant Biology); BLANKINSHIP, J. C. (); BARTHES, L. (University of Paris-Sud); LEADLEY, P. W. (University of Paris-Sud)",50,4,,5.06,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2435.2006.01146.x,https://app.dimensions.ai/details/publication/pub.1046061186,0699 Other Biological Sciences; 06 Biological Sciences,0699 Other Biological Sciences,06 Biological Sciences,,,
