,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Sally Macintyre. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1103596353,10.1002/lol2.10083,,,Sediment respiration drives circulation and production of CO2 in ice‐covered Alaskan arctic lakes,Limnology and Oceanography Letters,,,2018-06,2018,3,3,302-310,All OA; Gold,Article,"MacIntyre, Sally; Cortés, Alicia; Sadro, Steven",,"MacIntyre, Sally (University of California, Santa Barbara); Cortés, Alicia (University of California, Santa Barbara); Sadro, Steven (University of California, Santa Barbara; University of California, Davis)",9,9,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lol2.10083,https://app.dimensions.ai/details/publication/pub.1103596353,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
11,100,pub.1085061240,10.1002/lno.10549,,,Flowpath and retention of snowmelt in an ice‐covered arctic lake,Limnology and Oceanography,,,2017-09,2017,62,5,2023-2044,All OA; Gold,Article,"Cortés, Alicia; MacIntyre, Sally; Sadro, Steven",,"Cortés, Alicia (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara); Sadro, Steven (University of California, Santa Barbara)",14,13,,4.61,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lno.10549,https://app.dimensions.ai/details/publication/pub.1085061240,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
12,100,pub.1091213600,10.3390/w9080603,,,Understanding the Temperature Variations and Thermal Structure of a Subtropical Deep River-Run Reservoir before and after Impoundment,Water,,,2017-08-15,2017,9,8,603,All OA; Gold,Article,"Xie, Qike; Liu, Zhaowei; Fang, Xing; Chen, Yongcan; Li, Chong; MacIntyre, Sally",,"Xie, Qike (); Liu, Zhaowei (); Fang, Xing (); Chen, Yongcan (Southwest University of Science and Technology); Li, Chong (); MacIntyre, Sally ()",5,5,,1.64,https://www.mdpi.com/2073-4441/9/8/603/pdf,https://app.dimensions.ai/details/publication/pub.1091213600,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
13,100,pub.1083889685,10.1007/978-3-319-49143-1_11,,,Mono Lake: Plankton Dynamics over Three Decades of Meromixis or Monomixis,Ecological Studies,Ecology of Meromictic Lakes,,2017,2017,228,,325-351,Closed,Chapter,"Melack, John M.; Jellison, Robert; MacIntyre, Sally; Hollibaugh, James T.","Melack, John M.","Melack, John M. (University of California, Santa Barbara); Jellison, Robert (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara); Hollibaugh, James T. (University of Georgia)",5,3,,1.95,,https://app.dimensions.ai/details/publication/pub.1083889685,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
14,300,pub.1006040123,10.1038/535363a,27443738,,Nocturnal escape route for marsh gas,Nature,,Ecosystem; Environmental Monitoring; Geologic Sediments; Greenhouse Effect; Methane; Soil Microbiology; Time Factors; Wetlands,2016-07,2016,535,7612,363-365,All OA; Gold,Article,"Anthony, Katey Walter; MacIntyre, Sally","Anthony, Katey Walter","Anthony, Katey Walter (University of Alaska Fairbanks); MacIntyre, Sally (University of California, Santa Barbara)",7,5,0.18,,https://www.nature.com/articles/535363a.pdf,https://app.dimensions.ai/details/publication/pub.1006040123,,,,,,
15,100,pub.1037296143,10.1088/1748-9326/11/6/064001,,,Large CO2 effluxes at night and during synoptic weather events significantly contribute to CO2 emissions from a reservoir,Environmental Research Letters,,,2016-06-01,2016,11,6,064001,All OA; Gold,Article,"Liu, Heping; Zhang, Qianyu; Katul, Gabriel G; Cole, Jonathan J; Chapin, F Stuart; MacIntyre, Sally",,"Liu, Heping (Washington State University); Zhang, Qianyu (Washington State University); Katul, Gabriel G (Duke University); Cole, Jonathan J (Cary Institute of Ecosystem Studies); Chapin, F Stuart (University of Alaska Fairbanks); MacIntyre, Sally (University of California, Santa Barbara)",31,26,,10.26,https://iopscience.iop.org/article/10.1088/1748-9326/11/6/064001/pdf,https://app.dimensions.ai/details/publication/pub.1037296143,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
16,100,pub.1043218834,10.1139/cjfas-2015-0130,,,The Nile perch invasion in Lake Victoria: cause or consequence of the haplochromine decline?1,Canadian Journal of Fisheries and Aquatic Sciences,,,2016-04,2016,73,4,622-643,"All OA; Green, Published",Article,"van Zwieten, Paul A.M.; Kolding, Jeppe; Plank, Michael J.; Hecky, Robert E.; Bridgeman, Thomas B.; MacIntyre, Sally; Seehausen, Ole; Silsbe, Greg M.",,"van Zwieten, Paul A.M. (Wageningen University & Research); Kolding, Jeppe (University of Bergen); Plank, Michael J. (University of Canterbury); Hecky, Robert E. (University of Minnesota); Bridgeman, Thomas B. (University of Toledo); MacIntyre, Sally (University of California, Santa Barbara); Seehausen, Ole (University of Bern; Swiss Federal Institute of Aquatic Science and Technology); Silsbe, Greg M. (Oregon State University)",14,7,,3.63,https://boris.unibe.ch/73001/1/2015_Zwieten%20et%20al_Nileperch%20cause%20consequence_cjfas-2015-0130.pdf,https://app.dimensions.ai/details/publication/pub.1043218834,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
17,100,pub.1021482726,10.1038/ngeo2578,,,Climate-sensitive northern lakes and ponds are critical components of methane release,Nature Geoscience,,,2016-02,2016,9,2,99-105,Closed,Article,"Wik, Martin; Varner, Ruth K.; Anthony, Katey Walter; MacIntyre, Sally; Bastviken, David","Wik, Martin","Wik, Martin (Stockholm University); Varner, Ruth K. (University of New Hampshire); Anthony, Katey Walter (University of Alaska Fairbanks); MacIntyre, Sally (University of California, Santa Barbara); Bastviken, David (Linköping University)",124,64,,29.29,,https://app.dimensions.ai/details/publication/pub.1021482726,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
18,100,pub.1012608364,10.1007/978-3-319-28622-8_3,,,Morphometry and Physical Processes of East African Soda Lakes,,Soda Lakes of East Africa,,2016,2016,,,61-76,Closed,Chapter,"Melack, John M.; MacIntyre, Sally","Melack, John M.","Melack, John M. (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara)",1,1,,0.27,,https://app.dimensions.ai/details/publication/pub.1012608364,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
19,400,pub.1045132670,10.1038/sdata.2015.8,25977814,PMC4423389,A global database of lake surface temperatures collected by in situ and satellite methods from 1985–2009,Scientific Data,,,2015-12,2015,2,1,150008,All OA; Gold,Article,"Sharma, Sapna; Gray, Derek K; Read, Jordan S; O’Reilly, Catherine M; Schneider, Philipp; Qudrat, Anam; Gries, Corinna; Stefanoff, Samantha; Hampton, Stephanie E; Hook, Simon; Lenters, John D; Livingstone, David M; McIntyre, Peter B; Adrian, Rita; Allan, Mathew G; Anneville, Orlane; Arvola, Lauri; Austin, Jay; Bailey, John; Baron, Jill S; Brookes, Justin; Chen, Yuwei; Daly, Robert; Dokulil, Martin; Dong, Bo; Ewing, Kye; de Eyto, Elvira; Hamilton, David; Havens, Karl; Haydon, Shane; Hetzenauer, Harald; Heneberry, Jocelyne; Hetherington, Amy L; Higgins, Scott N; Hixson, Eric; Izmest’eva, Lyubov R; Jones, Benjamin M; Kangur, Külli; Kasprzak, Peter; Köster, Olivier; Kraemer, Benjamin M; Kumagai, Michio; Kuusisto, Esko; Leshkevich, George; May, Linda; MacIntyre, Sally; Müller-Navarra, Dörthe; Naumenko, Mikhail; Noges, Peeter; Noges, Tiina; Niederhauser, Pius; North, Ryan P; Paterson, Andrew M; Plisnier, Pierre-Denis; Rigosi, Anna; Rimmer, Alon; Rogora, Michela; Rudstam, Lars; Rusak, James A; Salmaso, Nico; Samal, Nihar R; Schindler, Daniel E; Schladow, Geoffrey; Schmidt, Silke R; Schultz, Tracey; Silow, Eugene A; Straile, Dietmar; Teubner, Katrin; Verburg, Piet; Voutilainen, Ari; Watkinson, Andrew; Weyhenmeyer, Gesa A; Williamson, Craig E; Woo, Kara H","Sharma, Sapna","Sharma, Sapna (York University); Gray, Derek K (California University of Pennsylvania); Read, Jordan S (); O’Reilly, Catherine M (Illinois State University); Schneider, Philipp (); Qudrat, Anam (York University); Gries, Corinna (University of Wisconsin–Madison); Stefanoff, Samantha (York University); Hampton, Stephanie E (Washington State University); Hook, Simon (California Institute of Technology); Lenters, John D (); Livingstone, David M (Swiss Federal Institute of Aquatic Science and Technology); McIntyre, Peter B (University of Wisconsin–Madison); Adrian, Rita (Leibniz Institute of Freshwater Ecology and Inland Fisheries); Allan, Mathew G (University of Waikato); Anneville, Orlane (French National Institute for Agricultural Research); Arvola, Lauri (University of Helsinki); Austin, Jay (University of Minnesota, Duluth); Bailey, John (Laurentian University); Baron, Jill S (Colorado State University); Brookes, Justin (University of Adelaide); Chen, Yuwei (Nanjing Institute of Geography and Limnology); Daly, Robert (South Australian Water Corporation); Dokulil, Martin (University of Innsbruck); Dong, Bo (University at Albany, State University of New York); Ewing, Kye (Archbold Biological Station); de Eyto, Elvira (); Hamilton, David (University of Waikato); Havens, Karl (Florida Sea Grant); Haydon, Shane (Melbourne Water); Hetzenauer, Harald (); Heneberry, Jocelyne (Laurentian University); Hetherington, Amy L (Cornell University); Higgins, Scott N (); Hixson, Eric (); Izmest’eva, Lyubov R (Irkutsk State University); Jones, Benjamin M (United States Geological Survey); Kangur, Külli (); Kasprzak, Peter (Leibniz Institute of Freshwater Ecology and Inland Fisheries); Köster, Olivier (); Kraemer, Benjamin M (University of Wisconsin–Madison); Kumagai, Michio (); Kuusisto, Esko (Finnish Environment Institute); Leshkevich, George (); May, Linda (Centre for Ecology and Hydrology); MacIntyre, Sally (University of California, Santa Barbara); Müller-Navarra, Dörthe (University of Hamburg); Naumenko, Mikhail (Russian Academy of Sciences); Noges, Peeter (Estonian University of Life Sciences); Noges, Tiina (Estonian University of Life Sciences); Niederhauser, Pius (); North, Ryan P (Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Paterson, Andrew M (Ministry of the Environment and Climate Change); Plisnier, Pierre-Denis (Royal Museum for Central Africa); Rigosi, Anna (University of Adelaide); Rimmer, Alon (Israel Oceanographic and Limnological Research); Rogora, Michela (Institute of Ecosystem Study); Rudstam, Lars (Cornell University); Rusak, James A (Ministry of the Environment and Climate Change); Salmaso, Nico (); Samal, Nihar R (Queens College, City University of New York); Schindler, Daniel E (University of Washington); Schladow, Geoffrey (University of California, Davis); Schmidt, Silke R (Leibniz Institute of Freshwater Ecology and Inland Fisheries); Schultz, Tracey (WaterNSW); Silow, Eugene A (Irkutsk State University); Straile, Dietmar (University of Konstanz); Teubner, Katrin (University of Vienna); Verburg, Piet (National Institute of Water and Atmospheric Research); Voutilainen, Ari (University of Eastern Finland); Watkinson, Andrew (Seqwater); Weyhenmeyer, Gesa A (Uppsala University); Williamson, Craig E (Miami University); Woo, Kara H (Washington State University)",72,46,1.22,14.12,https://www.nature.com/articles/sdata20158.pdf,https://app.dimensions.ai/details/publication/pub.1045132670,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,100,pub.1037483541,10.1007/s10750-015-2240-2,,,Greenhouse gas emission and storage in a small shallow lake,Hydrobiologia,,,2015-09,2015,757,1,101-115,Closed,Article,"Bartosiewicz, M.; Laurion, I.; MacIntyre, S.","Bartosiewicz, M.","Bartosiewicz, M. (National Institute of Scientific Research; University of Montreal); Laurion, I. (National Institute of Scientific Research; University of Montreal); MacIntyre, S. (University of California, Santa Barbara)",11,6,,,,https://app.dimensions.ai/details/publication/pub.1037483541,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
21,100,pub.1006758019,10.1002/lno.10126,,,Oxygen dynamics in permafrost thaw lakes: Anaerobic bioreactors in the Canadian subarctic,Limnology and Oceanography,,,2015-09,2015,60,5,1656-1670,All OA; Gold,Article,"Deshpande, Bethany N.; MacIntyre, Sally; Matveev, Alex; Vincent, Warwick F.",,"Deshpande, Bethany N. (Laval University); MacIntyre, Sally (); Matveev, Alex (Laval University); Vincent, Warwick F. (Laval University)",31,5,,5.79,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lno.10126,https://app.dimensions.ai/details/publication/pub.1006758019,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
22,100,pub.1072736073,10.5268/iw-5.2.726,,,Inter- and intra-annual variations of pCO2 and pO2 in a freshwater subtropical coastal lake,Inland Waters,,,2015-04-01,2015,5,2,107-116,Closed,Article,"Fontes, Maria L. S.; Marotta, H.; MacIntyre, Sally; Petrucio1, M. M.",,"Fontes, Maria L. S. (Universidade Federal de Santa Catarina); Marotta, H. (Fluminense Federal University); MacIntyre, Sally (University of California, Santa Barbara); Petrucio1, M. M. (Universidade Federal de Santa Catarina)",9,6,,1.39,,https://app.dimensions.ai/details/publication/pub.1072736073,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
23,100,pub.1025010610,10.4319/lo.2014.59.6.1805,,,"Stratification and horizontal exchange in Lake Victoria, East Africa",Limnology and Oceanography,,,2014-11,2014,59,6,1805-1838,All OA; Gold,Article,"MacIntyre, Sally; Romero, José R.; Silsbe, Gregory M.; Emery, Brian M.",,"MacIntyre, Sally (University of California, Santa Barbara); Romero, José R. (University of California, Santa Barbara; University of Western Australia); Silsbe, Gregory M. (University of Waterloo); Emery, Brian M. (University of California, Santa Barbara)",29,15,,4.06,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2014.59.6.1805,https://app.dimensions.ai/details/publication/pub.1025010610,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
24,100,pub.1011184812,10.1002/2014jc010135,,,Similarity scaling of turbulence in a temperate lake during fall cooling,Journal of Geophysical Research Oceans,,,2014-08,2014,119,8,4689-4713,All OA; Gold,Article,"Tedford, Edmund W.; MacIntyre, Sally; Miller, Scott D.; Czikowsky, Matthew J.",,"Tedford, Edmund W. (University of California, Santa Barbara; University of British Columbia); MacIntyre, Sally (University of California, Santa Barbara); Miller, Scott D. (University at Albany, State University of New York); Czikowsky, Matthew J. (University at Albany, State University of New York)",31,17,,5.1,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014JC010135,https://app.dimensions.ai/details/publication/pub.1011184812,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics,0405 Oceanography,
25,100,pub.1045614073,10.1007/s00027-013-0328-1,,,"Persistent weak thermal stratification inhibits mixing in the epilimnion of north-temperate Lake Opeongo, Canada",Aquatic Sciences,,,2014-04,2014,76,2,187-201,Closed,Article,"Pernica, Patricia; Wells, Mathew G.; MacIntyre, Sally","Pernica, Patricia","Pernica, Patricia (University of Toronto); Wells, Mathew G. (University of Toronto); MacIntyre, Sally (University of California, Santa Barbara)",16,4,,,,https://app.dimensions.ai/details/publication/pub.1045614073,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
26,200,pub.1089091521,10.1093/acprof:osobl/9780199860401.003.0008,,,The Response of Lakes Near the Arctic LTER to Environmental Change,,Alaska's Changing Arctic,,2014-03-27,2014,,,238-286,Closed,Chapter,"Luecke, Chris; Giblin, Anne E.; Bettez, Neil D.; Burkart, Greta A.; Crump, Byron C.; Evans, Mary Anne; Gettel, Gretchen; MacIntyre, Sally; O Brien, W. John; Rublee, Parke A.; Kling, George W.",,"Luecke, Chris (); Giblin, Anne E. (); Bettez, Neil D. (); Burkart, Greta A. (); Crump, Byron C. (); Evans, Mary Anne (); Gettel, Gretchen (); MacIntyre, Sally (); O Brien, W. John (); Rublee, Parke A. (); Kling, George W. ()",11,4,,,,https://app.dimensions.ai/details/publication/pub.1089091521,,,,,,
27,100,pub.1026554283,10.1002/2013gl058510,,,Energy input is primary controller of methane bubbling in subarctic lakes,Geophysical Research Letters,,,2014-01-28,2014,41,2,555-560,All OA; Gold,Article,"Wik, Martin; Thornton, Brett F.; Bastviken, David; MacIntyre, Sally; Varner, Ruth K.; Crill, Patrick M.",,"Wik, Martin (Stockholm University); Thornton, Brett F. (Stockholm University); Bastviken, David (Linköping University Hospital); MacIntyre, Sally (); Varner, Ruth K. (University of New Hampshire); Crill, Patrick M. (Stockholm University)",48,21,,9.18,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013GL058510,https://app.dimensions.ai/details/publication/pub.1026554283,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
28,100,pub.1071282957,10.3402/tellusb.v66.22827,,,Effects of cooling and internal wave motions on gas transfer coefficients in a boreal lake,Tellus B,,,2014-01,2014,66,0,22827,All OA; Gold,Article,"Heiskanen, Jouni J.; Mammarella, Ivan; Haapanala, Sami; Pumpanen, Jukka; Vesala, Timo; MacIntyre, Sally; Ojala, Anne",,"Heiskanen, Jouni J. (University of Helsinki); Mammarella, Ivan (University of Helsinki); Haapanala, Sami (University of Helsinki); Pumpanen, Jukka (University of Helsinki); Vesala, Timo (University of Helsinki); MacIntyre, Sally (); Ojala, Anne ()",35,18,,5.7,https://doi.org/10.3402/tellusb.v66.22827,https://app.dimensions.ai/details/publication/pub.1071282957,05 Environmental Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,04 Earth Sciences,0401 Atmospheric Sciences,0502 Environmental Science and Management,
29,100,pub.1015441088,10.4319/lo.2013.58.5.1557,,,Temporal and spatial variability of the internal wave field in a lake with complex morphometry,Limnology and Oceanography,,,2013-09,2013,58,5,1557-1580,All OA; Gold,Article,"Vidal, Javier; MacIntyre, Sally; McPhee-Shaw, Erika E.; Shaw, William J.; Monismith, Stephen G.",,"Vidal, Javier (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara); McPhee-Shaw, Erika E. (University of California, Santa Barbara); Shaw, William J. (University of California, Santa Barbara); Monismith, Stephen G. (Stanford University)",13,4,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2013.58.5.1557,https://app.dimensions.ai/details/publication/pub.1015441088,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
