,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Frank J Spera. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
24,100,pub.1052118034,10.1016/j.earscirev.2009.10.001,,,Thermodynamic model for uplift and deflation episodes (bradyseism) associated with magmatic–hydrothermal activity at the Campi Flegrei (Italy),Earth-Science Reviews,,,2009-12,2009,97,1-4,44-58,Closed,Article,"Lima, Annamaria; De Vivo, Benedetto; Spera, Frank J.; Bodnar, Robert J.; Milia, Alfonsa; Nunziata, Concettina; Belkin, Harvey E.; Cannatelli, Claudia","Lima, Annamaria","Lima, Annamaria (University of Naples Federico II); De Vivo, Benedetto (University of Naples Federico II); Spera, Frank J. (University of California, Santa Barbara); Bodnar, Robert J. (Virginia Tech); Milia, Alfonsa (National Research Council); Nunziata, Concettina (University of Naples Federico II); Belkin, Harvey E. (United States Geological Survey); Cannatelli, Claudia (University of Naples Federico II; University of California, Santa Barbara)",43,16,,7.87,,https://app.dimensions.ai/details/publication/pub.1052118034,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,100,pub.1040418764,10.1016/j.gca.2009.08.011,,,"Structure, thermodynamic and transport properties of CaAl2Si2O8 liquid. Part I: Molecular dynamics simulations",Geochimica et Cosmochimica Acta,,,2009-11,2009,73,22,6918-6936,Closed,Article,"Spera, Frank J.; Nevins, Dean; Ghiorso, Mark; Cutler, Ian","Spera, Frank J.","Spera, Frank J. (University of California, Santa Barbara); Nevins, Dean (University of California, Santa Barbara); Ghiorso, Mark (); Cutler, Ian (University of California, Santa Barbara)",29,3,,3.56,,https://app.dimensions.ai/details/publication/pub.1040418764,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
26,100,pub.1000343376,10.1016/j.gca.2009.08.012,,,Molecular dynamics studies of CaAl2Si2O8 liquid. Part II: Equation of state and a thermodynamic model,Geochimica et Cosmochimica Acta,,,2009-11,2009,73,22,6937-6951,Closed,Article,"Ghiorso, Mark S.; Nevins, Dean; Cutler, Ian; Spera, Frank J.","Ghiorso, Mark S.","Ghiorso, Mark S. (); Nevins, Dean (University of California, Santa Barbara); Cutler, Ian (University of California, Santa Barbara); Spera, Frank J. (University of California, Santa Barbara)",13,2,,1.59,,https://app.dimensions.ai/details/publication/pub.1000343376,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
27,100,pub.1036118768,10.1016/j.jvolgeores.2009.06.014,,,"Perils of petrotectonic modeling: A view from southern Sonora, Mexico",Journal of Volcanology and Geothermal Research,,,2009-10,2009,186,3-4,160-168,"All OA; Green, Published",Article,"Till, Christy B.; Gans, Phillip B.; Spera, Frank J.; MacMillan, Ian; Blair, Karen D.","Till, Christy B.","Till, Christy B. (University of California, Santa Barbara); Gans, Phillip B. (University of California, Santa Barbara); Spera, Frank J. (University of California, Santa Barbara); MacMillan, Ian (University of California, Santa Barbara); Blair, Karen D. (University of California, Santa Barbara)",11,2,,1.47,"http://magma.geol.ucsb.edu/papers/Till_et_al.,Sonora,2009.pdf",https://app.dimensions.ai/details/publication/pub.1036118768,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
28,100,pub.1020940311,10.2138/am.2009.3092,,,Shear viscosity and diffusion in liquid MgSiO3: Transport properties and implications for terrestrial planet magma oceans,American Mineralogist,,,2009-07-01,2009,94,7,975-980,Closed,Article,"Nevins, Dean; Spera, Frank J.; Ghiorso, Mark S.",,"Nevins, Dean (University of California, Santa Barbara); Spera, Frank J. (University of California, Santa Barbara); Ghiorso, Mark S. (OFM Research (United States))",26,4,,4.76,,https://app.dimensions.ai/details/publication/pub.1020940311,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
29,100,pub.1053389599,10.2138/am.2009.3087,,,"Structure, thermodynamic, and transport properties of molten Mg2SiO4: Molecular dynamics simulations and model EOS",American Mineralogist,,,2009-05-01,2009,94,5-6,693-703,Closed,Article,"Martin, G. Ben; Spera, Frank J.; Ghiorso, Mark S.; Nevins, Dean",,"Martin, G. Ben (University of California, Santa Barbara); Spera, Frank J. (University of California, Santa Barbara); Ghiorso, Mark S. (); Nevins, Dean (University of California, Santa Barbara)",28,5,,4.22,,https://app.dimensions.ai/details/publication/pub.1053389599,0914 Resources Engineering and Extractive Metallurgy; 09 Engineering; 0402 Geochemistry; 0403 Geology; 04 Earth Sciences,0914 Resources Engineering and Extractive Metallurgy,09 Engineering,0402 Geochemistry,0403 Geology,04 Earth Sciences
30,100,pub.1012549342,10.1007/s00410-007-0265-x,,,"Transport properties of low-sanidine single-crystals, glasses and melts at high temperature",Contributions to Mineralogy and Petrology,,,2008-06,2008,155,6,689-702,Closed,Article,"Pertermann, Maik; Whittington, Alan G.; Hofmeister, Anne M.; Spera, Frank J.; Zayak, John","Hofmeister, Anne M.","Pertermann, Maik (Rice University); Whittington, Alan G. (University of Missouri); Hofmeister, Anne M. (); Spera, Frank J. (University of California System); Zayak, John (University of California System)",37,6,,3.65,,https://app.dimensions.ai/details/publication/pub.1012549342,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
31,100,pub.1029141667,10.1029/2008gl033665,,,Phase equilibria trigger for explosive volcanic eruptions,Geophysical Research Letters,,,2008,2008,35,8,,"All OA; Green, Accepted & Submitted",Article,"Fowler, Sarah J.; Spera, Frank J.",,"Fowler, Sarah J. (University of California, Santa Barbara); Spera, Frank J. (University of California, Santa Barbara)",20,7,,1.97,http://magma.geol.ucsb.edu/papers/GRL_2008_BIG_IGS.pdf,https://app.dimensions.ai/details/publication/pub.1029141667,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
32,100,pub.1000203686,10.1080/08927020701675622,,,Accurate computation of shear viscosity from equilibrium molecular dynamics simulations,Molecular Simulation,,,2007-12,2007,33,15,1261-1266,Closed,Article,"Nevins, D.; Spera, F. J.",,"Nevins, D. (); Spera, F. J. ()",35,7,,5.04,,https://app.dimensions.ai/details/publication/pub.1000203686,0307 Theoretical and Computational Chemistry; 03 Chemical Sciences,0307 Theoretical and Computational Chemistry,03 Chemical Sciences,,,
33,100,pub.1050935695,10.2138/am.2007.2326,,,"Partitioning of trace elements among coexisting crystals, melt, and supercritical fluid during isobaric crystallization and melting",American Mineralogist,,,2007-11-01,2007,92,11-12,1881-1898,Closed,Article,"Spera, Frank J.; Bohrson, Wendy A.; Till, Christy B.; Ghiorso, Mark S.",,"Spera, Frank J. (University of California, Santa Barbara); Bohrson, Wendy A. (Central Washington University); Till, Christy B. (University of California, Santa Barbara); Ghiorso, Mark S. (OFM Research (United States))",21,4,,2.09,,https://app.dimensions.ai/details/publication/pub.1050935695,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
34,100,pub.1020944501,10.1029/2007gc001781,,,"Energy‐Constrained Recharge, Assimilation, and Fractional Crystallization (EC‐RAχFC): A Visual Basic computer code for calculating trace element and isotope variations of open‐system magmatic systems",Geochemistry Geophysics Geosystems,,,2007-11,2007,8,11,n/a-n/a,All OA; Gold,Article,"Bohrson, Wendy A.; Spera, Frank J.",,"Bohrson, Wendy A. (Central Washington University); Spera, Frank J. (University of California, Santa Barbara)",41,8,,4.26,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007GC001781,https://app.dimensions.ai/details/publication/pub.1020944501,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
35,100,pub.1000705630,10.1093/petrology/egl068,,,Phase Equilibria Constraints on the Chemical and Physical Evolution of the Campanian Ignimbrite,Journal of Petrology,,,2007-03,2007,48,3,459-493,All OA; Gold,Article,"Fowler, Sarah J.; Spera, Frank J.; Bohrson, Wendy A.; Belkin, Harvey E.; De Vivo, Benedetto",,"Fowler, Sarah J. (University of California, Santa Barbara); Spera, Frank J. (University of California, Santa Barbara); Bohrson, Wendy A. (Central Washington University); Belkin, Harvey E. (United States Geological Survey); De Vivo, Benedetto (University of Naples Federico II)",65,10,,6.75,https://academic.oup.com/petrology/article-pdf/48/3/459/16667952/egl068.pdf,https://app.dimensions.ai/details/publication/pub.1000705630,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
36,100,pub.1048984786,10.1016/j.pepi.2006.07.007,,,Tradeoffs in chemical and thermal variations in the post-perovskite phase transition: Mixed phase regions in the deep lower mantle?,Physics of The Earth and Planetary Interiors,,,2006-12,2006,159,3-4,234-246,Closed,Article,"Spera, Frank J.; Yuen, David A.; Giles, Grace","Spera, Frank J.","Spera, Frank J. (University of California, Santa Barbara); Yuen, David A. (University of Minnesota); Giles, Grace (University of California, Santa Barbara)",14,0,,1.65,,https://app.dimensions.ai/details/publication/pub.1048984786,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
37,100,pub.1009831034,10.1029/2005gc001002,,,Long‐term volumetric eruption rates and magma budgets,Geochemistry Geophysics Geosystems,,,2006-03,2006,7,3,n/a-n/a,All OA; Gold,Article,"White, Scott M.; Crisp, Joy A.; Spera, Frank J.",,"White, Scott M. (University of South Carolina); Crisp, Joy A. (Jet Propulsion Lab); Spera, Frank J. (University of California, Santa Barbara)",246,55,,28.92,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005GC001002,https://app.dimensions.ai/details/publication/pub.1009831034,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
38,100,pub.1033754993,10.1016/s1871-644x(06)80027-6,,,Chapter 13 Petrogenesis of the Campanian Ignimbrite: implications for crystal-melt separation and open-system processes from major and trace elements and Th isotopic data,Developments in Volcanology,"Volcanism in the Campania Plain - Vesuvius, Campi Flegrei and Ignimbrites",,2006,2006,9,,249-288,Closed,Chapter,"Bohrson, Wendy A.; Spera, Frank J.; Fowler, Sarah J.; Belkin, Harvey E.; De Vivo, Benedetto; Rolandi, Giuseppe","Bohrson, Wendy A.","Bohrson, Wendy A. (Central Washington University); Spera, Frank J. (University of California, Santa Barbara); Fowler, Sarah J. (University of California System); Belkin, Harvey E. (United States Geological Survey); De Vivo, Benedetto (University of Naples Federico II); Rolandi, Giuseppe (University of Naples Federico II)",20,3,,2.58,,https://app.dimensions.ai/details/publication/pub.1033754993,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
