,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Helen Couclelis. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
24,100,pub.1058156723,10.1068/b240165,,,From Cellular Automata to Urban Models: New Principles for Model Development and Implementation,Environment and Planning B Urban Analytics and City Science,,,1997,1997,24,2,165-174,Closed,Article,"Couclelis, H",,"Couclelis, H (University of California, Santa Barbara)",243,15,,,,https://app.dimensions.ai/details/publication/pub.1058156723,1201 Architecture; 1203 Design Practice and Management; 12 Built Environment and Design; 1205 Urban and Regional Planning,1201 Architecture,1203 Design Practice and Management,12 Built Environment and Design,1205 Urban and Regional Planning,
25,100,pub.1003915664,10.1007/3-540-63623-4_48,,,"What maps mean to people: Denotation, connotation, and geographic visualization in land-use debates",Lecture Notes in Computer Science,Spatial Information Theory A Theoretical Basis for GIS,,1997,1997,1329,,151-162,Closed,Chapter,"Couclelis, Helen; Gottsegen, Jon",,"Couclelis, Helen (University of California, Santa Barbara); Gottsegen, Jon (University of California, Santa Barbara)",15,1,,,,https://app.dimensions.ai/details/publication/pub.1003915664,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
26,100,pub.1013216535,10.1007/978-0-585-33485-1_7,,,"Verbal Directions for Way-Finding: Space, Cognition, and Language",GeoJournal Library,The Construction of Cognitive Maps,,1996,1996,32,,133-153,Closed,Chapter,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",43,4,,,,https://app.dimensions.ai/details/publication/pub.1013216535,1702 Cognitive Sciences; 17 Psychology and Cognitive Sciences; 1701 Psychology,1702 Cognitive Sciences,17 Psychology and Cognitive Sciences,1701 Psychology,,
27,100,pub.1048043189,10.1007/3-540-55966-3_3,,,People manipulate objects (but cultivate fields): Beyond the raster-vector debate in GIS,Lecture Notes in Computer Science,Theories and Methods of Spatio-Temporal Reasoning in Geographic Space,,1992,1992,639,,65-77,Closed,Chapter,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",198,26,,,,https://app.dimensions.ai/details/publication/pub.1048043189,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
28,100,pub.1019835704,10.1007/bf01463440,,,Requirements for planning-relevant GIS: A spatial perspective,Papers in Regional Science,,,1991-01,1991,70,1,9-19,Closed,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",43,2,,,,https://app.dimensions.ai/details/publication/pub.1019835704,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
29,100,pub.1018727042,10.1111/j.1435-5597.1991.tb01716.x,,,REQUIREMENTS FOR PLANNING‐RELEVANT GIS: A SPATIAL PERSPECTIVE,Papers in Regional Science,,,1991-01,1991,70,1,9-19,Closed,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1018727042,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
30,100,pub.1011483134,10.1111/j.0033-0124.1990.00299.x,,,EXPLORING SPATIAL FAMILIARITY*,The Professional Geographer,,,1990-08,1990,42,3,299-313,Closed,Article,"Gale, Nathan; Golledge, Reginald G.; Halperin, William C.; Couclelis, Helen",,"Gale, Nathan (); Golledge, Reginald G. (University of California, Santa Barbara); Halperin, William C. (); Couclelis, Helen (University of California, Santa Barbara)",37,7,,,,https://app.dimensions.ai/details/publication/pub.1011483134,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
31,200,pub.1008057907,10.2747/0272-3638.11.1.42,,,URBAN LIVEABILITY: A COMMENTARY,Urban Geography,,,1990-01,1990,11,1,42-47,Closed,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1008057907,"12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 16 Studies in Human Society; 1506 Tourism; 1604 Human Geography; 1205 Urban and Regional Planning",12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",16 Studies in Human Society,1506 Tourism,1604 Human Geography
32,200,pub.1069493581,10.2307/143778,,,A Ground for Common Search,Economic Geography,,,1989-04,1989,65,2,146,Closed,Article,"Curry, Michael R.; Golledge, Reginald G.; Couclelis, Helen; Gould, Peter",,"Curry, Michael R. (); Golledge, Reginald G. (); Couclelis, Helen (); Gould, Peter ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1069493581,16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics,14 Economics,
33,100,pub.1058156308,10.1068/b160141,,,Macrostructure and Microbehavior in a Metropolitan Area,Environment and Planning B Urban Analytics and City Science,,,1989,1989,16,2,141-154,"All OA; Green, Accepted & Submitted",Article,"Couclelis, H",,"Couclelis, H (University of California, Santa Barbara)",58,4,,,http://www.environment-and-planning.com/epb/fulltext/b16/b160141.pdf,https://app.dimensions.ai/details/publication/pub.1058156308,1201 Architecture; 1203 Design Practice and Management; 12 Built Environment and Design; 1205 Urban and Regional Planning,1201 Architecture,1203 Design Practice and Management,12 Built Environment and Design,1205 Urban and Regional Planning,
34,100,pub.1053984749,10.1068/a200099,,,Of Mice and Men: What Rodent Populations Can Teach Us about Complex Spatial Dynamics,Environment and Planning A Economy and Space,,,1988-01,1988,20,1,99-109,Closed,Article,"Couclelis, H",,"Couclelis, H (University of California, Santa Barbara)",101,3,,,,https://app.dimensions.ai/details/publication/pub.1053984749,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
35,100,pub.1053341994,10.1016/s0272-4944(87)80020-8,,,Exploring the anchor-point hypothesis of spatial cognition,Journal of Environmental Psychology,,,1987-06,1987,7,2,99-122,Closed,Article,"Couclelis, H.; Golledge, R.G.; Gale, N.; Tobler, W.",,"Couclelis, H. (University of California, Santa Barbara); Golledge, R.G. (University of California, Santa Barbara); Gale, N. (University of California, Santa Barbara); Tobler, W. (University of California, Santa Barbara)",214,29,,,,https://app.dimensions.ai/details/publication/pub.1053341994,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
36,100,pub.1051195217,10.1016/0377-2217(87)90080-4,,,Cellular dynamics: How individual decisions lead to global urban change,European Journal of Operational Research,,,1987-06,1987,30,3,344-346,Closed,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",9,3,,,,https://app.dimensions.ai/details/publication/pub.1051195217,0102 Applied Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,01 Mathematical Sciences,,,
37,100,pub.1092601138,10.1080/04353684.1986.11879523,,,Space and Spaces,Geografiska Annaler Series B Human Geography,,,1986-04,1986,68,1,1-12,Closed,Article,"Couclelis, Helen; Gale, Nathan",,"Couclelis, Helen (); Gale, Nathan ()",19,4,,,,https://app.dimensions.ai/details/publication/pub.1092601138,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
38,100,pub.1041150879,10.1111/j.1467-8306.1986.tb00106.x,,,A Theoretical Framework for Alternative Models of Spatial Decision and Behavior,Annals of the American Association of Geographers,,,1986-03,1986,76,1,95-113,Closed,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",22,0,,,,https://app.dimensions.ai/details/publication/pub.1041150879,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
39,100,pub.1003208596,10.1111/j.0033-0124.1986.00001.x,,,ARTIFICIAL INTELLIGENCE IN GEOGRAPHY: CONJECTURES ON THE SHAPE OF THINGS TO COME,The Professional Geographer,,,1986-02,1986,38,1,1-11,Closed,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",25,3,,,,https://app.dimensions.ai/details/publication/pub.1003208596,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
40,200,pub.1070617713,10.2307/490912,,,Space and Spaces,Geografiska Annaler Series B Human Geography,,,1986,1986,68,1,1,Closed,Article,"Couclelis, Helen; Gale, Nathan",,"Couclelis, Helen (); Gale, Nathan ()",13,0,,,,https://app.dimensions.ai/details/publication/pub.1070617713,"15 Commerce, Management, Tourism and Services; 16 Studies in Human Society; 1506 Tourism; 1604 Human Geography; 1601 Anthropology","15 Commerce, Management, Tourism and Services",16 Studies in Human Society,1506 Tourism,1604 Human Geography,1601 Anthropology
41,100,pub.1053843176,10.1068/a170585,,,Cellular Worlds: A Framework for Modeling Micro—Macro Dynamics,Environment and Planning A Economy and Space,,,1985-05,1985,17,5,585-596,Closed,Article,"Couclelis, H",,"Couclelis, H (University of California, Santa Barbara)",273,19,,,,https://app.dimensions.ai/details/publication/pub.1053843176,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
42,100,pub.1003030202,10.1007/978-3-642-51020-5_9,,,Prior Structure and Spatial Interaction,Lecture Notes in Economics and Mathematical Systems,Optimization and Discrete Choice in Urban Systems,,1985,1985,247,,162-179,Closed,Chapter,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1003030202,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
43,100,pub.1058152438,10.1068/a160319,,,The Notion of Prior Structure in Urban Modelling,Environment and Planning A Economy and Space,,,1984-03,1984,16,3,319-338,Closed,Article,"Couclelis, H",,"Couclelis, H (University of California, Santa Barbara)",9,0,,,,https://app.dimensions.ai/details/publication/pub.1058152438,12 Built Environment and Design; 14 Economics; 16 Studies in Human Society; 1604 Human Geography; 1402 Applied Economics; 1205 Urban and Regional Planning,12 Built Environment and Design,14 Economics,16 Studies in Human Society,1604 Human Geography,1402 Applied Economics
44,100,pub.1043745572,10.1111/j.1467-8306.1983.tb01420.x,,,"Analytic Research, Positivism, and Behavioral Geography",Annals of the American Association of Geographers,,,1983-09,1983,73,3,331-339,Closed,Article,"Couclelis, Helen; Golledge, Reginald",,"Couclelis, Helen (University of California, Santa Barbara); Golledge, Reginald (University of California, Santa Barbara)",37,2,,,,https://app.dimensions.ai/details/publication/pub.1043745572,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
45,100,pub.1026128236,10.1111/j.1538-4632.1983.tb00757.x,,,Some Second Thoughts about Theory in the Social Sciences,Geographical Analysis,,,1983-01,1983,15,1,28-33,All OA; Gold,Article,"Couclelis, Helen",,"Couclelis, Helen (University of California, Santa Barbara)",8,0,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1538-4632.1983.tb00757.x,https://app.dimensions.ai/details/publication/pub.1026128236,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
46,100,pub.1058156023,10.1068/b100423,,,On Some Problems in Defining Sets for Q-Analysis,Environment and Planning B Urban Analytics and City Science,,,1983,1983,10,4,423-438,Closed,Article,"Couclelis, H",,"Couclelis, H (University of California, Santa Barbara)",15,0,,,,https://app.dimensions.ai/details/publication/pub.1058156023,1201 Architecture; 1203 Design Practice and Management; 12 Built Environment and Design; 1205 Urban and Regional Planning,1201 Architecture,1203 Design Practice and Management,12 Built Environment and Design,1205 Urban and Regional Planning,
