,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Vamsi Ganti. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,400,pub.1062440116,10.1126/sciadv.1600204,27713925,PMC5052011,Time scale bias in erosion rates of glaciated landscapes,Science Advances,,,2016-10,2016,2,10,e1600204,All OA; Gold,Article,"Ganti, Vamsi; von Hagke, Christoph; Scherler, Dirk; Lamb, Michael P.; Fischer, Woodward W.; Avouac, Jean-Philippe",,"Ganti, Vamsi (California Institute of Technology); von Hagke, Christoph (California Institute of Technology); Scherler, Dirk (California Institute of Technology); Lamb, Michael P. (California Institute of Technology); Fischer, Woodward W. (California Institute of Technology); Avouac, Jean-Philippe (California Institute of Technology)",23,17,0.1,5.68,http://advances.sciencemag.org/content/2/10/e1600204.full.pdf,https://app.dimensions.ai/details/publication/pub.1062440116,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
11,100,pub.1003316211,10.1002/2016jf003915,,,Avulsion cycles and their stratigraphic signature on an experimental backwater‐controlled delta,Journal of Geophysical Research Earth Surface,,,2016-09,2016,121,9,1651-1675,"All OA; Green, Published",Article,"Ganti, Vamsi; Chadwick, Austin J.; Hassenruck‐Gudipati, Hima J.; Lamb, Michael P.",,"Ganti, Vamsi (California Institute of Technology; Imperial College London); Chadwick, Austin J. (California Institute of Technology); Hassenruck‐Gudipati, Hima J. (California Institute of Technology; The University of Texas at Austin); Lamb, Michael P. (California Institute of Technology)",11,9,,2.72,http://spiral.imperial.ac.uk/bitstream/10044/1/39851/9/Ganti_et_al-2016-Journal_of_Geophysical_Research-_Earth_Surface.pdf,https://app.dimensions.ai/details/publication/pub.1003316211,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
12,400,pub.1047649770,10.1126/sciadv.1501768,27386534,PMC4928958,Experimental river delta size set by multiple floods and backwater hydrodynamics,Science Advances,,"Floods; Hydrodynamics; Models, Theoretical; Oceans and Seas; Rivers; Water Movements",2016-05,2016,2,5,e1501768,All OA; Gold,Article,"Ganti, Vamsi; Chadwick, Austin J.; Hassenruck-Gudipati, Hima J.; Fuller, Brian M.; Lamb, Michael P.",,"Ganti, Vamsi (California Institute of Technology); Chadwick, Austin J. (California Institute of Technology); Hassenruck-Gudipati, Hima J. (California Institute of Technology); Fuller, Brian M. (California Institute of Technology); Lamb, Michael P. (California Institute of Technology)",24,19,0.13,5.93,http://advances.sciencemag.org/content/2/5/e1501768.full.pdf,https://app.dimensions.ai/details/publication/pub.1047649770,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
13,200,pub.1108090921,10.1130/abs/2016rm-276199,,,RECONSTRUCTING PAST FLUVIAL FLOW AND SEDIMENT TRANSPORT CONDITIONS FROM THE GEOMETRY OF BEDFORM CROSS SETS IN THE STRATIGRAPHIC RECORD,Abstracts with programs (Geological Society of America),,,2016,2016,,,,Closed,Proceeding,"Mahon, Robert C.; Ganti, Vamsi; McElroy, Brandon; Shaw, John",,"Mahon, Robert C. (); Ganti, Vamsi (); McElroy, Brandon (); Shaw, John ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1108090921,,,,,,
14,100,pub.1027673312,10.1002/2014je004658,,,Small crater modification on Meridiani Planum and implications for erosion rates and climate change on Mars,Journal of Geophysical Research Planets,,,2014-12,2014,119,12,2522-2547,All OA; Gold,Article,"Golombek, M. P.; Warner, N. H.; Ganti, V.; Lamb, M. P.; Parker, T. J.; Fergason, R. L.; Sullivan, R.",,"Golombek, M. P. (Jet Propulsion Lab); Warner, N. H. (Jet Propulsion Lab; SUNY Geneseo); Ganti, V. (California Institute of Technology); Lamb, M. P. (California Institute of Technology); Parker, T. J. (Jet Propulsion Lab); Fergason, R. L. (United States Geological Survey); Sullivan, R. (Cornell University)",41,22,,6.35,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014JE004658,https://app.dimensions.ai/details/publication/pub.1027673312,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
15,100,pub.1021780912,10.1002/2014gl061918,,,"Testing morphodynamic controls on the location and frequency of river avulsions on fans versus deltas: Huanghe (Yellow River), China",Geophysical Research Letters,,,2014-11-28,2014,41,22,7882-7890,All OA; Gold,Article,"Ganti, Vamsi; Chu, Zhongxin; Lamb, Michael P.; Nittrouer, Jeffrey A.; Parker, Gary",,"Ganti, Vamsi (California Institute of Technology); Chu, Zhongxin (Ocean University of China); Lamb, Michael P. (California Institute of Technology); Nittrouer, Jeffrey A. (Rice University); Parker, Gary (University of Illinois at Urbana Champaign)",46,27,,7.13,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014GL061918,https://app.dimensions.ai/details/publication/pub.1021780912,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
16,400,pub.1026493050,10.1038/ncomms4298,24576990,,Quantitative bounds on morphodynamics and implications for reading the sedimentary record,Nature Communications,,,2014-05,2014,5,1,3298,All OA; Gold,Article,"Ganti, Vamsi; Lamb, Michael P.; McElroy, Brandon","Ganti, Vamsi","Ganti, Vamsi (California Institute of Technology); Lamb, Michael P. (California Institute of Technology); McElroy, Brandon (University of Wyoming)",30,12,0.09,4.67,https://www.nature.com/articles/ncomms4298.pdf,https://app.dimensions.ai/details/publication/pub.1026493050,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
17,100,pub.1030510061,10.1002/jgrf.20094,,,Kinematic controls on the geometry of the preserved cross sets,Journal of Geophysical Research Earth Surface,,,2013-09,2013,118,3,1296-1307,"All OA; Green, Accepted & Submitted",Article,"Ganti, Vamsi; Paola, Chris; Foufoula‐Georgiou, Efi",,"Ganti, Vamsi (University of Minnesota; California Institute of Technology); Paola, Chris (University of Minnesota); Foufoula‐Georgiou, Efi (University of Minnesota)",11,7,,1.68,https://authors.library.caltech.edu/42796/1/jgrf20094.pdf,https://app.dimensions.ai/details/publication/pub.1030510061,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
18,100,pub.1021661858,10.1002/jgrf.20108,,,A combined nonlinear and nonlocal model for topographic evolution in channelized depositional systems,Journal of Geophysical Research Earth Surface,,,2013-09,2013,118,3,1617-1627,All OA; Gold,Article,"Falcini, F.; Foufoula‐Georgiou, E.; Ganti, V.; Paola, C.; Voller, V. R.",,"Falcini, F. (University of Minnesota; National Research Council); Foufoula‐Georgiou, E. (University of Minnesota); Ganti, V. (University of Minnesota; California Institute of Technology); Paola, C. (University of Minnesota); Voller, V. R. (University of Minnesota)",8,1,,2.75,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/jgrf.20108,https://app.dimensions.ai/details/publication/pub.1021661858,0102 Applied Mathematics; 01 Mathematical Sciences,0102 Applied Mathematics,01 Mathematical Sciences,,,
19,100,pub.1005308149,10.1002/eco.1391,,,Estimating and scaling stream ecosystem metabolism along channels with heterogeneous substrate,Ecohydrology,,,2013-08,2013,6,4,679-688,All OA; Gold,Article,"Hondzo, Miki; Voller, Vaughan R.; Morris, Mark; Foufoula‐Georgiou, Efi; Finlay, Jacques; Ganti, Vamsi; Power, Mary E.",,"Hondzo, Miki (University of Minnesota); Voller, Vaughan R. (University of Minnesota); Morris, Mark (University of Minnesota); Foufoula‐Georgiou, Efi (University of Minnesota); Finlay, Jacques (University of Minnesota); Ganti, Vamsi (University of Minnesota); Power, Mary E. (University of California, Berkeley)",12,4,,1.72,http://dx.doi.org/10.1002/eco.1391,https://app.dimensions.ai/details/publication/pub.1005308149,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,100,pub.1000969451,10.1029/2012gl052845,,,Characterization of river delta shorelines,Geophysical Research Letters,,,2012-09-16,2012,39,17,n/a-n/a,All OA; Gold,Article,"Geleynse, N.; Voller, V. R.; Paola, C.; Ganti, V.",,"Geleynse, N. (University of Minnesota); Voller, V. R. (University of Minnesota); Paola, C. (University of Minnesota); Ganti, V. (University of Minnesota)",15,7,,2.71,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012GL052845,https://app.dimensions.ai/details/publication/pub.1000969451,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
21,100,pub.1046875958,10.1029/2011jf002181,,,A sub‐grid scale closure for nonlinear hillslope sediment transport models,Journal of Geophysical Research,,,2012-06,2012,117,F2,n/a-n/a,All OA; Gold,Article,"Ganti, Vamsi; Passalacqua, Paola; Foufoula‐Georgiou, Efi",,"Ganti, Vamsi (University of Minnesota); Passalacqua, Paola (The University of Texas at Austin); Foufoula‐Georgiou, Efi (University of Minnesota)",11,6,,1.99,http://onlinelibrary.wiley.com/doi/10.1029/2011JF002181/pdf,https://app.dimensions.ai/details/publication/pub.1046875958,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
22,100,pub.1034404101,10.1029/2011jf002034,,,Prevalence of exponential bed thickness distributions in the stratigraphic record: Experiments and theory,Journal of Geophysical Research,,,2012-06,2012,117,F2,n/a-n/a,"All OA; Green, Accepted & Submitted",Article,"Straub, Kyle M.; Ganti, Vamsi; Paola, Chris; Foufoula‐Georgiou, Efi",,"Straub, Kyle M. (Tulane University); Ganti, Vamsi (University of Minnesota); Paola, Chris (University of Minnesota); Foufoula‐Georgiou, Efi (University of Minnesota)",12,2,,2,http://personal.ce.umn.edu/~foufoula/papers/efg_123.pdf,https://app.dimensions.ai/details/publication/pub.1034404101,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
23,100,pub.1018897785,10.1029/2011gl050265,,,Does the flow of information in a landscape have direction?,Geophysical Research Letters,,,2012-01,2012,39,1,n/a-n/a,"All OA; Green, Accepted & Submitted",Article,"Voller, Vaughan R.; Ganti, Vamsi; Paola, Chris; Foufoula‐Georgiou, Efi",,"Voller, Vaughan R. (University of Minnesota); Ganti, Vamsi (University of Minnesota); Paola, Chris (University of Minnesota); Foufoula‐Georgiou, Efi (University of Minnesota)",15,4,,3.09,http://personal.ce.umn.edu/~foufoula/papers/efg_120.pdf,https://app.dimensions.ai/details/publication/pub.1018897785,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
24,100,pub.1042056386,10.1029/2010jf001893,,,Space‐time dynamics of depositional systems: Experimental evidence and theoretical modeling of heavy‐tailed statistics,Journal of Geophysical Research,,,2011-06,2011,116,F2,,All OA; Gold,Article,"Ganti, Vamsi; Straub, Kyle M.; Foufoula‐Georgiou, Efi; Paola, Chris",,"Ganti, Vamsi (University of Minnesota); Straub, Kyle M. (Tulane University); Foufoula‐Georgiou, Efi (University of Minnesota); Paola, Chris (University of Minnesota)",48,10,,6.03,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010JF001893,https://app.dimensions.ai/details/publication/pub.1042056386,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,100,pub.1006404091,10.1029/2008jf001222,,,Normal and anomalous diffusion of gravel tracer particles in rivers,Journal of Geophysical Research,,,2010-06,2010,115,F2,,All OA; Gold,Article,"Ganti, Vamsi; Meerschaert, Mark M.; Foufoula‐Georgiou, Efi; Viparelli, Enrica; Parker, Gary",,"Ganti, Vamsi (University of Minnesota); Meerschaert, Mark M. (Michigan State University); Foufoula‐Georgiou, Efi (University of Minnesota); Viparelli, Enrica (University of Illinois at Urbana Champaign); Parker, Gary (University of Illinois at Urbana Champaign)",101,18,,33.44,http://onlinelibrary.wiley.com/doi/10.1029/2008JF001222/pdf,https://app.dimensions.ai/details/publication/pub.1006404091,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
26,100,pub.1000088079,10.1029/2009jf001280,,,A nonlocal theory of sediment transport on hillslopes,Journal of Geophysical Research,,,2010-06,2010,115,F2,,All OA; Gold,Article,"Foufoula‐Georgiou, E.; Ganti, V.; Dietrich, W. E.",,"Foufoula‐Georgiou, E. (University of Minnesota); Ganti, V. (University of Minnesota); Dietrich, W. E. (University of California, Berkeley)",69,13,,36.67,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009JF001280,https://app.dimensions.ai/details/publication/pub.1000088079,01 Mathematical Sciences; 0101 Pure Mathematics,01 Mathematical Sciences,0101 Pure Mathematics,,,
27,400,pub.1060739173,10.1103/physreve.80.011111,19658657,,Subordinated Brownian motion model for sediment transport,Physical Review E,,,2009-07,2009,80,1,011111,Closed,Article,"Ganti, Vamsi; Singh, Arvind; Passalacqua, Paola; Foufoula-Georgiou, Efi",,"Ganti, Vamsi (University of Minnesota); Singh, Arvind (University of Minnesota); Passalacqua, Paola (University of Minnesota); Foufoula-Georgiou, Efi (University of Minnesota)",38,8,0.07,12.31,,https://app.dimensions.ai/details/publication/pub.1060739173,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
28,100,pub.1043647614,10.1029/2008jf000981,,,A nonlocal theory of sediment buffering and bedrock channel evolution,Journal of Geophysical Research,,,2009,2009,114,F1,,All OA; Gold,Article,"Stark, Colin P.; Foufoula‐Georgiou, Efi; Ganti, Vamsi",,"Stark, Colin P. (Columbia University); Foufoula‐Georgiou, Efi (University of Minnesota); Ganti, Vamsi (University of Minnesota)",48,3,,4.94,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2008JF000981,https://app.dimensions.ai/details/publication/pub.1043647614,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
