,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Qing-Hua Ding. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
13,100,pub.1028363692,10.1007/s00382-013-1928-0,,,Upper tropospheric warming intensifies sea surface warming,Climate Dynamics,,,2014-07,2014,43,1-2,259-270,Closed,Article,"Xiang, Baoqiang; Wang, Bin; Lauer, Axel; Lee, June-Yi; Ding, Qinghua","Xiang, Baoqiang","Xiang, Baoqiang (University of Hawaii at Manoa); Wang, Bin (University of Hawaii at Manoa); Lauer, Axel (University of Hawaii at Manoa; Institute for Advanced Sustainability Studies); Lee, June-Yi (Pusan National University); Ding, Qinghua (University of Washington)",6,1,,0.93,,https://app.dimensions.ai/details/publication/pub.1028363692,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
14,400,pub.1023929263,10.1038/nature13260,24805345,,Tropical forcing of the recent rapid Arctic warming in northeastern Canada and Greenland,Nature,,"Air; Arctic Regions; Canada; Feedback; Global Warming; Greenland; Hot Temperature; Human Activities; Ice Cover; Models, Theoretical; Pacific Ocean; Seawater; Tropical Climate",2014-05,2014,509,7499,209-212,Closed,Article,"Ding, Qinghua; Wallace, John M.; Battisti, David S.; Steig, Eric J.; Gallant, Ailie J. E.; Kim, Hyung-Jin; Geng, Lei","Ding, Qinghua","Ding, Qinghua (University of Washington); Wallace, John M. (University of Washington); Battisti, David S. (University of Washington); Steig, Eric J. (University of Washington); Gallant, Ailie J. E. (Monash University); Kim, Hyung-Jin (); Geng, Lei (University of Washington)",149,48,0.98,20.86,,https://app.dimensions.ai/details/publication/pub.1023929263,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
15,400,pub.1062469020,10.1126/science.1244341,24385606,,Strong Sensitivity of Pine Island Ice-Shelf Melting to Climatic Variability,Science,,Climate Change; Freezing; Ice Cover; Islands,2014-01-10,2014,343,6167,174-178,"All OA; Green, Accepted & Submitted",Article,"Dutrieux, Pierre; De Rydt, Jan; Jenkins, Adrian; Holland, Paul R.; Ha, Ho Kyung; Lee, Sang Hoon; Steig, Eric J.; Ding, Qinghua; Abrahamsen, E. Povl; Schröder, Michael",,"Dutrieux, Pierre (British Antarctic Survey); De Rydt, Jan (British Antarctic Survey); Jenkins, Adrian (British Antarctic Survey); Holland, Paul R. (British Antarctic Survey); Ha, Ho Kyung (Korea Institute of Ocean Science and Technology); Lee, Sang Hoon (Korea Institute of Ocean Science and Technology); Steig, Eric J. (University of Washington); Ding, Qinghua (University of Washington); Abrahamsen, E. Povl (British Antarctic Survey); Schröder, Michael (Alfred Wegener Institute for Polar and Marine Research)",168,69,0.97,24.74,http://nora.nerc.ac.uk/id/eprint/502263/1/1244341RevisedManuscript2.pdf,https://app.dimensions.ai/details/publication/pub.1062469020,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
16,100,pub.1053475406,10.1175/jcli-d-12-00729.1,,,Temperature Change on the Antarctic Peninsula Linked to the Tropical Pacific*,Journal of Climate,,,2013-10,2013,26,19,130506141914009,Closed,Article,"Ding, Qinghua; Steig, Eric J.",,"Ding, Qinghua (); Steig, Eric J. ()",47,16,,6.92,,https://app.dimensions.ai/details/publication/pub.1053475406,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
17,100,pub.1049770762,10.1038/ngeo1778,,,"Recent climate and ice-sheet changes in West Antarctica compared with the past 2,000 years",Nature Geoscience,,,2013-05,2013,6,5,372-375,Closed,Article,"Steig, Eric J.; Ding, Qinghua; White, James W. C.; Küttel, Marcel; Rupper, Summer B.; Neumann, Thomas A.; Neff, Peter D.; Gallant, Ailie J. E.; Mayewski, Paul A.; Taylor, Kendrick C.; Hoffmann, Georg; Dixon, Daniel A.; Schoenemann, Spruce W.; Markle, Bradley R.; Fudge, Tyler J.; Schneider, David P.; Schauer, Andrew J.; Teel, Rebecca P.; Vaughn, Bruce H.; Burgener, Landon; Williams, Jessica; Korotkikh, Elena","Steig, Eric J.","Steig, Eric J. (University of Washington); Ding, Qinghua (University of Washington); White, James W. C. (Institute of Arctic and Alpine Research); Küttel, Marcel (University of Washington); Rupper, Summer B. (Brigham Young University); Neumann, Thomas A. (Goddard Space Flight Center); Neff, Peter D. (University of Washington; Victoria University of Wellington); Gallant, Ailie J. E. (University of Washington; Monash University); Mayewski, Paul A. (University of Maine); Taylor, Kendrick C. (Desert Research Institute); Hoffmann, Georg (CEA Saclay; Utrecht University); Dixon, Daniel A. (University of Maine); Schoenemann, Spruce W. (University of Washington); Markle, Bradley R. (University of Washington); Fudge, Tyler J. (University of Washington); Schneider, David P. (National Center for Atmospheric Research); Schauer, Andrew J. (University of Washington); Teel, Rebecca P. (University of Washington); Vaughn, Bruce H. (Institute of Arctic and Alpine Research); Burgener, Landon (Brigham Young University); Williams, Jessica (Brigham Young University); Korotkikh, Elena (University of Maine)",90,33,,11.84,,https://app.dimensions.ai/details/publication/pub.1049770762,0405 Oceanography; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 04 Earth Sciences; 0401 Atmospheric Sciences,0405 Oceanography,0406 Physical Geography and Environmental Geoscience,0403 Geology,04 Earth Sciences,0401 Atmospheric Sciences
18,100,pub.1038621561,10.1007/s00382-012-1460-7,,,"Seasonal climate information preserved in West Antarctic ice core water isotopes: relationships to temperature, large-scale circulation, and sea ice",Climate Dynamics,,,2012-10,2012,39,7-8,1841-1857,Closed,Article,"Küttel, Marcel; Steig, Eric J.; Ding, Qinghua; Monaghan, Andrew J.; Battisti, David S.","Steig, Eric J.","Küttel, Marcel (University of Washington); Steig, Eric J. (University of Washington); Ding, Qinghua (University of Washington); Monaghan, Andrew J. (National Center for Atmospheric Research); Battisti, David S. (University of Washington)",47,16,,6.01,,https://app.dimensions.ai/details/publication/pub.1038621561,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,
19,100,pub.1022673386,10.1175/jcli-d-11-00523.1,,,Influence of the Tropics on the Southern Annular Mode,Journal of Climate,,,2012-09,2012,25,18,6330-6348,"All OA; Green, Accepted & Submitted",Article,"Ding, Qinghua; Steig, Eric J.; Battisti, David S.; Wallace, John M.",,"Ding, Qinghua (); Steig, Eric J. (); Battisti, David S. (); Wallace, John M. ()",144,35,,16.38,http://www.atmos.washington.edu/~david/Qinghua_SAM_2012.pdf,https://app.dimensions.ai/details/publication/pub.1022673386,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
20,100,pub.1017080588,10.1007/s00382-011-1164-4,,,Reduction of the thermocline feedback associated with mean SST bias in ENSO simulation,Climate Dynamics,,,2012-09,2012,39,6,1413-1430,Closed,Article,"Xiang, Baoqiang; Wang, Bin; Ding, Qinghua; Jin, Fei–Fei; Fu, Xiouhua; Kim, Hyung-Jin","Xiang, Baoqiang","Xiang, Baoqiang (University of Hawaii at Manoa); Wang, Bin (University of Hawaii at Manoa); Ding, Qinghua (University of Washington); Jin, Fei–Fei (University of Hawaii at Manoa); Fu, Xiouhua (University of Hawaii at Manoa); Kim, Hyung-Jin (Japan Agency for Marine-Earth Science and Technology)",32,10,,3.64,,https://app.dimensions.ai/details/publication/pub.1017080588,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
21,100,pub.1031197994,10.3189/2012aog60a110,,,"Tropical forcing of Circumpolar Deep Water Inflow and outlet glacier thinning in the Amundsen Sea Embayment, West Antarctica",Annals of Glaciology,,,2012,2012,53,60,19-28,All OA; Gold,Article,"Steig, E.J.; Ding, Q.; Battisti, D.S.; Jenkins, A.",,"Steig, E.J. (); Ding, Q. (); Battisti, D.S. (); Jenkins, A. ()",94,32,,14.14,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/4D0132706FB5C00F6A4F5A8AA78B1DD7/S0260305500251690a.pdf/div-class-title-tropical-forcing-of-circumpolar-deep-water-inflow-and-outlet-glacier-thinning-in-the-amundsen-sea-embayment-west-antarctica-div.pdf,https://app.dimensions.ai/details/publication/pub.1031197994,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0405 Oceanography,
22,100,pub.1029578993,10.1038/ngeo1129,,,Winter warming in West Antarctica caused by central tropical Pacific warming,Nature Geoscience,,,2011-06,2011,4,6,398-403,"All OA; Green, Published",Article,"Ding, Qinghua; Steig, Eric J.; Battisti, David S.; Küttel, Marcel","Steig, Eric J.","Ding, Qinghua (University of Washington); Steig, Eric J. (University of Washington); Battisti, David S. (University of Washington); Küttel, Marcel (University of Washington)",207,39,,22.39,http://www.atmos.washington.edu/~david/ding_etal_2011.pdf,https://app.dimensions.ai/details/publication/pub.1029578993,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
23,200,pub.1088696251,10.1142/9789814343411_0001,,,CONCEPT OF GLOBAL MONSOON,World Scientific Series on Asia-Pacific Weather and Climate,The Global Monsoon System,,2011-04,2011,5,,3-14,Closed,Chapter,"WANG, BIN; DING, QINGHUA; LIU, JIAN",,"WANG, BIN (University of Hawaii at Manoa); DING, QINGHUA (University of Hawaii at Manoa); LIU, JIAN (Nanjing Institute of Geography and Limnology)",12,5,,,,https://app.dimensions.ai/details/publication/pub.1088696251,,,,,,
24,100,pub.1002931666,10.1175/2011jcli3621.1,,,Tropical–Extratropical Teleconnections in Boreal Summer: Observed Interannual Variability*,Journal of Climate,,,2011-04,2011,24,7,1878-1896,Closed,Article,"Ding, Qinghua; Wang, Bin; Wallace, John M.; Branstator, Grant",,"Ding, Qinghua (); Wang, Bin (); Wallace, John M. (); Branstator, Grant ()",125,42,,13.52,,https://app.dimensions.ai/details/publication/pub.1002931666,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
25,100,pub.1001341195,10.1029/2010gl042487,,,Climate control of the global tropical storm days (1965–2008),Geophysical Research Letters,,,2010-04,2010,37,7,n/a-n/a,All OA; Gold,Article,"Wang, Bin; Yang, Yuxing; Ding, Qing‐Hua; Murakami, Hiroyuki; Huang, Fei",,"Wang, Bin (Ocean University of China; University of Hawaii at Manoa); Yang, Yuxing (Ocean University of China); Ding, Qing‐Hua (University of Hawaii at Manoa); Murakami, Hiroyuki (Japan Meteorological Agency); Huang, Fei (Ocean University of China)",35,9,,3.35,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010GL042487,https://app.dimensions.ai/details/publication/pub.1001341195,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
26,100,pub.1063454063,10.1175/2008jcli2675.1,,,Objective Definition of the Indian Summer Monsoon Onset*,Journal of Climate,,,2009-06,2009,22,12,3303-3316,"All OA; Green, Accepted & Submitted",Article,"Wang, Bin; Ding, Qinghua; Joseph, P. V.",,"Wang, Bin (); Ding, Qinghua (); Joseph, P. V. ()",99,26,,8.03,http://www.soest.hawaii.edu/MET/Faculty/bwang/bw/paper/180_BW-ism-onset.pdf,https://app.dimensions.ai/details/publication/pub.1063454063,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
27,100,pub.1006043119,10.1175/2008jcli2353.1,,,Centennial Variations of the Global Monsoon Precipitation in the Last Millennium: Results from ECHO-G Model,Journal of Climate,,,2009-05,2009,22,9,2356-2371,"All OA; Green, Accepted & Submitted",Article,"Liu, Jian; Wang, Bin; Ding, Qinghua; Kuang, Xueyuan; Soon, Willie; Zorita, Eduardo",,"Liu, Jian (); Wang, Bin (); Ding, Qinghua (); Kuang, Xueyuan (); Soon, Willie (); Zorita, Eduardo ()",87,26,,7.06,http://www.hzg.de/imperia/md/content/gkss/zentrale_einrichtungen/bibliothek/journals/2009/liu_27255.pdf,https://app.dimensions.ai/details/publication/pub.1006043119,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
28,100,pub.1018994094,10.1175/2008jcli2449.1,,,Predicting Extreme Phases of the Indian Summer Monsoon*,Journal of Climate,,,2009-01,2009,22,2,346-363,Closed,Article,"Ding, Qinghua; Wang, Bin",,"Ding, Qinghua (); Wang, Bin ()",21,5,,1.83,,https://app.dimensions.ai/details/publication/pub.1018994094,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
29,100,pub.1035548807,10.1175/2008jcli2041.1,,,The Global Monsoon Variability Simulated by CMIP3 Coupled Climate Models*,Journal of Climate,,,2008-10,2008,21,20,5271-5294,Closed,Article,"Kim, Hyung-Jin; Wang, Bin; Ding, Qinghua",,"Kim, Hyung-Jin (); Wang, Bin (); Ding, Qinghua ()",70,10,,6.46,,https://app.dimensions.ai/details/publication/pub.1035548807,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,,
30,100,pub.1010070604,10.1016/j.dynatmoce.2007.05.002,,,Global monsoon: Dominant mode of annual variation in the tropics,Dynamics of Atmospheres and Oceans,,,2008-03,2008,44,3-4,165-183,Closed,Article,"Wang, Bin; Ding, Qinghua","Wang, Bin","Wang, Bin (University of Hawaii at Manoa); Ding, Qinghua (University of Hawaii at Manoa)",188,64,,15.43,,https://app.dimensions.ai/details/publication/pub.1010070604,04 Earth Sciences; 0401 Atmospheric Sciences; 0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences,0405 Oceanography,,
31,100,pub.1006048556,10.2151/jmsj.86.981,,,Changes in Arid Climate over North China Detected by the Koppen Climate Classification,Journal of the Meteorological Society of Japan Ser II,,,2008,2008,86,6,981,All OA; Gold,Article,"KIM, Hyung-Jin; Bin, WANG; Qinghua, DING; CHUNG, Il-Ung",,"KIM, Hyung-Jin (); Bin, WANG (); Qinghua, DING (); CHUNG, Il-Ung ()",16,2,,1.58,https://www.jstage.jst.go.jp/article/jmsj/86/6/86_6_981/_pdf,https://app.dimensions.ai/details/publication/pub.1006048556,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
32,100,pub.1046153587,10.1175/jcli4221.1,,,Intraseasonal Teleconnection between the Summer Eurasian Wave Train and the Indian Monsoon*,Journal of Climate,,,2007-08,2007,20,15,3751-3767,Closed,Article,"Ding, Qinghua; Wang, Bin",,"Ding, Qinghua (); Wang, Bin ()",141,35,,11.79,,https://app.dimensions.ai/details/publication/pub.1046153587,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
33,100,pub.1022117786,10.1029/2005gl025347,,,Changes in global monsoon precipitation over the past 56 years,Geophysical Research Letters,,,2006,2006,33,6,,"All OA; Green, Published",Article,"Wang, Bin; Ding, Qinghua",,"Wang, Bin (University of Hawaii at Manoa); Ding, Qinghua (University of Hawaii at Manoa)",176,47,,17.09,http://www.soest.hawaii.edu/MET/Faculty/bwang/bw/paper/Wang_Ding_2006_GRL.pdf,https://app.dimensions.ai/details/publication/pub.1022117786,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0401 Atmospheric Sciences,,
