,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Deron E Burkepile. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1114376888,10.1016/j.marpolbul.2019.04.066,31179987,,Sediment associated with algal turfs inhibits the settlement of two endangered coral species,Marine Pollution Bulletin,,Animals; Anthozoa; Caribbean Region; Coral Reefs; Ecology; Ecosystem; Endangered Species; Environmental Monitoring; Florida; Geologic Sediments; Microalgae,2019-07,2019,144,,189-195,Closed,Article,"Speare, Kelly E.; Duran, Alain; Miller, Margaret W.; Burkepile, Deron E.","Speare, Kelly E.","Speare, Kelly E. (University of California, Santa Barbara); Duran, Alain (Florida International University); Miller, Margaret W. (Southeast Fisheries Science Center); Burkepile, Deron E. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1114376888,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
11,100,pub.1117158315,10.1007/s00338-019-01832-6,,,Newly dominant benthic invertebrates reshape competitive networks on contemporary Caribbean reefs,Coral Reefs,,,2019-06-14,2019,,,1-12,Closed,Article,"Ladd, Mark C.; Shantz, Andrew A.; Burkepile, Deron E.","Ladd, Mark C.","Ladd, Mark C. (University of California, Santa Barbara); Shantz, Andrew A. (Pennsylvania State University); Burkepile, Deron E. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1117158315,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
12,200,pub.1113295002,10.1093/biosci/biz047,,,The Long Arm of Species Loss: How Will Defaunation Disrupt Ecosystems Down to the Microbial Scale?,BioScience,,,2019-06-01,2019,69,6,443-454,All OA; Gold,Article,"Burkepile, Deron E; Thurber, Rebecca Vega",,"Burkepile, Deron E (); Thurber, Rebecca Vega (Oregon State University)",0,0,,,https://doi.org/10.1093/biosci/biz047,https://app.dimensions.ai/details/publication/pub.1113295002,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
13,500,pub.1113752731,10.1002/eap.1893,31026114,,Identity of coral reef herbivores drives variation in ecological processes over multiple spatial scales,Ecological Applications,,Animals; Anthozoa; Coral Reefs; Ecology; Ecosystem; Fishes; Florida; Herbivory,2019-06,2019,29,4,e01893,Closed,Article,"Ruttenberg, Benjamin I.; Adam, Thomas C.; Duran, Alain; Burkepile, Deron E.",,"Ruttenberg, Benjamin I. (California Polytechnic State University); Adam, Thomas C. (University of California, Santa Barbara); Duran, Alain (Florida International University); Burkepile, Deron E. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113752731,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
14,100,pub.1114022711,10.1007/s00338-019-01808-6,,,Species-specific patterns in corallivory and spongivory among Caribbean parrotfishes,Coral Reefs,,,2019-06,2019,38,3,417-423,Closed,Article,"Burkepile, Deron E.; Adam, Thomas C.; Roycroft, Madelyn; Ladd, Mark C.; Munsterman, Katrina S.; Ruttenberg, Benjamin I.","Burkepile, Deron E.","Burkepile, Deron E. (University of California, Santa Barbara); Adam, Thomas C. (University of California, Santa Barbara); Roycroft, Madelyn (California Polytechnic State University); Ladd, Mark C. (University of California, Santa Barbara); Munsterman, Katrina S. (University of California, Santa Barbara); Ruttenberg, Benjamin I. (California Polytechnic State University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1114022711,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,100,pub.1111326795,10.3389/fmars.2018.00525,,,Corallivory in the Anthropocene: Interactive Effects of Anthropogenic Stressors and Corallivory on Coral Reefs,Frontiers in Marine Science,,,2019-01-11,2019,5,,525,All OA; Gold,Article,"Rice, Mallory M.; Ezzat, Leïla; Burkepile, Deron E.",,"Rice, Mallory M. (University of California, Santa Barbara); Ezzat, Leïla (University of California, Santa Barbara); Burkepile, Deron E. (University of California, Santa Barbara)",1,1,,,https://www.frontiersin.org/articles/10.3389/fmars.2018.00525/pdf,https://app.dimensions.ai/details/publication/pub.1111326795,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,05 Environmental Sciences,06 Biological Sciences
16,500,pub.1110127047,10.1002/ece3.4678,30598811,PMC6303763,Coral epigenetic responses to nutrient stress: Histone H2A.X phosphorylation dynamics and DNA methylation in the staghorn coral Acropora cervicornis,Ecology and Evolution,,,2018-12,2018,8,23,12193-12207,All OA; Gold,Article,"Rodriguez‐Casariego, Javier A.; Ladd, Mark C.; Shantz, Andrew A.; Lopes, Christian; Cheema, Manjinder S.; Kim, Bohyun; Roberts, Steven B.; Fourqurean, James W.; Ausio, Juan; Burkepile, Deron E.; Eirin‐Lopez, Jose M.",,"Rodriguez‐Casariego, Javier A. (Florida International University); Ladd, Mark C. (University of California, Santa Barbara); Shantz, Andrew A. (University of California, Santa Barbara); Lopes, Christian (Florida International University); Cheema, Manjinder S. (University of Victoria); Kim, Bohyun (University of Victoria); Roberts, Steven B. (University of Washington); Fourqurean, James W. (Florida International University); Ausio, Juan (University of Victoria); Burkepile, Deron E. (University of California, Santa Barbara); Eirin‐Lopez, Jose M. (Florida International University)",2,2,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.4678,https://app.dimensions.ai/details/publication/pub.1110127047,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
17,500,pub.1107871626,10.1038/s41559-018-0696-y,30374174,,Change in dominance determines herbivore effects on plant biodiversity,Nature Ecology & Evolution,,Animals; Biodiversity; Desert Climate; Grassland; Herbivory; Mammals; Plants,2018-12,2018,2,12,1925-1932,"All OA; Green, Published",Article,"Koerner, Sally E.; Smith, Melinda D.; Burkepile, Deron E.; Hanan, Niall P.; Avolio, Meghan L.; Collins, Scott L.; Knapp, Alan K.; Lemoine, Nathan P.; Forrestel, Elisabeth J.; Eby, Stephanie; Thompson, Dave I.; Aguado-Santacruz, Gerardo A.; Anderson, John P.; Anderson, T. Michael; Angassa, Ayana; Bagchi, Sumanta; Bakker, Elisabeth S.; Bastin, Gary; Baur, Lauren E.; Beard, Karen H.; Beever, Erik A.; Bohlen, Patrick J.; Boughton, Elizabeth H.; Canestro, Don; Cesa, Ariela; Chaneton, Enrique; Cheng, Jimin; D’Antonio, Carla M.; Deleglise, Claire; Dembélé, Fadiala; Dorrough, Josh; Eldridge, David J.; Fernandez-Going, Barbara; Fernández-Lugo, Silvia; Fraser, Lauchlan H.; Freedman, Bill; García-Salgado, Gonzalo; Goheen, Jacob R.; Guo, Liang; Husheer, Sean; Karembé, Moussa; Knops, Johannes M. H.; Kraaij, Tineke; Kulmatiski, Andrew; Kytöviita, Minna-Maarit; Lezama, Felipe; Loucougaray, Gregory; Loydi, Alejandro; Milchunas, Dan G.; Milton, Suzanne J.; Morgan, John W.; Moxham, Claire; Nehring, Kyle C.; Olff, Han; Palmer, Todd M.; Rebollo, Salvador; Riginos, Corinna; Risch, Anita C.; Rueda, Marta; Sankaran, Mahesh; Sasaki, Takehiro; Schoenecker, Kathryn A.; Schultz, Nick L.; Schütz, Martin; Schwabe, Angelika; Siebert, Frances; Smit, Christian; Stahlheber, Karen A.; Storm, Christian; Strong, Dustin J.; Su, Jishuai; Tiruvaimozhi, Yadugiri V.; Tyler, Claudia; Val, James; Vandegehuchte, Martijn L.; Veblen, Kari E.; Vermeire, Lance T.; Ward, David; Wu, Jianshuang; Young, Truman P.; Yu, Qiang; Zelikova, Tamara Jane","Koerner, Sally E.","Koerner, Sally E. (University of North Carolina at Greensboro); Smith, Melinda D. (Colorado State University); Burkepile, Deron E. (University of California, Santa Barbara); Hanan, Niall P. (New Mexico State University); Avolio, Meghan L. (Johns Hopkins University); Collins, Scott L. (University of New Mexico); Knapp, Alan K. (Colorado State University); Lemoine, Nathan P. (Colorado State University); Forrestel, Elisabeth J. (University of California, Davis); Eby, Stephanie (Northeastern University); Thompson, Dave I. (Scientific Services; University of the Witwatersrand); Aguado-Santacruz, Gerardo A. (); Anderson, John P. (New Mexico State University); Anderson, T. Michael (Wake Forest University); Angassa, Ayana (Hawassa University); Bagchi, Sumanta (Indian Institute of Science Bangalore); Bakker, Elisabeth S. (Netherlands Institute of Ecology); Bastin, Gary (); Baur, Lauren E. (University of New Mexico); Beard, Karen H. (Utah State University); Beever, Erik A. (Montana State University); Bohlen, Patrick J. (University of Central Florida); Boughton, Elizabeth H. (Archbold Biological Station); Canestro, Don (); Cesa, Ariela (); Chaneton, Enrique (University of Buenos Aires); Cheng, Jimin (); D’Antonio, Carla M. (University of California, Santa Barbara); Deleglise, Claire (Grenoble Alpes University); Dembélé, Fadiala (); Dorrough, Josh (NSW Office of Environment & Heritage); Eldridge, David J. (UNSW Sydney); Fernandez-Going, Barbara (The University of Texas at Austin); Fernández-Lugo, Silvia (University of La Laguna); Fraser, Lauchlan H. (Thompson Rivers University); Freedman, Bill (Dalhousie University); García-Salgado, Gonzalo (Dalhousie University); Goheen, Jacob R. (University of Wyoming); Guo, Liang (); Husheer, Sean (); Karembé, Moussa (Université des Sciences, des Techniques et des Technologies de Bamako); Knops, Johannes M. H. (University of Nebraska–Lincoln); Kraaij, Tineke (Nelson Mandela University); Kulmatiski, Andrew (Utah State University); Kytöviita, Minna-Maarit (University of Jyväskylä); Lezama, Felipe (University of the Republic); Loucougaray, Gregory (Grenoble Alpes University); Loydi, Alejandro (); Milchunas, Dan G. (Colorado State University); Milton, Suzanne J. (); Morgan, John W. (La Trobe University); Moxham, Claire (Department of Environment, Land, Water and Planning); Nehring, Kyle C. (Utah State University); Olff, Han (University of Groningen); Palmer, Todd M. (University of Florida); Rebollo, Salvador (University of Alcalá); Riginos, Corinna (The Nature Conservancy); Risch, Anita C. (Swiss Federal Institute for Forest, Snow and Landscape Research); Rueda, Marta (Estación Biológica de Doñana); Sankaran, Mahesh (University of Leeds; University of Agricultural Sciences, Bangalore); Sasaki, Takehiro (Yokohama National University); Schoenecker, Kathryn A. (United States Geological Survey); Schultz, Nick L. (Federation University); Schütz, Martin (Swiss Federal Institute for Forest, Snow and Landscape Research); Schwabe, Angelika (Technical University of Darmstadt); Siebert, Frances (North-West University); Smit, Christian (University of Groningen); Stahlheber, Karen A. (University of Wisconsin–Green Bay); Storm, Christian (Technical University of Darmstadt); Strong, Dustin J. (Agricultural Research Service); Su, Jishuai (North West Agriculture and Forestry University); Tiruvaimozhi, Yadugiri V. (University of Agricultural Sciences, Bangalore); Tyler, Claudia (University of California, Santa Barbara); Val, James (NSW Office of Environment & Heritage); Vandegehuchte, Martijn L. (Swiss Federal Institute for Forest, Snow and Landscape Research; Ghent University); Veblen, Kari E. (Utah State University); Vermeire, Lance T. (Agricultural Research Service); Ward, David (Kent State University); Wu, Jianshuang (Institute of Geographic Sciences and Natural Resources Research); Young, Truman P. (University of California, Davis; Mpala Research Center and Wildlife Foundation); Yu, Qiang (Chinese Academy of Agricultural Sciences); Zelikova, Tamara Jane (University of Wyoming)",8,8,,,http://eprints.whiterose.ac.uk/138845/1/Change%20in%20Dominance.pdf,https://app.dimensions.ai/details/publication/pub.1107871626,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
18,200,pub.1110341763,10.1002/fee.1976,,,A response to Doropoulos and Babcock,Frontiers in Ecology and the Environment,,,2018-12,2018,16,10,559-560,Closed,Article,"Ladd, Mark C; Burkepile, Deron E",,"Ladd, Mark C (University of California, Santa Barbara); Burkepile, Deron E (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110341763,,,,,,
19,500,pub.1106984189,10.1007/s00227-018-3411-2,30294007,PMC6153878,Interactive effects of herbivory and substrate orientation on algal community dynamics on a coral reef,Marine Biology,,,2018-10,2018,165,10,156,"All OA; Green, Published",Article,"Duran, Alain; Collado-Vides, L.; Palma, L.; Burkepile, D. E.","Duran, Alain","Duran, Alain (Florida International University); Collado-Vides, L. (Florida International University); Palma, L. (Florida International University); Burkepile, D. E. (University of California, Santa Barbara)",6,6,,,https://digitalcommons.fiu.edu/cgi/viewcontent.cgi?article=1193&context=cas_bio,https://app.dimensions.ai/details/publication/pub.1106984189,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,100,pub.1107802543,10.1007/s00227-018-3425-9,,,Correction to: Interactive effects of herbivory and substrate orientation on algal community dynamics on a coral reef,Marine Biology,,,2018-10,2018,165,10,176,All OA; Gold,Article,"Duran, Alain; Collado-Vides, L.; Palma, L.; Burkepile, D. E.","Duran, Alain","Duran, Alain (Florida International University); Collado-Vides, L. (Florida International University); Palma, L. (Florida International University); Burkepile, D. E. (University of California, Santa Barbara)",0,0,,,https://link.springer.com/content/pdf/10.1007%2Fs00227-018-3425-9.pdf,https://app.dimensions.ai/details/publication/pub.1107802543,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
21,500,pub.1104656576,10.1038/s41559-018-0589-0,29915342,,Local management actions can increase coral resilience to thermally-induced bleaching,Nature Ecology & Evolution,,Animals; Anthozoa; Climate Change; Conservation of Natural Resources; Coral Reefs; Hot Temperature; Snails,2018-07,2018,2,7,1075-1079,"All OA; Green, Accepted & Submitted",Article,"Shaver, Elizabeth C.; Burkepile, Deron E.; Silliman, Brian R.","Shaver, Elizabeth C.","Shaver, Elizabeth C. (Duke University); Burkepile, Deron E. (University of California, Santa Barbara); Silliman, Brian R. (Duke University)",11,11,,,http://marxiv.org/rfu3x//download,https://app.dimensions.ai/details/publication/pub.1104656576,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
22,300,pub.1105012454,10.1038/s41559-018-0609-0,29930357,,Publisher Correction: Local management actions can increase coral resilience to thermally-induced bleaching,Nature Ecology & Evolution,,,2018-07,2018,2,7,1189-1189,All OA; Gold,Article,"Shaver, Elizabeth C.; Burkepile, Deron E.; Silliman, Brian R.","Shaver, Elizabeth C.","Shaver, Elizabeth C. (Duke University); Burkepile, Deron E. (University of California, Santa Barbara); Silliman, Brian R. (Duke University)",0,0,,,https://www.nature.com/articles/s41559-018-0609-0.pdf,https://app.dimensions.ai/details/publication/pub.1105012454,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
23,200,pub.1103539902,10.3354/meps12600,,,Comparative analysis of foraging behavior and bite mechanics reveals complex functional diversity among Caribbean parrotfishes,Marine Ecology Progress Series,,,2018-06-11,2018,597,,207-220,Closed,Article,"Adam, TC; Duran, A; Fuchs, CE; Roycroft, MV; Rojas, MC; Ruttenberg, BI; Burkepile, DE",,"Adam, TC (); Duran, A (); Fuchs, CE (); Roycroft, MV (); Rojas, MC (); Ruttenberg, BI (); Burkepile, DE ()",15,15,,,,https://app.dimensions.ai/details/publication/pub.1103539902,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
24,100,pub.1104372755,10.1002/ecs2.2216,,,Estimates of fish and coral larvae as nutrient subsidies to coral reef ecosystems,Ecosphere,,,2018-06,2018,9,6,e02216,All OA; Gold,Article,"Allgeier, Jacob E.; Speare, Kelly E.; Burkepile, Deron E.",,"Allgeier, Jacob E. (University of Michigan); Speare, Kelly E. (University of California, Santa Barbara); Burkepile, Deron E. (University of California, Santa Barbara)",2,2,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2216,https://app.dimensions.ai/details/publication/pub.1104372755,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
25,100,pub.1103150004,10.1002/fee.1792,,,Harnessing ecological processes to facilitate coral restoration,Frontiers in Ecology and the Environment,,,2018-05,2018,16,4,239-247,Closed,Article,"Ladd, Mark C; Miller, Margaret W; Hunt, John H; Sharp, William C; Burkepile, Deron E",,"Ladd, Mark C (University of California, Santa Barbara); Miller, Margaret W (Southeast Fisheries Science Center); Hunt, John H (); Sharp, William C (); Burkepile, Deron E (University of California, Santa Barbara)",17,17,,,,https://app.dimensions.ai/details/publication/pub.1103150004,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
