,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Chandra J Krintz. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
16,100,pub.1095235557,10.1109/ic2e.2017.27,,,EXFed: Efficient Cross-Federation with Availability SLAs on Preemptible IaaS Instances,,2017 IEEE International Conference on Cloud Engineering (IC2E),,2017-04,2017,,,75-81,Closed,Proceeding,"Pucher, Alexander; Wolski, Rich; Krintz, Chandra",,"Pucher, Alexander (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1095235557,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
17,200,pub.1091664874,10.1007/978-1-4899-7993-3_2206-2,,,Cloud Computing,,Encyclopedia of Database Systems,,2017,2017,,,1-7,Closed,Chapter,"Krintz, Chandra",,"Krintz, Chandra ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1091664874,,,,,,
18,200,pub.1085908790,10.1007/978-1-4899-7993-3_80636-1,,,Platform-as-a-Service (PaaS),,Encyclopedia of Database Systems,,2017,2017,,,1-2,Closed,Chapter,"Krintz, Chandra",,"Krintz, Chandra ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1085908790,,,,,,
19,200,pub.1085707468,10.1007/978-1-4899-7993-3_80635-1,,,Software-as-a-Service (SaaS),,Encyclopedia of Database Systems,,2017,2017,,,1-2,Closed,Chapter,"Krintz, Chandra",,"Krintz, Chandra ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1085707468,,,,,,
20,200,pub.1085706682,10.1007/978-1-4899-7993-3_80637-1,,,Infrastructure-as-a-Service (IaaS),,Encyclopedia of Database Systems,,2017,2017,,,1-2,Closed,Chapter,"Krintz, Chandra",,"Krintz, Chandra ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1085706682,,,,,,
21,100,pub.1097027779,10.1145/3054977.3054986,,,Where's The Bear?: Automating Wildlife Image Processing Using IoT and Edge Cloud Systems,,Proceedings of the Second International Conference on Internet-of-Things Design and Implementation - IoTDI '17,,2017,2017,,,247-258,Closed,Proceeding,"Elias, Andy Rosales; Golubovic, Nevena; Krintz, Chandra; Wolski, Rich",,"Elias, Andy Rosales (University of California, Santa Barbara); Golubovic, Nevena (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",12,11,,9.92,,https://app.dimensions.ai/details/publication/pub.1097027779,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
22,100,pub.1086030297,10.1145/3038912.3052649,,,Performance Monitoring and Root Cause Analysis for Cloud-hosted Web Applications,,Proceedings of the 26th International Conference on World Wide Web - WWW '17,,2017,2017,,,469-478,Closed,Proceeding,"Jayathilaka, Hiranya; Krintz, Chandra; Wolski, Rich",,"Jayathilaka, Hiranya (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",17,17,,14.05,,https://app.dimensions.ai/details/publication/pub.1086030297,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
23,400,pub.1003337168,10.1371/journal.pcbi.1005220,27930676,PMC5145134,Stochastic Simulation Service: Bridging the Gap between the Computational Expert and the Biologist,PLoS Computational Biology,,Computational Biology; Computer Simulation; Software; Stochastic Processes,2016-12-08,2016,12,12,e1005220,All OA; Gold,Article,"Drawert, Brian; Hellander, Andreas; Bales, Ben; Banerjee, Debjani; Bellesia, Giovanni; Daigle, Bernie J.; Douglas, Geoffrey; Gu, Mengyuan; Gupta, Anand; Hellander, Stefan; Horuk, Chris; Nath, Dibyendu; Takkar, Aviral; Wu, Sheng; Lötstedt, Per; Krintz, Chandra; Petzold, Linda R.",,"Drawert, Brian (University of California, Santa Barbara); Hellander, Andreas (Uppsala University); Bales, Ben (University of California, Santa Barbara); Banerjee, Debjani (University of California, Santa Barbara); Bellesia, Giovanni (University of California, Santa Barbara); Daigle, Bernie J. (University of Memphis); Douglas, Geoffrey (University of California, Santa Barbara); Gu, Mengyuan (University of California, Santa Barbara); Gupta, Anand (University of California, Santa Barbara); Hellander, Stefan (University of California, Santa Barbara); Horuk, Chris (University of California, Santa Barbara); Nath, Dibyendu (University of California, Santa Barbara); Takkar, Aviral (University of California, Santa Barbara); Wu, Sheng (University of California, Santa Barbara); Lötstedt, Per (Uppsala University); Krintz, Chandra (University of California, Santa Barbara); Petzold, Linda R. (University of California, Santa Barbara)",20,16,0.65,11.77,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1005220&type=printable,https://app.dimensions.ai/details/publication/pub.1003337168,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
24,100,pub.1094669596,10.1109/bigdata.2016.7840620,,,Big Data Framework Interference in Restricted Private Cloud Settings,,2016 IEEE International Conference on Big Data (Big Data),,2016-12,2016,,,335-340,Closed,Proceeding,"Dimopoulos, Stratos; Krintz, Chandra; Wolski, Rich",,"Dimopoulos, Stratos (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",4,2,,2.3,,https://app.dimensions.ai/details/publication/pub.1094669596,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
25,100,pub.1028510410,10.1145/3003464.3003468,,,Extracting spatial information from social media in support of agricultural management decisions,,Proceedings of the 10th Workshop on Geographic Information Retrieval - GIR '16,,2016,2016,,,4,Closed,Proceeding,"Golubovic, Nevena; Krintz, Chandra; Wolski, Rich; Lafia, Sara; Hervey, Thomas; Kuhn, Werner",,"Golubovic, Nevena (); Krintz, Chandra (); Wolski, Rich (); Lafia, Sara (); Hervey, Thomas (); Kuhn, Werner ()",3,2,,1.77,,https://app.dimensions.ai/details/publication/pub.1028510410,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
26,100,pub.1003560844,10.1007/978-3-319-33681-7_14,,,On the Use of Consumer-Grade Activity Monitoring Devices to Improve Predictions of Glycemic Variability,"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",Smart City 360°,,2016,2016,166,,166-178,Closed,Chapter,"Krintz, Chandra; Wolski, Rich; Pinsker, Jordan E.; Dimopoulos, Stratos; Brevik, John; Dassau, Eyal","Krintz, Chandra","Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara); Pinsker, Jordan E. (Sansum Diabetes Research Institute); Dimopoulos, Stratos (University of California, Santa Barbara); Brevik, John (California State University, Long Beach); Dassau, Eyal (University of California, Santa Barbara)",1,1,,0.52,,https://app.dimensions.ai/details/publication/pub.1003560844,11 Medical and Health Sciences; 1103 Clinical Sciences,11 Medical and Health Sciences,1103 Clinical Sciences,,,
27,100,pub.1094583764,10.1109/cloudcom.2015.37,,,Service-Level Agreement Durability for Web Service Response Time,,2015 IEEE 7th International Conference on Cloud Computing Technology and Science (CloudCom),,2015-11,2015,,,331-338,Closed,Proceeding,"Jayathilaka, Hiranya; Krintz, Chandra; Wolski, Rich",,"Jayathilaka, Hiranya (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",1,1,,0.5,,https://app.dimensions.ai/details/publication/pub.1094583764,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
28,100,pub.1095507278,10.1109/ic2e.2015.14,,,Using Trustworthy Simulation to Engineer Cloud Schedulers,,2015 IEEE International Conference on Cloud Engineering,,2015-03,2015,,,256-265,"All OA; Green, Accepted & Submitted",Proceeding,"Pucher, Alexander; Gul, Emre; Wolski, Rich; Krintz, Chandra",,"Pucher, Alexander (University of California, Santa Barbara); Gul, Emre (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",6,2,,2.94,http://www.cs.ucsb.edu/%7Eckrintz/papers/ic2e15.pdf,https://app.dimensions.ai/details/publication/pub.1095507278,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
29,100,pub.1094105185,10.1109/ic2e.2015.70,,,"SuperContra: Cross-Language, Cross-Runtime Contracts As a Service",,2015 IEEE International Conference on Cloud Engineering,,2015-03,2015,,,283-286,"All OA; Green, Accepted & Submitted",Proceeding,"Dimopoulos, Stratos; Krintz, Chandra; Wolski, Rich; Gupta, Anand",,"Dimopoulos, Stratos (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara); Gupta, Anand (University of California, Santa Barbara)",0,0,,0,http://cs.ucsb.edu/%7Eckrintz/papers/fopaas15-supercontra.pdf,https://app.dimensions.ai/details/publication/pub.1094105185,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
30,100,pub.1093221341,10.1109/ic2e.2015.69,,,EAGER: Deployment-Time API Governance for Modern PaaS Clouds,,2015 IEEE International Conference on Cloud Engineering,,2015-03,2015,,,275-278,"All OA; Green, Accepted & Submitted",Proceeding,"Jayathilaka, Hiranya; Krintz, Chandra; Wolski, Rich",,"Jayathilaka, Hiranya (); Krintz, Chandra (); Wolski, Rich ()",1,0,,0.5,http://www.cs.ucsb.edu/%7Eckrintz/papers/fopaas15-eager.pdf,https://app.dimensions.ai/details/publication/pub.1093221341,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
31,100,pub.1021452394,10.1145/2806777.2806842,,,Response time service level agreements for cloud-hosted web applications,,Proceedings of the Sixth ACM Symposium on Cloud Computing - SoCC '15,,2015,2015,,,315-328,"All OA; Green, Accepted & Submitted",Proceeding,"Jayathilaka, Hiranya; Krintz, Chandra; Wolski, Rich",,"Jayathilaka, Hiranya (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",13,6,,8.83,http://cs.ucsb.edu/%7Eckrintz/papers/socc15.pdf,https://app.dimensions.ai/details/publication/pub.1021452394,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
32,200,pub.1100570326,10.29268/stsc.2014.2.4.1,,,USING SYNTACTIC AND SEMANTIC SIMILARITY OF WEB APIS TO ESTIMATE PORTING EFFORT,Services Transactions on Services Computing,,,2014-10,2014,2,4,1-14,All OA; Gold,Article,"Jayathilaka, Hiranya; Pucher, Alexander; Krintz, Chandra; Wolski, Rich",,"Jayathilaka, Hiranya (); Pucher, Alexander (); Krintz, Chandra (); Wolski, Rich ()",1,0,,,https://doi.org/10.29268/stsc.2014.2.4.1,https://app.dimensions.ai/details/publication/pub.1100570326,,,,,,
33,100,pub.1093814148,10.1109/hpcsim.2014.6903710,,,Automatic and Portable Cloud Deployment for Scientific Simulations,,2014 International Conference on High Performance Computing & Simulation (HPCS),,2014-07,2014,,,374-381,"All OA; Green, Accepted & Submitted",Proceeding,"Horuk, Christopher B; Douglas, Geoffrey; Gupta, Anand; Krintz, Chandra; Bales, Ben; Bellesia, Giovanni; Drawert, Brian; Wolski, Rich; Petzold, Linda; Hellander, Andreas",,"Horuk, Christopher B (University of California, Santa Barbara); Douglas, Geoffrey (University of California, Santa Barbara); Gupta, Anand (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Bales, Ben (University of California, Santa Barbara); Bellesia, Giovanni (University of California, Santa Barbara); Drawert, Brian (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara); Petzold, Linda (University of California, Santa Barbara); Hellander, Andreas (Uppsala University)",4,1,,1.78,http://www.cs.ucsb.edu/~ckrintz/papers/crunner14tr.pdf,https://app.dimensions.ai/details/publication/pub.1093814148,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0803 Computer Software,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0803 Computer Software,,
34,100,pub.1095212941,10.1109/scc.2014.105,,,Towards Automatically Estimating Porting Effort between Web Service APIs,,2014 IEEE International Conference on Services Computing,,2014-06,2014,,,774-781,"All OA; Green, Accepted & Submitted",Proceeding,"Jayathilaka, Hiranya; Krintz, Chandra; Wolski, Rich",,"Jayathilaka, Hiranya (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",2,0,,0.87,http://www.cs.ucsb.edu/%7Eckrintz/papers/scc14.pdf,https://app.dimensions.ai/details/publication/pub.1095212941,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
35,100,pub.1095079599,10.1109/ic2e.2014.90,,,Cloud Platform Support for API Governance,,2014 IEEE International Conference on Cloud Engineering,,2014-03,2014,,,615-618,Closed,Proceeding,"Krintz, Chandra; Jayathilaka, Hiranya; Dimopoulos, Stratos; Pucher, Alexander; Wolski, Rich; Bultan, Tevfik",,"Krintz, Chandra (University of California, Santa Barbara); Jayathilaka, Hiranya (University of California, Santa Barbara); Dimopoulos, Stratos (University of California, Santa Barbara); Pucher, Alexander (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara); Bultan, Tevfik (University of California, Santa Barbara)",1,0,,0.44,,https://app.dimensions.ai/details/publication/pub.1095079599,08 Information and Computing Sciences; 0803 Computer Software; 0806 Information Systems,08 Information and Computing Sciences,0803 Computer Software,0806 Information Systems,,
36,100,pub.1003162787,10.1007/978-3-319-14609-6_7,,,CloudTracker: Using Execution Provenance to Optimize the Cost of Cloud Use,Lecture Notes in Computer Science,"Economics of Grids, Clouds, Systems, and Services",,2014,2014,8914,,99-113,"All OA; Green, Accepted & Submitted",Chapter,"Douglas, Geoffrey; Drawert, Brian; Krintz, Chandra; Wolski, Rich","Krintz, Chandra","Douglas, Geoffrey (University of California, Santa Barbara); Drawert, Brian (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Wolski, Rich (University of California, Santa Barbara)",3,0,,1.3,http://www.cs.ucsb.edu/%7Eckrintz/papers/gecon14.pdf,https://app.dimensions.ai/details/publication/pub.1003162787,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
37,400,pub.1061404232,10.1109/mic.2013.38,23828721,PMC3698982,"The AppScale Cloud Platform: Enabling Portable, Scalable Web Application Deployment",IEEE Internet Computing,,,2013-03,2013,17,2,72-75,"All OA; Green, Accepted & Submitted",Article,"Krintz, Chandra",,"Krintz, Chandra (University of California, Santa Barbara)",27,7,0,11.43,http://europepmc.org/articles/pmc3698982?pdf=render,https://app.dimensions.ai/details/publication/pub.1061404232,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
38,100,pub.1010770917,10.1007/s10723-012-9238-z,,,Cloud Platform Datastore Support,Journal of Grid Computing,,,2013-03,2013,11,1,63-81,"All OA; Green, Accepted & Submitted",Article,"Chohan, Navraj; Bunch, Chris; Krintz, Chandra; Canumalla, Navyasri","Krintz, Chandra","Chohan, Navraj (University of California, Santa Barbara); Bunch, Chris (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Canumalla, Navyasri (University of California, Santa Barbara)",6,3,,2.59,http://www.cs.ucsb.edu/~ckrintz/papers/jgf12-datastores.pdf,https://app.dimensions.ai/details/publication/pub.1010770917,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0803 Computer Software; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0803 Computer Software,0806 Information Systems,
39,100,pub.1094514639,10.1109/sc.companion.2012.360,,,Stochastic Simulation Service: Towards an Integrated Development Environment for Modeling and Simulation of Stochastic Biochemical Systems,,"2012 SC Companion: High Performance Computing, Networking Storage and Analysis",,2012-11,2012,,,2303-2324,Closed,Proceeding,"Petzold, Linda; Krintz, Chandra",,"Petzold, Linda (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1094514639,,,,,,
40,100,pub.1094404734,10.1109/ucc.2012.12,,,A Pluggable Autoscaling Service for Open Cloud PaaS Systems,,2012 IEEE Fifth International Conference on Utility and Cloud Computing,,2012-11,2012,,,191-194,"All OA; Green, Accepted & Submitted",Proceeding,"Bunch, Chris; Arora, Vaibhav; Chohan, Navraj; Krintz, Chandra; Hegde, Shashank; Srivastava, Ankit",,"Bunch, Chris (University of California, Santa Barbara); Arora, Vaibhav (University of California, Santa Barbara); Chohan, Navraj (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara); Hegde, Shashank (University of California, Santa Barbara); Srivastava, Ankit (University of California, Santa Barbara)",13,4,,5.29,http://www.cs.ucsb.edu/%7Eckrintz/papers/ucc12.pdf,https://app.dimensions.ai/details/publication/pub.1094404734,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
41,100,pub.1094552136,10.1109/aero.2012.6187353,,,Supporting Placement and Data Consistency Strategies using Hybrid Clouds,,2012 IEEE Aerospace Conference,,2012-03,2012,1,,1-8,"All OA; Green, Accepted & Submitted",Proceeding,"Bunch, Chris; Chohan, Navraj; Krintz, Chandra",,"Bunch, Chris (University of California, Santa Barbara); Chohan, Navraj (University of California, Santa Barbara); Krintz, Chandra (University of California, Santa Barbara)",1,0,,0.4,http://www.cs.ucsb.edu/~ckrintz/papers/aerospace12.pdf,https://app.dimensions.ai/details/publication/pub.1094552136,08 Information and Computing Sciences; 0803 Computer Software,08 Information and Computing Sciences,0803 Computer Software,,,
