,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Nicholas J Nidzieko. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1094225328,10.1109/oceans.2012.6405120,,,Observing the Urban Estuary: Review and Prospect,,2012 Oceans,,2012-10,2012,,,1-9,Closed,Proceeding,"Boicourt, W.C.; Li, M.; Nidzieko, N.; Blumberg, A.F.; Georgas, N.; Kelly, E.J.; Updyke, T.G.; Wilson, W.D.",,"Boicourt, W.C. (University of Maryland Center For Environmental Sciences); Li, M. (University of Maryland Center For Environmental Sciences); Nidzieko, N. (University of Maryland Center For Environmental Sciences); Blumberg, A.F. (Stevens Institute of Technology); Georgas, N. (Stevens Institute of Technology); Kelly, E.J. (); Updyke, T.G. (Old Dominion University); Wilson, W.D. ()",1,0,,0.41,,https://app.dimensions.ai/details/publication/pub.1094225328,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
11,100,pub.1025027833,10.1029/2011jc007384,,,Tidal asymmetry and velocity skew over tidal flats and shallow channels within a macrotidal river delta,Journal of Geophysical Research,,,2012-03,2012,117,C3,n/a-n/a,All OA; Gold,Article,"Nidzieko, N. J.; Ralston, D. K.",,"Nidzieko, N. J. (Woods Hole Oceanographic Institution; University of Maryland Center For Environmental Sciences); Ralston, D. K. (Woods Hole Oceanographic Institution)",36,11,,6.5,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011JC007384,https://app.dimensions.ai/details/publication/pub.1025027833,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
12,100,pub.1038212517,10.1016/j.csr.2011.12.005,,,"Coupled physical, chemical, and microbiological measurements suggest a connection between internal waves and surf zone water quality in the Southern California Bight",Continental Shelf Research,,,2012-02,2012,34,,64-78,"All OA; Green, Published",Article,"Wong, Simon H.C.; Santoro, Alyson E.; Nidzieko, Nicholas J.; Hench, James L.; Boehm, Alexandria B.","Boehm, Alexandria B.","Wong, Simon H.C. (Stanford University); Santoro, Alyson E. (University of Maryland Center For Environmental Sciences); Nidzieko, Nicholas J. (University of Maryland Center For Environmental Sciences); Hench, James L. (Duke University); Boehm, Alexandria B. (Stanford University)",17,1,,1.93,https://dukespace.lib.duke.edu/dspace/bitstream/10161/10768/1/Wong_et_al_2012_CSR.pdf,https://app.dimensions.ai/details/publication/pub.1038212517,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
13,100,pub.1037390568,10.1029/2011jc007144,,,Similarity scaling of turbulence spectra and cospectra in a shallow tidal flow,Journal of Geophysical Research,,,2011,2011,116,C10,,All OA; Gold,Article,"Walter, Ryan K.; Nidzieko, Nicholas J.; Monismith, Stephen G.",,"Walter, Ryan K. (Stanford University); Nidzieko, Nicholas J. (Woods Hole Oceanographic Institution; University of Maryland Center For Environmental Sciences); Monismith, Stephen G. (Stanford University)",26,4,,7.23,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011JC007144,https://app.dimensions.ai/details/publication/pub.1037390568,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
14,100,pub.1011141031,10.4319/lo.2010.55.5.1881,,,Flow effects on benthic grazing on phytoplankton by a Caribbean reef,Limnology and Oceanography,,,2010-09,2010,55,5,1881-1892,All OA; Gold,Article,"Monismith, Stephen G.; Davis, Kristen A.; Shellenbarger, Gregory G.; Hench, James L.; Nidzieko, Nicholas J.; Santoro, Alyson E.; Reidenbach, Matthew A.; Rosman, Johanna H.; Holtzman, Roi; Martens, Christopher S.; Lindquist, Niels L.; Southwell, Melissa W.; Geninf, Amatzia",,"Monismith, Stephen G. (Stanford University); Davis, Kristen A. (Stanford University; Woods Hole Oceanographic Institution); Shellenbarger, Gregory G. (Stanford University); Hench, James L. (Stanford University; Duke University); Nidzieko, Nicholas J. (Stanford University; Woods Hole Oceanographic Institution); Santoro, Alyson E. (Stanford University; Woods Hole Oceanographic Institution); Reidenbach, Matthew A. (University of Virginia); Rosman, Johanna H. (Stanford University; University of North Carolina at Chapel Hill); Holtzman, Roi (University of California, Davis); Martens, Christopher S. (University of North Carolina System); Lindquist, Niels L. (University of North Carolina at Chapel Hill); Southwell, Melissa W. (University of North Carolina at Chapel Hill); Geninf, Amatzia ()",21,8,,1.97,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2010.55.5.1881,https://app.dimensions.ai/details/publication/pub.1011141031,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,100,pub.1012479989,10.4319/lo.2010.55.1.0264,,,Contrasting spring and summer phytoplankton dynamics in the nearshore Southern California Bight,Limnology and Oceanography,,,2010-01,2010,55,1,264-278,All OA; Gold,Article,"Santoro, Alyson E.; Nidzieko, Nicholas J.; van Dijken, Gert L.; Arrigo, Kevin R.; Boehma, Alexandria B.",,"Santoro, Alyson E. (Stanford University); Nidzieko, Nicholas J. (Stanford University); van Dijken, Gert L. (Stanford University); Arrigo, Kevin R. (Stanford University); Boehma, Alexandria B. (Stanford University)",5,0,,0.52,http://onlinelibrary.wiley.com/doi/10.4319/lo.2010.55.1.0264/pdf,https://app.dimensions.ai/details/publication/pub.1012479989,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
16,100,pub.1021201362,10.1029/2009jc005864,,,Tidal asymmetry in estuaries with mixed semidiurnal/diurnal tides,Journal of Geophysical Research,,,2010,2010,115,C8,,"All OA; Green, Published",Article,"Nidzieko, Nicholas J.",,"Nidzieko, Nicholas J. (Stanford University; Woods Hole Oceanographic Institution)",59,19,,8.19,http://darchive.mblwhoilibrary.org/bitstream/1912/3888/1/2009JC005864.pdf,https://app.dimensions.ai/details/publication/pub.1021201362,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
17,100,pub.1035978416,10.4319/lo.2009.54.6.1964,,,"Tidally regulated chemical fluxes across the sediment—water interface in Elkhorn Slough, California: Evidence from a coupled geochemical and hydrodynamic approach",Limnology and Oceanography,,,2009-11,2009,54,6,1964-1980,All OA; Gold,Article,"Breier, J. A.; Nidzieko, N.; Monismith, S.; Moore, W.; Paytan, A.",,"Breier, J. A. (Stanford University); Nidzieko, N. (Stanford University); Monismith, S. (Stanford University); Moore, W. (); Paytan, A. (University of California, Santa Cruz)",10,0,,1.03,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2009.54.6.1964,https://app.dimensions.ai/details/publication/pub.1035978416,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
18,100,pub.1005551518,10.1175/2008jpo4017.1,,,Lateral Circulation in Well-Mixed and Stratified Estuarine Flows with Curvature,Journal of Physical Oceanography,,,2009-04,2009,39,4,831-851,Closed,Article,"Nidzieko, Nicholas J.; Hench, James L.; Monismith, Stephen G.",,"Nidzieko, Nicholas J. (); Hench, James L. (); Monismith, Stephen G. ()",34,8,,7.71,,https://app.dimensions.ai/details/publication/pub.1005551518,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
19,100,pub.1037647585,10.1007/s12237-008-9109-9,,,Thermal Variability in a Tidal River,Chesapeake Science,,,2009-01,2009,32,1,100-110,Closed,Article,"Monismith, Stephen G.; Hench, James L.; Fong, Derek A.; Nidzieko, Nicholas J.; Fleenor, William E.; Doyle, Laura P.; Schladow, S. Geoffrey","Monismith, Stephen G.","Monismith, Stephen G. (Stanford University); Hench, James L. (Stanford University); Fong, Derek A. (Stanford University); Nidzieko, Nicholas J. (Stanford University); Fleenor, William E. (University of California, Davis); Doyle, Laura P. (University of California, Davis); Schladow, S. Geoffrey (University of California, Davis)",12,3,,,,https://app.dimensions.ai/details/publication/pub.1037647585,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
20,200,pub.1096576255,10.1061/40990(324)20,,,Parameterization of Estuarine Mixing Processes in the San Francisco Estuary Based on Analysis of Three-Dimensional Hydrodynamic Simulations,,Estuarine and Coastal Modeling (2007),,2008-08-25,2008,,,322-338,Closed,Proceeding,"Gross, Edward S.; Nidzieko, Nicholas J.; MacWilliams, Michael L.; Stacey, Mark T.",,"Gross, Edward S. (); Nidzieko, Nicholas J. (); MacWilliams, Michael L. (); Stacey, Mark T. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1096576255,,,,,,
21,100,pub.1032852166,10.1016/j.csr.2007.10.006,,,Time-averaged near-bed suspended sediment concentrations under waves and currents: Comparison of measured and model estimates,Continental Shelf Research,,,2008-02,2008,28,3,470-484,Closed,Article,"Cacchione, David A.; Thorne, Peter D.; Agrawal, Yogesh; Nidzieko, Nicholas J.","Cacchione, David A.","Cacchione, David A. (); Thorne, Peter D. (National Oceanography Centre); Agrawal, Yogesh (Sequoia Scientific (United States)); Nidzieko, Nicholas J. (Stanford University)",12,1,,0.94,,https://app.dimensions.ai/details/publication/pub.1032852166,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
22,100,pub.1024576866,10.1175/jtech1885.1,,,Comparison of Reynolds Stress Estimates Derived from Standard and Fast-Ping ADCPs,Journal of Atmospheric and Oceanic Technology,,,2006-06,2006,23,6,854-861,Closed,Article,"Nidzieko, Nicholas J.; Fong, Derek A.; Hench, James L.",,"Nidzieko, Nicholas J. (); Fong, Derek A. (); Hench, James L. ()",23,2,,2.68,,https://app.dimensions.ai/details/publication/pub.1024576866,0911 Maritime Engineering; 09 Engineering; 0405 Oceanography; 04 Earth Sciences; 0401 Atmospheric Sciences,0911 Maritime Engineering,09 Engineering,0405 Oceanography,04 Earth Sciences,0401 Atmospheric Sciences
