,"""About the data: Exported on Nov 06, 2019. Criteria: Researcher is Werner Kuhn. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,200,pub.1072758287,10.5311/josis.2013.7.158,,,"Synthesizing population, health, and place",Journal of Spatial Information Science,,,2013-12-06,2013,,7,,All OA; Gold,Article,"Raubal, Martin; Jacquez, Geoffrey; Wilson, John; Kuhn, Werner",,"Raubal, Martin (); Jacquez, Geoffrey (); Wilson, John (); Kuhn, Werner ()",2,1,,,https://doi.org/10.5311/josis.2013.7.158,https://app.dimensions.ai/details/publication/pub.1072758287,,,,,,
11,100,pub.1041420218,10.1145/2535708.2535716,,,Envisioning a future for a spatial-health CyberGIS marketplace,,Proceedings of the Second ACM SIGSPATIAL International Workshop on the Use of GIS in Public Health - HealthGIS '13,,2013,2013,,,27-30,Closed,Proceeding,"Goldberg, Daniel W.; Cockburn, Myles G.; Hammond, Tracy A.; Jacquez, Geoffrey M.; Janies, Daniel; Knoblock, Craig; Kuhn, Werner; Pultar, Edward; Raubal, Martin",,"Goldberg, Daniel W. (Texas A&M University); Cockburn, Myles G. (University of Southern California); Hammond, Tracy A. (Texas A&M University); Jacquez, Geoffrey M. (University at Buffalo, State University of New York); Janies, Daniel (University of North Carolina at Charlotte); Knoblock, Craig (University of Southern California); Kuhn, Werner (University of Münster); Pultar, Edward (University of Southern California); Raubal, Martin (Swiss Federal Institute of Technology in Zurich)",3,0,,1.27,,https://app.dimensions.ai/details/publication/pub.1041420218,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
12,100,pub.1034753624,10.1007/978-3-319-01790-7_12,,,Linked Data and Time – Modeling Researcher Life Lines by Events,Lecture Notes in Computer Science,Spatial Information Theory,,2013,2013,8116,,205-223,"All OA; Green, Accepted & Submitted",Chapter,"Trame, Johannes; Keßler, Carsten; Kuhn, Werner",,"Trame, Johannes (University of Münster); Keßler, Carsten (University of Münster); Kuhn, Werner (University of Münster)",6,2,,2.61,http://carsten.io/trame-kessler-kuhn-cosit2013.pdf,https://app.dimensions.ai/details/publication/pub.1034753624,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
13,100,pub.1004028522,10.1007/978-3-319-01790-7_24,,,A Geo-ontology Design Pattern for Semantic Trajectories,Lecture Notes in Computer Science,Spatial Information Theory,,2013,2013,8116,,438-456,"All OA; Green, Accepted & Submitted",Chapter,"Hu, Yingjie; Janowicz, Krzysztof; Carral, David; Scheider, Simon; Kuhn, Werner; Berg-Cross, Gary; Hitzler, Pascal; Dean, Mike; Kolas, Dave",,"Hu, Yingjie (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Carral, David (Wright State University); Scheider, Simon (University of Münster); Kuhn, Werner (University of Münster); Berg-Cross, Gary (); Hitzler, Pascal (Wright State University); Dean, Mike (Raytheon (United States)); Kolas, Dave (Raytheon (United States))",50,19,,22.41,https://corescholar.libraries.wright.edu/cgi/viewcontent.cgi?article=1175&context=cse,https://app.dimensions.ai/details/publication/pub.1004028522,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
14,200,pub.1072758252,10.5311/josis.2011.2.3,,,The semantics of similarity in geographic information retrieval,Journal of Spatial Information Science,,,2011-05-25,2011,,2,,All OA; Gold,Article,"Janowicz, Krzysztof; Raubal, Martin; Kuhn, Werner",,"Janowicz, Krzysztof (); Raubal, Martin (); Kuhn, Werner ()",71,23,,,https://doi.org/10.5311/josis.2011.2.3,https://app.dimensions.ai/details/publication/pub.1072758252,,,,,,
15,100,pub.1014110395,10.1007/978-1-4419-9446-2_2,,,Semantic Referencing of Geosensor Data and Volunteered Geographic Information,Semantic Web and Beyond,Geospatial Semantics and the Semantic Web,,2011,2011,12,,27-59,"All OA; Green, Accepted & Submitted",Chapter,"Scheider, Simon; Keßler, Carsten; Ortmann, Jens; Devaraju, Anusuriya; Trame, Johannes; Kauppinen, Tomi; Kuhn, Werner","Scheider, Simon","Scheider, Simon (University of Münster); Keßler, Carsten (); Ortmann, Jens (); Devaraju, Anusuriya (); Trame, Johannes (); Kauppinen, Tomi (); Kuhn, Werner ()",10,1,,2.89,http://kauppinen.net/tomi/scheider-et-al-semantic-referencing-2011.pdf,https://app.dimensions.ai/details/publication/pub.1014110395,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0806 Information Systems,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0806 Information Systems,
16,100,pub.1005215767,10.1007/978-3-642-23196-4_17,,,Finite Relativist Geometry Grounded in Perceptual Operations,Lecture Notes in Computer Science,Spatial Information Theory,,2011,2011,6899,,304-327,Closed,Chapter,"Scheider, Simon; Kuhn, Werner",,"Scheider, Simon (University of Münster); Kuhn, Werner (University of Münster)",5,1,,0.93,,https://app.dimensions.ai/details/publication/pub.1005215767,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
17,100,pub.1046059212,10.1080/13658810903514198,,,Affordance-based categorization of road network data using a grounded theory of channel networks,International Journal of Geographical Information Science,,,2010-06-21,2010,24,8,1249-1267,Closed,Article,"Scheider, Simon; Kuhn, Werner",,"Scheider, Simon (); Kuhn, Werner ()",15,2,,5.61,,https://app.dimensions.ai/details/publication/pub.1046059212,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
18,200,pub.1013854458,10.1080/13875860903144675,,,Guest Editorial: Does Place Have a Place in Geographic Information Science?,Spatial Cognition and Computation,,,2009-08-28,2009,9,3,171-173,Closed,Article,"Winter, Stephan; Kuhn, Werner; Krüger, Antonio",,"Winter, Stephan (); Kuhn, Werner (); Krüger, Antonio ()",10,2,,1.81,,https://app.dimensions.ai/details/publication/pub.1013854458,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
19,100,pub.1015445355,10.1080/13875860802645087,,,A Hybrid Semantic Similarity Measure for Spatial Information Retrieval,Spatial Cognition and Computation,,,2009-02-24,2009,9,1,30-63,"All OA; Green, Accepted & Submitted",Article,"Schwering, Angela; Kuhn, Werner",,"Schwering, Angela (); Kuhn, Werner ()",10,2,,1.81,http://ifgi.uni-muenster.de/~eidueidu/schwering_HybridSimilarityMeasure.pdf,https://app.dimensions.ai/details/publication/pub.1015445355,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
20,100,pub.1028909055,10.1007/978-3-642-10601-9_6,,,Semantic Challenges for Sensor Plug and Play,Lecture Notes in Computer Science,Web and Wireless Geographical Information Systems,,2009,2009,5886,,72-86,"All OA; Green, Accepted & Submitted",Chapter,"Bröring, Arne; Janowicz, Krzysztof; Stasch, Christoph; Kuhn, Werner",,"Bröring, Arne (University of Münster); Janowicz, Krzysztof (University of Münster); Stasch, Christoph (University of Münster); Kuhn, Werner (University of Münster)",32,4,,11.03,http://ifgi.uni-muenster.de/%7Ejanowicz/w2gis09.pdf,https://app.dimensions.ai/details/publication/pub.1028909055,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
21,100,pub.1022477074,10.1007/978-3-642-02903-5_17,,,A Stimulus-Centric Algebraic Approach to Sensors and Observations,Lecture Notes in Computer Science,GeoSensor Networks,,2009,2009,5659,,169-179,Closed,Chapter,"Stasch, Christoph; Janowicz, Krzysztof; Bröring, Arne; Reis, Ilka; Kuhn, Werner",,"Stasch, Christoph (University of Münster); Janowicz, Krzysztof (University of Münster); Bröring, Arne (University of Münster); Reis, Ilka (); Kuhn, Werner (University of Münster)",20,5,,6.88,,https://app.dimensions.ai/details/publication/pub.1022477074,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
22,100,pub.1019557358,10.1007/978-3-642-03832-7_5,,,Grounding Geographic Categories in the Meaningful Environment,Lecture Notes in Computer Science,Spatial Information Theory,,2009,2009,5756,,69-87,"All OA; Green, Accepted & Submitted",Chapter,"Scheider, Simon; Janowicz, Krzysztof; Kuhn, Werner",,"Scheider, Simon (University of Münster); Janowicz, Krzysztof (University of Münster); Kuhn, Werner (University of Münster)",25,2,,8.61,http://ifgi.uni-muenster.de/%7Ejanowicz/Cosit09_Grounding_Categories.pdf,https://app.dimensions.ai/details/publication/pub.1019557358,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
23,200,pub.1053133638,10.1111/j.1467-9671.2008.01129.x,,,Semantic Similarity Measurement and Geospatial Applications,Transactions in GIS,,,2008-12,2008,12,6,651-659,"All OA; Green, Accepted & Submitted",Article,"Janowicz, Krzysztof; Raubal, Martin; Schwering, Angela; Kuhn, Werner",,"Janowicz, Krzysztof (University of Münster); Raubal, Martin (University of California, Santa Barbara); Schwering, Angela (); Kuhn, Werner (University of Münster)",28,5,,6.38,http://www.personal.psu.edu/kuj13/janowicz_etal_tgis_similarity_final_draft_2008.pdf,https://app.dimensions.ai/details/publication/pub.1053133638,08 Information and Computing Sciences; 09 Engineering; 16 Studies in Human Society; 0909 Geomatic Engineering; 1604 Human Geography; 0804 Data Format,08 Information and Computing Sciences,09 Engineering,16 Studies in Human Society,0909 Geomatic Engineering,1604 Human Geography
24,100,pub.1016919925,10.1007/978-3-540-87473-7_19,,,Road Networks and Their Incomplete Representation by Network Data Models,Lecture Notes in Computer Science,Geographic Information Science,,2008,2008,5266,,290-307,"All OA; Green, Accepted & Submitted",Chapter,"Scheider, Simon; Kuhn, Werner",,"Scheider, Simon (Fraunhofer Institute for Intelligent Analysis and Information Systems); Kuhn, Werner (University of Münster)",5,0,,1.57,http://www.geographicknowledge.de/pdf/giscience08_streetnetworkaffordance_end.pdf,https://app.dimensions.ai/details/publication/pub.1016919925,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
25,200,pub.1031589485,10.1080/13875860701337835,,,Editorial: Cognitive Semantics and Spatio-Temporal Ontologies,Spatial Cognition and Computation,,,2007-01,2007,7,1,3-12,Closed,Article,"Kuhn, Werner; Raubal, Martin; Gärdenfors, Peter",,"Kuhn, Werner (University of Münster); Raubal, Martin (University of California, Santa Barbara); Gärdenfors, Peter (Lund University)",11,1,,1.77,,https://app.dimensions.ai/details/publication/pub.1031589485,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
26,100,pub.1029952610,10.1007/11575863_124,,,Measuring Semantic Differences Between Conceptualisations: The Portuguese Water Bodies Case – Does Education Matter?,Lecture Notes in Computer Science,On the Move to Meaningful Internet Systems 2005: OTM 2005 Workshops,,2005,2005,3762,,1020-1026,Closed,Chapter,"Pires, Paulo; Painho, Marco; Kuhn, Werner",,"Pires, Paulo (Universidade Nova de Lisboa); Painho, Marco (Universidade Nova de Lisboa); Kuhn, Werner (University of Münster)",1,0,,0.31,,https://app.dimensions.ai/details/publication/pub.1029952610,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
27,200,pub.1025373663,10.1207/s15427633scc0401_3,,,Ontology-Based Task Simulation,Spatial Cognition and Computation,,,2004-03,2004,4,1,15-37,"All OA; Green, Accepted & Submitted",Article,"Raubal, Martin; Kuhn, Werner",,"Raubal, Martin (); Kuhn, Werner ()",25,0,,3.57,http://ifgi.uni-muenster.de/~raubal/Publications/RefJournals/raubal_kuhn_scc.pdf,https://app.dimensions.ai/details/publication/pub.1025373663,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
28,100,pub.1009435392,10.1080/00221349708978800,,,Teaching Raster GIS Operations with Spreadsheets,Journal of Geography,,,1997-09,1997,96,5,258-263,Closed,Article,"Raubal, Martin; Gaupmann, Bernhard; Kuhn, Werner",,"Raubal, Martin (University of Maine); Gaupmann, Bernhard (TU Wien); Kuhn, Werner (University of Münster)",8,1,,,,https://app.dimensions.ai/details/publication/pub.1009435392,16 Studies in Human Society; 1604 Human Geography; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,16 Studies in Human Society,1604 Human Geography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,
