,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Toshiro Tanimoto. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1025894888,10.1016/b978-0-444-53802-4.00083-x,,,"4.16 Interaction of Solid Earth, Atmosphere, and Ionosphere",,Treatise on Geophysics,,2015,2015,,,421-443,Closed,Chapter,"Tanimoto, T.; Heki, K.; Artru-Lambin, J.",,"Tanimoto, T. (University of California, Santa Barbara); Heki, K. (Hokkaido University); Artru-Lambin, J. (National Centre for Space Studies)",5,2,,0.85,,https://app.dimensions.ai/details/publication/pub.1025894888,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
11,100,pub.1011009819,10.1002/2014gl061934,,,Temporal and spatial evolution of an on‐land hurricane observed by seismic data,Geophysical Research Letters,,,2014-11-16,2014,41,21,7532-7538,All OA; Gold,Article,"Tanimoto, Toshiro; Lamontagne, Anne",,"Tanimoto, Toshiro (University of California, Santa Barbara); Lamontagne, Anne (University of California, Santa Barbara)",7,5,,1.44,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2014GL061934,https://app.dimensions.ai/details/publication/pub.1011009819,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
12,100,pub.1007431675,10.1093/gji/ggt185,,,Excitation of microseisms: views from the normal-mode approach,Geophysical Journal International,,,2013-09-01,2013,194,3,1755-1759,All OA; Gold,Article,"Tanimoto, Toshiro",,"Tanimoto, Toshiro (University of California, Santa Barbara)",6,1,,0.73,https://academic.oup.com/gji/article-pdf/194/3/1755/6027331/ggt185.pdf,https://app.dimensions.ai/details/publication/pub.1007431675,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
13,100,pub.1019155163,10.1093/gji/ggs123,,,An approach to improve Rayleigh-wave ellipticity estimates from seismic noise: application to the Los Angeles Basin,Geophysical Journal International,,,2013-04-01,2013,193,1,407-420,All OA; Gold,Article,"Tanimoto, Toshiro; Yano, Tomoko; Hakamata, Tomohiro",,"Tanimoto, Toshiro (University of California, Santa Barbara); Yano, Tomoko (University of California, Santa Barbara); Hakamata, Tomohiro (University of California, Santa Barbara)",11,2,,4.19,https://academic.oup.com/gji/article-pdf/193/1/407/2229937/ggs123.pdf,https://app.dimensions.ai/details/publication/pub.1019155163,0911 Maritime Engineering; 09 Engineering,0911 Maritime Engineering,09 Engineering,,,
14,100,pub.1021289403,10.1111/j.1365-246x.2012.05524.x,,,An approach to detect afterslips in giant earthquakes in the normal‐mode frequency band,Geophysical Journal International,,,2012-08,2012,190,2,1097-1110,All OA; Gold,Article,"Tanimoto, Toshiro; Ji, Chen; Igarashi, Mitsutsugu",,"Tanimoto, Toshiro (University of California, Santa Barbara); Ji, Chen (University of California, Santa Barbara); Igarashi, Mitsutsugu (University of Tokyo)",5,0,,0.89,https://academic.oup.com/gji/article-pdf/190/2/1097/5910058/190-2-1097.pdf,https://app.dimensions.ai/details/publication/pub.1021289403,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
15,100,pub.1033497423,10.1111/j.1365-246x.2011.05093.x,,,Azimuthal anisotropy from array analysis of Rayleigh waves in Southern California,Geophysical Journal International,,,2011-09,2011,186,3,1135-1151,All OA; Gold,Article,"Alvizuri, Celso; Tanimoto, Toshiro",,"Alvizuri, Celso (University of California, Santa Barbara); Tanimoto, Toshiro (University of California, Santa Barbara; University of Tokyo)",15,3,,2.41,https://academic.oup.com/gji/article-pdf/186/3/1135/5930174/186-3-1135.pdf,https://app.dimensions.ai/details/publication/pub.1033497423,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
16,100,pub.1043179155,10.1029/2010jb007742,,,"The relationship between upper mantle anisotropic structures beneath California, transpression, and absolute plate motions",Journal of Geophysical Research,,,2011,2011,116,B8,,"All OA; Green, Accepted & Submitted",Article,"Kosarian, Minoo; Davis, Paul M.; Tanimoto, Toshiro; Clayton, Robert W.",,"Kosarian, Minoo (University of California Los Angeles); Davis, Paul M. (University of California Los Angeles); Tanimoto, Toshiro (University of California, Santa Barbara); Clayton, Robert W. (California Institute of Technology)",12,3,,1.51,https://authors.library.caltech.edu/25269/1/Kosarian2011p15715J_Geophys_Res-Sol_Ea.pdf,https://app.dimensions.ai/details/publication/pub.1043179155,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
17,100,pub.1049760555,10.1029/2010gl045244,,,Afterslip of the 2010 Chilean earthquake,Geophysical Research Letters,,,2010-11,2010,37,22,n/a-n/a,All OA; Gold,Article,"Tanimoto, Toshiro; Ji, Chen",,"Tanimoto, Toshiro (University of California, Santa Barbara; University of Tokyo); Ji, Chen (University of California, Santa Barbara)",10,0,,1.47,http://onlinelibrary.wiley.com/doi/10.1029/2010GL045244/pdf,https://app.dimensions.ai/details/publication/pub.1049760555,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
18,100,pub.1024077704,10.1111/j.1365-246x.2010.04505.x,,,Equivalent forces for colliding ocean waves,Geophysical Journal International,,,2010-04,2010,181,1,468-478,All OA; Gold,Article,"Tanimoto, Toshiro",,"Tanimoto, Toshiro (University of California, Santa Barbara)",7,1,,0.67,https://academic.oup.com/gji/article-pdf/181/1/468/5972974/181-1-468.pdf,https://app.dimensions.ai/details/publication/pub.1024077704,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
19,100,pub.1035970033,10.1111/j.1365-246x.2009.04360.x,,,Variational principle for Rayleigh wave ellipticity,Geophysical Journal International,,,2009-12,2009,179,3,1658-1668,All OA; Gold,Article,"Tanimoto, T.; Tsuboi, S.",,"Tanimoto, T. (University of California, Santa Barbara); Tsuboi, S. (Japan Agency for Marine-Earth Science and Technology)",8,2,,1.1,https://academic.oup.com/gji/article-pdf/179/3/1658/6010496/179-3-1658.pdf,https://app.dimensions.ai/details/publication/pub.1035970033,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
20,100,pub.1021271864,10.1111/j.1365-246x.2009.04293.x,,,The ZH ratio method for long‐period seismic data: inversion for S‐wave velocity structure,Geophysical Journal International,,,2009-10,2009,179,1,413-424,All OA; Gold,Article,"Yano, Tomoko; Tanimoto, T.; Rivera, L.",,"Yano, Tomoko (University of California, Santa Barbara); Tanimoto, T. (University of California, Santa Barbara); Rivera, L. ()",24,6,,3.29,https://academic.oup.com/gji/article-pdf/179/1/413/5905741/179-1-413.pdf,https://app.dimensions.ai/details/publication/pub.1021271864,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
21,100,pub.1027791368,10.1111/j.1365-246x.2008.03959.x,,,Normal‐mode solution for the seismic noise cross‐correlation method,Geophysical Journal International,,,2008-12,2008,175,3,1169-1175,All OA; Gold,Article,"Tanimoto, Toshiro",,"Tanimoto, Toshiro (University of California, Santa Barbara)",11,2,,1.51,https://academic.oup.com/gji/article-pdf/175/3/1169/5993763/175-3-1169.pdf,https://app.dimensions.ai/details/publication/pub.1027791368,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
22,100,pub.1019728097,10.1111/j.1365-246x.2007.03609.x,,,The ZH ratio method for long‐period seismic data: sensitivity kernels and observational techniques,Geophysical Journal International,,,2008-01,2008,172,1,187-198,All OA; Gold,Article,"Tanimoto, T.; Rivera, L.",,"Tanimoto, T. (University of California, Santa Barbara); Rivera, L. ()",33,7,,4.53,https://academic.oup.com/gji/article-pdf/172/1/187/6014766/172-1-187.pdf,https://app.dimensions.ai/details/publication/pub.1019728097,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
23,100,pub.1031513063,10.1029/2007je003016,,,The noise cross‐correlation approach for Apollo 17 LSPE data: Diurnal change in seismic parameters in shallow lunar crust,Journal of Geophysical Research,,,2008,2008,113,E8,,All OA; Gold,Article,"Tanimoto, Toshiro; Eitzel, Melissa; Yano, Tomoko",,"Tanimoto, Toshiro (University of California, Santa Barbara); Eitzel, Melissa (University of California, Santa Barbara); Yano, Tomoko (University of California, Santa Barbara)",10,1,,1.37,http://onlinelibrary.wiley.com/doi/10.1029/2007JE003016/pdf,https://app.dimensions.ai/details/publication/pub.1031513063,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
24,100,pub.1024602989,10.1186/bf03352706,,,Surface wave analysis with beamforming,"Earth, Planets and Space",,,2007-05,2007,59,5,453-458,All OA; Gold,Article,"Tanimoto, Toshiro; Prindle, Kenton","Tanimoto, Toshiro","Tanimoto, Toshiro (University of California, Santa Barbara); Prindle, Kenton (University of California, Santa Barbara)",16,4,,,https://earth-planets-space.springeropen.com/track/pdf/10.1186/BF03352706,https://app.dimensions.ai/details/publication/pub.1024602989,01 Mathematical Sciences; 02 Physical Sciences; 04 Earth Sciences,01 Mathematical Sciences,02 Physical Sciences,04 Earth Sciences,,
25,100,pub.1010829046,10.1029/2006gl029046,,,Excitation of microseisms,Geophysical Research Letters,,,2007-03,2007,34,5,,All OA; Gold,Article,"Tanimoto, Toshiro",,"Tanimoto, Toshiro (University of California, Santa Barbara)",40,3,,3.28,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2006GL029046,https://app.dimensions.ai/details/publication/pub.1010829046,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
26,100,pub.1049209327,10.1111/j.1365-246x.2006.03240.x,,,Excitation of normal modes by non‐linear interaction of ocean waves,Geophysical Journal International,,,2007-02,2007,168,2,571-582,All OA; Gold,Article,"Tanimoto, Toshiro",,"Tanimoto, Toshiro (University of California, Santa Barbara)",32,1,,2.62,https://academic.oup.com/gji/article-pdf/168/2/571/2015765/168-2-571.pdf,https://app.dimensions.ai/details/publication/pub.1049209327,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
27,100,pub.1026252370,10.1029/2007gl031091,,,A year of microseisms in southern California,Geophysical Research Letters,,,2007,2007,34,20,,All OA; Gold,Article,"Gerstoft, Peter; Tanimoto, Toshiro",,"Gerstoft, Peter (Scripps Institution of Oceanography); Tanimoto, Toshiro (University of California, Santa Barbara)",97,18,,7.95,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007GL031091,https://app.dimensions.ai/details/publication/pub.1026252370,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
28,100,pub.1012643664,10.1016/b978-044452748-6.00075-4,,,"4.14 Interaction of Solid Earth, Atmosphere, and Ionosphere",,Treatise on Geophysics,,2007,2007,,,421-444,Closed,Chapter,"Tanimoto, T.; Artru-Lambin, J.",,"Tanimoto, T. (University of California, Santa Barbara); Artru-Lambin, J. (National Centre for Space Studies)",5,0,,0.41,,https://app.dimensions.ai/details/publication/pub.1012643664,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
29,100,pub.1014209333,10.1111/j.1365-246x.2006.02947.x,,,Teleseismic surface wave study for S‐wave velocity structure under an array: Southern California,Geophysical Journal International,,,2006-08,2006,166,2,601-621,All OA; Gold,Article,"Prindle, K.; Tanimoto, T.",,"Prindle, K. (University of California, Santa Barbara); Tanimoto, T. (University of California, Santa Barbara)",29,4,,3.41,https://academic.oup.com/gji/article-pdf/166/2/601/1503489/166-2-601.pdf,https://app.dimensions.ai/details/publication/pub.1014209333,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
30,100,pub.1008261685,10.1111/j.1365-246x.2006.02931.x,,,Seasonality in particle motion of microseisms,Geophysical Journal International,,,2006-07,2006,166,1,253-266,All OA; Gold,Article,"Tanimoto, T.; Ishimaru, S.; Alvizuri, C.",,"Tanimoto, T. (University of California, Santa Barbara); Ishimaru, S. (); Alvizuri, C. (University of California, Santa Barbara)",52,10,,3.9,https://academic.oup.com/gji/article-pdf/166/1/253/5881957/166-1-253.pdf,https://app.dimensions.ai/details/publication/pub.1008261685,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
31,100,pub.1023946605,10.1111/j.1365-246x.2006.02905.x,,,Inversion of the HZ ratio of microseisms for S‐wave velocity in the crust,Geophysical Journal International,,,2006-04,2006,165,1,323-335,All OA; Gold,Article,"Tanimoto, T.; Alvizuri, C.",,"Tanimoto, T. (University of California, Santa Barbara); Alvizuri, C. (University of California, Santa Barbara)",38,7,,4.73,https://academic.oup.com/gji/article-pdf/165/1/323/5937154/165-1-323.pdf,https://app.dimensions.ai/details/publication/pub.1023946605,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
32,100,pub.1016624532,10.1111/j.1365-246x.2005.02481.x,,,Prograde Rayleigh wave particle motion,Geophysical Journal International,,,2005-08,2005,162,2,399-405,All OA; Gold,Article,"Tanimoto, T.; Rivera, L.",,"Tanimoto, T. (University of California, Santa Barbara); Rivera, L. ()",33,7,,4.13,https://academic.oup.com/gji/article-pdf/162/2/399/5961227/162-2-399.pdf,https://app.dimensions.ai/details/publication/pub.1016624532,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
33,100,pub.1045752819,10.1111/j.1365-246x.2004.02484.x,,,The oceanic excitation hypothesis for the continuous oscillations of the Earth,Geophysical Journal International,,,2005-01,2005,160,1,276-288,All OA; Gold,Article,"Tanimoto, T.",,"Tanimoto, T. (University of California, Santa Barbara)",85,8,,5.69,https://academic.oup.com/gji/article-pdf/160/1/276/5925769/160-1-276.pdf,https://app.dimensions.ai/details/publication/pub.1045752819,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
34,200,pub.1036029319,10.1111/j.1365-246x.2004.02434.x,,,Reply,Geophysical Journal International,,,2004-10,2004,159,1,369-369,All OA; Gold,Article,"Tanimoto, Toshiro",,"Tanimoto, Toshiro (University of California, Santa Barbara)",0,0,,0,https://academic.oup.com/gji/article-pdf/159/1/369/5872333/159-1-369.pdf,https://app.dimensions.ai/details/publication/pub.1036029319,09 Engineering; 0909 Geomatic Engineering; 0403 Geology; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0403 Geology,04 Earth Sciences,0404 Geophysics
35,100,pub.1023218060,10.1111/j.1365-246x.2004.02130.x,,,The azimuthal dependence of surface wave polarization in a slightly anisotropic medium,Geophysical Journal International,,,2004-01,2004,156,1,73-78,All OA; Gold,Article,"Tanimoto, Toshiro",,"Tanimoto, Toshiro (University of California, Santa Barbara)",12,1,,2.44,https://academic.oup.com/gji/article-pdf/156/1/73/6040451/156-1-73.pdf,https://app.dimensions.ai/details/publication/pub.1023218060,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
36,100,pub.1030169917,10.1029/2003gl017475,,,Geometrical approach to surface wave finite frequency effects,Geophysical Research Letters,,,2003,2003,30,19,,All OA; Gold,Article,"Tanimoto, T.",,"Tanimoto, T. (University of California, Santa Barbara)",6,0,,1.56,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2003GL017475,https://app.dimensions.ai/details/publication/pub.1030169917,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
37,100,pub.1007153426,10.1046/j.1365-246x.2002.01662.x,,,Tectonic signatures in coseismic gravitational energy change,Geophysical Journal International,,,2002-05,2002,149,2,490-498,All OA; Gold,Article,"Tanimoto, Toshiro; Okamoto, Taro; Terra, Fabia",,"Tanimoto, Toshiro (University of California, Santa Barbara); Okamoto, Taro (Tokyo Institute of Technology); Terra, Fabia (University of California, Santa Barbara)",8,0,,0.72,https://academic.oup.com/gji/article-pdf/149/2/490/2164857/149-2-490.pdf,https://app.dimensions.ai/details/publication/pub.1007153426,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
38,100,pub.1037149160,10.1029/2001gl013486,,,Three‐dimensional S‐wave velocity structure in Southern California,Geophysical Research Letters,,,2002-04,2002,29,8,64-1-64-4,All OA; Gold,Article,"Tanimoto, T.; Sheldrake, K. Prindle",,"Tanimoto, T. (University of California, Santa Barbara); Sheldrake, K. Prindle (University of California, Santa Barbara)",24,3,,2.37,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001GL013486,https://app.dimensions.ai/details/publication/pub.1037149160,0403 Geology; 04 Earth Sciences; 0404 Geophysics,0403 Geology,04 Earth Sciences,0404 Geophysics,,
39,100,pub.1017144037,10.1016/s0012-821x(01)00576-3,,,Crustal gravitational energy change caused by earthquakes in the western United States and Japan,Earth and Planetary Science Letters,,,2002-01,2002,195,1-2,17-27,Closed,Article,"Okamoto, Taro; Tanimoto, Toshiro","Okamoto, Taro","Okamoto, Taro (Tokyo Institute of Technology); Tanimoto, Toshiro (University of California, Santa Barbara)",10,0,,0.9,,https://app.dimensions.ai/details/publication/pub.1017144037,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
40,100,pub.1002812100,10.1029/2001gl013721,,,Regional Wavefield reconstruction for teleseismic P‐waves and Surface waves,Geophysical Research Letters,,,2002,2002,29,11,39-1-39-4,All OA; Gold,Article,"Sheldrake, K. Prindle; Marcinkovich, C.; Tanimoto, T.",,"Sheldrake, K. Prindle (University of California, Santa Barbara); Marcinkovich, C. (University of California, Santa Barbara); Tanimoto, T. (University of California, Santa Barbara)",5,2,,0.55,http://onlinelibrary.wiley.com/doi/10.1029/2001GL013721/pdf,https://app.dimensions.ai/details/publication/pub.1002812100,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
41,100,pub.1052734818,10.1146/annurev.earth.29.1.563,,,CONTINUOUS FREE OSCILLATIONS: Atmosphere-Solid Earth Coupling,Annual Review of Earth and Planetary Sciences,,,2001-05,2001,29,1,563-584,Closed,Article,"Tanimoto, Toshiro",,"Tanimoto, Toshiro (University of California, Santa Barbara)",35,5,,6.22,,https://app.dimensions.ai/details/publication/pub.1052734818,"02 Physical Sciences; 0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",02 Physical Sciences,"0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics",,,
42,400,pub.1037657606,10.1073/pnas.210382197,11035784,PMC34063,Mantle dynamics and seismic tomography,Proceedings of the National Academy of Sciences,,,2000-11-07,2000,97,23,12409-12410,All OA; Gold,Article,"Tanimoto, Toshiro; Lay, Thorne",,"Tanimoto, Toshiro (University of California, Santa Barbara); Lay, Thorne (University of California, Santa Cruz)",4,0,0.01,0.39,http://www.pnas.org/content/97/23/12409.full.pdf,https://app.dimensions.ai/details/publication/pub.1037657606,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
