,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Uta Desy Elisabeth Passow. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1105779561,10.1525/elementa.312,,,Characterizing the vulnerability of intertidal organisms in Olympic National Park to ocean acidification,Elementa: Science of the Anthropocene,,,2018-07-23,2018,6,1,54,All OA; Gold,Article,"Jones, Jonathan M.; Passow, Uta; Fradkin, Steven C.",,"Jones, Jonathan M. (); Passow, Uta (University of California, Santa Barbara); Fradkin, Steven C. ()",0,0,,,http://www.elementascience.org/articles/10.1525/elementa.312/galley/1392/download/,https://app.dimensions.ai/details/publication/pub.1105779561,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
11,200,pub.1105587518,10.1093/nsr/nwy074,,,Evolving paradigms in biological carbon cycling in the ocean,National Science Review,,,2018-07-01,2018,5,4,481-499,All OA; Gold,Article,"Zhang, Chuanlun; Dang, Hongyue; Azam, Farooq; Benner, Ronald; Legendre, Louis; Passow, Uta; Polimene, Luca; Robinson, Carol; Suttle, Curtis A; Jiao, Nianzhi",,"Zhang, Chuanlun (Southern University of Science and Technology); Dang, Hongyue (Xiamen University); Azam, Farooq (Scripps Institution of Oceanography); Benner, Ronald (University of South Carolina); Legendre, Louis (Villefranche Oceanographic Laboratory); Passow, Uta (University of California, Santa Barbara); Polimene, Luca (Plymouth Marine Laboratory); Robinson, Carol (University of East Anglia); Suttle, Curtis A (); Jiao, Nianzhi (Xiamen University)",8,8,,,https://academic.oup.com/nsr/article-pdf/5/4/481/25431346/nwy074.pdf,https://app.dimensions.ai/details/publication/pub.1105587518,,,,,,
12,500,pub.1101208850,10.1111/gcb.14102,29476630,,Experimental strategies to assess the biological ramifications of multiple drivers of global ocean change—A review,Global Change Biology,,Animals; Biological Evolution; Climate Change; Environmental Monitoring; Oceans and Seas,2018-06,2018,24,6,2239-2261,All OA; Gold,Article,"Boyd, Philip W.; Collins, Sinead; Dupont, Sam; Fabricius, Katharina; Gattuso, Jean‐Pierre; Havenhand, Jonathan; Hutchins, David A.; Riebesell, Ulf; Rintoul, Max S.; Vichi, Marcello; Biswas, Haimanti; Ciotti, Aurea; Gao, Kunshan; Gehlen, Marion; Hurd, Catriona L.; Kurihara, Haruko; McGraw, Christina M.; Navarro, Jorge M.; Nilsson, Göran E.; Passow, Uta; Pörtner, Hans‐Otto",,"Boyd, Philip W. (University of Tasmania); Collins, Sinead (University of Edinburgh); Dupont, Sam (University of Gothenburg); Fabricius, Katharina (Australian Institute of Marine Science); Gattuso, Jean‐Pierre (); Havenhand, Jonathan (University of Gothenburg); Hutchins, David A. (University of Southern California); Riebesell, Ulf (GEOMAR Helmholtz Centre for Ocean Research Kiel); Rintoul, Max S. (University of Tasmania); Vichi, Marcello (University of Cape Town); Biswas, Haimanti (National Institute of Oceanography); Ciotti, Aurea (University of Sao Paulo); Gao, Kunshan (Xiamen University); Gehlen, Marion (Laboratoire des Sciences du Climat et de l'Environnement); Hurd, Catriona L. (University of Tasmania); Kurihara, Haruko (University of the Ryukyus); McGraw, Christina M. (University of Otago); Navarro, Jorge M. (Austral University of Chile); Nilsson, Göran E. (University of Oslo); Passow, Uta (University of California, Santa Barbara); Pörtner, Hans‐Otto (Alfred Wegener Institute for Polar and Marine Research)",36,36,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/gcb.14102,https://app.dimensions.ai/details/publication/pub.1101208850,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,100,pub.1104302756,10.1525/elementa.298,,,"Isotopic composition of sinking particles: Oil effects, recovery and baselines in the Gulf of Mexico, 2010–2015",Elementa: Science of the Anthropocene,,,2018-05-30,2018,6,1,43,All OA; Gold,Article,"Chanton, Jeffrey P.; Giering, Sarah; Bosman, Samantha H.; Rogers, Kelsey L.; Sweet, Julia; Asper, Vernon; Diericks, Arne R.; Passow, Uta",,"Chanton, Jeffrey P. (Florida State University); Giering, Sarah (University of California, Santa Barbara); Bosman, Samantha H. (Florida State University); Rogers, Kelsey L. (Florida State University); Sweet, Julia (University of California, Santa Barbara); Asper, Vernon (); Diericks, Arne R. (); Passow, Uta (University of California, Santa Barbara)",5,5,,,http://www.elementascience.org/articles/10.1525/elementa.298/galley/1336/download/,https://app.dimensions.ai/details/publication/pub.1104302756,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1103616529,10.1525/elementa.292,,,The influence of mesoscale and submesoscale circulation on sinking particles in the northern Gulf of Mexico,Elementa: Science of the Anthropocene,,,2018-04-23,2018,6,1,36,All OA; Gold,Article,"Liu, Guangpeng; Bracco, Annalisa; Passow, Uta",,"Liu, Guangpeng (Georgia Institute of Technology); Bracco, Annalisa (Georgia Institute of Technology); Passow, Uta (University of California, Santa Barbara)",8,7,,,http://www.elementascience.org/articles/10.1525/elementa.292/galley/1301/download/,https://app.dimensions.ai/details/publication/pub.1103616529,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
15,100,pub.1103427568,10.1525/elementa.285,,,Scales of seafloor sediment resuspension in the northern Gulf of Mexico,Elementa: Science of the Anthropocene,,,2018-04-18,2018,6,1,32,All OA; Gold,Article,"Diercks, Arne-R.; Dike, Clayton; Asper, Vernon L.; DiMarco, Steven F.; Chanton, Jeffrey P.; Passow, Uta",,"Diercks, Arne-R. (); Dike, Clayton (); Asper, Vernon L. (); DiMarco, Steven F. (Texas A&M University); Chanton, Jeffrey P. (Florida State University); Passow, Uta (University of California, Santa Barbara)",10,10,,,http://www.elementascience.org/articles/10.1525/elementa.285/galley/1281/download/,https://app.dimensions.ai/details/publication/pub.1103427568,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
16,100,pub.1100648907,10.1525/elementa.264,,,The ecosystem baseline for particle flux in the Northern Gulf of Mexico,Elementa: Science of the Anthropocene,,,2018-01-25,2018,6,1,6,All OA; Gold,Article,"Giering, S.L.C.; Yan, B.; Sweet, J.; Asper, V.; Diercks, A.; Chanton, J.P.; Pitiranggon, M.; Passow, U.",,"Giering, S.L.C. (); Yan, B. (); Sweet, J. (University of California, Santa Barbara); Asper, V. (); Diercks, A. (); Chanton, J.P. (Florida State University); Pitiranggon, M. (); Passow, U. (University of California, Santa Barbara)",9,9,,,http://www.elementascience.org/articles/10.1525/elementa.264/galley/1150/download/,https://app.dimensions.ai/details/publication/pub.1100648907,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
17,500,pub.1091211856,10.1016/j.marpolbul.2017.08.015,28807420,,How the dispersant Corexit impacts the formation of sinking marine oil snow,Marine Pollution Bulletin,,"Diatoms; Environment; Lipids; Petroleum Pollution; Water Pollutants, Chemical",2017-12,2017,125,1-2,139-145,All OA; Gold,Article,"Passow, Uta; Sweet, Julia; Quigg, Antonietta","Passow, Uta","Passow, Uta (University of California, Santa Barbara); Sweet, Julia (University of California, Santa Barbara); Quigg, Antonietta (Texas A&M University at Galveston; Texas A&M University)",16,16,0.23,6.23,https://doi.org/10.1016/j.marpolbul.2017.08.015,https://app.dimensions.ai/details/publication/pub.1091211856,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
18,100,pub.1084107035,10.1016/j.rsma.2017.02.008,,,An evaluation of ISFET sensors for coastal pH monitoring applications,Regional Studies in Marine Science,,,2017-04,2017,12,Oceanography 28 2015,11-18,Closed,Article,"McLaughlin, Karen; Dickson, Andrew; Weisberg, Stephen B.; Coale, Kenneth; Elrod, Virginia; Hunter, Craig; Johnson, Kenneth S.; Kram, Susan; Kudela, Raphael; Martz, Todd; Negrey, Kendra; Passow, Uta; Shaughnessy, Frank; Smith, Jennifer E.; Tadesse, Dawit; Washburn, Libe; Weis, Kyle R.","McLaughlin, Karen","McLaughlin, Karen (Southern California Coastal Water Research Project); Dickson, Andrew (Scripps Institution of Oceanography); Weisberg, Stephen B. (Southern California Coastal Water Research Project); Coale, Kenneth (California State University Los Angeles); Elrod, Virginia (Monterey Bay Aquarium Research Institute); Hunter, Craig (California State University Los Angeles); Johnson, Kenneth S. (Monterey Bay Aquarium Research Institute); Kram, Susan (Scripps Institution of Oceanography); Kudela, Raphael (University of California, Santa Cruz); Martz, Todd (Scripps Institution of Oceanography); Negrey, Kendra (University of California, Santa Cruz); Passow, Uta (University of California, Santa Barbara); Shaughnessy, Frank (Humboldt State University); Smith, Jennifer E. (Scripps Institution of Oceanography); Tadesse, Dawit (); Washburn, Libe (University of California, Santa Barbara); Weis, Kyle R. (Humboldt State University)",12,11,,3.73,,https://app.dimensions.ai/details/publication/pub.1084107035,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
19,500,pub.1084295353,10.1371/journal.pone.0173145,28257422,PMC5336268,Elevated pCO2 enhances bacterioplankton removal of organic carbon,PLoS ONE,,Carbon; Carbon Dioxide; Cyanobacteria; Ecosystem; Environmental Monitoring; Humans; Oceans and Seas; Phytoplankton; Seawater; Water Microbiology,2017-03-03,2017,12,3,e0173145,All OA; Gold,Article,"James, Anna K.; Passow, Uta; Brzezinski, Mark A.; Parsons, Rachel J.; Trapani, Jennifer N.; Carlson, Craig A.",,"James, Anna K. (University of California, Santa Barbara); Passow, Uta (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Parsons, Rachel J. (Bermuda Institute of Ocean Sciences); Trapani, Jennifer N. (Bermuda Institute of Ocean Sciences); Carlson, Craig A. (University of California, Santa Barbara)",6,6,0.23,1.86,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0173145&type=printable,https://app.dimensions.ai/details/publication/pub.1084295353,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
20,100,pub.1051649177,10.1016/j.marchem.2017.01.002,,,Distribution of transparent exopolymer particles (TEP) across an organic carbon gradient in the western North Atlantic Ocean,Marine Chemistry,,,2017-03,2017,190,,1-12,Closed,Article,"Jennings, Meredith K.; Passow, Uta; Wozniak, Andrew S.; Hansell, Dennis A.","Jennings, Meredith K.","Jennings, Meredith K. (University of Miami); Passow, Uta (University of California, Santa Barbara); Wozniak, Andrew S. (Old Dominion University); Hansell, Dennis A. (University of Miami)",11,8,,3.42,,https://app.dimensions.ai/details/publication/pub.1051649177,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
21,100,pub.1008293109,10.1016/j.pocean.2016.11.002,,,Transparent exopolymer particles: Effects on carbon cycling in the ocean,Progress In Oceanography,,,2017-02,2017,151,Biogeochemistry 83 1–3 2007,13-37,"All OA; Green, Accepted & Submitted",Article,"Mari, Xavier; Passow, Uta; Migon, Christophe; Burd, Adrian B.; Legendre, Louis","Mari, Xavier","Mari, Xavier (Mediterranean Institute of Oceanography); Passow, Uta (University of California, Santa Barbara); Migon, Christophe (); Burd, Adrian B. (University of Georgia); Legendre, Louis ()",59,49,,18.33,https://hal.sorbonne-universite.fr/hal-01408905/file/Xavier_Transparent.pdf,https://app.dimensions.ai/details/publication/pub.1008293109,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
22,100,pub.1021784198,10.1002/lol2.10030,,,The role of microbial exopolymers in determining the fate of oil and chemical dispersants in the ocean,Limnology and Oceanography Letters,,,2016-12,2016,1,1,3-26,All OA; Gold,Article,"Quigg, Antonietta; Passow, Uta; Chin, Wei‐Chun; Xu, Chen; Doyle, Shawn; Bretherton, Laura; Kamalanathan, Manoj; Williams, Alicia K.; Sylvan, Jason B.; Finkel, Zoe V.; Knap, Anthony H.; Schwehr, Kathleen A.; Zhang, Saijin; Sun, Luni; Wade, Terry L.; Obeid, Wassim; Hatcher, Patrick G.; Santschi, Peter H.",,"Quigg, Antonietta (Texas A&M University); Passow, Uta (University of California, Santa Barbara); Chin, Wei‐Chun (); Xu, Chen (); Doyle, Shawn (Texas A&M University); Bretherton, Laura (); Kamalanathan, Manoj (); Williams, Alicia K. (); Sylvan, Jason B. (Texas A&M University); Finkel, Zoe V. (Mount Allison University); Knap, Anthony H. (Texas A&M University); Schwehr, Kathleen A. (); Zhang, Saijin (); Sun, Luni (); Wade, Terry L. (Texas A&M University); Obeid, Wassim (); Hatcher, Patrick G. (); Santschi, Peter H. (Texas A&M University)",29,23,,6.98,https://doi.org/10.1002/lol2.10030,https://app.dimensions.ai/details/publication/pub.1021784198,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
23,400,pub.1000632576,10.1371/journal.pone.0165191,27893739,PMC5125570,Evaluating Carbonate System Algorithms in a Nearshore System: Does Total Alkalinity Matter?,PLoS ONE,,Algorithms; California; Carbonates; Ecosystem; Environmental Monitoring; Hydrogen-Ion Concentration; Seasons; Seawater,2016-11-28,2016,11,11,e0165191,All OA; Gold,Article,"Jones, Jonathan M.; Sweet, Julia; Brzezinski, Mark A.; McNair, Heather M.; Passow, Uta",,"Jones, Jonathan M. (University of California, Santa Barbara); Sweet, Julia (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); McNair, Heather M. (University of California, Santa Barbara); Passow, Uta (University of California, Santa Barbara)",1,1,0.14,0.22,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0165191&type=printable,https://app.dimensions.ai/details/publication/pub.1000632576,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
24,200,pub.1073068548,10.5670/oceanog.2016.76,,,Marine Snow Sedimented Oil Released During the Deepwater Horizon Spill,Oceanography,,,2016-09-01,2016,29,3,118-125,All OA; Gold,Article,"Passow, Uta; Ziervogel, Kai",,"Passow, Uta (); Ziervogel, Kai ()",29,21,,6.26,https://tos.org/oceanography/assets/docs/29-3_passow2.pdf,https://app.dimensions.ai/details/publication/pub.1073068548,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
25,100,pub.1022806918,10.1016/j.dsr2.2014.10.001,,,"Formation of rapidly-sinking, oil-associated marine snow",Deep Sea Research Part II Topical Studies in Oceanography,,,2016-07,2016,129,,232-240,All OA; Gold,Article,"Passow, Uta","Passow, Uta","Passow, Uta (University of California, Santa Barbara)",63,38,,15.17,https://manuscript.elsevier.com/S0967064514002628/pdf/S0967064514002628.pdf,https://app.dimensions.ai/details/publication/pub.1022806918,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
26,100,pub.1021383416,10.1016/j.dsr2.2015.06.017,,,Enhanced particle fluxes and heterotrophic bacterial activities in Gulf of Mexico bottom waters following storm-induced sediment resuspension,Deep Sea Research Part II Topical Studies in Oceanography,,,2016-07,2016,129,FEMS Microbiol. Ecol. 59 2007,77-88,Closed,Article,"Ziervogel, K.; Dike, C.; Asper, V.; Montoya, J.; Battles, J.; D׳souza, N.; Passow, U.; Diercks, A.; Esch, M.; Joye, S.; Dewald, C.; Arnosti, C.","Ziervogel, K.","Ziervogel, K. (University of North Carolina at Chapel Hill); Dike, C. (); Asper, V. (); Montoya, J. (Georgia Institute of Technology); Battles, J. (University of Georgia); D׳souza, N. (Lamont-Doherty Earth Observatory); Passow, U. (University of California, Santa Barbara); Diercks, A. (University of Southern Mississippi); Esch, M. (University of Georgia); Joye, S. (University of Georgia); Dewald, C. (Friedrich Schiller University Jena); Arnosti, C. (University of North Carolina at Chapel Hill)",18,10,,4.33,,https://app.dimensions.ai/details/publication/pub.1021383416,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
27,100,pub.1012871719,10.1016/j.dsr2.2016.04.018,,,"The Gulf of Mexico ecosystem, six years after the Macondo oil well blowout",Deep Sea Research Part II Topical Studies in Oceanography,,,2016-07,2016,129,,4-19,Closed,Article,"Joye, Samantha B.; Bracco, Annalisa; Özgökmen, Tamay M.; Chanton, Jeffrey P.; Grosell, Martin; MacDonald, Ian R.; Cordes, Erik E.; Montoya, Joseph P.; Passow, Uta","Joye, Samantha B.","Joye, Samantha B. (University of Georgia); Bracco, Annalisa (Georgia Institute of Technology); Özgökmen, Tamay M. (University of Miami); Chanton, Jeffrey P. (Florida State University); Grosell, Martin (University of Miami); MacDonald, Ian R. (Florida State University); Cordes, Erik E. (Temple University); Montoya, Joseph P. (University of South Florida); Passow, Uta (University of California, Santa Barbara)",41,30,,10.64,,https://app.dimensions.ai/details/publication/pub.1012871719,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
28,400,pub.1032471201,10.1073/pnas.1513156113,27247393,PMC4914201,Sustained deposition of contaminants from the Deepwater Horizon spill,Proceedings of the National Academy of Sciences,,Food Chain; Gulf of Mexico; Petroleum Pollution; Polycyclic Aromatic Hydrocarbons,2016-06-14,2016,113,24,e3332-e3340,All OA; Gold,Article,"Yan, Beizhan; Passow, Uta; Chanton, Jeffrey P.; Nöthig, Eva-Maria; Asper, Vernon; Sweet, Julia; Pitiranggon, Masha; Diercks, Arne; Pak, Dorothy",,"Yan, Beizhan (Lamont-Doherty Earth Observatory); Passow, Uta (University of California, Santa Barbara); Chanton, Jeffrey P. (Florida State University); Nöthig, Eva-Maria (Alfred Wegener Institute for Polar and Marine Research); Asper, Vernon (); Sweet, Julia (University of California, Santa Barbara); Pitiranggon, Masha (Lamont-Doherty Earth Observatory); Diercks, Arne (); Pak, Dorothy (University of California, Santa Barbara)",35,23,1.66,9.08,https://www.pnas.org/content/pnas/113/24/E3332.full.pdf,https://app.dimensions.ai/details/publication/pub.1032471201,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
