,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Konstadinos G Goulias. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1074200775,10.1016/j.jocm.2017.01.001,,,"Triggers of behavioral change: Longitudinal analysis of travel behavior, household composition and spatial characteristics of the residence",Journal of Choice Modelling,,,2017-09,2017,24,,4-21,Closed,Article,"Lee, Jae Hyun; Davis, Adam W.; Goulias, Konstadinos G.","Lee, Jae Hyun","Lee, Jae Hyun (University of California, Santa Barbara); Davis, Adam W. (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1074200775,1403 Econometrics; 14 Economics,1403 Econometrics,14 Economics,,,
11,100,pub.1091441988,10.3141/2666-07,,,Exploring Daily Rhythms of Interpersonal Contacts: Time-of-Day Dynamics of Human Interactions with Latent Class Cluster Analysis,Transportation Research Record Journal of the Transportation Research Board,,,2017-01,2017,2666,1,58-68,Closed,Article,"Lee, Jae Hyun; Davis, Adam; Yoon, Seo Youn; Goulias, Konstadinos G.",,"Lee, Jae Hyun (University of California, Santa Barbara); Davis, Adam (University of California, Santa Barbara); Yoon, Seo Youn (Korea Research Institute for Human Settlements); Goulias, Konstadinos G. (University of California, Santa Barbara)",2,2,,0.81,,https://app.dimensions.ai/details/publication/pub.1091441988,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
12,100,pub.1090964420,10.3141/2668-02,,,Incorporating Land Use into Methods of Synthetic Population Generation and of Transfer of Behavioral Data,Transportation Research Record Journal of the Transportation Research Board,,,2017-01,2017,2668,1,11-20,Closed,Article,"McBride, Elizabeth C.; Davis, Adam W.; Lee, Jae Hyun; Goulias, Konstadinos G.",,"McBride, Elizabeth C. (University of California, Santa Barbara); Davis, Adam W. (University of California, Santa Barbara); Lee, Jae Hyun (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",3,3,,1.32,,https://app.dimensions.ai/details/publication/pub.1090964420,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
13,100,pub.1090826329,10.3141/2669-09,,,Exploratory Analysis of the Activity Time-Use Frontier and Its Effect on Episodic Well-Being: Data from the Disability and Use of Time Survey,Transportation Research Record Journal of the Transportation Research Board,,,2017-01,2017,2669,1,80-90,Closed,Article,"Ravulaparthy, Srinath K.; Konduri, Karthik C.; Goulias, Konstadinos G.",,"Ravulaparthy, Srinath K. (University of California, Santa Barbara); Konduri, Karthik C. (); Goulias, Konstadinos G. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1090826329,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
14,100,pub.1086046003,10.1016/j.trpro.2017.05.024,,,"A Decade of Dynamics of Residential Location, Car Ownership, Activity, Travel and Land Use in the Seattle Metropolitan Region",Transportation Research Procedia,,,2017,2017,23,,420-439,All OA; Gold,Article,"Lee, Jae Hyun; Goulias, Konstadinos G.",,"Lee, Jae Hyun (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",1,1,,0.74,https://doi.org/10.1016/j.trpro.2017.05.024,https://app.dimensions.ai/details/publication/pub.1086046003,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
15,100,pub.1034503431,10.1007/s11116-016-9719-1,,,Activity space estimation with longitudinal observations of social media data,Transportation,,,2016-11,2016,43,6,955-977,Closed,Article,"Lee, Jae Hyun; Davis, Adam W.; Yoon, Seo Youn; Goulias, Konstadinos G.","Lee, Jae Hyun","Lee, Jae Hyun (University of California, Santa Barbara); Davis, Adam W. (University of California, Santa Barbara); Yoon, Seo Youn (Korea Research Institute for Human Settlements); Goulias, Konstadinos G. (University of California, Santa Barbara)",19,15,,5.72,,https://app.dimensions.ai/details/publication/pub.1034503431,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
16,100,pub.1071051925,10.3141/2566-04,,,Fundamental Linkages Between Activity Time Use and Subjective Well-Being for the Elderly Population: Joint Exploratory Analysis Framework for In-Home and Out-of-Home Activities,Transportation Research Record Journal of the Transportation Research Board,,,2016-01,2016,2566,1,31-40,Closed,Article,"Ravulaparthy, Srinath K.; Konduri, Karthik C.; Goulias, Konstadinos G.",,"Ravulaparthy, Srinath K. (University of California, Santa Barbara); Konduri, Karthik C. (University of Connecticut); Goulias, Konstadinos G. (University of California, Santa Barbara)",3,2,,0.9,,https://app.dimensions.ai/details/publication/pub.1071051925,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
17,100,pub.1071051906,10.3141/2564-12,,,"Exploring the Role of Location in Dynamics of the Birth and Death of Business Establishments: Case Study Analysis of Santa Barbara County, California",Transportation Research Record Journal of the Transportation Research Board,,,2016-01,2016,2564,1,106-117,Closed,Article,"Ravulaparthy, Srinath K.; Goulias, Konstadinos G.",,"Ravulaparthy, Srinath K. (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",1,0,,0.57,,https://app.dimensions.ai/details/publication/pub.1071051906,"1503 Business and Management; 15 Commerce, Management, Tourism and Services",1503 Business and Management,"15 Commerce, Management, Tourism and Services",,,
18,100,pub.1042891834,10.1016/j.cstp.2015.06.002,,,­­­Logistic regression models for the nearest train station choice: A comparison of captive and non-captive stations,Case Studies on Transport Policy,,,2015-12,2015,3,4,382-391,"All OA; Green, Accepted & Submitted",Article,"Shao, Changying; Xia, Jianhong Cecilia; Lin, Ting Grace; Goulias, Konstadinos G.; Chen, Chunmei","Shao, Changying","Shao, Changying (Government of Western Australia Department of Health); Xia, Jianhong Cecilia (Curtin University); Lin, Ting Grace (Curtin University); Goulias, Konstadinos G. (University of California, Santa Barbara); Chen, Chunmei (Curtin University)",4,2,,2.88,https://espace.curtin.edu.au/bitstream/20.500.11937/35353/2/234209_234209.pdf,https://app.dimensions.ai/details/publication/pub.1042891834,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
19,100,pub.1006439851,10.1007/s11116-014-9553-2,,,Place happiness: its constituents and the influence of emotions and subjective importance on activity type and destination choice,Transportation,,,2014-11,2014,41,6,1323-1340,Closed,Article,"Deutsch-Burgner, Kate; Ravualaparthy, Srinath; Goulias, Konstadinos","Deutsch-Burgner, Kate","Deutsch-Burgner, Kate (University of California, Santa Barbara); Ravualaparthy, Srinath (); Goulias, Konstadinos (University of California, Santa Barbara)",8,1,,1.93,,https://app.dimensions.ai/details/publication/pub.1006439851,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
20,100,pub.1041445316,10.1016/j.tra.2014.01.004,,,Dynamic diurnal social taxonomy of urban environments using data from a geocoded time use activity-travel diary and point-based business establishment inventory,Transportation Research Part A Policy and Practice,,,2014-10,2014,68,,3-17,Closed,Article,"Yoon, Seo Youn; Ravulaparthy, Srinath K.; Goulias, Konstadinos G.","Yoon, Seo Youn","Yoon, Seo Youn (Korea Research Institute for Human Settlements); Ravulaparthy, Srinath K. (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",9,2,,1.86,,https://app.dimensions.ai/details/publication/pub.1041445316,"12 Built Environment and Design; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning; 15 Commerce, Management, Tourism and Services",12 Built Environment and Design,1507 Transportation and Freight Services,1205 Urban and Regional Planning,"15 Commerce, Management, Tourism and Services",
21,100,pub.1021703401,10.1016/j.jtrangeo.2014.06.022,,,"Spatial analysis of access to and accessibility surrounding train stations: a case study of accessibility for the elderly in Perth, Western Australia",Journal of Transport Geography,,,2014-07,2014,39,,111-120,"All OA; Green, Accepted & Submitted",Article,"Lin, Ting; Xia, Jianhong; Robinson, Todd P.; Goulias, Konstadinos G.; Church, Richard L.; Olaru, Doina; Tapin, John; Han, Renlong","Lin, Ting","Lin, Ting (Curtin University); Xia, Jianhong (Curtin University); Robinson, Todd P. (Curtin University); Goulias, Konstadinos G. (University of California, Santa Barbara); Church, Richard L. (University of California, Santa Barbara); Olaru, Doina (University of Western Australia); Tapin, John (University of Western Australia); Han, Renlong ()",29,14,,10.32,https://espace.curtin.edu.au/bitstream/20.500.11937/12498/2/200822_200822a.pdf,https://app.dimensions.ai/details/publication/pub.1021703401,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
22,100,pub.1071050000,10.3141/2430-19,,,Assessing the Impact of Transportation Policies on Fuel Consumption and Greenhouse Gas Emissions Using a Household Vehicle Fleet Simulator,Transportation Research Record Journal of the Transportation Research Board,,,2014-01,2014,2430,1,182-190,"All OA; Green, Accepted & Submitted",Article,"Paleti, Rajesh; Bhat, Chandra R.; Pendyala, Ram M.; Goulias, Konstadinos G.; Adler, Thomas J.; Bahreinian, Aniss",,"Paleti, Rajesh (Parsons Brinckerhoff); Bhat, Chandra R. (); Pendyala, Ram M. (Arizona State University); Goulias, Konstadinos G. (University of California, Santa Barbara); Adler, Thomas J. (); Bahreinian, Aniss (California Energy Commission)",1,0,,0.24,https://repositories.lib.utexas.edu/bitstream/2152/21087/2/Bhat_VehicleFleetPolicyAnalysis.pdf,https://app.dimensions.ai/details/publication/pub.1071050000,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
23,100,pub.1071049991,10.3141/2430-10,,,Characterizing the Composition of Economic Activities in Central Locations,Transportation Research Record Journal of the Transportation Research Board,,,2014-01,2014,2430,1,95-104,Closed,Article,"Ravulaparthy, Srinath K.; Goulias, Konstadinos G.",,"Ravulaparthy, Srinath K. (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",8,3,,1.93,,https://app.dimensions.ai/details/publication/pub.1071049991,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
24,200,pub.1050169699,10.4337/9781781003152.00011,,,Chapter 5: Choice context,,Handbook of Choice Modelling,,2014,2014,,,101-130,Closed,Chapter,"Goulias, Konstadinos G.; Pendyala, Ram M.",,"Goulias, Konstadinos G. (); Pendyala, Ram M. ()",5,2,,,,https://app.dimensions.ai/details/publication/pub.1050169699,,,,,,
25,100,pub.1048411693,10.1007/s11116-013-9452-y,,,A household-level activity pattern generation model with an application for Southern California,Transportation,,,2013-09,2013,40,5,1063-1086,"All OA; Green, Accepted & Submitted",Article,"Bhat, Chandra R.; Goulias, Konstadinos G.; Pendyala, Ram M.; Paleti, Rajesh; Sidharthan, Raghuprasad; Schmitt, Laura; Hu, Hsi-Hwa","Bhat, Chandra R.","Bhat, Chandra R. (The University of Texas at Austin); Goulias, Konstadinos G. (University of California, Santa Barbara); Pendyala, Ram M. (Arizona State University); Paleti, Rajesh (Parsons Brinckerhoff); Sidharthan, Raghuprasad (The University of Texas at Austin); Schmitt, Laura (Georgia Institute of Technology); Hu, Hsi-Hwa ()",33,14,,7.64,https://repositories.lib.utexas.edu/bitstream/2152/23881/2/T_IntrahouseholdInteractions_unabridged.pdf,https://app.dimensions.ai/details/publication/pub.1048411693,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
26,100,pub.1053579511,10.1007/s11116-013-9465-6,,,"Decision makers and socializers, social networks and the role of individuals as participants",Transportation,,,2013-07,2013,40,4,755-771,Closed,Article,"Deutsch, Kathleen; Goulias, Konstadinos G.","Deutsch, Kathleen","Deutsch, Kathleen (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",17,5,,3.94,,https://app.dimensions.ai/details/publication/pub.1053579511,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
27,100,pub.1052147396,10.1016/j.jtrangeo.2012.12.001,,,Modeling travel behavior and sense of place using a structural equation model,Journal of Transport Geography,,,2013-04,2013,28,,155-163,Closed,Article,"Deutsch, Kathleen; Yoon, Seo Youn; Goulias, Konstadinos","Deutsch, Kathleen","Deutsch, Kathleen (University of California, Santa Barbara); Yoon, Seo Youn (Korea Research Institute for Human Settlements); Goulias, Konstadinos (University of California, Santa Barbara)",20,6,,6.36,,https://app.dimensions.ai/details/publication/pub.1052147396,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
28,100,pub.1071049409,10.3141/2382-04,,,Linking Elderly Transport Mobility and Subjective Well-Being,Transportation Research Record Journal of the Transportation Research Board,,,2013-01,2013,2382,1,28-36,Closed,Article,"Ravulaparthy, Srinath; Yoon, Seo Youn; Goulias, Konstadinos G.",,"Ravulaparthy, Srinath (University of California, Santa Barbara); Yoon, Seo Youn (Korea Research Institute for Human Settlements); Goulias, Konstadinos G. (University of California, Santa Barbara)",25,10,,5.79,,https://app.dimensions.ai/details/publication/pub.1071049409,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
29,100,pub.1071048917,10.3141/2343-11,,,Modeling of Household Vehicle Type Choice Accommodating Spatial Dependence Effects,Transportation Research Record Journal of the Transportation Research Board,,,2013-01,2013,2343,1,86-94,"All OA; Green, Accepted & Submitted",Article,"Paleti, Rajesh; Bhat, Chandra R.; Pendyala, Ram M.; Goulias, Konstadinos G.",,"Paleti, Rajesh (The University of Texas at Austin); Bhat, Chandra R. (The University of Texas at Austin; King Abdulaziz University); Pendyala, Ram M. (Arizona State University); Goulias, Konstadinos G. (University of California, Santa Barbara)",17,8,,3.94,https://repositories.lib.utexas.edu/bitstream/2152/23883/2/VehicleFleetSpatialDependency_14Mar2013.pdf,https://app.dimensions.ai/details/publication/pub.1071048917,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
30,200,pub.1071146373,10.3328/tl.2012.04.04.193-209,,,Using a multi equation model to unravel the influence of land use patterns on travel behavior of workers in Lisbon,Transportation Letters,,,2012-10,2012,4,4,193-209,Closed,Article,"de Abreu e Silva, João; Martinez, Luis; Goulias, Konstadinos",,"de Abreu e Silva, João (); Martinez, Luis (); Goulias, Konstadinos ()",13,6,,,,https://app.dimensions.ai/details/publication/pub.1071146373,,,,,,
31,100,pub.1049546219,10.1016/j.tra.2012.05.003,,,Using structural equations modeling to unravel the influence of land use patterns on travel behavior of workers in Montreal,Transportation Research Part A Policy and Practice,,,2012-10,2012,46,8,1252-1264,Closed,Article,"de Abreu e Silva, João; Morency, Catherine; Goulias, Konstadinos G.","de Abreu e Silva, João","de Abreu e Silva, João (University of Lisbon); Morency, Catherine (Polytechnique Montréal); Goulias, Konstadinos G. (University of California, Santa Barbara)",37,10,,6.81,,https://app.dimensions.ai/details/publication/pub.1049546219,"12 Built Environment and Design; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning; 15 Commerce, Management, Tourism and Services",12 Built Environment and Design,1507 Transportation and Freight Services,1205 Urban and Regional Planning,"15 Commerce, Management, Tourism and Services",
32,100,pub.1024471075,10.1007/s11116-012-9407-8,,,Feasibility of using time–space prism to represent available opportunities and choice sets for destination choice models in the context of dynamic urban environments,Transportation,,,2012-07,2012,39,4,807-823,Closed,Article,"Yoon, Seo Youn; Deutsch, Kathleen; Chen, Yali; Goulias, Konstadinos G.","Yoon, Seo Youn","Yoon, Seo Youn (University of California, Santa Barbara); Deutsch, Kathleen (University of California, Santa Barbara); Chen, Yali (University of California, Santa Barbara); Goulias, Konstadinos G. (University of California, Santa Barbara)",17,2,,3.68,,https://app.dimensions.ai/details/publication/pub.1024471075,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
33,100,pub.1071048701,10.3141/2323-06,,,Parental Attitudes toward Children Walking and Bicycling to School,Transportation Research Record Journal of the Transportation Research Board,,,2012-01,2012,2323,1,46-55,Closed,Article,"Seraj, Saamiya; Sidharthan, Raghuprasad; Bhat, Chandra R.; Pendyala, Ram M.; Goulias, Konstadinos G.",,"Seraj, Saamiya (The University of Texas at Austin); Sidharthan, Raghuprasad (The University of Texas at Austin); Bhat, Chandra R. (The University of Texas at Austin); Pendyala, Ram M. (Arizona State University); Goulias, Konstadinos G. (University of California, Santa Barbara)",32,12,,6.93,,https://app.dimensions.ai/details/publication/pub.1071048701,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
34,100,pub.1071048700,10.3141/2323-05,,,"Structural Equations Model of Land Use Patterns, Location Choice, and Travel Behavior in Southern California",Transportation Research Record Journal of the Transportation Research Board,,,2012-01,2012,2323,1,35-45,Closed,Article,"de Abreu e Silva, João; Goulias, Konstadinos G.; Dalal, Pamela",,"de Abreu e Silva, João (University of Lisbon); Goulias, Konstadinos G. (University of California, Santa Barbara); Dalal, Pamela (University of California, Santa Barbara)",8,4,,1.73,,https://app.dimensions.ai/details/publication/pub.1071048700,"09 Engineering; 12 Built Environment and Design; 15 Commerce, Management, Tourism and Services; 0905 Civil Engineering; 1507 Transportation and Freight Services; 1205 Urban and Regional Planning",09 Engineering,12 Built Environment and Design,"15 Commerce, Management, Tourism and Services",0905 Civil Engineering,1507 Transportation and Freight Services
