,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Krzysztof Janowicz. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
15,100,pub.1100456376,10.1111/tgis.12313,,,ADCN: An anisotropic density‐based clustering algorithm for discovering spatial point patterns with noise,Transactions in GIS,,,2018-02,2018,22,1,348-369,"All OA; Green, Accepted & Submitted",Article,"Mai, Gengchen; Janowicz, Krzysztof; Hu, Yingjie; Gao, Song",,"Mai, Gengchen (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Hu, Yingjie (University of Tennessee at Knoxville); Gao, Song (University of California, Santa Barbara)",5,5,,,https://escholarship.org/content/qt3np9r4zb/qt3np9r4zb.pdf?t=prk0j4,https://app.dimensions.ai/details/publication/pub.1100456376,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
16,200,pub.1100437800,10.3233/sw-180290,,,On the quality of vocabularies for linked dataset papers published in the Semantic Web journal,Semantic Web,,,2018-01-24,2018,Preprint,Preprint,1-14,All OA; Gold,Article,"Sam, Stella; Hitzler, Pascal; Janowicz, Krzysztof",,"Sam, Stella (Wright State University); Hitzler, Pascal (Wright State University); Janowicz, Krzysztof (University of California, Santa Barbara)",1,1,,,https://content.iospress.com:443/download/semantic-web/sw290?id=semantic-web%2Fsw290,https://app.dimensions.ai/details/publication/pub.1100437800,08 Information and Computing Sciences,08 Information and Computing Sciences,,,,
17,100,pub.1107922944,10.1007/978-3-030-03667-6_14,,,Support and Centrality: Learning Weights for Knowledge Graph Embedding Models,Lecture Notes in Computer Science,Knowledge Engineering and Knowledge Management,,2018,2018,11313,,212-227,Closed,Chapter,"Mai, Gengchen; Janowicz, Krzysztof; Yan, Bo","Mai, Gengchen","Mai, Gengchen (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Yan, Bo (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107922944,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
18,100,pub.1107873741,10.1145/3281354.3281359,,,POIReviewQA: A Semantically Enriched POI Retrieval and Question Answering Dataset,,Proceedings of the 12th Workshop on Geographic Information Retrieval - GIR'18,,2018,2018,,,5,"All OA; Green, Accepted & Submitted",Proceeding,"Mai, Gengchen; Janowicz, Krzysztof; He, Cheng; Liu, Sumang; Lao, Ni",,"Mai, Gengchen (); Janowicz, Krzysztof (); He, Cheng (); Liu, Sumang (); Lao, Ni ()",1,1,,,http://arxiv.org/pdf/1810.02802,https://app.dimensions.ai/details/publication/pub.1107873741,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing; 0806 Information Systems,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,0806 Information Systems,,
19,100,pub.1107240267,10.2139/ssrn.3248499,,,"SOSA: A Lightweight Ontology for Sensors, Observations, Samples, and Actuators",SSRN Electronic Journal,,,2018,2018,,,,"All OA; Green, Accepted & Submitted",Preprint,"Janowicz, Krzysztof; Haller, Armin; Cox, Simon; Le Phuoc, Danh; Lefrancois, Maxime",,"Janowicz, Krzysztof (); Haller, Armin (Australian National University); Cox, Simon (); Le Phuoc, Danh (); Lefrancois, Maxime ()",1,1,,,http://arxiv.org/pdf/1805.09979,https://app.dimensions.ai/details/publication/pub.1107240267,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
20,100,pub.1104350434,10.1007/978-3-319-93417-4_34,,,GNIS-LD: Serving and Visualizing the Geographic Names Information System Gazetteer as Linked Data,Lecture Notes in Computer Science,The Semantic Web,,2018,2018,10843,,528-540,Closed,Chapter,"Regalia, Blake; Janowicz, Krzysztof; Mai, Gengchen; Varanka, Dalia; Usery, E. Lynn","Regalia, Blake","Regalia, Blake (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Mai, Gengchen (University of California, Santa Barbara); Varanka, Dalia (United States Geological Survey); Usery, E. Lynn (United States Geological Survey)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1104350434,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
21,500,pub.1092193892,10.1371/journal.pone.0186474,29028828,PMC5640242,"ISED: Constructing a high-resolution elevation road dataset from massive, low-quality in-situ observations derived from geosocial fitness tracking data",PLoS ONE,,"Geography; Image Processing, Computer-Assisted; Quality Control; Statistics as Topic",2017-10-13,2017,12,10,e0186474,All OA; Gold,Article,"McKenzie, Grant; Janowicz, Krzysztof",,"McKenzie, Grant (University of Maryland, College Park); Janowicz, Krzysztof (University of California, Santa Barbara)",0,0,0,0,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0186474&type=printable,https://app.dimensions.ai/details/publication/pub.1092193892,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
22,100,pub.1086139469,10.1111/tgis.12289,,,Extracting urban functional regions from points of interest and human activities on location‐based social networks,Transactions in GIS,,,2017-06,2017,21,3,446-467,Closed,Article,"Gao, Song; Janowicz, Krzysztof; Couclelis, Helen",,"Gao, Song (); Janowicz, Krzysztof (); Couclelis, Helen ()",42,41,,33.44,,https://app.dimensions.ai/details/publication/pub.1086139469,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
23,100,pub.1071128246,10.3233/sw-160231,,,An Ontology Design Pattern and its use case for modeling material transformation,Semantic Web,,,2017-04-06,2017,8,5,719-731,Closed,Article,"Vardeman, Charles F.; Krisnadhi, Adila A.; Cheatham, Michelle; Janowicz, Krzysztof; Ferguson, Holly; Hitzler, Pascal; Buccellato, Aimee P.C.",,"Vardeman, Charles F. (University of Notre Dame); Krisnadhi, Adila A. (Wright State University; University of Indonesia); Cheatham, Michelle (Wright State University); Janowicz, Krzysztof (University of California, Santa Barbara); Ferguson, Holly (University of Notre Dame); Hitzler, Pascal (Wright State University); Buccellato, Aimee P.C. (University of Notre Dame)",5,5,,3.98,,https://app.dimensions.ai/details/publication/pub.1071128246,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
24,100,pub.1002968903,10.1111/gean.12117,,,Prioritizing Disaster Mapping Tasks for Online Volunteers Based on Information Value Theory,Geographical Analysis,,,2017-04,2017,49,2,175-198,Closed,Article,"Hu, Yingjie; Janowicz, Krzysztof; Couclelis, Helen",,"Hu, Yingjie (University of Tennessee at Knoxville); Janowicz, Krzysztof (University of California, Santa Barbara); Couclelis, Helen (University of California, Santa Barbara)",7,6,,3.08,,https://app.dimensions.ai/details/publication/pub.1002968903,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
25,100,pub.1087289617,10.1002/9781118786352.wbieg1158,,,Geospatial Semantic Web,,"International Encyclopedia of Geography: People, the Earth, Environment and Technology",,2017-03-06,2017,,,1-6,Closed,Chapter,"Janowicz, Krzysztof; Hitzler, Pascal",,"Janowicz, Krzysztof (University of California, Santa Barbara); Hitzler, Pascal (Wright State University)",1,1,,0.8,,https://app.dimensions.ai/details/publication/pub.1087289617,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
26,100,pub.1058385969,10.1080/13658816.2016.1273357,,,A data-synthesis-driven method for detecting and extracting vague cognitive regions,International Journal of Geographical Information Science,,,2017-01-08,2017,,,1-27,Closed,Article,"Gao, Song; Janowicz, Krzysztof; Montello, Daniel R.; Hu, Yingjie; Yang, Jiue-An; McKenzie, Grant; Ju, Yiting; Gong, Li; Adams, Benjamin; Yan, Bo",,"Gao, Song (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Montello, Daniel R. (University of California, Santa Barbara); Hu, Yingjie (University of Tennessee at Knoxville); Yang, Jiue-An (San Diego State University); McKenzie, Grant (University of Maryland, College Park); Ju, Yiting (University of California, Santa Barbara); Gong, Li (Peking University); Adams, Benjamin (University of Auckland); Yan, Bo (University of California, Santa Barbara)",29,26,,13.81,,https://app.dimensions.ai/details/publication/pub.1058385969,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
27,100,pub.1021712409,10.1016/j.compenvurbsys.2014.02.004,,,Constructing gazetteers from volunteered Big Geo-Data based on Hadoop,Computers Environment and Urban Systems,,,2017-01,2017,61,,172-186,"All OA; Green, Accepted & Submitted",Article,"Gao, Song; Li, Linna; Li, Wenwen; Janowicz, Krzysztof; Zhang, Yue","Gao, Song","Gao, Song (University of California, Santa Barbara); Li, Linna (California State University, Long Beach); Li, Wenwen (Arizona State University); Janowicz, Krzysztof (University of California, Santa Barbara); Zhang, Yue (Arizona State University)",66,29,,30.39,http://arxiv.org/pdf/1311.7676,https://app.dimensions.ai/details/publication/pub.1021712409,09 Engineering; 0909 Geomatic Engineering; 12 Built Environment and Design; 1205 Urban and Regional Planning,09 Engineering,0909 Geomatic Engineering,12 Built Environment and Design,1205 Urban and Regional Planning,
28,100,pub.1100336928,10.1145/3041021.3055510,,,LDOW2017: 10th Workshop on Linked Data on the Web,,Proceedings of the 26th International Conference on World Wide Web Companion  - WWW '17 Companion,,2017,2017,,,1679-1680,Closed,Proceeding,"Lehmann, Jens; Auer, Sören; Capadisli, Sarven; Janowicz, Krzysztof; Bizer, Christian; Heath, Tom; Hogan, Aidan; Berners-Lee, Tim",,"Lehmann, Jens (University of Bonn); Auer, Sören (University of Bonn); Capadisli, Sarven (University of Bonn); Janowicz, Krzysztof (University of California, Santa Barbara); Bizer, Christian (University of Mannheim); Heath, Tom (Arup Group (United Kingdom)); Hogan, Aidan (University of Chile); Berners-Lee, Tim (Massachusetts Institute of Technology)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1100336928,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
29,100,pub.1099690235,10.1145/3139958.3140058,,,How Alternative are Alternative Facts?: Towards Measuring Statement Coherence via Spatial Analysis,,Proceedings of the 25th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems - SIGSPATIAL'17,,2017,2017,,,13,Closed,Proceeding,"Janowicz, Krzysztof; McKenzie, Grant",,"Janowicz, Krzysztof (University of California, Santa Barbara); McKenzie, Grant (University of Maryland, College Park)",1,1,,0.8,,https://app.dimensions.ai/details/publication/pub.1099690235,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
30,100,pub.1099690082,10.1145/3139958.3140054,,,From ITDL to Place2Vec: Reasoning About Place Type Similarity and Relatedness by Learning Embeddings From Augmented Spatial Contexts,,Proceedings of the 25th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems - SIGSPATIAL'17,,2017,2017,,,35,Closed,Proceeding,"Yan, Bo; Janowicz, Krzysztof; Mai, Gengchen; Gao, Song",,"Yan, Bo (University of California, Santa Barbara); Janowicz, Krzysztof (University of California, Santa Barbara); Mai, Gengchen (University of California, Santa Barbara); Gao, Song (University of Wisconsin–Madison)",14,14,,11.15,,https://app.dimensions.ai/details/publication/pub.1099690082,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
31,100,pub.1084766752,10.1007/978-3-319-56759-4_19,,,Beyond Pairs: Generalizing the Geo-dipole for Quantifying Spatial Patterns in Geographic Fields,Lecture Notes in Geoinformation and Cartography,Societal Geo-innovation,,2017,2017,,,331-348,Closed,Chapter,"Zhu, Rui; Kyriakidis, Phaedon C.; Janowicz, Krzysztof","Zhu, Rui","Zhu, Rui (University of California, Santa Barbara); Kyriakidis, Phaedon C. (Cyprus University of Technology); Janowicz, Krzysztof (University of California, Santa Barbara)",4,4,,1.76,,https://app.dimensions.ai/details/publication/pub.1084766752,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
32,100,pub.1084761134,10.1007/978-3-319-56759-4_14,,,The Effect of Regional Variation and Resolution on Geosocial Thematic Signatures for Points of Interest,Lecture Notes in Geoinformation and Cartography,Societal Geo-innovation,,2017,2017,,,237-256,Closed,Chapter,"McKenzie, Grant; Janowicz, Krzysztof","McKenzie, Grant","McKenzie, Grant (University of Maryland, College Park); Janowicz, Krzysztof (University of California, Santa Barbara)",5,4,,3.68,,https://app.dimensions.ai/details/publication/pub.1084761134,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
33,200,pub.1072758317,10.5311/josis.2016.13.330,,,Provenance and credibility in spatial and platial data,Journal of Spatial Information Science,,,2016-12-21,2016,,13,,All OA; Gold,Article,"McKenzie, Grant; Raubal, Martin; Janowicz, Krzysztof; Flanagin, Andrew",,"McKenzie, Grant (); Raubal, Martin (); Janowicz, Krzysztof (); Flanagin, Andrew ()",1,1,,,https://doi.org/10.5311/josis.2016.13.330,https://app.dimensions.ai/details/publication/pub.1072758317,,,,,,
34,100,pub.1044397545,10.1016/j.jclepro.2016.07.216,,,Semantic catalogs for life cycle assessment data,Journal of Cleaner Production,,,2016-11,2016,137,Resour. Conserv. Recycl. 14 3–4 1995,1109-1117,All OA; Gold,Article,"Kuczenski, Brandon; Davis, Christopher B.; Rivela, Beatriz; Janowicz, Krzysztof","Kuczenski, Brandon","Kuczenski, Brandon (University of California, Santa Barbara); Davis, Christopher B. (University of Groningen); Rivela, Beatriz (National Polytechnic School); Janowicz, Krzysztof (University of California, Santa Barbara)",6,5,,1.75,https://doi.org/10.1016/j.jclepro.2016.07.216,https://app.dimensions.ai/details/publication/pub.1044397545,0915 Interdisciplinary Engineering; 09 Engineering; 0910 Manufacturing Engineering; 0907 Environmental Engineering,0915 Interdisciplinary Engineering,09 Engineering,0910 Manufacturing Engineering,0907 Environmental Engineering,
35,200,pub.1016894463,10.3233/sw-160232,,,Editorial,Semantic Web,,,2016-06-23,2016,7,5,481-481,All OA; Gold,Article,"Hitzler, Pascal; Janowicz, Krzysztof",,"Hitzler, Pascal (Wright State University); Janowicz, Krzysztof (University of California, Santa Barbara)",0,0,,,https://content.iospress.com:443/download/semantic-web/sw232?id=semantic-web%2Fsw232,https://app.dimensions.ai/details/publication/pub.1016894463,08 Information and Computing Sciences,08 Information and Computing Sciences,,,,
