,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Gary D Libecap. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,200,pub.1064529497,10.1257/jel.52.2.424,,,Addressing Global Environmental Externalities: Transaction Costs Considerations,Journal of Economic Literature,,,2014-06,2014,52,2,424-479,"All OA; Green, Published",Article,"Libecap, Gary D.",,"Libecap, Gary D. ()",30,7,,,http://www.nber.org/papers/w19501.pdf,https://app.dimensions.ai/details/publication/pub.1064529497,14 Economics,14 Economics,,,,
11,100,pub.1069137723,10.2166/wp.2011.016,,,Comparative assessment of water markets: insights from the Murray–Darling Basin of Australia and the Western USA,Water Policy,,,2012-04,2012,14,2,175-193,"All OA; Green, Accepted & Submitted",Article,"Grafton, R. Quentin; Libecap, Gary D.; Edwards, Eric C.; O'Brien, R. J. (Bob); Landry, Clay",,"Grafton, R. Quentin (Australian National University); Libecap, Gary D. (University of California, Santa Barbara; University of Cambridge; National Bureau of Economic Research); Edwards, Eric C. (University of California, Santa Barbara); O'Brien, R. J. (Bob) (); Landry, Clay ()",42,18,,24.54,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=2267&context=appecon_facpub,https://app.dimensions.ai/details/publication/pub.1069137723,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
12,100,pub.1102345085,10.2139/ssrn.2093684,,,Land Demarcation Systems in California: A Legacy of History,SSRN Electronic Journal,,,2012,2012,,,,"All OA; Green, Accepted & Submitted",Preprint,"Lueck, Dean; Libecap, Gary D.; Lopes, Adrian",,"Lueck, Dean (); Libecap, Gary D. (); Lopes, Adrian (Cornell University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1102345085,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
13,200,pub.1058847961,10.1086/662185,,,Large-Scale Institutional Changes: Land Demarcation in the British                         Empire,The Journal of Law and Economics,,,2011-11,2011,54,S4,s295-s327,Closed,Article,"Libecap, Gary D.; Lueck, Dean; O’Grady, Trevor",,"Libecap, Gary D. (); Lueck, Dean (); O’Grady, Trevor ()",6,2,,4.18,,https://app.dimensions.ai/details/publication/pub.1058847961,18 Law and Legal Studies; 1402 Applied Economics; 1801 Law; 14 Economics,18 Law and Legal Studies,1402 Applied Economics,1801 Law,14 Economics,
14,100,pub.1020003403,10.1146/annurev-resource-083110-120056,,,Efficiency Advantages of Grandfathering in Rights-Based Fisheries Management,Annual Review of Resource Economics,,,2011-10,2011,3,1,159-179,Closed,Article,"Anderson, Terry; Arnason, Ragnar; Libecap, Gary D.",,"Anderson, Terry (); Arnason, Ragnar (University of Iceland); Libecap, Gary D. (University of California, Santa Barbara)",16,8,,7.7,,https://app.dimensions.ai/details/publication/pub.1020003403,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
15,200,pub.1059990374,10.1093/reep/rer002,,,An Integrated Assessment of Water Markets: A Cross-Country Comparison,Review of Environmental Economics and Policy,,,2011-06-01,2011,5,2,219-239,Closed,Article,"Grafton, R. Q.; Libecap, G.; McGlennon, S.; Landry, C.; O'Brien, B.",,"Grafton, R. Q. (); Libecap, G. (); McGlennon, S. (); Landry, C. (); O'Brien, B. ()",99,37,,27.2,,https://app.dimensions.ai/details/publication/pub.1059990374,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
16,200,pub.1058846974,10.1086/660842,,,The Demarcation of Land and the Role of Coordinating Property Institutions,Journal of Political Economy,,,2011-06,2011,119,3,426-467,"All OA; Green, Accepted & Submitted",Article,"Libecap, Gary D.; Lueck, Dean",,"Libecap, Gary D. (); Lueck, Dean ()",50,17,,,http://ag.arizona.edu/arec/pubs/facultypubs/libecaplueckJPE_June_2011.pdf,https://app.dimensions.ai/details/publication/pub.1058846974,"14 Economics; 15 Commerce, Management, Tourism and Services",14 Economics,"15 Commerce, Management, Tourism and Services",,,
17,200,pub.1064525338,10.1257/aer.101.1.64,,,Institutional Path Dependence in Climate Adaptation: Coman's “Some Unsettled Problems of Irrigation”,American Economic Review,,,2011-02,2011,101,1,64-80,All OA; Gold,Article,"Libecap, Gary D",,"Libecap, Gary D ()",55,18,,,https://www.aeaweb.org/articles/pdf/doi/10.1257/aer.101.1.64,https://app.dimensions.ai/details/publication/pub.1064525338,"14 Economics; 15 Commerce, Management, Tourism and Services",14 Economics,"15 Commerce, Management, Tourism and Services",,,
18,200,pub.1019712198,10.4337/9781849808972.00018,,,Chapter 13: Land Demarcation Systems,,Research Handbook on the Economics of Property Law,,2011,2011,,,,"All OA; Green, Accepted & Submitted",Chapter,"Libecap, Gary D.; Lueck, Dean",,"Libecap, Gary D. (); Lueck, Dean ()",1,0,,,http://cardon.web.arizona.edu/files/Libecap_Lueck_chapter1208.pdf,https://app.dimensions.ai/details/publication/pub.1019712198,,,,,,
19,100,pub.1102315704,10.2139/ssrn.1858723,,,A Comparative Assessment of Water Markets: Insights from the Murray-Darling Basin of Australia and the Western US,SSRN Electronic Journal,,,2011,2011,,,,"All OA; Green, Accepted & Submitted",Preprint,"Libecap, Gary D.; Grafton, R. Quentin; Edwards, Eric C.; O'Brien, R. J.; Landry, Clay",,"Libecap, Gary D. (); Grafton, R. Quentin (Australian National University); Edwards, Eric C. (Utah State University); O'Brien, R. J. (); Landry, Clay ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1102315704,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
20,100,pub.1017143378,10.1029/2010eo160005,,,Recommendations for Interdisciplinary Study of Tipping Points in Natural and Social Systems,Eos,,,2010-04-20,2010,91,16,143-144,All OA; Gold,Article,"Jordan, Teresa E.; Sala, Osvaldo E.; Stafford, Susan G.; Bubier, Jill L.; Crittenden, John C.; Cutter, Susan L.; Kay, Alan C.; Libecap, Gary D.; Moore, John C.; Rabalais, Nancy N.; Shepherd, J. Marshall; Travis, Jospeh",,"Jordan, Teresa E. (Cornell University); Sala, Osvaldo E. (Brown University); Stafford, Susan G. (University of Minnesota); Bubier, Jill L. (Mount Holyoke College); Crittenden, John C. (Georgia Institute of Technology); Cutter, Susan L. (); Kay, Alan C. (Viewpoints Research Institute); Libecap, Gary D. (University of California, Santa Barbara); Moore, John C. (Colorado State University); Rabalais, Nancy N. (Louisiana Universities Marine Consortium); Shepherd, J. Marshall (University of Georgia); Travis, Jospeh (Florida State University)",6,1,,2.09,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010EO160005,https://app.dimensions.ai/details/publication/pub.1017143378,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
21,100,pub.1000318760,10.1002/9780813820262.ch8,,,Rights‐Based Management of Tuna Fisheries: Lessons from the Assignment of Property Rights on the Western US Frontier,,Conservation and Management of Transnational Tuna Fisheries,,2010-02-01,2010,,,137-154,"All OA; Green, Accepted & Submitted",Chapter,"Libecap, Gary D.",,"Libecap, Gary D. (University of California, Santa Barbara)",3,0,,,http://www.iattc.org/pdffiles2/tunarights.pdf,https://app.dimensions.ai/details/publication/pub.1000318760,,,,,,
22,200,pub.1025248311,10.1080/00139150903481882,,,Now is the Time for Action: Transitions and Tipping Points in Complex Environmental Systems,Environment Science and Policy for Sustainable Development,,,2010-01,2010,52,1,38-45,Closed,Article,"Stafford, Susan G.; Bartels, Dennis M.; Begay-Campbell, Sandra; Bubier, Jill L.; Crittenden, John C.; Cutter, Susan L.; Delaney, John R.; Jordan, Teresa E.; Kay, Alan C.; Libecap, Gary D.; Moore, John C.; Rabalais, Nancy N.; Rejeski, David; Sala, Osvaldo E.; Shepherd, J. Marshall; Travis, Joseph",,"Stafford, Susan G. (); Bartels, Dennis M. (); Begay-Campbell, Sandra (); Bubier, Jill L. (); Crittenden, John C. (); Cutter, Susan L. (); Delaney, John R. (); Jordan, Teresa E. (); Kay, Alan C. (); Libecap, Gary D. (); Moore, John C. (); Rabalais, Nancy N. (); Rejeski, David (); Sala, Osvaldo E. (); Shepherd, J. Marshall (); Travis, Joseph ()",10,1,,,,https://app.dimensions.ai/details/publication/pub.1025248311,,,,,,
23,100,pub.1102300143,10.2139/ssrn.1740455,,,Efficiency Advantages of Grandfathering in Rights-Based Fisheries Management,SSRN Electronic Journal,,,2010,2010,,,,"All OA; Green, Accepted & Submitted",Preprint,"Libecap, Gary D.; Arnason, Ragnar; Anderson, Terry L.",,"Libecap, Gary D. (); Arnason, Ragnar (University of Iceland); Anderson, Terry L. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1102300143,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
24,100,pub.1102300139,10.2139/ssrn.1740485,,,"An Integrated Assessment of Water Markets: Australia, Chile, China, South Africa and the USA",SSRN Electronic Journal,,,2010,2010,,,,"All OA; Green, Accepted & Submitted",Preprint,"Libecap, Gary D.; Grafton, R. Quentin; Landry, Clay; McGlennon, Sam; O'Brien, R. J.",,"Libecap, Gary D. (); Grafton, R. Quentin (Australian National University); Landry, Clay (); McGlennon, Sam (); O'Brien, R. J. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1102300139,1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management; 14 Economics,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management,14 Economics,
25,100,pub.1102298804,10.2139/ssrn.1727350,,,Water Scarcity and Water Markets: A Comparison of Institutions and Practices in the Murray-Darling Basin of Australia and the Western US,SSRN Electronic Journal,,,2010,2010,,,,"All OA; Green, Accepted & Submitted",Preprint,"Libecap, Gary D.; Grafton, R. Quentin; Landry, Clay; O’Brien, R.J.; Edwards, E.C.",,"Libecap, Gary D. (); Grafton, R. Quentin (Australian National University); Landry, Clay (); O’Brien, R.J. (); Edwards, E.C. ()",1,0,,0.21,,https://app.dimensions.ai/details/publication/pub.1102298804,04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience; 1402 Applied Economics; 14 Economics,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,1402 Applied Economics,14 Economics,
26,200,pub.1004491023,10.1111/j.1468-0289.2009.00501_36.x,,,The case for big government – By Jeff Madrick,The Economic History Review,,,2009-11,2009,62,4,1049-1050,Closed,Article,"LIBECAP, GARY D.",,"LIBECAP, GARY D. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1004491023,"14 Economics; 15 Commerce, Management, Tourism and Services; 22 Philosophy and Religious Studies; 1503 Business and Management; 2202 History and Philosophy of Specific Fields; 1402 Applied Economics",14 Economics,"15 Commerce, Management, Tourism and Services",22 Philosophy and Religious Studies,1503 Business and Management,2202 History and Philosophy of Specific Fields
27,100,pub.1050219873,10.1111/j.1467-8489.2007.00423.x,,,Property rights and the public trust doctrine in environmental protection and natural resource conservation*,Australian Journal of Agricultural and Resource Economics,,,2009-01,2009,53,1,1-17,All OA; Gold,Article,"Brewer, Jedidiah; Libecap, Gary D.",,"Brewer, Jedidiah (); Libecap, Gary D. ()",8,1,,4.67,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-8489.2007.00423.x,https://app.dimensions.ai/details/publication/pub.1050219873,18 Law and Legal Studies; 1402 Applied Economics; 1801 Law; 14 Economics,18 Law and Legal Studies,1402 Applied Economics,1801 Law,14 Economics,
28,100,pub.1044535322,10.1111/j.1467-8489.2007.00425.x,,,The tragedy of the commons: property rights and markets as solutions to resource and environmental problems,Australian Journal of Agricultural and Resource Economics,,,2009-01,2009,53,1,129-144,"All OA; Green, Published",Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of California, Santa Barbara)",28,10,,16.35,http://dlc.dlib.indiana.edu/dlc/bitstream/handle/10535/6315/The%20tragedy%20of%20the%20commons.pdf?sequence=1&isAllowed=y,https://app.dimensions.ai/details/publication/pub.1044535322,18 Law and Legal Studies; 1402 Applied Economics; 1801 Law; 14 Economics,18 Law and Legal Studies,1402 Applied Economics,1801 Law,14 Economics,
29,100,pub.1102269163,10.2139/ssrn.1436986,,,The Demarcation of Land and the Role of Coordinating Institutions,SSRN Electronic Journal,,,2009,2009,,,,"All OA; Green, Published",Preprint,"Libecap, Gary D.; Lueck, Dean",,"Libecap, Gary D. (); Lueck, Dean ()",3,1,,1.18,http://www.nber.org/papers/w14942.pdf,https://app.dimensions.ai/details/publication/pub.1102269163,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
30,100,pub.1102269123,10.2139/ssrn.1437510,,,Markets - Water Markets: Australia's Murray-Darling Basin and the US Southwest,SSRN Electronic Journal,,,2009,2009,,,,"All OA; Green, Accepted & Submitted",Preprint,"Libecap, Gary D.; Grafton, R. Quentin; Landry, Clay; O'Brien, R. J.",,"Libecap, Gary D. (); Grafton, R. Quentin (Australian National University); Landry, Clay (); O'Brien, R. J. ()",0,0,,0,http://perc.org/sites/default/files/Libecap Grafton water markets australia.pdf,https://app.dimensions.ai/details/publication/pub.1102269123,04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience; 1402 Applied Economics; 14 Economics,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,1402 Applied Economics,14 Economics,
31,100,pub.1030383524,10.1016/j.marpol.2007.11.003,,,Positioning fisheries in a changing world,Marine Policy,,,2008-07,2008,32,4,630-634,Closed,Article,"Grafton, R. Quentin; Hilborn, Ray; Ridgeway, Lori; Squires, Dale; Williams, Meryl; Garcia, Serge; Groves, Theodore; Joseph, James; Kelleher, Kieran; Kompas, Tom; Libecap, Gary; Lundin, Carl Gustaf; Makino, Mitsutaku; Matthiasson, Thorolfur; McLoughlin, Richard; Parma, Ana; San Martin, Gustavo; Satia, Ben; Schmidt, Carl-Christian; Tait, Maree; Zhang, Lin Xiu","Grafton, R. Quentin","Grafton, R. Quentin (Australian National University); Hilborn, Ray (University of Washington); Ridgeway, Lori (Fisheries and Oceans Canada); Squires, Dale (Southwest Fisheries Science Center); Williams, Meryl (); Garcia, Serge (Food and Agriculture Organization of the United Nations); Groves, Theodore (University of California, San Diego); Joseph, James (); Kelleher, Kieran (World Bank); Kompas, Tom (Australian National University); Libecap, Gary (University of California, Santa Barbara); Lundin, Carl Gustaf (International Union for Conservation of Nature); Makino, Mitsutaku (Fisheries Research Agency); Matthiasson, Thorolfur (University of Iceland); McLoughlin, Richard (); Parma, Ana (); San Martin, Gustavo (); Satia, Ben (); Schmidt, Carl-Christian (Organisation For Economic Co-Operation and Development); Tait, Maree (Australian National University); Zhang, Lin Xiu (Chinese Academy of Sciences)",26,1,,3.52,,https://app.dimensions.ai/details/publication/pub.1030383524,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
32,100,pub.1016303002,10.1111/j.1465-7295.2007.00072.x,,,"2006 PRESIDENTIAL ADDRESS WATER MARKETS IN THE WEST: PRICES, TRADING, AND CONTRACTUAL FORMS",Economic Inquiry,,,2008-04,2008,46,2,91-112,"All OA; Green, Accepted & Submitted",Article,"BREWER, JEDIDIAH; GLENNON, ROBERT; KER, ALAN; LIBECAP, GARY",,"BREWER, JEDIDIAH (University of Arizona); GLENNON, ROBERT (University of Arizona); KER, ALAN (University of Arizona); LIBECAP, GARY (University of California, Santa Barbara)",65,15,,24.47,http://www2.bren.ucsb.edu/~glibecap/Econ Inquiry.pdf,https://app.dimensions.ai/details/publication/pub.1016303002,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
33,100,pub.1003156483,10.1007/978-3-540-69305-5_22,,,"State Regulation of Open-Access, Common-Pool Resources",,Handbook of New Institutional Economics,,2008,2008,,,545-572,"All OA; Green, Accepted & Submitted",Chapter,"Libecap, Gary D.",,"Libecap, Gary D. (University of Arizona)",1,1,,0.56,http://dlc.dlib.indiana.edu/dlc/bitstream/handle/10535/3839/Libecap19-03.pdf?sequence=1&isAllowed=y,https://app.dimensions.ai/details/publication/pub.1003156483,18 Law and Legal Studies; 1402 Applied Economics; 1801 Law; 14 Economics,18 Law and Legal Studies,1402 Applied Economics,1801 Law,14 Economics,
34,100,pub.1022696977,10.1017/s0022050707000101,,,The Assignment of Property Rights on the Western Frontier: Lessons for Contemporary Environmental and Resource Policy,The Journal of Economic History,,,2007-06,2007,67,2,257-291,"All OA; Green, Published",Article,"Libecap, Gary D.",,"Libecap, Gary D. (University of California, Santa Barbara)",26,7,,8.49,http://www.nber.org/papers/w12598.pdf,https://app.dimensions.ai/details/publication/pub.1022696977,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
35,100,pub.1102229664,10.2139/ssrn.964819,,,"Water Markets in the West: Prices, Trading, and Contractual Forms",SSRN Electronic Journal,,,2007,2007,,,,"All OA; Green, Published",Preprint,"Brewer, Jedidiah; Glennon, Robert; Ker, Alan P.; Libecap, Gary D.",,"Brewer, Jedidiah (University of Arizona); Glennon, Robert (); Ker, Alan P. (University of Arizona); Libecap, Gary D. ()",5,2,,1.63,http://www.nber.org/papers/w13002.pdf,https://app.dimensions.ai/details/publication/pub.1102229664,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
36,200,pub.1019379973,10.1007/0-387-25092-1_22,,,"State Regulation of Open-Access, Common-Pool Resources",,Handbook of New Institutional Economics,,2005,2005,,,545-572,"All OA; Green, Accepted & Submitted",Chapter,"Libecap, Gary D.",,"Libecap, Gary D. ()",21,2,,,http://dlc.dlib.indiana.edu/dlc/bitstream/handle/10535/3839/Libecap19-03.pdf?sequence=1&isAllowed=y,https://app.dimensions.ai/details/publication/pub.1019379973,,,,,,
37,100,pub.1102211616,10.2139/ssrn.761750,,,How Interest Groups with Limited Resources Can Influence Political Outcomes: Information Control and the Landless Peasant Movement in Brazil,SSRN Electronic Journal,,,2005,2005,,,,"All OA; Green, Accepted & Submitted",Preprint,"Alston, Lee J.; Mueller, Bernardo; Libecap, Gary D.",,"Alston, Lee J. (); Mueller, Bernardo (University of Brasília); Libecap, Gary D. ()",1,0,,0.38,,https://app.dimensions.ai/details/publication/pub.1102211616,1606 Political Science; 16 Studies in Human Society,1606 Political Science,16 Studies in Human Society,,,
38,200,pub.1058674473,10.1086/383102,,,"Small Farms, Externalities, and the Dust Bowl of the 1930s",Journal of Political Economy,,,2004-06,2004,112,3,665-694,"All OA; Green, Published",Article,"Hansen, Zeynep K.; Libecap, Gary D.",,"Hansen, Zeynep K. (); Libecap, Gary D. ()",77,14,,,http://www.nber.org/papers/w10055.pdf,https://app.dimensions.ai/details/publication/pub.1058674473,"14 Economics; 15 Commerce, Management, Tourism and Services",14 Economics,"15 Commerce, Management, Tourism and Services",,,
39,100,pub.1013801093,10.1016/j.eeh.2003.10.002,,,The allocation of property rights to land: US land policy and farm failure in the northern great plains,Explorations in Economic History,,,2004-04,2004,41,2,103-129,Closed,Article,"Hansen, Zeynep K; Libecap, Gary D","Libecap, Gary D","Hansen, Zeynep K (Washington University in St. Louis); Libecap, Gary D (University of Arizona)",15,5,,7.41,,https://app.dimensions.ai/details/publication/pub.1013801093,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
40,200,pub.1052464024,10.1017/s0022050704362704,,,"A History of Public Sector Pensions in the United States. By Robert L. Clark, Lee A Craig, and Jack W. Wilson. Philadelphia: University of Pennsylvania Press, 2003. Pp. ix, 259. $49.95 -",The Journal of Economic History,,,2004-03,2004,64,1,267-268,Closed,Article,"LIBECAP, GARY D.",,"LIBECAP, GARY D. (University of Arizona)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1052464024,1402 Applied Economics; 14 Economics; 2202 History and Philosophy of Specific Fields; 22 Philosophy and Religious Studies,1402 Applied Economics,14 Economics,2202 History and Philosophy of Specific Fields,22 Philosophy and Religious Studies,
41,100,pub.1012884772,10.1093/ei/cbg001,,,Transaction Costs and Coalition Stability under Majority Rule,Economic Inquiry,,,2003-04,2003,41,2,193-207,Closed,Article,"Johnson, Ronald N.; Libecap, Gary D.",,"Johnson, Ronald N. (); Libecap, Gary D. (University of Arizona)",6,1,,,,https://app.dimensions.ai/details/publication/pub.1012884772,14 Economics,14 Economics,,,,
