,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Adrian C Stier. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1007649127,10.1111/conl.12245,,,Integrating Expert Perceptions into Food Web Conservation and Management,Conservation Letters,,,2017-01,2017,10,1,67-76,All OA; Gold,Article,"Stier, Adrian C.; Samhouri, Jameal F.; Gray, Steven; Martone, Rebecca G.; Mach, Megan E.; Halpern, Benjamin S.; Kappel, Carrie V.; Scarborough, Courtney; Levin, Phillip S.",,"Stier, Adrian C. (University of California, Santa Barbara); Samhouri, Jameal F. (Northwest Fisheries Science Center); Gray, Steven (Michigan State University); Martone, Rebecca G. (); Mach, Megan E. (); Halpern, Benjamin S. (University of California, Santa Barbara); Kappel, Carrie V. (University of California, Santa Barbara); Scarborough, Courtney (University of California, Santa Barbara); Levin, Phillip S. (Northwest Fisheries Science Center)",13,5,,5.8,https://doi.org/10.1111/conl.12245,https://app.dimensions.ai/details/publication/pub.1007649127,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
11,400,pub.1030143279,10.1098/rsos.160414,28083093,PMC5210675,Intraspecific variation in body size does not alter the effects of mesopredators on prey,Royal Society Open Science,,,2016-12,2016,3,12,160414,All OA; Gold,Article,"Gallagher, Austin J; Brandl, Simon J; Stier, Adrian C",,"Gallagher, Austin J (University of Miami); Brandl, Simon J (Smithsonian Environmental Research Center); Stier, Adrian C (University of California, Santa Barbara)",0,0,0,0,http://rsos.royalsocietypublishing.org/content/3/12/160414.full.pdf,https://app.dimensions.ai/details/publication/pub.1030143279,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
12,100,pub.1049969631,10.1002/ecs2.1612,,,Using rarefaction to isolate the effects of patch size and sampling effort on beta diversity,Ecosphere,,,2016-12,2016,7,12,e01612,All OA; Gold,Article,"Stier, Adrian C.; Bolker, Benjamin M.; Osenberg, Craig W.",,"Stier, Adrian C. (); Bolker, Benjamin M. (McMaster University); Osenberg, Craig W. (University of Georgia)",5,3,,1.46,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1612,https://app.dimensions.ai/details/publication/pub.1049969631,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
13,400,pub.1062440067,10.1126/sciadv.1501769,27386535,PMC4928970,Ecosystem context and historical contingency in apex predator recoveries,Science Advances,,Animals; Biodiversity; Ecosystem; Food Chain; Humans; Population Dynamics; Predatory Behavior,2016-05,2016,2,5,e1501769,All OA; Gold,Article,"Stier, Adrian C.; Samhouri, Jameal F.; Novak, Mark; Marshall, Kristin N.; Ward, Eric J.; Holt, Robert D.; Levin, Phillip S.",,"Stier, Adrian C. (University of California, Santa Barbara; University of Washington); Samhouri, Jameal F. (Northwest Fisheries Science Center); Novak, Mark (Oregon State University); Marshall, Kristin N. (Northwest Fisheries Science Center); Ward, Eric J. (Northwest Fisheries Science Center); Holt, Robert D. (University of Florida); Levin, Phillip S. (Northwest Fisheries Science Center)",23,16,1.27,6.7,http://advances.sciencemag.org/content/2/5/e1501769.full.pdf,https://app.dimensions.ai/details/publication/pub.1062440067,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
14,100,pub.1045847615,10.1111/conl.12186,,,Conservation Challenges of Predator Recovery,Conservation Letters,,,2016-01,2016,9,1,70-78,All OA; Gold,Article,"Marshall, Kristin N.; Stier, Adrian C.; Samhouri, Jameal F.; Kelly, Ryan P.; Ward, Eric J.",,"Marshall, Kristin N. (Northwest Fisheries Science Center); Stier, Adrian C. (University of California, Santa Barbara); Samhouri, Jameal F. (Northwest Fisheries Science Center); Kelly, Ryan P. (University of Washington); Ward, Eric J. (Northwest Fisheries Science Center)",36,19,,10.48,https://onlinelibrary.wiley.com/doi/pdf/10.1111/conl.12186,https://app.dimensions.ai/details/publication/pub.1045847615,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
15,400,pub.1048902950,10.1098/rspb.2015.1234,26203004,PMC4528534,Adaptive genetic variation mediates bottom-up and top-down control in an aquatic ecosystem,Proceedings of The Royal Society B Biological Sciences,,"Adaptation, Biological; Animals; Biological Evolution; Ecosystem; Food Chain; Genetic Variation; Phenotype; Populus; Smegmamorpha",2015-08-07,2015,282,1812,20151234,"All OA; Green, Published",Article,"Rudman, Seth M.; Rodriguez-Cabal, Mariano A.; Stier, Adrian; Sato, Takuya; Heavyside, Julian; El-Sabaawi, Rana W.; Crutsinger, Gregory M.",,"Rudman, Seth M. (University of British Columbia); Rodriguez-Cabal, Mariano A. (University of British Columbia; National University of Comahue); Stier, Adrian (University of British Columbia; University of California, Santa Barbara); Sato, Takuya (Kobe University); Heavyside, Julian (University of British Columbia); El-Sabaawi, Rana W. (University of Victoria); Crutsinger, Gregory M. (University of British Columbia)",30,18,1.36,5.32,http://europepmc.org/articles/pmc4528534?pdf=render,https://app.dimensions.ai/details/publication/pub.1048902950,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
16,100,pub.1046453861,10.1890/ehs14-0024.1,,,Principles for managing marine ecosystems prone to tipping points,Ecosystem Health and Sustainability,,,2015-07,2015,1,5,1-18,All OA; Gold,Article,"Selkoe, Kimberly A.; Blenckner, Thorsten; Caldwell, Margaret R.; Crowder, Larry B.; Erickson, Ashley L.; Essington, Timothy E.; Estes, James A.; Fujita, Rod M.; Halpern, Benjamin S.; Hunsicker, Mary E.; Kappel, Carrie V.; Kelly, Ryan P.; Kittinger, John N.; Levin, Phillip S.; Lynham, John M.; Mach, Megan E.; Martone, Rebecca G.; Mease, Lindley A.; Salomon, Anne K.; Samhouri, Jameal F.; Scarborough, Courtney; Stier, Adrian C.; White, Crow; Zedler, Joy",,"Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); Blenckner, Thorsten (Stockholm University); Caldwell, Margaret R. (Stanford University); Crowder, Larry B. (Stanford University); Erickson, Ashley L. (Stanford University); Essington, Timothy E. (University of Washington); Estes, James A. (University of California, Santa Cruz); Fujita, Rod M. (); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Hunsicker, Mary E. (University of California, Santa Barbara); Kappel, Carrie V. (University of California, Santa Barbara); Kelly, Ryan P. (University of Washington); Kittinger, John N. (Conservation International); Levin, Phillip S. (Northwest Fisheries Science Center); Lynham, John M. (University of Hawaii at Manoa); Mach, Megan E. (Stanford University); Martone, Rebecca G. (Stanford University); Mease, Lindley A. (Stanford University); Salomon, Anne K. (Simon Fraser University); Samhouri, Jameal F. (Northwest Fisheries Science Center); Scarborough, Courtney (University of California, Santa Barbara); Stier, Adrian C. (University of California, Santa Barbara); White, Crow (California Polytechnic State University); Zedler, Joy (University of Wisconsin–Madison)",71,44,,15.56,https://doi.org/10.1890/ehs14-0024.1,https://app.dimensions.ai/details/publication/pub.1046453861,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
17,400,pub.1052259185,10.1038/srep07110,25407879,PMC4236757,Assessing trade-offs to inform ecosystem-based fisheries management of forage fish,Scientific Reports,,"Animals; Computer Simulation; Conservation of Natural Resources; Ecosystem; Female; Fisheries; Fishes; Food Chain; Humans; Male; Models, Statistical; Pacific Ocean; Population Dynamics; Reproduction",2015-05,2015,4,1,7110,All OA; Gold,Article,"Shelton, Andrew Olaf; Samhouri, Jameal F.; Stier, Adrian C.; Levin, Philip S.",,"Shelton, Andrew Olaf (Northwest Fisheries Science Center); Samhouri, Jameal F. (Northwest Fisheries Science Center); Stier, Adrian C. (Northwest Fisheries Science Center); Levin, Philip S. (Northwest Fisheries Science Center)",13,8,0.22,2.55,https://www.nature.com/articles/srep07110.pdf,https://app.dimensions.ai/details/publication/pub.1052259185,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
18,400,pub.1029394775,10.1038/ncomms6575,25412873,,Larval dispersal drives trophic structure across Pacific coral reefs,Nature Communications,,Animal Distribution; Animals; Aquatic Organisms; Coral Reefs; Ecosystem; Fishes; Food Chain; Larva; Pacific Ocean; Predatory Behavior,2014-12,2014,5,1,5575,All OA; Gold,Article,"Stier, Adrian C.; Hein, Andrew M.; Parravicini, Valeriano; Kulbicki, Michel","Stier, Adrian C.","Stier, Adrian C. (University of California, Santa Barbara; University of British Columbia; University of Florida); Hein, Andrew M. (University of Florida; Princeton University); Parravicini, Valeriano (University of Perpignan; Institute of Research for Development); Kulbicki, Michel (Institute of Research for Development)",20,8,0.51,4.04,https://www.nature.com/articles/ncomms6575.pdf,https://app.dimensions.ai/details/publication/pub.1029394775,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences
19,400,pub.1003040434,10.1890/12-1441.1,25000761,,Predation and landscape characteristics independently affect reef fish community organization,Ecology,,Animals; Coral Reefs; Environmental Monitoring; Fishes; Food Chain; Predatory Behavior,2014-05,2014,95,5,1294-1307,"All OA; Green, Accepted & Submitted",Article,"Stier, Adrian C.; Hanson, Katharine M.; Holbrook, Sally J.; Schmitt, Russell J.; Brooks, Andrew J.",,"Stier, Adrian C. (University of Florida); Hanson, Katharine M. (Scripps Institution of Oceanography; University of Hawaii at Manoa); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara)",20,6,0.53,3.69,https://escholarship.org/content/qt8k99449x/qt8k99449x.pdf?t=ouq0e0,https://app.dimensions.ai/details/publication/pub.1003040434,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
20,100,pub.1000668054,10.1111/j.1600-0706.2013.01073.x,,,Ecologists should not use statistical significance tests to interpret simulation model results,Oikos,,,2014-04,2014,123,4,385-388,"All OA; Green, Published",Article,"White, J. Wilson; Rassweiler, Andrew; Samhouri, Jameal F.; Stier, Adrian C.; White, Crow",,"White, J. Wilson (University of North Carolina Wilmington); Rassweiler, Andrew (University of North Carolina Wilmington); Samhouri, Jameal F. (University of North Carolina Wilmington); Stier, Adrian C. (University of North Carolina Wilmington); White, Crow (University of North Carolina Wilmington)",139,60,,22.68,https://escholarship.org/content/qt9w82f87s/qt9w82f87s.pdf?t=ouq0d3,https://app.dimensions.ai/details/publication/pub.1000668054,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
21,100,pub.1029206869,10.1007/s00338-013-1077-2,,,Predators alter community organization of coral reef cryptofauna and reduce abundance of coral mutualists,Coral Reefs,,,2014-03,2014,33,1,181-191,Closed,Article,"Stier, A. C.; Leray, M.","Stier, A. C.","Stier, A. C. (University of Florida; University of British Columbia); Leray, M. (University of Perpignan; National Museum of Natural History)",6,3,,1.11,,https://app.dimensions.ai/details/publication/pub.1029206869,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
22,100,pub.1009262198,10.1007/s00338-013-1096-z,,,Predator density and the functional responses of coral reef fish,Coral Reefs,,,2014-03,2014,33,1,235-240,Closed,Article,"Stier, A. C.; White, J. W.","Stier, A. C.","Stier, A. C. (University of British Columbia); White, J. W. (University of North Carolina Wilmington)",11,5,,2.03,,https://app.dimensions.ai/details/publication/pub.1009262198,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
23,400,pub.1006362490,10.1002/reg2.8,27499857,PMC4895291,Experimentally induced metamorphosis in axolotls reduces regenerative rate and fidelity,Regeneration,,,2014-02,2014,1,1,2-14,All OA; Gold,Article,"Monaghan, James R.; Stier, Adrian C.; Michonneau, François; Smith, Matthew D.; Pasch, Bret; Maden, Malcolm; Seifert, Ashley W.",,"Monaghan, James R. (University of Florida); Stier, Adrian C. (University of Florida); Michonneau, François (University of Florida; Florida Museum of Natural History); Smith, Matthew D. (University of Florida); Pasch, Bret (University of Florida); Maden, Malcolm (University of Florida); Seifert, Ashley W. (University of Florida)",29,11,1.16,3.85,https://onlinelibrary.wiley.com/doi/pdf/10.1002/reg2.8,https://app.dimensions.ai/details/publication/pub.1006362490,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
24,100,pub.1037431000,10.2984/67.4.4,,,High Mortality in a Surgeonfish Following an Exceptional Settlement Event1,Pacific Science,,,2013-10,2013,67,4,533-538,Closed,Article,"Stier, Adrian C.; Idjadi, Joshua A.; Geange, Shane W.; White, Jada-Simone S.",,"Stier, Adrian C. (University of Florida; University of British Columbia); Idjadi, Joshua A. (Eastern Connecticut State University); Geange, Shane W. (Victoria University of Wellington); White, Jada-Simone S. (University of Florida; Centre de Recherches Insulaires et Observatoire de l'Environnement)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1037431000,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
25,400,pub.1010299420,10.1890/11-1983.1,23858646,,Predator density and timing of arrival affect reef fish community assembly,Ecology,,Animals; Biodiversity; Coral Reefs; Fishes; Predatory Behavior; Time Factors,2013-05,2013,94,5,1057-1068,Closed,Article,"Stier, Adrian C.; Geange, Shane W.; Hanson, Kate M.; Bolker, Benjamin M.",,"Stier, Adrian C. (University of Florida); Geange, Shane W. (Victoria University of Wellington); Hanson, Kate M. (American Museum of Natural History); Bolker, Benjamin M. (McMaster University)",30,11,0.79,4.9,,https://app.dimensions.ai/details/publication/pub.1010299420,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
26,100,pub.1026525676,10.1016/j.marpol.2012.12.005,,,Illegal shark fishing in the Galápagos Marine Reserve,Marine Policy,,,2013-05,2013,39,,317-321,Closed,Article,"Carr, Lindsey A.; Stier, Adrian C.; Fietz, Katharina; Montero, Ignacio; Gallagher, Austin J.; Bruno, John F.","Carr, Lindsey A.","Carr, Lindsey A. (University of North Carolina System); Stier, Adrian C. (University of Florida; University of British Columbia); Fietz, Katharina (University of Hamburg); Montero, Ignacio (University of Barcelona); Gallagher, Austin J. (University of Miami); Bruno, John F. (University of North Carolina System)",26,12,,4.86,,https://app.dimensions.ai/details/publication/pub.1026525676,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
27,100,pub.1048859206,10.1111/j.1600-0706.2012.20726.x,,,Predator density and competition modify the benefits of group formation in a shoaling reef fish,Oikos,,,2013-02,2013,122,2,171-178,Closed,Article,"Stier, Adrian C.; Geange, Shane W.; Bolker, Benjamin M.",,"Stier, Adrian C. (University of Florida); Geange, Shane W. (University of Florida); Bolker, Benjamin M. (University of Florida)",24,3,,3.44,,https://app.dimensions.ai/details/publication/pub.1048859206,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
28,200,pub.1071170605,10.3354/meps10015,,,Competitive hierarchies among three species of juvenile coral reef fishes,Marine Ecology Progress Series,,,2013-01-09,2013,472,,239-248,Closed,Article,"Geange, SW; Stier, AC; Shima, JS",,"Geange, SW (); Stier, AC (); Shima, JS ()",8,1,,1.3,,https://app.dimensions.ai/details/publication/pub.1071170605,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
29,400,pub.1007643880,10.1111/ele.12005,22998465,,Emergent effects of multiple predators on prey survival: the importance of depletion and the functional response,Ecology Letters,,"Animals; Biodiversity; Ecosystem; Food Chain; Models, Biological; Population Density; Population Dynamics; Predatory Behavior",2012-12,2012,15,12,1449-1456,Closed,Article,"McCoy, Michael W.; Stier, Adrian C.; Osenberg, Craig W.",,"McCoy, Michael W. (East Carolina University; University of Florida); Stier, Adrian C. (University of Florida); Osenberg, Craig W. (University of Florida)",52,19,1.51,8.4,,https://app.dimensions.ai/details/publication/pub.1007643880,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
30,400,pub.1009110694,10.1007/s00442-012-2275-2,22374368,,Multiple defender effects: synergistic coral defense by mutualist crustaceans,Oecologia,,"Animals; Anthozoa; Behavior, Animal; Crustacea; Ecosystem; Predatory Behavior",2012-08,2012,169,4,1095-1103,Closed,Article,"McKeon, C. Seabird; Stier, Adrian C.; McIlroy, Shelby E.; Bolker, Benjamin M.","McKeon, C. Seabird","McKeon, C. Seabird (Smithsonian Marine Station); Stier, Adrian C. (University of Florida); McIlroy, Shelby E. (University at Buffalo, State University of New York); Bolker, Benjamin M. (University of Florida; McMaster University)",21,5,0.67,2.52,,https://app.dimensions.ai/details/publication/pub.1009110694,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
