,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Benjamin S Halpern. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1113268668,10.1111/conl.12646,,,Restoration priorities to achieve the global protected area target,Conservation Letters,,,2019-04-04,2019,12,4,e12646,All OA; Gold,Article,"Mappin, Bonnie; Chauvenet, Alienor L.M.; Adams, Vanessa M.; Di Marco, Moreno; Beyer, Hawthorne L.; Venter, Oscar; Halpern, Benjamin S.; Possingham, Hugh P.; Watson, James E.M.",,"Mappin, Bonnie (University of Queensland); Chauvenet, Alienor L.M. (University of Queensland); Adams, Vanessa M. (University of Queensland; University of Tasmania); Di Marco, Moreno (University of Queensland; Land and Water; Sapienza University of Rome); Beyer, Hawthorne L. (University of Queensland); Venter, Oscar (University of Northern British Columbia); Halpern, Benjamin S. (University of California, Santa Barbara); Possingham, Hugh P. (University of Queensland); Watson, James E.M. (University of Queensland; Wildlife Conservation Society)",2,2,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/conl.12646,https://app.dimensions.ai/details/publication/pub.1113268668,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
11,100,pub.1111410516,10.1111/faf.12346,,,Quantifying uncertainty in the wild‐caught fisheries goal of the Ocean Health Index,Fish and Fisheries,,,2019-03,2019,20,2,343-354,Closed,Article,"Afflerbach, Jamie C.; Frazier, Melanie; Froehlich, Halley E.; Anderson, Sean C.; Halpern, Benjamin S.",,"Afflerbach, Jamie C. (University of California, Santa Barbara); Frazier, Melanie (University of California, Santa Barbara); Froehlich, Halley E. (University of California, Santa Barbara); Anderson, Sean C. (Fisheries and Oceans Canada); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1111410516,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
12,500,pub.1103762915,10.1111/cobi.13125,29722069,,Investigating cumulative effects across ecological scales,Conservation Biology,,Conservation of Natural Resources; Ecology; Ecosystem,2019-02,2019,33,1,22-32,Closed,Article,"Hodgson, Emma E.; Halpern, Benjamin S.",,"Hodgson, Emma E. (Simon Fraser University); Halpern, Benjamin S. (University of California, Santa Barbara)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1103762915,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
13,100,pub.1111675049,10.1038/s41893-018-0210-1,,,Food production shocks across land and sea,Nature Sustainability,,,2019-02,2019,2,2,130-137,Closed,Article,"Cottrell, Richard S.; Nash, Kirsty L.; Halpern, Benjamin S.; Remenyi, Tomas A.; Corney, Stuart P.; Fleming, Aysha; Fulton, Elizabeth A.; Hornborg, Sara; Johne, Alexandra; Watson, Reg A.; Blanchard, Julia L.","Cottrell, Richard S.","Cottrell, Richard S. (University of Tasmania); Nash, Kirsty L. (University of Tasmania); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Remenyi, Tomas A. (University of Tasmania); Corney, Stuart P. (University of Tasmania); Fleming, Aysha (University of Tasmania); Fulton, Elizabeth A. (University of Tasmania); Hornborg, Sara (University of Tasmania; RISE Research Institutes of Sweden); Johne, Alexandra (University of Tasmania); Watson, Reg A. (University of Tasmania); Blanchard, Julia L. (University of Tasmania)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1111675049,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
14,100,pub.1106413864,10.1007/s10113-018-1395-6,,,A pan-Arctic assessment of the status of marine social-ecological systems,Regional Environmental Change,,,2019-01,2019,19,1,293-308,All OA; Gold,Article,"Burgass, Michael J.; Milner-Gulland, E. J.; Stewart Lowndes, Julia S.; O’Hara, Casey; Afflerbach, Jamie C.; Halpern, Benjamin S.","Burgass, Michael J.","Burgass, Michael J. (Imperial College London; University of Oxford); Milner-Gulland, E. J. (University of Oxford); Stewart Lowndes, Julia S. (University of California, Santa Barbara); O’Hara, Casey (University of California, Santa Barbara); Afflerbach, Jamie C. (University of California, Santa Barbara); Halpern, Benjamin S. (Imperial College London; University of California, Santa Barbara)",1,1,,,https://link.springer.com/content/pdf/10.1007%2Fs10113-018-1395-6.pdf,https://app.dimensions.ai/details/publication/pub.1106413864,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
15,500,pub.1104157243,10.1111/cobi.13141,29797608,,Uncertainty analysis and robust areas of high and low modeled human impact on the global oceans,Conservation Biology,,"Africa, Western; Antarctic Regions; Caribbean Region; Conservation of Natural Resources; Ecosystem; Humans; Indian Ocean; Madagascar; Oceans and Seas; Uncertainty",2018-12,2018,32,6,1368-1379,Closed,Article,"Stock, Andy; Crowder, Larry B.; Halpern, Benjamin S.; Micheli, Fiorenza",,"Stock, Andy (Stanford University); Crowder, Larry B. (Stanford University); Halpern, Benjamin S. (University of California, Santa Barbara); Micheli, Fiorenza (Stanford University)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1104157243,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
16,500,pub.1106905206,10.1038/s41559-018-0669-1,30201967,,Global change in marine aquaculture production potential under climate change,Nature Ecology & Evolution,,"Animals; Aquaculture; Bivalvia; Climate Change; Fishes; Global Warming; Models, Biological; Oceans and Seas; Seawater",2018-11,2018,2,11,1745-1750,Closed,Article,"Froehlich, Halley E.; Gentry, Rebecca R.; Halpern, Benjamin S.","Froehlich, Halley E.","Froehlich, Halley E. (University of California, Santa Barbara); Gentry, Rebecca R. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1106905206,0602 Ecology; 0405 Oceanography; 0699 Other Biological Sciences; 0704 Fisheries Sciences; 04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0405 Oceanography,0699 Other Biological Sciences,0704 Fisheries Sciences,04 Earth Sciences
17,500,pub.1100865619,10.1111/nyas.13597,29411385,,Biogeographic constraints to marine conservation in a changing climate,Annals of the New York Academy of Sciences,,Animals; Climate Change; Conservation of Natural Resources; Ecosystem; Marine Biology,2018-10,2018,1429,1,5-17,All OA; Gold,Article,"Fredston‐Hermann, Alexa; Gaines, Steven D.; Halpern, Benjamin S.",,"Fredston‐Hermann, Alexa (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",4,4,,,https://doi.org/10.1111/nyas.13597,https://app.dimensions.ai/details/publication/pub.1100865619,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,05 Environmental Sciences,06 Biological Sciences
18,500,pub.1106406659,10.1126/sciadv.aao1378,30167455,PMC6114984,Improved fisheries management could offset many negative effects of climate change,Science Advances,,Animals; Climate Change; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes,2018-08,2018,4,8,eaao1378,All OA; Gold,Article,"Gaines, Steven D.; Costello, Christopher; Owashi, Brandon; Mangin, Tracey; Bone, Jennifer; Molinos, Jorge García; Burden, Merrick; Dennis, Heather; Halpern, Benjamin S.; Kappel, Carrie V.; Kleisner, Kristin M.; Ovando, Daniel",,"Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Owashi, Brandon (University of California, Santa Barbara); Mangin, Tracey (University of California, Santa Barbara); Bone, Jennifer (University of California, Santa Barbara); Molinos, Jorge García (Hokkaido University); Burden, Merrick (Environmental Defense Fund); Dennis, Heather (San Francisco Bay Conservation and Development Commission); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Kappel, Carrie V. (University of California, Santa Barbara); Kleisner, Kristin M. (Environmental Defense Fund); Ovando, Daniel (University of California, Santa Barbara)",20,20,,,https://advances.sciencemag.org/content/advances/4/8/eaao1378.full.pdf,https://app.dimensions.ai/details/publication/pub.1106406659,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
19,500,pub.1105857154,10.1016/j.cub.2018.06.010,30057308,,The Location and Protection Status of Earth’s Diminishing Marine Wilderness,Current Biology,,Biodiversity; Conservation of Natural Resources; Ecosystem; Oceans and Seas; Wilderness,2018-08,2018,28,15,2506-2512.e3,Closed,Article,"Jones, Kendall R.; Klein, Carissa J.; Halpern, Benjamin S.; Venter, Oscar; Grantham, Hedley; Kuempel, Caitlin D.; Shumway, Nicole; Friedlander, Alan M.; Possingham, Hugh P.; Watson, James E.M.","Jones, Kendall R.","Jones, Kendall R. (Wildlife Conservation Society; University of Queensland); Klein, Carissa J. (University of Queensland); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Venter, Oscar (University of Northern British Columbia); Grantham, Hedley (Wildlife Conservation Society); Kuempel, Caitlin D. (University of Queensland); Shumway, Nicole (University of Queensland); Friedlander, Alan M. (National Geographic Society; University of Hawaii at Manoa); Possingham, Hugh P. (University of Queensland; The Nature Conservancy); Watson, James E.M. (Wildlife Conservation Society; University of Queensland)",29,29,,,,https://app.dimensions.ai/details/publication/pub.1105857154,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
20,200,pub.1106252805,10.1016/j.cub.2018.07.081,30130497,,The Location and Protection Status of Earth’s Diminishing Marine Wilderness,Current Biology,,,2018-08,2018,28,16,2683,All OA; Gold,Article,"Jones, Kendall R.; Klein, Carissa J.; Halpern, Benjamin S.; Venter, Oscar; Grantham, Hedley; Kuempel, Caitlin D.; Shumway, Nicole; Friedlander, Alan M.; Possingham, Hugh P.; Watson, James E.M.","Jones, Kendall R.","Jones, Kendall R. (); Klein, Carissa J. (); Halpern, Benjamin S. (); Venter, Oscar (); Grantham, Hedley (); Kuempel, Caitlin D. (); Shumway, Nicole (); Friedlander, Alan M. (); Possingham, Hugh P. (); Watson, James E.M. ()",2,2,,,http://www.cell.com/article/S0960982218310431/pdf,https://app.dimensions.ai/details/publication/pub.1106252805,17 Psychology and Cognitive Sciences; 11 Medical and Health Sciences; 06 Biological Sciences,17 Psychology and Cognitive Sciences,11 Medical and Health Sciences,06 Biological Sciences,,
21,100,pub.1104438495,10.1038/s41893-018-0077-1,,,Avoiding the ecological limits of forage fish for fed aquaculture,Nature Sustainability,,,2018-06,2018,1,6,298-303,Closed,Article,"Froehlich, Halley E.; Jacobsen, Nis Sand; Essington, Timothy E.; Clavelle, Tyler; Halpern, Benjamin S.","Froehlich, Halley E.","Froehlich, Halley E. (University of California, Santa Barbara); Jacobsen, Nis Sand (University of Washington); Essington, Timothy E. (University of Washington); Clavelle, Tyler (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",15,15,,,,https://app.dimensions.ai/details/publication/pub.1104438495,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
22,500,pub.1103687448,10.1073/pnas.1801692115,29712823,PMC5960322,Comparative terrestrial feed and land use of an aquaculture-dominant world,Proceedings of the National Academy of Sciences,,"Animal Feed; Animals; Aquaculture; Conservation of Natural Resources; Crops, Agricultural; Diet; Farms; Food Supply; Global Health; Humans; Seafood",2018-05-15,2018,115,20,201801692,All OA; Gold,Article,"Froehlich, Halley E.; Runge, Claire A.; Gentry, Rebecca R.; Gaines, Steven D.; Halpern, Benjamin S.",,"Froehlich, Halley E. (University of California, Santa Barbara); Runge, Claire A. (University of California, Santa Barbara; The Arctic University of Norway); Gentry, Rebecca R. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara)",21,21,,,https://www.pnas.org/content/pnas/115/20/5295.full.pdf,https://app.dimensions.ai/details/publication/pub.1103687448,0704 Fisheries Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,05 Environmental Sciences,0502 Environmental Science and Management,07 Agricultural and Veterinary Sciences,
23,500,pub.1103922767,10.7717/peerj.4733,29761051,PMC5949058,Global opportunities for mariculture development to promote human nutrition,PeerJ,,,2018-05-09,2018,6,,e4733,All OA; Gold,Article,"Liu, Owen R.; Molina, Renato; Wilson, Margaret; Halpern, Benjamin S.",,"Liu, Owen R. (University of California, Santa Barbara); Molina, Renato (University of California, Santa Barbara; University of California, Berkeley); Wilson, Margaret (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",8,8,,,https://peerj.com/articles/4733.pdf,https://app.dimensions.ai/details/publication/pub.1103922767,1402 Applied Economics; 0704 Fisheries Sciences; 14 Economics; 07 Agricultural and Veterinary Sciences,1402 Applied Economics,0704 Fisheries Sciences,14 Economics,07 Agricultural and Veterinary Sciences,
24,100,pub.1109357183,10.7287/peerj.preprints.26442,,,Global opportunities for mariculture development to promote human nutrition,PeerJ Preprints,,,2018-01-18,2018,,,,"All OA; Green, Published",Preprint,"Liu, Owen R; Molina, Renato; Wilson, Margaret; Halpern, Benjamin S",,"Liu, Owen R (University of California, Santa Barbara); Molina, Renato (University of California, Santa Barbara); Wilson, Margaret (University of California, Santa Barbara); Halpern, Benjamin S (University of California, Santa Barbara; Imperial College London)",0,0,,,https://peerj.com/preprints/26442.pdf,https://app.dimensions.ai/details/publication/pub.1109357183,1402 Applied Economics; 0704 Fisheries Sciences; 14 Economics; 07 Agricultural and Veterinary Sciences,1402 Applied Economics,0704 Fisheries Sciences,14 Economics,07 Agricultural and Veterinary Sciences,
25,100,pub.1107342281,10.7287/peerj.preprints.26442v1,,,Global opportunities for mariculture development to promote human nutrition,PeerJ Preprints,,,2018-01-18,2018,6,,e26442v1,"All OA; Green, Published",Preprint,"Liu, Owen R; Molina, Renato; Wilson, Margaret; Halpern, Benjamin S",,"Liu, Owen R (University of California, Santa Barbara); Molina, Renato (University of California, Santa Barbara); Wilson, Margaret (University of California, Santa Barbara); Halpern, Benjamin S (University of California, Santa Barbara; Imperial College London)",0,0,,,https://peerj.com/preprints/26442.pdf,https://app.dimensions.ai/details/publication/pub.1107342281,1402 Applied Economics; 0704 Fisheries Sciences; 14 Economics; 07 Agricultural and Veterinary Sciences,1402 Applied Economics,0704 Fisheries Sciences,14 Economics,07 Agricultural and Veterinary Sciences,
26,100,pub.1091243932,10.1111/faf.12240,,,Trade‐offs in triple‐bottom‐line outcomes when recovering fisheries,Fish and Fisheries,,,2018-01,2018,19,1,107-116,All OA; Gold,Article,"Brown, Christopher J; Althor, Glenn; Halpern, Benjamin S; Iftekhar, Sayed; Klein, Carissa J; Linke, Simon; Pryde, Elizabeth C; Schilizzi, Steven; Watson, James E M; Twohey, Becky; Possingham, Hugh P",,"Brown, Christopher J (Griffith University); Althor, Glenn (University of Queensland); Halpern, Benjamin S (Imperial College London; University of California, Santa Barbara); Iftekhar, Sayed (); Klein, Carissa J (University of Queensland); Linke, Simon (Griffith University); Pryde, Elizabeth C (University of Melbourne); Schilizzi, Steven (); Watson, James E M (University of Queensland; Wildlife Conservation Society); Twohey, Becky (University of California, Santa Barbara); Possingham, Hugh P (University of Queensland)",4,4,,,https://doi.org/10.1111/faf.12240,https://app.dimensions.ai/details/publication/pub.1091243932,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
27,500,pub.1099916195,10.1371/journal.pone.0190187,29267364,PMC5739484,Accounting for tourism benefits in marine reserve design,PLoS ONE,,"Biodiversity; Conservation of Natural Resources; Ecosystem; Marine Biology; Models, Biological; Travel",2017-12-21,2017,12,12,e0190187,All OA; Gold,Article,"Viana, Daniel F.; Halpern, Benjamin S.; Gaines, Steven D.",,"Viana, Daniel F. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Gaines, Steven D. (University of California, Santa Barbara)",5,5,0.32,2.08,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0190187&type=printable,https://app.dimensions.ai/details/publication/pub.1099916195,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
