,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Steven D Gaines. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,300,pub.1110276374,10.1038/s41598-018-36021-y,30498213,PMC6265277,Author Correction: Ecological effects of full and partial protection in the crowded Mediterranean Sea: a regional meta-analysis,Scientific Reports,,,2018-12,2018,8,1,17644,All OA; Gold,Article,"Giakoumi, Sylvaine; Scianna, Claudia; Plass-Johnson, Jeremiah; Micheli, Fiorenza; Grorud-Colvert, Kirsten; Thiriet, Pierre; Claudet, Joachim; Di Carlo, Giuseppe; Di Franco, Antonio; Gaines, Steven D.; García-Charton, José A.; Lubchenco, Jane; Reimer, Jessica; Sala, Enric; Guidetti, Paolo","Giakoumi, Sylvaine","Giakoumi, Sylvaine (French National Centre for Scientific Research; University of Queensland); Scianna, Claudia (French National Centre for Scientific Research); Plass-Johnson, Jeremiah (French National Centre for Scientific Research; Technical University of Denmark); Micheli, Fiorenza (Stanford University); Grorud-Colvert, Kirsten (Oregon State University); Thiriet, Pierre (Sorbonne University; National Museum of Natural History); Claudet, Joachim (French National Centre for Scientific Research); Di Carlo, Giuseppe (World Wide Fund for Nature (Italy)); Di Franco, Antonio (French National Centre for Scientific Research); Gaines, Steven D. (University of California, Santa Barbara); García-Charton, José A. (University of Murcia); Lubchenco, Jane (Oregon State University); Reimer, Jessica (Oregon State University); Sala, Enric (National Geographic Society); Guidetti, Paolo (French National Centre for Scientific Research; National Inter-University Consortium for Marine Sciences)",0,0,,,https://www.nature.com/articles/s41598-018-36021-y.pdf,https://app.dimensions.ai/details/publication/pub.1110276374,0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 06 Biological Sciences; 02 Physical Sciences,0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,06 Biological Sciences,02 Physical Sciences,
11,500,pub.1104145957,10.1016/j.scitotenv.2018.04.052,29925194,,Using people's perceptions of ecosystem services to guide modeling and management efforts,The Science of The Total Environment,,"Chile; Conservation of Natural Resources; Decision Making; Ecosystem; Environmental Monitoring; Humans; Models, Theoretical; Perception",2018-10,2018,637,Waterbirds 32 2 2009,1014-1025,"All OA; Green, Accepted & Submitted",Article,"Elwell, Tammy L.; Gelcich, Stefan; Gaines, Steven D.; López-Carr, David","Elwell, Tammy L.","Elwell, Tammy L. (University of California, Santa Barbara); Gelcich, Stefan (Pontifical Catholic University of Chile); Gaines, Steven D. (University of California, Santa Barbara); López-Carr, David (University of California, Santa Barbara)",4,4,,,http://marxiv.org/5dua6//download,https://app.dimensions.ai/details/publication/pub.1104145957,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
12,500,pub.1100865619,10.1111/nyas.13597,29411385,,Biogeographic constraints to marine conservation in a changing climate,Annals of the New York Academy of Sciences,,Animals; Climate Change; Conservation of Natural Resources; Ecosystem; Marine Biology,2018-10,2018,1429,1,5-17,All OA; Gold,Article,"Fredston‐Hermann, Alexa; Gaines, Steven D.; Halpern, Benjamin S.",,"Fredston‐Hermann, Alexa (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",4,4,,,https://doi.org/10.1111/nyas.13597,https://app.dimensions.ai/details/publication/pub.1100865619,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,05 Environmental Sciences,06 Biological Sciences
13,200,pub.1105743440,10.1038/s41559-018-0634-z,30038247,,Reply to ‘Achieving sustainable and equitable fisheries requires nuanced policies not silver bullets’,Nature Ecology & Evolution,,Conservation of Natural Resources; Fisheries,2018-09,2018,2,9,1335-1335,Closed,Article,"Cabral, Reniel B.; Gaines, Steven D.; Mayorga, Juan; Clemence, Michaela; Lynham, John; Koeshendrajana, Sonny; Muawanah, Umi; Nugroho, Duto; Anna, Zuzy; Mira; Ghofar, Abdul; Zulbainarni, Nimmi; Costello, Christopher","Cabral, Reniel B.","Cabral, Reniel B. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Mayorga, Juan (University of California, Santa Barbara; National Geographic Society); Clemence, Michaela (University of California, Santa Barbara); Lynham, John (University of Hawaii at Manoa); Koeshendrajana, Sonny (Ministry of Maritime Affairs and Fisheries); Muawanah, Umi (Ministry of Maritime Affairs and Fisheries); Nugroho, Duto (Ministry of Maritime Affairs and Fisheries); Anna, Zuzy (Padjadjaran University); Mira (Ministry of Maritime Affairs and Fisheries); Ghofar, Abdul (Diponegoro University); Zulbainarni, Nimmi (Bogor Agricultural University); Costello, Christopher (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1105743440,,,,,,
14,100,pub.1103184159,10.1016/j.fishres.2018.03.021,,,Ontogenetic shifts in predator diet drive tradeoffs between fisheries yield and strength of predator-prey interactions,Fisheries Research,,,2018-09,2018,205,J. Fish Biol. 41 1992,11-20,"All OA; Green, Published",Article,"Selden, Rebecca L.; Warner, Robert R.; Gaines, Steven D.","Selden, Rebecca L.","Selden, Rebecca L. (University of California, Santa Barbara); Warner, Robert R. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",1,1,,,https://escholarship.org/content/qt72f167tr/qt72f167tr.pdf?t=plqp01,https://app.dimensions.ai/details/publication/pub.1103184159,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
15,500,pub.1106406659,10.1126/sciadv.aao1378,30167455,PMC6114984,Improved fisheries management could offset many negative effects of climate change,Science Advances,,Animals; Climate Change; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes,2018-08,2018,4,8,eaao1378,All OA; Gold,Article,"Gaines, Steven D.; Costello, Christopher; Owashi, Brandon; Mangin, Tracey; Bone, Jennifer; Molinos, Jorge García; Burden, Merrick; Dennis, Heather; Halpern, Benjamin S.; Kappel, Carrie V.; Kleisner, Kristin M.; Ovando, Daniel",,"Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Owashi, Brandon (University of California, Santa Barbara); Mangin, Tracey (University of California, Santa Barbara); Bone, Jennifer (University of California, Santa Barbara); Molinos, Jorge García (Hokkaido University); Burden, Merrick (Environmental Defense Fund); Dennis, Heather (San Francisco Bay Conservation and Development Commission); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Kappel, Carrie V. (University of California, Santa Barbara); Kleisner, Kristin M. (Environmental Defense Fund); Ovando, Daniel (University of California, Santa Barbara)",20,20,,,https://advances.sciencemag.org/content/advances/4/8/eaao1378.full.pdf,https://app.dimensions.ai/details/publication/pub.1106406659,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
16,200,pub.1105453633,10.1073/pnas.1808737115,29991573,PMC6048495,Opinion: Offshore aquaculture in the United States: Untapped potential in need of smart policy,Proceedings of the National Academy of Sciences,,Ecosystem; Fisheries; Humans; Oceans and Seas; Seafood; United States,2018-07-10,2018,115,28,7162-7165,All OA; Gold,Article,"Lester, Sarah E.; Gentry, Rebecca R.; Kappel, Carrie V.; White, Crow; Gaines, Steven D.",,"Lester, Sarah E. (Florida State University); Gentry, Rebecca R. (University of California, Santa Barbara; Florida State University); Kappel, Carrie V. (University of California, Santa Barbara); White, Crow (California Polytechnic State University); Gaines, Steven D. (University of California, Santa Barbara)",12,12,,,https://www.pnas.org/content/pnas/115/28/7162.full.pdf,https://app.dimensions.ai/details/publication/pub.1105453633,,,,,,
17,200,pub.1104155323,10.1073/pnas.1807019115,29793935,PMC6016823,The scale of life and its lessons for humanity,Proceedings of the National Academy of Sciences,,Life,2018-06-19,2018,115,25,201807019,All OA; Gold,Article,"Burgess, Matthew G.; Gaines, Steven D.",,"Burgess, Matthew G. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",0,0,,,https://www.pnas.org/content/pnas/115/25/6328.full.pdf,https://app.dimensions.ai/details/publication/pub.1104155323,,,,,,
18,500,pub.1104431026,10.1371/journal.pone.0196864,29874229,PMC5991392,Quality of a fished resource: Assessing spatial and temporal dynamics,PLoS ONE,,"Animals; Female; Indian Ocean; Male; Models, Biological; Population Dynamics; Sea Urchins",2018-06-06,2018,13,6,e0196864,All OA; Gold,Article,"Teck, Sarah J.; Lorda, Julio; Shears, Nick T.; Ben-Horin, Tal; Toseland, Rebecca E.; Rathbone, Sarah T.; Rudie, Dave; Gaines, Steven D.",,"Teck, Sarah J. (University of California, Santa Barbara; Autonomous University of Baja California); Lorda, Julio (Autonomous University of Baja California); Shears, Nick T. (University of Auckland); Ben-Horin, Tal (University of Rhode Island); Toseland, Rebecca E. (Stanford University); Rathbone, Sarah T. (University of California, Santa Barbara); Rudie, Dave (); Gaines, Steven D. (University of California, Santa Barbara)",2,1,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0196864&type=printable,https://app.dimensions.ai/details/publication/pub.1104431026,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
19,500,pub.1103687448,10.1073/pnas.1801692115,29712823,PMC5960322,Comparative terrestrial feed and land use of an aquaculture-dominant world,Proceedings of the National Academy of Sciences,,"Animal Feed; Animals; Aquaculture; Conservation of Natural Resources; Crops, Agricultural; Diet; Farms; Food Supply; Global Health; Humans; Seafood",2018-05-15,2018,115,20,201801692,All OA; Gold,Article,"Froehlich, Halley E.; Runge, Claire A.; Gentry, Rebecca R.; Gaines, Steven D.; Halpern, Benjamin S.",,"Froehlich, Halley E. (University of California, Santa Barbara); Runge, Claire A. (University of California, Santa Barbara; The Arctic University of Norway); Gentry, Rebecca R. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara)",21,21,,,https://www.pnas.org/content/pnas/115/20/5295.full.pdf,https://app.dimensions.ai/details/publication/pub.1103687448,0704 Fisheries Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,05 Environmental Sciences,0502 Environmental Science and Management,07 Agricultural and Veterinary Sciences,
20,100,pub.1101507096,10.1016/j.biocon.2018.03.012,,,Linking home ranges to protected area size: The case study of the Mediterranean Sea,Biological Conservation,,,2018-05,2018,221,Nat. Ecol. Evol. 1 2017,175-181,"All OA; Green, Accepted & Submitted",Article,"Di Franco, Antonio; Plass-Johnson, Jeremiah G.; Di Lorenzo, Manfredi; Meola, Bruno; Claudet, Joachim; Gaines, Steven D.; García-Charton, José Antonio; Giakoumi, Sylvaine; Grorud-Colvert, Kirsten; Hackradt, Carlos Werner; Micheli, Fiorenza; Guidetti, Paolo","Di Franco, Antonio","Di Franco, Antonio (Université Côte d'Azur; National Inter-University Consortium for Marine Sciences); Plass-Johnson, Jeremiah G. (Université Côte d'Azur; Technical University of Denmark); Di Lorenzo, Manfredi (); Meola, Bruno (); Claudet, Joachim (French National Centre for Scientific Research; Labex Corail); Gaines, Steven D. (University of California, Santa Barbara); García-Charton, José Antonio (University of Murcia); Giakoumi, Sylvaine (Université Côte d'Azur; University of Queensland); Grorud-Colvert, Kirsten (Oregon State University); Hackradt, Carlos Werner (University of Murcia); Micheli, Fiorenza (Stanford University); Guidetti, Paolo (Université Côte d'Azur; National Inter-University Consortium for Marine Sciences)",14,14,,,http://marxiv.org/26knw//download,https://app.dimensions.ai/details/publication/pub.1101507096,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
21,500,pub.1101557951,10.1038/s41559-018-0499-1,29572526,,Rapid and lasting gains from solving illegal fishing,Nature Ecology & Evolution,,Conservation of Natural Resources; Fisheries; Government Regulation; Indonesia,2018-04,2018,2,4,650-658,Closed,Article,"Cabral, Reniel B.; Mayorga, Juan; Clemence, Michaela; Lynham, John; Koeshendrajana, Sonny; Muawanah, Umi; Nugroho, Duto; Anna, Zuzy; Mira; Ghofar, Abdul; Zulbainarni, Nimmi; Gaines, Steven D.; Costello, Christopher","Cabral, Reniel B.","Cabral, Reniel B. (University of California, Santa Barbara); Mayorga, Juan (University of California, Santa Barbara; National Geographic Society); Clemence, Michaela (University of California, Santa Barbara); Lynham, John (University of Hawaii at Manoa); Koeshendrajana, Sonny (Ministry of Maritime Affairs and Fisheries); Muawanah, Umi (Ministry of Maritime Affairs and Fisheries); Nugroho, Duto (Ministry of Maritime Affairs and Fisheries); Anna, Zuzy (Padjadjaran University); Mira (Ministry of Maritime Affairs and Fisheries); Ghofar, Abdul (Diponegoro University); Zulbainarni, Nimmi (Bogor Agricultural University); Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",21,21,,,,https://app.dimensions.ai/details/publication/pub.1101557951,1402 Applied Economics; 0704 Fisheries Sciences; 14 Economics; 07 Agricultural and Veterinary Sciences,1402 Applied Economics,0704 Fisheries Sciences,14 Economics,07 Agricultural and Veterinary Sciences,
22,500,pub.1101537454,10.1126/science.aao4248,29590074,,"Protecting marine mammals, turtles, and birds by rebuilding global fisheries",Science,,Animals; Aquatic Organisms; Birds; Endangered Species; Fisheries; Mammals; Population; Turtles,2018-03-16,2018,359,6381,1255-1258,All OA; Gold,Article,"Burgess, Matthew G.; McDermott, Grant R.; Owashi, Brandon; Reeves, Lindsey E. Peavey; Clavelle, Tyler; Ovando, Daniel; Wallace, Bryan P.; Lewison, Rebecca L.; Gaines, Steven D.; Costello, Christopher",,"Burgess, Matthew G. (University of California, Santa Barbara); McDermott, Grant R. (University of Oregon; University of California, Santa Barbara); Owashi, Brandon (University of California, Santa Barbara); Reeves, Lindsey E. Peavey (University of California, Santa Barbara); Clavelle, Tyler (University of California, Santa Barbara); Ovando, Daniel (University of California, Santa Barbara); Wallace, Bryan P. (Conservation Science Partners; Duke University); Lewison, Rebecca L. (San Diego State University); Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",4,4,,,http://science.sciencemag.org/content/sci/359/6381/1255.full.pdf,https://app.dimensions.ai/details/publication/pub.1101537454,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
23,100,pub.1092613966,10.1016/j.marpol.2017.10.042,,,The cost of management delay: The case for reforming Mexican fisheries sooner rather than later,Marine Policy,,,2018-02,2018,88,,1-10,Closed,Article,"Mangin, Tracey; Cisneros-Mata, Miguel Ángel; Bone, Jennifer; Costello, Christopher; Gaines, Steven D.; McDonald, Gavin; Rodriguez, Laura; Strauss, C. Kent; Zapata, Pedro","Costello, Christopher","Mangin, Tracey (University of California, Santa Barbara); Cisneros-Mata, Miguel Ángel (); Bone, Jennifer (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); McDonald, Gavin (University of California, Santa Barbara); Rodriguez, Laura (); Strauss, C. Kent (University of California, Berkeley); Zapata, Pedro ()",7,7,,,,https://app.dimensions.ai/details/publication/pub.1092613966,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
24,100,pub.1003808199,10.1016/j.marpol.2016.12.005,,,Five rules for pragmatic blue growth,Marine Policy,,,2018-01,2018,87,,331-339,Closed,Article,"Burgess, Matthew G.; Clemence, Michaela; McDermott, Grant R.; Costello, Christopher; Gaines, Steven D.","Burgess, Matthew G.","Burgess, Matthew G. (University of California, Santa Barbara); Clemence, Michaela (University of California, Santa Barbara); McDermott, Grant R. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara)",28,26,,,,https://app.dimensions.ai/details/publication/pub.1003808199,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
25,500,pub.1099916195,10.1371/journal.pone.0190187,29267364,PMC5739484,Accounting for tourism benefits in marine reserve design,PLoS ONE,,"Biodiversity; Conservation of Natural Resources; Ecosystem; Marine Biology; Models, Biological; Travel",2017-12-21,2017,12,12,e0190187,All OA; Gold,Article,"Viana, Daniel F.; Halpern, Benjamin S.; Gaines, Steven D.",,"Viana, Daniel F. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Gaines, Steven D. (University of California, Santa Barbara)",5,5,0.32,2.08,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0190187&type=printable,https://app.dimensions.ai/details/publication/pub.1099916195,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
26,200,pub.1099690632,10.1073/pnas.1717933114,29208720,PMC5740619,Reply to Hilborn: Role of marine reserves depends on assumptions,Proceedings of the National Academy of Sciences,,Conservation of Natural Resources; Fisheries; Fishes; Marine Biology; Population Dynamics,2017-12-12,2017,114,50,e10611-e10611,All OA; Gold,Article,"Hastings, Alan; Gaines, Steven D.; Costello, Christopher",,"Hastings, Alan (University of California, Davis); Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara)",0,0,0,,https://www.pnas.org/content/pnas/114/50/E10611.full.pdf,https://app.dimensions.ai/details/publication/pub.1099690632,,,,,,
