,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Katerina Michaelides. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1090684409,10.1016/b978-0-12-803835-2.00002-4,,,Chapter 2.1 Geomorphology and Sediment Regimes of Intermittent Rivers and Ephemeral Streams,,Intermittent Rivers and Ephemeral Streams,,2017,2017,,,21-49,Closed,Chapter,"Jaeger, Kristin L.; Sutfin, Nicholas A.; Tooth, Stephen; Michaelides, Katerina; Singer, Michael",,"Jaeger, Kristin L. (); Sutfin, Nicholas A. (Los Alamos National Laboratory); Tooth, Stephen (Aberystwyth University); Michaelides, Katerina (University of Bristol; University of California, Santa Barbara); Singer, Michael (University of California, Santa Barbara; Cardiff University)",7,7,,2.3,,https://app.dimensions.ai/details/publication/pub.1090684409,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
11,300,pub.1001129781,10.1002/rcm.7612,27476659,PMC5108469,Compound‐specific amino acid 15N stable isotope probing of nitrogen assimilation by the soil microbial biomass using gas chromatography/combustion/isotope ratio mass spectrometry,Rapid Communications in Mass Spectrometry,,Amino Acids; Biomass; Gas Chromatography-Mass Spectrometry; Microbial Consortia; Nitrogen; Nitrogen Isotopes; Soil Microbiology,2016-08-30,2016,30,16,1846-1856,Closed,Article,"Charteris, A F; Knowles, T D J; Michaelides, K; Evershed, R P",,"Charteris, A F (University of Bristol); Knowles, T D J (University of Bristol); Michaelides, K (University of Bristol); Evershed, R P (University of Bristol)",3,2,0,0.72,,https://app.dimensions.ai/details/publication/pub.1001129781,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
12,100,pub.1019580992,10.1002/2016gl069458,,,"Paleofluvial landscape inheritance for Jakobshavn Isbræ catchment, Greenland",Geophysical Research Letters,,,2016-06-28,2016,43,12,6350-6357,All OA; Gold,Article,"Cooper, M. A.; Michaelides, K.; Siegert, M. J.; Bamber, J. L.",,"Cooper, M. A. (University of Bristol); Michaelides, K. (University of Bristol); Siegert, M. J. (Imperial College London); Bamber, J. L. (University of Bristol)",10,7,,2.57,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016GL069458,https://app.dimensions.ai/details/publication/pub.1019580992,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
13,100,pub.1072662476,10.5194/bg-13-551-2016,,,Runoff- and erosion-driven transport of cattle slurry: linking molecular tracers to hydrological processes,Biogeosciences,,,2016-02-01,2016,13,2,551-566,All OA; Gold,Article,"Lloyd, C. E. M.; Michaelides, K.; Chadwick, D. R.; Dungait, J. A. J.; Evershed, R. P.",,"Lloyd, C. E. M. (University of Bristol); Michaelides, K. (University of Bristol); Chadwick, D. R. (Bangor University); Dungait, J. A. J. (); Evershed, R. P. (University of Bristol)",2,1,,0.49,https://www.biogeosciences.net/13/551/2016/bg-13-551-2016.pdf,https://app.dimensions.ai/details/publication/pub.1072662476,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
14,100,pub.1052354289,10.5194/soild-2-1135-2015,,,Compound-specific 15N stable isotope probing of N assimilation by the soil microbial biomass: a new methodological paradigm in soil N cycling,The Soil,,,2015-10-30,2015,2,2,1135-1160,All OA; Gold,Article,"Charteris, A. F.; Knowles, T. D. J.; Michaelides, K.; Evershed, R. P.",,"Charteris, A. F. (University of Bristol); Knowles, T. D. J. (University of Bristol); Michaelides, K. (University of Bristol); Evershed, R. P. (University of Bristol)",0,0,,0,https://doi.org/10.5194/soild-2-1135-2015,https://app.dimensions.ai/details/publication/pub.1052354289,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
15,100,pub.1001631713,10.5194/bgd-12-16603-2015,,,Runoff- and erosion-driven transport of cattle slurry: linking molecular tracers to hydrological processes,Biogeosciences Discussions,,,2015-10-16,2015,12,20,16603-16644,All OA; Gold,Article,"Lloyd, C. E. M.; Michaelides, K.; Chadwick, D. R.; Dungait, J. A. J.; Evershed, R. P.",,"Lloyd, C. E. M. (University of Bristol); Michaelides, K. (University of Bristol); Chadwick, D. R. (Bangor University); Dungait, J. A. J. (); Evershed, R. P. (University of Bristol)",0,0,,0,https://doi.org/10.5194/bgd-12-16603-2015,https://app.dimensions.ai/details/publication/pub.1001631713,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
16,100,pub.1021383219,10.1130/g36267.1,,,How is topographic simplicity maintained in ephemeral dryland channels?,Geology,,,2014-12,2014,42,12,1091-1094,Closed,Article,"Singer, Michael Bliss; Michaelides, Katerina",,"Singer, Michael Bliss (University of St Andrews; University of California, Santa Barbara); Michaelides, Katerina (University of Bristol; University of California, Santa Barbara)",16,8,,2.48,,https://app.dimensions.ai/details/publication/pub.1021383219,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
17,100,pub.1017343961,10.1002/2013jf002959,,,"Impact of coarse sediment supply from hillslopes to the channel in runoff‐dominated, dryland fluvial systems",Journal of Geophysical Research Earth Surface,,,2014-06,2014,119,6,1205-1221,"All OA; Green, Published",Article,"Michaelides, Katerina; Singer, Michael Bliss",,"Michaelides, Katerina (University of Bristol); Singer, Michael Bliss (University of St Andrews; University of California, Santa Barbara)",18,6,,2.79,https://research-repository.st-andrews.ac.uk/bitstream/10023/5844/1/Singer_2014_JGRES_Impact.pdf,https://app.dimensions.ai/details/publication/pub.1017343961,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
18,100,pub.1047976061,10.1016/j.jhydrol.2013.09.035,,,Surface water connectivity dynamics of a large scale extreme flood,Journal of Hydrology,,,2013-11,2013,505,Geophys. Res. Lett. 34 8 2007,138-149,"All OA; Green, Accepted & Submitted",Article,"Trigg, Mark A.; Michaelides, Katerina; Neal, Jeffrey C.; Bates, Paul D.","Trigg, Mark A.","Trigg, Mark A. (University of Bristol); Michaelides, Katerina (University of Bristol); Neal, Jeffrey C. (University of Bristol); Bates, Paul D. (University of Bristol)",27,9,,3.97,https://research-information.bristol.ac.uk/files/28970155/Trigg_et_al_2013_Flood_Connectivity_FINAL_prepublish.pdf,https://app.dimensions.ai/details/publication/pub.1047976061,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
19,100,pub.1021322023,10.1016/j.quascirev.2013.07.034,,,"A new regional, mid-Holocene palaeoprecipitation signal of the Asian Summer Monsoon",Quaternary Science Reviews,,,2013-10,2013,78,Journal of Quaternary Science 19 2004,65-76,"All OA; Green, Accepted & Submitted",Article,"Strong, D.; Flecker, R.; Valdes, P.J.; Wilkinson, I.P.; Rees, J.G.; Michaelides, K.; Zong, Y.Q.; Lloyd, J.M.; Yu, F.L.; Pancost, R.D.","Flecker, R.","Strong, D. (University of Bristol); Flecker, R. (University of Bristol); Valdes, P.J. (University of Bristol); Wilkinson, I.P. (British Geological Survey); Rees, J.G. (British Geological Survey); Michaelides, K. (University of Bristol); Zong, Y.Q. (University of Hong Kong); Lloyd, J.M. (Durham University); Yu, F.L. (Nanyang Technological University); Pancost, R.D. (University of Bristol)",13,7,,1.88,http://dro.dur.ac.uk/11398/1/11398.pdf,https://app.dimensions.ai/details/publication/pub.1021322023,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology; 0402 Geochemistry,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,0402 Geochemistry,
20,100,pub.1017168300,10.1039/c3ay26413k,,,A method for the simultaneous extraction of seven pesticides from soil and sediment,Analytical Methods,,,2013,2013,5,8,2053-2058,Closed,Article,"Harrison, Rebecca; Bull, Ian; Michaelides, Katerina",,"Harrison, Rebecca (University of Bristol); Bull, Ian (University of Bristol); Michaelides, Katerina (University of Bristol)",6,2,,0.91,,https://app.dimensions.ai/details/publication/pub.1017168300,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
21,100,pub.1031270454,10.1029/2012jg002071,,,Linking runoff and erosion dynamics to nutrient fluxes in a degrading dryland landscape,Journal of Geophysical Research,,,2012-12,2012,117,G4,n/a-n/a,All OA; Gold,Article,"Michaelides, Katerina; Lister, Debbie; Wainwright, John; Parsons, Anthony J.",,"Michaelides, Katerina (University of Bristol); Lister, Debbie (University of Bristol); Wainwright, John (Durham University); Parsons, Anthony J. (University of Sheffield)",15,6,,2.34,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012JG002071,https://app.dimensions.ai/details/publication/pub.1031270454,0602 Ecology; 0502 Environmental Science and Management; 0503 Soil Sciences; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0503 Soil Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences
22,100,pub.1035657990,10.1029/2012jf002415,,,Sediment transport by runoff on debris‐mantled dryland hillslopes,Journal of Geophysical Research,,,2012-09,2012,117,F3,n/a-n/a,All OA; Gold,Article,"Michaelides, Katerina; Martin, Gareth J.",,"Michaelides, Katerina (University of Bristol); Martin, Gareth J. (University of Bristol)",14,7,,2.43,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2012JF002415,https://app.dimensions.ai/details/publication/pub.1035657990,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
23,100,pub.1039427053,10.1016/j.orggeochem.2011.11.001,,,Tracing the flow-driven vertical transport of livestock-derived organic matter through soil using biomarkers,Organic Geochemistry,,,2012-02,2012,43,,56-66,Closed,Article,"Lloyd, Charlotte E.M.; Michaelides, Katerina; Chadwick, David R.; Dungait, Jennifer A.J.; Evershed, Richard P.","Lloyd, Charlotte E.M.","Lloyd, Charlotte E.M. (University of Bristol); Michaelides, Katerina (University of Bristol); Chadwick, David R. (Rothamsted Research); Dungait, Jennifer A.J. (Rothamsted Research); Evershed, Richard P. (University of Bristol)",13,5,,1.92,,https://app.dimensions.ai/details/publication/pub.1039427053,0503 Soil Sciences; 0301 Analytical Chemistry; 05 Environmental Sciences; 03 Chemical Sciences,0503 Soil Sciences,0301 Analytical Chemistry,05 Environmental Sciences,03 Chemical Sciences,
24,100,pub.1009958759,10.1002/esp.1956,,,Tracing sediment redistribution across a break in slope using rare earth elements,Earth Surface Processes and Landforms,,,2010,2010,35,5,575-587,Closed,Article,"Michaelides, Katerina; Ibraim, Ioana; Nord, Guillaume; Esteves, Michel",,"Michaelides, Katerina (University of Bristol); Ibraim, Ioana (University of Bristol); Nord, Guillaume (Institute of Environmental Assessment and Water Research); Esteves, Michel ()",13,3,,1.35,,https://app.dimensions.ai/details/publication/pub.1009958759,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,100,pub.1036704634,10.1002/hyp.7293,,,Vegetation controls on small‐scale runoff and erosion dynamics in a degrading dryland environment,Hydrological Processes,,,2009-05-30,2009,23,11,1617-1630,Closed,Article,"Michaelides, Katerina; Lister, Debbie; Wainwright, John; Parsons, Anthony J.",,"Michaelides, Katerina (University of Bristol); Lister, Debbie (University of Bristol); Wainwright, John (University of Sheffield); Parsons, Anthony J. (University of Sheffield)",48,11,,4.94,,https://app.dimensions.ai/details/publication/pub.1036704634,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
26,200,pub.1039039407,10.1002/hyp.7214,,,Connectivity as a concept for characterising hydrological behaviour,Hydrological Processes,,,2009-01-30,2009,23,3,517-522,Closed,Article,"Michaelides, Katerina; Chappell, Adrian",,"Michaelides, Katerina (University of Bristol); Chappell, Adrian (University of Salford)",57,7,,7.71,,https://app.dimensions.ai/details/publication/pub.1039039407,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
27,100,pub.1010151575,10.1002/hyp.6823,,,Internal testing of a numerical model of hillslope–channel coupling using laboratory flume experiments,Hydrological Processes,,,2008-06-30,2008,22,13,2274-2291,Closed,Article,"Michaelides, Katerina; Wainwright, John",,"Michaelides, Katerina (University of Bristol); Wainwright, John (University of Sheffield)",11,3,,1.42,,https://app.dimensions.ai/details/publication/pub.1010151575,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
28,100,pub.1011250201,10.1029/2006wr005039,,,Uncertainty in predicted runoff due to patterns of spatially variable infiltration,Water Resources Research,,,2007-02,2007,43,2,,All OA; Gold,Article,"Michaelides, Katerina; Wilson, Matthew D.",,"Michaelides, Katerina (University of Bristol); Wilson, Matthew D. (University of Exeter)",17,4,,3.17,http://onlinelibrary.wiley.com/doi/10.1029/2006WR005039/pdf,https://app.dimensions.ai/details/publication/pub.1011250201,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
29,100,pub.1016553508,10.1007/3-540-36606-7_3,,,Linking Short- and Long-Term Soil—Erosion Modelling,Lecture Notes in Earth Sciences,Long Term Hillslope and Fluvial System Modelling,,2003,2003,101,,37-51,Closed,Chapter,"Wainwright, John; Parsons, Anthony J.; Michaelides, Katerina; Powell, D. Mark; Brazier, Richard",,"Wainwright, John (King's College London); Parsons, Anthony J. (University of Leicester); Michaelides, Katerina (University of Bristol); Powell, D. Mark (University of Leicester); Brazier, Richard (King's College London)",10,0,,0.94,,https://app.dimensions.ai/details/publication/pub.1016553508,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
30,200,pub.1020041054,10.1002/esp.434,,,Editorial,Earth Surface Processes and Landforms,,,2002-12,2002,27,13,1363-1364,Closed,Article,"Wainwright, John; Cases, Adolfo Calvo; Puigdefábregas, Juan; Michaelides, Katerina",,"Wainwright, John (); Cases, Adolfo Calvo (); Puigdefábregas, Juan (); Michaelides, Katerina ()",10,1,,0.96,,https://app.dimensions.ai/details/publication/pub.1020041054,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
31,100,pub.1034102114,10.1002/esp.440,,,Modelling the effects of hillslope–channel coupling on catchment hydrological response,Earth Surface Processes and Landforms,,,2002-12,2002,27,13,1441-1457,Closed,Article,"Michaelides, Katerina; Wainwright, John",,"Michaelides, Katerina (University of Bristol); Wainwright, John (King's College London)",63,13,,6.42,,https://app.dimensions.ai/details/publication/pub.1034102114,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
