,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Gretchen E Hofmann. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1085634151,10.1038/s41598-017-02777-y,28566727,PMC5451383,Persistent spatial structuring of coastal ocean acidification in the California Current System,Scientific Reports,,,2017-12,2017,7,1,2526,All OA; Gold,Article,"Chan, F.; Barth, J. A.; Blanchette, C. A.; Byrne, R. H.; Chavez, F.; Cheriton, O.; Feely, R. A.; Friederich, G.; Gaylord, B.; Gouhier, T.; Hacker, S.; Hill, T.; Hofmann, G.; McManus, M. A.; Menge, B. A.; Nielsen, K. J.; Russell, A.; Sanford, E.; Sevadjian, J.; Washburn, L.","Chan, F.","Chan, F. (Oregon State University); Barth, J. A. (Oregon State University); Blanchette, C. A. (University of California, Santa Barbara); Byrne, R. H. (University of South Florida); Chavez, F. (Monterey Bay Aquarium Research Institute); Cheriton, O. (); Feely, R. A. (Pacific Marine Environmental Laboratory); Friederich, G. (Monterey Bay Aquarium Research Institute); Gaylord, B. (University of California, Davis); Gouhier, T. (Northeastern University); Hacker, S. (Oregon State University); Hill, T. (University of California, Davis); Hofmann, G. (University of California, Santa Barbara); McManus, M. A. (University of Hawaii at Manoa); Menge, B. A. (Oregon State University); Nielsen, K. J. (San Francisco State University); Russell, A. (University of California, Davis); Sanford, E. (University of California, Davis); Sevadjian, J. (Monterey Bay Aquarium Research Institute); Washburn, L. (University of California, Santa Barbara)",35,34,3.09,13.63,https://www.nature.com/articles/s41598-017-02777-y.pdf,https://app.dimensions.ai/details/publication/pub.1085634151,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
11,500,pub.1092551125,10.1093/conphys/cox064,29218223,PMC5710650,Additive effects of pCO2 and temperature on respiration rates of the Antarctic pteropod Limacina helicina antarctica.,Conservation Physiology,,,2017-11-01,2017,5,1,cox064,All OA; Gold,Article,"Hoshijima, Umihiko; Wong, Juliet M; Hofmann, Gretchen E",,"Hoshijima, Umihiko (University of California, Santa Barbara); Wong, Juliet M (University of California, Santa Barbara); Hofmann, Gretchen E (University of California, Santa Barbara)",2,2,0.36,0.78,https://doi.org/10.1093/conphys/cox064,https://app.dimensions.ai/details/publication/pub.1092551125,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
12,500,pub.1085275158,10.1098/rspb.2016.2825,28446693,PMC5413919,Lipid consumption in coral larvae differs among sites: a consideration of environmental history in a global ocean change scenario,Proceedings of The Royal Society B Biological Sciences,,Animals; Anthozoa; Climate Change; Larva; Lipids; Seawater; Taiwan,2017-04-26,2017,284,1853,20162825,"All OA; Green, Published",Article,"Rivest, Emily B.; Chen, Chii-Shiarng; Fan, Tung-Yung; Li, Hsing-Hui; Hofmann, Gretchen E.",,"Rivest, Emily B. (University of California, Santa Barbara); Chen, Chii-Shiarng (National Museum of Marine Biology and Aquarium; National Dong Hwa University); Fan, Tung-Yung (National Museum of Marine Biology and Aquarium; National Dong Hwa University); Li, Hsing-Hui (National Museum of Marine Biology and Aquarium; National Dong Hwa University); Hofmann, Gretchen E. (University of California, Santa Barbara)",6,5,0,2.34,http://europepmc.org/articles/pmc5413919?pdf=render,https://app.dimensions.ai/details/publication/pub.1085275158,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,500,pub.1084011309,10.1002/ece3.2850,28428870,PMC5395446,Gene expression profiling during the embryo‐to‐larva transition in the giant red sea urchin Mesocentrotus franciscanus,Ecology and Evolution,,,2017-04,2017,7,8,2798-2811,All OA; Gold,Article,"Gaitán‐Espitia, Juan Diego; Hofmann, Gretchen E.",,"Gaitán‐Espitia, Juan Diego (); Hofmann, Gretchen E. ()",5,5,0.48,1.41,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.2850,https://app.dimensions.ai/details/publication/pub.1084011309,0604 Genetics; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0604 Genetics,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
14,500,pub.1083398277,10.1111/mec.14038,28141889,,Transcriptomic responses to seawater acidification among sea urchin populations inhabiting a natural pH mosaic,Molecular Ecology,,"Acclimatization; Acids; Animals; Carbon Dioxide; Climate Change; Hydrogen-Ion Concentration; Pacific Ocean; Polymorphism, Single Nucleotide; Seawater; Strongylocentrotus purpuratus; Transcriptome",2017-04,2017,26,8,2257-2275,All OA; Gold,Article,"Evans, Tyler G.; Pespeni, Melissa H.; Hofmann, Gretchen E.; Palumbi, Stephen R.; Sanford, Eric",,"Evans, Tyler G. (California State University, East Bay); Pespeni, Melissa H. (University of Vermont); Hofmann, Gretchen E. (University of California, Santa Barbara); Palumbi, Stephen R. (); Sanford, Eric (University of California, Davis)",21,17,2.6,6.29,https://doi.org/10.1111/mec.14038,https://app.dimensions.ai/details/publication/pub.1083398277,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
15,500,pub.1083802553,10.1002/ece3.2776,28331584,PMC5355180,Sensitivity of sea urchin fertilization to pH varies across a natural pH mosaic,Ecology and Evolution,,,2017-03,2017,7,6,1737-1750,All OA; Gold,Article,"Kapsenberg, Lydia; Okamoto, Daniel K.; Dutton, Jessica M.; Hofmann, Gretchen E.",,"Kapsenberg, Lydia (Sorbonne University); Okamoto, Daniel K. (Simon Fraser University); Dutton, Jessica M. (University of Southern California); Hofmann, Gretchen E. ()",7,6,1.31,2.73,https://doi.org/10.1002/ece3.2776,https://app.dimensions.ai/details/publication/pub.1083802553,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
16,500,pub.1037556419,10.1242/jeb.145946,27872216,,The effect of temperature adaptation on the ubiquitin-proteasome pathway in notothenioid fishes,Journal of Experimental Biology,,Acclimatization; Animals; Antarctic Regions; Cold Temperature; Fish Proteins; Gene Expression Regulation; Perciformes; Proteasome Endopeptidase Complex; Signal Transduction; Ubiquitin,2017-02-01,2017,220,Pt 3,jeb.145946,All OA; Gold,Article,"Todgham, Anne E; Crombie, Timothy A; Hofmann, Gretchen E",,"Todgham, Anne E (University of California, Davis); Crombie, Timothy A (University of Florida); Hofmann, Gretchen E (University of California, Santa Barbara)",7,7,0.97,2.1,http://jeb.biologists.org/content/jexbio/220/3/369.full.pdf,https://app.dimensions.ai/details/publication/pub.1037556419,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
17,100,pub.1006855822,10.3389/fmars.2017.00004,,,Ecological Epigenetics in Marine Metazoans,Frontiers in Marine Science,,,2017-01-18,2017,4,,4,All OA; Gold,Article,"Hofmann, Gretchen E.",,"Hofmann, Gretchen E. ()",23,19,,6.89,https://www.frontiersin.org/articles/10.3389/fmars.2017.00004/pdf,https://app.dimensions.ai/details/publication/pub.1006855822,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
18,200,pub.1025848819,10.1201/9781315207490-12,,,Climate Change and the Oceanic Carbon Cycle,,Climate Change and the Oceanic Carbon Cycle,,2017-01-15,2017,,,239-266,Closed,Chapter,"KAPSENBERG, LYDIA; KELLEY, AMANDA L.; SHAW, EMILY C.; MARTZ, TODD R.; HOFMANN, GRETCHEN E.",,"KAPSENBERG, LYDIA (); KELLEY, AMANDA L. (); SHAW, EMILY C. (); MARTZ, TODD R. (); HOFMANN, GRETCHEN E. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1025848819,,,,,,
19,400,pub.1024855488,10.1038/sdata.2016.87,27727238,PMC5058338,"Long-term, high frequency in situ measurements of intertidal mussel bed temperatures using biomimetic sensors",Scientific Data,,Animals; Bivalvia; Body Temperature; Climate Change; Ecosystem,2016-12,2016,3,1,160087,All OA; Gold,Article,"Helmuth, Brian; Choi, Francis; Matzelle, Allison; Torossian, Jessica L.; Morello, Scott L.; Mislan, K.A.S.; Yamane, Lauren; Strickland, Denise; Szathmary, P. Lauren; Gilman, Sarah E.; Tockstein, Alyson; Hilbish, Thomas J.; Burrows, Michael T.; Power, Anne Marie; Gosling, Elizabeth; Mieszkowska, Nova; Harley, Christopher D.G.; Nishizaki, Michael; Carrington, Emily; Menge, Bruce; Petes, Laura; Foley, Melissa M.; Johnson, Angela; Poole, Megan; Noble, Mae M.; Richmond, Erin L.; Robart, Matt; Robinson, Jonathan; Sapp, Jerod; Sones, Jackie; Broitman, Bernardo R.; Denny, Mark W.; Mach, Katharine J.; Miller, Luke P.; O’Donnell, Michael; Ross, Philip; Hofmann, Gretchen E.; Zippay, Mackenzie; Blanchette, Carol; Macfarlan, J.A.; Carpizo-Ituarte, Eugenio; Ruttenberg, Benjamin; Peña Mejía, Carlos E.; McQuaid, Christopher D.; Lathlean, Justin; Monaco, Cristián J.; Nicastro, Katy R.; Zardi, Gerardo","Helmuth, Brian","Helmuth, Brian (Northeastern University); Choi, Francis (Northeastern University); Matzelle, Allison (Northeastern University); Torossian, Jessica L. (Northeastern University); Morello, Scott L. (Downeast Institute); Mislan, K.A.S. (University of Washington); Yamane, Lauren (University of California, Davis); Strickland, Denise (University of South Carolina; Palmetto Health Richland); Szathmary, P. Lauren (University of South Carolina); Gilman, Sarah E. (); Tockstein, Alyson (University of South Carolina); Hilbish, Thomas J. (University of South Carolina); Burrows, Michael T. (Scottish Association For Marine Science); Power, Anne Marie (National University of Ireland, Galway); Gosling, Elizabeth (Galway-Mayo Institute of Technology); Mieszkowska, Nova (Marine Biological Association of the United Kingdom; University of Liverpool); Harley, Christopher D.G. (University of British Columbia); Nishizaki, Michael (University of Washington; Mystic Seaport); Carrington, Emily (University of Washington); Menge, Bruce (Oregon State University); Petes, Laura (Oregon State University; National Oceanic and Atmospheric Administration); Foley, Melissa M. (Oregon State University); Johnson, Angela (Oregon State University); Poole, Megan (Oregon State University); Noble, Mae M. (Oregon State University; Australian National University); Richmond, Erin L. (Oregon State University; National Marine Fisheries Service); Robart, Matt (Oregon State University); Robinson, Jonathan (Oregon State University); Sapp, Jerod (Oregon State University); Sones, Jackie (University of California, Davis); Broitman, Bernardo R. (); Denny, Mark W. (Stanford University); Mach, Katharine J. (Stanford University); Miller, Luke P. (Stanford University; San Jose State University); O’Donnell, Michael (Stanford University; University of California, Berkeley); Ross, Philip (University of Waikato); Hofmann, Gretchen E. (University of California, Santa Barbara); Zippay, Mackenzie (University of California, Santa Barbara; Sonoma State University); Blanchette, Carol (University of California, Santa Barbara); Macfarlan, J.A. (University of California, Santa Barbara; University of Rhode Island); Carpizo-Ituarte, Eugenio (Autonomous University of Baja California); Ruttenberg, Benjamin (Autonomous University of Baja California; California Polytechnic State University); Peña Mejía, Carlos E. (Autonomous University of Baja California); McQuaid, Christopher D. (Rhodes University); Lathlean, Justin (Rhodes University); Monaco, Cristián J. (Rhodes University); Nicastro, Katy R. (Rhodes University; University of Algarve); Zardi, Gerardo (Rhodes University)",24,22,1.53,6.23,https://www.nature.com/articles/sdata201687.pdf,https://app.dimensions.ai/details/publication/pub.1024855488,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,100,pub.1016791306,10.5194/bg-2016-467,,,"Shell dissolution observed in Limacina helicina antarctica from the Ross Sea, Antarctica: paired shell characteristics and in situ seawater chemistry",Biogeosciences Discussions,,,2016-11-22,2016,,,1-25,All OA; Gold,Article,"Johnson, Kevin M.; Hoshijima, Umihiko; Sugano, Cailan S.; Nguyen, Alice T.; Hofmann, Gretchen E.",,"Johnson, Kevin M. (University of California, Santa Barbara); Hoshijima, Umihiko (University of California, Santa Barbara); Sugano, Cailan S. (University of California, Santa Barbara); Nguyen, Alice T. (University of California, Santa Barbara); Hofmann, Gretchen E. (University of California, Santa Barbara)",2,1,,0.43,https://www.biogeosciences-discuss.net/bg-2016-467/bg-2016-467.pdf,https://app.dimensions.ai/details/publication/pub.1016791306,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
21,100,pub.1030390709,10.1016/j.ecoinf.2016.08.005,,,Beyond the benchtop and the benthos: Dataset management planning and design for time series of ocean carbonate chemistry associated with Durafet®-based pH sensors,Ecological Informatics,,,2016-11,2016,36,Cont. Shelf Res. 45 2012,209-220,All OA; Gold,Article,"Rivest, Emily B.; O'Brien, Margaret; Kapsenberg, Lydia; Gotschalk, Chris C.; Blanchette, Carol A.; Hoshijima, Umihiko; Hofmann, Gretchen E.","Rivest, Emily B.","Rivest, Emily B. (University of California, Santa Barbara; William & Mary); O'Brien, Margaret (University of California, Santa Barbara); Kapsenberg, Lydia (University of California, Santa Barbara); Gotschalk, Chris C. (University of California, Santa Barbara); Blanchette, Carol A. (University of California, Santa Barbara); Hoshijima, Umihiko (University of California, Santa Barbara); Hofmann, Gretchen E. (University of California, Santa Barbara)",11,9,,6.32,https://doi.org/10.1016/j.ecoinf.2016.08.005,https://app.dimensions.ai/details/publication/pub.1030390709,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
22,400,pub.1046279156,10.1111/eva.12411,27695514,PMC5039319,Physiological plasticity and local adaptation to elevated pCO2 in calcareous algae: an ontogenetic and geographic approach,Evolutionary Applications,,,2016-10,2016,9,9,1043-1053,All OA; Gold,Article,"Padilla‐Gamiño, Jacqueline L.; Gaitán‐Espitia, Juan Diego; Kelly, Morgan W.; Hofmann, Gretchen E.",,"Padilla‐Gamiño, Jacqueline L. (University of Washington; California State University, Dominguez Hills); Gaitán‐Espitia, Juan Diego (CSIRO Ocean and Atmosphere); Kelly, Morgan W. (Louisiana State University); Hofmann, Gretchen E. (University of California, Santa Barbara)",17,10,1.08,4.41,https://onlinelibrary.wiley.com/doi/pdf/10.1111/eva.12411,https://app.dimensions.ai/details/publication/pub.1046279156,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
23,400,pub.1016403972,10.1016/j.margen.2016.04.002,27157132,,A transcriptome resource for the Antarctic pteropod Limacina helicina antarctica,Marine Genomics,,"Animals; Antarctic Regions; Carbon Dioxide; Cold Temperature; Gastropoda; Hot Temperature; Hydrogen-Ion Concentration; Seawater; Sequence Analysis, RNA; Transcriptome",2016-08,2016,28,Nat. Geosci. 5 12 2012,25-28,All OA; Gold,Article,"Johnson, Kevin M.; Hofmann, Gretchen E.","Johnson, Kevin M.","Johnson, Kevin M. (University of California, Santa Barbara); Hofmann, Gretchen E. (University of California, Santa Barbara)",11,7,0.77,2.36,https://manuscript.elsevier.com/S1874778716300265/pdf/S1874778716300265.pdf,https://app.dimensions.ai/details/publication/pub.1016403972,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
24,400,pub.1036774616,10.1111/ele.12613,27151381,,Interacting environmental mosaics drive geographic variation in mussel performance and predation vulnerability,Ecology Letters,,Animals; California; Environment; Hydrogen-Ion Concentration; Mytilus; Oregon; Predatory Behavior; Seawater; Temperature,2016-07,2016,19,7,771-779,All OA; Gold,Article,"Kroeker, Kristy J.; Sanford, Eric; Rose, Jeremy M.; Blanchette, Carol A.; Chan, Francis; Chavez, Francisco P.; Gaylord, Brian; Helmuth, Brian; Hill, Tessa M.; Hofmann, Gretchen E.; McManus, Margaret A.; Menge, Bruce A.; Nielsen, Karina J.; Raimondi, Peter T.; Russell, Ann D.; Washburn, Libe",,"Kroeker, Kristy J. (University of California, Santa Cruz); Sanford, Eric (University of California, Davis); Rose, Jeremy M. (Oregon State University); Blanchette, Carol A. (University of California, Santa Barbara); Chan, Francis (Oregon State University); Chavez, Francisco P. (Monterey Bay Aquarium Research Institute); Gaylord, Brian (University of California, Davis); Helmuth, Brian (Northeastern University); Hill, Tessa M. (University of California, Davis); Hofmann, Gretchen E. (University of California, Santa Barbara); McManus, Margaret A. (University of Hawaii at Manoa); Menge, Bruce A. (Oregon State University); Nielsen, Karina J. (San Francisco State University); Raimondi, Peter T. (University of California, Santa Cruz); Russell, Ann D. (University of California, Davis); Washburn, Libe (University of California, Santa Barbara)",54,34,3.5,17.7,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ele.12613,https://app.dimensions.ai/details/publication/pub.1036774616,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
25,100,pub.1052567981,10.1002/lno.10264,,,"Ocean pH time‐series and drivers of variability along the northern Channel Islands, California, USA",Limnology and Oceanography,,,2016-05,2016,61,3,953-968,All OA; Gold,Article,"Kapsenberg, Lydia; Hofmann, Gretchen E.",,"Kapsenberg, Lydia (University of California, Santa Barbara); Hofmann, Gretchen E. (University of California, Santa Barbara)",38,26,,8.98,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.1002/lno.10264,https://app.dimensions.ai/details/publication/pub.1052567981,06 Biological Sciences; 04 Earth Sciences; 0602 Ecology; 0405 Oceanography,06 Biological Sciences,04 Earth Sciences,0602 Ecology,0405 Oceanography,
26,100,pub.1059657524,10.1093/icesjms/fsv184,,,"High pCO2 affects body size, but not gene expression in larvae of the California mussel (Mytilus californianus)",ICES Journal of Marine Science,,,2016-03,2016,73,3,962-969,All OA; Gold,Article,"Kelly, Morgan W.; Padilla-Gamiño, Jacqueline L.; Hofmann, Gretchen E.",,"Kelly, Morgan W. (Louisiana State University); Padilla-Gamiño, Jacqueline L. (California State University, Dominguez Hills); Hofmann, Gretchen E. (University of California, Santa Barbara)",8,5,,1.88,https://academic.oup.com/icesjms/article-pdf/73/3/962/17466711/fsv184.pdf,https://app.dimensions.ai/details/publication/pub.1059657524,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
27,100,pub.1030784058,10.1111/conl.12190,,,Improving Conservation Outcomes with a New Paradigm for Understanding Species’ Fundamental and Realized Adaptive Capacity,Conservation Letters,,,2016-03,2016,9,2,131-137,All OA; Gold,Article,"Beever, Erik A; O'Leary, John; Mengelt, Claudia; West, Jordan M; Julius, Susan; Green, Nancy; Magness, Dawn; Petes, Laura; Stein, Bruce; Nicotra, Adrienne B; Hellmann, Jessica J; Robertson, Amanda L; Staudinger, Michelle D; Rosenberg, Andrew A; Babij, Eleanora; Brennan, Jean; Schuurman, Gregor W; Hofmann, Gretchen E",,"Beever, Erik A (United States Geological Survey; Montana State University); O'Leary, John (); Mengelt, Claudia (National Academies of Sciences, Engineering, and Medicine); West, Jordan M (); Julius, Susan (); Green, Nancy (); Magness, Dawn (United States Fish and Wildlife Service); Petes, Laura (National Oceanic and Atmospheric Administration); Stein, Bruce (National Wildlife Federation); Nicotra, Adrienne B (Australian National University); Hellmann, Jessica J (University of Notre Dame); Robertson, Amanda L (United States Fish and Wildlife Service; University of Alaska Fairbanks); Staudinger, Michelle D (Northeast Climate Science Center; University of Massachusetts Amherst); Rosenberg, Andrew A (); Babij, Eleanora (United States Fish and Wildlife Service); Brennan, Jean (United States Fish and Wildlife Service); Schuurman, Gregor W (National Park Service; Wisconsin Department of Natural Resources); Hofmann, Gretchen E (University of California, Santa Barbara)",58,32,,17.23,https://onlinelibrary.wiley.com/doi/pdf/10.1111/conl.12190,https://app.dimensions.ai/details/publication/pub.1030784058,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
