,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is David A Cleveland. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1041878914,10.1080/08941920.2015.1043081,,,The Influence of Environmentalism on Attitudes Toward Local Agriculture and Urban Expansion,Society & Natural Resources,,,2016-01-02,2016,29,1,88-103,"All OA; Green, Published",Article,"Cleveland, David A.; Copeland, Lauren; Glasgow, Garrett; McGinnis, Michael Vincent; Smith, Eric R. A. N.",,"Cleveland, David A. (University of California, Santa Barbara); Copeland, Lauren (University of California, Santa Barbara); Glasgow, Garrett (University of California, Santa Barbara); McGinnis, Michael Vincent (); Smith, Eric R. A. N. (University of California, Santa Barbara)",1,1,,0.5,https://escholarship.org/content/qt2cc1g6tw/qt2cc1g6tw.pdf?t=ouqevb,https://app.dimensions.ai/details/publication/pub.1041878914,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
11,200,pub.1019380277,10.1890/15.wb.017,,,How does food localization contribute to food system sustainability?,Frontiers in Ecology and the Environment,,,2015-10,2015,13,8,410-411,Closed,Article,"Cleveland, David A",,"Cleveland, David A (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1019380277,,,,,,
12,100,pub.1040167286,10.1007/s10460-014-9556-9,,,"Operationalizing local food: goals, actions, and indicators for alternative food systems",Agriculture and Human Values,,,2015-06,2015,32,2,281-297,"All OA; Green, Accepted & Submitted",Article,"Cleveland, David A.; Carruth, Allison; Mazaroli, Daniella Niki","Cleveland, David A.","Cleveland, David A. (University of California, Santa Barbara); Carruth, Allison (University of California Los Angeles); Mazaroli, Daniella Niki ()",28,16,,11.42,https://escholarship.org/content/qt83j1c3s1/qt83j1c3s1.pdf?t=o1zgcj,https://app.dimensions.ai/details/publication/pub.1040167286,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
13,100,pub.1052105995,10.1016/j.jrurstud.2014.03.008,,,"Local food hubs for alternative food systems: A case study from Santa Barbara County, California",Journal of Rural Studies,,,2014-07,2014,35,,26-36,Closed,Article,"Cleveland, David A.; Müller, Nora M.; Tranovich, Alexander C.; Mazaroli, D. Niki; Hinson, Kai","Cleveland, David A.","Cleveland, David A. (University of California, Santa Barbara); Müller, Nora M. (University of California, Santa Barbara); Tranovich, Alexander C. (University of California, Santa Barbara); Mazaroli, D. Niki (University of California, Santa Barbara); Hinson, Kai (University of California, Santa Barbara)",45,25,,23.17,,https://app.dimensions.ai/details/publication/pub.1052105995,1608 Sociology; 1605 Policy and Administration; 16 Studies in Human Society,1608 Sociology,1605 Policy and Administration,16 Studies in Human Society,,
14,400,pub.1053199425,10.1021/es1040317,21513288,,"Effect of localizing fruit and vegetable consumption on greenhouse gas emissions and nutrition, Santa Barbara County.",Environmental Science & Technology,,Agriculture; Air Pollution; California; Carbon Footprint; Conservation of Natural Resources; Diet; Fruit; Greenhouse Effect; Humans; Nutrition Surveys; Transportation; Vegetables,2011-05-15,2011,45,10,4555-62,Closed,Article,"Cleveland, David A; Radka, Corie N; Müller, Nora M; Watson, Tyler D; Rekstein, Nicole J; Wright, Hannah Van M; Hollingshead, Sydney E",,"Cleveland, David A (University of California, Santa Barbara); Radka, Corie N (); Müller, Nora M (); Watson, Tyler D (); Rekstein, Nicole J (); Wright, Hannah Van M (); Hollingshead, Sydney E ()",24,9,0.09,6.1,,https://app.dimensions.ai/details/publication/pub.1053199425,1111 Nutrition and Dietetics; 11 Medical and Health Sciences,1111 Nutrition and Dietetics,11 Medical and Health Sciences,,,
15,100,pub.1050306437,10.1016/j.ecolecon.2008.01.031,,,"Testing assumptions underlying economic research on transgenic food crops for Third World farmers: Evidence from Cuba, Guatemala and Mexico",Ecological Economics,,,2008-11,2008,67,4,667-682,Closed,Article,"Soleri, Daniela; Cleveland, David A.; Glasgow, Garrett; Sweeney, Stuart H.; Cuevas, Flavio Aragón; Fuentes, Mario R.; L., Humberto Ríos","Soleri, Daniela","Soleri, Daniela (University of California, Santa Barbara); Cleveland, David A. (University of California, Santa Barbara); Glasgow, Garrett (University of California, Santa Barbara); Sweeney, Stuart H. (University of California, Santa Barbara); Cuevas, Flavio Aragón (); Fuentes, Mario R. (); L., Humberto Ríos (Instituto Nacional de Ciencias Agrícolas)",18,1,,6.78,,https://app.dimensions.ai/details/publication/pub.1050306437,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
16,200,pub.1058795111,10.1086/527562,,,Food Globalization and Local Diversity,Current Anthropology,,,2008-04,2008,49,2,281-290,Closed,Article,"Soleri, Daniela; Cleveland, David A.; Aragón Cuevas, Flavio",,"Soleri, Daniela (); Cleveland, David A. (); Aragón Cuevas, Flavio ()",9,1,,4.63,,https://app.dimensions.ai/details/publication/pub.1058795111,1801 Law; 16 Studies in Human Society; 2101 Archaeology; 18 Law and Legal Studies; 21 History and Archaeology; 1601 Anthropology,1801 Law,16 Studies in Human Society,2101 Archaeology,18 Law and Legal Studies,21 History and Archaeology
17,100,pub.1034397995,10.1080/07409710701260131,,,"Tejate: Theobroma Cacao and T. bicolor in a Traditional Beverage from Oaxaca, Mexico",Food and Foodways,,,2007-06-06,2007,15,1-2,107-118,Closed,Article,"Soleri, Daniela; Cleveland, David A.",,"Soleri, Daniela (); Cleveland, David A. ()",6,1,,10.03,,https://app.dimensions.ai/details/publication/pub.1034397995,2103 Historical Studies; 21 History and Archaeology,2103 Historical Studies,21 History and Archaeology,,,
18,100,pub.1048634726,10.1663/0013-0001(2007)61[121:edabdi]2.0.co;2,,,"Extending Darwin's Analogy: Bridging Differences in Concepts of Selection between Farmers, Biologists, and Plant Breeders",Economic Botany,,,2007-06,2007,61,2,121-136,Closed,Article,"Cleveland, David A.; Soleri, Daniela",,"Cleveland, David A. (University of California, Santa Barbara); Soleri, Daniela (University of California, Santa Barbara)",24,2,,1.61,,https://app.dimensions.ai/details/publication/pub.1048634726,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
19,100,pub.1017165262,10.1007/s10745-006-9021-5,,,Farmer Choice of Sorghum Varieties in Southern Mali,Human Ecology,,,2006-06,2006,34,3,331-353,Closed,Article,"Lacy, Scott M.; Cleveland, David A.; Soleri, Daniela","Cleveland, David A.","Lacy, Scott M. (University of California, Santa Barbara); Cleveland, David A. (University of California, Santa Barbara); Soleri, Daniela (University of California, Santa Barbara)",34,7,,14.55,,https://app.dimensions.ai/details/publication/pub.1017165262,16 Studies in Human Society; 1601 Anthropology,16 Studies in Human Society,1601 Anthropology,,,
20,200,pub.1023273085,10.1007/s10460-005-5863-5,,,Transgenic Maize and Mexican Maize Diversity: Risky Synergy?,Agriculture and Human Values,,,2006-03,2006,23,1,27-31,Closed,Article,"Soleri, Daniela; Cleveland, David A.","Soleri, Daniela","Soleri, Daniela (University of California, Santa Barbara); Cleveland, David A. (University of California, Santa Barbara)",7,0,,2.04,,https://app.dimensions.ai/details/publication/pub.1023273085,1608 Sociology; 1402 Applied Economics; 16 Studies in Human Society; 14 Economics,1608 Sociology,1402 Applied Economics,16 Studies in Human Society,14 Economics,
21,200,pub.1043363984,10.1641/0006-3568(2006)56[709:rfsac]2.0.co;2,,,Response from Soleri and colleagues,BioScience,,,2006,2006,56,9,709-710,All OA; Gold,Article,"SOLERI, DANIELA; CLEVELAND, DAVID A.; CUEVAS, FLAVIO ARAGN",,"SOLERI, DANIELA (University of California, Santa Barbara); CLEVELAND, DAVID A. (University of California, Santa Barbara); CUEVAS, FLAVIO ARAGN ()",1,0,,,https://academic.oup.com/bioscience/article-pdf/56/9/709/19414983/56-9-709.pdf,https://app.dimensions.ai/details/publication/pub.1043363984,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
22,100,pub.1016651935,10.1641/0006-3568(2006)56[503:tcacvd]2.0.co;2,,,Transgenic Crops and Crop Varietal Diversity: The Case of Maize in Mexico,BioScience,,,2006,2006,56,6,503-513,All OA; Gold,Article,"SOLERI, DANIELA; CLEVELAND, DAVID A.; CUEVAS, FLAVIO ARAGN",,"SOLERI, DANIELA (); CLEVELAND, DAVID A. (); CUEVAS, FLAVIO ARAGN ()",22,3,,,https://academic.oup.com/bioscience/article-pdf/56/6/503/19418990/56-6-503.pdf,https://app.dimensions.ai/details/publication/pub.1016651935,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
23,100,pub.1077128596,,16231407,,Debate over a GM rice trial in China.,Science,,"Crops, Agricultural; Food, Genetically Modified; Humans; Hunger; Oryza; Pesticides; Plants, Genetically Modified",2005-10-14,2005,310,5746,231-3; author reply 231-3,Closed,Article,"Cleveland, David A; Soleri, Daniela",,"Cleveland, David A (); Soleri, Daniela ()",1,1,0.01,,,https://app.dimensions.ai/details/publication/pub.1077128596,,,,,,
24,400,pub.1016084399,10.1051/ebr:2006006,16827547,,Detecting (trans)gene flow to landraces in centers of crop origin: lessons from the case of maize in Mexico,Environmental Biosafety Research,,"Crops, Agricultural; Data Interpretation, Statistical; Gene Flow; Mexico; Plants, Genetically Modified; Population Density; Seeds; Zea mays",2005-10,2005,4,4,197-208,All OA; Gold,Article,"Cleveland, David A.; Soleri, Daniela; Cuevas, Flavio Aragón; Crossa, José; Gepts, Paul",,"Cleveland, David A. (University of California, Santa Barbara); Soleri, Daniela (University of California, Santa Barbara); Cuevas, Flavio Aragón (); Crossa, José (International Maize and Wheat Improvement Center); Gepts, Paul (University of California, Davis)",33,2,0.28,2.13,https://www.ebr-journal.org/articles/ebr/pdf/2005/04/ebr0534.pdf,https://app.dimensions.ai/details/publication/pub.1016084399,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
25,100,pub.1010962445,10.1177/1525822x05277476,,,Scenarios as a Tool for Eliciting and Understanding Farmers’ Biological Knowledge,Field Methods,,,2005-08,2005,17,3,283-301,Closed,Article,"Soleri, Daniela; Cleveland, David A.",,"Soleri, Daniela (University of California, Santa Barbara); Cleveland, David A. (University of California, Santa Barbara)",8,1,,2.97,,https://app.dimensions.ai/details/publication/pub.1010962445,16 Studies in Human Society; 1601 Anthropology,16 Studies in Human Society,1601 Anthropology,,,
26,400,pub.1056956630,10.1051/ebr:2005019,16634221,,"Understanding the potential impact of transgenic crops in traditional agriculture: maize farmers’ perspectives in Cuba, Guatemala and Mexico",Environmental Biosafety Research,,"Adult; Aged; Agriculture; Cuba; Genotype; Guatemala; Humans; Mexico; Middle Aged; Plants, Genetically Modified; Public Opinion; Risk Management; Seeds; Zea mays",2005-07,2005,4,3,141-166,All OA; Gold,Article,"Soleri, Daniela; Cleveland, David A.; C., Flavio Aragón; L., Mario R. Fuentes; L., Humberto Ríos; Sweeney, Stuart H.",,"Soleri, Daniela (University of California, Santa Barbara); Cleveland, David A. (University of California, Santa Barbara); C., Flavio Aragón (); L., Mario R. Fuentes (); L., Humberto Ríos (Instituto Nacional de Ciencias Agrícolas); Sweeney, Stuart H. (University of California, Santa Barbara)",20,1,0.1,2.44,https://www.ebr-journal.org/articles/ebr/pdf/2005/03/ebr0522.pdf,https://app.dimensions.ai/details/publication/pub.1056956630,0703 Crop and Pasture Production; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,07 Agricultural and Veterinary Sciences,,,
27,100,pub.1073096174,10.5751/es-01243-100109,,,"Rethinking the Risk Management Process for Genetically Engineered Crop Varieties in Small-scale, Traditionally Based Agriculture",Ecology and Society,,,2005,2005,10,1,,All OA; Gold,Article,"Cleveland, David; Soleri, Daniela",,"Cleveland, David (); Soleri, Daniela ()",19,0,,2.32,http://www.ecologyandsociety.org/vol10/iss1/art9/ES-2005-1243.pdf,https://app.dimensions.ai/details/publication/pub.1073096174,0703 Crop and Pasture Production; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,07 Agricultural and Veterinary Sciences,,,
28,100,pub.1032058892,10.1023/a:1011923222493,,,Is plant breeding science objective truth or social construction? The case of yield stability,Agriculture and Human Values,,,2001-09,2001,18,3,251-270,Closed,Article,"Cleveland, David A.",,"Cleveland, David A. (University of California, Santa Barbara)",23,1,,6.93,,https://app.dimensions.ai/details/publication/pub.1032058892,1608 Sociology; 1402 Applied Economics; 16 Studies in Human Society; 14 Economics,1608 Sociology,1402 Applied Economics,16 Studies in Human Society,14 Economics,
29,100,pub.1015790777,10.1007/bf02864550,,,"Farmers’ genetic perceptions regarding their crop populations: An example with maize in the central valleys of Oaxaca, Mexico",Economic Botany,,,2001-01,2001,55,1,106-128,Closed,Article,"Soleri, Daniela; Cleveland, David A.","Soleri, Daniela","Soleri, Daniela (University of Arizona; University of California, Santa Barbara); Cleveland, David A. (University of California, Santa Barbara)",24,0,,1.38,,https://app.dimensions.ai/details/publication/pub.1015790777,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
30,100,pub.1012646020,10.1023/a:1004093916939,,,"Evaluating the potential for farmer and plant breeder collaboration: A case study of farmer maize selection in Oaxaca, Mexico",Euphytica,,,2000-11,2000,116,1,41-57,Closed,Article,"Soleri, Daniela; Smith, Steven E.; Cleveland, David A.",,"Soleri, Daniela (University of Arizona); Smith, Steven E. (University of Arizona); Cleveland, David A. ()",27,1,,2.59,,https://app.dimensions.ai/details/publication/pub.1012646020,0703 Crop and Pasture Production; 0607 Plant Biology; 0604 Genetics; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0607 Plant Biology,0604 Genetics,06 Biological Sciences,07 Agricultural and Veterinary Sciences
31,100,pub.1015062013,10.1007/bf02864788,,,A biological framework for understanding farmers’ plant breeding,Economic Botany,,,2000-07,2000,54,3,377-394,Closed,Article,"Cleveland, David A.; Daniela, Soleri; Smith, Steven E.","Cleveland, David A.","Cleveland, David A. (University of California, Santa Barbara); Daniela, Soleri (University of Arizona); Smith, Steven E. (University of Arizona)",32,4,,2.54,,https://app.dimensions.ai/details/publication/pub.1015062013,0607 Plant Biology; 0604 Genetics; 06 Biological Sciences,0607 Plant Biology,0604 Genetics,06 Biological Sciences,,
32,100,pub.1014482165,10.1525/aa.1998.100.2.578,,,Misreading the African Landscape: Society and Ecology in a Forest‐Savanna Mosaic,American Anthropologist,,,1998-06,1998,100,2,578-579,Closed,Article,"Cleveland, David A.; Powell, Joseph B.",,"Cleveland, David A. (University of California, Santa Barbara); Powell, Joseph B. (University of California, Santa Barbara)",4,1,,,,https://app.dimensions.ai/details/publication/pub.1014482165,1605 Policy and Administration; 1699 Other Studies In Human Society; 1601 Anthropology; 16 Studies in Human Society,1605 Policy and Administration,1699 Other Studies In Human Society,1601 Anthropology,16 Studies in Human Society,
33,100,pub.1030047035,10.1007/978-94-009-0011-0_15,,,Collaborative Plant Breeding as an Incentive for On-Farm Conservation of Genetic Resources: Economic Issues from Studies in Mexico,,Farmers Gene Banks and Crop Breeding: Economic Analyses of Diversity in Wheat Maize and Rice,,1998,1998,,,239-258,Closed,Chapter,"Smale, M.; Soleri, D.; Cleveland, D. A.; Louette, D.; Rice, E.; Blanco, J.-L.; Aguirre, A.",,"Smale, M. (); Soleri, D. (); Cleveland, D. A. (); Louette, D. (); Rice, E. (); Blanco, J.-L. (); Aguirre, A. ()",5,0,,,,https://app.dimensions.ai/details/publication/pub.1030047035,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
34,200,pub.1069434752,10.2307/1312583,,,Do Folk Crop Varieties Have a Role in Sustainable Agriculture?,BioScience,,,1994-12,1994,44,11,740-751,Closed,Article,"Cleveland, David A.; Soleri, Daniela; Smith, Steven E.",,"Cleveland, David A. (); Soleri, Daniela (); Smith, Steven E. ()",73,5,,,,https://app.dimensions.ai/details/publication/pub.1069434752,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
35,200,pub.1009147066,10.1007/bf02217661,,,Book reviews,Agriculture and Human Values,,,1988-06,1988,5,3,71-95,Closed,Article,"Cleveland, David A.; Soleri, Daniela; Thompson, Paul B.; Paden, Roger; Milanich, Jerald T.; Lyon, John; Axinn, George H.",,"Cleveland, David A. (); Soleri, Daniela (); Thompson, Paul B. (); Paden, Roger (); Milanich, Jerald T. (); Lyon, John (); Axinn, George H. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1009147066,1608 Sociology; 1402 Applied Economics; 16 Studies in Human Society; 14 Economics,1608 Sociology,1402 Applied Economics,16 Studies in Human Society,14 Economics,
