,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Halley E Froehlich. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1091883191,10.1016/j.biocon.2017.09.012,,,Conservation aquaculture: Shifting the narrative and paradigm of aquaculture's role in resource management,Biological Conservation,,,2017-11,2017,215,,162-168,Closed,Article,"Froehlich, Halley E.; Gentry, Rebecca R.; Halpern, Benjamin S.","Froehlich, Halley E.","Froehlich, Halley E. (University of California, Santa Barbara); Gentry, Rebecca R. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",14,14,,5.45,,https://app.dimensions.ai/details/publication/pub.1091883191,0602 Ecology; 0704 Fisheries Sciences; 06 Biological Sciences; 0604 Genetics; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,0602 Ecology,0704 Fisheries Sciences,06 Biological Sciences,0604 Genetics,05 Environmental Sciences
11,500,pub.1091119429,10.1038/s41559-017-0257-9,29046547,,Mapping the global potential for marine aquaculture,Nature Ecology & Evolution,,Aquaculture; Aquatic Organisms; Seafood,2017-09,2017,1,9,1317-1324,Closed,Article,"Gentry, Rebecca R.; Froehlich, Halley E.; Grimm, Dietmar; Kareiva, Peter; Parke, Michael; Rust, Michael; Gaines, Steven D.; Halpern, Benjamin S.","Gentry, Rebecca R.","Gentry, Rebecca R. (University of California, Santa Barbara); Froehlich, Halley E. (University of California, Santa Barbara); Grimm, Dietmar (); Kareiva, Peter (University of California Los Angeles); Parke, Michael (Pacific Islands Fisheries Science Center); Rust, Michael (National Oceanic and Atmospheric Administration); Gaines, Steven D. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",49,46,1.58,18.2,,https://app.dimensions.ai/details/publication/pub.1091119429,04 Earth Sciences; 0704 Fisheries Sciences; 0405 Oceanography; 07 Agricultural and Veterinary Sciences,04 Earth Sciences,0704 Fisheries Sciences,0405 Oceanography,07 Agricultural and Veterinary Sciences,
12,100,pub.1084226298,10.1139/cjfas-2016-0269,,,"When does hypoxia affect management performance of a fishery? A management strategy evaluation of Dungeness crab (Metacarcinus magister) fisheries in Hood Canal, Washington, USA",Canadian Journal of Fisheries and Aquatic Sciences,,,2017-06,2017,74,6,922-932,Closed,Article,"Froehlich, Halley E.; Essington, Timothy E.; McDonald, P. Sean",,"Froehlich, Halley E. (University of Washington); Essington, Timothy E. (University of Washington); McDonald, P. Sean (University of Washington)",2,2,,0.84,,https://app.dimensions.ai/details/publication/pub.1084226298,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
13,100,pub.1085459528,10.3389/fmars.2017.00154,,,Offshore Aquaculture: I Know It When I See It,Frontiers in Marine Science,,,2017-05-22,2017,4,,154,All OA; Gold,Article,"Froehlich, Halley E.; Smith, Alexandra; Gentry, Rebecca R.; Halpern, Benjamin S.",,"Froehlich, Halley E. (University of California, Santa Barbara); Smith, Alexandra (University of California, Santa Barbara); Gentry, Rebecca R. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",11,9,,4.93,https://www.frontiersin.org/articles/10.3389/fmars.2017.00154/pdf,https://app.dimensions.ai/details/publication/pub.1085459528,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
14,500,pub.1014247455,10.1371/journal.pone.0169281,28046057,PMC5207524,Public Perceptions of Aquaculture: Evaluating Spatiotemporal Patterns of Sentiment around the World,PLoS ONE,,Aquaculture; Demography; Emotions; Internationality; Newspapers as Topic; Perception; Public Opinion; Spatio-Temporal Analysis,2017-01-03,2017,12,1,e0169281,All OA; Gold,Article,"Froehlich, Halley E.; Gentry, Rebecca R.; Rust, Michael B.; Grimm, Dietmar; Halpern, Benjamin S.",,"Froehlich, Halley E. (University of California, Santa Barbara); Gentry, Rebecca R. (University of California, Santa Barbara); Rust, Michael B. (National Oceanic and Atmospheric Administration); Grimm, Dietmar (); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",28,25,0.24,12.55,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0169281&type=printable,https://app.dimensions.ai/details/publication/pub.1014247455,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
15,100,pub.1017651822,10.1016/j.aquaculture.2016.04.018,,,Synthesis and comparative analysis of physiological tolerance and life-history growth traits of marine aquaculture species,Aquaculture,,,2016-07,2016,460,,75-82,Closed,Article,"Froehlich, Halley E.; Gentry, Rebecca R.; Halpern, Benjamin S.","Froehlich, Halley E.","Froehlich, Halley E. (University of California, Santa Barbara); Gentry, Rebecca R. (University of California, Santa Barbara); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London)",5,2,,1.3,,https://app.dimensions.ai/details/publication/pub.1017651822,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
16,400,pub.1005181633,10.1016/j.cbpa.2015.07.016,26241022,,"Evaluating hypoxia-inducible factor-1α mRNA expression in a pelagic fish, Pacific herring Clupea pallasii, as a biomarker for hypoxia exposure",Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,"Adaptation, Physiological; Animals; Ecosystem; Fish Proteins; Fishes; Gene Expression; Geography; Hypoxia-Inducible Factor 1, alpha Subunit; Oxygen; RNA, Messenger; Reverse Transcriptase Polymerase Chain Reaction; Time Factors; Washington; Water",2015-11,2015,189,,58-66,All OA; Gold,Article,"Froehlich, Halley E.; Roberts, Steven B.; Essington, Timothy E.","Froehlich, Halley E.","Froehlich, Halley E. (University of Washington); Roberts, Steven B. (University of Washington); Essington, Timothy E. (University of Washington)",9,2,0.81,1.76,https://manuscript.elsevier.com/S1095643315002044/pdf/S1095643315002044.pdf,https://app.dimensions.ai/details/publication/pub.1005181633,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
17,400,pub.1008484118,10.1073/pnas.1422020112,25848018,PMC4450419,Fishing amplifies forage fish population collapses,Proceedings of the National Academy of Sciences,,"Animals; Biomass; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes; Food Chain; Models, Biological; Population Dynamics",2015-05-26,2015,112,21,6648-6652,All OA; Gold,Article,"Essington, Timothy E.; Moriarty, Pamela E.; Froehlich, Halley E.; Hodgson, Emma E.; Koehn, Laura E.; Oken, Kiva L.; Siple, Margaret C.; Stawitz, Christine C.",,"Essington, Timothy E. (); Moriarty, Pamela E. (); Froehlich, Halley E. (); Hodgson, Emma E. (); Koehn, Laura E. (); Oken, Kiva L. (University of Washington); Siple, Margaret C. (); Stawitz, Christine C. (University of Washington)",101,60,2.58,23.34,http://www.pnas.org/content/112/21/6648.full.pdf,https://app.dimensions.ai/details/publication/pub.1008484118,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
18,200,pub.1071172030,10.3354/meps11105,,,Spatial and temporal variation in nearshore macrofaunal community structure in a seasonally hypoxic estuary,Marine Ecology Progress Series,,,2015-02-03,2015,520,,67-83,Closed,Article,"Froehlich, HE; Hennessey, SM; Essington, TE; Beaudreau, AH; Levin, PS",,"Froehlich, HE (); Hennessey, SM (); Essington, TE (); Beaudreau, AH (); Levin, PS ()",7,3,,1.47,,https://app.dimensions.ai/details/publication/pub.1071172030,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
19,100,pub.1040959581,10.1007/s10641-013-0167-x,,,"Effects of acoustic tagging on juvenile green sturgeon incision healing, swimming performance, and growth",Environmental Biology of Fishes,,,2014-06,2014,97,6,647-658,Closed,Article,"Miller, Emily A.; Froehlich, Halley E.; Cocherell, Dennis E.; Thomas, Michael J.; Cech, Joseph J.; Klimley, A. Peter; Fangue, Nann A.","Miller, Emily A.","Miller, Emily A. (University of California, Davis); Froehlich, Halley E. (University of California, Davis; University of Washington); Cocherell, Dennis E. (University of California, Davis); Thomas, Michael J. (University of California, Davis); Cech, Joseph J. (University of California, Davis); Klimley, A. Peter (University of California, Davis); Fangue, Nann A. (University of California, Davis)",18,8,,2.94,,https://app.dimensions.ai/details/publication/pub.1040959581,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,100,pub.1016633652,10.1007/s12237-013-9676-2,,,Movement Patterns and Distributional Shifts of Dungeness Crab (Metacarcinus magister) and English Sole (Parophrys vetulus) During Seasonal Hypoxia,Chesapeake Science,,,2014-03,2014,37,2,449-460,Closed,Article,"Froehlich, Halley E.; Essington, Timothy E.; Beaudreau, Anne H.; Levin, Phillip S.","Froehlich, Halley E.","Froehlich, Halley E. (University of Washington); Essington, Timothy E. (University of Washington); Beaudreau, Anne H. (University of Washington; University of Alaska Fairbanks); Levin, Phillip S. (Northwest Fisheries Science Center)",12,3,,1.96,,https://app.dimensions.ai/details/publication/pub.1016633652,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
