,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is María Débora Iglesias-Rodriguez. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,200,pub.1088340072,10.21775/9781910190272.05,,,Emiliania huxleyi in the Genomic Era,,Microalgae: Current Research and Applications,,2016,2016,,,73-106,All OA; Gold,Chapter,"Jones, Bethan M.; Rouco, Mónica; Iglesias-Rodriguez, M. Débora; Halsey, Kimberly H.",,"Jones, Bethan M. (); Rouco, Mónica (); Iglesias-Rodriguez, M. Débora (); Halsey, Kimberly H. ()",0,0,,,https://www.caister.com/hsp/pdf/flyer/microalgae.pdf,https://app.dimensions.ai/details/publication/pub.1088340072,,,,,,
11,200,pub.1073068352,10.5670/oceanog.2014.78,,,Understanding the Role of the Biological Pump in the Global Carbon Cycle: An Imperative for Ocean Science,Oceanography,,,2014-09-01,2014,27,3,10-16,All OA; Gold,Article,"Honjo, Susumu; Eglinton, Timothy; Taylor, Craig; Ulmer, Kevin; Sievert, Stefan; Bracher, Astrid; German, Christopher; Edgcomb, Virginia; Francois, Roger; Iglesias-Rodriguez, M Debora; Van Mooy, Benjamin; Rapeta, Daniel",,"Honjo, Susumu (); Eglinton, Timothy (); Taylor, Craig (); Ulmer, Kevin (); Sievert, Stefan (); Bracher, Astrid (); German, Christopher (); Edgcomb, Virginia (); Francois, Roger (); Iglesias-Rodriguez, M Debora (); Van Mooy, Benjamin (); Rapeta, Daniel ()",33,14,,4.62,https://tos.org/oceanography/assets/docs/27-3_honjo.pdf,https://app.dimensions.ai/details/publication/pub.1073068352,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
12,400,pub.1044610794,10.1371/journal.pone.0098849,24918444,PMC4053353,Molecular Detection of Bioluminescent Dinoflagellates in Surface Waters of the Patagonian Shelf during Early Austral Summer 2008,PLoS ONE,,DNA; Dinoflagellida; Falkland Islands; Luciferases; Luminescence; Luminescent Agents; Luminescent Measurements; Polymerase Chain Reaction; Seasons,2014-06-11,2014,9,6,e98849,All OA; Gold,Article,"Valiadi, Martha; Painter, Stuart C.; Allen, John T.; Balch, William M.; Iglesias-Rodriguez, M. Debora",,"Valiadi, Martha (University of Southampton); Painter, Stuart C. (National Oceanography Centre); Allen, John T. (National Oceanography Centre); Balch, William M. (Bigelow Laboratory For Ocean Sciences); Iglesias-Rodriguez, M. Debora (University of Southampton)",10,3,0.12,1.3,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0098849&type=printable,https://app.dimensions.ai/details/publication/pub.1044610794,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
13,400,pub.1027703466,10.1111/jeu.12091,24373055,,Diversity of the Luciferin Binding Protein Gene in Bioluminescent Dinoflagellates – Insights from a New Gene in Noctiluca scintillans and Sequences from Gonyaulacoid Genera,Journal of Eukaryotic Microbiology,,"Amino Acid Sequence; Calcium-Binding Proteins; Cluster Analysis; DNA, Protozoan; Dinoflagellida; Gene Order; Genetic Variation; Molecular Sequence Data; Multigene Family; Phylogeny; Polymerase Chain Reaction; Protozoan Proteins; Sequence Analysis, DNA; Sequence Homology, Amino Acid",2014-03,2014,61,2,134-145,"All OA; Green, Accepted & Submitted",Article,"Valiadi, Martha; Iglesias‐Rodriguez, Maria Debora",,"Valiadi, Martha (University of Southampton); Iglesias‐Rodriguez, Maria Debora (University of Southampton; University of California, Santa Barbara)",3,2,0,0.5,https://eprints.soton.ac.uk/363247/1/MV%2520and%2520DIR%2520JEM%2520first%2520look.pdf,https://app.dimensions.ai/details/publication/pub.1027703466,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
14,400,pub.1045746611,10.1371/journal.pone.0061868,23593500,PMC3625171,Responses of the Emiliania huxleyi Proteome to Ocean Acidification,PLoS ONE,,"Acids; Carbon Dioxide; Carbonates; Cells, Cultured; Haptophyta; Oceans and Seas; Proteome; Proteomics",2013-04-12,2013,8,4,e61868,All OA; Gold,Article,"Jones, Bethan M.; Iglesias-Rodriguez, M. Debora; Skipp, Paul J.; Edwards, Richard J.; Greaves, Mervyn J.; Young, Jeremy R.; Elderfield, Henry; O'Connor, C. David",,"Jones, Bethan M. (University of Southampton); Iglesias-Rodriguez, M. Debora (University of Southampton; University of California, Santa Barbara); Skipp, Paul J. (University of Southampton); Edwards, Richard J. (University of Southampton); Greaves, Mervyn J. (University of Cambridge); Young, Jeremy R. (University College London); Elderfield, Henry (University of Cambridge); O'Connor, C. David (University of Southampton; Xi’an Jiaotong-Liverpool University)",29,6,0.81,3.31,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0061868&type=printable,https://app.dimensions.ai/details/publication/pub.1045746611,0405 Oceanography; 0699 Other Biological Sciences; 0601 Biochemistry and Cell Biology; 04 Earth Sciences; 06 Biological Sciences,0405 Oceanography,0699 Other Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,06 Biological Sciences
15,400,pub.1047771968,10.3389/fmicb.2013.00155,23785363,PMC3684784,The effect of nitrate and phosphate availability on Emiliania huxleyi (NZEH) physiology under different CO2 scenarios,Frontiers in Microbiology,,,2013,2013,4,,155,All OA; Gold,Article,"Rouco, Mónica; Branson, Oscar; Lebrato, Mario; Iglesias-Rodríguez, M. Débora",,"Rouco, Mónica (University of Southampton; Woods Hole Oceanographic Institution); Branson, Oscar (University of Southampton; University of Cambridge); Lebrato, Mario (GEOMAR Helmholtz Centre for Ocean Research Kiel); Iglesias-Rodríguez, M. Débora (University of Southampton; University of California, Santa Barbara)",26,4,0.62,3.72,https://www.frontiersin.org/articles/10.3389/fmicb.2013.00155/pdf,https://app.dimensions.ai/details/publication/pub.1047771968,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
16,100,pub.1035604922,10.1007/978-1-4614-5684-1_12,,,Ocean Acidification,,Earth System Monitoring,,2013,2013,,,269-289,Closed,Chapter,"Iglesias-Rodriguez, Maria Debora","Iglesias-Rodriguez, Maria Debora","Iglesias-Rodriguez, Maria Debora ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1035604922,0602 Ecology; 0405 Oceanography; 0402 Geochemistry; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0402 Geochemistry,04 Earth Sciences,06 Biological Sciences
17,100,pub.1042556512,10.1016/j.gca.2012.04.043,,,Removal of organic magnesium in coccolithophore calcite,Geochimica et Cosmochimica Acta,,,2012-07,2012,89,Paleoceanography 18 2003,226-239,"All OA; Green, Accepted & Submitted",Article,"Blanco-Ameijeiras, S.; Lebrato, M.; Stoll, H.M.; Iglesias-Rodriguez, M.D.; Méndez-Vicente, A.; Sett, S.; Müller, M.N.; Oschlies, A.; Schulz, K.G.","Blanco-Ameijeiras, S.","Blanco-Ameijeiras, S. (); Lebrato, M. (); Stoll, H.M. (University of Oviedo); Iglesias-Rodriguez, M.D. (University of Southampton); Méndez-Vicente, A. (University of Oviedo); Sett, S. (); Müller, M.N. (); Oschlies, A. (); Schulz, K.G. ()",15,2,,1.64,http://digibuo.uniovi.es/dspace/bitstream/10651/18234/1/Pre-print%20Blanco-Ameijeiras%20et%20al%202012.pdf,https://app.dimensions.ai/details/publication/pub.1042556512,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
18,400,pub.1046982911,10.1111/j.1529-8817.2012.01144.x,27011098,,DISTRIBUTION AND GENETIC DIVERSITY OF THE LUCIFERASE GENE WITHIN MARINE DINOFLAGELLATES1,Journal of Phycology,,,2012-06,2012,48,3,826-836,Closed,Article,"Valiadi, Martha; Iglesias‐Rodriguez, M. Debora; Amorim, Ana",,"Valiadi, Martha (University of Southampton); Iglesias‐Rodriguez, M. Debora (University of Southampton); Amorim, Ana (University of Lisbon)",11,3,0.29,1.04,,https://app.dimensions.ai/details/publication/pub.1046982911,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
19,100,pub.1040921566,10.1007/978-1-4419-0851-3_494,,,Oceanocean/oceanic Acidificationocean/oceanicacidification,,Encyclopedia of Sustainability Science and Technology,,2012,2012,,,7229-7242,Closed,Chapter,"Iglesias-Rodriguez, Maria Debora; Vega, Luis A.; Gimeno, Luis; Nieto, Raquel; Drumond, Anita; Durán-Quesada, Ana María; Costa-Pierce, Barry A.; Boyd, Philip W.; Schofield, O.; Glenn, S. M.; Moline, M. A.; Oliver, M.; Irwin, A.; Chao, Y.; Arrott, M.; Vega, Luis A.; Mason, Robert P.; Yoon, Jin-Ho; Ma, Po-Lun; Grimes, Darrell Jay; Grimes, Darrell Jay; Hamann, Mark T.; Lotz, Jeffrey M.; McLean, Timothy I.; McIlwain, Thomas; Price, Catherine H.; Manwell, James F.; Dalén, Göran; McCabe, Peter J.; Oja, Vahur; Suuberg, Eric M.; Fingas, Mervin; Brown, Carl; Yamada, Atsuo; Nishide, Hiroyuki; Oyaizu, Kenichi; Głowacki, Eric Daniel; Sariciftci, Niyazi Serdar; Tang, Ching W.; Horwitz, Colin P.","Iglesias-Rodriguez, Maria Debora","Iglesias-Rodriguez, Maria Debora (); Vega, Luis A. (University of Hawaii at Manoa); Gimeno, Luis (University of Vigo); Nieto, Raquel (University of Vigo); Drumond, Anita (University of Vigo); Durán-Quesada, Ana María (University of Vigo); Costa-Pierce, Barry A. (University of Rhode Island); Boyd, Philip W. (University of Otago); Schofield, O. (Rutgers, The State University of New Jersey); Glenn, S. M. (Rutgers, The State University of New Jersey); Moline, M. A. (California Polytechnic State University); Oliver, M. (University of Delaware); Irwin, A. (Mount Allison University); Chao, Y. (Jet Propulsion Lab); Arrott, M. (University of California, San Diego); Mason, Robert P. (University of Connecticut); Yoon, Jin-Ho (Pacific Northwest National Laboratory); Ma, Po-Lun (Pacific Northwest National Laboratory); Grimes, Darrell Jay (University of Southern Mississippi); Hamann, Mark T. (University of Mississippi); Lotz, Jeffrey M. (University of Southern Mississippi); McLean, Timothy I. (University of Southern Mississippi); McIlwain, Thomas (University of Southern Mississippi); Price, Catherine H. (University of Southern Mississippi); Manwell, James F. (University of Massachusetts Amherst); Dalén, Göran (); McCabe, Peter J. (Queensland University of Technology); Oja, Vahur (Tallinn University of Technology); Suuberg, Eric M. (Brown University); Fingas, Mervin (); Brown, Carl (Environment Canada); Yamada, Atsuo (University of Tokyo); Nishide, Hiroyuki (Waseda University); Oyaizu, Kenichi (Waseda University); Głowacki, Eric Daniel (Johannes Kepler University of Linz); Sariciftci, Niyazi Serdar (Johannes Kepler University of Linz); Tang, Ching W. (University of Rochester); Horwitz, Colin P. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1040921566,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,400,pub.1047556058,10.1007/s10126-010-9320-0,20924652,,"Shotgun Proteomic Analysis of Emiliania huxleyi, a Marine Phytoplankton Species of Major Biogeochemical Importance",Journal of Marine Biotechnology,,"Computational Biology; Electrophoresis, Polyacrylamide Gel; Expressed Sequence Tags; Haptophyta; Phytoplankton; Proteins; Proteomics; Software; Tandem Mass Spectrometry",2011-06,2011,13,3,496-504,Closed,Article,"Jones, Bethan M.; Edwards, Richard J.; Skipp, Paul J.; O’Connor, C. David; Iglesias-Rodriguez, M. Debora","Jones, Bethan M.","Jones, Bethan M. (National Oceanography Centre); Edwards, Richard J. (University of Southampton); Skipp, Paul J. (University of Southampton); O’Connor, C. David (University of Southampton); Iglesias-Rodriguez, M. Debora (National Oceanography Centre)",13,3,0.48,,,https://app.dimensions.ai/details/publication/pub.1047556058,10 Technology; 05 Environmental Sciences; 07 Agricultural and Veterinary Sciences,10 Technology,05 Environmental Sciences,07 Agricultural and Veterinary Sciences,,
21,100,pub.1067970057,10.1557/opl.2011.1054,,,Electrochemical sensing of aerobic marine bacterial biofilms and the influence of nitric oxide attachment control,MRS Advances,,,2011,2011,1356,,mrss11-1356-kk08-05,"All OA; Green, Accepted & Submitted",Article,"Werwinski, Stéphane; Wharton, Julian A.; Iglesias-Rodriguez, M. Debora; Stokes, Keith R.",,"Werwinski, Stéphane (University of Southampton); Wharton, Julian A. (University of Southampton); Iglesias-Rodriguez, M. Debora (); Stokes, Keith R. (University of Southampton; Defence Science and Technology Laboratory)",1,0,,0.12,https://eprints.soton.ac.uk/195949/1/Stephane_Werwinski_PhD_Thesis_nCATS_2010.pdf,https://app.dimensions.ai/details/publication/pub.1067970057,0605 Microbiology; 03 Chemical Sciences; 06 Biological Sciences; 0306 Physical Chemistry (incl. Structural),0605 Microbiology,03 Chemical Sciences,06 Biological Sciences,0306 Physical Chemistry (incl. Structural),
22,200,pub.1099488371,10.5270/oceanobs09.pp.24,,,Developing a Global Ocean Acidification Observation Network,,Proceedings of OceanObs'09: Sustained Ocean Observations and Information for Society,,2010-12-31,2010,,,296-314,All OA; Gold,Proceeding,"Iglesias-Rodriguez, M. Debora; Anthony, Kenneth R.N.; Bijma, Jella; Dickson, Andrew G.; Doney, Scott C.; Fabry, Victoria J.; Feely, Richard A.; Gattuso, Jean-Pierre; Lee, Kitack; Riebesell, Ulf; Saino, Toshiro; Turley, Carol",,"Iglesias-Rodriguez, M. Debora (); Anthony, Kenneth R.N. (); Bijma, Jella (); Dickson, Andrew G. (); Doney, Scott C. (); Fabry, Victoria J. (); Feely, Richard A. (); Gattuso, Jean-Pierre (); Lee, Kitack (); Riebesell, Ulf (); Saino, Toshiro (); Turley, Carol ()",1,0,,,http://www.oceanobs09.net/proceedings/pp/3C1-Iglesias-Rodriguez-OceanObs09.pp.24.pdf,https://app.dimensions.ai/details/publication/pub.1099488371,,,,,,
23,100,pub.1062458494,10.1126/science.1161501,,,"Response to Comment on ""Phytoplankton Calcification in a High-CO2 World""",Science,,,2008-12-05,2008,322,5907,1466-1466,All OA; Gold,Article,"Iglesias-Rodriguez, M. Debora; Buitenhuis, Erik T.; Raven, John A.; Schofield, Oscar; Poulton, Alex J.; Gibbs, Samantha; Halloran, Paul R.; de Baar, Hein J. W.",,"Iglesias-Rodriguez, M. Debora (National Oceanography Centre); Buitenhuis, Erik T. (University of East Anglia); Raven, John A. (James Hutton Institute); Schofield, Oscar (Rutgers, The State University of New Jersey); Poulton, Alex J. (National Oceanography Centre); Gibbs, Samantha (National Oceanography Centre); Halloran, Paul R. (University of Oxford); de Baar, Hein J. W. (University of Groningen; Royal Netherlands Institute for Sea Research)",28,0,,4.2,http://science.sciencemag.org/content/322/5907/1466.3.full.pdf,https://app.dimensions.ai/details/publication/pub.1062458494,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
24,400,pub.1006407857,10.1098/rsta.2008.0139,18757282,,Ocean fertilization: a potential means of geoengineering?,Philosophical Transactions of The Royal Society A Mathematical Physical and Engineering Sciences,,Conservation of Natural Resources; Disasters; Ecosystem; Engineering; Greenhouse Effect; Marine Biology; Oceans and Seas,2008-11-13,2008,366,1882,3919-3945,All OA; Gold,Article,"Lampitt, R.S; Achterberg, E.P; Anderson, T.R; Hughes, J.A; Iglesias-Rodriguez, M.D; Kelly-Gerreyn, B.A; Lucas, M; Popova, E.E; Sanders, R; Shepherd, J.G; Smythe-Wright, D; Yool, A",,"Lampitt, R.S (National Oceanography Centre); Achterberg, E.P (National Oceanography Centre); Anderson, T.R (National Oceanography Centre); Hughes, J.A (National Oceanography Centre); Iglesias-Rodriguez, M.D (National Oceanography Centre); Kelly-Gerreyn, B.A (National Oceanography Centre); Lucas, M (University of Cape Town); Popova, E.E (National Oceanography Centre); Sanders, R (National Oceanography Centre); Shepherd, J.G (National Oceanography Centre); Smythe-Wright, D (National Oceanography Centre); Yool, A (National Oceanography Centre)",95,18,0.28,7.43,http://rsta.royalsocietypublishing.org/content/366/1882/3919.full.pdf,https://app.dimensions.ai/details/publication/pub.1006407857,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
25,400,pub.1033639164,10.1111/j.1529-8817.2008.00566.x,27041708,,MICROSATELLITE GENOTYPING OF SINGLE CELLS OF THE DINOFLAGELLATE SPECIES LINGULODINIUM POLYEDRUM (DINOPHYCEAE): A NOVEL APPROACH FOR MARINE MICROBIAL POPULATION GENETIC STUDIES1,Journal of Phycology,,,2008-10,2008,44,5,1116-1125,Closed,Article,"Frommlet, Jörg C.; Iglesias‐Rodríguez, M. Débora",,"Frommlet, Jörg C. (National Oceanography Centre); Iglesias‐Rodríguez, M. Débora (National Oceanography Centre)",13,0,0.2,0.93,,https://app.dimensions.ai/details/publication/pub.1033639164,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
26,100,pub.1049572934,10.1016/j.dsr.2008.04.011,,,Environmental factors controlling the phytoplankton blooms at the Patagonia shelf-break in spring,Deep Sea Research Part I Oceanographic Research Papers,,,2008-09,2008,55,9,1150-1166,Closed,Article,"Garcia, Virginia M.T.; Garcia, Carlos A.E.; Mata, Mauricio M.; Pollery, Ricardo C.; Piola, Alberto R.; Signorini, Sergio R.; McClain, Charles R.; Iglesias-Rodriguez, M. Débora","Garcia, Virginia M.T.","Garcia, Virginia M.T. (Federal University of Rio Grande do Sul); Garcia, Carlos A.E. (Federal University of Rio Grande do Sul); Mata, Mauricio M. (Federal University of Rio Grande do Sul); Pollery, Ricardo C. (Universidade Santa Úrsula); Piola, Alberto R. (University of Buenos Aires); Signorini, Sergio R. (Goddard Space Flight Center); McClain, Charles R. (Goddard Space Flight Center); Iglesias-Rodriguez, M. Débora ()",71,20,,5.55,,https://app.dimensions.ai/details/publication/pub.1049572934,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
