,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Roland A Knapp. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1043919441,10.1002/ecs2.1327,,,Declines and extinctions of mountain yellow‐legged frogs have small effects on benthic macroinvertebrate communities,Ecosphere,,,2016-06,2016,7,6,e01327,All OA; Gold,Article,"Smith, Thomas C.; Knapp, Roland A.; Briggs, Cheryl J.",,"Smith, Thomas C. (University of California, Santa Barbara); Knapp, Roland A. (); Briggs, Cheryl J. (University of California, Santa Barbara)",1,1,,0.29,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1327,https://app.dimensions.ai/details/publication/pub.1043919441,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
11,400,pub.1024964133,10.1111/biom.12345,26148536,,Marginal Bayesian nonparametric model for time to disease arrival of threatened amphibian populations,Biometrics,,"Algorithms; Amphibians; Animals; Bayes Theorem; Biometry; Chytridiomycota; Computer Simulation; Endangered Species; Markov Chains; Models, Biological; Models, Statistical; Monte Carlo Method; Mycoses; Population Dynamics; Statistics, Nonparametric; Time Factors",2015-12,2015,71,4,1101-1110,Closed,Article,"Zhou, Haiming; Hanson, Timothy; Knapp, Roland",,"Zhou, Haiming (University of South Carolina); Hanson, Timothy (University of South Carolina); Knapp, Roland ()",5,2,0.27,3.4,,https://app.dimensions.ai/details/publication/pub.1024964133,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
12,400,pub.1036040125,10.1038/srep10702,26031755,PMC4451553,Detecting the influence of rare stressors on rare species in Yosemite National Park using a novel stratified permutation test,Scientific Reports,,"Animals; Biodiversity; California; Ecosystem; Geography; Parks, Recreational",2015-09,2015,5,1,10702,All OA; Gold,Article,"Matchett, J. R.; Stark, Philip B.; Ostoja, Steven M.; Knapp, Roland A.; McKenny, Heather C.; Brooks, Matthew L.; Langford, William T.; Joppa, Lucas N.; Berlow, Eric L.",,"Matchett, J. R. (United States Geological Survey); Stark, Philip B. (University of California, Berkeley); Ostoja, Steven M. (); Knapp, Roland A. (); McKenny, Heather C. (National Park Service); Brooks, Matthew L. (United States Geological Survey); Langford, William T. (RMIT University); Joppa, Lucas N. (Microsoft Research (United Kingdom)); Berlow, Eric L. (Vibrant Data (United States))",1,0,0.12,0.2,https://www.nature.com/articles/srep10702.pdf,https://app.dimensions.ai/details/publication/pub.1036040125,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,400,pub.1041094176,10.1111/1755-0998.12130,23773698,,Increased accuracy of species lists developed for alpine lakes using morphology and cytochrome oxidase I for identification of specimens,Molecular Ecology Resources,,"Animals; Biota; DNA Barcoding, Taxonomic; Electron Transport Complex IV; Invertebrates; Lakes; Molecular Sequence Data; Sequence Analysis, DNA; United States",2013-09,2013,13,5,820-831,Closed,Article,"Deiner, Kristy; Knapp, Roland A.; Boiano, Daniel M.; May, Bernie",,"Deiner, Kristy (University of California, Davis); Knapp, Roland A. (); Boiano, Daniel M. (); May, Bernie (University of California, Davis)",8,2,0.11,1.15,,https://app.dimensions.ai/details/publication/pub.1041094176,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
14,400,pub.1045048930,10.1371/journal.pone.0072200,23951296,PMC3741202,A Network Extension of Species Occupancy Models in a Patchy Environment Applied to the Yosemite Toad (Anaxyrus canorus),PLoS ONE,,"Animals; Bufonidae; Conservation of Natural Resources; Ecosystem; Environment; Female; Male; Models, Theoretical; Population Dynamics; Reproducibility of Results",2013-08-12,2013,8,8,e72200,All OA; Gold,Article,"Berlow, Eric L.; Knapp, Roland A.; Ostoja, Steven M.; Williams, Richard J.; McKenny, Heather; Matchett, John R.; Guo, Qinghua; Fellers, Gary M.; Kleeman, Patrick; Brooks, Matthew L.; Joppa, Lucas",,"Berlow, Eric L. (United States Geological Survey; Vibrant Data (United States)); Knapp, Roland A. (); Ostoja, Steven M. (United States Geological Survey); Williams, Richard J. (Microsoft Research (United Kingdom)); McKenny, Heather (National Park Service); Matchett, John R. (United States Geological Survey); Guo, Qinghua (University of California, Merced); Fellers, Gary M. (United States Geological Survey); Kleeman, Patrick (United States Geological Survey); Brooks, Matthew L. (United States Geological Survey); Joppa, Lucas (Microsoft Research (United Kingdom))",9,0,0.27,1.3,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0072200&type=printable,https://app.dimensions.ai/details/publication/pub.1045048930,0602 Ecology; 0502 Environmental Science and Management; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0604 Genetics,05 Environmental Sciences,06 Biological Sciences
15,100,pub.1016035173,10.1111/fwb.12152,,,Evolutionary history of alpine and subalpine Daphnia in western North America,Freshwater Biology,,,2013-07,2013,58,7,1512-1522,Closed,Article,"Miner, Brooks E.; Knapp, Roland A.; Colbourne, John K.; Pfrender, Michael E.",,"Miner, Brooks E. (University of Washington); Knapp, Roland A. (); Colbourne, John K. (Indiana University Bloomington); Pfrender, Michael E. (University of Notre Dame)",9,0,,1.4,,https://app.dimensions.ai/details/publication/pub.1016035173,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0604 Genetics,05 Environmental Sciences
16,400,pub.1019327223,10.1002/etc.2094,23233353,,"Temporal and spatial variation of atmospherically deposited organic contaminants at high elevation in yosemite national park, California, USA",Environmental Toxicology and Chemistry,,"Air Pollutants; Air Pollution; Altitude; Animals; Anura; Atmosphere; California; Environmental Monitoring; Fresh Water; Larva; Pesticides; Polychlorinated Biphenyls; Polycyclic Aromatic Hydrocarbons; Spatio-Temporal Analysis; Water Pollutants, Chemical",2013-03,2013,32,3,517-525,All OA; Gold,Article,"Bradford, David F.; Stanley, Kerri A.; Tallent, Nita G.; Sparling, Donald W.; Nash, Maliha S.; Knapp, Roland A.; McConnell, Laura L.; Simonich, Staci L. Massey",,"Bradford, David F. (); Stanley, Kerri A. (Oregon State University); Tallent, Nita G. (); Sparling, Donald W. (Southern Illinois University System); Nash, Maliha S. (); Knapp, Roland A. (); McConnell, Laura L. (Agricultural Research Service); Simonich, Staci L. Massey (Oregon State University)",11,3,0.48,1.67,https://setac.onlinelibrary.wiley.com/doi/pdf/10.1002/etc.2094,https://app.dimensions.ai/details/publication/pub.1019327223,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
17,100,pub.1044964508,10.1898/12-12.1,,,Use of Historically Fishless High-Mountain Lakes and Streams By Nearctic River Otters (Lontra canadensis) in California,Northwestern Naturalist,,,2013-01,2013,94,1,51-66,Closed,Article,"Garwood, Justin M; Knapp, Roland A; Pope, Karen L; Grasso, Robert L; Magnuson, Michael L; Maurer, Jeff R",,"Garwood, Justin M (Pacific Southwest Research Station); Knapp, Roland A (); Pope, Karen L (Pacific Southwest Research Station); Grasso, Robert L (US Forest Service); Magnuson, Michael L (); Maurer, Jeff R ()",2,0,,0.29,,https://app.dimensions.ai/details/publication/pub.1044964508,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
18,100,pub.1032361466,10.1890/es11-00028.1,,,Nowhere to hide: impact of a temperature‐sensitive amphibian pathogen along an elevation gradient in the temperate zone,Ecosphere,,,2011-08,2011,2,8,1-26,All OA; Gold,Article,"Knapp, Roland A.; Briggs, Cheryl J.; Smith, Thomas C.; Maurer, Jeff R.",,"Knapp, Roland A. (); Briggs, Cheryl J. (University of California, Santa Barbara); Smith, Thomas C. (University of California, Santa Barbara); Maurer, Jeff R. ()",32,7,,3.36,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/ES11-00028.1,https://app.dimensions.ai/details/publication/pub.1032361466,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
19,400,pub.1002416839,10.1002/etc.425,21298712,,"Pesticide distributions and population declines of California, USA, alpine frogs, Rana muscosa and Rana sierrae",Environmental Toxicology and Chemistry,,Animals; California; Environmental Exposure; Environmental Monitoring; Environmental Pollutants; Environmental Pollution; Pesticides; Population Dynamics; Ranidae,2011-03,2011,30,3,682-691,Closed,Article,"Bradford, David F.; Knapp, Roland A.; Sparling, Donald W.; Nash, Maliha S.; Stanley, Kerri A.; Tallent‐Halsell, Nita G.; McConnell, Laura L.; Simonich, Staci M.",,"Bradford, David F. (); Knapp, Roland A. (); Sparling, Donald W. (Southern Illinois University System); Nash, Maliha S. (); Stanley, Kerri A. (Oregon State University); Tallent‐Halsell, Nita G. (); McConnell, Laura L. (); Simonich, Staci M. (Oregon State University)",27,4,1.59,4.5,,https://app.dimensions.ai/details/publication/pub.1002416839,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
20,100,pub.1039507639,10.1007/s10592-010-0067-y,,,Genetic resilience of Daphnia populations following experimental removal of introduced fish,Conservation Genetics,,,2010-10,2010,11,5,1737-1745,Closed,Article,"Latta, Leigh C.; Fisk, Debra L.; Knapp, Roland A.; Pfrender, Michael E.","Pfrender, Michael E.","Latta, Leigh C. (Utah State University); Fisk, Debra L. (Utah State University); Knapp, Roland A. (); Pfrender, Michael E. (Utah State University; University of Notre Dame)",8,1,,0.83,,https://app.dimensions.ai/details/publication/pub.1039507639,0602 Ecology; 0502 Environmental Science and Management; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0604 Genetics,05 Environmental Sciences,06 Biological Sciences
21,400,pub.1039564876,10.1890/09-1974.1,20836462,,Nonnative trout impact an alpine‐nesting bird by altering aquatic‐insect subsidies,Ecology,,Animals; Finches; Food Chain; Fresh Water; Insecta; Nesting Behavior; Population Dynamics; Predatory Behavior; Trout,2010-08,2010,91,8,2406-2415,Closed,Article,"Epanchin, Peter N.; Knapp, Roland A.; Lawler, Sharon P.",,"Epanchin, Peter N. (University of California, Davis); Knapp, Roland A. (); Lawler, Sharon P. (University of California, Davis)",88,15,1.19,8.24,,https://app.dimensions.ai/details/publication/pub.1039564876,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
22,400,pub.1050789934,10.1073/pnas.0912886107,20457916,PMC2906864,Enzootic and epizootic dynamics of the chytrid fungal pathogen of amphibians,Proceedings of the National Academy of Sciences,,"Animals; California; Chytridiomycota; Host-Pathogen Interactions; Models, Biological; Mycoses; Population Dynamics; Ranidae; Virulence",2010-05-25,2010,107,21,9695-9700,All OA; Gold,Article,"Briggs, Cheryl J.; Knapp, Roland A.; Vredenburg, Vance T.",,"Briggs, Cheryl J. (University of California, Santa Barbara); Knapp, Roland A. (); Vredenburg, Vance T. (San Francisco State University)",282,74,8.17,33.12,http://www.pnas.org/content/107/21/9695.full.pdf,https://app.dimensions.ai/details/publication/pub.1050789934,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
23,400,pub.1006972077,10.1073/pnas.0914111107,20457913,PMC2906868,Dynamics of an emerging disease drive large-scale amphibian population extinctions,Proceedings of the National Academy of Sciences,,Animals; California; Chytridiomycota; Mycoses; Population Dynamics; Ranidae; Virulence,2010-05-25,2010,107,21,9689-9694,All OA; Gold,Article,"Vredenburg, Vance T.; Knapp, Roland A.; Tunstall, Tate S.; Briggs, Cheryl J.",,"Vredenburg, Vance T. (San Francisco State University); Knapp, Roland A. (); Tunstall, Tate S. (University of California, Berkeley; University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara)",381,81,12.02,57.26,http://www.pnas.org/content/107/21/9689.full.pdf,https://app.dimensions.ai/details/publication/pub.1006972077,11 Medical and Health Sciences; 0707 Veterinary Sciences; 1108 Medical Microbiology; 05 Environmental Sciences; 0502 Environmental Science and Management; 07 Agricultural and Veterinary Sciences,11 Medical and Health Sciences,0707 Veterinary Sciences,1108 Medical Microbiology,05 Environmental Sciences,0502 Environmental Science and Management
24,400,pub.1006784431,10.1890/08-0044.1,19263883,,RECOVERY AFTER LOCAL EXTINCTION: FACTORS AFFECTING RE‐ESTABLISHMENT OF ALPINE LAKE ZOOPLANKTON,Ecological Applications,,"Animals; California; Copepoda; Daphnia; Extinction, Biological; Fishes; Food Chain; Fresh Water; Geologic Sediments; Population Density; Population Dynamics; Time Factors; Zooplankton",2008-12-02,2008,18,8,1850-1859,Closed,Article,"Knapp, Roland A.; Sarnelle, Orlando",,"Knapp, Roland A. (); Sarnelle, Orlando (Michigan State University)",22,3,0.28,1.9,,https://app.dimensions.ai/details/publication/pub.1006784431,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
25,400,pub.1053502719,10.1890/07-1505.1,18959313,,ALLEE EFFECT LIMITS COLONIZATION SUCCESS OF SEXUALLY REPRODUCING ZOOPLANKTON,Ecology,,Animals; Biomass; Conservation of Natural Resources; Copepoda; Ecosystem; Female; Male; Population Density; Population Dynamics; Population Growth; Reproduction; Zooplankton,2008-10,2008,89,10,2760-2769,Closed,Article,"Kramer, Andrew M.; Sarnelle, Orlando; Knapp, Roland A.",,"Kramer, Andrew M. (Michigan State University); Sarnelle, Orlando (Michigan State University); Knapp, Roland A. ()",37,9,0.67,3.19,,https://app.dimensions.ai/details/publication/pub.1053502719,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
26,400,pub.1021585458,10.1186/1471-2148-7-21,17300732,PMC1805497,Rapid evolution in response to introduced predators II: the contribution of adaptive plasticity,BMC Evolutionary Biology,,"Adaptation, Physiological; Animals; Biological Evolution; California; Clutch Size; Daphnia; Fertility; Food Chain; Genetic Variation; Oncorhynchus mykiss; Phenotype",2007-12,2007,7,1,21,All OA; Gold,Article,"Latta, Leigh C; Bakelar, Jeremy W; Knapp, Roland A; Pfrender, Michael E","Pfrender, Michael E","Latta, Leigh C (Utah State University); Bakelar, Jeremy W (Utah State University); Knapp, Roland A (); Pfrender, Michael E (Utah State University)",41,4,0.75,3.7,https://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/1471-2148-7-21,https://app.dimensions.ai/details/publication/pub.1021585458,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
27,400,pub.1014838973,10.1186/1471-2148-7-22,17300733,PMC1805496,Rapid evolution in response to introduced predators I: rates and patterns of morphological and life-history trait divergence,BMC Evolutionary Biology,,"Adaptation, Physiological; Animals; Biological Evolution; Body Size; California; Daphnia; Food Chain; Genetic Variation; Oncorhynchus mykiss; Phenotype",2007-12,2007,7,1,22,All OA; Gold,Article,"Fisk, Debra L; Latta, Leigh C; Knapp, Roland A; Pfrender, Michael E","Pfrender, Michael E","Fisk, Debra L (Utah State University); Latta, Leigh C (Utah State University); Knapp, Roland A (); Pfrender, Michael E (Utah State University)",46,9,0.89,4.15,https://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/1471-2148-7-22,https://app.dimensions.ai/details/publication/pub.1014838973,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
28,400,pub.1051722960,10.1073/pnas.0701838104,17693553,PMC1945010,Population genetics of the frog-killing fungus Batrachochytrium dendrobatidis,Proceedings of the National Academy of Sciences,,"Animals; Anura; California; Chytridiomycota; Female; Genetics, Population; Genotype; Male; Molecular Sequence Data; Mycoses",2007-08-21,2007,104,34,13845-13850,All OA; Gold,Article,"Morgan, Jess A. T.; Vredenburg, Vance T.; Rachowicz, Lara J.; Knapp, Roland A.; Stice, Mary J.; Tunstall, Tate; Bingham, Rob E.; Parker, John M.; Longcore, Joyce E.; Moritz, Craig; Briggs, Cheryl J.; Taylor, John W.",,"Morgan, Jess A. T. (); Vredenburg, Vance T. (); Rachowicz, Lara J. (); Knapp, Roland A. (); Stice, Mary J. (); Tunstall, Tate (); Bingham, Rob E. (); Parker, John M. (University of California, Berkeley); Longcore, Joyce E. (University of Maine); Moritz, Craig (); Briggs, Cheryl J. (); Taylor, John W. (University of California, Berkeley)",125,9,3,10.7,http://www.pnas.org/content/104/34/13845.full.pdf,https://app.dimensions.ai/details/publication/pub.1051722960,0502 Environmental Science and Management; 0605 Microbiology; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0502 Environmental Science and Management,0605 Microbiology,0604 Genetics,05 Environmental Sciences,06 Biological Sciences
29,100,pub.1023210554,10.1111/j.1469-7998.2006.00258.x,,,Concordant molecular and phenotypic data delineate new taxonomy and conservation priorities for the endangered mountain yellow‐legged frog,Journal of Zoology,,,2007-04,2007,271,4,361-374,Closed,Article,"Vredenburg, V. T.; Bingham, R.; Knapp, R.; Morgan, J. A. T.; Moritz, C.; Wake, D.",,"Vredenburg, V. T. (University of California, Berkeley); Bingham, R. (University of California, Berkeley); Knapp, R. (); Morgan, J. A. T. (University of California, Berkeley); Moritz, C. (University of California, Berkeley); Wake, D. (University of California, Berkeley)",68,12,,5.93,,https://app.dimensions.ai/details/publication/pub.1023210554,06 Biological Sciences; 0604 Genetics; 05 Environmental Sciences; 0502 Environmental Science and Management,06 Biological Sciences,0604 Genetics,05 Environmental Sciences,0502 Environmental Science and Management,
30,400,pub.1016812960,10.1890/06-0181,17489262,,MULTIPLE STRESSORS AND AMPHIBIAN DECLINES: DUAL IMPACTS OF PESTICIDES AND FISH ON YELLOW‐LEGGED FROGS,Ecological Applications,,"Animals; Anura; California; Ecosystem; Fishes; Pesticides; Population Dynamics; Predatory Behavior; Water Pollutants, Chemical",2007-03,2007,17,2,587-597,Closed,Article,"Davidson, Carlos; Knapp, Roland A.",,"Davidson, Carlos (San Francisco State University); Knapp, Roland A. ()",76,10,1.77,7.4,,https://app.dimensions.ai/details/publication/pub.1016812960,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
31,400,pub.1048959456,10.1016/j.biocon.2006.09.013,17396156,PMC1839007,"Removal of nonnative fish results in population expansion of a declining amphibian (mountain yellow-legged frog, Rana muscosa)",Biological Conservation,,,2007-02,2007,135,1,11-20,"All OA; Green, Accepted & Submitted",Article,"Knapp, Roland A.; Boiano, Daniel M.; Vredenburg, Vance T.","Knapp, Roland A.","Knapp, Roland A. (); Boiano, Daniel M. (); Vredenburg, Vance T. (University of California, Berkeley)",112,17,0.88,9.36,http://europepmc.org/articles/pmc1839007?pdf=render,https://app.dimensions.ai/details/publication/pub.1048959456,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
