,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Erika J Eliason. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1092559505,10.1086/695839,29206569,,Application of Miniature Heart Rate Data Loggers for Use in Large Free-Moving Decapod Crustaceans: Method Development and Validation.,Physiological and Biochemical Zoology,,"Animals; Brachyura; Heart Rate; Monitoring, Physiologic; Motor Activity",2018-01,2018,91,1,731-739,Closed,Article,"McGaw, Iain J; Steell, S Clay; Leeuwen, Travis E Van; Eliason, Erika J; Cooke, Steven J",,"McGaw, Iain J (); Steell, S Clay (); Leeuwen, Travis E Van (); Eliason, Erika J (); Cooke, Steven J ()",7,7,,,,https://app.dimensions.ai/details/publication/pub.1092559505,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
11,100,pub.1083899853,10.1111/eff.12347,,,Physiological condition and migratory experience affect fitness‐related outcomes in adult female sockeye salmon,Ecology Of Freshwater Fish,,,2018-01,2018,27,1,296-309,All OA; Gold,Article,"Minke‐Martin, Vanessa; Hinch, Scott G.; Braun, Douglas C.; Burnett, Nicholas J.; Casselman, Matthew T.; Eliason, Erika J.; Middleton, Collin T.",,"Minke‐Martin, Vanessa (University of British Columbia); Hinch, Scott G. (University of British Columbia); Braun, Douglas C. (InStream Fisheries Research (Canada)); Burnett, Nicholas J. (InStream Fisheries Research (Canada)); Casselman, Matthew T. (University of British Columbia); Eliason, Erika J. (University of California, Santa Barbara); Middleton, Collin T. (University of British Columbia)",4,4,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/eff.12347,https://app.dimensions.ai/details/publication/pub.1083899853,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
12,200,pub.1090446973,10.3354/meps12238,,,Route-specific movements and survival during early marine migration of hatchery steelhead Oncorhynchus mykiss smolts in coastal British Columbia,Marine Ecology Progress Series,,,2017-08-18,2017,577,,131-147,Closed,Article,"Healy, SJ; Hinch, SG; Porter, AD; Rechisky, EL; Welch, DW; Eliason, EJ; Lotto, AG; Furey, NB",,"Healy, SJ (); Hinch, SG (); Porter, AD (); Rechisky, EL (); Welch, DW (); Eliason, EJ (); Lotto, AG (); Furey, NB ()",7,7,,2.85,,https://app.dimensions.ai/details/publication/pub.1090446973,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
13,500,pub.1084823495,10.1093/icb/icx012,28859404,,"Ecology of Exercise in Wild Fish: Integrating Concepts of Individual Physiological Capacity, Behavior, and Fitness Through Diverse Case Studies.",Integrative and Comparative Biology,,"Animal Migration; Animals; Behavior, Animal; Ecology; Energy Metabolism; Fishes; Male; Physical Conditioning, Animal; Swimming",2017-08,2017,57,2,281-292,All OA; Gold,Article,"Brownscombe, Jacob W; Cooke, Steven J; Algera, Dirk A; Hanson, Kyle C; Eliason, Erika J; Burnett, Nicholas J; Danylchuk, Andy J; Hinch, Scott G; Farrell, Anthony P",,"Brownscombe, Jacob W (Carleton University); Cooke, Steven J (Carleton University); Algera, Dirk A (Carleton University); Hanson, Kyle C (); Eliason, Erika J (University of California, Santa Barbara); Burnett, Nicholas J (InStream Fisheries Research (Canada)); Danylchuk, Andy J (University of Massachusetts Amherst); Hinch, Scott G (University of British Columbia); Farrell, Anthony P (University of British Columbia)",7,6,0.71,2.73,https://academic.oup.com/icb/article-pdf/57/2/281/19565613/icx012.pdf,https://app.dimensions.ai/details/publication/pub.1084823495,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
14,100,pub.1084226394,10.1139/cjz-2016-0248,,,Intraspecific differences in endurance swim performance and cardiac size in sockeye salmon (Oncorhynchus nerka) parr tested at three temperatures,Canadian Journal of Zoology,,,2017-06,2017,95,6,425-432,"All OA; Green, Accepted & Submitted",Article,"Eliason, E.J.; Gale, M.K.; Whitney, C.K.; Lotto, A.; Hinch, S.G.",,"Eliason, E.J. (University of British Columbia); Gale, M.K. (University of British Columbia); Whitney, C.K. (University of British Columbia); Lotto, A. (University of British Columbia); Hinch, S.G. (University of British Columbia)",3,3,,1.17,https://tspace.library.utoronto.ca/bitstream/1807/77523/1/cjz-2016-0248.pdf,https://app.dimensions.ai/details/publication/pub.1084226394,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,500,pub.1083691959,10.1016/j.cbpa.2017.02.001,28185867,,An experimental evaluation of the role of the stress axis in mediating predator-prey interactions in wild marine fish,Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,"Animals; Hydrocortisone; Hypothalamo-Hypophyseal System; Mifepristone; Perciformes; Predatory Behavior; Stress, Physiological",2017-05,2017,207,,21-29,Closed,Article,"Lawrence, Michael J.; Eliason, Erika J.; Brownscombe, Jacob W.; Gilmour, Kathleen M.; Mandelman, John W.; Cooke, Steven J.","Lawrence, Michael J.","Lawrence, Michael J. (Carleton University); Eliason, Erika J. (Carleton University; University of California, Santa Barbara); Brownscombe, Jacob W. (Carleton University); Gilmour, Kathleen M. (University of Ottawa); Mandelman, John W. (University of New England; New England Aquarium); Cooke, Steven J. (Carleton University)",8,8,1.21,3.12,,https://app.dimensions.ai/details/publication/pub.1083691959,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
16,100,pub.1074198677,10.1016/j.aquaculture.2017.01.022,,,Fitness component assessments of wild-type and growth hormone transgenic coho salmon reared in seawater mesocosms,Aquaculture,,,2017-04,2017,473,Dis. Aquat. Org. 25 1996,31-42,Closed,Article,"Leggatt, Rosalind A.; Biagi, Carlo A.; Sakhrani, Dionne; Dominelli, Robert; Eliason, Erika J.; Farrell, Anthony P.; Devlin, Robert H.","Leggatt, Rosalind A.","Leggatt, Rosalind A. (Fisheries and Oceans Canada); Biagi, Carlo A. (Fisheries and Oceans Canada); Sakhrani, Dionne (Fisheries and Oceans Canada); Dominelli, Robert (Fisheries and Oceans Canada); Eliason, Erika J. (University of British Columbia); Farrell, Anthony P. (University of British Columbia); Devlin, Robert H. (Fisheries and Oceans Canada)",1,1,,0.42,,https://app.dimensions.ai/details/publication/pub.1074198677,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
17,100,pub.1083549299,10.1016/j.dsr.2017.02.003,,,Activity syndromes and metabolism in giant deep-sea isopods,Deep Sea Research Part I Oceanographic Research Papers,,,2017-03,2017,121,,237-244,"All OA; Green, Accepted & Submitted",Article,"Wilson, Alexander D.M.; Szekeres, Petra; Violich, Mackellar; Gutowsky, Lee F.G.; Eliason, Erika J.; Cooke, Steven J.","Wilson, Alexander D.M.","Wilson, Alexander D.M. (University of Sydney; Carleton University); Szekeres, Petra (Carleton University); Violich, Mackellar (Florida State University); Gutowsky, Lee F.G. (Carleton University; Ontario Ministry Of Natural Resources); Eliason, Erika J. (Carleton University; University of California, Santa Barbara); Cooke, Steven J. (Carleton University)",2,2,,0.68,https://pearl.plymouth.ac.uk/bitstream/handle/10026.1/11425/UoP_Deposit_Agreement%20v1.1%2020160217.pdf?sequence=2&isAllowed=y,https://app.dimensions.ai/details/publication/pub.1083549299,04 Earth Sciences; 0403 Geology; 0405 Oceanography; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0405 Oceanography,0402 Geochemistry,
18,500,pub.1091034699,10.1093/conphys/cox050,28928974,PMC5597901,The influence of water temperature on sockeye salmon heart rate recovery following simulated fisheries interactions,Conservation Physiology,,,2017,2017,5,1,cox050-,All OA; Gold,Article,"Prystay, Tanya S.; Eliason, Erika J.; Lawrence, Michael J.; Dick, Melissa; Brownscombe, Jacob W.; Patterson, David A.; Crossin, Glenn T.; Hinch, Scott G.; Cooke, Steven J.",,"Prystay, Tanya S. (Dalhousie University; Carleton University); Eliason, Erika J. (); Lawrence, Michael J. (Carleton University); Dick, Melissa (Carleton University); Brownscombe, Jacob W. (Carleton University); Patterson, David A. (Simon Fraser University); Crossin, Glenn T. (Dalhousie University); Hinch, Scott G. (University of British Columbia); Cooke, Steven J. (Carleton University)",9,9,0.96,3.76,https://academic.oup.com/conphys/article-pdf/5/1/cox050/19564706/cox050.pdf,https://app.dimensions.ai/details/publication/pub.1091034699,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
19,100,pub.1092649952,10.1016/bs.fp.2017.09.003,,,4 Temperature and the Cardiovascular System,Fish Physiology,"The Cardiovascular System - Development, Plasticity and Physiological Responses",,2017,2017,36,,235-297,Closed,Chapter,"Eliason, Erika J.; Anttila, Katja","Eliason, Erika J.","Eliason, Erika J. (University of California, Santa Barbara); Anttila, Katja (University of Turku)",10,5,,3.89,,https://app.dimensions.ai/details/publication/pub.1092649952,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,200,pub.1071159268,10.3354/cr01404,,,On the neglected cold side of climate change and what it means to fish,Climate Research,,,2016-08-17,2016,69,3,239-245,Closed,Article,"Szekeres, P; Eliason, EJ; Lapointe, D; Donaldson, MR; Brownscombe, JW; Cooke, SJ",,"Szekeres, P (); Eliason, EJ (); Lapointe, D (); Donaldson, MR (); Brownscombe, JW (); Cooke, SJ ()",4,3,,1.03,,https://app.dimensions.ai/details/publication/pub.1071159268,05 Environmental Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,04 Earth Sciences,0401 Atmospheric Sciences,0502 Environmental Science and Management,
21,100,pub.1043472575,10.1080/03632415.2016.1186656,,,Physiological Basis of Climate Change Impacts on North American Inland Fishes,Fisheries,,,2016-07-02,2016,41,7,332-345,Closed,Article,"Whitney, James E.; Al-Chokhachy, Robert; Bunnell, David B.; Caldwell, Colleen A.; Cooke, Steven J.; Eliason, Erika J.; Rogers, Mark; Lynch, Abigail J.; Paukert, Craig P.",,"Whitney, James E. (); Al-Chokhachy, Robert (); Bunnell, David B. (); Caldwell, Colleen A. (); Cooke, Steven J. (); Eliason, Erika J. (); Rogers, Mark (); Lynch, Abigail J. (); Paukert, Craig P. ()",42,24,,13.75,,https://app.dimensions.ai/details/publication/pub.1043472575,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
22,400,pub.1002619419,10.1111/jfb.12790,26577675,,Oxygen uptake in Pacific salmon Oncorhynchus spp.: when ecology and physiology meet,Journal of Fish Biology,,Animal Migration; Animals; Climate Change; Digestion; Energy Metabolism; Heart; Oncorhynchus; Oxygen; Oxygen Consumption; Reproduction; Swimming; Temperature,2016-01,2016,88,1,359-388,Closed,Article,"Eliason, E. J.; Farrell, A. P.",,"Eliason, E. J. (); Farrell, A. P. (University of British Columbia)",34,19,3.67,8.82,,https://app.dimensions.ai/details/publication/pub.1002619419,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
23,400,pub.1059654383,10.1093/icb/icv088,26199324,,Fishing for Effective Conservation: Context and Biotic Variation are Keys to Understanding the Survival of Pacific Salmon after Catch-and-Release,Integrative and Comparative Biology,,"Animals; Conservation of Natural Resources; Fisheries; Salmon; Stress, Physiological; Survival Analysis",2015-10,2015,55,4,554-576,All OA; Gold,Article,"Raby, Graham D.; Donaldson, Michael R.; Hinch, Scott G.; Clark, Timothy D.; Eliason, Erika J.; Jeffries, Kenneth M.; Cook, Katrina V.; Teffer, Amy; Bass, Arthur L.; Miller, Kristina M.; Patterson, David A.; Farrell, Anthony P.; Cooke, Steven J.",,"Raby, Graham D. (Carleton University); Donaldson, Michael R. (University of British Columbia); Hinch, Scott G. (University of British Columbia); Clark, Timothy D. (University of British Columbia; Australian Institute of Marine Science); Eliason, Erika J. (Carleton University; University of British Columbia); Jeffries, Kenneth M. (University of California, Davis); Cook, Katrina V. (University of British Columbia); Teffer, Amy (University of British Columbia; University of Victoria); Bass, Arthur L. (University of British Columbia); Miller, Kristina M. (Fisheries and Oceans Canada); Patterson, David A. (Simon Fraser University); Farrell, Anthony P. (University of British Columbia); Cooke, Steven J. (Carleton University)",21,12,0.81,4.12,https://academic.oup.com/icb/article-pdf/55/4/554/1788210/icv088.pdf,https://app.dimensions.ai/details/publication/pub.1059654383,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
24,400,pub.1003870240,10.1007/s00360-014-0839-7,25031037,,Oxygen removal from water versus arterial oxygen delivery: calibrating the Fick equation in Pacific salmon,Journal of Comparative Physiology B,,Animals; Arteries; Oxygen; Oxygen Consumption; Salmon; Swimming; Temperature; Water,2014-10,2014,184,7,855-864,Closed,Article,"Farrell, Anthony P.; Eliason, Erika J.; Clark, Timothy D.; Steinhausen, Maria F.","Farrell, Anthony P.","Farrell, Anthony P. (University of British Columbia); Eliason, Erika J. (University of British Columbia); Clark, Timothy D. (University of British Columbia; Australian Institute of Marine Science); Steinhausen, Maria F. (University of British Columbia)",15,7,1.04,1.95,,https://app.dimensions.ai/details/publication/pub.1003870240,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
25,400,pub.1053696816,10.1093/conphys/cou029,27293650,PMC4806721,Observable impairments predict mortality of captured and released sockeye salmon at various temperatures,Conservation Physiology,,,2014-08-14,2014,2,1,cou029,All OA; Gold,Article,"Gale, Marika Kirstin; Hinch, Scott G.; Cooke, Steven J.; Donaldson, Michael R.; Eliason, Erika J.; Jeffries, Ken M.; Martins, Eduardo G.; Patterson, David A.",,"Gale, Marika Kirstin (University of British Columbia); Hinch, Scott G. (University of British Columbia); Cooke, Steven J. (Carleton University); Donaldson, Michael R. (University of British Columbia; University of Illinois at Urbana Champaign); Eliason, Erika J. (University of British Columbia; Carleton University); Jeffries, Ken M. (University of British Columbia; University of California, Davis); Martins, Eduardo G. (University of British Columbia; Carleton University); Patterson, David A. (Simon Fraser University)",8,2,0.61,1.72,https://academic.oup.com/conphys/article-pdf/2/1/cou029/939423/cou029.pdf,https://app.dimensions.ai/details/publication/pub.1053696816,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
26,400,pub.1032052853,10.1111/jfb.12367,24684400,,Facing warm temperatures during migration: cardiac mRNA responses of two adult Oncorhynchus nerka populations to warming and swimming challenges,Journal of Fish Biology,,"Animal Migration; Animals; British Columbia; Electron Transport; Gene Expression Regulation; Heart; Heat-Shock Proteins; Heat-Shock Response; Oligonucleotide Array Sequence Analysis; Oxidative Phosphorylation; RNA, Messenger; Salmon; Swimming; Temperature",2014-05,2014,84,5,1439-1456,Closed,Article,"Anttila, K.; Eliason, E. J.; Kaukinen, K. H.; Miller, K. M.; Farrell, A. P.",,"Anttila, K. (University of Turku); Eliason, E. J. (University of British Columbia); Kaukinen, K. H. (); Miller, K. M. (); Farrell, A. P. (University of British Columbia)",9,4,0.55,1.17,,https://app.dimensions.ai/details/publication/pub.1032052853,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
27,400,pub.1015172647,10.1016/j.cbpa.2014.01.021,24534150,,Effect of hypoxia on specific dynamic action and postprandial cardiovascular physiology in rainbow trout (Oncorhynchus mykiss),Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,Animals; Cardiac Output; Cardiovascular Physiological Phenomena; Gastrointestinal Tract; Heart Rate; Hypoxia; Oncorhynchus mykiss; Oxygen Consumption; Postprandial Period,2014-05,2014,171,,44-50,Closed,Article,"Eliason, Erika J.; Farrell, Anthony P.","Eliason, Erika J.","Eliason, Erika J. (University of British Columbia); Farrell, Anthony P. (University of British Columbia)",16,4,1.28,3.32,,https://app.dimensions.ai/details/publication/pub.1015172647,0606 Physiology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences; 0608 Zoology,0606 Physiology,0601 Biochemistry and Cell Biology,06 Biological Sciences,0608 Zoology,
28,400,pub.1044080781,10.1016/j.cbpa.2013.07.020,23880060,,Cardiorespiratory performance and blood chemistry during swimming and recovery in three populations of elite swimmers: Adult sockeye salmon,Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,,Animal Migration; Animals; Canada; Female; Heart Rate; Lactic Acid; Male; Oxygen; Oxygen Consumption; Physical Exertion; Physical Fitness; Salmon; Stroke Volume; Swimming,2013-10,2013,166,2,385-397,Closed,Article,"Eliason, Erika J.; Clark, Timothy D.; Hinch, Scott G.; Farrell, Anthony P.","Eliason, Erika J.","Eliason, Erika J. (University of British Columbia); Clark, Timothy D. (University of British Columbia); Hinch, Scott G. (University of British Columbia); Farrell, Anthony P. (University of British Columbia)",23,7,1.79,3.29,,https://app.dimensions.ai/details/publication/pub.1044080781,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
