,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Joseph P Mcfadden. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1086294987,10.5194/acp-2017-321,,,Effects of vernal equinox solar eclipse on temperatures and wind directions in Switzerland,Atmospheric Chemistry and Physics Discussions,,,2017-06-26,2017,,,1-33,All OA; Gold,Article,"Eugster, Werner; Emmel, Carmen; Wolf, Sebastian; Buchmann, Nina; McFadden, Joseph P.; Whiteman, C. David",,"Eugster, Werner (Swiss Federal Institute of Technology in Zurich); Emmel, Carmen (Swiss Federal Institute of Technology in Zurich); Wolf, Sebastian (Swiss Federal Institute of Technology in Zurich); Buchmann, Nina (Swiss Federal Institute of Technology in Zurich); McFadden, Joseph P. (University of California, Santa Barbara); Whiteman, C. David (University of Utah)",0,0,,0,https://doi.org/10.5194/acp-2017-321,https://app.dimensions.ai/details/publication/pub.1086294987,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
11,100,pub.1085195892,10.1016/j.rse.2017.04.013,,,Mapping spectrally similar urban materials at sub-pixel scales,Remote Sensing of Environment,,,2017-06,2017,195,,170-183,Closed,Article,"Wetherley, Erin B.; Roberts, Dar A.; McFadden, Joseph P.","Wetherley, Erin B.","Wetherley, Erin B. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara)",21,17,,8.28,,https://app.dimensions.ai/details/publication/pub.1085195892,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
12,100,pub.1007770832,10.1111/geb.12499,,,Climate tolerances and trait choices shape continental patterns of urban tree biodiversity,Global Ecology and Biogeography,,,2016-11,2016,25,11,1367-1376,Closed,Article,"Jenerette, G. Darrel; Clarke, Lorraine W.; Avolio, Meghan L.; Pataki, Diane E.; Gillespie, Thomas W.; Pincetl, Stephanie; Nowak, Dave J.; Hutyra, Lucy R.; McHale, Melissa; McFadden, Joseph P.; Alonzo, Michael",,"Jenerette, G. Darrel (University of California, Riverside); Clarke, Lorraine W. (University of California, Riverside); Avolio, Meghan L. (University of Utah); Pataki, Diane E. (University of Utah); Gillespie, Thomas W. (University of California Los Angeles); Pincetl, Stephanie (University of California Los Angeles); Nowak, Dave J. (Northern Research Station); Hutyra, Lucy R. (Boston University); McHale, Melissa (North Carolina State University); McFadden, Joseph P. (University of California, Santa Barbara); Alonzo, Michael (University of California, Santa Barbara)",19,13,,4.61,,https://app.dimensions.ai/details/publication/pub.1007770832,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,05 Environmental Sciences,06 Biological Sciences
13,100,pub.1046953931,10.1016/j.rse.2016.03.032,,,Mapping methane concentrations from a controlled release experiment using the next generation airborne visible/infrared imaging spectrometer (AVIRIS-NG),Remote Sensing of Environment,,,2016-06,2016,179,,104-115,All OA; Gold,Article,"Thorpe, A.K.; Frankenberg, C.; Aubrey, A.D.; Roberts, D.A.; Nottrott, A.A.; Rahn, T.A.; Sauer, J.A.; Dubey, M.K.; Costigan, K.R.; Arata, C.; Steffke, A.M.; Hills, S.; Haselwimmer, C.; Charlesworth, D.; Funk, C.C.; Green, R.O.; Lundeen, S.R.; Boardman, J.W.; Eastwood, M.L.; Sarture, C.M.; Nolte, S.H.; Mccubbin, I.B.; Thompson, D.R.; McFadden, J.P.","Thorpe, A.K.","Thorpe, A.K. (Jet Propulsion Lab; University of California, Santa Barbara); Frankenberg, C. (California Institute of Technology; Jet Propulsion Lab); Aubrey, A.D. (Jet Propulsion Lab); Roberts, D.A. (University of California, Santa Barbara); Nottrott, A.A. (Picarro (United States)); Rahn, T.A. (Los Alamos National Laboratory); Sauer, J.A. (Los Alamos National Laboratory); Dubey, M.K. (Los Alamos National Laboratory); Costigan, K.R. (Los Alamos National Laboratory); Arata, C. (University of California, Berkeley); Steffke, A.M. (Chevron (United States)); Hills, S. (Chevron (United States)); Haselwimmer, C. (Chevron (United States)); Charlesworth, D. (Chevron (United States)); Funk, C.C. (University of California, Santa Barbara); Green, R.O. (Jet Propulsion Lab); Lundeen, S.R. (Jet Propulsion Lab); Boardman, J.W. (Analytical Imaging and Geophysics (United States)); Eastwood, M.L. (Jet Propulsion Lab); Sarture, C.M. (Jet Propulsion Lab); Nolte, S.H. (Jet Propulsion Lab); Mccubbin, I.B. (Jet Propulsion Lab); Thompson, D.R. (Jet Propulsion Lab); McFadden, J.P. (University of California, Santa Barbara)",26,13,,7.69,https://manuscript.elsevier.com/S0034425716301250/pdf/S0034425716301250.pdf,https://app.dimensions.ai/details/publication/pub.1046953931,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
14,100,pub.1010764756,10.1016/j.ufug.2016.04.003,,,Mapping urban forest structure and function using hyperspectral imagery and lidar data,Urban Forestry & Urban Greening,,,2016-06,2016,17,,135-147,All OA; Gold,Article,"Alonzo, Michael; McFadden, Joseph P.; Nowak, David J.; Roberts, Dar A.","Alonzo, Michael","Alonzo, Michael (Goddard Space Flight Center); McFadden, Joseph P. (University of California, Santa Barbara); Nowak, David J. (SUNY College of Environmental Science and Forestry); Roberts, Dar A. (University of California, Santa Barbara)",29,22,,9.94,https://manuscript.elsevier.com/S1618866715300194/pdf/S1618866715300194.pdf,https://app.dimensions.ai/details/publication/pub.1010764756,0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,,,
15,200,pub.1005123100,10.1007/s11269-015-1157-x,,,"Erratum to: Measuring Spatio-temporal Trends in Residential Landscape Irrigation Extent and Rate in Los Angeles, California Using SPOT-5 Satellite Imagery",Water Resources Management,,,2016-01,2016,30,2,897-898,All OA; Gold,Article,"Chen, Ying-Jung; McFadden, Joseph P.; Clarke, Keith C.; Roberts, Dar A.","Chen, Ying-Jung","Chen, Ying-Jung (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara)",0,0,,,https://link.springer.com/content/pdf/10.1007%2Fs11269-015-1157-x.pdf,https://app.dimensions.ai/details/publication/pub.1005123100,,,,,,
16,100,pub.1038328532,10.1007/s11269-015-1144-2,,,"Measuring Spatio-temporal Trends in Residential Landscape Irrigation Extent and Rate in Los Angeles, California Using SPOT-5 Satellite Imagery",Water Resources Management,,,2015-12,2015,29,15,5749-5763,"All OA; Green, Accepted & Submitted",Article,"Chen, Ying-Jung; McFadden, Joseph P.; Clarke, Keith C.; Roberts, Dar A.","Chen, Ying-Jung","Chen, Ying-Jung (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara); Clarke, Keith C. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara)",3,2,,0.68,https://escholarship.org/content/qt27s6q0df/qt27s6q0df.pdf?t=nxljmk,https://app.dimensions.ai/details/publication/pub.1038328532,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences
17,100,pub.1015833458,10.1016/j.rse.2015.02.025,,,Mapping urban forest leaf area index with airborne lidar using penetration metrics and allometry,Remote Sensing of Environment,,,2015-06,2015,162,Remote Sensing of Environment 148 2014,141-153,Closed,Article,"Alonzo, Michael; Bookhagen, Bodo; McFadden, Joseph P.; Sun, Alex; Roberts, Dar A.","Alonzo, Michael","Alonzo, Michael (University of California, Santa Barbara); Bookhagen, Bodo (University of Potsdam); McFadden, Joseph P. (University of California, Santa Barbara); Sun, Alex (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara)",45,30,,11.51,,https://app.dimensions.ai/details/publication/pub.1015833458,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
18,400,pub.1005788699,10.1371/journal.pone.0122051,25830303,PMC4382324,Trees Grow on Money: Urban Tree Canopy Cover and Environmental Justice,PLoS ONE,,Cities; Environment; Humans; Plant Dispersal; Socioeconomic Factors; Trees; United States; Urban Population; Urbanization,2015-04-01,2015,10,4,e0122051,All OA; Gold,Article,"Schwarz, Kirsten; Fragkias, Michail; Boone, Christopher G.; Zhou, Weiqi; McHale, Melissa; Grove, J. Morgan; O’Neil-Dunne, Jarlath; McFadden, Joseph P.; Buckley, Geoffrey L.; Childers, Dan; Ogden, Laura; Pincetl, Stephanie; Pataki, Diane; Whitmer, Ali; Cadenasso, Mary L.",,"Schwarz, Kirsten (Northern Kentucky University); Fragkias, Michail (Boise State University); Boone, Christopher G. (Arizona State University); Zhou, Weiqi (Chinese Academy of Sciences); McHale, Melissa (North Carolina State University); Grove, J. Morgan (Northern Research Station); O’Neil-Dunne, Jarlath (University of Vermont); McFadden, Joseph P. (University of California, Santa Barbara); Buckley, Geoffrey L. (Ohio University); Childers, Dan (Arizona State University); Ogden, Laura (Florida International University); Pincetl, Stephanie (University of California Los Angeles); Pataki, Diane (University of Utah); Whitmer, Ali (Georgetown University); Cadenasso, Mary L. (University of California, Davis)",101,66,2.54,41.2,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0122051&type=printable,https://app.dimensions.ai/details/publication/pub.1005788699,16 Studies in Human Society; 1604 Human Geography,16 Studies in Human Society,1604 Human Geography,,,
19,100,pub.1043874147,10.1016/j.atmosenv.2014.11.006,,,Annual sums of carbon dioxide exchange over a heterogeneous urban landscape through machine learning based gap-filling,Atmospheric Environment,,,2015-01,2015,101,,312-327,Closed,Article,"Menzer, Olaf; Meiring, Wendy; Kyriakidis, Phaedon C.; McFadden, Joseph P.","Menzer, Olaf","Menzer, Olaf (University of California, Santa Barbara); Meiring, Wendy (University of California, Santa Barbara); Kyriakidis, Phaedon C. (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara)",11,8,,2.13,,https://app.dimensions.ai/details/publication/pub.1043874147,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
20,100,pub.1009993440,10.1007/s11252-012-0239-2,,,Potential impacts of emerald ash borer invasion on biogeochemical and water cycling in residential landscapes across a metropolitan region,Urban Ecosystems,,,2012-12,2012,15,4,1015-1030,Closed,Article,"Fissore, Cinzia; McFadden, Joseph P.; Nelson, Kristen C.; Peters, Emily B.; Hobbie, Sarah E.; King, Jennifer Y.; Baker, Lawrence A.; Jakobsdottir, Ina","Fissore, Cinzia","Fissore, Cinzia (Whittier College); McFadden, Joseph P. (University of California, Santa Barbara); Nelson, Kristen C. (University of Minnesota); Peters, Emily B. (University of Minnesota); Hobbie, Sarah E. (University of Minnesota); King, Jennifer Y. (University of California, Santa Barbara); Baker, Lawrence A. (University of Minnesota); Jakobsdottir, Ina (University of California, Santa Barbara)",4,1,,0.75,,https://app.dimensions.ai/details/publication/pub.1009993440,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
21,100,pub.1052010409,10.1029/2011jg001933,,,Continuous measurements of net CO2 exchange by vegetation and soils in a suburban landscape,Journal of Geophysical Research,,,2012-09,2012,117,G3,n/a-n/a,All OA; Gold,Article,"Peters, Emily B.; McFadden, Joseph P.",,"Peters, Emily B. (University of Minnesota); McFadden, Joseph P. (University of California, Santa Barbara)",19,2,,2.28,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011JG001933,https://app.dimensions.ai/details/publication/pub.1052010409,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
22,100,pub.1038692721,10.1890/11-0392.1,,,Phylogenetic and functional characteristics of household yard floras and their changes along an urbanization gradient,Ecology,,,2012-08,2012,93,sp8,s83-s98,All OA; Gold,Article,"Knapp, Sonja; Dinsmore, Lucy; Fissore, Cinzia; Hobbie, Sarah E.; Jakobsdottir, Ina; Kattge, Jens; King, Jennifer Y.; Klotz, Stefan; McFadden, Joseph P.; Cavender-Bares, Jeannine",,"Knapp, Sonja (Helmholtz Centre for Environmental Research; University of Minnesota); Dinsmore, Lucy (University of Minnesota); Fissore, Cinzia (University of Minnesota); Hobbie, Sarah E. (University of Minnesota); Jakobsdottir, Ina (University of Minnesota); Kattge, Jens (Max Planck Institute for Biogeochemistry); King, Jennifer Y. (University of California, Santa Barbara); Klotz, Stefan (Helmholtz Centre for Environmental Research); McFadden, Joseph P. (University of California, Santa Barbara); Cavender-Bares, Jeannine (University of Minnesota)",70,28,,10,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/11-0392.1,https://app.dimensions.ai/details/publication/pub.1038692721,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
23,100,pub.1003185878,10.1007/s11252-011-0189-0,,,The residential landscape: fluxes of elements and the role of household decisions,Urban Ecosystems,,,2012-03,2012,15,1,1-18,Closed,Article,"Fissore, Cinzia; Hobbie, Sarah E.; King, Jennifer Y.; McFadden, Joseph P.; Nelson, Kristen C.; Baker, Lawrence A.","Fissore, Cinzia","Fissore, Cinzia (University of Minnesota); Hobbie, Sarah E. (University of Minnesota); King, Jennifer Y. (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara); Nelson, Kristen C. (University of Minnesota); Baker, Lawrence A. (University of Minnesota)",33,8,,6.8,,https://app.dimensions.ai/details/publication/pub.1003185878,0501 Ecological Applications; 05 Environmental Sciences,0501 Ecological Applications,05 Environmental Sciences,,,
24,200,pub.1024996077,10.1890/0012-9623-92.4.389,,,Planetary Stewardship Begins at Home,Bulletin of the Ecological Society of America,,,2011-10,2011,92,4,389-391,All OA; Gold,Article,"Hobbie, Sarah E.; Baker, Lawrence A.; Fissore, Cinzia; King, Jennifer Y.; McFadden, Joseph P.; Nelson, Kristen C.",,"Hobbie, Sarah E. (); Baker, Lawrence A. (); Fissore, Cinzia (); King, Jennifer Y. (); McFadden, Joseph P. (); Nelson, Kristen C. ()",1,0,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1890/0012-9623-92.4.389,https://app.dimensions.ai/details/publication/pub.1024996077,,,,,,
25,100,pub.1027527963,10.1029/2011gl049041,,,Remotely sensed heat anomalies linked with Amazonian forest biomass declines,Geophysical Research Letters,,,2011-10,2011,38,19,n/a-n/a,"All OA; Green, Published",Article,"Toomey, Michael; Roberts, Dar A.; Still, Christopher; Goulden, Michael L.; McFadden, Joseph P.",,"Toomey, Michael (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Still, Christopher (University of California, Santa Barbara); Goulden, Michael L. (University of California, Irvine); McFadden, Joseph P. (University of California, Santa Barbara)",44,14,,4.63,https://escholarship.org/content/qt924385m3/qt924385m3.pdf?t=mrfef2,https://app.dimensions.ai/details/publication/pub.1027527963,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
26,400,pub.1015609967,10.1890/10-0386.1,21639033,,"Carbon, nitrogen, and phosphorus fluxes in household ecosystems in the Minneapolis‐Saint Paul, Minnesota, urban region",Ecological Applications,,Carbon; Cities; Ecosystem; Environmental Monitoring; Environmental Pollutants; Family Characteristics; Housing; Humans; Minnesota; Nitrogen; Phosphorus; Urban Population,2011-04-28,2011,21,3,619-639,Closed,Article,"Fissore, C.; Baker, L. A.; Hobbie, S. E.; King, J. Y.; McFadden, J. P.; Nelson, K. C.; Jakobsdottir, I.",,"Fissore, C. (University of Minnesota); Baker, L. A. (University of Minnesota); Hobbie, S. E. (University of Minnesota); King, J. Y. (University of California, Santa Barbara); McFadden, J. P. (University of California, Santa Barbara); Nelson, K. C. (University of Minnesota); Jakobsdottir, I. (University of Minnesota)",56,10,0.66,,,https://app.dimensions.ai/details/publication/pub.1015609967,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
27,100,pub.1002687933,10.1002/eco.209,,,Socio‐ecohydrology and the urban water challenge,Ecohydrology,,,2011-03,2011,4,2,341-347,All OA; Gold,Article,"Pataki, D. E.; Boone, C. G.; Hogue, T. S.; Jenerette, G. D.; McFadden, J. P.; Pincetl, S.",,"Pataki, D. E. (University of California, Irvine); Boone, C. G. (Arizona State University); Hogue, T. S. (University of California Los Angeles); Jenerette, G. D. (University of California, Riverside); McFadden, J. P. (University of California, Santa Barbara); Pincetl, S. (University of California Los Angeles)",57,8,,9.51,http://dx.doi.org/10.1002/eco.209,https://app.dimensions.ai/details/publication/pub.1002687933,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
28,100,pub.1032654216,10.1007/s10546-010-9558-0,,,Interpreting CO2 Fluxes Over a Suburban Lawn: The Influence of Traffic Emissions,Boundary-Layer Meteorology,,,2011-02,2011,138,2,215-230,All OA; Gold,Article,"Hiller, Rebecca V.; McFadden, Joseph P.; Kljun, Natascha","Hiller, Rebecca V.","Hiller, Rebecca V. (Swiss Federal Institute of Technology in Zurich); McFadden, Joseph P. (University of California, Santa Barbara); Kljun, Natascha (Swansea University)",26,7,,2.65,https://link.springer.com/content/pdf/10.1007%2Fs10546-010-9558-0.pdf,https://app.dimensions.ai/details/publication/pub.1032654216,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
