,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Arturo A Keller. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
46,400,pub.1040740951,10.1016/j.scitotenv.2016.07.093,27450251,,Simultaneous removal of PAHs and metal contaminants from water using magnetic nanoparticle adsorbents,The Science of The Total Environment,,"Acenaphthenes; Adsorption; Cadmium; Humic Substances; Hydrogen-Ion Concentration; Metal Nanoparticles; Waste Disposal, Fluid; Waste Water; Water Pollutants, Chemical",2016-11,2016,571,Chem. Eng. J. 286 2016,1029-1036,All OA; Gold,Article,"Huang, Yuxiong; Fulton, Aaron N.; Keller, Arturo A.","Keller, Arturo A.","Huang, Yuxiong (University of California, Santa Barbara); Fulton, Aaron N. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",21,16,0.33,4.63,https://manuscript.elsevier.com/S004896971631539X/pdf/S004896971631539X.pdf,https://app.dimensions.ai/details/publication/pub.1040740951,09 Engineering; 0904 Chemical Engineering,09 Engineering,0904 Chemical Engineering,,,
47,400,pub.1052256938,10.1016/j.watres.2016.06.056,27393962,,Release and detection of nanosized copper from a commercial antifouling paint,Water Research,,"Copper; Disinfectants; Paint; Water Pollutants, Chemical; Zinc",2016-10,2016,102,Environ. Sci. Technol. 48 21 2014,374-382,All OA; Gold,Article,"Adeleye, Adeyemi S.; Oranu, Ekene A.; Tao, Mengya; Keller, Arturo A.","Keller, Arturo A.","Adeleye, Adeyemi S. (University of California, Santa Barbara); Oranu, Ekene A. (University of California, Santa Barbara); Tao, Mengya (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",33,26,2.66,6.82,https://manuscript.elsevier.com/S0043135416304948/pdf/S0043135416304948.pdf,https://app.dimensions.ai/details/publication/pub.1052256938,03 Chemical Sciences; 0399 Other Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0399 Other Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
48,400,pub.1055089355,10.1021/acs.est.6b02763,27483188,,Metabolomics to Detect Response of Lettuce (Lactuca sativa) to Cu(OH)2 Nanopesticides: Oxidative Stress Response and Detoxification Mechanisms.,Environmental Science & Technology,,Gas Chromatography-Mass Spectrometry; Lettuce; Metabolomics; Oxidative Stress; Up-Regulation,2016-09-06,2016,50,17,9697-707,All OA; Gold,Article,"Zhao, Lijuan; Ortiz, Cruz; Adeleye, Adeyemi S; Hu, Qirui; Zhou, Hongjun; Huang, Yuxiong; Keller, Arturo A",,"Zhao, Lijuan (University of California, Santa Barbara); Ortiz, Cruz (University of California, Santa Barbara); Adeleye, Adeyemi S (University of California, Santa Barbara); Hu, Qirui (University of California, Santa Barbara); Zhou, Hongjun (University of California, Santa Barbara); Huang, Yuxiong (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara)",41,33,2.98,7.7,https://doi.org/10.1021/acs.est.6b02763,https://app.dimensions.ai/details/publication/pub.1055089355,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
49,400,pub.1005862672,10.3109/17435390.2015.1107145,26643145,,Developmental effects of two different copper oxide nanomaterials in sea urchin (Lytechinus pictus) embryos,Nanotoxicology,,"Animals; Copper; Copper Sulfate; Embryo, Nonmammalian; Embryonic Development; Lytechinus; Nanostructures; Particle Size; Surface Properties",2016-07-02,2016,10,6,671-679,"All OA; Green, Accepted & Submitted",Article,"Torres-Duarte, Cristina; Adeleye, Adeyemi S.; Pokhrel, Suman; Mädler, Lutz; Keller, Arturo A.; Cherr, Gary N.",,"Torres-Duarte, Cristina (University of California, Davis); Adeleye, Adeyemi S. (University of California, Santa Barbara); Pokhrel, Suman (University of Bremen); Mädler, Lutz (University of Bremen); Keller, Arturo A. (University of California, Santa Barbara); Cherr, Gary N. (University of California, Davis)",22,11,2.46,8.16,https://escholarship.org/content/qt4v5833d4/qt4v5833d4.pdf?t=o94byr,https://app.dimensions.ai/details/publication/pub.1005862672,10 Technology; 1007 Nanotechnology,10 Technology,1007 Nanotechnology,,,
50,400,pub.1015990759,10.1016/j.watres.2016.04.021,27108211,,Gravity-driven transport of three engineered nanomaterials in unsaturated soils and their effects on soil pH and nutrient release,Water Research,,Gravitation; Hydrogen-Ion Concentration; Nanostructures; Soil; Soil Pollutants,2016-07,2016,98,Environ. Sci. Technol. 48 21 2014,250-260,All OA; Gold,Article,"Conway, Jon R.; Keller, Arturo A.","Keller, Arturo A.","Conway, Jon R. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",9,7,0.2,2.61,https://manuscript.elsevier.com/S0043135416302184/pdf/S0043135416302184.pdf,https://app.dimensions.ai/details/publication/pub.1015990759,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
51,100,pub.1010246312,10.1016/j.impact.2016.08.005,,,Application of metabolomics to assess the impact of Cu(OH)2 nanopesticide on the nutritional value of lettuce (Lactuca sativa): Enhanced Cu intake and reduced antioxidants,NanoImpact,,,2016-07,2016,3,Environ. Sci. Technol. 48 2014,58-66,"All OA; Green, Published",Article,"Zhao, Lijuan; Huang, Yuxiong; Hannah-Bick, Cameron; Fulton, Aaron N.; Keller, Arturo A.","Keller, Arturo A.","Zhao, Lijuan (University of California, Santa Barbara); Huang, Yuxiong (University of California, Santa Barbara); Hannah-Bick, Cameron (); Fulton, Aaron N. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",11,9,,3.72,https://escholarship.org/content/qt1jq066bm/qt1jq066bm.pdf?t=or4i48,https://app.dimensions.ai/details/publication/pub.1010246312,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
52,400,pub.1055088884,10.1021/acs.est.6b00608,27177237,PMC4967154,Considerations of Environmentally Relevant Test Conditions for Improved Evaluation of Ecological Hazards of Engineered Nanomaterials.,Environmental Science & Technology,,Ecology; Ecosystem; Ecotoxicology; Environment; Humans; Nanostructures,2016-06-21,2016,50,12,6124-45,"All OA; Green, Accepted & Submitted",Article,"Holden, Patricia A; Gardea-Torresdey, Jorge L; Klaessig, Fred; Turco, Ronald F; Mortimer, Monika; Hund-Rinke, Kerstin; Cohen Hubal, Elaine A; Avery, David; Barceló, Damià; Behra, Renata; Cohen, Yoram; Deydier-Stephan, Laurence; Ferguson, P Lee; Fernandes, Teresa F; Herr Harthorn, Barbara; Henderson, W Matthew; Hoke, Robert A; Hristozov, Danail; Johnston, John M; Kane, Agnes B; Kapustka, Larry; Keller, Arturo A; Lenihan, Hunter S; Lovell, Wess; Murphy, Catherine J; Nisbet, Roger M; Petersen, Elijah J; Salinas, Edward R; Scheringer, Martin; Sharma, Monita; Speed, David E; Sultan, Yasir; Westerhoff, Paul; White, Jason C; Wiesner, Mark R; Wong, Eva M; Xing, Baoshan; Steele Horan, Meghan; Godwin, Hilary A; Nel, André E",,"Holden, Patricia A (University of California, Santa Barbara; University of California Los Angeles); Gardea-Torresdey, Jorge L (University of California Los Angeles; The University of Texas at El Paso); Klaessig, Fred (University of California Los Angeles); Turco, Ronald F (Purdue University West Lafayette); Mortimer, Monika (University of California, Santa Barbara; University of California Los Angeles; National Institute of Chemical Physics and Biophysics); Hund-Rinke, Kerstin (Fraunhofer Institute for Molecular Biology and Applied Ecology); Cohen Hubal, Elaine A (); Avery, David (University of California Los Angeles); Barceló, Damià (Institute of Environmental Assessment and Water Research; Catalan Institute for Water Research); Behra, Renata (Swiss Federal Institute of Aquatic Science and Technology; Swiss Federal Institute of Technology in Zurich); Cohen, Yoram (University of California Los Angeles); Deydier-Stephan, Laurence (); Ferguson, P Lee (); Fernandes, Teresa F (Heriot-Watt University); Herr Harthorn, Barbara (University of California Los Angeles); Henderson, W Matthew (Environmental Protection Agency); Hoke, Robert A (DuPont (United States)); Hristozov, Danail (Ca Foscari University of Venice); Johnston, John M (Environmental Protection Agency); Kane, Agnes B (Brown University); Kapustka, Larry (); Keller, Arturo A (University of California, Santa Barbara; University of California Los Angeles); Lenihan, Hunter S (University of California, Santa Barbara; University of California Los Angeles); Lovell, Wess (); Murphy, Catherine J (University of Illinois at Urbana Champaign); Nisbet, Roger M (University of California Los Angeles; University of California, Santa Barbara); Petersen, Elijah J (National Institute of Standards and Technology); Salinas, Edward R (BASF (Germany)); Scheringer, Martin (Swiss Federal Institute of Technology in Zurich); Sharma, Monita (); Speed, David E (GlobalFoundries (United States)); Sultan, Yasir (Environment Canada); Westerhoff, Paul (Arizona State University); White, Jason C (Connecticut Agricultural Experiment Station); Wiesner, Mark R (); Wong, Eva M (Environmental Protection Agency); Xing, Baoshan (University of Massachusetts Amherst); Steele Horan, Meghan (University of California Los Angeles); Godwin, Hilary A (University of California Los Angeles); Nel, André E (University of California Los Angeles)",83,48,8.12,32.18,http://europepmc.org/articles/pmc4967154?pdf=render,https://app.dimensions.ai/details/publication/pub.1055088884,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
53,400,pub.1013242145,10.1021/acs.est.5b06251,27183309,,Influence of Phytoplankton on Fate and Effects of Modified Zerovalent Iron Nanoparticles.,Environmental Science & Technology,,"Iron; Metal Nanoparticles; Nanoparticles; Phytoplankton; Sulfides; Water Pollutants, Chemical",2016-06-07,2016,50,11,5597-605,All OA; Gold,Article,"Adeleye, Adeyemi S; Stevenson, Louise M; Su, Yiming; Nisbet, Roger M; Zhang, Yalei; Keller, Arturo A",,"Adeleye, Adeyemi S (University of California, Santa Barbara); Stevenson, Louise M (University of California, Santa Barbara); Su, Yiming (Tongji University; University of California, Santa Barbara); Nisbet, Roger M (University of California, Santa Barbara); Zhang, Yalei (Tongji University); Keller, Arturo A (University of California, Santa Barbara)",13,10,1.37,2.64,https://doi.org/10.1021/acs.est.5b06251,https://app.dimensions.ai/details/publication/pub.1013242145,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
54,300,pub.1028176627,10.1038/srep26918,27245434,PMC4887786,Erratum: Corrigendum: Direct Synthesis of Novel and Reactive Sulfide-modified Nano Iron through Nanoparticle Seeding for Improved Cadmium-Contaminated Water Treatment,Scientific Reports,,,2016-06,2016,6,1,26918,All OA; Gold,Article,"Su, Yiming; Adeleye, Adeyemi S.; Huang, Yuxiong; Zhou, Xuefei; Keller, Arturo A.; Zhang, Yalei",,"Su, Yiming (); Adeleye, Adeyemi S. (); Huang, Yuxiong (); Zhou, Xuefei (); Keller, Arturo A. (); Zhang, Yalei ()",1,0,0,0.27,https://www.nature.com/articles/srep26918.pdf,https://app.dimensions.ai/details/publication/pub.1028176627,0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 06 Biological Sciences; 02 Physical Sciences,0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,06 Biological Sciences,02 Physical Sciences,
55,400,pub.1051031718,10.1038/srep24358,27095387,PMC4837343,Direct Synthesis of Novel and Reactive Sulfide-modified Nano Iron through Nanoparticle Seeding for Improved Cadmium-Contaminated Water Treatment,Scientific Reports,,,2016-04,2016,6,1,24358,All OA; Gold,Article,"Su, Yiming; Adeleye, Adeyemi S.; Huang, Yuxiong; Zhou, Xuefei; Keller, Arturo A.; Zhang, Yalei","Keller, Arturo A.","Su, Yiming (Tongji University); Adeleye, Adeyemi S. (University of California, Santa Barbara); Huang, Yuxiong (University of California, Santa Barbara); Zhou, Xuefei (Tongji University); Keller, Arturo A. (University of California, Santa Barbara); Zhang, Yalei (Tongji University)",22,17,1.7,5.98,https://www.nature.com/articles/srep24358.pdf,https://app.dimensions.ai/details/publication/pub.1051031718,0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 06 Biological Sciences; 02 Physical Sciences,0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,06 Biological Sciences,02 Physical Sciences,
56,400,pub.1052396907,10.1021/acs.est.5b05011,26751164,,(1)H NMR and GC-MS Based Metabolomics Reveal Defense and Detoxification Mechanism of Cucumber Plant under Nano-Cu Stress.,Environmental Science & Technology,,"Amino Acids; Copper; Cucumis sativus; Gas Chromatography-Mass Spectrometry; Inactivation, Metabolic; Magnetic Resonance Imaging; Magnetic Resonance Spectroscopy; Metabolomics; Metal Nanoparticles; Plant Leaves; Plant Roots",2016-02-16,2016,50,4,2000-10,All OA; Gold,Article,"Zhao, Lijuan; Huang, Yuxiong; Hu, Jerry; Zhou, Hongjun; Adeleye, Adeyemi S; Keller, Arturo A",,"Zhao, Lijuan (University of California, Santa Barbara); Huang, Yuxiong (University of California, Santa Barbara); Hu, Jerry (University of California, Santa Barbara); Zhou, Hongjun (University of California, Santa Barbara); Adeleye, Adeyemi S (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara)",55,38,4.22,15.42,https://pubs.acs.org/doi/pdf/10.1021/acs.est.5b05011,https://app.dimensions.ai/details/publication/pub.1052396907,0703 Crop and Pasture Production; 0601 Biochemistry and Cell Biology; 0607 Plant Biology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0601 Biochemistry and Cell Biology,0607 Plant Biology,06 Biological Sciences,07 Agricultural and Veterinary Sciences
57,400,pub.1046979333,10.1021/acs.est.5b04465,26760055,,Investigating the Energy-Water Usage Efficiency of the Reuse of Treated Municipal Wastewater for Artificial Groundwater Recharge.,Environmental Science & Technology,,"California; Energy-Generating Resources; Groundwater; Waste Disposal, Fluid; Waste Water; Water Purification; Water Supply",2016-02-16,2016,50,4,2044-53,All OA; Gold,Article,"Fournier, Eric D; Keller, Arturo A; Geyer, Roland; Frew, James",,"Fournier, Eric D (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara); Geyer, Roland (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",6,4,0.3,1.42,https://doi.org/10.1021/acs.est.5b04465,https://app.dimensions.ai/details/publication/pub.1046979333,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
58,100,pub.1043796424,10.1016/j.cej.2015.10.105,,,"Engineered nanomaterials for water treatment and remediation: Costs, benefits, and applicability",Chemical Engineering Journal,,,2016-02,2016,286,Philos. Trans. R. Soc. A: Math. Phys. Eng. Sci. 371 2013,640-662,All OA; Gold,Article,"Adeleye, Adeyemi S.; Conway, Jon R.; Garner, Kendra; Huang, Yuxiong; Su, Yiming; Keller, Arturo A.","Keller, Arturo A.","Adeleye, Adeyemi S. (University of California, Santa Barbara); Conway, Jon R. (University of California, Santa Barbara); Garner, Kendra (University of California, Santa Barbara); Huang, Yuxiong (University of California, Santa Barbara); Su, Yiming (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",180,132,,42.52,https://manuscript.elsevier.com/S1385894715015181/pdf/S1385894715015181.pdf,https://app.dimensions.ai/details/publication/pub.1043796424,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
59,100,pub.1007742402,10.1016/j.ecolind.2015.07.012,,,"Quantification of the water, energy and carbon footprints of wastewater treatment plants in China considering a water–energy nexus perspective",Ecological Indicators,,,2016-01,2016,60,,402-409,"All OA; Green, Published",Article,"Gu, Yifan; Dong, Ya-nan; Wang, Hongtao; Keller, Arturo; Xu, Jin; Chiramba, Thomas; Li, Fengting","Li, Fengting","Gu, Yifan (Tongji University); Dong, Ya-nan (Tongji University); Wang, Hongtao (Tongji University); Keller, Arturo (University of California, Santa Barbara); Xu, Jin (Tongji University); Chiramba, Thomas (United Nations Environment Programme); Li, Fengting (Tongji University)",41,31,,,https://escholarship.org/content/qt92b076hm/qt92b076hm.pdf?t=pihpbn,https://app.dimensions.ai/details/publication/pub.1007742402,03 Chemical Sciences; 05 Environmental Sciences; 06 Biological Sciences,03 Chemical Sciences,05 Environmental Sciences,06 Biological Sciences,,
60,100,pub.1034592219,10.1039/c6en00093b,,,GC-TOF-MS based metabolomics and ICP-MS based metallomics of cucumber ( Cucumis sativus ) fruits reveal alteration of metabolites profile and biological pathway disruption induced by nano copper,Environmental Science Nano,,,2016,2016,3,5,1114-1123,"All OA; Green, Published",Article,"Zhao, Lijuan; Huang, Yuxiong; Zhou, Hongjun; Adeleye, Adeyemi S.; Wang, Hongtao; Ortiz, Cruz; Mazer, Susan J.; Keller, Arturo A.",,"Zhao, Lijuan (University of California, Santa Barbara); Huang, Yuxiong (University of California, Santa Barbara); Zhou, Hongjun (University of California, Santa Barbara); Adeleye, Adeyemi S. (University of California, Santa Barbara); Wang, Hongtao (Tongji University); Ortiz, Cruz (University of California, Santa Barbara); Mazer, Susan J. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",25,20,,4.7,https://escholarship.org/content/qt3bw1f36c/qt3bw1f36c.pdf?t=ok16su,https://app.dimensions.ai/details/publication/pub.1034592219,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
61,100,pub.1027590376,10.1039/c6ew00066e,,,Optimization of porous structure of superparamagnetic nanoparticle adsorbents for higher and faster removal of emerging organic contaminants and PAHs,Environmental Science Water Research & Technology,,,2016,2016,2,3,521-528,"All OA; Green, Published",Article,"Huang, Yuxiong; Fulton, Aaron N.; Keller, Arturo A.",,"Huang, Yuxiong (University of California, Santa Barbara); Fulton, Aaron N. (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",6,2,,1.26,https://escholarship.org/content/qt4mx7w1xn/qt4mx7w1xn.pdf?t=o94buk,https://app.dimensions.ai/details/publication/pub.1027590376,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
62,100,pub.1010650858,10.1039/c6en00227g,,,Isothermal titration microcalorimetry to determine the thermodynamics of metal ion removal by magnetic nanoparticle sorbents,Environmental Science Nano,,,2016,2016,3,5,1206-1214,"All OA; Green, Published",Article,"Huang, Yuxiong; Keller, Arturo A.",,"Huang, Yuxiong (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",6,5,,1.25,https://escholarship.org/content/qt3sv9516m/qt3sv9516m.pdf?t=ok16r5,https://app.dimensions.ai/details/publication/pub.1010650858,03 Chemical Sciences; 0302 Inorganic Chemistry; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0302 Inorganic Chemistry,0306 Physical Chemistry (incl. Structural),,
63,400,pub.1055137163,10.1021/acsnano.5b03091,26505090,,Environmental Stresses Increase Photosynthetic Disruption by Metal Oxide Nanomaterials in a Soil-Grown Plant.,ACS Nano,,"Cerium; Copper; Hydroxides; Nanostructures; Photosynthesis; Plants; Soil; Soil Pollutants; Stress, Physiological; Titanium",2015-12-22,2015,9,12,11737-49,"All OA; Green, Accepted & Submitted",Article,"Conway, Jon R; Beaulieu, Arielle L; Beaulieu, Nicole L; Mazer, Susan J; Keller, Arturo A",,"Conway, Jon R (University of California, Santa Barbara; University of California Los Angeles); Beaulieu, Arielle L (University of California Los Angeles; University of California, Santa Barbara); Beaulieu, Nicole L (University of California Los Angeles; University of California, Santa Barbara); Mazer, Susan J (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara; University of California Los Angeles)",40,22,2.69,9.29,https://escholarship.org/content/qt9jj6q9dw/qt9jj6q9dw.pdf?t=o94c04,https://app.dimensions.ai/details/publication/pub.1055137163,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
64,400,pub.1001787129,10.1016/j.cis.2015.07.002,26233495,,Heteroaggregation of nanoparticles with biocolloids and geocolloids,Advances in Colloid and Interface Science,,Animals; Biological Products; Colloids; Humans; Microbiology; Nanoparticles; Organic Chemicals,2015-12,2015,226,Pt A,24-36,"All OA; Green, Published",Article,"Wang, Hongtao; Adeleye, Adeyemi S.; Huang, Yuxiong; Li, Fengting; Keller, Arturo A.","Wang, Hongtao","Wang, Hongtao (Tongji University); Adeleye, Adeyemi S. (University of California, Santa Barbara); Huang, Yuxiong (University of California, Santa Barbara); Li, Fengting (Tongji University); Keller, Arturo A. (University of California, Santa Barbara)",44,29,2.79,8.07,https://escholarship.org/content/qt98x882rd/qt98x882rd.pdf?t=o94c4j,https://app.dimensions.ai/details/publication/pub.1001787129,03 Chemical Sciences; 0301 Analytical Chemistry; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0301 Analytical Chemistry,0306 Physical Chemistry (incl. Structural),,
65,400,pub.1055088097,10.1021/acs.est.5b03285,26444256,,Impacts of Silver Nanoparticles on a Natural Estuarine Plankton Community.,Environmental Science & Technology,,"Animals; Ecosystem; Estuaries; Fluorescence; Heterotrophic Processes; Metal Nanoparticles; Photosynthesis; Phototrophic Processes; Phytoplankton; Pigments, Biological; Plankton; Silver; Zooplankton",2015-11-03,2015,49,21,12968-74,"All OA; Green, Published",Article,"Baptista, Mafalda S; Miller, Robert J; Halewood, Elisa R; Hanna, Shannon K; Almeida, C Marisa R; Vasconcelos, Vitor M; Keller, Arturo A; Lenihan, Hunter S",,"Baptista, Mafalda S (University of Porto); Miller, Robert J (); Halewood, Elisa R (); Hanna, Shannon K (); Almeida, C Marisa R (University of Porto); Vasconcelos, Vitor M (University of Porto); Keller, Arturo A (); Lenihan, Hunter S ()",16,9,0.86,3.51,https://escholarship.org/content/qt5vd862pk/qt5vd862pk.pdf?t=o94c28,https://app.dimensions.ai/details/publication/pub.1055088097,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
66,400,pub.1040883531,10.1016/j.watres.2015.05.023,26001279,,Heteroaggregation of engineered nanoparticles and kaolin clays in aqueous environments,Water Research,,"Adsorption; Algorithms; Aluminum Silicates; Clay; Humic Substances; Hydrogen-Ion Concentration; Kaolin; Kinetics; Metal Nanoparticles; Microscopy, Electron, Scanning; Microscopy, Electron, Transmission; Models, Chemical; Nanoparticles; Osmolar Concentration; Silver; Titanium; Water; Water Pollutants, Chemical",2015-09,2015,80,Environ. Sci. Technol. 47 4 2013,130-138,All OA; Gold,Article,"Wang, Hongtao; Dong, Ya-nan; Zhu, Miao; Li, Xiang; Keller, Arturo A.; Wang, Tao; Li, Fengting","Wang, Hongtao","Wang, Hongtao (Tongji University); Dong, Ya-nan (Tongji University); Zhu, Miao (Tongji University); Li, Xiang (Tongji University); Keller, Arturo A. (University of California, Santa Barbara); Wang, Tao (Tongji University); Li, Fengting (Tongji University)",48,25,3.48,8.76,https://manuscript.elsevier.com/S0043135415300063/pdf/S0043135415300063.pdf,https://app.dimensions.ai/details/publication/pub.1040883531,09 Engineering; 03 Chemical Sciences; 0907 Environmental Engineering; 0306 Physical Chemistry (incl. Structural),09 Engineering,03 Chemical Sciences,0907 Environmental Engineering,0306 Physical Chemistry (incl. Structural),
67,400,pub.1026066773,10.1016/j.watres.2015.05.011,26001282,,EDTA functionalized magnetic nanoparticle sorbents for cadmium and lead contaminated water treatment,Water Research,,"Adsorption; Algorithms; Cadmium; Edetic Acid; Hydrogen-Ion Concentration; Kinetics; Lead; Magnetite Nanoparticles; Metals; Microscopy, Electron, Scanning; Microscopy, Electron, Transmission; Models, Chemical; Reproducibility of Results; Spectroscopy, Fourier Transform Infrared; Temperature; Water Pollutants, Chemical; Water Purification",2015-09,2015,80,J. Nanoparticle Res. 15 1 2013,159-168,"All OA; Green, Published",Article,"Huang, Yuxiong; Keller, Arturo A.","Keller, Arturo A.","Huang, Yuxiong (University of California, Santa Barbara); Keller, Arturo A. (University of California, Santa Barbara)",58,30,2,11.26,https://escholarship.org/content/qt51m29242/qt51m29242.pdf?t=o94c85,https://app.dimensions.ai/details/publication/pub.1026066773,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
68,400,pub.1037525085,10.1016/j.jenvman.2015.03.017,25794964,,Minimizing impacts of land use change on ecosystem services using multi-criteria heuristic analysis,Journal of Environmental Management,,"Algorithms; Biodiversity; Carbon Sequestration; Conservation of Natural Resources; Ecosystem; Heuristics; Humans; Models, Theoretical; Pollination",2015-06,2015,156,Ecosyst. Serv. 5 September 2013,23-30,All OA; Gold,Article,"Keller, Arturo A.; Fournier, Eric; Fox, Jessica","Keller, Arturo A.","Keller, Arturo A. (University of California, Santa Barbara); Fournier, Eric (University of California, Santa Barbara); Fox, Jessica (Electric Power Research Institute)",16,10,0.84,3.72,https://doi.org/10.1016/j.jenvman.2015.03.017,https://app.dimensions.ai/details/publication/pub.1037525085,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
69,100,pub.1049892689,10.1111/jiec.12183,,,Critical Components of Uncertainty Communication in Life Cycle Assessments of Emerging Technologies,Journal of Industrial Ecology,,,2015-06,2015,19,3,468-479,"All OA; Green, Accepted & Submitted",Article,"Gavankar, Sheetal; Anderson, Sarah; Keller, Arturo A.",,"Gavankar, Sheetal (University of California, Santa Barbara); Anderson, Sarah (); Keller, Arturo A. ()",13,7,,7.62,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jiec.12202,https://app.dimensions.ai/details/publication/pub.1049892689,1605 Policy and Administration; 16 Studies in Human Society,1605 Policy and Administration,16 Studies in Human Society,,,
70,400,pub.1004747681,10.1021/acs.est.5b00081,25875138,,Species sensitivity distributions for engineered nanomaterials.,Environmental Science & Technology,,"Ecosystem; Nanostructures; Nanotechnology; Nanotubes, Carbon; Uncertainty",2015-05-05,2015,49,9,5753-9,All OA; Gold,Article,"Garner, Kendra L; Suh, Sangwon; Lenihan, Hunter S; Keller, Arturo A",,"Garner, Kendra L (University of California, Santa Barbara); Suh, Sangwon (University of California, Santa Barbara); Lenihan, Hunter S (University of California, Santa Barbara); Keller, Arturo A (University of California, Santa Barbara)",53,23,5.4,10.85,https://doi.org/10.1021/acs.est.5b00081,https://app.dimensions.ai/details/publication/pub.1004747681,03 Chemical Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0306 Physical Chemistry (incl. Structural),
