,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jonathan M Levine. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1101221087,10.1111/1365-2745.12954,,,How to quantify competitive ability,Journal of Ecology,,,2018-09,2018,106,5,1902-1909,All OA; Gold,Article,"Hart, Simon P.; Freckleton, Robert P.; Levine, Jonathan M.",,"Hart, Simon P. (Swiss Federal Institute of Technology in Zurich); Freckleton, Robert P. (University of Sheffield); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",22,22,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2745.12954,https://app.dimensions.ai/details/publication/pub.1101221087,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
11,500,pub.1100481086,10.1002/ecy.2156,29352466,,Experimental evidence that density dependence strongly influences plant invasions through fragmented landscapes,Ecology,,Demography; Ecosystem; Humans; Introduced Species; Plants; Population Density; Population Dynamics,2018-04,2018,99,4,876-884,Closed,Article,"Williams, Jennifer L.; Levine, Jonathan M.",,"Williams, Jennifer L. (University of British Columbia); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1100481086,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
12,100,pub.1101841441,10.1101/290882,,,Does deterministic coexistence theory matter in a finite world? Insights from serpentine annual plants,bioRxiv,,,2018-03-28,2018,,,290882,"All OA; Green, Published",Preprint,"Schreiber, Sebastian; Levine, Jonathan M.; Godoy, Oscar; Kraft, Nathan; Hart, Simon",,"Schreiber, Sebastian (University of California, Davis); Levine, Jonathan M. (); Godoy, Oscar (); Kraft, Nathan (University of California Los Angeles); Hart, Simon ()",4,4,,,https://www.biorxiv.org/content/biorxiv/early/2018/03/28/290882.full.pdf,https://app.dimensions.ai/details/publication/pub.1101841441,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,500,pub.1092241893,10.1111/gcb.13947,29044944,,Rapid evolution of phenology during range expansion with recent climate change,Global Change Biology,,"Adaptation, Physiological; Climate Change; Demography; Ecosystem; Europe; Flowers; Phenotype; Plant Physiological Phenomena; Plants; Seasons",2018-02,2018,24,2,e534-e544,"All OA; Green, Published",Article,"Lustenhouwer, Nicky; Wilschut, Rutger A.; Williams, Jennifer L.; Putten, Wim H.; Levine, Jonathan M.",,"Lustenhouwer, Nicky (Swiss Federal Institute of Technology in Zurich); Wilschut, Rutger A. (Wageningen University & Research); Williams, Jennifer L. (University of British Columbia); Putten, Wim H. (Wageningen University & Research); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",9,9,,,https://pure.knaw.nl/ws/files/5590703/6376_Lustenhouwer_AM.pdf,https://app.dimensions.ai/details/publication/pub.1092241893,0602 Ecology; 0502 Environmental Science and Management; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0604 Genetics,05 Environmental Sciences,06 Biological Sciences
14,500,pub.1092756123,10.1038/s41559-017-0385-2,29158555,,What genomic data can reveal about eco-evolutionary dynamics,Nature Ecology & Evolution,,Biological Evolution; Ecology; Ecosystem; Genome; Genomics,2018-01,2018,2,1,9-15,"All OA; Green, Accepted & Submitted",Article,"Rudman, Seth M.; Barbour, Matthew A.; Csilléry, Katalin; Gienapp, Phillip; Guillaume, Frederic; Hairston Jr, Nelson G.; Hendry, Andrew P.; Lasky, Jesse R.; Rafajlović, Marina; Räsänen, Katja; Schmidt, Paul S.; Seehausen, Ole; Therkildsen, Nina O.; Turcotte, Martin M.; Levine, Jonathan M.","Rudman, Seth M.","Rudman, Seth M. (University of Pennsylvania); Barbour, Matthew A. (University of Zurich); Csilléry, Katalin (Swiss Federal Institute of Technology in Zurich); Gienapp, Phillip (Netherlands Institute of Ecology); Guillaume, Frederic (University of Zurich); Hairston Jr, Nelson G. (Cornell University); Hendry, Andrew P. (McGill University); Lasky, Jesse R. (Pennsylvania State University); Rafajlović, Marina (University of Gothenburg); Räsänen, Katja (Swiss Federal Institute of Aquatic Science and Technology); Schmidt, Paul S. (University of Pennsylvania); Seehausen, Ole (Swiss Federal Institute of Aquatic Science and Technology; University of Bern); Therkildsen, Nina O. (Cornell University); Turcotte, Martin M. (Swiss Federal Institute of Technology in Zurich; University of Pittsburgh); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",22,22,,,https://pure.knaw.nl/ws/files/5829974/6432_Rudman_Online.pdf,https://app.dimensions.ai/details/publication/pub.1092756123,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
15,100,pub.1092311478,10.1111/geb.12662,,,Trait correlations equalize spread velocity across plant life histories,Global Ecology and Biogeography,,,2017-12,2017,26,12,1398-1407,"All OA; Green, Accepted & Submitted",Article,"Lustenhouwer, Nicky; Moran, Emily V.; Levine, Jonathan M.",,"Lustenhouwer, Nicky (Swiss Federal Institute of Technology in Zurich); Moran, Emily V. (University of California, Merced); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",8,8,,2.73,https://escholarship.org/content/qt1tn571nk/qt1tn571nk.pdf?t=ozgk37,https://app.dimensions.ai/details/publication/pub.1092311478,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
16,500,pub.1091986753,10.1371/journal.pone.0185539,28957402,PMC5619793,Population genetics and adaptation to climate along elevation gradients in invasive Solidago canadensis,PLoS ONE,,"Adaptation, Physiological; Altitude; Chloroplasts; Climate; Flowers; Genetic Variation; Genetics, Population; Geography; Haplotypes; Introduced Species; Microsatellite Repeats; Pollen; Seed Dispersal; Solidago; Switzerland",2017-09-28,2017,12,9,e0185539,All OA; Gold,Article,"Moran, Emily V.; Reid, Andrea; Levine, Jonathan M.",,"Moran, Emily V. (University of California, Merced); Reid, Andrea (Swiss Federal Institute of Technology in Zurich); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",6,6,0.59,2.23,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0185539&type=printable,https://app.dimensions.ai/details/publication/pub.1091986753,0602 Ecology; 0502 Environmental Science and Management; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0604 Genetics,05 Environmental Sciences,06 Biological Sciences
17,500,pub.1090957256,10.1038/s41559-017-0289-1,29046538,,Publisher Correction: The spatial scales of species coexistence,Nature Ecology & Evolution,,,2017-09,2017,1,9,1411-1411,All OA; Gold,Article,"Hart, Simon P.; Usinowicz, Jacob; Levine, Jonathan M.","Hart, Simon P.","Hart, Simon P. (Swiss Federal Institute of Technology in Zurich); Usinowicz, Jacob (Swiss Federal Institute of Technology in Zurich); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",0,0,0,0,https://www.nature.com/articles/s41559-017-0289-1.pdf,https://app.dimensions.ai/details/publication/pub.1090957256,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
18,500,pub.1090829353,10.1038/s41559-017-0230-7,29046584,,The spatial scales of species coexistence,Nature Ecology & Evolution,,Animals; Biodiversity; Conservation of Natural Resources; Ecology; Invertebrates; Plants; Vertebrates,2017-08,2017,1,8,1066-1073,Closed,Article,"Hart, Simon P.; Usinowicz, Jacob; Levine, Jonathan M.","Hart, Simon P.","Hart, Simon P. (Swiss Federal Institute of Technology in Zurich); Usinowicz, Jacob (Swiss Federal Institute of Technology in Zurich); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",26,25,1.67,10.83,,https://app.dimensions.ai/details/publication/pub.1090829353,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
19,100,pub.1084939403,10.1002/ecm.1263,,,A structural approach for understanding multispecies coexistence,Ecological Monographs,,,2017-08,2017,87,3,470-486,"All OA; Green, Published",Article,"Saavedra, Serguei; Rohr, Rudolf P.; Bascompte, Jordi; Godoy, Oscar; Kraft, Nathan J. B.; Levine, Jonathan M.",,"Saavedra, Serguei (Massachusetts Institute of Technology); Rohr, Rudolf P. (University of Fribourg); Bascompte, Jordi (University of Zurich); Godoy, Oscar (Institute of Natural Resources and Agrobiology of Seville); Kraft, Nathan J. B. (University of California Los Angeles); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",45,41,,20.07,https://digital.csic.es/bitstream/10261/160981/1/A_structural_%20approach_understanding_2017.pdf,https://app.dimensions.ai/details/publication/pub.1084939403,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
20,500,pub.1085591924,10.1111/ele.12775,28547799,,The effects of intransitive competition on coexistence,Ecology Letters,,"Ecosystem; Models, Biological",2017-07,2017,20,7,791-800,All OA; Gold,Article,"Gallien, Laure; Zimmermann, Niklaus E.; Levine, Jonathan M.; Adler, Peter B.",,"Gallien, Laure (Swiss Federal Institute for Forest, Snow and Landscape Research; Stellenbosch University); Zimmermann, Niklaus E. (Swiss Federal Institute for Forest, Snow and Landscape Research); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich); Adler, Peter B. (Utah State University)",23,21,1.38,8.96,https://doi.org/10.1111/ele.12775,https://app.dimensions.ai/details/publication/pub.1085591924,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
21,500,pub.1085722158,10.1038/nature22898,28569813,,Beyond pairwise mechanisms of species coexistence in complex communities,Nature,,"Animals; Biodiversity; Biota; Competitive Behavior; Extinction, Biological; Models, Biological",2017-06,2017,546,7656,56-64,"All OA; Green, Accepted & Submitted",Article,"Levine, Jonathan M.; Bascompte, Jordi; Adler, Peter B.; Allesina, Stefano","Levine, Jonathan M.","Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich); Bascompte, Jordi (University of Zurich); Adler, Peter B. (Utah State University); Allesina, Stefano (University of Chicago)",140,122,10.56,54.53,http://www.zora.uzh.ch/id/eprint/145887/8/Levine_Nature_Review_Second_Revision.2_.pdf,https://app.dimensions.ai/details/publication/pub.1085722158,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
22,500,pub.1085766449,10.1098/rspb.2017.0507,28566486,PMC5454268,Ecological drift and the distribution of species diversity,Proceedings of The Royal Society B Biological Sciences,,"Biodiversity; Ecology; Ecosystem; Models, Biological; Plants; Population Dynamics",2017-05-31,2017,284,1855,20170507,All OA; Gold,Article,"Gilbert, Benjamin; Levine, Jonathan M.",,"Gilbert, Benjamin (University of Toronto); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",19,19,1.33,7.4,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2017.0507,https://app.dimensions.ai/details/publication/pub.1085766449,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
23,500,pub.1084011438,10.1002/ecy.1782,28241383,,Intransitivity is infrequent and fails to promote annual plant coexistence without pairwise niche differences,Ecology,,"Ecosystem; Models, Biological; Phenotype; Plants",2017-05,2017,98,5,1193-1200,All OA; Gold,Article,"Godoy, Oscar; Stouffer, Daniel B.; Kraft, Nathan J. B.; Levine, Jonathan M.",,"Godoy, Oscar (Institute of Natural Resources and Agrobiology of Seville); Stouffer, Daniel B. (University of Canterbury); Kraft, Nathan J. B. (University of California Los Angeles); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",32,27,2.37,12.46,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecy.1782,https://app.dimensions.ai/details/publication/pub.1084011438,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
24,400,pub.1053331327,10.1016/j.tree.2016.08.003,27640784,PMC5159619,When Climate Reshuffles Competitors: A Call for Experimental Macroecology,Trends in Ecology & Evolution,,Biota; Climate; Climate Change; Ecology; Plants,2016-11,2016,31,11,831-841,"All OA; Green, Accepted & Submitted",Article,"Alexander, Jake M.; Diez, Jeffrey M.; Hart, Simon P.; Levine, Jonathan M.","Alexander, Jake M.","Alexander, Jake M. (Swiss Federal Institute of Technology in Zurich; University of Lausanne); Diez, Jeffrey M. (Swiss Federal Institute of Technology in Zurich; University of California, Riverside); Hart, Simon P. (Swiss Federal Institute of Technology in Zurich); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",48,38,2.48,11.64,http://europepmc.org/articles/pmc5159619?pdf=render,https://app.dimensions.ai/details/publication/pub.1053331327,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,05 Environmental Sciences,06 Biological Sciences
25,400,pub.1034459099,10.1016/j.tree.2016.07.013,27527257,,Phenotypic Plasticity and Species Coexistence,Trends in Ecology & Evolution,,Ecosystem; Phenotype; Species Specificity,2016-10,2016,31,10,803-813,Closed,Article,"Turcotte, Martin M.; Levine, Jonathan M.","Turcotte, Martin M.","Turcotte, Martin M. (Swiss Federal Institute of Technology in Zurich); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",50,42,3.56,12.97,,https://app.dimensions.ai/details/publication/pub.1034459099,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
26,400,pub.1000979331,10.1111/ele.12618,27250037,,How variation between individuals affects species coexistence,Ecology Letters,,"Adaptation, Physiological; Animals; Competitive Behavior; Ecosystem; Models, Biological; Population Dynamics; Species Specificity",2016-08,2016,19,8,825-838,Closed,Article,"Hart, Simon P.; Schreiber, Sebastian J.; Levine, Jonathan M.",,"Hart, Simon P. (); Schreiber, Sebastian J. (); Levine, Jonathan M. ()",79,68,5.75,20.49,,https://app.dimensions.ai/details/publication/pub.1000979331,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
27,400,pub.1062667848,10.1126/science.aaf6268,27471303,,Rapid evolution accelerates plant population spread in fragmented experimental landscapes,Science,,"Biological Evolution; Genotype; Linear Models; Phenotype; Plant Dispersal; Plants; Selection, Genetic",2016-07-29,2016,353,6298,482-485,All OA; Gold,Article,"Williams, Jennifer L.; Kendall, Bruce E.; Levine, Jonathan M.",,"Williams, Jennifer L. (University of British Columbia); Kendall, Bruce E. (University of California, Santa Barbara); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",60,39,3.81,16.62,https://science.sciencemag.org/content/sci/353/6298/482.full.pdf,https://app.dimensions.ai/details/publication/pub.1062667848,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0604 Genetics; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0604 Genetics,05 Environmental Sciences
28,400,pub.1058867931,10.1086/686685,27322118,,The Influence of Evolution on Population Spread through Patchy Landscapes.,The American Naturalist,,"Climate Change; Demography; Ecosystem; Models, Biological; Plants; Population Dynamics",2016-07,2016,188,1,15-26,Closed,Article,"Williams, Jennifer L; Snyder, Robin E; Levine, Jonathan M",,"Williams, Jennifer L (); Snyder, Robin E (); Levine, Jonathan M ()",18,10,0.49,4.72,,https://app.dimensions.ai/details/publication/pub.1058867931,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
29,300,pub.1033236878,10.1038/nature16862,26700809,,A trail map for trait-based studies,Nature,,Phenotype; Plant Physiological Phenomena; Plants; Trees,2016-01,2016,529,7585,163-164,Closed,Article,"Levine, Jonathan M.","Levine, Jonathan M.","Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",16,14,0.55,4.73,,https://app.dimensions.ai/details/publication/pub.1033236878,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
30,400,pub.1053680222,10.1038/nature14952,26374998,,Novel competitors shape species’ responses to climate change,Nature,,Altitude; Ecosystem; Global Warming; Plant Physiological Phenomena; Switzerland; Temperature,2015-09,2015,525,7570,515-518,Closed,Article,"Alexander, Jake M.; Diez, Jeffrey M.; Levine, Jonathan M.","Alexander, Jake M.","Alexander, Jake M. (Swiss Federal Institute of Technology in Zurich); Diez, Jeffrey M. (University of California, Riverside); Levine, Jonathan M. (Swiss Federal Institute of Technology in Zurich)",178,116,6.04,28.86,,https://app.dimensions.ai/details/publication/pub.1053680222,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
