,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is John Michael Melack. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1103166551,10.1007/s10021-018-0243-3,,,Retention of Nitrogen Following Wildfire in a Chaparral Ecosystem,Ecosystems,,,2018-12,2018,21,8,1608-1622,Closed,Article,"Goodridge, Blair M.; Hanan, Erin J.; Aguilera, Rosana; Wetherley, Erin B.; Chen, Ying-Jung; D’Antonio, Carla M.; Melack, John M.","Goodridge, Blair M.","Goodridge, Blair M. (Columbia University; University of California, Santa Barbara); Hanan, Erin J. (Washington State University; University of California, Santa Barbara); Aguilera, Rosana (University of California, Santa Barbara); Wetherley, Erin B. (University of California, Santa Barbara); Chen, Ying-Jung (University of California, Santa Barbara); D’Antonio, Carla M. (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1103166551,0602 Ecology; 0605 Microbiology; 0503 Soil Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0605 Microbiology,0503 Soil Sciences,05 Environmental Sciences,06 Biological Sciences
11,100,pub.1106013801,10.1029/2017jg004119,,,"Relationships Among Nutrient and Sediment Fluxes, Hydrological Variability, Fire, and Land Cover in Coastal California Catchments",Journal of Geophysical Research Biogeosciences,,,2018-08,2018,123,8,2568-2589,Closed,Article,"Aguilera, Rosana; Melack, John M.",,"Aguilera, Rosana (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1106013801,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
12,100,pub.1104432159,10.1002/lol2.10088,,,Urea as a source of nitrogen to giant kelp (Macrocystis pyrifera),Limnology and Oceanography Letters,,,2018-08,2018,3,4,365-373,All OA; Gold,Article,"Smith, Jason M.; Brzezinski, Mark A.; Melack, John M.; Miller, Robert J.; Reed, Daniel C.",,"Smith, Jason M. (University of California, Santa Barbara); Brzezinski, Mark A. (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara); Miller, Robert J. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara)",3,3,,,https://doi.org/10.1002/lol2.10088,https://app.dimensions.ai/details/publication/pub.1104432159,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
13,500,pub.1101370203,10.1016/j.scitotenv.2018.02.331,29554758,,Influence of plankton metabolism and mixing depth on CO2 dynamics in an Amazon floodplain lake,The Science of The Total Environment,,,2018-07,2018,630,Nature 505 2013,1381-1393,"All OA; Green, Published",Article,"Amaral, João Henrique F.; Borges, Alberto V.; Melack, John M.; Sarmento, Hugo; Barbosa, Pedro M.; Kasper, Daniele; de Melo, Michaela L.; De Fex-Wolf, Daniela; da Silva, Jonismar S.; Forsberg, Bruce R.","Amaral, João Henrique F.","Amaral, João Henrique F. (National Institute of Amazonian Research); Borges, Alberto V. (University of Liège); Melack, John M. (University of California, Santa Barbara); Sarmento, Hugo (Federal University of São Carlos); Barbosa, Pedro M. (Federal University of Rio de Janeiro); Kasper, Daniele (National Institute of Amazonian Research; Federal University of Rio de Janeiro); de Melo, Michaela L. (Federal University of São Carlos); De Fex-Wolf, Daniela (National Institute of Amazonian Research); da Silva, Jonismar S. (National Institute of Amazonian Research); Forsberg, Bruce R. (National Institute of Amazonian Research)",11,11,,,https://orbi.uliege.be/bitstream/2268/221106/1/amaral_et_al_2018.pdf,https://app.dimensions.ai/details/publication/pub.1101370203,09 Engineering; 0602 Ecology; 0699 Other Biological Sciences; 0907 Environmental Engineering; 0607 Plant Biology; 06 Biological Sciences,09 Engineering,0602 Ecology,0699 Other Biological Sciences,0907 Environmental Engineering,0607 Plant Biology
14,100,pub.1104375361,10.1029/2017wr022163,,,Effects of Climate Variability on Snowmelt and Implications for Organic Matter in a High‐Elevation Lake,Water Resources Research,,,2018-07,2018,54,7,4563-4578,"All OA; Green, Published",Article,"Sadro, Steven; Sickman, James O.; Melack, John M.; Skeen, Kevin",,"Sadro, Steven (University of California, Davis); Sickman, James O. (University of California, Riverside); Melack, John M. (University of California, Santa Barbara); Skeen, Kevin (University of California, Riverside)",6,6,,,https://escholarship.org/content/qt2v99233c/qt2v99233c.pdf?t=pdg6ls,https://app.dimensions.ai/details/publication/pub.1104375361,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
15,100,pub.1101041930,10.1016/j.envsoft.2017.11.016,,,A multi-lake comparative analysis of the General Lake Model (GLM): Stress-testing across a global observatory network,Environmental Modelling & Software,,,2018-04,2018,102,Nature 490 2012,274-291,Closed,Article,"Bruce, Louise C.; Frassl, Marieke A.; Arhonditsis, George B.; Gal, Gideon; Hamilton, David P.; Hanson, Paul C.; Hetherington, Amy L.; Melack, John M.; Read, Jordan S.; Rinke, Karsten; Rigosi, Anna; Trolle, Dennis; Winslow, Luke; Adrian, Rita; Ayala, Ana I.; Bocaniov, Serghei A.; Boehrer, Bertram; Boon, Casper; Brookes, Justin D.; Bueche, Thomas; Busch, Brendan D.; Copetti, Diego; Cortés, Alicia; de Eyto, Elvira; Elliott, J. Alex; Gallina, Nicole; Gilboa, Yael; Guyennon, Nicolas; Huang, Lei; Kerimoglu, Onur; Lenters, John D.; MacIntyre, Sally; Makler-Pick, Vardit; McBride, Chris G.; Moreira, Santiago; Özkundakci, Deniz; Pilotti, Marco; Rueda, Francisco J.; Rusak, James A.; Samal, Nihar R.; Schmid, Martin; Shatwell, Tom; Snorthheim, Craig; Soulignac, Frédéric; Valerio, Giulia; van der Linden, Leon; Vetter, Mark; Vinçon-Leite, Brigitte; Wang, Junbo; Weber, Michael; Wickramaratne, Chaturangi; Woolway, R. Iestyn; Yao, Huaxia; Hipsey, Matthew R.","Bruce, Louise C.","Bruce, Louise C. (University of Western Australia); Frassl, Marieke A. (Helmholtz Centre for Environmental Research; University of Konstanz); Arhonditsis, George B. (University of Toronto); Gal, Gideon (Israel Oceanographic and Limnological Research); Hamilton, David P. (University of Waikato); Hanson, Paul C. (University of Wisconsin–Madison); Hetherington, Amy L. (Virginia Tech; Cornell University); Melack, John M. (University of California, Santa Barbara); Read, Jordan S. (United States Geological Survey); Rinke, Karsten (Helmholtz Centre for Environmental Research); Rigosi, Anna (University of Adelaide); Trolle, Dennis (Aarhus University); Winslow, Luke (Rensselaer Polytechnic Institute); Adrian, Rita (Leibniz Institute of Freshwater Ecology and Inland Fisheries); Ayala, Ana I. (University of Granada); Bocaniov, Serghei A. (Helmholtz Centre for Environmental Research; Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research); Boehrer, Bertram (Helmholtz Centre for Environmental Research); Boon, Casper (University of Western Australia); Brookes, Justin D. (University of Adelaide); Bueche, Thomas (Ludwig Maximilian University of Munich); Busch, Brendan D. (University of Western Australia); Copetti, Diego (Water Research Institute); Cortés, Alicia (University of California, Santa Barbara); de Eyto, Elvira (Marine Institute); Elliott, J. Alex (Centre for Ecology and Hydrology); Gallina, Nicole (University of Geneva); Gilboa, Yael (Technion – Israel Institute of Technology); Guyennon, Nicolas (National Research Council); Huang, Lei (Institute of Tibetan Plateau Research); Kerimoglu, Onur (); Lenters, John D. (University of Wisconsin–Madison); MacIntyre, Sally (University of California, Santa Barbara); Makler-Pick, Vardit (Oranim Academic College of Education); McBride, Chris G. (University of Waikato); Moreira, Santiago (); Özkundakci, Deniz (Leibniz Institute of Freshwater Ecology and Inland Fisheries); Pilotti, Marco (University of Brescia); Rueda, Francisco J. (University of Granada); Rusak, James A. (); Samal, Nihar R. (University of New Hampshire); Schmid, Martin (Swiss Federal Institute of Aquatic Science and Technology); Shatwell, Tom (Leibniz Institute of Freshwater Ecology and Inland Fisheries); Snorthheim, Craig (University of Wisconsin–Madison); Soulignac, Frédéric (Paris 12 Val de Marne University); Valerio, Giulia (University of Brescia); van der Linden, Leon (); Vetter, Mark (Karlsruhe University of Applied Sciences); Vinçon-Leite, Brigitte (Paris 12 Val de Marne University); Wang, Junbo (Institute of Tibetan Plateau Research); Weber, Michael (Helmholtz Centre for Environmental Research); Wickramaratne, Chaturangi (University of Adelaide); Woolway, R. Iestyn (University of Reading); Yao, Huaxia (); Hipsey, Matthew R. (University of Western Australia)",14,14,,,,https://app.dimensions.ai/details/publication/pub.1101041930,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
16,100,pub.1100808274,10.1007/s10533-018-0425-2,,,High rates of methane oxidation in an Amazon floodplain lake,Biogeochemistry,,,2018-02,2018,137,3,351-365,Closed,Article,"Barbosa, Pedro M.; Farjalla, Vinicius F.; Melack, John M.; Amaral, João Henrique F.; da Silva, Jonismar S.; Forsberg, Bruce R.","Barbosa, Pedro M.","Barbosa, Pedro M. (Federal University of Rio de Janeiro); Farjalla, Vinicius F. (Federal University of Rio de Janeiro); Melack, John M. (University of California, Santa Barbara); Amaral, João Henrique F. (National Institute of Amazonian Research); da Silva, Jonismar S. (National Institute of Amazonian Research); Forsberg, Bruce R. (National Institute of Amazonian Research)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1100808274,0402 Geochemistry; 0399 Other Chemical Sciences; 03 Chemical Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0402 Geochemistry,0399 Other Chemical Sciences,03 Chemical Sciences,04 Earth Sciences,05 Environmental Sciences
17,100,pub.1100238362,10.1002/2017wr021578,,,Concentration‐Discharge Responses to Storm Events in Coastal California Watersheds,Water Resources Research,,,2018-01,2018,54,1,407-424,Closed,Article,"Aguilera, Rosana; Melack, John M.",,"Aguilera, Rosana (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1100238362,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
18,100,pub.1091502308,10.1002/esp.4247,,,Recent increase of river–floodplain suspended sediment exchange in a reach of the lower Amazon River,Earth Surface Processes and Landforms,,,2018-01,2018,43,1,322-332,All OA; Gold,Article,"Rudorff, Conrado M.; Dunne, Thomas; Melack, John M.",,"Rudorff, Conrado M. (University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara); Melack, John M. (University of California, Santa Barbara)",11,11,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/esp.4247,https://app.dimensions.ai/details/publication/pub.1091502308,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
19,100,pub.1085130467,10.1007/s10750-017-3222-3,,,Regional and seasonal variability in planktonic photosynthesis and planktonic community respiration in Amazon floodplain lakes,Hydrobiologia,,,2017-10,2017,800,1,187-206,Closed,Article,"Forsberg, Bruce R.; Melack, John M.; Richey, Jeffrey E.; Pimentel, Tania P.","Forsberg, Bruce R.","Forsberg, Bruce R. (National Institute of Amazonian Research); Melack, John M. (University of California, Santa Barbara); Richey, Jeffrey E. (University of Washington); Pimentel, Tania P. (National Institute of Amazonian Research)",8,6,,3.12,,https://app.dimensions.ai/details/publication/pub.1085130467,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,100,pub.1091133096,10.1175/jhm-d-17-0108.1,,,Interannual Variation in Hydrologic Budgets in an Amazonian Watershed with a Coupled Subsurface - Land Surface Process Model,Journal of Hydrometeorology,,,2017-09,2017,18,9,2597-2617,Closed,Article,"Niu, Jie; Shen, Chaopeng; Chambers, Jeffrey Q.; Melack, John M.; Riley, William J.",,"Niu, Jie (); Shen, Chaopeng (Pennsylvania State University); Chambers, Jeffrey Q. (Lawrence Berkeley National Laboratory); Melack, John M. (University of California, Santa Barbara); Riley, William J. (Lawrence Berkeley National Laboratory)",8,7,,2.63,,https://app.dimensions.ai/details/publication/pub.1091133096,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
21,500,pub.1091328492,10.1371/journal.pone.0182254,28832638,PMC5568116,The potential impact of new Andean dams on Amazon fluvial ecosystems,PLoS ONE,,Ecosystem; South America,2017-08-23,2017,12,8,e0182254,All OA; Gold,Article,"Forsberg, Bruce R.; Melack, John M.; Dunne, Thomas; Barthem, Ronaldo B.; Goulding, Michael; Paiva, Rodrigo C. D.; Sorribas, Mino V.; Silva, Urbano L.; Weisser, Sabine",,"Forsberg, Bruce R. (National Institute of Amazonian Research); Melack, John M. (University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara); Barthem, Ronaldo B. (Museu Paraense Emílio Goeldi); Goulding, Michael (Wildlife Conservation Society); Paiva, Rodrigo C. D. (Federal University of Rio Grande do Sul); Sorribas, Mino V. (Federal University of Rio Grande do Sul); Silva, Urbano L. (Chico Mendes Institute for Biodiversity Conservation); Weisser, Sabine (University of Konstanz)",35,34,1.17,13.63,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0182254&type=printable,https://app.dimensions.ai/details/publication/pub.1091328492,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
22,100,pub.1083889685,10.1007/978-3-319-49143-1_11,,,Mono Lake: Plankton Dynamics over Three Decades of Meromixis or Monomixis,Ecological Studies,Ecology of Meromictic Lakes,,2017,2017,228,,325-351,Closed,Chapter,"Melack, John M.; Jellison, Robert; MacIntyre, Sally; Hollibaugh, James T.","Melack, John M.","Melack, John M. (University of California, Santa Barbara); Jellison, Robert (University of California, Santa Barbara); MacIntyre, Sally (University of California, Santa Barbara); Hollibaugh, James T. (University of Georgia)",5,3,,1.95,,https://app.dimensions.ai/details/publication/pub.1083889685,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
23,100,pub.1032830950,10.1002/lno.10358,,,"Diffusive methane fluxes from Negro, Solimões and Madeira rivers and fringing lakes in the Amazon basin",Limnology and Oceanography,,,2016-11,2016,61,S1,s221-s237,Closed,Article,"Barbosa, Pedro M.; Melack, John M.; Farjalla, Vinicius F.; Amaral, João Henrique F.; Scofield, Vinicius; Forsberg, Bruce R.",,"Barbosa, Pedro M. (Federal University of Rio de Janeiro); Melack, John M. (University of California, Santa Barbara); Farjalla, Vinicius F. (Federal University of Rio de Janeiro); Amaral, João Henrique F. (); Scofield, Vinicius (Federal University of Rio de Janeiro); Forsberg, Bruce R. ()",16,13,,3.95,,https://app.dimensions.ai/details/publication/pub.1032830950,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
24,100,pub.1042887719,10.1007/s10533-016-0220-x,,,Carbon dioxide outgassing from Amazonian aquatic ecosystems in the Negro River basin,Biogeochemistry,,,2016-08,2016,129,1-2,77-91,Closed,Article,"Scofield, Vinicius; Melack, John M.; Barbosa, Pedro M.; Amaral, João Henrique F.; Forsberg, Bruce R.; Farjalla, Vinicius F.","Scofield, Vinicius","Scofield, Vinicius (Federal University of Rio de Janeiro); Melack, John M. (University of California, Santa Barbara); Barbosa, Pedro M. (Federal University of Rio de Janeiro); Amaral, João Henrique F. (National Institute of Amazonian Research); Forsberg, Bruce R. (National Institute of Amazonian Research); Farjalla, Vinicius F. (Federal University of Rio de Janeiro)",9,7,,2.55,,https://app.dimensions.ai/details/publication/pub.1042887719,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,
25,100,pub.1017062019,10.1007/s10584-016-1640-2,,,Projections of climate change effects on discharge and inundation in the Amazon basin,Climatic Change,,,2016-06,2016,136,3-4,555-570,Closed,Article,"Sorribas, Mino Viana; Paiva, Rodrigo C. D.; Melack, John M.; Bravo, Juan Martin; Jones, Charles; Carvalho, Leila; Beighley, Edward; Forsberg, Bruce; Costa, Marcos Heil","Sorribas, Mino Viana","Sorribas, Mino Viana (Federal University of Rio Grande do Sul); Paiva, Rodrigo C. D. (Federal University of Rio Grande do Sul); Melack, John M. (University of California, Santa Barbara); Bravo, Juan Martin (Federal University of Rio Grande do Sul); Jones, Charles (University of California, Santa Barbara); Carvalho, Leila (University of California, Santa Barbara); Beighley, Edward (Northeastern University); Forsberg, Bruce (National Institute of Amazonian Research); Costa, Marcos Heil (Federal University of Viçosa)",51,36,,12.59,,https://app.dimensions.ai/details/publication/pub.1017062019,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
26,100,pub.1015236463,10.1002/2015wr018086,,,The fan of influence of streams and channel feedbacks to simulated land surface water and carbon dynamics,Water Resources Research,,,2016-02,2016,52,2,880-902,Closed,Article,"Shen, Chaopeng; Riley, William J.; Smithgall, Kurt R.; Melack, John M.; Fang, Kuai",,"Shen, Chaopeng (University of Pennsylvania); Riley, William J. (Lawrence Berkeley National Laboratory); Smithgall, Kurt R. (University of Pennsylvania); Melack, John M. (University of California, Santa Barbara); Fang, Kuai (University of Pennsylvania)",21,11,,8.33,,https://app.dimensions.ai/details/publication/pub.1015236463,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
