,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Max A Moritz. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
11,100,pub.1104216148,10.1029/2018gl077319,,,Effect of Reduced Summer Cloud Shading on Evaporative Demand and Wildfire in Coastal Southern California,Geophysical Research Letters,,,2018-06-16,2018,45,11,5653-5662,Closed,Article,"Williams, A. Park; Gentine, Pierre; Moritz, Max A.; Roberts, Dar A.; Abatzoglou, John T.",,"Williams, A. Park (Lamont-Doherty Earth Observatory); Gentine, Pierre (Columbia University); Moritz, Max A. (University of California, Santa Barbara); Roberts, Dar A. (University of California, Santa Barbara); Abatzoglou, John T. (University of Idaho)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1104216148,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
12,100,pub.1101321969,10.1016/j.landurbplan.2018.02.010,,,Options for reducing house-losses during wildfires without clearing trees and shrubs,Landscape and Urban Planning,,,2018-06,2018,174,Fire Technology 23 1987,10-17,All OA; Gold,Article,"Gibbons, Philip; Gill, A. Malcolm; Shore, Nicholas; Moritz, Max A.; Dovers, Stephen; Cary, Geoffrey J.","Gibbons, Philip","Gibbons, Philip (Australian National University); Gill, A. Malcolm (Australian National University); Shore, Nicholas (Australian National University); Moritz, Max A. (University of California, Santa Barbara); Dovers, Stephen (Australian National University); Cary, Geoffrey J. (Australian National University)",3,3,,,https://doi.org/10.1016/j.landurbplan.2018.02.010,https://app.dimensions.ai/details/publication/pub.1101321969,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
13,200,pub.1086368234,10.1175/bams-d-16-0292.1,,,Defining ecological drought for the 21st century,Bulletin of the American Meteorological Society,,,2017-12,2017,98,12,2543-2550,Closed,Article,"Crausbay, Shelley D.; Ramirez, Aaron R.; Carter, Shawn L.; Cross, Molly S.; Hall, Kimberly R.; Bathke, Deborah J.; Betancourt, Julio L.; Colt, Steve; Cravens, Amanda E.; Dalton, Melinda S.; Dunham, Jason B.; Hay, Lauren E.; Hayes, Michael J.; McEvoy, Jamie; McNutt, Chad A.; Moritz, Max A.; Nislow, Keith H.; Raheem, Nejem; Sanford, Todd",,"Crausbay, Shelley D. (University of California, Santa Barbara); Ramirez, Aaron R. (University of California, Santa Barbara); Carter, Shawn L. (United States Geological Survey); Cross, Molly S. (); Hall, Kimberly R. (The Nature Conservancy); Bathke, Deborah J. (University of Nebraska–Lincoln); Betancourt, Julio L. (United States Geological Survey); Colt, Steve (Alaska Pacific University); Cravens, Amanda E. (United States Geological Survey); Dalton, Melinda S. (); Dunham, Jason B. (United States Geological Survey); Hay, Lauren E. (Denver Federal Center); Hayes, Michael J. (University of Nebraska–Lincoln); McEvoy, Jamie (Montana State University); McNutt, Chad A. (University Corporation for Atmospheric Research); Moritz, Max A. (University of California, Berkeley); Nislow, Keith H. (University of Massachusetts Amherst); Raheem, Nejem (Emerson College); Sanford, Todd ()",34,32,,12.08,,https://app.dimensions.ai/details/publication/pub.1086368234,0201 Astronomical and Space Sciences; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 04 Earth Sciences; 0401 Atmospheric Sciences,0201 Astronomical and Space Sciences,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,04 Earth Sciences,0401 Atmospheric Sciences
14,100,pub.1093094934,10.1002/fee.1734,,,Navigating translational ecology: creating opportunities for scientist participation,Frontiers in Ecology and the Environment,,,2017-12,2017,15,10,578-586,All OA; Gold,Article,"Hallett, Lauren M; Morelli, Toni Lyn; Gerber, Leah R; Moritz, Max A; Schwartz, Mark W; Stephenson, Nathan L; Tank, Jennifer L; Williamson, Matthew A; Woodhouse, Connie A",,"Hallett, Lauren M (University of Oregon); Morelli, Toni Lyn (); Gerber, Leah R (Arizona State University); Moritz, Max A (University of California, Berkeley); Schwartz, Mark W (University of California, Davis); Stephenson, Nathan L (); Tank, Jennifer L (University of Notre Dame); Williamson, Matthew A (University of California, Davis); Woodhouse, Connie A (University of Arizona)",12,8,,13.57,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/fee.1734,https://app.dimensions.ai/details/publication/pub.1093094934,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
15,100,pub.1093089972,10.1002/fee.1733,,,Foundations of translational ecology,Frontiers in Ecology and the Environment,,,2017-12,2017,15,10,541-550,All OA; Gold,Article,"Enquist, Carolyn AF; Jackson, Stephen T; Garfin, Gregg M; Davis, Frank W; Gerber, Leah R; Littell, Jeremy A; Tank, Jennifer L; Terando, Adam J; Wall, Tamara U; Halpern, Benjamin; Hiers, J Kevin; Morelli, Toni Lyn; McNie, Elizabeth; Stephenson, Nathan L; Williamson, Matthew A; Woodhouse, Connie A; Yung, Laurie; Brunson, Mark W; Hall, Kimberly R; Hallett, Lauren M; Lawson, Dawn M; Moritz, Max A; Nydick, Koren; Pairis, Amber; Ray, Andrea J; Regan, Claudia; Safford, Hugh D; Schwartz, Mark W; Shaw, M Rebecca",,"Enquist, Carolyn AF (); Jackson, Stephen T (); Garfin, Gregg M (University of Arizona); Davis, Frank W (University of California, Santa Barbara); Gerber, Leah R (Arizona State University); Littell, Jeremy A (); Tank, Jennifer L (University of Notre Dame); Terando, Adam J (); Wall, Tamara U (); Halpern, Benjamin (University of California, Santa Barbara); Hiers, J Kevin (); Morelli, Toni Lyn (); McNie, Elizabeth (); Stephenson, Nathan L (); Williamson, Matthew A (University of California, Davis); Woodhouse, Connie A (University of Arizona); Yung, Laurie (University of Montana); Brunson, Mark W (Utah State University); Hall, Kimberly R (); Hallett, Lauren M (University of Colorado Boulder); Lawson, Dawn M (); Moritz, Max A (University of California, Berkeley); Nydick, Koren (); Pairis, Amber (); Ray, Andrea J (); Regan, Claudia (); Safford, Hugh D (University of California, Davis); Schwartz, Mark W (University of California, Davis); Shaw, M Rebecca ()",43,39,,19.18,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/fee.1733,https://app.dimensions.ai/details/publication/pub.1093089972,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
16,500,pub.1083845935,10.1111/gcb.13663,28211141,,Potential relocation of climatic environments suggests high rates of climate displacement within the North American protection network,Global Change Biology,,Canada; Climate Change; Conservation of Natural Resources; Ecosystem; Mexico; North America; United States,2017-08,2017,23,8,3219-3230,Closed,Article,"Batllori, Enric; Parisien, Marc‐André; Parks, Sean A.; Moritz, Max A.; Miller, Carol",,"Batllori, Enric (Centre Tecnològic Forestal de Catalunya); Parisien, Marc‐André (Natural Resources Canada); Parks, Sean A. (US Forest Service); Moritz, Max A. (University of California, Berkeley); Miller, Carol (US Forest Service)",14,13,0.74,6.14,,https://app.dimensions.ai/details/publication/pub.1083845935,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
17,100,pub.1091233635,10.1002/ecs2.1906,,,Cumulative effects of fire and drought in Mediterranean ecosystems,Ecosphere,,,2017-08,2017,8,8,e01906,All OA; Gold,Article,"Batllori, Enric; De Cáceres, Miquel; Brotons, Lluís; Ackerly, David D.; Moritz, Max A.; Lloret, Francisco",,"Batllori, Enric (Centre Tecnològic Forestal de Catalunya); De Cáceres, Miquel (Centre Tecnològic Forestal de Catalunya); Brotons, Lluís (Centre Tecnològic Forestal de Catalunya); Ackerly, David D. (University of California, Berkeley); Moritz, Max A. (University of California, Berkeley); Lloret, Francisco ()",11,9,,4.82,https://doi.org/10.1002/ecs2.1906,https://app.dimensions.ai/details/publication/pub.1091233635,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
18,500,pub.1084867315,10.1073/pnas.1617464114,28416662,PMC5422781,Adapt to more wildfire in western North American forests as climate changes,Proceedings of the National Academy of Sciences,,Climate Change; Forests; Humans; North America; Wildfires,2017-05-02,2017,114,18,4582-4590,"All OA; Green, Published",Article,"Schoennagel, Tania; Balch, Jennifer K.; Brenkert-Smith, Hannah; Dennison, Philip E.; Harvey, Brian J.; Krawchuk, Meg A.; Mietkiewicz, Nathan; Morgan, Penelope; Moritz, Max A.; Rasker, Ray; Turner, Monica G.; Whitlock, Cathy",,"Schoennagel, Tania (University of Colorado Boulder); Balch, Jennifer K. (University of Colorado Boulder); Brenkert-Smith, Hannah (University of Colorado Boulder); Dennison, Philip E. (University of Utah); Harvey, Brian J. (University of Washington); Krawchuk, Meg A. (Oregon State University); Mietkiewicz, Nathan (University of Colorado Boulder); Morgan, Penelope (University of Idaho); Moritz, Max A. (University of California, Berkeley); Rasker, Ray (); Turner, Monica G. (University of Wisconsin System); Whitlock, Cathy (Montana State University)",116,108,3.22,50.85,http://europepmc.org/articles/pmc5422781?pdf=render,https://app.dimensions.ai/details/publication/pub.1084867315,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
19,100,pub.1023730932,10.1002/ecs2.1573,,,Shrinking windows of opportunity for oak seedling establishment in southern California mountains,Ecosphere,,,2016-11,2016,7,11,e01573,All OA; Gold,Article,"Davis, Frank W.; Sweet, Lynn C.; Serra‐Diaz, Josep M.; Franklin, Janet; McCullough, Ian; Flint, Alan; Flint, Lorraine; Dingman, John R.; Regan, Helen M.; Syphard, Alexandra D.; Hannah, Lee; Redmond, Kelly; Moritz, Max A.",,"Davis, Frank W. (University of California, Santa Barbara); Sweet, Lynn C. (University of California, Riverside); Serra‐Diaz, Josep M. (Harvard University); Franklin, Janet (Arizona State University); McCullough, Ian (University of California, Santa Barbara); Flint, Alan (); Flint, Lorraine (); Dingman, John R. (); Regan, Helen M. (University of California, Riverside); Syphard, Alexandra D. (); Hannah, Lee (Conservation International); Redmond, Kelly (Desert Research Institute); Moritz, Max A. (University of California, Berkeley)",11,8,,3.2,https://doi.org/10.1002/ecs2.1573,https://app.dimensions.ai/details/publication/pub.1023730932,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
20,200,pub.1002396563,10.1111/ecog.02074,,,Averaged 30 year climate change projections mask opportunities for species establishment,Ecography,,,2016-09,2016,39,9,844-845,"All OA; Green, Published",Article,"Serra‐Diaz, Josep M.; Franklin, Janet; Sweet, Lynn C.; McCullough, Ian M.; Syphard, Alexandra D.; Regan, Helen M.; Flint, Lorraine E.; Flint, Alan L.; Dingman, John R.; Moritz, Max A.; Redmond, Kelly; Hannah, Lee; Davis, Frank W.",,"Serra‐Diaz, Josep M. (Arizona State University; Harvard University); Franklin, Janet (Arizona State University); Sweet, Lynn C. (University of California, Santa Barbara); McCullough, Ian M. (University of California, Santa Barbara); Syphard, Alexandra D. (); Regan, Helen M. (University of California, Riverside); Flint, Lorraine E. (United States Geological Survey); Flint, Alan L. (United States Geological Survey); Dingman, John R. (California Environmental Protection Agency); Moritz, Max A. (University of California, Berkeley); Redmond, Kelly (Desert Research Institute); Hannah, Lee (Conservation International); Davis, Frank W. (University of California, Santa Barbara)",10,3,,2.97,https://escholarship.org/content/qt9d92f5qv/qt9d92f5qv.pdf?t=ogngd0,https://app.dimensions.ai/details/publication/pub.1002396563,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
21,400,pub.1031726738,10.1371/journal.pone.0161805,27575592,PMC5004902,Effect of Tree-to-Shrub Type Conversion in Lower Montane Forests of the Sierra Nevada (USA) on Streamflow,PLoS ONE,,"California; Climate Change; Forests; Models, Theoretical; Plant Physiological Phenomena; Trees; Water Supply",2016-08-30,2016,11,8,e0161805,All OA; Gold,Article,"R., Ryan; Tague, Christina L.; Moritz, Max A.",,"R., Ryan (University of California, Santa Barbara); Tague, Christina L. (University of California, Santa Barbara); Moritz, Max A. (University of California, Berkeley)",11,9,0,2.71,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0161805&type=printable,https://app.dimensions.ai/details/publication/pub.1031726738,0602 Ecology; 0699 Other Biological Sciences; 0406 Physical Geography and Environmental Geoscience; 0705 Forestry Sciences; 04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0699 Other Biological Sciences,0406 Physical Geography and Environmental Geoscience,0705 Forestry Sciences,04 Earth Sciences
22,400,pub.1002327836,10.1098/rstb.2015.0177,27216509,PMC4874414,Global combustion: the connection between fossil fuel and biomass burning emissions (1997–2010),Philosophical Transactions of the Royal Society B Biological Sciences,,Air Pollutants; Biomass; Carbon; Environmental Monitoring; Fires; Fossil Fuels,2016-06-05,2016,371,1696,20150177,All OA; Gold,Article,"Balch, Jennifer K; Nagy, R Chelsea; Archibald, Sally; Bowman, David M J S; Moritz, Max A; Roos, Christopher I; Scott, Andrew C; Williamson, Grant J",,"Balch, Jennifer K (University of Colorado Boulder); Nagy, R Chelsea (University of Colorado Boulder); Archibald, Sally (University of the Witwatersrand); Bowman, David M J S (University of Tasmania); Moritz, Max A (University of California, Berkeley); Roos, Christopher I (Southern Methodist University); Scott, Andrew C (Royal Holloway University of London); Williamson, Grant J (University of Tasmania)",8,4,0.44,,http://rstb.royalsocietypublishing.org/content/371/1696/20150177.full.pdf,https://app.dimensions.ai/details/publication/pub.1002327836,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
23,100,pub.1024840380,10.1007/s10980-015-0318-x,,,High and dry: high elevations disproportionately exposed to regional climate change in Mediterranean-climate landscapes,Landscape Ecology,,,2016-06,2016,31,5,1063-1075,"All OA; Green, Accepted & Submitted",Article,"McCullough, Ian M.; Davis, Frank W.; Dingman, John R.; Flint, Lorraine E.; Flint, Alan L.; Serra-Diaz, Josep M.; Syphard, Alexandra D.; Moritz, Max A.; Hannah, Lee; Franklin, Janet","McCullough, Ian M.","McCullough, Ian M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Dingman, John R. (California Environmental Protection Agency); Flint, Lorraine E. (); Flint, Alan L. (); Serra-Diaz, Josep M. (Harvard University); Syphard, Alexandra D. (); Moritz, Max A. (University of California, Berkeley); Hannah, Lee (Conservation International); Franklin, Janet (Arizona State University)",18,9,,5.73,https://escholarship.org/content/qt7bk1x7rp/qt7bk1x7rp.pdf?t=ogngmp,https://app.dimensions.ai/details/publication/pub.1024840380,0501 Ecological Applications; 05 Environmental Sciences; 0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,0502 Environmental Science and Management,,
24,400,pub.1021629661,10.1371/journal.pone.0153589,27124597,PMC4849771,Incorporating Anthropogenic Influences into Fire Probability Models: Effects of Human Activity and Climate Change on Fire Activity in California,PLoS ONE,,"Anthropology; California; Climate; Climate Change; Disasters; Fires; Human Activities; Humans; Models, Theoretical; Probability",2016-04-28,2016,11,4,e0153589,All OA; Gold,Article,"Mann, Michael L.; Batllori, Enric; Moritz, Max A.; Waller, Eric K.; Berck, Peter; Flint, Alan L.; Flint, Lorraine E.; Dolfi, Emmalee",,"Mann, Michael L. (George Washington University; University of California, Berkeley); Batllori, Enric (Centre for Research on Ecology and Forestry Applications); Moritz, Max A. (University of California, Berkeley); Waller, Eric K. (United States Geological Survey); Berck, Peter (University of California, Berkeley); Flint, Alan L. (); Flint, Lorraine E. (); Dolfi, Emmalee (George Washington University)",44,28,0.86,10.86,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0153589&type=printable,https://app.dimensions.ai/details/publication/pub.1021629661,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
