,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jian Cheng Shi. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
72,100,pub.1086027950,10.3390/rs9060606,,,Atmospheric Effect Analysis and Correction of the Microwave Vegetation Index,Remote Sensing,,,2017-06-14,2017,9,6,606,All OA; Gold,Article,"Ji, Da-Bin; Shi, Jian-Cheng; Letu, Husi; Wang, Tian-Xing; Zhao, Tian-Jie",,"Ji, Da-Bin (); Shi, Jian-Cheng (); Letu, Husi (); Wang, Tian-Xing (); Zhao, Tian-Jie ()",0,0,,0,https://www.mdpi.com/2072-4292/9/6/606/pdf,https://app.dimensions.ai/details/publication/pub.1086027950,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
73,100,pub.1090639331,10.1109/jstars.2017.2720857,,,Special Issue on the 2016 IEEE International Geoscience and Remote Sensing Symposium,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2017-06,2017,10,6,2428-2430,Closed,Article,"Wu, J.; Jin, Y.-Q.; Shi, J.; Guo, H.; Chen, K.-S.",,"Wu, J. (National Space Science Center); Jin, Y.-Q. (Fudan University); Shi, J. (Chinese Academy of Sciences); Guo, H. (Institute of Remote Sensing and Digital Earth); Chen, K.-S. (Chinese Academy of Sciences)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1090639331,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 0801 Artificial Intelligence and Image Processing; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,0801 Artificial Intelligence and Image Processing
74,100,pub.1084203352,10.1109/jstars.2017.2672786,,,Evaluation and Comparison of Daily Rainfall From Latest GPM and TRMM Products Over the Mekong River Basin,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2017-06,2017,10,6,2540-2549,Closed,Article,"Wang, Wei; Lu, Hui; Zhao, Tianjie; Jiang, Lingmei; Shi, Jiancheng",,"Wang, Wei (Ministry of Education of the People's Republic of China; Tsinghua University); Lu, Hui (Ministry of Education of the People's Republic of China; Tsinghua University); Zhao, Tianjie (Chinese Academy of Sciences; Beijing Normal University); Jiang, Lingmei (State Key Laboratory of Remote Sensing Science); Shi, Jiancheng (Chinese Academy of Sciences; Lanzhou University)",22,19,,7.24,,https://app.dimensions.ai/details/publication/pub.1084203352,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
75,200,pub.1086968010,10.1142/9789813209954_0007,,,VPM: AN EXTENDED T-MATRIX METHOD FOR THE ANALYSIS OF SCATTERING FROM DIELECTRIC CYLINDERS WITH FINITE LENGTH,,Electromagnetic Scattering,,2017-05,2017,,,261-302,Closed,Chapter,"DU, YANG; YAN, WENZHE; YANG, CHAO; SHI, J. C.",,"DU, YANG (Zhejiang University); YAN, WENZHE (Zhejiang University); YANG, CHAO (Zhejiang University); SHI, J. C. (Institute of Remote Sensing and Digital Earth)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1086968010,,,,,,
76,100,pub.1083547630,10.1016/j.rse.2017.01.028,,,A total precipitable water retrieval method over land using the combination of passive microwave and optical remote sensing,Remote Sensing of Environment,,,2017-03,2017,191,,313-327,Closed,Article,"Ji, Dabin; Shi, Jiancheng; Xiong, Chuan; Wang, Tianxing; Zhang, Yuhuan","Ji, Dabin","Ji, Dabin (); Shi, Jiancheng (); Xiong, Chuan (); Wang, Tianxing (); Zhang, Yuhuan (Satellite Environment Center)",7,4,,2.66,,https://app.dimensions.ai/details/publication/pub.1083547630,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
77,100,pub.1083824379,10.3390/rs9020155,,,A Parameterized Microwave Emissivity Model for Bare Soil Surfaces,Remote Sensing,,,2017-02-15,2017,9,2,155,All OA; Gold,Article,"Xie, Yanhui; Shi, Jiancheng; Ji, Dabin; Zhong, Jiqin; Fan, Shuiyong",,"Xie, Yanhui (); Shi, Jiancheng (); Ji, Dabin (); Zhong, Jiqin (); Fan, Shuiyong ()",0,0,,0,https://www.mdpi.com/2072-4292/9/2/155/pdf,https://app.dimensions.ai/details/publication/pub.1083824379,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
78,100,pub.1083764249,10.5194/hess-2017-54,,,The Future of Earth Observation in Hydrology,Hydrology and Earth System Sciences Discussions,,,2017-02-09,2017,,,1-55,All OA; Gold,Article,"McCabe, Matthew F.; Rodell, Matthew; Alsdorf, Douglas E.; Miralles, Diego G.; Uijlenhoet, Remko; Wagner, Wolfgang; Lucieer, Arko; Houborg, Rasmus; Verhoest, Niko E. C.; Franz, Trenton E.; Shi, Jiancheng; Gao, Huilin; Wood, Eric F.",,"McCabe, Matthew F. (King Abdullah University of Science and Technology); Rodell, Matthew (Goddard Space Flight Center); Alsdorf, Douglas E. (The Ohio State University); Miralles, Diego G. (Ghent University); Uijlenhoet, Remko (Wageningen University & Research); Wagner, Wolfgang (TU Wien); Lucieer, Arko (University of Tasmania); Houborg, Rasmus (King Abdullah University of Science and Technology); Verhoest, Niko E. C. (Ghent University); Franz, Trenton E. (University of Nebraska–Lincoln); Shi, Jiancheng (); Gao, Huilin (Texas A&M University); Wood, Eric F. (Princeton University)",7,3,,3.08,https://doi.org/10.5194/hess-2017-54,https://app.dimensions.ai/details/publication/pub.1083764249,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
79,100,pub.1051765520,10.3390/rs9010035,,,Rebuilding Long Time Series Global Soil Moisture Products Using the Neural Network Adopting the Microwave Vegetation Index,Remote Sensing,,,2017-01-04,2017,9,1,35,All OA; Gold,Article,"Yao, Panpan; Shi, Jiancheng; Zhao, Tianjie; Lu, Hui; Al-Yaari, Amen",,"Yao, Panpan (); Shi, Jiancheng (); Zhao, Tianjie (); Lu, Hui (Tsinghua University); Al-Yaari, Amen ()",4,3,,1.61,https://www.mdpi.com/2072-4292/9/1/35/pdf,https://app.dimensions.ai/details/publication/pub.1051765520,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
80,100,pub.1061614554,10.1109/tgrs.2016.2606323,,,Full-Wave Simulation and Analysis of Bistatic Scattering and Polarimetric Emissions From Double-Layered Sastrugi Surfaces,IEEE Transactions on Geoscience and Remote Sensing,,,2017-01,2017,55,1,292-307,Closed,Article,"Xu, Peng; Chen, Kun-Shan; Liu, Yu; Shi, Jiancheng; Peng, Chong; Jiang, Rui; Zeng, Jiangyuan",,"Xu, Peng (State Key Laboratory of Remote Sensing Science); Chen, Kun-Shan (State Key Laboratory of Remote Sensing Science); Liu, Yu (State Key Laboratory of Remote Sensing Science); Shi, Jiancheng (State Key Laboratory of Remote Sensing Science); Peng, Chong (Wuhan University); Jiang, Rui (Wuhan University); Zeng, Jiangyuan (State Key Laboratory of Remote Sensing Science)",4,1,,1.87,,https://app.dimensions.ai/details/publication/pub.1061614554,09 Engineering; 0909 Geomatic Engineering; 0906 Electrical and Electronic Engineering; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0906 Electrical and Electronic Engineering,04 Earth Sciences,0404 Geophysics
81,100,pub.1061334388,10.1109/jstars.2016.2596541,,,Estimation of Vegetation Parameters of Water Cloud Model for Global Soil Moisture Retrieval Using Time-Series L-Band Aquarius Observations,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2016-12,2016,9,12,5621-5633,Closed,Article,"Liu, Chenzhou; Shi, Jiancheng",,"Liu, Chenzhou (Henan University of Science and Technology; Chinese Academy of Sciences); Shi, Jiancheng (State Key Laboratory of Remote Sensing Science; Lanzhou University)",5,3,,1.21,,https://app.dimensions.ai/details/publication/pub.1061334388,09 Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering,
82,100,pub.1002753170,10.1007/s11069-016-2542-3,,,Index-based evaluation of vegetation response to meteorological drought in Northern China,Natural Hazards,,,2016-12,2016,84,3,2179-2193,Closed,Article,"Li, Rui; Wang, Jing’ai; Zhao, Tianjie; Shi, Jiancheng","Li, Rui","Li, Rui (Institute of Remote Sensing and Digital Earth); Wang, Jing’ai (Beijing Normal University); Zhao, Tianjie (Institute of Remote Sensing and Digital Earth); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth)",2,2,,0.54,,https://app.dimensions.ai/details/publication/pub.1002753170,17 Psychology and Cognitive Sciences; 0406 Physical Geography and Environmental Geoscience; 1701 Psychology; 04 Earth Sciences; 0401 Atmospheric Sciences,17 Psychology and Cognitive Sciences,0406 Physical Geography and Environmental Geoscience,1701 Psychology,04 Earth Sciences,0401 Atmospheric Sciences
83,100,pub.1061361036,10.1109/lgrs.2016.2582518,,,An Algorithm for Retrieving Soil Moisture Using L-Band H-Polarized Multiangular Brightness Temperature Data,IEEE Geoscience and Remote Sensing Letters,,,2016-09,2016,13,9,1295-1299,Closed,Article,"Cui, Qian; Dong, Xiaolong; Shi, Jiancheng; Zhao, Tianjie; Xiong, Chuan",,"Cui, Qian (National Space Science Center); Dong, Xiaolong (National Space Science Center); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Zhao, Tianjie (Institute of Remote Sensing and Digital Earth); Xiong, Chuan (Institute of Remote Sensing and Digital Earth)",3,2,,1.31,,https://app.dimensions.ai/details/publication/pub.1061361036,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0906 Electrical and Electronic Engineering; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0906 Electrical and Electronic Engineering,0801 Artificial Intelligence and Image Processing
84,100,pub.1094459585,10.1109/piers.2016.7735537,,,The potential of estimating snow depth from QuikScat scatterometer data and snow physical model,,2016 Progress in Electromagnetic Research Symposium (PIERS),,2016-08,2016,,,4096-4096,Closed,Proceeding,"Xiong, Chuan; Shi, Jiancheng; Cui, Yurong",,"Xiong, Chuan (State Key Laboratory of Remote Sensing Science); Shi, Jiancheng (State Key Laboratory of Remote Sensing Science); Cui, Yurong (State Key Laboratory of Remote Sensing Science)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1094459585,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
85,100,pub.1093645265,10.1109/piers.2016.7735540,,,Estimation of snow water equivalent using X-band and Ku-band backscattering,,2016 Progress in Electromagnetic Research Symposium (PIERS),,2016-08,2016,,,4105-4105,Closed,Proceeding,"Cui, Yurong; Xiong, Chuan; Shi, Jiancheng",,"Cui, Yurong (State Key Laboratory of Remote Sensing Science); Xiong, Chuan (State Key Laboratory of Remote Sensing Science); Shi, Jiancheng (State Key Laboratory of Remote Sensing Science)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1093645265,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
86,100,pub.1061614312,10.1109/tgrs.2016.2544379,,,Scattering From Inhomogeneous Dielectric Cylinders With Finite Length,IEEE Transactions on Geoscience and Remote Sensing,,,2016-08,2016,54,8,4555-4569,Closed,Article,"Yang, Chao; Shi, Jiancheng; Liu, Qinhuo; Du, Yang",,"Yang, Chao (Zhejiang University); Shi, Jiancheng (); Liu, Qinhuo (); Du, Yang (Zhejiang University)",8,3,,2.8,,https://app.dimensions.ai/details/publication/pub.1061614312,09 Engineering; 0909 Geomatic Engineering; 0906 Electrical and Electronic Engineering; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0906 Electrical and Electronic Engineering,04 Earth Sciences,0404 Geophysics
87,100,pub.1095791550,10.1109/igarss.2016.7729146,,,Toward a General Method for Detecting Clouds and Shadows in Optical Remote Sensing Imagery,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,585-588,Closed,Proceeding,"Wang, Tianxing; Shi, Jiancheng; Yan, Guangjian; Gao, Bo; Chen, Ling; Ji, Dabin; Xiong, Chuan; Zhao, Tianjie",,"Wang, Tianxing (Institute of Remote Sensing and Digital Earth); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Yan, Guangjian (Beijing Normal University); Gao, Bo (Capital Normal University); Chen, Ling (Beijing Forestry University); Ji, Dabin (Institute of Remote Sensing and Digital Earth); Xiong, Chuan (Institute of Remote Sensing and Digital Earth); Zhao, Tianjie (Institute of Remote Sensing and Digital Earth)",2,2,,0.7,,https://app.dimensions.ai/details/publication/pub.1095791550,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
88,100,pub.1095788486,10.1109/igarss.2016.7730385,,,Relationship Between Vegetation Optical Depth and Effective Optical Depth Using Simulated Data,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,5319-5322,Closed,Proceeding,"Li, Yunqing; Shi, Jiancheng",,"Li, Yunqing (Beijing City University); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1095788486,1005 Communications Technologies; 10 Technology,1005 Communications Technologies,10 Technology,,,
89,100,pub.1095498723,10.1109/igarss.2016.7730384,,,Estimating Optical Depth and Single Scattering Albedo of Short Vegetation Based on the Refined MVI,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,5315-5318,Closed,Proceeding,"Chai, Linna; Shi, Jiancheng; Wu, Fengmin",,"Chai, Linna (Beijing Normal University); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Wu, Fengmin ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1095498723,1005 Communications Technologies; 10 Technology,1005 Communications Technologies,10 Technology,,,
90,100,pub.1095458576,10.1109/igarss.2016.7729556,,,Centi- and Millimeter-Wave Atmospheric Transmittance Estimation and Analysis over China,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,2154-2157,Closed,Proceeding,"Shi, LiJuan; Qiu, Yubao; Shi, JianCheng; Lemmetyinen, Juha",,"Shi, LiJuan (Institute of Remote Sensing and Digital Earth; University of Chinese Academy of Sciences); Qiu, Yubao (Institute of Remote Sensing and Digital Earth); Shi, JianCheng (Institute of Remote Sensing and Digital Earth); Lemmetyinen, Juha (Finnish Meteorological Institute)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1095458576,1005 Communications Technologies; 10 Technology,1005 Communications Technologies,10 Technology,,,
91,100,pub.1095387723,10.1109/igarss.2016.7729889,,,Global Mapping of Landscape Freeze/Thaw State from the Water Cycle Observation Mission (WCOM),,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,3442-3444,Closed,Proceeding,"Zhao, Tianjie; Shi, Jiancheng; Wang, Tianxing; Ji, Dabin; Xiong, Chuan; Hu, Tongxi",,"Zhao, Tianjie (); Shi, Jiancheng (); Wang, Tianxing (); Ji, Dabin (); Xiong, Chuan (); Hu, Tongxi ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1095387723,0503 Soil Sciences; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences,0503 Soil Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,
92,100,pub.1095377640,10.1109/igarss.2016.7730059,,,Comparison of Atmospheric Carbon Dioxide Concentration Based on GOSAT and OCO-2 Observations,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,4071-4073,Closed,Proceeding,"Jing, Yingying; Shi, Jiancheng; Zhang, Peng; Wang, Tianxing; Chen, Lin",,"Jing, Yingying (Institute of Remote Sensing and Digital Earth; China Meteorological Administration); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Zhang, Peng (China Meteorological Administration); Wang, Tianxing (Institute of Remote Sensing and Digital Earth); Chen, Lin (China Meteorological Administration)",1,0,,0.2,,https://app.dimensions.ai/details/publication/pub.1095377640,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
93,100,pub.1095306056,10.1109/igarss.2016.7729887,,,Prelminary Design of Water Cycle Observation Mission (WCOM),,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,3434-3437,Closed,Proceeding,"Dong, Xiaolong; Shi, Jiancheng; Zhang, Shengwei; Liu, Hao; Wang, Zhenzhan; Zhu, Di; Zuo, Lihua; Chen, Changya; Chen, Wen",,"Dong, Xiaolong (National Space Science Center); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Zhang, Shengwei (National Space Science Center); Liu, Hao (National Space Science Center); Wang, Zhenzhan (National Space Science Center); Zhu, Di (National Space Science Center); Zuo, Lihua (); Chen, Changya (); Chen, Wen ()",1,1,,0.36,,https://app.dimensions.ai/details/publication/pub.1095306056,09 Engineering; 10 Technology; 0909 Geomatic Engineering; 1005 Communications Technologies; 0907 Environmental Engineering,09 Engineering,10 Technology,0909 Geomatic Engineering,1005 Communications Technologies,0907 Environmental Engineering
94,100,pub.1095151614,10.1109/igarss.2016.7730274,,,Consideration of Variable Atmospheric Transmissivity in Passive Microwave Snowpack Retrievals Over Tibetan Plateau,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,4882-4885,Closed,Proceeding,"Qiu, Yubao; Lemmetyinen, Juha; Guo, Huadong; Shi, Lijuan; Shi, Jiancheng",,"Qiu, Yubao (Institute of Remote Sensing and Digital Earth); Lemmetyinen, Juha (Finnish Meteorological Institute); Guo, Huadong (Institute of Remote Sensing and Digital Earth); Shi, Lijuan (Institute of Remote Sensing and Digital Earth); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1095151614,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
95,100,pub.1094948613,10.1109/igarss.2016.7729886,,,The Water Cycle Observation Mission (WCOM): Overview,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,3430-3433,Closed,Proceeding,"Shi, Jiancheng; Dong, Xiaolong; Zhao, Tianjie; Du, Yang; Liu, Hao; Wang, Zhenzhan; Zhu, Di; Ji, Dabin; Xiong, Chuan; Jiang, Lingmei",,"Shi, Jiancheng (); Dong, Xiaolong (); Zhao, Tianjie (); Du, Yang (Zhejiang University); Liu, Hao (); Wang, Zhenzhan (); Zhu, Di (); Ji, Dabin (); Xiong, Chuan (); Jiang, Lingmei (Beijing Normal University)",12,11,,4.2,,https://app.dimensions.ai/details/publication/pub.1094948613,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
96,100,pub.1094712776,10.1109/igarss.2016.7729429,,,Evaluation of Errors Induced by Soil Dielectric Models for Soil Moisture Retrieval at L-Band,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,1679-1682,Closed,Proceeding,"Guo, Peng; Shi, Jiancheng; Gao, Bo; Wan, Hong",,"Guo, Peng (Institute of Remote Sensing and Digital Earth); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Gao, Bo (Capital Normal University); Wan, Hong ()",3,3,,0.77,,https://app.dimensions.ai/details/publication/pub.1094712776,09 Engineering; 0503 Soil Sciences; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0907 Environmental Engineering,09 Engineering,0503 Soil Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences
97,100,pub.1094540148,10.1109/igarss.2016.7729949,,,Polarimetric Scattering from Inhomogeneous Dielectric Cylinders of Arbitrary Finite Length,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,3664-3667,Closed,Proceeding,"Yang, Chao; Liu, Qinhuo; Shi, J. C.; Du, Yang",,"Yang, Chao (Zhejiang University); Liu, Qinhuo (Institute of Remote Sensing and Digital Earth); Shi, J. C. (Institute of Remote Sensing and Digital Earth); Du, Yang (Zhejiang University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1094540148,0705 Forestry Sciences; 07 Agricultural and Veterinary Sciences,0705 Forestry Sciences,07 Agricultural and Veterinary Sciences,,,
98,100,pub.1094463684,10.1109/igarss.2016.7729773,,,Constraining the Water Imbalance in a Land Data Assimilation System Through a Recursive Assimilation Scheme,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,2993-2996,Closed,Proceeding,"Lu, Hui; Yang, Kun; Shi, Jiancheng",,"Lu, Hui (Tsinghua University); Yang, Kun (Institute of Tibetan Plateau Research); Shi, Jiancheng (Chinese Academy of Sciences)",1,1,,0.25,,https://app.dimensions.ai/details/publication/pub.1094463684,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
99,100,pub.1094127676,10.1109/igarss.2016.7730929,,,Global Mapping of Snow Water Equivalent with the Water Cycle Observation Mission (WCOM),,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,7396-7399,Closed,Proceeding,"Xiong, Chuan; Shi, Jiancheng; Jiang, Lingmei; Cui, Yurong",,"Xiong, Chuan (Institute of Remote Sensing and Digital Earth); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Jiang, Lingmei (Beijing Normal University); Cui, Yurong (Institute of Remote Sensing and Digital Earth)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1094127676,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
100,100,pub.1093817500,10.1109/igarss.2016.7729891,,,Retrieval of Sea Surface Salinity Under the WCOM Mission,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,3448-3450,Closed,Proceeding,"Du, Yang; Shi, J. C.; Yin, Xiaobin; Xu, Yongsheng",,"Du, Yang (Zhejiang University); Shi, J. C. (Institute of Remote Sensing and Digital Earth); Yin, Xiaobin (National Space Science Center); Xu, Yongsheng (Chinese Academy of Sciences)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1093817500,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0405 Oceanography,,
101,100,pub.1093789387,10.1109/igarss.2016.7729490,,,Polarimetric Simulations of Bistatic Scattering from Sea Surfaces with 5m/s Wind Speed at L Band,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,1905-1908,Closed,Proceeding,"Yang, Jingsong; Du, Yang; Shi, Jiancheng; Li, Dejun",,"Yang, Jingsong (Second Institute of Oceanography); Du, Yang (Zhejiang University); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Li, Dejun (Zhejiang University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1093789387,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
102,100,pub.1093777943,10.1109/igarss.2016.7730284,,,Detection of Terrestrial Snowmelt of China Based on Quikscat,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,4921-4923,Closed,Proceeding,"Cui, Yurong; Xiong, Chuan; Shi, Jiancheng; Jiang, Lingmei; Peng, Bin; Hu, Tongxi",,"Cui, Yurong (Institute of Remote Sensing and Digital Earth); Xiong, Chuan (Institute of Remote Sensing and Digital Earth); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Jiang, Lingmei (Beijing Normal University); Peng, Bin (Institute of Remote Sensing and Digital Earth); Hu, Tongxi (Institute of Remote Sensing and Digital Earth)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1093777943,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
103,100,pub.1093687985,10.1109/igarss.2016.7730085,,,A Total Precipitable Water Retrieval Algorithm Over Land Using AMSR2,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,4165-4167,Closed,Proceeding,"Ji, Dubin; Shi, Jiancheng; Xiong, Chuan; Wang, Tianxing; Zhao, Tianjie",,"Ji, Dubin (); Shi, Jiancheng (); Xiong, Chuan (); Wang, Tianxing (); Zhao, Tianjie ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1093687985,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
104,100,pub.1093605784,10.1109/igarss.2016.7730055,,,Sensitivity Study of Infrared Difference Dust Index by Using MODTRAN,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,4055-4058,Closed,Proceeding,"Jing, Yingying; Zhang, Peng; Chen, Lin; Shi, Jiancheng; Wang, Tianxing",,"Jing, Yingying (China Meteorological Administration; Institute of Remote Sensing and Digital Earth); Zhang, Peng (China Meteorological Administration); Chen, Lin (China Meteorological Administration); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Wang, Tianxing (Institute of Remote Sensing and Digital Earth)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1093605784,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
105,100,pub.1093589207,10.1109/igarss.2016.7729893,,,Estimating Snow Water Equivalent with Backscattering at X and Ku Bands,,2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2016-07,2016,,,3454-3457,Closed,Proceeding,"Cui, Yurong; Xiong, Chuan; Shi, Jiancheng; Jiang, Lingmei; Peng, Bin; Ji, Dabin; Zhao, Tianjie",,"Cui, Yurong (Institute of Remote Sensing and Digital Earth); Xiong, Chuan (Institute of Remote Sensing and Digital Earth); Shi, Jiancheng (Institute of Remote Sensing and Digital Earth); Jiang, Lingmei (Beijing Normal University); Peng, Bin (Institute of Remote Sensing and Digital Earth); Ji, Dabin (Institute of Remote Sensing and Digital Earth); Zhao, Tianjie (Institute of Remote Sensing and Digital Earth)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1093589207,02 Physical Sciences; 0299 Other Physical Sciences,02 Physical Sciences,0299 Other Physical Sciences,,,
