,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jenifer E Dugan. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1110152105,10.1007/978-3-319-99025-5_2,,,"Invisible Landscapes: Perception, Heritage, and Coastal Change in Southern California",Ethnobiology,Coastal Heritage and Cultural Resilience,,2018,2018,,,23-38,Closed,Chapter,"Guerrini, Anita; Burnette, Donald R.; Dugan, Jenifer E.","Guerrini, Anita","Guerrini, Anita (Oregon State University); Burnette, Donald R. (); Dugan, Jenifer E. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1110152105,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
11,500,pub.1085594585,10.1002/ece3.3064,28690811,PMC5496535,Local scale processes drive long‐term change in biodiversity of sandy beach ecosystems,Ecology and Evolution,,,2017-07,2017,7,13,4822-4834,All OA; Gold,Article,"Schooler, Nicholas K.; Dugan, Jenifer E.; Hubbard, David M.; Straughan, Dale",,"Schooler, Nicholas K. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara); Straughan, Dale (University of California, Santa Barbara)",10,10,0.21,3.89,https://doi.org/10.1002/ece3.3064,https://app.dimensions.ai/details/publication/pub.1085594585,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
12,500,pub.1085217423,10.1371/journal.pone.0177116,28481897,PMC5421805,Macroscale patterns in body size of intertidal crustaceans provide insights on climate change effects,PLoS ONE,,Animals; Body Size; Climate Change; Crustacea,2017-05-08,2017,12,5,e0177116,All OA; Gold,Article,"Jaramillo, Eduardo; Dugan, Jenifer E.; Hubbard, David M.; Contreras, Heraldo; Duarte, Cristian; Acuña, Emilio; Schoeman, David S.",,"Jaramillo, Eduardo (Austral University of Chile); Dugan, Jenifer E. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara); Contreras, Heraldo (Instituto de Fomento Pesquero); Duarte, Cristian (Andrés Bello University); Acuña, Emilio (Austral University of Chile); Schoeman, David S. (University of the Sunshine Coast; Nelson Mandela University)",3,2,0.31,1.17,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0177116&type=printable,https://app.dimensions.ai/details/publication/pub.1085217423,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,100,pub.1029723829,10.1002/ecs2.1503,,,Ecosystem connectivity and trophic subsidies of sandy beaches,Ecosphere,,,2016-10,2016,7,10,e01503,All OA; Gold,Article,"Liebowitz, Dina M.; Nielsen, Karina J.; Dugan, Jenifer E.; Morgan, Steven G.; Malone, Daniel P.; Largier, John L.; Hubbard, David M.; Carr, Mark H.",,"Liebowitz, Dina M. (University of Arizona); Nielsen, Karina J. (San Francisco State University); Dugan, Jenifer E. (University of California, Santa Barbara); Morgan, Steven G. (University of California, Davis); Malone, Daniel P. (University of Arizona); Largier, John L. (University of California, Davis); Hubbard, David M. (University of California, Santa Barbara); Carr, Mark H. (University of Arizona)",8,6,,2.33,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1503,https://app.dimensions.ai/details/publication/pub.1029723829,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
14,100,pub.1012034418,10.1007/s00227-016-2985-9,,,Scavenger and burrowing features of Hippa pacifica (Dana 1852) on a range of tropical sandy beaches,Marine Biology,,,2016-10,2016,163,10,212,Closed,Article,"Lastra, M.; López, J.; Troncoso, J.; Hubbard, D. M.; Dugan, J. E.","Lastra, M.","Lastra, M. (University of Vigo); López, J. (University of Vigo); Troncoso, J. (University of Vigo); Hubbard, D. M. (University of California, Santa Barbara); Dugan, J. E. (University of California, Santa Barbara)",1,1,,0.26,,https://app.dimensions.ai/details/publication/pub.1012034418,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,400,pub.1021012868,10.1371/journal.pone.0152261,27031827,PMC4816305,The Effects of Anthropogenic Structures on Habitat Connectivity and the Potential Spread of Non-Native Invertebrate Species in the Offshore Environment,PLoS ONE,,"Animal Distribution; Animals; Bryozoa; Computer Simulation; Ecosystem; Introduced Species; Larva; Models, Biological; Plankton",2016-03-31,2016,11,3,e0152261,All OA; Gold,Article,"Simons, Rachel D.; Page, Henry M.; Zaleski, Susan; Miller, Robert; Dugan, Jenifer E.; Schroeder, Donna M.; Doheny, Brandon",,"Simons, Rachel D. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara); Zaleski, Susan (Bureau of Ocean Energy Management); Miller, Robert (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Schroeder, Donna M. (Bureau of Ocean Energy Management); Doheny, Brandon (University of California, Santa Barbara)",9,7,0.58,2.62,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0152261&type=printable,https://app.dimensions.ai/details/publication/pub.1021012868,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
16,400,pub.1033395099,10.1371/journal.pone.0124334,25946057,PMC4422612,Responses of Dune Plant Communities to Continental Uplift from a Major Earthquake: Sudden Releases from Coastal Squeeze,PLoS ONE,,Biodiversity; Biomass; Earthquakes; Plant Physiological Phenomena; Tidal Waves,2015-05-06,2015,10,5,e0124334,All OA; Gold,Article,"Rodil, Iván F.; Jaramillo, Eduardo; Hubbard, David M.; Dugan, Jenifer E.; Melnick, Daniel; Velasquez, Carlos",,"Rodil, Iván F. (University of Porto); Jaramillo, Eduardo (Austral University of Chile); Hubbard, David M. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Melnick, Daniel (University of Potsdam); Velasquez, Carlos (Austral University of Chile)",5,3,0,1.1,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0124334&type=printable,https://app.dimensions.ai/details/publication/pub.1033395099,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
17,400,pub.1020606915,10.1016/j.jenvman.2014.05.036,25014753,,"Metrics to assess ecological condition, change, and impacts in sandy beach ecosystems",Journal of Environmental Management,,"Bathing Beaches; Conservation of Natural Resources; Ecosystem; Environmental Monitoring; Models, Biological",2014-11,2014,144,,322-335,Closed,Article,"Schlacher, Thomas A.; Schoeman, David S.; Jones, Alan R.; Dugan, Jenifer E.; Hubbard, David M.; Defeo, Omar; Peterson, Charles H.; Weston, Michael A.; Maslo, Brooke; Olds, Andrew D.; Scapini, Felicita; Nel, Ronel; Harris, Linda R.; Lucrezi, Serena; Lastra, Mariano; Huijbers, Chantal M.; Connolly, Rod M.","Schlacher, Thomas A.","Schlacher, Thomas A. (University of the Sunshine Coast); Schoeman, David S. (University of the Sunshine Coast); Jones, Alan R. (Australian Museum); Dugan, Jenifer E. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara); Defeo, Omar (); Peterson, Charles H. (University of North Carolina System); Weston, Michael A. (Deakin University); Maslo, Brooke (Rutgers, The State University of New Jersey); Olds, Andrew D. (University of the Sunshine Coast); Scapini, Felicita (University of Florence); Nel, Ronel (Nelson Mandela University); Harris, Linda R. (Nelson Mandela University); Lucrezi, Serena (North-West University); Lastra, Mariano (University of Vigo); Huijbers, Chantal M. (Griffith University); Connolly, Rod M. (Griffith University)",45,16,1.11,8.31,,https://app.dimensions.ai/details/publication/pub.1020606915,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
18,100,pub.1048424690,10.1016/j.ecss.2013.06.017,,,Local extirpations and regional declines of endemic upper beach invertebrates in southern California,Estuarine Coastal and Shelf Science,,,2014-10,2014,150,,67-75,Closed,Article,"Hubbard, D.M.; Dugan, J.E.; Schooler, N.K.; Viola, S.M.","Hubbard, D.M.","Hubbard, D.M. (University of California, Santa Barbara); Dugan, J.E. (University of California, Santa Barbara); Schooler, N.K. (University of California, Santa Barbara); Viola, S.M. (University of California, Santa Barbara)",27,9,,4.99,,https://app.dimensions.ai/details/publication/pub.1048424690,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
19,100,pub.1037457307,10.1016/j.ecss.2013.09.003,,,Burrowing inhibition by fine textured beach fill: Implications for recovery of beach ecosystems,Estuarine Coastal and Shelf Science,,,2014-10,2014,150,,142-148,Closed,Article,"Viola, Sloane M.; Hubbard, David M.; Dugan, Jenifer E.; Schooler, Nicholas K.","Viola, Sloane M.","Viola, Sloane M. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Schooler, Nicholas K. (University of California, Santa Barbara)",13,4,,2.4,,https://app.dimensions.ai/details/publication/pub.1037457307,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
20,100,pub.1012784796,10.1016/j.ecss.2013.10.016,,,Detecting change in intertidal species richness on sandy beaches: calibrating across sampling designs,Estuarine Coastal and Shelf Science,,,2014-10,2014,150,,58-66,Closed,Article,"Schooler, Nicholas K.; Dugan, Jenifer E.; Hubbard, David M.","Schooler, Nicholas K.","Schooler, Nicholas K. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara)",8,2,,1.48,,https://app.dimensions.ai/details/publication/pub.1012784796,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
21,100,pub.1017045871,10.1016/j.geomorph.2013.04.043,,,Beyond beach width: Steps toward identifying and integrating ecological envelopes with geomorphic features and datums for sandy beach ecosystems,Geomorphology,,,2013-10,2013,199,,95-105,Closed,Article,"Dugan, Jenifer E.; Hubbard, David M.; Quigley, Brenna J.","Dugan, Jenifer E.","Dugan, Jenifer E. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara); Quigley, Brenna J. (University of California, Santa Barbara)",21,7,,3.15,,https://app.dimensions.ai/details/publication/pub.1017045871,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
22,200,pub.1073068225,10.5670/oceanog.2013.53,,,Multiple Sources and Forms of Nitrogen Sustain Year-Round Kelp Growth on the Inner Continental Shelf of the Santa Barbara Channel,Oceanography,,,2013-09-01,2013,26,3,114-123,All OA; Gold,Article,"Brzezinksi, Mark; Reed, Daniel; Harrer, Shannon; Rassweiler, Andrew; Melack, John; Goodridge, Blair; Dugan, Jenifer",,"Brzezinksi, Mark (); Reed, Daniel (); Harrer, Shannon (); Rassweiler, Andrew (); Melack, John (); Goodridge, Blair (); Dugan, Jenifer ()",19,6,,2.31,https://tos.org/oceanography/assets/docs/26-3_brzezinski.pdf,https://app.dimensions.ai/details/publication/pub.1073068225,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
23,100,pub.1007569765,10.1676/12-141.1,,,"Novel Foraging in the Swash Zone on Pacific Sand Crabs (Emerita analoga, Hippidae) by Mallards",The Wilson Journal of Ornithology,,,2013-06,2013,125,2,423-426,Closed,Article,"Lafferty, Kevin D.; McLaughlin, John P.; Dugan, Jenifer E.",,"Lafferty, Kevin D. (University of California, Santa Barbara); McLaughlin, John P. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara)",4,1,,0.57,,https://app.dimensions.ai/details/publication/pub.1007569765,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
24,100,pub.1037928861,10.1017/cbo9781139137089.004,,,Open-coast sandy beaches and coastal dunes,,Coastal Conservation,,2013,2013,,,37-94,Closed,Chapter,"Schlacher, Thomas A.; Jones, Alan R.; Dugan, Jenifer E.; Weston, Michael A.; Harris, Linda; Schoeman, David S.; Hubbard, David M.; Scapini, Felicita; Nel, Ronel; Lastra, Mariano; McLachlan, Anton; Peterson, Charles H.",,"Schlacher, Thomas A. (); Jones, Alan R. (); Dugan, Jenifer E. (); Weston, Michael A. (); Harris, Linda (); Schoeman, David S. (); Hubbard, David M. (); Scapini, Felicita (); Nel, Ronel (); Lastra, Mariano (); McLachlan, Anton (); Peterson, Charles H. ()",25,8,,4.41,,https://app.dimensions.ai/details/publication/pub.1037928861,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
25,200,pub.1008465046,10.1649/072.066.0404,,,"First Host Record for the Parasitoid Rove Beetle Aleochara sulcicollis Mannerheim, 1843 (Coleoptera: Staphylinidae) on the Intertidal Kelp Fly, Fucellia Rufitibia Stein, 1910 (Diptera: Anthomyiidae)",The Coleopterists Bulletin,,,2012-12,2012,66,4,315-318,Closed,Article,"Schooler, Nicholas K.; Dugan, Jenifer E.; Page, Henry M.",,"Schooler, Nicholas K. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara)",2,2,,0.43,,https://app.dimensions.ai/details/publication/pub.1008465046,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
26,400,pub.1030571022,10.1371/journal.pone.0035348,22567101,PMC3342270,Ecological Implications of Extreme Events: Footprints of the 2010 Earthquake along the Chilean Coast,PLoS ONE,,Chile; Earthquakes; Ecology; Ecosystem; Environmental Monitoring; Seawater,2012-05-02,2012,7,5,e35348,All OA; Gold,Article,"Jaramillo, Eduardo; Dugan, Jenifer E.; Hubbard, David M.; Melnick, Daniel; Manzano, Mario; Duarte, Cristian; Campos, Cesar; Sanchez, Roland",,"Jaramillo, Eduardo (Austral University of Chile); Dugan, Jenifer E. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara); Melnick, Daniel (University of Potsdam); Manzano, Mario (Austral University of Chile); Duarte, Cristian (Austral University of Chile); Campos, Cesar (Austral University of Chile); Sanchez, Roland (Austral University of Chile)",79,20,0.96,12.19,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0035348&type=printable,https://app.dimensions.ai/details/publication/pub.1030571022,0602 Ecology; 0502 Environmental Science and Management; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences
27,100,pub.1041552492,10.1016/j.geomorph.2011.12.023,,,Beach response dynamics of a littoral cell using a 17-year single-point time series of sand thickness,Geomorphology,,,2012-02,2012,139,,588-598,Closed,Article,"Barnard, Patrick L.; Hubbard, David M.; Dugan, Jenifer E.","Barnard, Patrick L.","Barnard, Patrick L. (); Hubbard, David M. (University of California, Santa Barbara); Dugan, Jenifer E. (University of California, Santa Barbara)",22,7,,3.82,,https://app.dimensions.ai/details/publication/pub.1041552492,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
28,100,pub.1006027460,10.1111/j.1365-2699.2011.02499.x,,,"Phylogeography of Emerita analoga (Crustacea, Decapoda, Hippidae), an eastern Pacific Ocean sand crab with long‐lived pelagic larvae",Journal of Biogeography,,,2011-08,2011,38,8,1600-1612,Closed,Article,"Dawson, Michael N; Barber, Paul H.; González‐Guzmán, Laura I.; Toonen, Robert J.; Dugan, Jenifer E.; Grosberg, Richard K.",,"Dawson, Michael N (University of California, Davis; University of California, Merced); Barber, Paul H. (University of California Los Angeles); González‐Guzmán, Laura I. (The University of Texas at Austin); Toonen, Robert J. (University of Hawaii at Manoa); Dugan, Jenifer E. (University of California, Santa Barbara); Grosberg, Richard K. (University of California, Davis)",19,3,,1.82,,https://app.dimensions.ai/details/publication/pub.1006027460,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
29,100,pub.1043722283,10.2112/jcoastres-d-09-00179.1,,,Physical and Ecological Responses of Sandy Beaches to the 199798 El Niño,Journal of Coastal Research,,,2011-07-01,2011,27,4,718-730,Closed,Article,"Revell, David L.; Dugan, Jenifer E.; Hubbard, David M.",,"Revell, David L. (University of California, Santa Cruz); Dugan, Jenifer E. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara)",23,6,,,,https://app.dimensions.ai/details/publication/pub.1043722283,09 Engineering; 04 Earth Sciences,09 Engineering,04 Earth Sciences,,,
30,100,pub.1036038772,10.1007/s12237-011-9375-9,,,Marine Macrophyte Wrack Inputs and Dissolved Nutrients in Beach Sands,Chesapeake Science,,,2011-07,2011,34,4,839-850,All OA; Gold,Article,"Dugan, Jenifer E.; Hubbard, David M.; Page, Henry M.; Schimel, Joshua P.","Dugan, Jenifer E.","Dugan, Jenifer E. (University of California, Santa Barbara); Hubbard, David M. (University of California, Santa Barbara); Page, Henry M. (University of California, Santa Barbara); Schimel, Joshua P. (University of California, Santa Barbara)",56,15,,,https://link.springer.com/content/pdf/10.1007%2Fs12237-011-9375-9.pdf,https://app.dimensions.ai/details/publication/pub.1036038772,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
