,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Tom W Bell. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1084523900,10.1016/j.biocon.2017.03.014,,,Disentangling the effects of fishing and environmental forcing on demographic variation in an exploited species,Biological Conservation,,,2017-05,2017,209,Ecol. Appl. 8 1998,488-498,Closed,Article,"Teck, Sarah J.; Lorda, Julio; Shears, Nick T.; Bell, Tom W.; Cornejo-Donoso, Jorge; Caselle, Jennifer E.; Hamilton, Scott L.; Gaines, Steven D.","Teck, Sarah J.","Teck, Sarah J. (University of California, Santa Barbara); Lorda, Julio (Autonomous University of Baja California); Shears, Nick T. (University of Auckland); Bell, Tom W. (University of California, Santa Barbara); Cornejo-Donoso, Jorge (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara); Hamilton, Scott L. (California State University Los Angeles); Gaines, Steven D. (University of California, Santa Barbara)",3,3,,1.17,,https://app.dimensions.ai/details/publication/pub.1084523900,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
11,500,pub.1017712879,10.1002/eap.1446,28207172,,Drivers of redistribution of fishing and non‐fishing effort after the implementation of a marine protected area network,Ecological Applications,,Biodiversity; California; Conservation of Natural Resources; Fisheries; Human Activities,2017-03,2017,27,2,416-428,"All OA; Green, Published",Article,"Cabral, Reniel B.; Gaines, Steven D.; Johnson, Brett A.; Bell, Tom W.; White, Crow",,"Cabral, Reniel B. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Johnson, Brett A. (California Polytechnic State University); Bell, Tom W. (University of California, Santa Barbara); White, Crow (California Polytechnic State University)",10,8,0.59,4.16,https://digitalcommons.calpoly.edu/cgi/viewcontent.cgi?article=1474&context=bio_fac,https://app.dimensions.ai/details/publication/pub.1017712879,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
12,100,pub.1026343684,10.1002/lno.10458,,,Regional productivity predicts individual growth and recruitment of rockfishes in a northern California upwelling system,Limnology and Oceanography,,,2017-03,2017,62,2,754-767,"All OA; Green, Accepted & Submitted",Article,"Wheeler, Sarah G.; Anderson, Todd W.; Bell, Tom W.; Morgan, Steven G.; Hobbs, James A.",,"Wheeler, Sarah G. (San Diego State University); Anderson, Todd W. (San Diego State University); Bell, Tom W. (University of California, Santa Barbara); Morgan, Steven G. (); Hobbs, James A. (University of California, Davis)",5,4,,1.95,https://escholarship.org/content/qt21j6c0gc/qt21j6c0gc.pdf?t=oytvjr,https://app.dimensions.ai/details/publication/pub.1026343684,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,500,pub.1079401989,10.1098/rspb.2016.2086,28123088,PMC5310032,Fluctuations in population fecundity drive variation in demographic connectivity and metapopulation dynamics,Proceedings of The Royal Society B Biological Sciences,,"Ecosystem; Fertility; Kelp; Models, Biological; Population Dynamics",2017-01-25,2017,284,1847,20162086,All OA; Gold,Article,"Castorani, Max C N; Reed, Daniel C; Raimondi, Peter T; Alberto, Filipe; Bell, Tom W; Cavanaugh, Kyle C; Siegel, David A; Simons, Rachel D",,"Castorani, Max C N (University of California, Santa Barbara); Reed, Daniel C (University of California, Santa Barbara); Raimondi, Peter T (University of California, Santa Cruz); Alberto, Filipe (University of Wisconsin–Milwaukee); Bell, Tom W (University of California, Santa Barbara); Cavanaugh, Kyle C (University of California Los Angeles); Siegel, David A (University of California, Santa Barbara); Simons, Rachel D (University of California, Santa Barbara)",19,19,1.98,6.48,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2016.2086,https://app.dimensions.ai/details/publication/pub.1079401989,0604 Genetics; 0602 Ecology; 06 Biological Sciences,0604 Genetics,0602 Ecology,06 Biological Sciences,,
14,100,pub.1034004281,10.5194/bg-14-31-2017,,,A year in the life of a central California kelp forest: physical and biological insights into biogeochemical variability,Biogeosciences,,,2017-01-05,2017,14,1,31-44,All OA; Gold,Article,"Koweek, David A.; Nickols, Kerry J.; Leary, Paul R.; Litvin, Steve Y.; Bell, Tom W.; Luthin, Timothy; Lummis, Sarah; Mucciarone, David A.; Dunbar, Robert B.",,"Koweek, David A. (Stanford University; Department of Plant Biology); Nickols, Kerry J. (Stanford University; California State University, Monterey Bay); Leary, Paul R. (Stanford University); Litvin, Steve Y. (Stanford University); Bell, Tom W. (University of California, Santa Barbara); Luthin, Timothy (Stanford University); Lummis, Sarah (Stanford University; University of California, Santa Cruz); Mucciarone, David A. (Stanford University); Dunbar, Robert B. (Stanford University)",10,9,,4.35,https://www.biogeosciences.net/14/31/2017/bg-14-31-2017.pdf,https://app.dimensions.ai/details/publication/pub.1034004281,0501 Ecological Applications; 05 Environmental Sciences; 0602 Ecology; 06 Biological Sciences,0501 Ecological Applications,05 Environmental Sciences,0602 Ecology,06 Biological Sciences,
15,500,pub.1031155833,10.1002/ece3.2637,28116067,PMC5243789,Offshore aquaculture: Spatial planning principles for sustainable development,Ecology and Evolution,,,2017-01,2017,7,2,733-743,All OA; Gold,Article,"Gentry, Rebecca R.; Lester, Sarah E.; Kappel, Carrie V.; White, Crow; Bell, Tom W.; Stevens, Joel; Gaines, Steven D.",,"Gentry, Rebecca R. (University of California, Santa Barbara); Lester, Sarah E. (Florida State University); Kappel, Carrie V. (University of California, Santa Barbara); White, Crow (); Bell, Tom W. (University of California, Santa Barbara); Stevens, Joel (); Gaines, Steven D. (University of California, Santa Barbara)",27,26,0.56,11.42,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.2637,https://app.dimensions.ai/details/publication/pub.1031155833,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
16,400,pub.1000544784,10.1038/ncomms13757,27958273,PMC5159872,Extreme warming challenges sentinel status of kelp forests as indicators of climate change,Nature Communications,,,2016-12,2016,7,1,13757,All OA; Gold,Article,"Reed, Daniel; Washburn, Libe; Rassweiler, Andrew; Miller, Robert; Bell, Tom; Harrer, Shannon","Reed, Daniel","Reed, Daniel (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Rassweiler, Andrew (Florida State University); Miller, Robert (University of California, Santa Barbara); Bell, Tom (University of California, Santa Barbara); Harrer, Shannon (University of California, Santa Barbara)",30,29,1.65,7.74,https://www.nature.com/articles/ncomms13757.pdf,https://app.dimensions.ai/details/publication/pub.1000544784,0602 Ecology; 0405 Oceanography; 0501 Ecological Applications; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0501 Ecological Applications,04 Earth Sciences,05 Environmental Sciences
17,100,pub.1051935285,10.5194/bg-2016-360,,,A year in the life of a central California kelp forest: physical and biological insights into biogeochemical variability,Biogeosciences Discussions,,,2016-08-31,2016,0,,1-30,All OA; Gold,Article,"Koweek, David A.; Nickols, Kerry J.; Leary, Paul R.; Litvin, Steve Y.; Bell, Tom W.; Luthin, Timothy; Lummis, Sarah; Mucciarone, David A.; Dunbar, Robert B.",,"Koweek, David A. (Stanford University; Department of Plant Biology); Nickols, Kerry J. (Stanford University; California State University, Monterey Bay); Leary, Paul R. (Stanford University); Litvin, Steve Y. (Stanford University); Bell, Tom W. (University of California, Santa Barbara); Luthin, Timothy (Stanford University); Lummis, Sarah (Stanford University; University of California, Santa Cruz); Mucciarone, David A. (Stanford University); Dunbar, Robert B. (Stanford University)",1,0,,0.26,https://doi.org/10.5194/bg-2016-360,https://app.dimensions.ai/details/publication/pub.1051935285,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
18,400,pub.1022054691,10.1111/gcb.13222,26780862,,Terrestrial carbon balance in a drier world: the effects of water availability in southwestern North America,Global Change Biology,,Carbon Cycle; Carbon Dioxide; Climate Change; Desert Climate; Droughts; Mexico; Photosynthesis; Seasons; Southwestern United States,2016-05,2016,22,5,1867-1879,"All OA; Green, Published",Article,"Biederman, Joel A; Scott, Russell L; Goulden, Michael L; Vargas, Rodrigo; Litvak, Marcy E; Kolb, Thomas E; Yepez, Enrico A; Oechel, Walter C; Blanken, Peter D; Bell, Tom W; Garatuza-Payan, Jaime; Maurer, Gregory E; Dore, Sabina; Burns, Sean P",,"Biederman, Joel A (Agricultural Research Service); Scott, Russell L (Agricultural Research Service); Goulden, Michael L (University of California, Irvine); Vargas, Rodrigo (University of Delaware); Litvak, Marcy E (University of New Mexico); Kolb, Thomas E (Northern Arizona University); Yepez, Enrico A (Sonora Institute of Technology); Oechel, Walter C (San Diego State University; The Open University); Blanken, Peter D (University of Colorado Boulder); Bell, Tom W (University of California, Santa Barbara); Garatuza-Payan, Jaime (Sonora Institute of Technology); Maurer, Gregory E (University of New Mexico); Dore, Sabina (Northern Arizona University); Burns, Sean P (University of Colorado Boulder; National Center for Atmospheric Research)",59,41,1.5,10.12,https://escholarship.org/content/qt24r9b84d/qt24r9b84d.pdf?t=o7470g,https://app.dimensions.ai/details/publication/pub.1022054691,0699 Other Biological Sciences; 06 Biological Sciences,0699 Other Biological Sciences,06 Biological Sciences,,,
19,100,pub.1030296428,10.1890/15-0267.1,,,Environmental controls on spatial patterns in the long‐term persistence of giant kelp in central California,Ecological Monographs,,,2016-02,2016,86,1,45-60,Closed,Article,"Young, Mary; Cavanaugh, Kyle; Bell, Tom; Raimondi, Pete; Edwards, Christopher A.; Drake, Patrick T.; Erikson, Li; Storlazzi, Curt",,"Young, Mary (University of California, Santa Cruz); Cavanaugh, Kyle (University of California Los Angeles); Bell, Tom (University of California, Santa Barbara); Raimondi, Pete (University of California, Santa Cruz); Edwards, Christopher A. (University of California, Santa Cruz); Drake, Patrick T. (University of California, Santa Cruz); Erikson, Li (United States Geological Survey); Storlazzi, Curt (United States Geological Survey)",4,2,,1.16,,https://app.dimensions.ai/details/publication/pub.1030296428,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
20,100,pub.1023627915,10.1007/s00227-015-2807-5,,,Spatial synchrony of amphipods in giant kelp forests,Marine Biology,,,2016-02,2016,163,2,32,Closed,Article,"Morton, Dana N.; Bell, Tom W.; Anderson, Todd W.","Morton, Dana N.","Morton, Dana N. (San Diego State University; University of California, Santa Barbara); Bell, Tom W. (University of California, Santa Barbara); Anderson, Todd W. (San Diego State University)",3,3,,0.78,,https://app.dimensions.ai/details/publication/pub.1023627915,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
21,400,pub.1009948656,10.1890/15-0283.1,26909421,,Connectivity structures local population dynamics: a long‐term empirical test in a large metapopulation system,Ecology,,"Ecosystem; Environmental Monitoring; Macrocystis; Models, Biological; Population Dynamics; Time Factors",2015-12,2015,96,12,3141-3152,Closed,Article,"Castorani, Max C. N.; Reed, Daniel C.; Alberto, Filipe; Bell, Tom W.; Simons, Rachel D.; Cavanaugh, Kyle C.; Siegel, David A.; Raimondi, Peter T.",,"Castorani, Max C. N. (University of California, Santa Barbara); Reed, Daniel C. (University of California, Santa Barbara); Alberto, Filipe (University of Wisconsin–Milwaukee); Bell, Tom W. (University of California, Santa Barbara); Simons, Rachel D. (University of California, Santa Barbara); Cavanaugh, Kyle C. (University of California Los Angeles); Siegel, David A. (University of California, Santa Barbara); Raimondi, Peter T. (University of California, Santa Cruz)",20,11,0.82,4.38,,https://app.dimensions.ai/details/publication/pub.1009948656,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
22,400,pub.1050201972,10.1111/mec.13371,26339775,,Seascape drivers of Macrocystis pyrifera population genetic structure in the northeast Pacific,Molecular Ecology,,"Alaska; California; Canada; Ecosystem; Gene Flow; Genetics, Population; Genotype; Macrocystis; Mexico; Microsatellite Repeats; Models, Genetic; Pacific Ocean; Phylogeography; Water Movements",2015-10,2015,24,19,4866-4885,Closed,Article,"Johansson, Mattias L.; Alberto, Filipe; Reed, Daniel C.; Raimondi, Peter T.; Coelho, Nelson C.; Young, Mary A.; Drake, Patrick T.; Edwards, Christopher A.; Cavanaugh, Kyle; Assis, Jorge; Ladah, Lydia B.; Bell, Tom W.; Coyer, James A.; Siegel, David A.; Serrão, Ester A.",,"Johansson, Mattias L. (University of Wisconsin–Milwaukee; University of Windsor); Alberto, Filipe (University of Wisconsin–Milwaukee); Reed, Daniel C. (University of California, Santa Barbara); Raimondi, Peter T. (University of California, Santa Cruz); Coelho, Nelson C. (University of Wisconsin–Milwaukee); Young, Mary A. (University of California, Santa Cruz); Drake, Patrick T. (University of California, Santa Cruz); Edwards, Christopher A. (University of California, Santa Cruz); Cavanaugh, Kyle (University of California Los Angeles); Assis, Jorge (University of Algarve); Ladah, Lydia B. (); Bell, Tom W. (University of California, Santa Barbara); Coyer, James A. (Cornell University); Siegel, David A. (University of California, Santa Barbara); Serrão, Ester A. (University of Algarve)",19,13,0.68,3.05,,https://app.dimensions.ai/details/publication/pub.1050201972,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
23,100,pub.1037626384,10.1111/jbi.12550,,,Geographical variability in the controls of giant kelp biomass dynamics,Journal of Biogeography,,,2015-10,2015,42,10,2010-2021,Closed,Article,"Bell, Tom W.; Cavanaugh, Kyle C.; Reed, Daniel C.; Siegel, David A.",,"Bell, Tom W. (University of California, Santa Barbara); Cavanaugh, Kyle C. (University of California Los Angeles); Reed, Daniel C. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara)",42,24,,8.24,,https://app.dimensions.ai/details/publication/pub.1037626384,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
24,100,pub.1018054750,10.1016/j.rse.2015.05.003,,,Remote monitoring of giant kelp biomass and physiological condition: An evaluation of the potential for the Hyperspectral Infrared Imager (HyspIRI) mission,Remote Sensing of Environment,,,2015-09,2015,167,,218-228,Closed,Article,"Bell, Tom W.; Cavanaugh, Kyle C.; Siegel, David A.","Bell, Tom W.","Bell, Tom W. (University of California, Santa Barbara); Cavanaugh, Kyle C. (University of California Los Angeles); Siegel, David A. (University of California, Santa Barbara)",20,14,,4.53,,https://app.dimensions.ai/details/publication/pub.1018054750,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
25,200,pub.1068722198,10.1890/15-0267.1,,,Environmental controls on spatial patterns in the long-term persistence of giant kelp in central California,Ecology,,,2015-08-23,2015,,,150823154921001,Closed,Article,"Young, Mary Alida; Cavanaugh, Kyle C.; Bell, Tom W.; Raimondi, Peter T.; Edwards, Christopher A.; Drake, Patrick T.; Erikson, Li; Storlazzi, Curt",,"Young, Mary Alida (); Cavanaugh, Kyle C. (); Bell, Tom W. (); Raimondi, Peter T. (); Edwards, Christopher A. (); Drake, Patrick T. (); Erikson, Li (); Storlazzi, Curt ()",1,0,,0.24,,https://app.dimensions.ai/details/publication/pub.1068722198,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
26,100,pub.1039230350,10.1111/j.1365-2486.2012.02720.x,,,"Carbon dioxide exchange over multiple temporal scales in an arid shrub ecosystem near La Paz, Baja California Sur, Mexico",Global Change Biology,,,2012-08,2012,18,8,2570-2582,Closed,Article,"Bell, Tom W.; Menzer, Olaf; Troyo‐Diéquez, Enrique; Oechel, Walter C.",,"Bell, Tom W. (San Diego State University; University of California, Santa Barbara); Menzer, Olaf (University of California, Santa Barbara); Troyo‐Diéquez, Enrique (National Council of Science and Technology); Oechel, Walter C. (San Diego State University)",18,2,,2.16,,https://app.dimensions.ai/details/publication/pub.1039230350,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
