,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Erica Fleishman. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1104417175,10.18473/lepi.v72i2.a10,,,"Sugars in Nectar Sources and their Use by Butterflies (Hesperioidea and Papilionoidea) in the Sierra Nevada, California",Journal of the Lepidopterists’ Society,,,2018-06,2018,72,2,165-174,Closed,Article,"Pavlik, David T.; Fleishman, Erica; Wang, Nu; Boswell, Paul; Blair, Robert B.",,"Pavlik, David T. (); Fleishman, Erica (University of California, Davis); Wang, Nu (University of California, Davis; University of Minnesota); Boswell, Paul (University of California, Davis; University of Minnesota); Blair, Robert B. ()",1,1,,,,https://app.dimensions.ai/details/publication/pub.1104417175,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
11,500,pub.1095860792,10.1016/j.tree.2017.11.006,29217396,,A 2018 Horizon Scan of Emerging Issues for Global Conservation and Biological Diversity,Trends in Ecology & Evolution,,Biodiversity; Conservation of Natural Resources; Ecosystem,2018-01,2018,33,1,47-58,All OA; Gold,Article,"Sutherland, William J.; Butchart, Stuart H.M.; Connor, Ben; Culshaw, Caroline; Dicks, Lynn V.; Dinsdale, Jason; Doran, Helen; Entwistle, Abigail C.; Fleishman, Erica; Gibbons, David W.; Jiang, Zhigang; Keim, Brandon; Le Roux, Xavier; Lickorish, Fiona A.; Markillie, Paul; Monk, Kathryn A.; Mortimer, Diana; Pearce-Higgins, James W.; Peck, Lloyd S.; Pretty, Jules; Seymour, Colleen L.; Spalding, Mark D.; Tonneijck, Femke H.; Gleave, Rosalind A.","Sutherland, William J.","Sutherland, William J. (University of Cambridge); Butchart, Stuart H.M. (University of Cambridge; BirdLife international); Connor, Ben (British Ecological Society); Culshaw, Caroline (Natural Environment Research Council); Dicks, Lynn V. (University of East Anglia); Dinsdale, Jason (Environment Agency); Doran, Helen (Natural England); Entwistle, Abigail C. (); Fleishman, Erica (Colorado State University); Gibbons, David W. (Royal Society for the Protection of Birds); Jiang, Zhigang (Institute of Zoology; University of Chinese Academy of Sciences); Keim, Brandon (); Le Roux, Xavier (Foundation for Research on Biodiversity; Claude Bernard University Lyon 1); Lickorish, Fiona A. (Cranfield University); Markillie, Paul (); Monk, Kathryn A. (Natural Resources Wales); Mortimer, Diana (Joint Nature Conservation Committee); Pearce-Higgins, James W. (University of Cambridge; British Trust for Ornithology); Peck, Lloyd S. (British Antarctic Survey); Pretty, Jules (University of Essex); Seymour, Colleen L. (South African National Biodiversity Institute; University of Cape Town); Spalding, Mark D. (University of Cambridge; University of Siena); Tonneijck, Femke H. (Wetlands International); Gleave, Rosalind A. (University of Cambridge)",31,31,,,http://www.cell.com/article/S0169534717302896/pdf,https://app.dimensions.ai/details/publication/pub.1095860792,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
12,100,pub.1091839378,10.1016/j.ecolind.2017.09.020,,,Identifying spatially and temporally transferrable surrogate measures of species richness,Ecological Indicators,,,2018-01,2018,84,Science 185 1974,470-478,Closed,Article,"Fleishman, Erica; Yen, Jian D.L.; Thomson, James R.; Nally, Ralph Mac; Dobkin, David S.; Leu, Matthias","Fleishman, Erica","Fleishman, Erica (University of California, Davis); Yen, Jian D.L. (University of Melbourne); Thomson, James R. (Department of Environment, Land, Water and Planning); Nally, Ralph Mac (University of Canberra; La Trobe University); Dobkin, David S. (); Leu, Matthias (William & Mary)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1091839378,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
13,100,pub.1092148222,10.3375/043.037.0406,,,"Environmental Associations with Post-Fire Butterfly Occupancy in the Sierra Nevada, California",Natural Areas Journal,,,2017-10,2017,37,4,497-506,All OA; Gold,Article,"Pavlik, David T.; Fleishman, Erica; Scherer, Rick D.; Blair, Robert B.",,"Pavlik, David T. (); Fleishman, Erica (University of California, Davis); Scherer, Rick D. (Colorado State University); Blair, Robert B. ()",0,0,,0,https://bioone.org/journals/Natural-Areas-Journal/volume-37/issue-4/043.037.0406/Environmental-Associations-with-Post-Fire-Butterfly-Occupancy-in-the-Sierra/10.3375/043.037.0406.pdf,https://app.dimensions.ai/details/publication/pub.1092148222,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
14,100,pub.1091291314,10.3398/064.077.0212,,,Single-Species and Multiple-Species Connectivity Models for Large Mammals on the Navajo Nation,Western North American Naturalist,,,2017-07,2017,77,2,237-251,"All OA; Green, Accepted & Submitted",Article,"Fleishman, Erica; Anderson, Jesse; Dickson, Brett G.",,"Fleishman, Erica (University of California, Davis; Colorado State University); Anderson, Jesse (Conservation Science Partners); Dickson, Brett G. (Conservation Science Partners)",0,0,,,http://www.conservationgateway.org/ConservationByGeography/NorthAmerica/UnitedStates/edc/Documents/TerrestrialResilience020112.pdf,https://app.dimensions.ai/details/publication/pub.1091291314,06 Biological Sciences,06 Biological Sciences,,,,
15,200,pub.1085061790,10.1002/ecy.1808,,,Societal transformation and climate adaptation,Ecology,,,2017-06,2017,98,6,1732-1733,Closed,Article,"Fleishman, Erica",,"Fleishman, Erica (Colorado State University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1085061790,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
16,100,pub.1084972883,10.1670/16-143,,,Relations between Environmental Attributes and Contemporary Occupancy of Threatened Giant Gartersnakes (Thamnophis gigas),Journal of Herpetology,,,2017-06,2017,51,2,274-283,All OA; Gold,Article,"Hansen, Eric C.; Scherer, Rick D.; Fleishman, Erica; Dickson, Brett G.; Krolick, Dave",,"Hansen, Eric C. (); Scherer, Rick D. (Conservation Science Partners); Fleishman, Erica (University of California, Davis); Dickson, Brett G. (Conservation Science Partners); Krolick, Dave ()",1,1,,0.42,https://bioone.org/journals/Journal-of-Herpetology/volume-51/issue-2/16-143/Relations-between-Environmental-Attributes-and-Contemporary-Occupancy-of-Threatened-Giant/10.1670/16-143.pdf,https://app.dimensions.ai/details/publication/pub.1084972883,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
17,100,pub.1083804893,10.1111/jofo.12183,,,Effects of point‐count duration on estimated detection probabilities and occupancy of breeding birds,Journal of Field Ornithology,,,2017-03,2017,88,1,80-93,"All OA; Green, Published",Article,"Leu, Matthias; Farnsworth, Matthew L.; Fleishman, Erica; Dobkin, David S.; Scherer, Rick D.; Noon, Barry R.; Dickson, Brett G.",,"Leu, Matthias (William & Mary); Farnsworth, Matthew L. (Conservation Science Partners); Fleishman, Erica (University of California, Davis); Dobkin, David S. (); Scherer, Rick D. (Conservation Science Partners; Colorado State University); Noon, Barry R. (Colorado State University); Dickson, Brett G. (Conservation Science Partners)",5,4,,2.87,https://scholarworks.wm.edu/cgi/viewcontent.cgi?article=1234&context=aspubs,https://app.dimensions.ai/details/publication/pub.1083804893,06 Biological Sciences; 0608 Zoology,06 Biological Sciences,0608 Zoology,,,
18,100,pub.1002005899,10.1111/geb.12537,,,Balancing generality and specificity in ecological gradient analysis with species abundance distributions and individual size distributions,Global Ecology and Biogeography,,,2017-03,2017,26,3,318-332,Closed,Article,"Yen, Jian D. L.; Thomson, James R.; Keith, Jonathan M.; Paganin, David M.; Fleishman, Erica; Dobkin, David S.; Bennett, Joanne M.; Nally, Ralph Mac",,"Yen, Jian D. L. (Monash University); Thomson, James R. (Department of Environment, Land, Water and Planning); Keith, Jonathan M. (Monash University); Paganin, David M. (Monash University); Fleishman, Erica (University of California, Davis); Dobkin, David S. (); Bennett, Joanne M. (); Nally, Ralph Mac (University of Canberra)",5,5,,2.08,,https://app.dimensions.ai/details/publication/pub.1002005899,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
19,500,pub.1046613455,10.1016/j.tree.2016.11.005,27955953,,A 2017 Horizon Scan of Emerging Issues for Global Conservation and Biological Diversity,Trends in Ecology & Evolution,,Biodiversity; Conservation of Natural Resources; Forecasting; Introduced Species,2017-01,2017,32,1,31-40,All OA; Gold,Article,"Sutherland, William J.; Barnard, Phoebe; Broad, Steven; Clout, Mick; Connor, Ben; Côté, Isabelle M.; Dicks, Lynn V.; Doran, Helen; Entwistle, Abigail C.; Fleishman, Erica; Fox, Marie; Gaston, Kevin J.; Gibbons, David W.; Jiang, Zhigang; Keim, Brandon; Lickorish, Fiona A.; Markillie, Paul; Monk, Kathryn A.; Pearce-Higgins, James W.; Peck, Lloyd S.; Pretty, Jules; Spalding, Mark D.; Tonneijck, Femke H.; Wintle, Bonnie C.; Ockendon, Nancy","Sutherland, William J.","Sutherland, William J. (University of Cambridge); Barnard, Phoebe (South African National Biodiversity Institute); Broad, Steven (); Clout, Mick (University of Auckland); Connor, Ben (British Ecological Society); Côté, Isabelle M. (Simon Fraser University); Dicks, Lynn V. (University of East Anglia); Doran, Helen (Natural England); Entwistle, Abigail C. (); Fleishman, Erica (University of California, Davis); Fox, Marie (Environment Agency); Gaston, Kevin J. (University of Exeter); Gibbons, David W. (Royal Society for the Protection of Birds); Jiang, Zhigang (); Keim, Brandon (); Lickorish, Fiona A. (Cranfield University); Markillie, Paul (); Monk, Kathryn A. (Natural Resources Wales); Pearce-Higgins, James W. (University of Cambridge; British Trust for Ornithology); Peck, Lloyd S. (British Antarctic Survey); Pretty, Jules (University of Essex); Spalding, Mark D. (University of Siena); Tonneijck, Femke H. (Wetlands International); Wintle, Bonnie C. (University of Cambridge); Ockendon, Nancy (University of Cambridge)",38,28,2.43,15.83,https://doi.org/10.1016/j.tree.2016.11.005,https://app.dimensions.ai/details/publication/pub.1046613455,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
20,100,pub.1050557031,10.1111/ddi.12504,,,Estimation of the occupancy of butterflies in diverse biogeographic regions,Diversity and Distributions,,,2017-01,2017,23,1,1-13,All OA; Gold,Article,"Fleishman, Erica; Scherer, Rick D.; Zappalla, Angela; Leu, Matthias",,"Fleishman, Erica (University of California, Davis); Scherer, Rick D. (Colorado State University); Zappalla, Angela (William & Mary); Leu, Matthias (William & Mary)",3,2,,1.34,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ddi.12504,https://app.dimensions.ai/details/publication/pub.1050557031,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
21,100,pub.1015138823,10.1111/mms.12310,,,Monitoring population‐level responses of marine mammals to human activities,Marine Mammal Science,,,2016-07,2016,32,3,1004-1021,Closed,Article,"Fleishman, Erica; Costa, Daniel P.; Harwood, John; Kraus, Scott; Moretti, David; New, Leslie F.; Schick, Robert S.; Schwarz, Lisa K.; Simmons, Samantha E.; Thomas, Len; Wells, Randall S.",,"Fleishman, Erica (University of California, Davis); Costa, Daniel P. (University of California, Santa Cruz); Harwood, John (University of St Andrews); Kraus, Scott (New England Aquarium); Moretti, David (Naval Undersea Warfare Center); New, Leslie F. (Washington State University); Schick, Robert S. (University of St Andrews); Schwarz, Lisa K. (University of California, Santa Cruz); Simmons, Samantha E. (Marine Mammal Commission); Thomas, Len (University of St Andrews); Wells, Randall S. (Chicago Zoological Society)",14,9,,3.63,,https://app.dimensions.ai/details/publication/pub.1015138823,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
22,200,pub.1071164232,10.3354/esr00727,,,Modeling the aggregated exposure and responses of bowhead whales Balaena mysticetus to multiple sources of anthropogenic underwater sound,Endangered Species Research,,,2016-05-02,2016,30,,95-108,All OA; Gold,Article,"Ellison, WT; Racca, R; Clark, CW; Streever, B; Frankel, AS; Fleishman, E; Angliss, R; Berger, J; Ketten, D; Guerra, M; Leu, M; McKenna, M; Sformo, T; Southall, B; Suydam, R; Thomas, L",,"Ellison, WT (); Racca, R (); Clark, CW (); Streever, B (); Frankel, AS (); Fleishman, E (); Angliss, R (); Berger, J (); Ketten, D (); Guerra, M (); Leu, M (); McKenna, M (); Sformo, T (); Southall, B (); Suydam, R (); Thomas, L ()",11,7,,,https://www.int-res.com/articles/esr2016/30/n030p095.pdf,https://app.dimensions.ai/details/publication/pub.1071164232,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
23,100,pub.1026750352,10.1525/collabra.35,,,"Space Use by Swainson’s Hawk (<i>Buteo swainsoni</i>) in the Natomas Basin, California",Collabra,,,2016-04-07,2016,2,1,5,All OA; Gold,Article,"Fleishman, E.; Anderson, J.; Dickson, B.; Krolick, D.; Estep, J.; Anderson, R.; Elphick, C.; Dobkin, D.; Bell, D.",,"Fleishman, E. (University of California, Davis); Anderson, J. (Conservation Science Partners); Dickson, B. (Conservation Science Partners); Krolick, D. (); Estep, J. (); Anderson, R. (); Elphick, C. (University of Connecticut); Dobkin, D. (); Bell, D. ()",2,1,,0.7,http://www.collabra.org/articles/10.1525/collabra.35/galley/21/download/,https://app.dimensions.ai/details/publication/pub.1026750352,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
24,200,pub.1038300118,10.1002/ecy.1317,,,Personal and organizational perspectives on the biological and legal legacy of DDT,Ecology,,,2016-02,2016,97,2,547-548,Closed,Article,"Fleishman, Erica",,"Fleishman, Erica (University of California, Davis)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1038300118,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
25,400,pub.1033573436,10.1016/j.tree.2015.11.007,26688445,,A Horizon Scan of Global Conservation Issues for 2016,Trends in Ecology & Evolution,,Animals; Bees; Biodiversity; China; Conservation of Natural Resources; Environmental Policy,2016-01,2016,31,1,44-53,All OA; Gold,Article,"Sutherland, William J.; Broad, Steven; Caine, Jacqueline; Clout, Mick; Dicks, Lynn V.; Doran, Helen; Entwistle, Abigail C.; Fleishman, Erica; Gibbons, David W.; Keim, Brandon; LeAnstey, Becky; Lickorish, Fiona A.; Markillie, Paul; Monk, Kathryn A.; Mortimer, Diana; Ockendon, Nancy; Pearce-Higgins, James W.; Peck, Lloyd S.; Pretty, Jules; Rockström, Johan; Spalding, Mark D.; Tonneijck, Femke H.; Wintle, Bonnie C.; Wright, Katherine E.","Sutherland, William J.","Sutherland, William J. (University of Cambridge); Broad, Steven (); Caine, Jacqueline (British Ecological Society); Clout, Mick (University of Auckland); Dicks, Lynn V. (University of Cambridge); Doran, Helen (Natural England); Entwistle, Abigail C. (); Fleishman, Erica (University of California, Davis); Gibbons, David W. (Royal Society for the Protection of Birds); Keim, Brandon (); LeAnstey, Becky (Environment Agency); Lickorish, Fiona A. (Cranfield University); Markillie, Paul (); Monk, Kathryn A. (Natural Resources Wales); Mortimer, Diana (Joint Nature Conservation Committee); Ockendon, Nancy (University of Cambridge); Pearce-Higgins, James W. (British Trust for Ornithology); Peck, Lloyd S. (British Antarctic Survey); Pretty, Jules (University of Essex); Rockström, Johan (Stockholm University); Spalding, Mark D. (); Tonneijck, Femke H. (Wetlands International); Wintle, Bonnie C. (University of Melbourne); Wright, Katherine E. (Natural Environment Research Council)",28,17,1.1,7.26,https://doi.org/10.1016/j.tree.2015.11.007,https://app.dimensions.ai/details/publication/pub.1033573436,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
26,400,pub.1023944191,10.1007/978-1-4939-2981-8_35,26610972,,Expert Elicitation of Population-Level Effects of Disturbance,Advances in Experimental Medicine and Biology,The Effects of Noise on Aquatic Life II,"Animals; Models, Theoretical; Population Dynamics; Survival Analysis; Whales",2016,2016,875,,295-302,Closed,Chapter,"Fleishman, Erica; Burgman, Mark; Runge, Michael C.; Schick, Robert S.; Kraus, Scott","Fleishman, Erica","Fleishman, Erica (University of California, Davis); Burgman, Mark (University of Melbourne); Runge, Michael C. (United States Geological Survey); Schick, Robert S. (University of St Andrews); Kraus, Scott (New England Aquarium)",2,0,0,,,https://app.dimensions.ai/details/publication/pub.1023944191,11 Medical and Health Sciences,11 Medical and Health Sciences,,,,
