,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Jeff Dozier. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1092241382,10.5194/essd-2017-114,,,"Hourly mass and snow energy balance measurements from Mammoth Mountain, CA USA, 2011–2017",Earth System Science Data Discussions,,,2017-10-16,2017,,,1-15,All OA; Gold,Article,"Bair, Edward H.; Davis, Robert E.; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Davis, Robert E. (Cold Regions Research and Engineering Laboratory); Dozier, Jeff (University of California, Santa Barbara)",0,0,,0,https://doi.org/10.5194/essd-2017-114,https://app.dimensions.ai/details/publication/pub.1092241382,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
11,100,pub.1092178022,10.5194/tc-2017-196,,,Using machine learning for real-time estimates of snow water equivalent in the watersheds of Afghanistan,The Cryosphere Discussions,,,2017-10-11,2017,,,1-21,All OA; Gold,Article,"Bair, Edward H.; Calfa, Andre Abreu; Rittger, Karl; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Calfa, Andre Abreu (University of California, Santa Barbara); Rittger, Karl (University of Colorado Boulder); Dozier, Jeff (University of California, Santa Barbara)",0,0,,0,https://doi.org/10.5194/tc-2017-196,https://app.dimensions.ai/details/publication/pub.1092178022,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
12,100,pub.1091327068,10.1002/2017gl075317,,,"Mechanics of the energy balance in large lowland rivers, and why the bed matters",Geophysical Research Letters,,,2017-09-16,2017,44,17,8910-8918,"All OA; Green, Published",Article,"Bray, Erin N.; Dozier, Jeff; Dunne, Thomas",,"Bray, Erin N. (University of California, Santa Barbara; University of California, Berkeley); Dozier, Jeff (University of California, Santa Barbara); Dunne, Thomas (University of California, Santa Barbara)",0,0,,0,https://escholarship.org/content/qt8968c4rk/qt8968c4rk.pdf?t=oxzss5,https://app.dimensions.ai/details/publication/pub.1091327068,0915 Interdisciplinary Engineering; 09 Engineering; 0907 Environmental Engineering,0915 Interdisciplinary Engineering,09 Engineering,0907 Environmental Engineering,,
13,100,pub.1052061067,10.1002/2016wr018704,,,Validating reconstruction of snow water equivalent in California's Sierra Nevada using measurements from the NASA Airborne Snow Observatory,Water Resources Research,,,2016-11,2016,52,11,8437-8460,All OA; Gold,Article,"Bair, Edward H.; Rittger, Karl; Davis, Robert E.; Painter, Thomas H.; Dozier, Jeff",,"Bair, Edward H. (University of California, Santa Barbara); Rittger, Karl (); Davis, Robert E. (Cold Regions Research and Engineering Laboratory); Painter, Thomas H. (Jet Propulsion Lab); Dozier, Jeff (University of California, Santa Barbara)",24,22,,8.4,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016WR018704,https://app.dimensions.ai/details/publication/pub.1052061067,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
14,100,pub.1029450135,10.1016/j.advwatres.2016.05.015,,,Spatial estimates of snow water equivalent from reconstruction,Advances in Water Resources,,,2016-08,2016,94,,345-363,All OA; Gold,Article,"Rittger, Karl; Bair, Edward H.; Kahl, Annelen; Dozier, Jeff","Rittger, Karl","Rittger, Karl (); Bair, Edward H. (); Kahl, Annelen (); Dozier, Jeff ()",25,19,,8.83,https://manuscript.elsevier.com/S0309170816301506/pdf/S0309170816301506.pdf,https://app.dimensions.ai/details/publication/pub.1029450135,09 Engineering; 0102 Applied Mathematics; 0905 Civil Engineering; 01 Mathematical Sciences; 0907 Environmental Engineering,09 Engineering,0102 Applied Mathematics,0905 Civil Engineering,01 Mathematical Sciences,0907 Environmental Engineering
15,100,pub.1001567588,10.1002/wat2.1140,,,Estimating the spatial distribution of snow water equivalent in the world's mountains,Wiley Interdisciplinary Reviews Water,,,2016-05,2016,3,3,461-474,Closed,Article,"Dozier, Jeff; Bair, Edward H.; Davis, Robert E.",,"Dozier, Jeff (University of California, Santa Barbara); Bair, Edward H. (University of California, Santa Barbara); Davis, Robert E. (Cold Regions Research and Engineering Laboratory)",45,31,,11.11,,https://app.dimensions.ai/details/publication/pub.1001567588,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
16,100,pub.1046240636,10.3389/feart.2015.00058,,,CUES—a study site for measuring snowpack energy balance in the Sierra Nevada,Frontiers in Earth Science,,,2015-09-30,2015,3,,58,All OA; Gold,Article,"Bair, Edward H.; Dozier, Jeff; Davis, Robert E.; Colee, Michael T.; Claffey, Keran J.",,"Bair, Edward H. (University of California, Santa Barbara); Dozier, Jeff (University of California, Santa Barbara); Davis, Robert E. (Cold Regions Research and Engineering Laboratory); Colee, Michael T. (University of California, Santa Barbara); Claffey, Keran J. (Cold Regions Research and Engineering Laboratory)",12,7,,2.24,https://www.frontiersin.org/articles/10.3389/feart.2015.00058/pdf,https://app.dimensions.ai/details/publication/pub.1046240636,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
17,100,pub.1022156895,10.1002/2015wr017616,,,Inroads of remote sensing into hydrologic science during the WRR era,Water Resources Research,,,2015-09,2015,51,9,7309-7342,All OA; Gold,Article,"Lettenmaier, Dennis P.; Alsdorf, Doug; Dozier, Jeff; Huffman, George J.; Pan, Ming; Wood, Eric F.",,"Lettenmaier, Dennis P. (University of California Los Angeles); Alsdorf, Doug (The Ohio State University); Dozier, Jeff (University of California, Santa Barbara); Huffman, George J. (Goddard Space Flight Center); Pan, Ming (Princeton University); Wood, Eric F. (Princeton University)",85,47,,18.9,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2015WR017616,https://app.dimensions.ai/details/publication/pub.1022156895,09 Engineering; 0909 Geomatic Engineering; 0907 Environmental Engineering,09 Engineering,0909 Geomatic Engineering,0907 Environmental Engineering,,
18,100,pub.1004231632,10.1175/jhm-d-15-0019.1,,,"High-Elevation Precipitation Patterns: Using Snow Measurements to Assess Daily Gridded Datasets across the Sierra Nevada, California*",Journal of Hydrometeorology,,,2015-08,2015,16,4,1773-1792,Closed,Article,"Lundquist, Jessica D.; Hughes, Mimi; Henn, Brian; Gutmann, Ethan D.; Livneh, Ben; Dozier, Jeff; Neiman, Paul",,"Lundquist, Jessica D. (); Hughes, Mimi (); Henn, Brian (); Gutmann, Ethan D. (); Livneh, Ben (); Dozier, Jeff (); Neiman, Paul ()",40,17,,5.98,,https://app.dimensions.ai/details/publication/pub.1004231632,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
19,100,pub.1008429376,10.1002/2014gl060588,,,Biases of April 1 snow water equivalent records in the Sierra Nevada and their associations with large‐scale climate indices,Geophysical Research Letters,,,2014-08-28,2014,41,16,5912-5918,All OA; Gold,Article,"Montoya, E. L.; Dozier, J.; Meiring, W.",,"Montoya, E. L. (California State University, Bakersfield); Dozier, J. (University of California, Santa Barbara); Meiring, W. (University of California, Santa Barbara)",9,2,,1.39,http://onlinelibrary.wiley.com/doi/10.1002/2014GL060588/pdf,https://app.dimensions.ai/details/publication/pub.1008429376,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
20,100,pub.1035201787,10.1002/wrcr.20387,,,Snow water equivalent in the Sierra Nevada: Blending snow sensor observations with snowmelt model simulations,Water Resources Research,,,2013-08,2013,49,8,5029-5046,All OA; Gold,Article,"Guan, Bin; Molotch, Noah P.; Waliser, Duane E.; Jepsen, Steven M.; Painter, Thomas H.; Dozier, Jeff",,"Guan, Bin (Jet Propulsion Lab; University of California Los Angeles); Molotch, Noah P. (Jet Propulsion Lab; University of Colorado Boulder); Waliser, Duane E. (Jet Propulsion Lab); Jepsen, Steven M. (University of California, Merced); Painter, Thomas H. (Jet Propulsion Lab); Dozier, Jeff (University of California, Santa Barbara)",61,20,,18.75,http://onlinelibrary.wiley.com/doi/10.1002/wrcr.20387/pdf,https://app.dimensions.ai/details/publication/pub.1035201787,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
21,100,pub.1046365644,10.1016/j.advwatres.2013.03.006,,,Evaluation of distributed hydrologic impacts of temperature-index and energy-based snow models,Advances in Water Resources,,,2013-06,2013,56,,77-89,Closed,Article,"Kumar, Mukesh; Marks, Danny; Dozier, Jeff; Reba, Michele; Winstral, Adam","Kumar, Mukesh","Kumar, Mukesh (Duke University); Marks, Danny (Agricultural Research Service); Dozier, Jeff (University of California, Santa Barbara); Reba, Michele (Agricultural Research Service); Winstral, Adam (Agricultural Research Service)",66,21,,17.27,,https://app.dimensions.ai/details/publication/pub.1046365644,09 Engineering; 0102 Applied Mathematics; 0905 Civil Engineering; 01 Mathematical Sciences; 0907 Environmental Engineering,09 Engineering,0102 Applied Mathematics,0905 Civil Engineering,01 Mathematical Sciences,0907 Environmental Engineering
22,100,pub.1015809076,10.5194/tc-7-365-2013,,,Retention and radiative forcing of black carbon in eastern Sierra Nevada snow,The Cryosphere,,,2013-02-28,2013,7,1,365-374,All OA; Gold,Article,"Sterle, K. M.; McConnell, J. R.; Dozier, J.; Edwards, R.; Flanner, M. G.",,"Sterle, K. M. (Desert Research Institute); McConnell, J. R. (Desert Research Institute); Dozier, J. (University of California, Santa Barbara); Edwards, R. (); Flanner, M. G. (University of Michigan)",48,11,,7.07,https://www.the-cryosphere.net/7/365/2013/tc-7-365-2013.pdf,https://app.dimensions.ai/details/publication/pub.1015809076,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
23,100,pub.1002130694,10.1016/j.advwatres.2012.03.002,,,Assessment of methods for mapping snow cover from MODIS,Advances in Water Resources,,,2013-01,2013,51,,367-380,Closed,Article,"Rittger, Karl; Painter, Thomas H.; Dozier, Jeff","Dozier, Jeff","Rittger, Karl (University of California, Santa Barbara); Painter, Thomas H. (California Institute of Technology); Dozier, Jeff (University of California, Santa Barbara)",186,63,,44.26,,https://app.dimensions.ai/details/publication/pub.1002130694,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
24,100,pub.1019941889,10.1146/annurev-environ-042711-121244,,,Environmental Informatics,Annual Review of Environment and Resources,,,2012-11-21,2012,37,1,449-472,Closed,Article,"Frew, James E.; Dozier, Jeff",,"Frew, James E. (); Dozier, Jeff (University of California, Santa Barbara)",9,1,,3.86,,https://app.dimensions.ai/details/publication/pub.1019941889,08 Information and Computing Sciences; 0806 Information Systems,08 Information and Computing Sciences,0806 Information Systems,,,
25,100,pub.1046783883,10.1016/j.coldregions.2012.02.007,,,A field study on failure of storm snow slab avalanches,Cold Regions Science and Technology,,,2012-08,2012,79,,20-28,Closed,Article,"Bair, Edward H.; Simenhois, Ron; Birkeland, Karl; Dozier, Jeff","Bair, Edward H.","Bair, Edward H. (University of California, Santa Barbara); Simenhois, Ron (); Birkeland, Karl (US Forest Service); Dozier, Jeff (University of California, Santa Barbara)",15,3,,3.79,,https://app.dimensions.ai/details/publication/pub.1046783883,0905 Civil Engineering; 0911 Maritime Engineering; 09 Engineering; 0904 Chemical Engineering,0905 Civil Engineering,0911 Maritime Engineering,09 Engineering,0904 Chemical Engineering,
26,100,pub.1011516442,10.5194/tcd-6-2247-2012,,,Retention and radiative forcing of black carbon in Eastern Sierra Nevada snow,The Cryosphere Discussions,,,2012-06-29,2012,6,3,2247-2264,All OA; Gold,Article,"Sterle, K. M.; McConnell, J. R.; Dozier, J.; Edwards, R.; Flanner, M. G.",,"Sterle, K. M. (Desert Research Institute); McConnell, J. R. (Desert Research Institute); Dozier, J. (University of California, Santa Barbara); Edwards, R. (); Flanner, M. G. (University of Michigan)",2,1,,0.36,https://doi.org/10.5194/tcd-6-2247-2012,https://app.dimensions.ai/details/publication/pub.1011516442,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
27,100,pub.1018449068,10.1029/2011eo430001,,,"Mountain hydrology, snow color, and the fourth paradigm",Eos,,,2011-10-25,2011,92,43,373-374,All OA; Gold,Article,"Dozier, Jeff",,"Dozier, Jeff (University of California, Santa Barbara)",48,13,,6.21,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2011EO430001,https://app.dimensions.ai/details/publication/pub.1018449068,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
28,100,pub.1001758279,10.5772/19474,,,Heat Transfer in the Environment: Development and Use of Fiber-Optic Distributed Temperature Sensing,,Developments in Heat Transfer,,2011-09-15,2011,,,,All OA; Gold,Chapter,"Suárez, Francisco; Hausner, Mark B.; Dozier, Jeff; Selker, John S.; Tyler, Scott W.",,"Suárez, Francisco (); Hausner, Mark B. (); Dozier, Jeff (); Selker, John S. (); Tyler, Scott W. ()",10,6,,2.78,https://www.intechopen.com/chapter/pdf-download/19911,https://app.dimensions.ai/details/publication/pub.1001758279,0915 Interdisciplinary Engineering; 09 Engineering,0915 Interdisciplinary Engineering,09 Engineering,,,
29,100,pub.1050436258,10.1029/2010wr009278,,,Snow water equivalent along elevation gradients in the Merced and Tuolumne River basins of the Sierra Nevada,Water Resources Research,,,2011-08,2011,47,8,,All OA; Gold,Article,"Rice, Robert; Bales, Roger C.; Painter, Thomas H.; Dozier, Jeff",,"Rice, Robert (University of California, Merced); Bales, Roger C. (University of California, Merced); Painter, Thomas H. (Jet Propulsion Lab); Dozier, Jeff (University of California, Santa Barbara)",65,17,,18.91,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2010WR009278,https://app.dimensions.ai/details/publication/pub.1050436258,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
30,100,pub.1046513708,10.1016/j.coldregions.2010.08.004,,,In situ and photographic measurements of avalanche crown transects,Cold Regions Science and Technology,,,2010-11,2010,64,2,174-181,Closed,Article,"Bair, Edward H.; Birkeland, Karl W.; Dozier, Jeff","Bair, Edward H.","Bair, Edward H. (University of California, Santa Barbara); Birkeland, Karl W. (US Forest Service); Dozier, Jeff (University of California, Santa Barbara)",2,0,,0.44,,https://app.dimensions.ai/details/publication/pub.1046513708,0905 Civil Engineering; 0911 Maritime Engineering; 09 Engineering; 0904 Chemical Engineering,0905 Civil Engineering,0911 Maritime Engineering,09 Engineering,0904 Chemical Engineering,
31,100,pub.1018107683,10.1029/2009wr008216,,,Social science in a water observing system,Water Resources Research,,,2009-11,2009,45,11,,All OA; Gold,Article,"Braden, John B.; Brown, Daniel G.; Dozier, Jeff; Gober, Patricia; Hughes, Sara M.; Maidment, David R.; Schneider, Sandra L.; Schultz, P. Wesley; Shortle, James S.; Swallow, Stephen K.; Werner, Carol M.",,"Braden, John B. (University of Illinois at Urbana Champaign); Brown, Daniel G. (University of Michigan); Dozier, Jeff (University of California, Santa Barbara); Gober, Patricia (Arizona State University); Hughes, Sara M. (University of California, Santa Barbara); Maidment, David R. (The University of Texas at Austin); Schneider, Sandra L. (University of South Florida); Schultz, P. Wesley (California State University, San Marcos); Shortle, James S. (Pennsylvania State University); Swallow, Stephen K. (University of Rhode Island); Werner, Carol M. (University of Utah)",41,8,,8.54,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009WR008216,https://app.dimensions.ai/details/publication/pub.1018107683,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
32,100,pub.1053401246,10.1016/j.rse.2007.07.029,,,Interpretation of snow properties from imaging spectrometry,Remote Sensing of Environment,,,2009-09,2009,113,,s25-s37,Closed,Article,"Dozier, Jeff; Green, Robert O.; Nolin, Anne W.; Painter, Thomas H.","Dozier, Jeff","Dozier, Jeff (University of California, Santa Barbara); Green, Robert O. (Jet Propulsion Lab); Nolin, Anne W. (Oregon State University); Painter, Thomas H. (University of Utah)",123,35,,20.2,,https://app.dimensions.ai/details/publication/pub.1053401246,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
33,100,pub.1046942118,10.1029/2009eo180008,,,Lundquist Receives 2008 Cryosphere Young Investigator Award,Eos,,,2009-05-05,2009,90,18,159-159,All OA; Gold,Article,"Dozier, Jeff; Lundquist, Jessica D.",,"Dozier, Jeff (University of California, Santa Barbara); Lundquist, Jessica D. (University of Washington)",0,0,,0,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2009EO180008,https://app.dimensions.ai/details/publication/pub.1046942118,1608 Sociology; 16 Studies in Human Society,1608 Sociology,16 Studies in Human Society,,,
34,100,pub.1025464343,10.1016/j.rse.2009.01.001,,,"Retrieval of subpixel snow covered area, grain size, and albedo from MODIS",Remote Sensing of Environment,,,2009-04,2009,113,4,868-879,"All OA; Green, Published",Article,"Painter, Thomas H.; Rittger, Karl; McKenzie, Ceretha; Slaughter, Peter; Davis, Robert E.; Dozier, Jeff","Painter, Thomas H.","Painter, Thomas H. (University of Utah); Rittger, Karl (University of California, Santa Barbara); McKenzie, Ceretha (Cold Regions Research and Engineering Laboratory); Slaughter, Peter (University of California, Santa Barbara); Davis, Robert E. (Cold Regions Research and Engineering Laboratory); Dozier, Jeff (University of California, Santa Barbara)",286,83,,38.98,https://calhoun.nps.edu/bitstream/10945/52415/1/Painter_Retrieval_of_subpixel_snow_NPS_sponsorship.pdf,https://app.dimensions.ai/details/publication/pub.1025464343,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
35,400,pub.1029805735,10.1098/rsta.2008.0187,19087938,,Computational provenance in hydrologic science: a snow mapping example,Philosophical Transactions of The Royal Society A Mathematical Physical and Engineering Sciences,,"Computer Simulation; Database Management Systems; Databases, Factual; Ecology; Information Dissemination; Information Storage and Retrieval; Internet; Models, Theoretical; Snow; Software; User-Computer Interface",2009-03-13,2009,367,1890,1021-1033,All OA; Gold,Article,"Dozier, Jeff; Frew, James",,"Dozier, Jeff (University of California, Santa Barbara); Frew, James (University of California, Santa Barbara)",15,0,0.03,5.18,http://rsta.royalsocietypublishing.org/content/367/1890/1021.full.pdf,https://app.dimensions.ai/details/publication/pub.1029805735,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
