,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Derek B Booth. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
25,200,pub.1049962266,10.1016/j.yqres.2006.01.003,,,Editorial,Quaternary Research,,,2006-03,2006,65,02,189-189,Closed,Article,"Steig, Eric J.; Booth, Derek B.; Bourgeois, Joanne",,"Steig, Eric J. (); Booth, Derek B. (); Bourgeois, Joanne ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1049962266,2101 Archaeology; 0406 Physical Geography and Environmental Geoscience; 0403 Geology; 21 History and Archaeology; 04 Earth Sciences,2101 Archaeology,0406 Physical Geography and Environmental Geoscience,0403 Geology,21 History and Archaeology,04 Earth Sciences
26,100,pub.1049296250,10.1029/2005wr004097,,,"Effects of urban development in the Puget Lowland, Washington, on interannual streamflow patterns: Consequences for channel form and streambed disturbance",Water Resources Research,,,2005-07,2005,41,7,,All OA; Gold,Article,"Konrad, Christopher P.; Booth, Derek B.; Burges, Stephen J.",,"Konrad, Christopher P. (United States Geological Survey); Booth, Derek B. (University of Washington); Burges, Stephen J. (University of Washington)",62,5,,11.98,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2005WR004097,https://app.dimensions.ai/details/publication/pub.1049296250,09 Engineering; 14 Economics; 0905 Civil Engineering; 1402 Applied Economics; 0907 Environmental Engineering,09 Engineering,14 Economics,0905 Civil Engineering,1402 Applied Economics,0907 Environmental Engineering
27,100,pub.1027251301,10.1111/j.1752-1688.2004.tb01591.x,,,"REVIVING URBAN STREAMS: LAND USE, HYDROLOGY, BIOLOGY, AND HUMAN BEHAVIOR1",JAWRA Journal of the American Water Resources Association,,,2004-10,2004,40,5,1351-1364,Closed,Article,"Booth, Derek B.; Karr, James R.; Schauman, Sally; Konrad, Christopher P.; Morley, Sarah A.; Larson, Marit G.; Burges, Stephen J.",,"Booth, Derek B. (); Karr, James R. (); Schauman, Sally (); Konrad, Christopher P. (); Morley, Sarah A. (); Larson, Marit G. (); Burges, Stephen J. ()",150,13,,14.4,,https://app.dimensions.ai/details/publication/pub.1027251301,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
28,100,pub.1048257897,10.1785/0120030102,,,Chimney Damage in the Greater Seattle Area from the Nisqually Earthquake of 28 February 2001,Bulletin of the Seismological Society of America,,,2004-06-01,2004,94,3,1143-1158,Closed,Article,"Booth, Derek B.; Wells, Ray E.; Givler, Robert W.",,"Booth, Derek B. (); Wells, Ray E. (); Givler, Robert W. ()",16,3,,2.06,,https://app.dimensions.ai/details/publication/pub.1048257897,04 Earth Sciences; 0404 Geophysics,04 Earth Sciences,0404 Geophysics,,,
29,200,pub.1012536778,10.1080/01944360408976343,,,Permeable Pavement Update,Journal of the American Planning Association,,,2004-03-31,2004,70,1,98-98,Closed,Article,"Booth, Derek B.; Brattebo, Benjamin O.",,"Booth, Derek B. (); Brattebo, Benjamin O. ()",1,0,,0.21,,https://app.dimensions.ai/details/publication/pub.1012536778,12 Built Environment and Design; 1205 Urban and Regional Planning,12 Built Environment and Design,1205 Urban and Regional Planning,,,
30,100,pub.1051591489,10.1130/g20355.1,,,"Deformation of Quaternary strata and its relationship to crustal folds and faults, south-central Puget Lowland, Washington State",Geology,,,2004,2004,32,6,505-508,Closed,Article,"Booth, Derek B.; Troost, Kathy Goetz; Hagstrum, Jonathan T.",,"Booth, Derek B. (University of Washington); Troost, Kathy Goetz (University of Washington); Hagstrum, Jonathan T. (United States Geological Survey)",8,1,,0.72,,https://app.dimensions.ai/details/publication/pub.1051591489,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
31,400,pub.1029094968,10.1016/s0043-1354(03)00410-x,14511707,,Long-term stormwater quantity and quality performance of permeable pavement systems,Water Research,,Cities; Copper; Facility Design and Construction; Filtration; Motor Vehicles; Permeability; Petroleum; Quality Control; Rain; Water Movements; Water Pollutants; Water Purification; Zinc,2003-11,2003,37,18,4369-4376,Closed,Article,"Brattebo, Benjamin O.; Booth, Derek B.","Booth, Derek B.","Brattebo, Benjamin O. (); Booth, Derek B. ()",252,66,1.36,32.46,,https://app.dimensions.ai/details/publication/pub.1029094968,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
32,200,pub.1088802109,10.1130/0-8137-0004-3.267,,,Quaternary geology of Seattle,,GSA Field Guide 4: Western Cordillera and Adjacent Areas,,2003,2003,4,,267-284,Closed,Chapter,"Troost, Kathy Goetz; Booth, Derek B.; Laprade, William T.",,"Troost, Kathy Goetz (); Booth, Derek B. (); Laprade, William T. ()",3,0,,,,https://app.dimensions.ai/details/publication/pub.1088802109,,,,,,
33,100,pub.1025075911,10.1016/s1571-0866(03)01002-9,,,The Cordilleran Ice Sheet,Developments in Quaternary Sciences,The Quaternary Period in the United States,,2003,2003,1,,17-43,Closed,Chapter,"Booth, Derek B.; Troost, Kathy Goetz; Clague, John J.; Waitt, Richard B.",,"Booth, Derek B. (); Troost, Kathy Goetz (); Clague, John J. (Simon Fraser University); Waitt, Richard B. (United States Geological Survey)",82,20,,7.4,,https://app.dimensions.ai/details/publication/pub.1025075911,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0403 Geology,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0403 Geology,,
34,100,pub.1043073683,10.1016/s0022-1694(02)00059-8,,,"Sediment sources in an urbanizing, mixed land-use watershed",Journal of Hydrology,,,2002-07,2002,264,1-4,51-68,"All OA; Green, Published",Article,"Nelson, Erin J; Booth, Derek B","Nelson, Erin J","Nelson, Erin J (University of Washington); Booth, Derek B (University of Washington)",126,24,,13.27,http://www.stillwatersci.com/resources/2002nelsonandbooth.pdf,https://app.dimensions.ai/details/publication/pub.1043073683,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,
35,100,pub.1011403639,10.1029/2001wr000828,,,Partial entrainment of gravel bars during floods,Water Resources Research,,,2002-07,2002,38,7,9-1-9-16,All OA; Gold,Article,"Konrad, Christopher P.; Booth, Derek B.; Burges, Stephen J.; Montgomery, David R.",,"Konrad, Christopher P. (); Booth, Derek B. (University of Washington); Burges, Stephen J. (University of Washington); Montgomery, David R. (University of Washington)",39,5,,8.01,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001WR000828,https://app.dimensions.ai/details/publication/pub.1011403639,0905 Civil Engineering; 09 Engineering,0905 Civil Engineering,09 Engineering,,,
36,100,pub.1038085848,10.1111/j.1752-1688.2002.tb01000.x,,,"FOREST COVER, IMPERVIOUS‐SURFACE AREA, AND THE MITIGATION OF STORMWATER IMPACTS1",JAWRA Journal of the American Water Resources Association,,,2002-06,2002,38,3,835-845,Closed,Article,"Booth, Derek B.; Hartley, David; Jackson, Rhett",,"Booth, Derek B. (University of Washington); Hartley, David (); Jackson, Rhett (University of Washington)",179,22,,18.24,,https://app.dimensions.ai/details/publication/pub.1038085848,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
37,100,pub.1007141948,10.1029/2001jb000557,,,"Magnetostratigraphy, paleomagnetic correlation, and deformation of Pleistocene deposits in the south central Puget Lowland, Washington",Journal of Geophysical Research,,,2002-04,2002,107,B4,epm 6-1-epm 6-13,All OA; Gold,Article,"Hagstrum, Jonathan T.; Booth, Derek B.; Troost, Kathy G.; Blakely, Richard J.",,"Hagstrum, Jonathan T. (United States Geological Survey); Booth, Derek B. (University of Washington); Troost, Kathy G. (University of Washington); Blakely, Richard J. (United States Geological Survey)",4,0,,0.36,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2001JB000557,https://app.dimensions.ai/details/publication/pub.1007141948,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
38,100,pub.1041782135,10.1016/s0925-8574(01)00079-9,,,Effectiveness of large woody debris in stream rehabilitation projects in urban basins,Ecological Engineering,,,2001-12,2001,18,2,211-226,"All OA; Green, Accepted & Submitted",Article,"Larson, Marit G.; Booth, Derek B.; Morley, Sarah A.","Larson, Marit G.","Larson, Marit G. (); Booth, Derek B. (University of Washington); Morley, Sarah A. (Northwest Fisheries Science Center)",93,7,,12.25,https://digital.lib.washington.edu:443/researchworks/bitstream/1773/16377/1/effeclwd.pdf,https://app.dimensions.ai/details/publication/pub.1041782135,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
39,400,pub.1035364999,10.1023/a:1017589725914,11686197,,Monitoring Urban Streams: Strategies and Protocols for Humid-Region Lowland Systems,Environmental Monitoring and Assessment,,Cities; Data Collection; Ecosystem; Environmental Monitoring; Guidelines as Topic; Quality Control; Reference Values; Trees; Water Pollutants; Water Supply,2001-10,2001,71,2,143-164,Closed,Article,"Scholz, Jenna G.; Booth, Derek B.",,"Scholz, Jenna G. (University of Washington); Booth, Derek B. (University of Washington)",10,0,0.01,1.08,,https://app.dimensions.ai/details/publication/pub.1035364999,03 Chemical Sciences; 0399 Other Chemical Sciences,03 Chemical Sciences,0399 Other Chemical Sciences,,,
40,100,pub.1050972344,10.1016/s0925-8574(00)00173-7,,,Limitations to vegetation establishment and growth in biofiltration swales,Ecological Engineering,,,2001-08,2001,17,4,429-443,"All OA; Green, Published",Article,"Mazer, Greg; Booth, Derek; Ewing, Kern","Mazer, Greg","Mazer, Greg (); Booth, Derek (); Ewing, Kern ()",12,4,,1.53,http://www.stillwatersci.com/resources/2001mazeretal.pdf,https://app.dimensions.ai/details/publication/pub.1050972344,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
