,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Tommy D Dickey. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
17,100,pub.1031485921,10.1029/2009jc005346,,,"An oceanic cyclonic eddy on the lee side of Lanai Island, Hawai'i",Journal of Geophysical Research,,,2009,2009,114,C10,,"All OA; Green, Accepted & Submitted",Article,"Dong, Changming; Mavor, Timothy; Nencioli, Francesco; Jiang, Songnian; Uchiyama, Yusuke; McWilliams, James C.; Dickey, Tommy; Ondrusek, Michael; Zhang, Hongchun; Clark, Dennis K.",,"Dong, Changming (University of California Los Angeles); Mavor, Timothy (National Environmental Satellite Data and Information Service; IM Systems (United States)); Nencioli, Francesco (University of California, Santa Barbara); Jiang, Songnian (University of California, Santa Barbara); Uchiyama, Yusuke (University of California Los Angeles); McWilliams, James C. (University of California Los Angeles); Dickey, Tommy (University of California, Santa Barbara); Ondrusek, Michael (National Environmental Satellite Data and Information Service); Zhang, Hongchun (); Clark, Dennis K. (National Environmental Satellite Data and Information Service)",22,5,,3.99,http://web.atmos.ucla.edu/%7Ecdong/papers/hawaii_eddy.pdf,https://app.dimensions.ai/details/publication/pub.1031485921,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
18,100,pub.1040528303,10.1007/s10872-008-0058-5,,,Optical moorings-of-opportunity for validation of ocean color satellites,Journal of Oceanography,,,2008-10,2008,64,5,691-703,Closed,Article,"Kuwahara, Victor S.; Chang, Grace; Zheng, Xiaobing; Dickey, Tommy D.; Jiang, Songnian","Kuwahara, Victor S.","Kuwahara, Victor S. (Soka University); Chang, Grace (University of California, Santa Barbara); Zheng, Xiaobing (Anhui Institute of Optics and Fine Mechanics); Dickey, Tommy D. (University of California, Santa Barbara); Jiang, Songnian (University of California, Santa Barbara)",9,1,,0.7,,https://app.dimensions.ai/details/publication/pub.1040528303,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
19,100,pub.1002239565,10.4319/lo.2008.53.5_part_2.2057,,,Introduction to the Limnology and Oceanography Special Issue on Autonomous and Lagrangian Platforms and Sensors (ALPS),Limnology and Oceanography,,,2008-09,2008,53,5part2,2057-2061,All OA; Gold,Article,"Dickey, T. D.; Itsweire, E. C.; Moline, M. A.; Perry, M. J.",,"Dickey, T. D. (University of California, Santa Barbara); Itsweire, E. C. (National Science Foundation); Moline, M. A. (California Polytechnic State University); Perry, M. J. (University of Maine)",32,9,,3.16,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.2008.53.5_part_2.2057,https://app.dimensions.ai/details/publication/pub.1002239565,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
20,100,pub.1038146494,10.1016/j.dsr2.2008.02.003,,,Physical dynamics and biological implications of a mesoscale eddy in the lee of Hawai’i: Cyclone Opal observations during E-Flux III,Deep Sea Research Part II Topical Studies in Oceanography,,,2008-05,2008,55,10-13,1252-1274,Closed,Article,"Nencioli, Francesco; Kuwahara, Victor S.; Dickey, Tommy D.; Rii, Yoshimi M.; Bidigare, Robert R.","Nencioli, Francesco","Nencioli, Francesco (University of South Carolina); Kuwahara, Victor S. (University of South Carolina; Woods Hole Oceanographic Institution); Dickey, Tommy D. (University of South Carolina); Rii, Yoshimi M. (University of Hawaii at Manoa); Bidigare, Robert R. (University of Hawaii at Manoa)",54,5,,4.6,,https://app.dimensions.ai/details/publication/pub.1038146494,0602 Ecology; 0405 Oceanography; 0402 Geochemistry; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0402 Geochemistry,04 Earth Sciences,06 Biological Sciences
21,100,pub.1031462578,10.1016/j.dsr2.2008.01.007,,,Physical dynamics and biological implications of Cyclone Noah in the lee of Hawai’i during E-Flux I,Deep Sea Research Part II Topical Studies in Oceanography,,,2008-05,2008,55,10-13,1231-1251,Closed,Article,"Kuwahara, Victor S.; Nencioli, Francesco; Dickey, Tommy D.; Rii, Yoshimi M.; Bidigare, Robert R.","Kuwahara, Victor S.","Kuwahara, Victor S. (University of South Carolina; Woods Hole Oceanographic Institution); Nencioli, Francesco (University of South Carolina); Dickey, Tommy D. (University of South Carolina); Rii, Yoshimi M. (University of Hawaii at Manoa); Bidigare, Robert R. (University of Hawaii at Manoa)",17,0,,1.33,,https://app.dimensions.ai/details/publication/pub.1031462578,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
22,100,pub.1020565812,10.1016/j.dsr2.2008.01.006,,,Physical and bio-optical observations of oceanic cyclones west of the island of Hawai’i,Deep Sea Research Part II Topical Studies in Oceanography,,,2008-05,2008,55,10-13,1195-1217,Closed,Article,"Dickey, Tommy D.; Nencioli, Francesco; Kuwahara, Victor S.; Leonard, Carrie; Black, Wil; Rii, Yoshimi M.; Bidigare, Robert R.; Zhang, Qin","Dickey, Tommy D.","Dickey, Tommy D. (University of South Carolina); Nencioli, Francesco (University of South Carolina); Kuwahara, Victor S. (University of South Carolina); Leonard, Carrie (Woods Hole Oceanographic Institution); Black, Wil (University of South Carolina); Rii, Yoshimi M. (University of Hawaii at Manoa); Bidigare, Robert R. (University of Hawaii at Manoa); Zhang, Qin (University of South Carolina)",40,2,,3.13,,https://app.dimensions.ai/details/publication/pub.1020565812,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
23,100,pub.1003439931,10.1016/j.dsr2.2008.01.013,,,The transient oasis: Nutrient-phytoplankton dynamics and particle export in Hawaiian lee cyclones,Deep Sea Research Part II Topical Studies in Oceanography,,,2008-05,2008,55,10-13,1275-1290,Closed,Article,"Rii, Yoshimi M.; Brown, Susan L.; Nencioli, Francesco; Kuwahara, Victor; Dickey, Tommy; Karl, David M.; Bidigare, Robert R.","Rii, Yoshimi M.","Rii, Yoshimi M. (University of South Carolina); Brown, Susan L. (University of South Carolina); Nencioli, Francesco (Woods Hole Oceanographic Institution); Kuwahara, Victor (Woods Hole Oceanographic Institution); Dickey, Tommy (Woods Hole Oceanographic Institution); Karl, David M. (University of South Carolina); Bidigare, Robert R. (University of Hawaii at Manoa)",43,5,,3.36,,https://app.dimensions.ai/details/publication/pub.1003439931,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
24,100,pub.1041651420,10.1029/2007jc004358,,,Observations and analyses of upper ocean responses to tropical storms and hurricanes in the vicinity of Bermuda,Journal of Geophysical Research,,,2008,2008,113,C8,,All OA; Gold,Article,"Black, W. J.; Dickey, T. D.",,"Black, W. J. (University of California, Santa Barbara); Dickey, T. D. (University of California, Santa Barbara)",45,15,,3.52,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2007JC004358,https://app.dimensions.ai/details/publication/pub.1041651420,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
25,100,pub.1094567149,10.1109/oceanse.2007.4302277,,,Inovations in ocean optics for coastal and open ocean mooring applications,,OCEANS 2007 - Europe,,2007-06,2007,,,1-7,Closed,Proceeding,"Kuwahara, Victor S.; Chang, Grace C.; Dickey, Tommy D.",,"Kuwahara, Victor S. (Soka University); Chang, Grace C. (University of California, Santa Barbara); Dickey, Tommy D. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1094567149,02 Physical Sciences; 04 Earth Sciences; 0299 Other Physical Sciences; 0405 Oceanography,02 Physical Sciences,04 Earth Sciences,0299 Other Physical Sciences,0405 Oceanography,
26,400,pub.1062455014,10.1126/science.1136221,17510362,,Mesoscale Eddies Drive Increased Silica Export in the Subtropical Pacific Ocean,Science,,Animals; Bacteria; Biomass; Carbon; Chlorophyll; Diatoms; Ecosystem; Hawaii; Nitrates; Nitrites; Pacific Ocean; Photosynthesis; Phytoplankton; Seawater; Silicic Acid; Silicon Dioxide; Temperature; Water Movements; Zooplankton,2007-05-18,2007,316,5827,1017-1021,Closed,Article,"Benitez-Nelson, Claudia R.; Bidigare, Robert R.; Dickey, Tommy D.; Landry, Michael R.; Leonard, Carrie L.; Brown, Susan L.; Nencioli, Francesco; Rii, Yoshimi M.; Maiti, Kanchan; Becker, Jamie W.; Bibby, Thomas S.; Black, Wil; Cai, Wei-Jun; Carlson, Craig A.; Chen, Feizhou; Kuwahara, Victor S.; Mahaffey, Claire; McAndrew, Patricia M.; Quay, Paul D.; Rappé, Michael S.; Selph, Karen E.; Simmons, Melinda P.; Yang, Eun Jin",,"Benitez-Nelson, Claudia R. (University of South Carolina); Bidigare, Robert R. (University of Hawaii at Manoa); Dickey, Tommy D. (University of California, Santa Barbara); Landry, Michael R. (Scripps Institution of Oceanography); Leonard, Carrie L. (BAE Systems (United States)); Brown, Susan L. (University of Hawaii at Manoa); Nencioli, Francesco (University of California, Santa Barbara); Rii, Yoshimi M. (University of Hawaii at Manoa); Maiti, Kanchan (University of South Carolina); Becker, Jamie W. (University of Hawaii at Manoa); Bibby, Thomas S. (University of Southampton; Rutgers, The State University of New Jersey); Black, Wil (University of California, Santa Barbara); Cai, Wei-Jun (University of Georgia); Carlson, Craig A. (University of California, Santa Barbara); Chen, Feizhou (University of Georgia); Kuwahara, Victor S. (University of California, Santa Barbara; Soka University); Mahaffey, Claire (University of Hawaii at Manoa); McAndrew, Patricia M. (University of Hawaii at Manoa); Quay, Paul D. (University of Washington); Rappé, Michael S. (University of Hawaii at Manoa); Selph, Karen E. (University of Hawaii at Manoa); Simmons, Melinda P. (Scripps Institution of Oceanography; Gordon and Betty Moore Foundation); Yang, Eun Jin (Scripps Institution of Oceanography; Korea Institute of Ocean Science and Technology)",165,19,0.66,13.53,,https://app.dimensions.ai/details/publication/pub.1062455014,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
27,100,pub.1019136417,10.1016/j.dsr.2006.12.011,,,Temporal variability of zooplankton biomass from ADCP backscatter time series data at the Bermuda Testbed Mooring site,Deep Sea Research Part I Oceanographic Research Papers,,,2007-04,2007,54,4,608-636,Closed,Article,"Jiang, Songnian; Dickey, Tommy D.; Steinberg, Deborah K.; Madin, Laurence P.","Jiang, Songnian","Jiang, Songnian (University of California, Santa Barbara); Dickey, Tommy D. (University of California, Santa Barbara); Steinberg, Deborah K. (William & Mary); Madin, Laurence P. (Woods Hole Oceanographic Institution)",52,13,,4.26,,https://app.dimensions.ai/details/publication/pub.1019136417,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
28,100,pub.1095372306,10.1109/oceans.2006.307099,,,The Bermuda Testbed Mooring and HALE-ALOHA Mooring Programs: Innovative Deep-Sea Global Observatories,,OCEANS 2006,,2006-09,2006,,,1-4,Closed,Proceeding,"Dickey, Tommy; Chang, Grace; Moore, Casey; Hanson, Al; Karl, Dave; Manov, Derek; Spada, Frank; Peters, Don; Kemp, John; Schofield, Oscar; Glenn, Scott",,"Dickey, Tommy (University of California, Santa Barbara); Chang, Grace (University of California, Santa Barbara); Moore, Casey (); Hanson, Al (); Karl, Dave (University of Hawaii at Manoa); Manov, Derek (University of California, Santa Barbara); Spada, Frank (University of California, Santa Barbara); Peters, Don (Woods Hole Oceanographic Institution); Kemp, John (Woods Hole Oceanographic Institution); Schofield, Oscar (Rutgers, The State University of New Jersey); Glenn, Scott (Rutgers, The State University of New Jersey)",1,1,,0.08,,https://app.dimensions.ai/details/publication/pub.1095372306,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
29,400,pub.1065120862,10.1364/ao.45.003593,16708106,,In situ optical variability and relationships in the Santa Barbara Channel: implications for remote sensing.,Applied Optics,,,2006-05-20,2006,45,15,3593-604,Closed,Article,"Chang, Grace C; Barnard, Andrew H; McLean, Scott; Egli, Peter J; Moore, Casey; Zaneveld, J Ron V; Dickey, Tommy D; Hanson, Al",,"Chang, Grace C (University of California, Santa Barbara); Barnard, Andrew H (); McLean, Scott (); Egli, Peter J (); Moore, Casey (); Zaneveld, J Ron V (); Dickey, Tommy D (); Hanson, Al ()",19,2,0.11,4.49,,https://app.dimensions.ai/details/publication/pub.1065120862,09 Engineering; 0205 Optical Physics; 0906 Electrical and Electronic Engineering; 0913 Mechanical Engineering; 02 Physical Sciences,09 Engineering,0205 Optical Physics,0906 Electrical and Electronic Engineering,0913 Mechanical Engineering,02 Physical Sciences
30,100,pub.1049821249,10.1029/2006gl026466,,,Quick transport of primary produced organic carbon to the ocean interior,Geophysical Research Letters,,,2006,2006,33,16,,All OA; Gold,Article,"Honda, M. C.; Kawakami, H.; Sasaoka, K.; Watanabe, S.; Dickey, T.",,"Honda, M. C. (Japan Agency for Marine-Earth Science and Technology); Kawakami, H. (Japan Agency for Marine-Earth Science and Technology); Sasaoka, K. (Japan Agency for Marine-Earth Science and Technology); Watanabe, S. (Japan Agency for Marine-Earth Science and Technology); Dickey, T. (University of California, Santa Barbara)",32,1,,2.4,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2006GL026466,https://app.dimensions.ai/details/publication/pub.1049821249,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
31,100,pub.1030885952,10.1029/2003rg000148,,,Optical oceanography: Recent advances and future directions using global remote sensing and in situ observations,Reviews of Geophysics,,,2006,2006,44,1,,All OA; Gold,Article,"Dickey, T.; Lewis, M.; Chang, G.",,"Dickey, T. (University of California, Santa Barbara); Lewis, M. (Dalhousie University); Chang, G. (University of California, Santa Barbara)",70,7,,5.25,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2003RG000148,https://app.dimensions.ai/details/publication/pub.1030885952,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
