,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Cheryl J Briggs. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1101633865,10.3389/fmicb.2018.00487,29619014,PMC5871691,Host and Aquatic Environment Shape the Amphibian Skin Microbiome but Effects on Downstream Resistance to the Pathogen Batrachochytrium dendrobatidis Are Variable,Frontiers in Microbiology,,,2018-03-21,2018,9,,487,All OA; Gold,Article,"Jani, Andrea J.; Briggs, Cheryl J.",,"Jani, Andrea J. (University of Hawaii at Manoa); Briggs, Cheryl J. (University of California, Santa Barbara)",7,7,,,https://www.frontiersin.org/articles/10.3389/fmicb.2018.00487/pdf,https://app.dimensions.ai/details/publication/pub.1101633865,0605 Microbiology; 0602 Ecology; 06 Biological Sciences,0605 Microbiology,0602 Ecology,06 Biological Sciences,,
11,500,pub.1099967764,10.3354/dao03202,29516858,,"Occurrence of Batrachochytrium dendrobatidis in anurans of the Mediterranean region of Baja California, México.",Diseases of Aquatic Organisms,,Animals; Anura; Chytridiomycota; Mexico; Mycoses,2018-03-05,2018,127,3,193-200,All OA; Gold,Article,"Peralta-García, Anny; Adams, Andrea J; Briggs, Cheryl J; Galina-Tessaro, Patricia; Valdez-Villavicencio, Jorge H; Hollingsworth, Bradford D; Shaffer, H Bradley; Fisher, Robert N",,"Peralta-García, Anny (National Council of Science and Technology); Adams, Andrea J (); Briggs, Cheryl J (); Galina-Tessaro, Patricia (); Valdez-Villavicencio, Jorge H (); Hollingsworth, Bradford D (); Shaffer, H Bradley (); Fisher, Robert N ()",2,2,,,https://www.int-res.com/articles/dao_oa/d127p193.pdf,https://app.dimensions.ai/details/publication/pub.1099967764,06 Biological Sciences; 07 Agricultural and Veterinary Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,,
12,500,pub.1101037176,10.1371/journal.pone.0191537,29444096,PMC5812569,Invasive African clawed frogs in California: A reservoir for or predator against the chytrid fungus?,PLoS ONE,,Animals; California; Chytridiomycota; Daphnia; Disease Reservoirs; Introduced Species; Larva; Predatory Behavior; Xenopus laevis,2018-02-14,2018,13,2,e0191537,All OA; Gold,Article,"Wilson, Emily A.; Briggs, Cheryl J.; Dudley, Tom L.",,"Wilson, Emily A. (University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara); Dudley, Tom L. (University of California, Santa Barbara)",0,0,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0191537&type=printable,https://app.dimensions.ai/details/publication/pub.1101037176,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
13,100,pub.1091414857,10.1007/s10530-017-1550-x,,,Shared behavioral responses and predation risk of anuran larvae and adults exposed to a novel predator,Biological Invasions,,,2018-02,2018,20,2,475-485,Closed,Article,"Wilson, Emily A.; Dudley, Tom L.; Briggs, Cheryl J.","Wilson, Emily A.","Wilson, Emily A. (University of California, Santa Barbara); Dudley, Tom L. (University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1091414857,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
14,500,pub.1092350953,10.1002/ece3.3468,29238549,PMC5723621,Rapid extirpation of a North American frog coincides with an increase in fungal pathogen prevalence: Historical analysis and implications for reintroduction,Ecology and Evolution,,,2017-12,2017,7,23,10216-10232,All OA; Gold,Article,"Adams, Andrea J.; Pessier, Allan P.; Briggs, Cheryl J.",,"Adams, Andrea J. (University of California, Santa Barbara); Pessier, Allan P. (Washington State University); Briggs, Cheryl J. (University of California, Santa Barbara)",3,3,0.76,1.17,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.3468,https://app.dimensions.ai/details/publication/pub.1092350953,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,500,pub.1014455463,10.1186/s13071-016-1938-y,28057067,PMC5217405,Lyme disease risk in southern California: abiotic and environmental drivers of Ixodes pacificus (Acari: Ixodidae) density and infection prevalence with Borrelia burgdorferi,Filaria Journal,,"Animals; Borrelia burgdorferi; California; Disease Transmission, Infectious; Ecosystem; Humans; Ixodes; Lyme Disease; Population Density; Prevalence; Risk Assessment",2017-12,2017,10,1,7,All OA; Gold,Article,"MacDonald, Andrew J.; Hyon, David W.; Brewington, John B.; O’Connor, Kerry E.; Swei, Andrea; Briggs, Cheryl J.","MacDonald, Andrew J.","MacDonald, Andrew J. (University of California, Santa Barbara; Stanford University); Hyon, David W. (University of California, Santa Barbara); Brewington, John B. (University of California, Santa Barbara); O’Connor, Kerry E. (San Francisco State University); Swei, Andrea (San Francisco State University); Briggs, Cheryl J. (University of California, Santa Barbara)",9,8,2.05,5,https://parasitesandvectors.biomedcentral.com/track/pdf/10.1186/s13071-016-1938-y,https://app.dimensions.ai/details/publication/pub.1014455463,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
16,500,pub.1090898151,10.1111/ele.12814,28745026,,"Resistance, tolerance and environmental transmission dynamics determine host extinction risk in a load‐dependent amphibian disease",Ecology Letters,,Amphibians; Animals; Chytridiomycota; Environment; Mycoses; Risk,2017-09,2017,20,9,1169-1181,All OA; Gold,Article,"Wilber, Mark Q.; Knapp, Roland A.; Toothman, Mary; Briggs, Cheryl J.",,"Wilber, Mark Q. (University of California, Santa Barbara); Knapp, Roland A. (); Toothman, Mary (University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara)",14,14,1.74,6.24,https://doi.org/10.1111/ele.12814,https://app.dimensions.ai/details/publication/pub.1090898151,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
17,500,pub.1091380195,10.1098/rsif.2017.0480,28855388,PMC5582134,Using stochastic epidemiological models to evaluate conservation strategies for endangered amphibians,Journal of The Royal Society Interface,,"Amphibians; Animals; Chytridiomycota; Conservation of Natural Resources; Endangered Species; Host-Pathogen Interactions; Models, Biological; Mycoses",2017-08-31,2017,14,133,20170480,All OA; Gold,Article,"Drawert, Brian; Griesemer, Marc; Petzold, Linda R.; Briggs, Cheryl J.",,"Drawert, Brian (); Griesemer, Marc (Lawrence Livermore National Laboratory); Petzold, Linda R. (University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara)",6,6,0.56,2.68,https://royalsocietypublishing.org/doi/pdf/10.1098/rsif.2017.0480,https://app.dimensions.ai/details/publication/pub.1091380195,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
18,100,pub.1091915383,10.1101/167395,,,The influence of landscape and environmental factors on ranavirus epidemiology in amphibian assemblages,bioRxiv,,,2017-07-23,2017,,,167395,"All OA; Green, Published",Preprint,"Tornabene, Brian J.; Blaustein, Andrew R.; Briggs, Cheryl J.; Calhoun, Dana M.; Johnson, Pieter T.J.; McDevitt-Galles, Travis; Rohr, Jason R.; Hoverman, Jason T.",,"Tornabene, Brian J. (Purdue University System); Blaustein, Andrew R. (Oregon State University); Briggs, Cheryl J. (University of California, Santa Barbara); Calhoun, Dana M. (University of Colorado Boulder); Johnson, Pieter T.J. (University of Colorado Boulder); McDevitt-Galles, Travis (University of Colorado Boulder); Rohr, Jason R. (University of South Florida); Hoverman, Jason T. (Purdue University System)",0,0,,0,https://www.biorxiv.org/content/biorxiv/early/2017/07/23/167395.full.pdf,https://app.dimensions.ai/details/publication/pub.1091915383,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
19,500,pub.1086132906,10.1098/rspb.2017.0944,28637861,PMC5489737,Epidemic and endemic pathogen dynamics correspond to distinct host population microbiomes at a landscape scale,Proceedings of The Royal Society B Biological Sciences,,Animals; Bacteria; Chytridiomycota; Microbiota; Mycoses; Ranidae; Skin,2017-06-28,2017,284,1857,20170944,All OA; Gold,Article,"Jani, Andrea J.; Knapp, Roland A.; Briggs, Cheryl J.",,"Jani, Andrea J. (University of Hawaii at Manoa); Knapp, Roland A. (); Briggs, Cheryl J. (University of California, Santa Barbara)",19,19,3.69,6.29,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2017.0944,https://app.dimensions.ai/details/publication/pub.1086132906,1108 Medical Microbiology; 11 Medical and Health Sciences; 0605 Microbiology; 06 Biological Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,0605 Microbiology,06 Biological Sciences,
20,500,pub.1027023311,10.1002/ecy.1675,27935638,,When can we infer mechanism from parasite aggregation? A constraint‐based approach to disease ecology,Ecology,,Amphibians; Animals; Ecology; Host-Parasite Interactions; Parasites; Trematoda,2017-03,2017,98,3,688-702,All OA; Gold,Article,"Wilber, Mark Q.; Johnson, Pieter T. J.; Briggs, Cheryl J.",,"Wilber, Mark Q. (University of California, Santa Barbara); Johnson, Pieter T. J. (University of Colorado Boulder); Briggs, Cheryl J. (University of California, Santa Barbara)",8,7,0.86,3.54,https://doi.org/10.1002/ecy.1675,https://app.dimensions.ai/details/publication/pub.1027023311,0602 Ecology; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
21,100,pub.1084011415,10.1002/ecs2.1740,,,"Extreme drought, host density, sex, and bullfrogs influence fungal pathogen infection in a declining lotic amphibian",Ecosphere,,,2017-03,2017,8,3,e01740,All OA; Gold,Article,"Adams, Andrea J.; Kupferberg, Sarah J.; Wilber, Mark Q.; Pessier, Allan P.; Grefsrud, Marcia; Bobzien, Steve; Vredenburg, Vance T.; Briggs, Cheryl J.",,"Adams, Andrea J. (); Kupferberg, Sarah J. (University of California, Berkeley); Wilber, Mark Q. (); Pessier, Allan P. (Washington State University); Grefsrud, Marcia (California Department of Fish and Wildlife); Bobzien, Steve (); Vredenburg, Vance T. (San Francisco State University); Briggs, Cheryl J. ()",15,13,,6.25,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1740,https://app.dimensions.ai/details/publication/pub.1084011415,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
22,400,pub.1020497554,10.1073/pnas.1600983113,27698128,PMC5081604,Large-scale recovery of an endangered amphibian despite ongoing exposure to multiple stressors,Proceedings of the National Academy of Sciences,,"Amphibians; Animals; California; Conservation of Natural Resources; Ecosystem; Endangered Species; Environmental Exposure; Factor Analysis, Statistical; Models, Statistical; Population Density; Ranidae; Spatial Analysis",2016-10-18,2016,113,42,11889-11894,"All OA; Green, Published",Article,"Knapp, Roland A.; Fellers, Gary M.; Kleeman, Patrick M.; Miller, David A. W.; Vredenburg, Vance T.; Rosenblum, Erica Bree; Briggs, Cheryl J.",,"Knapp, Roland A. (); Fellers, Gary M. (); Kleeman, Patrick M. (); Miller, David A. W. (Pennsylvania State University); Vredenburg, Vance T. (San Francisco State University); Rosenblum, Erica Bree (University of California, Berkeley); Briggs, Cheryl J. (University of California, Santa Barbara)",44,30,3.15,12.81,http://europepmc.org/articles/pmc5081604?pdf=render,https://app.dimensions.ai/details/publication/pub.1020497554,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
23,400,pub.1025507874,10.1111/2041-210x.12561,28239442,PMC5321654,Integral Projection Models for host–parasite systems with an application to amphibian chytrid fungus,Methods in Ecology and Evolution,,,2016-10,2016,7,10,1182-1194,All OA; Gold,Article,"Wilber, Mark Q.; Langwig, Kate E.; Kilpatrick, Auston Marm; McCallum, Hamish I.; Briggs, Cheryl J.",,"Wilber, Mark Q. (University of California, Santa Barbara); Langwig, Kate E. (University of California, Santa Cruz); Kilpatrick, Auston Marm (University of California, Santa Cruz); McCallum, Hamish I. (Griffith University); Briggs, Cheryl J. (University of California, Santa Barbara)",10,8,0.73,3.03,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/2041-210X.12561,https://app.dimensions.ai/details/publication/pub.1025507874,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,05 Environmental Sciences,06 Biological Sciences
24,100,pub.1043919441,10.1002/ecs2.1327,,,Declines and extinctions of mountain yellow‐legged frogs have small effects on benthic macroinvertebrate communities,Ecosphere,,,2016-06,2016,7,6,e01327,All OA; Gold,Article,"Smith, Thomas C.; Knapp, Roland A.; Briggs, Cheryl J.",,"Smith, Thomas C. (University of California, Santa Barbara); Knapp, Roland A. (); Briggs, Cheryl J. (University of California, Santa Barbara)",1,1,,0.29,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1327,https://app.dimensions.ai/details/publication/pub.1043919441,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
25,400,pub.1011432932,10.1016/j.ttbdis.2015.10.016,26564403,,Truncated seasonal activity patterns of the western blacklegged tick (Ixodes pacificus) in central and southern California,Ticks and Tick-borne Diseases,,Animals; California; Feeding Behavior; Ixodes; Seasons; Time Factors,2016-02,2016,7,1,234-242,"All OA; Green, Published",Article,"MacDonald, Andrew J.; Briggs, Cheryl J.","MacDonald, Andrew J.","MacDonald, Andrew J. (University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara)",10,5,1.58,3.88,https://escholarship.org/content/qt8r4379d8/qt8r4379d8.pdf?t=ol0j8w,https://app.dimensions.ai/details/publication/pub.1011432932,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
26,400,pub.1028766293,10.1016/j.ijpara.2015.08.009,26475963,PMC4888599,Detecting and quantifying parasite-induced host mortality from intensity data: method comparisons and limitations,International Journal for Parasitology,,"Animal Population Groups; Animals; Animals, Wild; Behavior, Animal; Binomial Distribution; Computer Simulation; Host-Parasite Interactions; Lethal Dose 50; Likelihood Functions; Models, Statistical; Parasites; Parasitic Diseases, Animal; Reproduction; Statistics as Topic; Survival Rate",2016-01,2016,46,1,59-66,All OA; Gold,Article,"Wilber, Mark Q.; Weinstein, Sara B.; Briggs, Cheryl J.","Wilber, Mark Q.","Wilber, Mark Q. (University of California, Santa Barbara); Weinstein, Sara B. (University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara)",10,6,1.47,3.61,https://manuscript.elsevier.com/S0020751915002520/pdf/S0020751915002520.pdf,https://app.dimensions.ai/details/publication/pub.1028766293,0707 Veterinary Sciences; 0605 Microbiology; 0608 Zoology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0707 Veterinary Sciences,0605 Microbiology,0608 Zoology,06 Biological Sciences,07 Agricultural and Veterinary Sciences
27,400,pub.1004095239,10.7589/2015-06-156,26540180,,Mountain Yellow-legged Frogs (Rana muscosa) did not Produce Detectable Antibodies in Immunization Experiments with Batrachochytrium dendrobatidis,Journal of Wildlife Diseases,,"Adaptive Immunity; Animals; Antibodies, Fungal; Chytridiomycota; Immunization; Mycoses; Ranidae",2016-01,2016,52,1,154-158,All OA; Gold,Article,"Poorten, Thomas J.; Stice-Kishiyama, Mary J.; Briggs, Cheryl J.; Rosenblum, Erica Bree",,"Poorten, Thomas J. (University of California, Berkeley); Stice-Kishiyama, Mary J. (University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara); Rosenblum, Erica Bree (University of California, Berkeley)",5,4,0.26,2.25,http://www.jwildlifedis.org/doi/pdf/10.7589/2015-06-156,https://app.dimensions.ai/details/publication/pub.1004095239,07 Agricultural and Veterinary Sciences; 0707 Veterinary Sciences; 06 Biological Sciences; 0608 Zoology,07 Agricultural and Veterinary Sciences,0707 Veterinary Sciences,06 Biological Sciences,0608 Zoology,
