,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Phaedon C Kyriakidis. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1086117705,10.1016/j.spasta.2017.06.003,,,A spatiotemporal geostatistical hurdle model approach for short-term deforestation prediction,Spatial Statistics,,,2017-08,2017,21,,304-318,Closed,Article,"Sales, Marcio; de Bruin, Sytze; Herold, Martin; Kyriakidis, Phaedon; Souza, Carlos","Sales, Marcio","Sales, Marcio (Wageningen University & Research); de Bruin, Sytze (Wageningen University & Research); Herold, Martin (Wageningen University & Research); Kyriakidis, Phaedon (Cyprus University of Technology); Souza, Carlos (Institute of Man and Environment of Amazonia)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1086117705,17 Psychology and Cognitive Sciences; 1701 Psychology,17 Psychology and Cognitive Sciences,1701 Psychology,,,
11,100,pub.1084437068,10.3390/rs9030255,,,Geostatistical Integration of Coarse Resolution Satellite Precipitation Products and Rain Gauge Data to Map Precipitation at Fine Spatial Resolutions,Remote Sensing,,,2017-03-09,2017,9,3,255,All OA; Gold,Article,"Park, No-Wook; Kyriakidis, Phaedon; Hong, Sungwook",,"Park, No-Wook (); Kyriakidis, Phaedon (); Hong, Sungwook ()",9,9,,3.97,https://www.mdpi.com/2072-4292/9/3/255/pdf,https://app.dimensions.ai/details/publication/pub.1084437068,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
12,100,pub.1087289618,10.1002/9781118786352.wbieg1159,,,Geostatistics,,"International Encyclopedia of Geography: People, the Earth, Environment and Technology",,2017-03-06,2017,,,1-13,Closed,Chapter,"Kyriakidis, Phaedon",,"Kyriakidis, Phaedon (Cyprus University of Technology)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1087289618,09 Engineering; 0909 Geomatic Engineering; 05 Environmental Sciences; 0502 Environmental Science and Management,09 Engineering,0909 Geomatic Engineering,05 Environmental Sciences,0502 Environmental Science and Management,
13,200,pub.1091805550,10.1007/978-3-319-17885-1_1645,,,Aggregate Data: Geostatistical Solutions for Reconstructing Attribute Surfaces,,Encyclopedia of GIS,,2017,2017,,,49-59,All OA; Gold,Chapter,"Kyriakidis, Phaedon",,"Kyriakidis, Phaedon (Cyprus University of Technology)",1,1,,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-17885-1_1645.pdf,https://app.dimensions.ai/details/publication/pub.1091805550,,,,,,
14,100,pub.1084766752,10.1007/978-3-319-56759-4_19,,,Beyond Pairs: Generalizing the Geo-dipole for Quantifying Spatial Patterns in Geographic Fields,Lecture Notes in Geoinformation and Cartography,Societal Geo-innovation,,2017,2017,,,331-348,Closed,Chapter,"Zhu, Rui; Kyriakidis, Phaedon C.; Janowicz, Krzysztof","Zhu, Rui","Zhu, Rui (University of California, Santa Barbara); Kyriakidis, Phaedon C. (Cyprus University of Technology); Janowicz, Krzysztof (University of California, Santa Barbara)",4,4,,1.76,,https://app.dimensions.ai/details/publication/pub.1084766752,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
15,200,pub.1083565223,10.1093/eurpub/ckw171.028,,,Towards developing evidence-based GIS-driven infrastructure for cancer surveillance in Greece,European Journal of Public Health,,,2016-11,2016,26,suppl_1,,All OA; Gold,Article,"Sifaki-Pistolla, D; Koinis, F; Chatzea, VE; Lionakis, S; Epitropaki, K; Vasilaki, E; Romanidou, T; Kouroupi, M; Frouzi, E; Georgoulias, V; Lionis, C; Kyriakidis, P; Aggelaki, S; Tzanakis, N",,"Sifaki-Pistolla, D (); Koinis, F (); Chatzea, VE (); Lionakis, S (); Epitropaki, K (); Vasilaki, E (); Romanidou, T (); Kouroupi, M (); Frouzi, E (); Georgoulias, V (); Lionis, C (); Kyriakidis, P (); Aggelaki, S (); Tzanakis, N ()",0,0,,0,https://academic.oup.com/eurpub/article-pdf/26/suppl_1/ckw171.028/7369080/ckw171.028.pdf,https://app.dimensions.ai/details/publication/pub.1083565223,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
16,200,pub.1083443660,10.1093/eurpub/ckw175.089,,,"Lung cancer geographical variation in Crete, 1992-2013. Insights from a population-based registry",European Journal of Public Health,,,2016-11,2016,26,suppl_1,,All OA; Gold,Article,"Sifaki-Pistolla, D; Koinis, F; Georgoulias, V; Lionis, C; Kyriakidis, P; Aggelaki, S; Tzanakis, N",,"Sifaki-Pistolla, D (); Koinis, F (); Georgoulias, V (); Lionis, C (); Kyriakidis, P (); Aggelaki, S (); Tzanakis, N ()",0,0,,0,https://academic.oup.com/eurpub/article-pdf/26/suppl_1/ckw175.089/7370451/ckw175.089.pdf,https://app.dimensions.ai/details/publication/pub.1083443660,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
17,100,pub.1020728619,10.1080/01431161.2016.1204031,,,Geostatistical downscaling of AMSR2 precipitation with COMS infrared observations,International Journal of Remote Sensing,,,2016-08-17,2016,37,16,3858-3869,Closed,Article,"Park, No-Wook; Hong, Sungwook; Kyriakidis, Phaedon C.; Lee, Woojoo; Lyu, Sang-Jin",,"Park, No-Wook (Inha University); Hong, Sungwook (); Kyriakidis, Phaedon C. (Cyprus University of Technology); Lee, Woojoo (Inha University); Lyu, Sang-Jin (Korea Meteorological Administration)",4,3,,1.4,,https://app.dimensions.ai/details/publication/pub.1020728619,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
18,200,pub.1001637219,10.1117/12.2240762,,,Smart city planning from a bottom-up approach: local communities' intervention for a smarter urban environment,Proceedings of SPIE,Fourth International Conference on Remote Sensing and Geoinformation of the Environment (RSCy2016),,2016-08-12,2016,9688,,968819-968819-12,Closed,Proceeding,"Alverti, Maroula; Hadjimitsis, Diofantos; Kyriakidis, Phaedon; Serraos, Konstantinos",,"Alverti, Maroula (Cyprus University of Technology); Hadjimitsis, Diofantos (Cyprus University of Technology); Kyriakidis, Phaedon (Cyprus University of Technology); Serraos, Konstantinos (National and Kapodistrian University of Athens)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1001637219,,,,,,
19,100,pub.1061334287,10.1109/jstars.2016.2569411,,,"Climate-Related Child Undernutrition in the Lake Victoria Basin: An Integrated Spatial Analysis of Health Surveys, NDVI, and Precipitation Data",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,,,2016-06,2016,9,6,2830-2835,All OA; Gold,Article,"Lpez-Carr, David; Mwenda, Kevin M.; Pricope, Narcisa G.; Kyriakidis, Phaedon C.; Jankowska, Marta M.; Weeks, John; Funk, Chris; Husak, Gregory; Michaelsen, Joel",,"Lpez-Carr, David (University of California, Santa Barbara); Mwenda, Kevin M. (University of California, Santa Barbara); Pricope, Narcisa G. (University of North Carolina Wilmington); Kyriakidis, Phaedon C. (Cyprus University of Technology); Jankowska, Marta M. (University of California, San Diego); Weeks, John (University of California, Santa Barbara); Funk, Chris (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",3,2,,1.09,https://doi.org/10.1109/jstars.2016.2569411,https://app.dimensions.ai/details/publication/pub.1061334287,08 Information and Computing Sciences; 09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 0801 Artificial Intelligence and Image Processing; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,0801 Artificial Intelligence and Image Processing
20,100,pub.1027621578,10.3390/rs8040320,,,Spatial Estimation of Classification Accuracy Using Indicator Kriging with an Image-Derived Ambiguity Index,Remote Sensing,,,2016-04-11,2016,8,4,320,All OA; Gold,Article,"Park, No-Wook; Kyriakidis, Phaedon C.; Hong, Suk-Young",,"Park, No-Wook (Inha University); Kyriakidis, Phaedon C. (); Hong, Suk-Young ()",7,5,,2.2,https://www.mdpi.com/2072-4292/8/4/320/pdf,https://app.dimensions.ai/details/publication/pub.1027621578,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 02 Physical Sciences; 0203 Classical Physics; 04 Earth Sciences,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,02 Physical Sciences,0203 Classical Physics
21,200,pub.1030531240,10.1007/978-3-319-23519-6_1645-1,,,Aggregate Data: Geostatistical Solutions for Reconstructing Attribute Surfaces,,Encyclopedia of GIS,,2016,2016,,,1-10,All OA; Gold,Chapter,"Kyriakidis, Phaedon",,"Kyriakidis, Phaedon (Cyprus University of Technology)",0,0,,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-23519-6_1645-1.pdf,https://app.dimensions.ai/details/publication/pub.1030531240,,,,,,
22,100,pub.1023661869,10.1007/978-3-319-48496-9_64,,,"Project iMARECULTURE: Advanced VR, iMmersive Serious Games and Augmented REality as Tools to Raise Awareness and Access to European Underwater CULTURal heritagE",Lecture Notes in Computer Science,"Digital Heritage. Progress in Cultural Heritage: Documentation, Preservation, and Protection",,2016,2016,10058,,805-813,Closed,Chapter,"Skarlatos, D.; Agrafiotis, P.; Balogh, T.; Bruno, F.; Castro, F.; Petriaggi, B. Davidde; Demesticha, S.; Doulamis, A.; Drap, P.; Georgopoulos, A.; Kikillos, F.; Kyriakidis, P.; Liarokapis, F.; Poullis, C.; Rizvic, S.","Skarlatos, D.","Skarlatos, D. (Cyprus University of Technology); Agrafiotis, P. (Cyprus University of Technology; National Technical University of Athens); Balogh, T. (Holografika (Hungary)); Bruno, F. (University of Calabria); Castro, F. (Universidade Nova de Lisboa); Petriaggi, B. Davidde (Ministry of Cultural Heritage and Activities and Tourism); Demesticha, S. (University of Cyprus); Doulamis, A. (National Technical University of Athens); Drap, P. (Aix-Marseille University); Georgopoulos, A. (National Technical University of Athens); Kikillos, F. (); Kyriakidis, P. (Cyprus University of Technology); Liarokapis, F. (Masaryk University); Poullis, C. (Concordia University); Rizvic, S. (University of Sarajevo)",10,10,,7.57,,https://app.dimensions.ai/details/publication/pub.1023661869,08 Information and Computing Sciences; 0806 Information Systems; 21 History and Archaeology; 2102 Curatorial and Related Studies; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0806 Information Systems,21 History and Archaeology,2102 Curatorial and Related Studies,0801 Artificial Intelligence and Image Processing
23,100,pub.1005649476,10.1016/j.spasta.2015.05.007,,,Accounting for model sensitivity in controlled (log)Gaussian geostatistical simulation,Spatial Statistics,,,2015-11,2015,14,,224-239,Closed,Article,"Liodakis, Stelios; Kyriakidis, Phaedon; Gaganis, Petros","Liodakis, Stelios","Liodakis, Stelios (University of the Aegean); Kyriakidis, Phaedon (University of the Aegean; University of California, Santa Barbara); Gaganis, Petros (University of the Aegean)",1,1,,0.49,,https://app.dimensions.ai/details/publication/pub.1005649476,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
24,100,pub.1093362790,10.1109/igarss.2015.7326335,,,A Spatial Analysis of Climate-Related Child Malnutrition in the Lake Victoria Basin,,2015 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,2015-07,2015,,,2564-2567,Closed,Proceeding,"Lopez-Carr, David; Mwenda, Kevin M.; Pricope, Narcisa G.; Kyriakidis, Phaedon C.; Jankowska, Marta M.; Weeks, John; Funk, Chris; Husak, Gregory; Michaelsen, Joel",,"Lopez-Carr, David (University of California, Santa Barbara); Mwenda, Kevin M. (University of California, Santa Barbara); Pricope, Narcisa G. (University of California, Santa Barbara); Kyriakidis, Phaedon C. (University of California, Santa Barbara); Jankowska, Marta M. (University of California, Santa Barbara); Weeks, John (University of California, Santa Barbara); Funk, Chris (University of California, Santa Barbara); Husak, Gregory (University of California, Santa Barbara); Michaelsen, Joel (University of California, Santa Barbara)",5,3,,1.52,,https://app.dimensions.ai/details/publication/pub.1093362790,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
25,200,pub.1039589549,10.1117/12.2192565,,,Delineating sea surface water quality regions from remotely sensed data using textural information,Proceedings of SPIE,Third International Conference on Remote Sensing and Geoinformation of the Environment (RSCy2015),,2015-06-19,2015,9535,,95351w-95351w-7,Closed,Proceeding,"Kyriakidis, Phaedon C.; Vasios, George K.; Kitsiou, Dimitra",,"Kyriakidis, Phaedon C. (University of the Aegean); Vasios, George K. (University of the Aegean); Kitsiou, Dimitra (University of the Aegean)",2,1,,,,https://app.dimensions.ai/details/publication/pub.1039589549,,,,,,
26,100,pub.1043874147,10.1016/j.atmosenv.2014.11.006,,,Annual sums of carbon dioxide exchange over a heterogeneous urban landscape through machine learning based gap-filling,Atmospheric Environment,,,2015-01,2015,101,,312-327,Closed,Article,"Menzer, Olaf; Meiring, Wendy; Kyriakidis, Phaedon C.; McFadden, Joseph P.","Menzer, Olaf","Menzer, Olaf (University of California, Santa Barbara); Meiring, Wendy (University of California, Santa Barbara); Kyriakidis, Phaedon C. (University of California, Santa Barbara); McFadden, Joseph P. (University of California, Santa Barbara)",11,8,,2.13,,https://app.dimensions.ai/details/publication/pub.1043874147,09 Engineering; 0907 Environmental Engineering,09 Engineering,0907 Environmental Engineering,,,
27,100,pub.1027542089,10.1007/978-3-642-32408-6_54,,,Multivariate Variogram and Madogram: Tools for Quantifying Diversity/Dissimilarity in Spatiotemporal Data,Lecture Notes in Earth System Sciences,Mathematics of Planet Earth,,2014,2014,,,235-238,Closed,Chapter,"Kyriakidis, Phaedon; Kitsiou, Dimitra; Kavroudakis, Dimitris","Kyriakidis, Phaedon","Kyriakidis, Phaedon (University of the Aegean; University of California, Santa Barbara); Kitsiou, Dimitra (University of the Aegean); Kavroudakis, Dimitris (University of the Aegean)",1,0,,0.24,,https://app.dimensions.ai/details/publication/pub.1027542089,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
28,200,pub.1045894628,10.1117/12.2028801,,,Classification of topography using DEM data and its correlation with the geology of Greece,Proceedings of SPIE,First International Conference on Remote Sensing and Geoinformation of the Environment (RSCy2013),,2013-08-05,2013,8795,,87950s-87950s-9,Closed,Proceeding,"Zargli, Eleni; Liodakis, Stelios; Kyriakidis, Phaedon; Savvaidis, Alexandros",,"Zargli, Eleni (Institute of Engineering Seismology and Earthquake Engineering); Liodakis, Stelios (University of the Aegean); Kyriakidis, Phaedon (University of the Aegean); Savvaidis, Alexandros (Institute of Engineering Seismology and Earthquake Engineering)",1,0,,,,https://app.dimensions.ai/details/publication/pub.1045894628,,,,,,
29,100,pub.1023753654,10.1007/s11004-013-9470-5,,,Efficient Simulation of (Log)Normal Random Fields for Hydrogeological Applications,Mathematical Geosciences,,,2013-07,2013,45,5,531-556,Closed,Article,"Kyriakidis, Phaedon; Gaganis, Petros","Kyriakidis, Phaedon","Kyriakidis, Phaedon (University of the Aegean; University of California, Santa Barbara); Gaganis, Petros (University of the Aegean)",4,2,,1.79,,https://app.dimensions.ai/details/publication/pub.1023753654,01 Mathematical Sciences; 0104 Statistics,01 Mathematical Sciences,0104 Statistics,,,
30,100,pub.1011541654,10.1080/01431161.2013.779399,,,"Forest mapping by geoinformatics for landscape fire behaviour modelling in coastal forests, Greece",International Journal of Remote Sensing,,,2013-06-20,2013,34,12,4466-4490,Closed,Article,"Palaiologou, Palaiologos; Kalabokidis, Kostas; Kyriakidis, Phaedon",,"Palaiologou, Palaiologos (University of the Aegean); Kalabokidis, Kostas (University of the Aegean); Kyriakidis, Phaedon (University of the Aegean)",8,1,,1.9,,https://app.dimensions.ai/details/publication/pub.1011541654,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
31,400,pub.1000129081,10.1007/s10661-012-2781-z,22864579,,Assessing and monitoring semi-arid shrublands using object-based image analysis and multiple endmember spectral mixture analysis,Environmental Monitoring and Assessment,,California; Climate; Environment; Environmental Monitoring; Photography; Remote Sensing Technology; Salvia officinalis,2013-04,2013,185,4,3173-3190,Closed,Article,"Hamada, Yuki; Stow, Douglas A.; Roberts, Dar A.; Franklin, Janet; Kyriakidis, Phaedon C.","Hamada, Yuki","Hamada, Yuki (Argonne National Laboratory; San Diego State University); Stow, Douglas A. (San Diego State University); Roberts, Dar A. (University of California, Santa Barbara); Franklin, Janet (Arizona State University); Kyriakidis, Phaedon C. (University of California, Santa Barbara; University of the Aegean)",17,6,0.13,4.04,,https://app.dimensions.ai/details/publication/pub.1000129081,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
32,100,pub.1061612487,10.1109/tgrs.2012.2208467,,,Fusion of MODIS Images Using Kriging with External Drift,IEEE Transactions on Geoscience and Remote Sensing,,,2013-04,2013,51,4,2250-2259,Closed,Article,"Sales, Marcio H. Ribeiro; Souza, Carlos M.; Kyriakidis, Phaedon C.",,"Sales, Marcio H. Ribeiro (Wageningen University & Research; Federal University of Para); Souza, Carlos M. (Federal University of Para); Kyriakidis, Phaedon C. (University of California, Santa Barbara; University of the Aegean; Aristotle University of Thessaloniki)",33,13,,7.85,,https://app.dimensions.ai/details/publication/pub.1061612487,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
33,100,pub.1009559374,10.1080/13658816.2012.717630,,,Response to ‘Comments on “Combining spatial transition probabilities for stochastic simulation of categorical fields” with communications on some issues related to Markov chain geostatistics’,International Journal of Geographical Information Science,,,2012-10,2012,26,10,1741-1750,Closed,Article,"Cao, Guofeng; Kyriakidis, Phaedon C.; Goodchild, Michael F.",,"Cao, Guofeng (); Kyriakidis, Phaedon C. (); Goodchild, Michael F. ()",3,0,,0.78,,https://app.dimensions.ai/details/publication/pub.1009559374,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
34,100,pub.1051666365,10.1080/13658816.2011.600253,,,A multinomial logistic mixed model for the prediction of categorical spatial data,International Journal of Geographical Information Science,,,2011-12,2011,25,12,2071-2086,Closed,Article,"Cao, Guofeng; Kyriakidis, Phaedon C.; Goodchild, Michael F.",,"Cao, Guofeng (); Kyriakidis, Phaedon C. (); Goodchild, Michael F. ()",10,2,,2.19,,https://app.dimensions.ai/details/publication/pub.1051666365,08 Information and Computing Sciences; 09 Engineering; 0806 Information Systems; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,08 Information and Computing Sciences,09 Engineering,0806 Information Systems,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience
35,100,pub.1043915651,10.1145/2078296.2078298,,,A geostatistical framework for categorical spatial data modeling,SIGSPATIAL Special,,,2011-11-01,2011,3,3,4-9,Closed,Article,"Cao, Guofeng; Kyriakidis, Phaedon; Goodchild, Michael",,"Cao, Guofeng (); Kyriakidis, Phaedon (); Goodchild, Michael ()",3,0,,1.17,,https://app.dimensions.ai/details/publication/pub.1043915651,08 Information and Computing Sciences; 0801 Artificial Intelligence and Image Processing,08 Information and Computing Sciences,0801 Artificial Intelligence and Image Processing,,,
