,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Holly V Moeller. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,400,pub.1019527590,10.1073/pnas.1518509113,26976560,PMC4833233,High-seas fish wars generate marine reserves,Proceedings of the National Academy of Sciences,,Animals; Conservation of Natural Resources; Cooperative Behavior; Ecosystem; Fisheries; Fishes; Game Theory,2016-04-05,2016,113,14,3767-3772,All OA; Gold,Article,"Herrera, Guillermo E.; Moeller, Holly V.; Neubert, Michael G.",,"Herrera, Guillermo E. (Bowdoin College); Moeller, Holly V. (); Neubert, Michael G. ()",3,2,0,0.87,https://www.pnas.org/content/pnas/113/14/3767.full.pdf,https://app.dimensions.ai/details/publication/pub.1019527590,0704 Fisheries Sciences; 0602 Ecology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,0602 Ecology,06 Biological Sciences,07 Agricultural and Veterinary Sciences,
11,400,pub.1026258881,10.1111/ele.12572,26833622,,Acquired phototrophy stabilises coexistence and shapes intrinsic dynamics of an intraguild predator and its prey,Ecology Letters,,"Animals; Aquatic Organisms; Ciliophora; Cryptophyta; Ecosystem; Food Chain; Light; Models, Biological; Phototrophic Processes; Phytoplankton",2016-04,2016,19,4,393-402,"All OA; Green, Accepted & Submitted",Article,"Moeller, Holly V; Peltomaa, Elina; Johnson, Matthew D; Neubert, Michael G",,"Moeller, Holly V (Woods Hole Oceanographic Institution); Peltomaa, Elina (University of Helsinki); Johnson, Matthew D (Woods Hole Oceanographic Institution); Neubert, Michael G (Woods Hole Oceanographic Institution)",7,5,0.18,1.82,http://darchive.mblwhoilibrary.org/bitstream/1912/7971/1/EcolLett_Rev3.pdf,https://app.dimensions.ai/details/publication/pub.1026258881,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
12,400,pub.1058865478,10.1086/684103,27277412,,Multiple Friends with Benefits: An Optimal Mutualist Management Strategy?,The American Naturalist,,"Biomass; Environment; Models, Biological; Mycorrhizae; Plant Roots; Symbiosis; Trees",2016-01,2016,187,1,e1-e12,Closed,Article,"Moeller, Holly V; Neubert, Michael G",,"Moeller, Holly V (); Neubert, Michael G ()",11,5,0.83,2.65,,https://app.dimensions.ai/details/publication/pub.1058865478,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
13,400,pub.1016268269,10.1890/14-2361.1,26594692,,Mycorrhizal co‐invasion and novel interactions depend on neighborhood context,Ecology,,Ecosystem; Introduced Species; Mycorrhizae; New Zealand; Pseudotsuga; Seedlings; Soil Microbiology; Time Factors,2015-09,2015,96,9,2336-2347,"All OA; Green, Accepted & Submitted",Article,"Moeller, Holly V.; Dickie, Ian A.; Peltzer, Duane A.; Fukami, Tadashi",,"Moeller, Holly V. (Stanford University); Dickie, Ian A. (Lincoln University; Landcare Research); Peltzer, Duane A. (Landcare Research); Fukami, Tadashi (Stanford University)",25,13,1.57,5.81,https://researcharchive.lincoln.ac.nz/bitstream/10182/7927/1/MoellerDickiePeltzerFukamiMycorrhizal2015.pdf,https://app.dimensions.ai/details/publication/pub.1016268269,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
14,100,pub.1039802136,10.1111/nrm.12066,,,ECONOMICALLY OPTIMAL MARINE RESERVES WITHOUT SPATIAL HETEROGENEITY IN A SIMPLE TWO‐PATCH MODEL,Natural Resource Modeling,,,2015-08,2015,28,3,244-255,"All OA; Green, Accepted & Submitted",Article,"MOELLER, HOLLY V.; NEUBERT, MICHAEL G.",,"MOELLER, HOLLY V. (); NEUBERT, MICHAEL G. ()",2,2,,0.83,http://darchive.mblwhoilibrary.org/bitstream/1912/7693/1/two_patch_NRM_rev.pdf,https://app.dimensions.ai/details/publication/pub.1039802136,14 Economics; 0102 Applied Mathematics; 01 Mathematical Sciences; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management,14 Economics,0102 Applied Mathematics,01 Mathematical Sciences,1402 Applied Economics,05 Environmental Sciences
15,100,pub.1030309400,10.1111/1365-2745.12345,,,Novel interactions between non‐native mammals and fungi facilitate establishment of invasive pines,Journal of Ecology,,,2015-01,2015,103,1,121-129,All OA; Gold,Article,"Wood, Jamie R.; Dickie, Ian A.; Moeller, Holly V.; Peltzer, Duane A.; Bonner, Karen I.; Rattray, Gaye; Wilmshurst, Janet M.",,"Wood, Jamie R. (Landcare Research); Dickie, Ian A. (Landcare Research; Lincoln University); Moeller, Holly V. (Stanford University); Peltzer, Duane A. (Landcare Research); Bonner, Karen I. (Landcare Research); Rattray, Gaye (Landcare Research); Wilmshurst, Janet M. (Landcare Research; University of Auckland)",43,16,,9.42,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2745.12345,https://app.dimensions.ai/details/publication/pub.1030309400,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
16,400,pub.1049634797,10.1111/1574-6941.12265,24289145,,Ectomycorrhizal fungal traits reflect environmental conditions along a coastal California edaphic gradient,FEMS Microbiology Ecology,,"California; DNA, Fungal; DNA, Ribosomal Spacer; Ecosystem; Ecotype; Mycorrhizae; Pinus; Plant Roots; Soil; Soil Microbiology; Stress, Physiological; Symbiosis; Trees",2014-03,2014,87,3,797-806,All OA; Gold,Article,"Moeller, Holly V.; Peay, Kabir G.; Fukami, Tadashi",,"Moeller, Holly V. (Stanford University); Peay, Kabir G. (Stanford University); Fukami, Tadashi (Stanford University)",25,11,1.31,4.82,https://academic.oup.com/femsec/article-pdf/87/3/797/19538943/87-3-797.pdf,https://app.dimensions.ai/details/publication/pub.1049634797,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
17,200,pub.1071171313,10.3354/meps10534,,,Carbon fluxes and pelagic ecosystem dynamics near two western Antarctic Peninsula Adélie penguin colonies: an inverse model approach,Marine Ecology Progress Series,,,2013-10-31,2013,492,,253-272,All OA; Gold,Article,"Sailley, SF; Ducklow, HW; Moeller, HV; Fraser, WR; Schofield, OM; Steinberg, DK; Garzio, LM; Doney, SC",,"Sailley, SF (); Ducklow, HW (); Moeller, HV (); Fraser, WR (); Schofield, OM (); Steinberg, DK (); Garzio, LM (); Doney, SC ()",43,13,,6.97,https://www.int-res.com/articles/meps_oa/m492p253.pdf,https://app.dimensions.ai/details/publication/pub.1071171313,0602 Ecology; 0405 Oceanography; 04 Earth Sciences; 06 Biological Sciences; 0608 Zoology,0602 Ecology,0405 Oceanography,04 Earth Sciences,06 Biological Sciences,0608 Zoology
18,400,pub.1021695517,10.1890/12-0447.1,23967568,,"Habitat damage, marine reserves, and the value of spatial management",Ecological Applications,,"Conservation of Natural Resources; Ecosystem; Environmental Monitoring; Models, Biological; Oceans and Seas",2013-07,2013,23,5,959-971,"All OA; Green, Accepted & Submitted",Article,"Moeller, Holly V.; Neubert, Michael G.",,"Moeller, Holly V. (Woods Hole Oceanographic Institution); Neubert, Michael G. (Woods Hole Oceanographic Institution)",9,3,0.13,1.62,http://darchive.mblwhoilibrary.org/bitstream/1912/6069/1/Moeller_Neubert_EcoAppl_2013.pdf,https://app.dimensions.ai/details/publication/pub.1021695517,0602 Ecology; 0502 Environmental Science and Management; 0704 Fisheries Sciences; 05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0502 Environmental Science and Management,0704 Fisheries Sciences,05 Environmental Sciences,06 Biological Sciences
19,400,pub.1041136077,10.1890/12-0937.1,23865234,,Nonrandom extinction patterns can modulate pest control service decline,Ecological Applications,,"Animals; Biodiversity; Commerce; Extinction, Biological; Models, Biological; Pest Control; Population Dynamics; Predatory Behavior",2013-06,2013,23,4,840-849,Closed,Article,"Karp, Daniel S.; Moeller, Holly V.; Frishkoff, Luke O.",,"Karp, Daniel S. (Stanford University); Moeller, Holly V. (Stanford University); Frishkoff, Luke O. (Stanford University)",8,2,0.15,1.31,,https://app.dimensions.ai/details/publication/pub.1041136077,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
20,100,pub.1008663442,10.1002/9781444347241.ch5,,,The Marine System of the Western Antarctic Peninsula,,Antarctic Ecosystems,,2012-02-03,2012,,,121-159,Closed,Chapter,"Ducklow, Hugh; Clarke, Andrew; Dickhut, Rebecca; Doney, Scott C.; Geisz, Heidi; Huang, Kuan; Martinson, Douglas G.; Meredith, Michael P.; Moeller, Holly V.; Montes‐Hugo, Martin; Schofield, Oscar; Stammerjohn, Sharon E.; Steinberg, Debbie; Fraser, William",,"Ducklow, Hugh (Marine Biological Laboratory); Clarke, Andrew (British Antarctic Survey); Dickhut, Rebecca (William & Mary); Doney, Scott C. (Woods Hole Oceanographic Institution); Geisz, Heidi (William & Mary); Huang, Kuan (Princeton University); Martinson, Douglas G. (Lamont-Doherty Earth Observatory); Meredith, Michael P. (British Antarctic Survey); Moeller, Holly V. (Woods Hole Oceanographic Institution); Montes‐Hugo, Martin (Rutgers, The State University of New Jersey); Schofield, Oscar (Rutgers, The State University of New Jersey); Stammerjohn, Sharon E. (University of California, Santa Cruz); Steinberg, Debbie (William & Mary); Fraser, William ()",55,20,,,,https://app.dimensions.ai/details/publication/pub.1008663442,,,,,,
21,400,pub.1049024705,10.1111/j.1529-8817.2010.00954.x,27021864,,PHOTOACCLIMATION IN THE PHOTOTROPHIC MARINE CILIATE MESODINIUM RUBRUM (CILIOPHORA)1,Journal of Phycology,,,2011-04,2011,47,2,324-332,Closed,Article,"Moeller, Holly V; Johnson, Matthew D; Falkowski, Paul G",,"Moeller, Holly V (Rutgers, The State University of New Jersey); Johnson, Matthew D (Rutgers, The State University of New Jersey); Falkowski, Paul G (Rutgers, The State University of New Jersey)",27,4,0.75,3.33,,https://app.dimensions.ai/details/publication/pub.1049024705,0607 Plant Biology; 0601 Biochemistry and Cell Biology; 06 Biological Sciences,0607 Plant Biology,0601 Biochemistry and Cell Biology,06 Biological Sciences,,
22,200,pub.1096969011,10.1575/1912/4018,,,On the economic optimality of marine reserves when fishing damages habitat,,,,2010,2010,,,,All OA; Gold,Monograph,"Moeller, Holly V.",,"Moeller, Holly V. ()",0,0,,,http://darchive.mblwhoilibrary.org/bitstream/1912/4018/1/Moeller_thesis.pdf,https://app.dimensions.ai/details/publication/pub.1096969011,,,,,,
23,400,pub.1050566208,10.1073/pnas.0902005106,19346469,PMC2672552,Universal constant for heat production in protists,Proceedings of the National Academy of Sciences,,Calorimetry; Eukaryotic Cells; Hot Temperature; Phototrophic Processes; Seawater; Surface Properties,2009-04-21,2009,106,16,6696-6699,All OA; Gold,Article,"Johnson, Matthew D.; Völker, Jens; Moeller, Holly V.; Laws, Edward; Breslauer, Kenneth J.; Falkowski, Paul G.",,"Johnson, Matthew D. (Rutgers, The State University of New Jersey); Völker, Jens (Rutgers, The State University of New Jersey); Moeller, Holly V. (Rutgers, The State University of New Jersey); Laws, Edward (Louisiana State University); Breslauer, Kenneth J. (Rutgers, The State University of New Jersey); Falkowski, Paul G. (Rutgers, The State University of New Jersey)",29,5,0.57,2.36,http://www.pnas.org/content/106/16/6696.full.pdf,https://app.dimensions.ai/details/publication/pub.1050566208,0601 Biochemistry and Cell Biology; 06 Biological Sciences,0601 Biochemistry and Cell Biology,06 Biological Sciences,,,
