,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Bradley R Hacker. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
11,100,pub.1107228287,10.1130/g40207.1,,,"LinT, a simplified approach to oxygen-isotope thermometry and speedometry of high-grade rocks: An example from ultrahigh-temperature gneisses of southern Madagascar",Geology,,,2018-09-25,2018,,,,Closed,Article,"Holder, Robert M.; Sharp, Zachary D.; Hacker, Bradley R.",,"Holder, Robert M. (University of California, Santa Barbara); Sharp, Zachary D. (University of New Mexico); Hacker, Bradley R. (University of California, Santa Barbara)",2,2,,,,https://app.dimensions.ai/details/publication/pub.1107228287,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
12,100,pub.1105910957,10.1029/2018gc007624,,,Mafic High‐Pressure Rocks Are Preferentially Exhumed From Warm Subduction Settings,Geochemistry Geophysics Geosystems,,,2018-09,2018,19,9,2934-2961,Closed,Article,"Keken, Peter E.; Wada, Ikuko; Abers, Geoffrey A.; Hacker, Bradley R.; Wang, Kelin",,"Keken, Peter E. (Carnegie Institution for Science); Wada, Ikuko (University of Minnesota); Abers, Geoffrey A. (Cornell University); Hacker, Bradley R. (University of California, Santa Barbara); Wang, Kelin (Natural Resources Canada; University of Victoria)",10,10,,,,https://app.dimensions.ai/details/publication/pub.1105910957,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
13,100,pub.1105170483,10.1016/j.precamres.2018.06.013,,,"U-Pb zircon and titanite ages from granulites of the Koraput area – evidence for Columbia, Rodinia and Gondwana from the Eastern Ghats Province, India",Precambrian Research,,,2018-09,2018,314,Chemical Geology 188 2002,394-413,Closed,Article,"Nanda, Jagatbikas; Gupta, Saibal; Hacker, Bradley","Gupta, Saibal","Nanda, Jagatbikas (Indian Institute of Technology Kharagpur); Gupta, Saibal (Indian Institute of Technology Kharagpur); Hacker, Bradley ()",3,3,,,,https://app.dimensions.ai/details/publication/pub.1105170483,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
14,100,pub.1101893663,10.1111/jmg.12316,,,Ultrahigh‐temperature osumilite gneisses in southern Madagascar record combined heat advection and high rates of radiogenic heat production in a long‐lived high‐T orogen,Journal of Metamorphic Geology,,,2018-09,2018,36,7,855-880,Closed,Article,"Holder, Robert M.; Hacker, Bradley R.; Horton, Forrest; Rakotondrazafy, A. F. Michel",,"Holder, Robert M. (University of California, Santa Barbara); Hacker, Bradley R. (University of California, Santa Barbara); Horton, Forrest (California Institute of Technology); Rakotondrazafy, A. F. Michel (University of Antananarivo)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1101893663,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
15,200,pub.1103769546,10.1016/j.epsl.2018.04.032,,,Erratum to “Cenozoic deep crust in the Pamir” [Earth Planet. Sci. Lett. 312 (2011) 411–421],Earth and Planetary Science Letters,,,2018-07,2018,493,,172,Closed,Article,"Schmidt, Jennifer; Hacker, Bradley R.; Ratschbacher, Lothar; Stübner, Konstanze; Stearns, Michael; Kylander-Clark, Andrew; Cottle, John M.; Webb, A. Alexander G.; Gehrels, George; Minaev, Vladislav","Hacker, Bradley R.","Schmidt, Jennifer (University of California, Santa Barbara); Hacker, Bradley R. (University of California, Santa Barbara); Ratschbacher, Lothar (Freiberg University Of Mining And Technology); Stübner, Konstanze (Freiberg University Of Mining And Technology); Stearns, Michael (University of California, Santa Barbara); Kylander-Clark, Andrew (University of California, Santa Barbara); Cottle, John M. (University of California, Santa Barbara); Webb, A. Alexander G. (Louisiana State University); Gehrels, George (University of Arizona); Minaev, Vladislav (Academy of Sciences of the Republic of Tajikistan)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103769546,02 Physical Sciences; 04 Earth Sciences,02 Physical Sciences,04 Earth Sciences,,,
16,500,pub.1101678323,10.1126/sciadv.aaq0234,29568800,PMC5862461,Metamorphic records of multiple seismic cycles during subduction,Science Advances,,,2018-03,2018,4,3,eaaq0234,All OA; Gold,Article,"Viete, Daniel R.; Hacker, Bradley R.; Allen, Mark B.; Seward, Gareth G. E.; Tobin, Mark J.; Kelley, Chris S.; Cinque, Gianfelice; Duckworth, Andrew R.",,"Viete, Daniel R. (Johns Hopkins University); Hacker, Bradley R. (University of California, Santa Barbara); Allen, Mark B. (Durham University); Seward, Gareth G. E. (University of California, Santa Barbara); Tobin, Mark J. (Australian Synchrotron); Kelley, Chris S. (Diamond Light Source); Cinque, Gianfelice (Diamond Light Source); Duckworth, Andrew R. (Durham University)",11,11,,,http://advances.sciencemag.org/content/advances/4/3/eaaq0234.full.pdf,https://app.dimensions.ai/details/publication/pub.1101678323,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
17,200,pub.1103307532,10.1130/abs/2018ne-311106,,,"ROCKS OF THE CORDILLERA DE LA COSTA, VENEZUELA RECORD RAPID EXHUMATION FOLLOWING LATE EOCENE, PROTO-CARIBBEAN (ATLANTIC)? SUBDUCTION",Abstracts with programs (Geological Society of America),,,2018,2018,,,,Closed,Proceeding,"Viete, Daniel R.; Kylander-Clark, Andrew R.C.; Allen, Mark B.; Seward, Gareth G.E.; Hacker, Bradley R.",,"Viete, Daniel R. (); Kylander-Clark, Andrew R.C. (); Allen, Mark B. (); Seward, Gareth G.E. (); Hacker, Bradley R. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1103307532,,,,,,
18,100,pub.1091607402,10.1002/2017tc004704,,,Foundering Triggered by the Collision of India and Asia Captured in Xenoliths,Tectonics,,,2017-10,2017,36,10,1913-1933,Closed,Article,"Shaffer, Madeline; Hacker, Bradley R.; Ratschbacher, Lothar; Kylander‐Clark, Andrew R. C.",,"Shaffer, Madeline (University of California, Santa Barbara); Hacker, Bradley R. (University of California, Santa Barbara); Ratschbacher, Lothar (Freiberg University Of Mining And Technology); Kylander‐Clark, Andrew R. C. (University of California, Santa Barbara)",8,8,,3.08,,https://app.dimensions.ai/details/publication/pub.1091607402,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
19,100,pub.1090326553,10.1002/2017tc004488,,,"Building the Pamir‐Tibet Plateau—Crustal stacking, extensional collapse, and lateral extrusion in the Pamir: 3. Thermobarometry and petrochronology of deep Asian crust",Tectonics,,,2017-09,2017,36,9,1743-1766,Closed,Article,"Hacker, Bradley R.; Ratschbacher, Lothar; Rutte, Daniel; Stearns, Michael A.; Malz, Nicole; Stübner, Konstanze; Kylander‐Clark, Andrew R. C.; Pfänder, Jörg A.; Everson, Alexa",,"Hacker, Bradley R. (University of California, Santa Barbara); Ratschbacher, Lothar (Freiberg University Of Mining And Technology); Rutte, Daniel (Freiberg University Of Mining And Technology; University of California, Berkeley; Berkeley Geochronology Center); Stearns, Michael A. (University of California, Santa Barbara; University of Utah); Malz, Nicole (Freiberg University Of Mining And Technology); Stübner, Konstanze (Freiberg University Of Mining And Technology; University of Tübingen); Kylander‐Clark, Andrew R. C. (University of California, Santa Barbara); Pfänder, Jörg A. (Freiberg University Of Mining And Technology); Everson, Alexa (University of California, Santa Barbara)",14,12,,5.38,,https://app.dimensions.ai/details/publication/pub.1090326553,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
20,100,pub.1084868364,10.1111/jmg.12254,,,Interpreting granulite facies events through rare earth element partitioning arrays,Journal of Metamorphic Geology,,,2017-09,2017,35,7,759-775,"All OA; Green, Published",Article,"Taylor, R. J. M.; Clark, C.; Harley, S. L.; Kylander‐Clark, A. R. C.; Hacker, B. R.; Kinny, P. D.",,"Taylor, R. J. M. (Curtin University); Clark, C. (Curtin University); Harley, S. L. (University of Edinburgh); Kylander‐Clark, A. R. C. (University of California, Santa Barbara); Hacker, B. R. (University of California, Santa Barbara); Kinny, P. D. (Curtin University)",14,14,,5.38,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jmg.12254,https://app.dimensions.ai/details/publication/pub.1084868364,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
21,100,pub.1085303844,10.1130/g38903.1,,,The onset of the Dead Sea transform based on calcite age-strain analyses,Geology,,,2017-07,2017,45,7,587-590,All OA; Gold,Article,"Nuriel, P.; Weinberger, R.; Kylander-Clark, A.R.C.; Hacker, B.R.; Craddock, J.P.",,"Nuriel, P. (Geological Survey of Israel); Weinberger, R. (Geological Survey of Israel; Ben-Gurion University of the Negev); Kylander-Clark, A.R.C. (University of California, Santa Barbara); Hacker, B.R. (University of California, Santa Barbara); Craddock, J.P. (Macalester College)",34,31,,13.07,https://pubs.geoscienceworld.org/gsa/geology/article-pdf/45/7/587/998851/587.pdf,https://app.dimensions.ai/details/publication/pub.1085303844,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
22,200,pub.1090860763,10.1093/petrology/egx046,,,Controls on Trace Element Uptake in Metamorphic Titanite: Implications for Petrochronology,Journal of Petrology,,,2017-06-01,2017,58,6,1031-1057,All OA; Gold,Article,"Garber, J. M.; Hacker, B. R.; Kylander-Clark, A. R. C.; Stearns, M.; Seward, G.",,"Garber, J. M. (University of California, Santa Barbara); Hacker, B. R. (University of California, Santa Barbara); Kylander-Clark, A. R. C. (University of California, Santa Barbara); Stearns, M. (University of Utah); Seward, G. (University of California, Santa Barbara)",14,14,,5.3,https://academic.oup.com/petrology/article-pdf/58/6/1031/20707690/egx046.pdf,https://app.dimensions.ai/details/publication/pub.1090860763,0403 Geology; 04 Earth Sciences; 0404 Geophysics; 0402 Geochemistry,0403 Geology,04 Earth Sciences,0404 Geophysics,0402 Geochemistry,
23,100,pub.1084747548,10.1038/ngeo2922,,,The cold and relatively dry nature of mantle forearcs in subduction zones,Nature Geoscience,,,2017-05,2017,10,5,333-337,Closed,Article,"Abers, G. A.; van Keken, P. E.; Hacker, B. R.","Abers, G. A.","Abers, G. A. (Cornell University); van Keken, P. E. (Carnegie Institution for Science); Hacker, B. R. (University of California, Santa Barbara)",39,36,,15.77,,https://app.dimensions.ai/details/publication/pub.1084747548,0404 Geophysics; 04 Earth Sciences; 0403 Geology,0404 Geophysics,04 Earth Sciences,0403 Geology,,
24,100,pub.1034960178,10.1111/jmg.12234,,,"Metamorphic inheritance of Rheic passive margin evolution and its early‐Variscan overprint in the Teplá‐Barrandian Unit, Bohemian Massif",Journal of Metamorphic Geology,,,2017-04,2017,35,3,327-355,All OA; Gold,Article,"Peřestý, V.; Lexa, O.; Holder, R.; Jeřábek, P.; Racek, M.; Štípská, P.; Schulmann, K.; Hacker, B.",,"Peřestý, V. (Charles University); Lexa, O. (Charles University); Holder, R. (University of California, Santa Barbara); Jeřábek, P. (Charles University); Racek, M. (Charles University); Štípská, P. (University of Strasbourg); Schulmann, K. (University of Strasbourg); Hacker, B. (University of California, Santa Barbara)",10,9,,3.84,https://doi.org/10.1111/jmg.12234,https://app.dimensions.ai/details/publication/pub.1034960178,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,100,pub.1062733683,10.1130/b31466.1,,,"Proterozoic–Mesozoic history of the Central Asian orogenic belt in the Tajik and southwestern Kyrgyz Tian Shan: U-Pb, 40Ar/39Ar, and fission-track geochronology and geochemistry of granitoids",Geological Society of America Bulletin,,,2017-03,2017,129,3-4,281-303,Closed,Article,"Käßner, Alexandra; Ratschbacher, Lothar; Pfänder, Jörg A.; Hacker, Bradley R.; Zack, George; Sonntag, Benita-Lisette; Khan, Jahanzeb; Stanek, Klaus P.; Gadoev, Mustafo; Oimahmadov, Ilhomjon",,"Käßner, Alexandra (Freiberg University Of Mining And Technology); Ratschbacher, Lothar (Freiberg University Of Mining And Technology); Pfänder, Jörg A. (Freiberg University Of Mining And Technology); Hacker, Bradley R. (University of California, Santa Barbara); Zack, George (Freiberg University Of Mining And Technology); Sonntag, Benita-Lisette (Freiberg University Of Mining And Technology); Khan, Jahanzeb (Freiberg University Of Mining And Technology); Stanek, Klaus P. (Freiberg University Of Mining And Technology); Gadoev, Mustafo (Academy of Sciences of the Republic of Tajikistan); Oimahmadov, Ilhomjon (Academy of Sciences of the Republic of Tajikistan)",22,17,,8.46,,https://app.dimensions.ai/details/publication/pub.1062733683,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
26,100,pub.1036126375,10.1002/2016tc004293,,,"Building the Pamir‐Tibetan Plateau—Crustal stacking, extensional collapse, and lateral extrusion in the Central Pamir: 1. Geometry and kinematics",Tectonics,,,2017-03,2017,36,3,342-384,All OA; Gold,Article,"Rutte, Daniel; Ratschbacher, Lothar; Schneider, Susanne; Stübner, Konstanze; Stearns, Michael A.; Gulzar, Muhammad A.; Hacker, Bradley R.",,"Rutte, Daniel (Freiberg University Of Mining And Technology; University of California, Berkeley); Ratschbacher, Lothar (Freiberg University Of Mining And Technology); Schneider, Susanne (Freiberg University Of Mining And Technology); Stübner, Konstanze (Freiberg University Of Mining And Technology; University of Tübingen); Stearns, Michael A. (University of California, Santa Barbara; University of Utah); Gulzar, Muhammad A. (Freiberg University Of Mining And Technology); Hacker, Bradley R. (University of California, Santa Barbara)",30,23,,11.53,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016TC004293,https://app.dimensions.ai/details/publication/pub.1036126375,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
27,100,pub.1008172362,10.1002/2016tc004294,,,"Building the Pamir‐Tibetan Plateau—Crustal stacking, extensional collapse, and lateral extrusion in the Central Pamir: 2. Timing and rates",Tectonics,,,2017-03,2017,36,3,385-419,All OA; Gold,Article,"Rutte, Daniel; Ratschbacher, Lothar; Khan, Jahanzeb; Stübner, Konstanze; Hacker, Bradley R.; Stearns, Michael A.; Enkelmann, Eva; Jonckheere, Raymond; Pfänder, Jörg A.; Sperner, Blanka; Tichomirowa, Marion",,"Rutte, Daniel (Freiberg University Of Mining And Technology; University of California, Berkeley); Ratschbacher, Lothar (Freiberg University Of Mining And Technology); Khan, Jahanzeb (Freiberg University Of Mining And Technology; University of Azad Jammu and Kashmir); Stübner, Konstanze (Freiberg University Of Mining And Technology; University of Tübingen); Hacker, Bradley R. (University of California, Santa Barbara); Stearns, Michael A. (University of California, Santa Barbara; University of Utah); Enkelmann, Eva (University of Cincinnati); Jonckheere, Raymond (Freiberg University Of Mining And Technology); Pfänder, Jörg A. (Freiberg University Of Mining And Technology); Sperner, Blanka (Freiberg University Of Mining And Technology); Tichomirowa, Marion (Freiberg University Of Mining And Technology)",31,24,,11.92,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016TC004294,https://app.dimensions.ai/details/publication/pub.1008172362,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
28,200,pub.1099587403,10.1130/abs/2017am-305304,,,PRESSURE AND FLUID PULSES DURING SUBDUCTION: RECORDS FROM GARNET,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Viete, Daniel R.; Hacker, Bradley R.; Allen, Mark B.; Tobin, Mark; Seward, Gareth G.E.",,"Viete, Daniel R. (); Hacker, Bradley R. (); Allen, Mark B. (); Tobin, Mark (); Seward, Gareth G.E. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099587403,,,,,,
29,200,pub.1099585690,10.1130/abs/2017am-296778,,,RECYCLING OF CONTINENTAL CRUST CAPTURED IN XENOLITHS,Abstracts with programs (Geological Society of America),,,2017,2017,,,,Closed,Proceeding,"Hacker, Bradley R.; Shaffer, Madeline; Ratschbacher, Lothar; Kylander-Clark, Andrew R.C.",,"Hacker, Bradley R. (); Shaffer, Madeline (); Ratschbacher, Lothar (); Kylander-Clark, Andrew R.C. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1099585690,,,,,,
30,100,pub.1026883913,10.1016/j.epsl.2016.06.051,,,Synchronous formation of the metamorphic sole and igneous crust of the Semail ophiolite: New constraints on the tectonic evolution during ophiolite formation from high-precision U–Pb zircon geochronology,Earth and Planetary Science Letters,,,2016-10,2016,451,Geochem. Geophys. Geosyst. 4 2003,185-195,All OA; Gold,Article,"Rioux, Matthew; Garber, Joshua; Bauer, Ann; Bowring, Samuel; Searle, Michael; Kelemen, Peter; Hacker, Bradley","Rioux, Matthew","Rioux, Matthew (University of California, Santa Barbara); Garber, Joshua (University of California, Santa Barbara); Bauer, Ann (Massachusetts Institute of Technology); Bowring, Samuel (Massachusetts Institute of Technology); Searle, Michael (University of Oxford); Kelemen, Peter (Lamont-Doherty Earth Observatory); Hacker, Bradley (University of California, Santa Barbara)",34,28,,8.38,https://manuscript.elsevier.com/S0012821X16303387/pdf/S0012821X16303387.pdf,https://app.dimensions.ai/details/publication/pub.1026883913,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
31,100,pub.1026884913,10.1111/jmg.12193,,,"Uncoupled U/Pb and REE response in zircon during the transformation of eclogite to mafic and intermediate granulite (Blanský les, Bohemian Massif)",Journal of Metamorphic Geology,,,2016-08,2016,34,6,551-572,Closed,Article,"Štípská, P.; Powell, R.; Hacker, B. R.; Holder, R.; Kylander‐Clark, A. R. C.",,"Štípská, P. (University of Strasbourg; Czech Geological Survey); Powell, R. (University of Melbourne); Hacker, B. R. (University of California, Santa Barbara); Holder, R. (University of California, Santa Barbara); Kylander‐Clark, A. R. C. (University of California, Santa Barbara)",8,5,,1.82,,https://app.dimensions.ai/details/publication/pub.1026884913,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
32,100,pub.1062735626,10.1130/ges01232.1,,,Thermochronology of extensional orogenic collapse in the deep crust of Zealandia,Geosphere,,,2016-06,2016,12,3,647-677,All OA; Gold,Article,"Schwartz, Joshua J.; Stowell, Harold H.; Klepeis, Keith A.; Tulloch, Andy J.; Kylander-Clark, Andrew R.C.; Hacker, Bradley R.; Coble, Matthew A.",,"Schwartz, Joshua J. (California State University, Northridge); Stowell, Harold H. (University of Alabama, Tuscaloosa); Klepeis, Keith A. (University of Vermont); Tulloch, Andy J. (GNS Science); Kylander-Clark, Andrew R.C. (University of California, Santa Barbara); Hacker, Bradley R. (University of California, Santa Barbara); Coble, Matthew A. (Stanford University)",14,8,,3.75,https://pubs.geoscienceworld.org/gsa/geosphere/article-pdf/12/3/647/4092615/647.pdf,https://app.dimensions.ai/details/publication/pub.1062735626,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
