,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Libe Washburn. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,400,pub.1000544784,10.1038/ncomms13757,27958273,PMC5159872,Extreme warming challenges sentinel status of kelp forests as indicators of climate change,Nature Communications,,,2016-12,2016,7,1,13757,All OA; Gold,Article,"Reed, Daniel; Washburn, Libe; Rassweiler, Andrew; Miller, Robert; Bell, Tom; Harrer, Shannon","Reed, Daniel","Reed, Daniel (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Rassweiler, Andrew (Florida State University); Miller, Robert (University of California, Santa Barbara); Bell, Tom (University of California, Santa Barbara); Harrer, Shannon (University of California, Santa Barbara)",30,29,1.65,7.74,https://www.nature.com/articles/ncomms13757.pdf,https://app.dimensions.ai/details/publication/pub.1000544784,0602 Ecology; 0405 Oceanography; 0501 Ecological Applications; 04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0501 Ecological Applications,04 Earth Sciences,05 Environmental Sciences
11,100,pub.1095152784,10.1109/cama.2016.7815813,,,Improved Direction of Arrival Methods for Oceanographic HF Radars,,2016 IEEE Conference on Antenna Measurements & Applications (CAMA),,2016-10,2016,,,1-4,Closed,Proceeding,"Emery, Brian M.; Washburn, Libe",,"Emery, Brian M. (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara)",1,1,,0.29,,https://app.dimensions.ai/details/publication/pub.1095152784,09 Engineering; 0906 Electrical and Electronic Engineering; 04 Earth Sciences; 0405 Oceanography,09 Engineering,0906 Electrical and Electronic Engineering,04 Earth Sciences,0405 Oceanography,
12,100,pub.1093185022,10.1109/cama.2016.7815751,,,Antenna Calibration for Oceanographic Radars Using Aerial Drones,,2016 IEEE Conference on Antenna Measurements & Applications (CAMA),,2016-10,2016,,,1-4,Closed,Proceeding,"Washburn, Libe; Romero, Eduardo; Johnson, Cyril; Gotschalk, Chris; Emery, Brian",,"Washburn, Libe (University of California, Santa Barbara); Romero, Eduardo (University of California, Santa Barbara); Johnson, Cyril (University of California, Santa Barbara); Gotschalk, Chris (University of California, Santa Barbara); Emery, Brian (University of California, Santa Barbara)",2,2,,0.82,,https://app.dimensions.ai/details/publication/pub.1093185022,09 Engineering; 0906 Electrical and Electronic Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,,
13,100,pub.1035967221,10.1002/2016jc011781,,,Assessing controls on cross‐shelf phytoplankton and suspended particle distributions using repeated bio‐optical glider surveys,Journal of Geophysical Research Oceans,,,2016-10,2016,121,10,7776-7794,Closed,Article,"Freitas, Fernanda Henderikx; Siegel, David A.; Washburn, Libe; Halewood, Stuart; Stassinos, Erik",,"Freitas, Fernanda Henderikx (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Halewood, Stuart (University of California, Santa Barbara); Stassinos, Erik (University of California, Santa Barbara)",5,4,,1.08,,https://app.dimensions.ai/details/publication/pub.1035967221,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
14,100,pub.1035823866,10.1002/2016jc011919,,,"Wind relaxation and a coastal buoyant plume north of Pt. Conception, CA: Observations, simulations, and scalings",Journal of Geophysical Research Oceans,,,2016-10,2016,121,10,7455-7475,All OA; Gold,Article,"Suanda, Sutara H.; Kumar, Nirnimesh; Miller, Arthur J.; Di Lorenzo, Emanuele; Haas, Kevin; Cai, Donghua; Edwards, Christopher A.; Washburn, Libe; Fewings, Melanie R.; Torres, Rachel; Feddersen, Falk",,"Suanda, Sutara H. (University of California, San Diego); Kumar, Nirnimesh (University of Washington); Miller, Arthur J. (University of California, San Diego); Di Lorenzo, Emanuele (Georgia Institute of Technology); Haas, Kevin (Georgia Institute of Technology); Cai, Donghua (Georgia Institute of Technology); Edwards, Christopher A. (University of California, Santa Cruz); Washburn, Libe (University of California, Santa Barbara); Fewings, Melanie R. (); Torres, Rachel (North Park University); Feddersen, Falk (University of California, San Diego)",9,7,,1.94,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JC011919,https://app.dimensions.ai/details/publication/pub.1035823866,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
15,100,pub.1033590655,10.1002/2016jc011699,,,"Synoptic forcing of wind relaxations at Pt. Conception, California",Journal of Geophysical Research Oceans,,,2016-08,2016,121,8,5711-5730,All OA; Gold,Article,"Fewings, Melanie R.; Washburn, Libe; Dorman, Clive E.; Gotschalk, Christopher; Lombardo, Kelly",,"Fewings, Melanie R. (University of Connecticut); Washburn, Libe (University of California, Santa Barbara); Dorman, Clive E. (Scripps Institution of Oceanography); Gotschalk, Christopher (University of California, Santa Barbara); Lombardo, Kelly (University of Connecticut)",13,10,,2.8,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2016JC011699,https://app.dimensions.ai/details/publication/pub.1033590655,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
16,400,pub.1036774616,10.1111/ele.12613,27151381,,Interacting environmental mosaics drive geographic variation in mussel performance and predation vulnerability,Ecology Letters,,Animals; California; Environment; Hydrogen-Ion Concentration; Mytilus; Oregon; Predatory Behavior; Seawater; Temperature,2016-07,2016,19,7,771-779,All OA; Gold,Article,"Kroeker, Kristy J.; Sanford, Eric; Rose, Jeremy M.; Blanchette, Carol A.; Chan, Francis; Chavez, Francisco P.; Gaylord, Brian; Helmuth, Brian; Hill, Tessa M.; Hofmann, Gretchen E.; McManus, Margaret A.; Menge, Bruce A.; Nielsen, Karina J.; Raimondi, Peter T.; Russell, Ann D.; Washburn, Libe",,"Kroeker, Kristy J. (University of California, Santa Cruz); Sanford, Eric (University of California, Davis); Rose, Jeremy M. (Oregon State University); Blanchette, Carol A. (University of California, Santa Barbara); Chan, Francis (Oregon State University); Chavez, Francisco P. (Monterey Bay Aquarium Research Institute); Gaylord, Brian (University of California, Davis); Helmuth, Brian (Northeastern University); Hill, Tessa M. (University of California, Davis); Hofmann, Gretchen E. (University of California, Santa Barbara); McManus, Margaret A. (University of Hawaii at Manoa); Menge, Bruce A. (Oregon State University); Nielsen, Karina J. (San Francisco State University); Raimondi, Peter T. (University of California, Santa Cruz); Russell, Ann D. (University of California, Davis); Washburn, Libe (University of California, Santa Barbara)",54,34,3.5,17.7,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ele.12613,https://app.dimensions.ai/details/publication/pub.1036774616,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
17,100,pub.1051949949,10.1002/2015jc011239,,,"Contrasting spatial patterns in the diurnal and semidiurnal temperature variability in the Santa Barbara Channel, California",Journal of Geophysical Research Oceans,,,2016-01,2016,121,1,427-440,Closed,Article,"Aristizábal, María F.; Fewings, Melanie R.; Washburn, Libe",,"Aristizábal, María F. (University of Connecticut); Fewings, Melanie R. (University of Connecticut); Washburn, Libe (University of California, Santa Barbara)",9,4,,2.27,,https://app.dimensions.ai/details/publication/pub.1051949949,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics; 0405 Oceanography,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics,0405 Oceanography,
18,100,pub.1000296979,10.1016/j.pocean.2015.10.001,,,"Coastal water circulation patterns around the Northern Channel Islands and Point Conception, California",Progress In Oceanography,,,2015-11,2015,138,,283-304,Closed,Article,"Fewings, Melanie R.; Washburn, Libe; Ohlmann, J. Carter","Fewings, Melanie R.","Fewings, Melanie R. (University of Connecticut); Washburn, Libe (University of California, Santa Barbara); Ohlmann, J. Carter (University of California, Santa Barbara)",11,4,,1.98,,https://app.dimensions.ai/details/publication/pub.1000296979,04 Earth Sciences; 0403 Geology; 0405 Oceanography,04 Earth Sciences,0403 Geology,0405 Oceanography,,
19,100,pub.1034139658,10.1016/j.dsr.2015.02.002,,,Linking kinematic characteristics and high concentrations of small pelagic fish in a coastal mesoscale eddy,Deep Sea Research Part I Oceanographic Research Papers,,,2015-06,2015,100,Sci. Mar. 70 2006,34-47,Closed,Article,"Simons, Rachel D.; Nishimoto, Mary M.; Washburn, Libe; Brown, Kevin S.; Siegel, David A.","Simons, Rachel D.","Simons, Rachel D. (University of California, Santa Barbara); Nishimoto, Mary M. (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Brown, Kevin S. (University of Connecticut); Siegel, David A. (University of California, Santa Barbara)",5,2,,0.79,,https://app.dimensions.ai/details/publication/pub.1034139658,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
20,100,pub.1094732468,10.1109/cwtm.2015.7098120,,,Improved Methods to Calculate Depth-Resolved Velocities from Glider-Mounted ADCPs,,"2015 IEEE/OES Eleveth Current, Waves and Turbulence Measurement (CWTM)",,2015-03,2015,,,1-10,Closed,Proceeding,"Ellis, Daniel; Washburn, Libe; Ohlmann, Carter; Gotschalk, Chris",,"Ellis, Daniel (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Ohlmann, Carter (University of California, Santa Barbara); Gotschalk, Chris (University of California, Santa Barbara)",1,1,,0.26,,https://app.dimensions.ai/details/publication/pub.1094732468,09 Engineering; 0909 Geomatic Engineering,09 Engineering,0909 Geomatic Engineering,,,
21,400,pub.1037613319,10.1371/journal.pone.0107239,25221950,PMC4164564,"Abiotic versus Biotic Drivers of Ocean pH Variation under Fast Sea Ice in McMurdo Sound, Antarctica",PLoS ONE,,Antarctic Regions; Ecosystem; Hydrogen-Ion Concentration; Ice Cover; Seawater,2014-09-15,2014,9,9,e107239,All OA; Gold,Article,"Matson, Paul G.; Washburn, Libe; Martz, Todd R.; Hofmann, Gretchen E.",,"Matson, Paul G. (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Martz, Todd R. (Scripps Institution of Oceanography); Hofmann, Gretchen E. (University of California, Santa Barbara)",14,4,0.32,2.42,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0107239&type=printable,https://app.dimensions.ai/details/publication/pub.1037613319,0602 Ecology; 0405 Oceanography; 0607 Plant Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0405 Oceanography,0607 Plant Biology,04 Earth Sciences,06 Biological Sciences
22,400,pub.1047658346,10.1007/s00442-014-3011-x,25070649,,How will coral reef fish communities respond to climate-driven disturbances? Insight from landscape-scale perturbations,Oecologia,,Animals; Anthozoa; Climate Change; Coral Reefs; Ecosystem; Fishes; Linear Models; Polynesia; Starfish; Time Factors; Water Movements,2014-09,2014,176,1,285-296,Closed,Article,"Adam, Thomas C.; Brooks, Andrew J.; Holbrook, Sally J.; Schmitt, Russell J.; Washburn, Libe; Bernardi, Giacomo","Adam, Thomas C.","Adam, Thomas C. (University of California, Santa Barbara); Brooks, Andrew J. (University of California, Santa Barbara); Holbrook, Sally J. (University of California, Santa Barbara); Schmitt, Russell J. (University of California, Santa Barbara); Washburn, Libe (University of California, Santa Barbara); Bernardi, Giacomo (University of California, Santa Cruz)",21,9,0.47,3.04,,https://app.dimensions.ai/details/publication/pub.1047658346,0699 Other Biological Sciences; 0602 Ecology; 06 Biological Sciences,0699 Other Biological Sciences,0602 Ecology,06 Biological Sciences,,
23,100,pub.1008078040,10.1175/jtech-d-13-00181.1,,,Measuring Antenna Patterns for Ocean Surface Current HF Radars with Ships of Opportunity,Journal of Atmospheric and Oceanic Technology,,,2014-07,2014,31,7,1564-1582,Closed,Article,"Emery, Brian M.; Washburn, Libe; Whelan, Chad; Barrick, Don; Harlan, Jack",,"Emery, Brian M. (); Washburn, Libe (); Whelan, Chad (); Barrick, Don (); Harlan, Jack ()",11,7,,3.51,,https://app.dimensions.ai/details/publication/pub.1008078040,09 Engineering; 0906 Electrical and Electronic Engineering,09 Engineering,0906 Electrical and Electronic Engineering,,,
24,100,pub.1033184931,10.5194/bg-11-1053-2014,,,Exploring local adaptation and the ocean acidification seascape – studies in the California Current Large Marine Ecosystem,Biogeosciences,,,2014-02-24,2014,11,4,1053-1064,All OA; Gold,Article,"Hofmann, G. E.; Evans, T. G.; Kelly, M. W.; Padilla-Gamiño, J. L.; Blanchette, C. A.; Washburn, L.; Chan, F.; McManus, M. A.; Menge, B. A.; Gaylord, B.; Hill, T. M.; Sanford, E.; LaVigne, M.; Rose, J. M.; Kapsenberg, L.; Dutton, J. M.",,"Hofmann, G. E. (University of California, Santa Barbara); Evans, T. G. (California State University, East Bay); Kelly, M. W. (University of California, Santa Barbara; Louisiana State University); Padilla-Gamiño, J. L. (University of California, Santa Barbara); Blanchette, C. A. (University of California, Santa Barbara); Washburn, L. (University of California, Santa Barbara); Chan, F. (Oregon State University); McManus, M. A. (University of Hawaii at Manoa); Menge, B. A. (Oregon State University); Gaylord, B. (University of California, Davis); Hill, T. M. (University of California, Davis); Sanford, E. (University of California, Davis); LaVigne, M. (University of California, Davis; Bowdoin College); Rose, J. M. (Oregon State University); Kapsenberg, L. (University of California, Santa Barbara); Dutton, J. M. (University of California, Santa Barbara)",49,15,,8.86,https://www.biogeosciences.net/11/1053/2014/bg-11-1053-2014.pdf,https://app.dimensions.ai/details/publication/pub.1033184931,0602 Ecology; 0405 Oceanography; 0501 Ecological Applications; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,0501 Ecological Applications,06 Biological Sciences,04 Earth Sciences
25,100,pub.1039711372,10.1002/jgrc.20400,,,Poleward propagating subinertial alongshore surface currents off the U.S. West Coast,Journal of Geophysical Research Oceans,,,2013-12,2013,118,12,6791-6806,All OA; Gold,Article,"Kim, Sung Yong; Cornuelle, Bruce D.; Terrill, Eric J.; Jones, Burt; Washburn, Libe; Moline, Mark A.; Paduan, Jeffrey D.; Garfield, Newell; Largier, John L.; Crawford, Greg; Kosro, P. Michael",,"Kim, Sung Yong (); Cornuelle, Bruce D. (); Terrill, Eric J. (Scripps Institution of Oceanography); Jones, Burt (King Abdullah University of Science and Technology); Washburn, Libe (University of California, Santa Barbara); Moline, Mark A. (University of Delaware); Paduan, Jeffrey D. (); Garfield, Newell (San Francisco State University); Largier, John L. (University of California, Davis); Crawford, Greg (Vancouver Island University); Kosro, P. Michael (Oregon State University)",10,3,,1.21,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/jgrc.20400,https://app.dimensions.ai/details/publication/pub.1039711372,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
