,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Stephane Maritorena. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,400,pub.1065129047,10.1364/ao.52.002019,23545956,,Generalized ocean color inversion model for retrieving marine inherent optical properties.,Applied Optics,,,2013-04-01,2013,52,10,2019-37,"All OA; Green, Published",Article,"Werdell, P Jeremy; Franz, Bryan A; Bailey, Sean W; Feldman, Gene C; Boss, Emmanuel; Brando, Vittorio E; Dowell, Mark; Hirata, Takafumi; Lavender, Samantha J; Lee, ZhongPing; Loisel, Hubert; Maritorena, Stéphane; Mélin, Fréderic; Moore, Timothy S; Smyth, Timothy J; Antoine, David; Devred, Emmanuel; d'Andon, Odile Hembise Fanton; Mangin, Antoine",,"Werdell, P Jeremy (Goddard Space Flight Center); Franz, Bryan A (); Bailey, Sean W (); Feldman, Gene C (); Boss, Emmanuel (); Brando, Vittorio E (); Dowell, Mark (); Hirata, Takafumi (); Lavender, Samantha J (); Lee, ZhongPing (); Loisel, Hubert (); Maritorena, Stéphane (); Mélin, Fréderic (); Moore, Timothy S (); Smyth, Timothy J (); Antoine, David (); Devred, Emmanuel (); d'Andon, Odile Hembise Fanton (); Mangin, Antoine ()",151,70,2.78,39.41,https://espace.curtin.edu.au/bitstream/20.500.11937/22634/2/200339_96169_Applied.pdf,https://app.dimensions.ai/details/publication/pub.1065129047,09 Engineering; 0205 Optical Physics; 0906 Electrical and Electronic Engineering; 0913 Mechanical Engineering; 02 Physical Sciences,09 Engineering,0205 Optical Physics,0906 Electrical and Electronic Engineering,0913 Mechanical Engineering,02 Physical Sciences
11,100,pub.1095662030,10.1109/igarss.2012.6350979,,,OCEAN COLOUR CLIMATE CHANGE INITIATIVE - APPROACH AND INITIAL RESULTS,,2012 IEEE International Geoscience and Remote Sensing Symposium,,2012-07,2012,1,,2024-2027,Closed,Proceeding,"Sathyendranath, Shubha; Brewin, Bob; Mueller, Dagmar; Doerffer, Roland; Krasemann, Hajo; Melin, Frederic; Brockmann, Carsten; Fomferra, Norman; Peters, Marco; Grant, Mike; Steinmetz, Francois; Deschamps, Pierre-Yves; Swinton, John; Smyth, Tim; Werdell, Jeremy; Franz, Bryan; Maritorena, Stephane; Devred, Emmanuel; Lee, ZhongPing; Hu, Chuanmin; Regner, Peter",,"Sathyendranath, Shubha (); Brewin, Bob (); Mueller, Dagmar (); Doerffer, Roland (); Krasemann, Hajo (); Melin, Frederic (); Brockmann, Carsten (); Fomferra, Norman (); Peters, Marco (); Grant, Mike (); Steinmetz, Francois (); Deschamps, Pierre-Yves (); Swinton, John (); Smyth, Tim (); Werdell, Jeremy (); Franz, Bryan (); Maritorena, Stephane (); Devred, Emmanuel (); Lee, ZhongPing (); Hu, Chuanmin (); Regner, Peter ()",17,9,,1.93,,https://app.dimensions.ai/details/publication/pub.1095662030,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
12,400,pub.1065127954,10.1364/ao.51.003171,22695548,,"Optical assessment of particle size and composition in the Santa Barbara Channel, California.",Applied Optics,,"Absorption; Algorithms; California; Chlorophyll; Chromatography, High Pressure Liquid; Environmental Monitoring; Oceans and Seas; Particle Size; Particulate Matter; Phytoplankton; Scattering, Radiation; Spectrum Analysis; Water; Water Pollutants",2012-06-01,2012,51,16,3171-89,Closed,Article,"Kostadinov, Tihomir Sabinov; Siegel, David A; Maritorena, Stéphane; Guillocheau, Nathalie",,"Kostadinov, Tihomir Sabinov (University of California, Santa Barbara); Siegel, David A (); Maritorena, Stéphane (); Guillocheau, Nathalie ()",19,2,0.19,4.63,,https://app.dimensions.ai/details/publication/pub.1065127954,09 Engineering; 0205 Optical Physics; 0906 Electrical and Electronic Engineering; 0913 Mechanical Engineering; 02 Physical Sciences,09 Engineering,0205 Optical Physics,0906 Electrical and Electronic Engineering,0913 Mechanical Engineering,02 Physical Sciences
13,100,pub.1035318266,10.1029/2011gl047660,,,Bio‐optical footprints created by mesoscale eddies in the Sargasso Sea,Geophysical Research Letters,,,2011-07,2011,38,13,n/a-n/a,"All OA; Green, Published",Article,"Siegel, D. A.; Peterson, P.; McGillicuddy, D. J.; Maritorena, S.; Nelson, N. B.",,"Siegel, D. A. (University of California, Santa Barbara); Peterson, P. (University of California, Santa Barbara); McGillicuddy, D. J. (Woods Hole Oceanographic Institution); Maritorena, S. (University of California, Santa Barbara); Nelson, N. B. (University of California, Santa Barbara)",58,12,,6.27,http://darchive.mblwhoilibrary.org/bitstream/1912/4739/1/2011GL047660.pdf,https://app.dimensions.ai/details/publication/pub.1035318266,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
14,100,pub.1048882172,10.4319/lo.2011.56.3.0955,,,Variability in optical particle backscattering in contrasting bio‐optical oceanic regimes,Limnology and Oceanography,,,2011-05,2011,56,3,955-973,All OA; Gold,Article,"Antoine, David; Siegel, David A.; Kostadinov, Tihomir; Maritorena, Stéphane; Nelson, Norm B.; Gentili, Bernard; Vellucci, Vincenzo; Guillocheau, Nathalie",,"Antoine, David (Sorbonne University); Siegel, David A. (University of California, Santa Barbara); Kostadinov, Tihomir (University of California, Santa Barbara); Maritorena, Stéphane (University of California, Santa Barbara); Nelson, Norm B. (University of California, Santa Barbara); Gentili, Bernard (Sorbonne University); Vellucci, Vincenzo (Sorbonne University); Guillocheau, Nathalie (University of California, Santa Barbara)",69,20,,7.46,http://onlinelibrary.wiley.com/doi/10.4319/lo.2011.56.3.0955/pdf,https://app.dimensions.ai/details/publication/pub.1048882172,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
15,100,pub.1032944313,10.5194/bg-7-3239-2010,,,Global variability of phytoplankton functional types from space: assessment via the particle size distribution,Biogeosciences,,,2010-10-20,2010,7,10,3239-3257,All OA; Gold,Article,"Kostadinov, T. S.; Siegel, D. A.; Maritorena, S.",,"Kostadinov, T. S. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara)",83,20,,,https://www.biogeosciences.net/7/3239/2010/bg-7-3239-2010.pdf,https://app.dimensions.ai/details/publication/pub.1032944313,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
16,100,pub.1031750036,10.1016/j.rse.2010.04.002,,,"Merged satellite ocean color data products using a bio-optical model: Characteristics, benefits and issues",Remote Sensing of Environment,,,2010-08-16,2010,114,8,1791-1804,Closed,Article,"Maritorena, Stéphane; d'Andon, Odile Hembise Fanton; Mangin, Antoine; Siegel, David A.","Maritorena, Stéphane","Maritorena, Stéphane (University of California, Santa Barbara); d'Andon, Odile Hembise Fanton (ACRI Group (France)); Mangin, Antoine (ACRI Group (France)); Siegel, David A. (University of California, Santa Barbara)",201,61,,19.22,,https://app.dimensions.ai/details/publication/pub.1031750036,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
17,100,pub.1006749797,10.5194/bgd-7-4295-2010,,,Global variability of phytoplankton functional types from space: assessment via the particle size distribution,Biogeosciences Discussions,,,2010-06-08,2010,7,3,4295-4340,All OA; Gold,Article,"Kostadinov, T. S.; Siegel, D. A.; Maritorena, S.",,"Kostadinov, T. S. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara)",11,1,,0.96,https://doi.org/10.5194/bgd-7-4295-2010,https://app.dimensions.ai/details/publication/pub.1006749797,0601 Biochemistry and Cell Biology; 04 Earth Sciences; 0499 Other Earth Sciences; 06 Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,0499 Other Earth Sciences,06 Biological Sciences,
18,100,pub.1016076359,10.1029/2009jc005303,,,Retrieval of the particle size distribution from satellite ocean color observations,Journal of Geophysical Research,,,2009,2009,114,C9,,"All OA; Green, Accepted & Submitted",Article,"Kostadinov, T. S.; Siegel, D. A.; Maritorena, S.",,"Kostadinov, T. S. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara)",169,43,,13.72,http://www.icess.ucsb.edu/~davey/MyPapers/2009JC005303.pdf,https://app.dimensions.ai/details/publication/pub.1016076359,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
19,100,pub.1027899150,10.1016/j.dsr2.2008.01.012,,,Satellite and in situ observations of the bio-optical signatures of two mesoscale eddies in the Sargasso Sea,Deep Sea Research Part II Topical Studies in Oceanography,,,2008-05,2008,55,10-13,1218-1230,Closed,Article,"Siegel, D.A.; Court, D.B.; Menzies, D.W.; Peterson, P.; Maritorena, S.; Nelson, N.B.","Siegel, D.A.","Siegel, D.A. (University of California, Santa Barbara); Court, D.B. (University of California, Santa Barbara); Menzies, D.W. (University of California, Santa Barbara); Peterson, P. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara); Nelson, N.B. (University of California, Santa Barbara)",34,9,,2.66,,https://app.dimensions.ai/details/publication/pub.1027899150,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
20,100,pub.1024099869,10.1029/2006jc003526,,,"Ocean color observations and modeling for an optically complex site: Santa Barbara Channel, California, USA",Journal of Geophysical Research,,,2007,2007,112,C7,,All OA; Gold,Article,"Kostadinov, T. S.; Siegel, D. A.; Maritorena, S.; Guillocheau, N.",,"Kostadinov, T. S. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara); Guillocheau, N. (University of California, Santa Barbara)",32,3,,2.62,http://onlinelibrary.wiley.com/doi/10.1029/2006JC003526/pdf,https://app.dimensions.ai/details/publication/pub.1024099869,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
21,100,pub.1022021998,10.1016/j.rse.2004.08.014,,,Consistent merging of satellite ocean color data sets using a bio-optical model,Remote Sensing of Environment,,,2005-02,2005,94,4,429-440,Closed,Article,"Maritorena, Stéphane; Siegel, David A.","Maritorena, Stéphane","Maritorena, Stéphane (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara)",195,37,,13.06,,https://app.dimensions.ai/details/publication/pub.1022021998,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
22,100,pub.1043277281,10.1029/2004jc002527,,,Independence and interdependencies among global ocean color properties: Reassessing the bio‐optical assumption,Journal of Geophysical Research,,,2005,2005,110,C7,,All OA; Gold,Article,"Siegel, David A.; Maritorena, Stéphane; Nelson, Norman B.; Behrenfeld, Michael J.",,"Siegel, David A. (University of California, Santa Barbara); Maritorena, Stéphane (University of California, Santa Barbara); Nelson, Norman B. (University of California, Santa Barbara); Behrenfeld, Michael J. (Goddard Space Flight Center; Oregon State University)",148,18,,9.91,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004JC002527,https://app.dimensions.ai/details/publication/pub.1043277281,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
