,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Tihomir Sabinov Kostadinov. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,100,pub.1017020688,10.1016/j.rse.2015.04.002,,,Snow cover variability in a forest ecotone of the Oregon Cascades via MODIS Terra products,Remote Sensing of Environment,,,2015-07,2015,164,Journal of Climate 27 2014,155-169,All OA; Gold,Article,"Kostadinov, Tihomir Sabinov; Lookingbill, Todd R.","Kostadinov, Tihomir Sabinov","Kostadinov, Tihomir Sabinov (University of Richmond); Lookingbill, Todd R. (University of Richmond)",8,7,,1.81,https://doi.org/10.1016/j.rse.2015.04.002,https://app.dimensions.ai/details/publication/pub.1017020688,09 Engineering; 0909 Geomatic Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0404 Geophysics,09 Engineering,0909 Geomatic Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0404 Geophysics
11,100,pub.1049398234,10.5194/osd-12-573-2015,,,Carbon-based phytoplankton size classes retrieved via ocean color estimates of the particle size distribution,Ocean Science Discussions,,,2015-05-06,2015,12,3,573-644,All OA; Gold,Article,"Kostadinov, T. S.; Milutinović, S.; Marinov, I.; Cabré, A.",,"Kostadinov, T. S. (University of Richmond); Milutinović, S. (University of Pennsylvania); Marinov, I. (University of Pennsylvania); Cabré, A. (University of Pennsylvania)",1,0,,0.16,https://doi.org/10.5194/osd-12-573-2015,https://app.dimensions.ai/details/publication/pub.1049398234,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
12,100,pub.1013632239,10.5194/gmd-7-1051-2014,,,"Earth Orbit v2.1: a 3-D visualization and analysis model of Earth's orbit, Milankovitch cycles and insolation",Geoscientific Model Development Discussions,,,2014-06-03,2014,7,3,1051-1068,All OA; Gold,Article,"Kostadinov, T. S.; Gilb, R.",,"Kostadinov, T. S. (University of Richmond; University of California, Santa Barbara); Gilb, R. (University of Richmond)",4,3,,,https://www.geosci-model-dev.net/7/1051/2014/gmd-7-1051-2014.pdf,https://app.dimensions.ai/details/publication/pub.1013632239,04 Earth Sciences,04 Earth Sciences,,,,
13,100,pub.1049481993,10.5194/gmdd-6-5947-2013,,,"Earth Orbit v2.1: a 3-D visualization and analysis model of Earth's orbit, Milankovitch cycles and insolation",Geoscientific Model Development Discussions,,,2013-11-28,2013,6,4,5947-5980,All OA; Gold,Article,"Kostadinov, T. S.; Gilb, R.",,"Kostadinov, T. S. (University of Richmond; University of California, Santa Barbara); Gilb, R. (University of Richmond)",0,0,,0,https://doi.org/10.5194/gmdd-6-5947-2013,https://app.dimensions.ai/details/publication/pub.1049481993,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,,,
14,400,pub.1065127954,10.1364/ao.51.003171,22695548,,"Optical assessment of particle size and composition in the Santa Barbara Channel, California.",Applied Optics,,"Absorption; Algorithms; California; Chlorophyll; Chromatography, High Pressure Liquid; Environmental Monitoring; Oceans and Seas; Particle Size; Particulate Matter; Phytoplankton; Scattering, Radiation; Spectrum Analysis; Water; Water Pollutants",2012-06-01,2012,51,16,3171-89,Closed,Article,"Kostadinov, Tihomir Sabinov; Siegel, David A; Maritorena, Stéphane; Guillocheau, Nathalie",,"Kostadinov, Tihomir Sabinov (University of California, Santa Barbara); Siegel, David A (); Maritorena, Stéphane (); Guillocheau, Nathalie ()",19,2,0.19,4.63,,https://app.dimensions.ai/details/publication/pub.1065127954,09 Engineering; 0205 Optical Physics; 0906 Electrical and Electronic Engineering; 0913 Mechanical Engineering; 02 Physical Sciences,09 Engineering,0205 Optical Physics,0906 Electrical and Electronic Engineering,0913 Mechanical Engineering,02 Physical Sciences
15,100,pub.1000497968,10.1016/j.dsr.2012.01.008,,,The effect of surface irradiance on the absorption spectrum of chromophoric dissolved organic matter in the global ocean,Deep Sea Research Part I Oceanographic Research Papers,,,2012-05,2012,63,,52-64,Closed,Article,"Swan, Chantal M.; Nelson, Norman B.; Siegel, David A.; Kostadinov, Tihomir S.","Swan, Chantal M.","Swan, Chantal M. (University of California, Santa Barbara); Nelson, Norman B. (University of California, Santa Barbara); Siegel, David A. (University of California, Santa Barbara); Kostadinov, Tihomir S. (University of California, Santa Barbara)",32,8,,3.64,,https://app.dimensions.ai/details/publication/pub.1000497968,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
16,100,pub.1048882172,10.4319/lo.2011.56.3.0955,,,Variability in optical particle backscattering in contrasting bio‐optical oceanic regimes,Limnology and Oceanography,,,2011-05,2011,56,3,955-973,All OA; Gold,Article,"Antoine, David; Siegel, David A.; Kostadinov, Tihomir; Maritorena, Stéphane; Nelson, Norm B.; Gentili, Bernard; Vellucci, Vincenzo; Guillocheau, Nathalie",,"Antoine, David (Sorbonne University); Siegel, David A. (University of California, Santa Barbara); Kostadinov, Tihomir (University of California, Santa Barbara); Maritorena, Stéphane (University of California, Santa Barbara); Nelson, Norm B. (University of California, Santa Barbara); Gentili, Bernard (Sorbonne University); Vellucci, Vincenzo (Sorbonne University); Guillocheau, Nathalie (University of California, Santa Barbara)",69,20,,7.46,http://onlinelibrary.wiley.com/doi/10.4319/lo.2011.56.3.0955/pdf,https://app.dimensions.ai/details/publication/pub.1048882172,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
17,100,pub.1032944313,10.5194/bg-7-3239-2010,,,Global variability of phytoplankton functional types from space: assessment via the particle size distribution,Biogeosciences,,,2010-10-20,2010,7,10,3239-3257,All OA; Gold,Article,"Kostadinov, T. S.; Siegel, D. A.; Maritorena, S.",,"Kostadinov, T. S. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara)",83,20,,,https://www.biogeosciences.net/7/3239/2010/bg-7-3239-2010.pdf,https://app.dimensions.ai/details/publication/pub.1032944313,04 Earth Sciences; 05 Environmental Sciences; 06 Biological Sciences,04 Earth Sciences,05 Environmental Sciences,06 Biological Sciences,,
18,100,pub.1006749797,10.5194/bgd-7-4295-2010,,,Global variability of phytoplankton functional types from space: assessment via the particle size distribution,Biogeosciences Discussions,,,2010-06-08,2010,7,3,4295-4340,All OA; Gold,Article,"Kostadinov, T. S.; Siegel, D. A.; Maritorena, S.",,"Kostadinov, T. S. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara)",11,1,,0.96,https://doi.org/10.5194/bgd-7-4295-2010,https://app.dimensions.ai/details/publication/pub.1006749797,0601 Biochemistry and Cell Biology; 04 Earth Sciences; 0499 Other Earth Sciences; 06 Biological Sciences,0601 Biochemistry and Cell Biology,04 Earth Sciences,0499 Other Earth Sciences,06 Biological Sciences,
19,100,pub.1016076359,10.1029/2009jc005303,,,Retrieval of the particle size distribution from satellite ocean color observations,Journal of Geophysical Research,,,2009,2009,114,C9,,"All OA; Green, Accepted & Submitted",Article,"Kostadinov, T. S.; Siegel, D. A.; Maritorena, S.",,"Kostadinov, T. S. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara)",169,43,,13.72,http://www.icess.ucsb.edu/~davey/MyPapers/2009JC005303.pdf,https://app.dimensions.ai/details/publication/pub.1016076359,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
20,100,pub.1024099869,10.1029/2006jc003526,,,"Ocean color observations and modeling for an optically complex site: Santa Barbara Channel, California, USA",Journal of Geophysical Research,,,2007,2007,112,C7,,All OA; Gold,Article,"Kostadinov, T. S.; Siegel, D. A.; Maritorena, S.; Guillocheau, N.",,"Kostadinov, T. S. (University of California, Santa Barbara); Siegel, D. A. (University of California, Santa Barbara); Maritorena, S. (University of California, Santa Barbara); Guillocheau, N. (University of California, Santa Barbara)",32,3,,2.62,http://onlinelibrary.wiley.com/doi/10.1029/2006JC003526/pdf,https://app.dimensions.ai/details/publication/pub.1024099869,04 Earth Sciences; 0405 Oceanography,04 Earth Sciences,0405 Oceanography,,,
