,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Galen D Stucky. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,500,pub.1090618193,10.1021/jacs.7b04603,28696675,,Fundamentally Addressing Bromine Storage through Reversible Solid-State Confinement in Porous Carbon Electrodes: Design of a High-Performance Dual-Redox Electrochemical Capacitor.,Journal of the American Chemical Society,,,2017-07-26,2017,139,29,9985-9993,Closed,Article,"Yoo, Seung Joon; Evanko, Brian; Wang, Xingfeng; Romelczyk, Monica; Taylor, Aidan; Ji, Xiulei; Boettcher, Shannon W; Stucky, Galen D",,"Yoo, Seung Joon (University of California, Santa Barbara); Evanko, Brian (University of California, Santa Barbara); Wang, Xingfeng (Oregon State University); Romelczyk, Monica (University of California, Santa Barbara); Taylor, Aidan (University of California, Santa Barbara); Ji, Xiulei (Oregon State University); Boettcher, Shannon W (University of Oregon); Stucky, Galen D (University of California, Santa Barbara)",24,24,0.6,6.91,,https://app.dimensions.ai/details/publication/pub.1090618193,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
11,200,pub.1086000388,10.1021/acs.jpcc.7b02637,,,"Properly Structured, Any Metal Can Produce Intense Surface Enhanced Raman Spectra",The Journal of Physical Chemistry C,,,2017-07-06,2017,121,26,14269-14273,Closed,Article,"Kanipe, Katherine N.; Chidester, Philip P. F.; Stucky, Galen D.; Meinhart, Carl D.; Moskovits, Martin",,"Kanipe, Katherine N. (University of California, Santa Barbara); Chidester, Philip P. F. (University of California, Santa Barbara); Stucky, Galen D. (University of California, Santa Barbara); Meinhart, Carl D. (University of California, Santa Barbara); Moskovits, Martin (University of California, Santa Barbara)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1086000388,09 Engineering; 10 Technology; 03 Chemical Sciences,09 Engineering,10 Technology,03 Chemical Sciences,,
12,500,pub.1085710633,10.1002/anie.201702572,28557263,,"Double‐Layered Plasmonic–Magnetic Vesicles by Self‐Assembly of Janus Amphiphilic Gold–Iron(II,III) Oxide Nanoparticles",Angewandte Chemie International Edition,,"Ferric Compounds; Gold; Hydrophobic and Hydrophilic Interactions; Kinetics; Magnetics; Metal Nanoparticles; Microscopy, Electron, Scanning; Microscopy, Electron, Transmission; Polymers; Proton Magnetic Resonance Spectroscopy; Spectrum Analysis, Raman; Surface Plasmon Resonance; Surface Properties; Thermodynamics",2017-07-03,2017,56,28,8110-8114,Closed,Article,"Song, Jibin; Wu, Binghui; Zhou, Zijian; Zhu, Guizhi; Liu, Yijing; Yang, Zhen; Lin, Lisen; Yu, Guocan; Zhang, Fuwu; Zhang, Guofeng; Duan, Hongwei; Stucky, Galen D; Chen, Xiaoyuan",,"Song, Jibin (National Institute of Biomedical Imaging and Bioengineering); Wu, Binghui (University of California, Santa Barbara; Xiamen University); Zhou, Zijian (National Institute of Biomedical Imaging and Bioengineering); Zhu, Guizhi (National Institute of Biomedical Imaging and Bioengineering); Liu, Yijing (National Institute of Biomedical Imaging and Bioengineering); Yang, Zhen (National Institute of Biomedical Imaging and Bioengineering); Lin, Lisen (National Institute of Biomedical Imaging and Bioengineering); Yu, Guocan (National Institute of Biomedical Imaging and Bioengineering); Zhang, Fuwu (National Institute of Biomedical Imaging and Bioengineering); Zhang, Guofeng (National Institute of Biomedical Imaging and Bioengineering); Duan, Hongwei (Nanyang Technological University); Stucky, Galen D (University of California, Santa Barbara; Xiamen University); Chen, Xiaoyuan (National Institute of Biomedical Imaging and Bioengineering)",18,18,1.02,4.85,,https://app.dimensions.ai/details/publication/pub.1085710633,0306 Physical Chemistry (incl. Structural); 03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,
13,100,pub.1085718274,10.1002/ange.201702572,,,"Double‐Layered Plasmonic–Magnetic Vesicles by Self‐Assembly of Janus Amphiphilic Gold–Iron(II,III) Oxide Nanoparticles",Angewandte Chemie,,,2017-07-03,2017,129,28,8222-8226,Closed,Article,"Song, Jibin; Wu, Binghui; Zhou, Zijian; Zhu, Guizhi; Liu, Yijing; Yang, Zhen; Lin, Lisen; Yu, Guocan; Zhang, Fuwu; Zhang, Guofeng; Duan, Hongwei; Stucky, Galen D.; Chen, Xiaoyuan",,"Song, Jibin (National Institute of Biomedical Imaging and Bioengineering); Wu, Binghui (University of California, Santa Cruz; Xiamen University); Zhou, Zijian (National Institute of Biomedical Imaging and Bioengineering); Zhu, Guizhi (National Institute of Biomedical Imaging and Bioengineering); Liu, Yijing (National Institute of Biomedical Imaging and Bioengineering); Yang, Zhen (National Institute of Biomedical Imaging and Bioengineering); Lin, Lisen (National Institute of Biomedical Imaging and Bioengineering); Yu, Guocan (National Institute of Biomedical Imaging and Bioengineering); Zhang, Fuwu (National Institute of Biomedical Imaging and Bioengineering); Zhang, Guofeng (National Institute of Biomedical Imaging and Bioengineering); Duan, Hongwei (Nanyang Technological University); Stucky, Galen D. (University of California, Santa Cruz; Xiamen University); Chen, Xiaoyuan (National Institute of Biomedical Imaging and Bioengineering)",11,11,,3.31,,https://app.dimensions.ai/details/publication/pub.1085718274,09 Engineering; 0306 Physical Chemistry (incl. Structural); 0912 Materials Engineering; 0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences,09 Engineering,0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,0303 Macromolecular and Materials Chemistry,03 Chemical Sciences
14,500,pub.1083739308,10.1038/srep42119,28186112,PMC5301195,Localization of Short-Chain Polyphosphate Enhances its Ability to Clot Flowing Blood Plasma,Scientific Reports,,"Blood Coagulation; Blood Flow Velocity; Blood Platelets; Cells, Cultured; Computer Simulation; Humans; Microfluidics; Models, Cardiovascular; Nanoparticles; Platelet Activation; Polyphosphates; Surface Properties; Thrombin; Thrombosis; Whole Blood Coagulation Time",2017-03,2017,7,1,42119,All OA; Gold,Article,"Yeon, Ju Hun; Mazinani, Nima; Schlappi, Travis S.; Chan, Karen Y. T.; Baylis, James R.; Smith, Stephanie A.; Donovan, Alexander J.; Kudela, Damien; Stucky, Galen D.; Liu, Ying; Morrissey, James H.; Kastrup, Christian J.","Kastrup, Christian J.","Yeon, Ju Hun (University of British Columbia); Mazinani, Nima (University of British Columbia); Schlappi, Travis S. (California Institute of Technology); Chan, Karen Y. T. (University of British Columbia); Baylis, James R. (University of British Columbia); Smith, Stephanie A. (University of Illinois at Urbana Champaign); Donovan, Alexander J. (University of Illinois at Chicago); Kudela, Damien (University of California, Santa Barbara); Stucky, Galen D. (University of California, Santa Barbara); Liu, Ying (University of Illinois at Chicago); Morrissey, James H. (University of Illinois at Urbana Champaign); Kastrup, Christian J. (University of British Columbia)",5,5,0.54,1.79,https://www.nature.com/articles/srep42119.pdf,https://app.dimensions.ai/details/publication/pub.1083739308,0601 Biochemistry and Cell Biology; 0299 Other Physical Sciences; 06 Biological Sciences; 02 Physical Sciences,0601 Biochemistry and Cell Biology,0299 Other Physical Sciences,06 Biological Sciences,02 Physical Sciences,
15,200,pub.1063191402,10.1149/2.0971702jes,,,Reversible Capacity of Conductive Carbon Additives at Low Potentials: Caveats for Testing Alternative Anode Materials for Li-Ion Batteries,Journal of The Electrochemical Society,,,2017,2017,164,2,a327-a333,All OA; Gold,Article,"See, Kimberly A.; Lumley, Margaret A.; Stucky, Galen D.; Grey, Clare P.; Seshadri, Ram",,"See, Kimberly A. (); Lumley, Margaret A. (); Stucky, Galen D. (); Grey, Clare P. (); Seshadri, Ram ()",8,7,,2.4,http://jes.ecsdl.org/content/164/2/A327.full.pdf,https://app.dimensions.ai/details/publication/pub.1063191402,09 Engineering; 0306 Physical Chemistry (incl. Structural); 0912 Materials Engineering; 0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences,09 Engineering,0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,0303 Macromolecular and Materials Chemistry,03 Chemical Sciences
16,100,pub.1091541218,10.1039/c7ta04859a,,,High-performance bioelectrocatalysts created by immobilization of an enzyme into carbon-coated composite membranes with nano-tailored structures,Journal of Materials Chemistry A,,,2017,2017,5,38,20244-20251,Closed,Article,"Itoh, Tetsuji; Shibuya, Yuuta; Yamaguchi, Akira; Hoshikawa, Yasuto; Tanaike, Osamu; Tsunoda, Tatsuo; Hanaoka, Taka-aki; Hamakawa, Satoshi; Mizukami, Fujio; Hayashi, Akari; Kyotani, Takashi; Stucky, Galen D.",,"Itoh, Tetsuji (National Institute of Advanced Industrial Science and Technology; University of California System); Shibuya, Yuuta (Ibaraki University); Yamaguchi, Akira (Ibaraki University); Hoshikawa, Yasuto (Tohoku University); Tanaike, Osamu (National Institute of Advanced Industrial Science and Technology); Tsunoda, Tatsuo (National Institute of Advanced Industrial Science and Technology); Hanaoka, Taka-aki (National Institute of Advanced Industrial Science and Technology); Hamakawa, Satoshi (National Institute of Advanced Industrial Science and Technology); Mizukami, Fujio (National Institute of Advanced Industrial Science and Technology); Hayashi, Akari (Kyushu University); Kyotani, Takashi (Tohoku University); Stucky, Galen D. (University of California System)",1,1,,0.29,,https://app.dimensions.ai/details/publication/pub.1091541218,03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,,
17,100,pub.1084137024,10.1039/c7ta01039g,,,Carbon nitride supported AgPd alloy nanocatalysts for dehydrogenation of formic acid under visible light,Journal of Materials Chemistry A,,,2017,2017,5,14,6382-6387,Closed,Article,"Xiao, Liping; Jun, Young-Si; Wu, Binghui; Liu, Deyu; Chuong, Tracy T; Fan, Jie; Stucky, Galen D.",,"Xiao, Liping (Zhejiang University; University of California, Santa Barbara); Jun, Young-Si (University of California, Santa Barbara; Chonnam National University); Wu, Binghui (University of California, Santa Barbara; Xiamen University); Liu, Deyu (University of California, Santa Barbara); Chuong, Tracy T (University of California, Santa Barbara); Fan, Jie (Zhejiang University); Stucky, Galen D. (University of California, Santa Barbara; Xiamen University)",14,13,,3.53,,https://app.dimensions.ai/details/publication/pub.1084137024,03 Chemical Sciences; 0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0303 Macromolecular and Materials Chemistry,,,
18,100,pub.1058969388,10.1088/0022-3727/49/35/355302,,,Semiconducting boron carbides with better charge extraction through the addition of pyridine moieties,Journal of Physics D,,,2016-09-07,2016,49,35,355302,"All OA; Green, Published",Article,"Echeverria, Elena; Dong, Bin; Peterson, George; Silva, Joseph P; Wilson, Ethiyal R; Driver, M Sky; Jun, Young-Si; Stucky, Galen D; Knight, Sean; Hofmann, Tino; Han, Zhong-Kang; Shao, Nan; Gao, Yi; Mei, Wai-Ning; Nastasi, Michael; Dowben, Peter A; Kelber, Jeffry A",,"Echeverria, Elena (University of Nebraska–Lincoln); Dong, Bin (University of North Texas); Peterson, George (University of Nebraska–Lincoln); Silva, Joseph P (University of North Texas); Wilson, Ethiyal R (University of Nebraska–Lincoln); Driver, M Sky (University of North Texas); Jun, Young-Si (University of California, Santa Barbara); Stucky, Galen D (University of California, Santa Barbara); Knight, Sean (University of Nebraska–Lincoln); Hofmann, Tino (University of Nebraska–Lincoln); Han, Zhong-Kang (Shanghai Institute of Applied Physics); Shao, Nan (University of Nebraska at Omaha); Gao, Yi (Shanghai Institute of Applied Physics); Mei, Wai-Ning (University of Nebraska at Omaha); Nastasi, Michael (University of Nebraska–Lincoln); Dowben, Peter A (University of Nebraska–Lincoln); Kelber, Jeffry A (University of North Texas)",10,5,,3.01,http://iopscience.iop.org/article/10.1088/0022-3727/49/35/355302/ampdf,https://app.dimensions.ai/details/publication/pub.1058969388,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
19,400,pub.1055137937,10.1021/acsnano.6b02564,27482725,,Large Format Surface-Enhanced Raman Spectroscopy Substrate Optimized for Enhancement and Uniformity.,ACS Nano,,,2016-08-23,2016,10,8,7566-71,Closed,Article,"Kanipe, Katherine N; Chidester, Philip P F; Stucky, Galen D; Moskovits, Martin",,"Kanipe, Katherine N (University of California, Santa Barbara); Chidester, Philip P F (University of California, Santa Barbara); Stucky, Galen D (University of California, Santa Barbara); Moskovits, Martin (University of California, Santa Barbara)",44,32,3.35,11.05,,https://app.dimensions.ai/details/publication/pub.1055137937,0912 Materials Engineering; 09 Engineering; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0912 Materials Engineering,09 Engineering,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),
20,400,pub.1055875679,10.1021/jacs.6b05038,27442447,,Efficient Charge Storage in Dual-Redox Electrochemical Capacitors through Reversible Counterion-Induced Solid Complexation.,Journal of the American Chemical Society,,,2016-08-03,2016,138,30,9373-6,Closed,Article,"Evanko, Brian; Yoo, Seung Joon; Chun, Sang-Eun; Wang, Xingfeng; Ji, Xiulei; Boettcher, Shannon W; Stucky, Galen D",,"Evanko, Brian (University of California, Santa Barbara); Yoo, Seung Joon (University of California, Santa Barbara); Chun, Sang-Eun (Kyungpook National University); Wang, Xingfeng (Oregon State University); Ji, Xiulei (Oregon State University); Boettcher, Shannon W (University of Oregon); Stucky, Galen D (University of California, Santa Barbara)",28,25,0.5,5.53,,https://app.dimensions.ai/details/publication/pub.1055875679,0303 Macromolecular and Materials Chemistry; 03 Chemical Sciences; 0306 Physical Chemistry (incl. Structural),0303 Macromolecular and Materials Chemistry,03 Chemical Sciences,0306 Physical Chemistry (incl. Structural),,
21,100,pub.1031575562,10.1063/1.4959564,,,"Microplasmas for direct, substrate-independent deposition of nanostructured metal oxides",Applied Physics Letters,,,2016-07-18,2016,109,3,033110,"All OA; Green, Accepted & Submitted",Article,"Mackie, Katherine E.; Pebley, Andrew C.; Butala, Megan M.; Zhang, Jinping; Stucky, Galen D.; Gordon, Michael J.",,"Mackie, Katherine E. (University of California, Santa Barbara); Pebley, Andrew C. (University of California, Santa Barbara); Butala, Megan M. (University of California, Santa Barbara); Zhang, Jinping (Suzhou Institute of Nano-tech and Nano-bionics); Stucky, Galen D. (University of California, Santa Barbara); Gordon, Michael J. (University of California, Santa Barbara)",2,1,,0.6,https://escholarship.org/content/qt3xj5414s/qt3xj5414s.pdf?t=p8ink4,https://app.dimensions.ai/details/publication/pub.1031575562,0912 Materials Engineering; 09 Engineering,0912 Materials Engineering,09 Engineering,,,
22,100,pub.1042873081,10.1002/adom.201600055,,,Plasmon‐Mediated Photocatalytic Decomposition of Formic Acid on Palladium Nanostructures,Advanced Optical Materials,,,2016-07,2016,4,7,1041-1046,Closed,Article,"Wu, Binghui; Lee, Joun; Mubeen, Syed; Jun, Young‐Si; Stucky, Galen D.; Moskovits, Martin",,"Wu, Binghui (University of California, Santa Barbara; Xiamen University); Lee, Joun (University of California, Santa Barbara); Mubeen, Syed (University of California, Santa Barbara); Jun, Young‐Si (University of California, Santa Barbara); Stucky, Galen D. (Xiamen University; University of California, Santa Barbara); Moskovits, Martin (University of California, Santa Barbara)",9,7,,3.12,,https://app.dimensions.ai/details/publication/pub.1042873081,09 Engineering; 0205 Optical Physics; 0912 Materials Engineering; 0906 Electrical and Electronic Engineering; 02 Physical Sciences,09 Engineering,0205 Optical Physics,0912 Materials Engineering,0906 Electrical and Electronic Engineering,02 Physical Sciences
23,200,pub.1055875358,10.1021/jacs.6b02755,27031244,,"Correction to ""Anisotropic Growth of TiO2 onto Gold Nanorods for Plasmon-Enhanced Hydrogen Production from Water Reduction"".",Journal of the American Chemical Society,,,2016-04-13,2016,138,14,4990,Closed,Article,"Wu, Binghui; Liu, Deyu; Mubeen, Syed; Chuong, Tracy T; Moskovits, Martin; Stucky, Galen D",,"Wu, Binghui (); Liu, Deyu (); Mubeen, Syed (); Chuong, Tracy T (); Moskovits, Martin (); Stucky, Galen D ()",3,1,0.1,,,https://app.dimensions.ai/details/publication/pub.1055875358,03 Chemical Sciences,03 Chemical Sciences,,,,
