,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Marion E Wittmann. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
14,100,pub.1107343312,10.7287/peerj.preprints.730v1,,,Estimating relative risk of within-lake aquatic plant invasion using combined measures of recreational boater movement and habitat suitability,PeerJ Preprints,,,2014-12-19,2014,2,,e730v1,"All OA; Green, Published",Preprint,"Wittmann, Marion E; Kendall, Bruce E; Jerde, Christopher L; Anderson, Lars W. J.",,"Wittmann, Marion E (University of Nevada Reno; University of Notre Dame; University of California, Santa Barbara); Kendall, Bruce E (University of California, Santa Barbara); Jerde, Christopher L (University of Nevada Reno); Anderson, Lars W. J. ()",0,0,,0,https://peerj.com/preprints/730v1.pdf,https://app.dimensions.ai/details/publication/pub.1107343312,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
15,400,pub.1021240504,10.1016/j.jenvman.2014.05.011,25108183,,A 3D individual-based aquatic transport model for the assessment of the potential dispersal of planktonic larvae of an invasive bivalve,Journal of Environmental Management,,"Animal Distribution; Animals; Corbicula; Ecosystem; Environmental Monitoring; Lakes; Larva; Models, Biological; Plankton; Population Density; United States; Wind",2014-12,2014,145,Risk Anal. 24 2004,330-340,Closed,Article,"Hoyer, Andrea B.; Wittmann, Marion E.; Chandra, Sudeep; Schladow, S. Geoffrey; Rueda, Francisco J.","Hoyer, Andrea B.","Hoyer, Andrea B. (University of Granada); Wittmann, Marion E. (University of Notre Dame; University of California, Davis); Chandra, Sudeep (University of Nevada Reno); Schladow, S. Geoffrey (University of California, Davis); Rueda, Francisco J. (University of Granada)",8,0,0.3,1.48,,https://app.dimensions.ai/details/publication/pub.1021240504,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
16,400,pub.1001561186,10.1002/ieam.1559,25044130,PMC4285203,Out‐of‐sample validation for structured expert judgment of Asian carp establishment in Lake Erie,Integrated Environmental Assessment and Management,,"Animals; Carps; Introduced Species; Lakes; Models, Statistical; Risk Assessment; Uncertainty",2014-10,2014,10,4,522-528,All OA; Gold,Article,"Cooke, Roger M; Wittmann, Marion E; Lodge, David M; Rothlisberger, John D; Rutherford, Edward S; Zhang, Hongyan; Mason, Doran M",,"Cooke, Roger M (Resources For The Future; University of Strathclyde; Delft University of Technology); Wittmann, Marion E (University of Notre Dame); Lodge, David M (University of Notre Dame); Rothlisberger, John D (); Rutherford, Edward S (University of Michigan); Zhang, Hongyan (University of Michigan); Mason, Doran M (Great Lakes Environmental Research Laboratory)",20,6,0.39,,https://setac.onlinelibrary.wiley.com/doi/pdf/10.1002/ieam.1559,https://app.dimensions.ai/details/publication/pub.1001561186,03 Chemical Sciences; 05 Environmental Sciences; 06 Biological Sciences,03 Chemical Sciences,05 Environmental Sciences,06 Biological Sciences,,
17,100,pub.1048700850,10.1139/cjfas-2013-0537,,,"Grass carp in the Great Lakes region: establishment potential, expert perceptions, and re-evaluation of experimental evidence of ecological impact",Canadian Journal of Fisheries and Aquatic Sciences,,,2014-07,2014,71,7,992-999,Closed,Article,"Wittmann, Marion E.; Jerde, Christopher L.; Howeth, Jennifer G.; Maher, Sean P.; Deines, Andrew M.; Jenkins, Jill A.; Whitledge, Gregory W.; Burbank, Sarah R.; Chadderton, William L.; Mahon, Andrew R.; Tyson, Jeffrey T.; Gantz, Crysta A.; Keller, Reuben P.; Drake, John M.; Lodge, David M.",,"Wittmann, Marion E. (University of Notre Dame); Jerde, Christopher L. (University of Notre Dame); Howeth, Jennifer G. (University of Alabama, Tuscaloosa); Maher, Sean P. (University of Georgia; University of California, Berkeley); Deines, Andrew M. (University of Notre Dame); Jenkins, Jill A. (); Whitledge, Gregory W. (Southern Illinois University System); Burbank, Sarah R. (University of Notre Dame); Chadderton, William L. (The Nature Conservancy); Mahon, Andrew R. (Central Michigan University); Tyson, Jeffrey T. (Ohio Department of Natural Resources); Gantz, Crysta A. (University of Notre Dame); Keller, Reuben P. (Loyola University Chicago); Drake, John M. (University of Georgia); Lodge, David M. (University of Notre Dame)",26,7,,4.24,,https://app.dimensions.ai/details/publication/pub.1048700850,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
18,400,pub.1006479360,10.1002/ece3.1120,25360288,PMC4203300,Geographic selection bias of occurrence data influences transferability of invasive Hydrilla verticillata distribution models,Ecology and Evolution,,,2014-06,2014,4,12,2584-2593,All OA; Gold,Article,"Barnes, Matthew A.; Jerde, Christopher L.; Wittmann, Marion E.; Chadderton, W. Lindsay; Ding, Jianqing; Zhang, Jialiang; Purcell, Matthew; Budhathoki, Milan; Lodge, David M.",,"Barnes, Matthew A. (University of Notre Dame); Jerde, Christopher L. (University of Notre Dame); Wittmann, Marion E. (University of Notre Dame); Chadderton, W. Lindsay (); Ding, Jianqing (Chinese Academy of Sciences); Zhang, Jialiang (Chinese Academy of Sciences); Purcell, Matthew (); Budhathoki, Milan (University of Notre Dame); Lodge, David M. (University of Notre Dame)",16,8,0.46,2.61,https://doi.org/10.1002/ece3.1120,https://app.dimensions.ai/details/publication/pub.1006479360,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
19,400,pub.1020995687,10.1021/es4043098,24467555,PMC3963436,Using structured expert judgment to assess invasive species prevention: Asian carp and the Mississippi-Great Lakes hydrologic connection.,Environmental Science & Technology,,Animals; Calibration; Carps; Geography; Hydrology; Introduced Species; Judgment; Lakes; Mississippi; Rivers,2014-02-18,2014,48,4,2150-6,All OA; Gold,Article,"Wittmann, Marion E; Cooke, Roger M; Rothlisberger, John D; Lodge, David M",,"Wittmann, Marion E (University of Notre Dame); Cooke, Roger M (); Rothlisberger, John D (); Lodge, David M ()",20,5,0.32,3.69,https://doi.org/10.1021/es4043098,https://app.dimensions.ai/details/publication/pub.1020995687,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
20,100,pub.1020607199,10.1899/12-064.1,,,Four decades of change: dramatic loss of zoobenthos in an oligotrophic lake exhibiting gradual eutrophication,Freshwater Science,,,2013-09,2013,32,3,692-705,"All OA; Green, Published",Article,"Caires, Andrea M.; Chandra, Sudeep; Hayford, Barbara L.; Wittmann, Marion E.",,"Caires, Andrea M. (University of Nevada Reno); Chandra, Sudeep (University of Nevada Reno); Hayford, Barbara L. (Wayne State College); Wittmann, Marion E. (University of Notre Dame)",8,1,,1.31,http://www.bioone.org/doi/pdf/10.3398/042.010.0101,https://app.dimensions.ai/details/publication/pub.1020607199,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
21,100,pub.1035475653,10.1002/9781118470596.ch15,,,Our New Biological Future? The Influence of Climate Change on the Vulnerability of Lakes to Invasion by Non‐Native Species,,Climatic Change and Global Warming of Inland Waters,,2012-12-14,2012,,,255-270,Closed,Chapter,"Wittmann, Marion E.; Ngai, Ka Lai; Chandra, Sudeep",,"Wittmann, Marion E. (University of Notre Dame); Ngai, Ka Lai (University of Nevada Reno); Chandra, Sudeep (University of Nevada Reno)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1035475653,0602 Ecology; 0699 Other Biological Sciences; 0501 Ecological Applications; 06 Biological Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0699 Other Biological Sciences,0501 Ecological Applications,06 Biological Sciences,05 Environmental Sciences
22,100,pub.1005765110,10.1146/annurev-ecolsys-111511-103919,,,Global Introductions of Crayfishes: Evaluating the Impact of Species Invasions on Ecosystem Services,Annual Review of Ecology Evolution and Systematics,,,2012-12,2012,43,1,449-472,Closed,Article,"Lodge, David M.; Deines, Andrew; Gherardi, Francesca; Yeo, Darren C.J.; Arcella, Tracy; Baldridge, Ashley K.; Barnes, Matthew A.; Chadderton, W. Lindsay; Feder, Jeffrey L.; Gantz, Crysta A.; Howard, Geoffrey W.; Jerde, Christopher L.; Peters, Brett W.; Peters, Jody A.; Sargent, Lindsey W.; Turner, Cameron R.; Wittmann, Marion E.; Zeng, Yiwen",,"Lodge, David M. (University of Notre Dame); Deines, Andrew (University of Notre Dame); Gherardi, Francesca (University of Florence); Yeo, Darren C.J. (National University of Singapore); Arcella, Tracy (University of Notre Dame); Baldridge, Ashley K. (University of Notre Dame); Barnes, Matthew A. (University of Notre Dame); Chadderton, W. Lindsay (The Nature Conservancy); Feder, Jeffrey L. (University of Notre Dame); Gantz, Crysta A. (University of Notre Dame); Howard, Geoffrey W. (); Jerde, Christopher L. (University of Notre Dame); Peters, Brett W. (); Peters, Jody A. (University of Notre Dame); Sargent, Lindsey W. (University of Notre Dame); Turner, Cameron R. (University of Notre Dame); Wittmann, Marion E. (University of Notre Dame); Zeng, Yiwen (National University of Singapore)",108,35,,15.43,,https://app.dimensions.ai/details/publication/pub.1005765110,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
23,100,pub.1008553450,10.1002/aqc.2251,,,"Harvesting an invasive bivalve in a large natural lake: species recovery and impacts on native benthic macroinvertebrate community structure in Lake Tahoe, USA",Aquatic Conservation Marine and Freshwater Ecosystems,,,2012-07,2012,22,5,588-597,Closed,Article,"Wittmann, Marion E.; Chandra, Sudeep; Reuter, John E.; Caires, Andrea; Schladow, S. Geoffrey; Denton, Marianne",,"Wittmann, Marion E. (University of California, Davis); Chandra, Sudeep (University of Nevada Reno); Reuter, John E. (University of California, Davis); Caires, Andrea (University of Nevada Reno); Schladow, S. Geoffrey (University of California, Davis); Denton, Marianne (University of Nevada Reno)",2,0,,0.29,,https://app.dimensions.ai/details/publication/pub.1008553450,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
24,400,pub.1046789916,10.1007/s00267-012-9850-5,22476670,,"The Control of an Invasive Bivalve, Corbicula fluminea, Using Gas Impermeable Benthic Barriers in a Large Natural Lake",Environmental Management,,Animals; Biological Oxygen Demand Analysis; Conservation of Natural Resources; Corbicula; Elastomers; Environmental Monitoring; Ethylenes; Hypoxia; Lakes; Oxygen; Permeability; Population Density; Seasons; Surface Properties; United States,2012-06,2012,49,6,1163-1173,Closed,Article,"Wittmann, Marion E.; Chandra, Sudeep; Reuter, John E.; Schladow, S. Geoffrey; Allen, Brant C.; Webb, Katie J.","Wittmann, Marion E.","Wittmann, Marion E. (University of California, Davis; University of Notre Dame); Chandra, Sudeep (University of Nevada Reno); Reuter, John E. (University of California, Davis); Schladow, S. Geoffrey (University of California, Davis); Allen, Brant C. (University of California, Davis); Webb, Katie J. (University of California, Davis)",18,3,0.37,2.55,,https://app.dimensions.ai/details/publication/pub.1046789916,09 Engineering; 06 Biological Sciences; 0602 Ecology; 0907 Environmental Engineering,09 Engineering,06 Biological Sciences,0602 Ecology,0907 Environmental Engineering,
25,100,pub.1006505166,10.2983/035.031.0118,,,Reproduction and Population Structure of Corbicula fluminea in an Oligotrophic Subalpine Lake,Journal of Shellfish Research,,,2012-04,2012,31,1,145-152,Closed,Article,"Denton, Marianne E.; Chandra, Sudeep; Wittmann, Marion E.; Reuter, John; Baguley, Jeffrey G.",,"Denton, Marianne E. (University of Nevada Reno); Chandra, Sudeep (University of Nevada Reno); Wittmann, Marion E. (University of California, Davis; University of Notre Dame); Reuter, John (University of California, Davis); Baguley, Jeffrey G. (University of Nevada Reno)",7,1,,0.84,,https://app.dimensions.ai/details/publication/pub.1006505166,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
