,Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year,Scholar_Identifier,Scholar_Url,Scholar_Keywords
33,Eilon,Zachary Eilon, UCSB,Zachary Eilon UCSB,Earth Science,"Seismology, Tectonics, Inverse Theory",,2016.0,,zFDhf6MAAAAJ,https://scholar.google.com/citations?user=zFDhf6MAAAAJ&view_op=list_works&sortby=pubdate,"['Geophysics', 'Seismology', 'Tectonics', 'Inverse Theory', 'Earth Science']"
34,Gans,Phil Gans, UCSB,Phil Gans UCSB,Earth Science,"Structural geology, tectonics",Tectonics,,,m7tnZn8AAAAJ,https://scholar.google.com/citations?user=m7tnZn8AAAAJ&view_op=list_works&sortby=pubdate,"['Structural Geology', 'Tectonics', 'Volcanology', 'Geochronology', 'Ore Deposits']"
35,Hacker,Bradley Hacker, UCSB,Bradley Hacker UCSB,Earth Science,"Metamorphic Petrology, Tectonics, Geochronology and Petrophysics",Tectonics; Petrology,,2020.0,KSvF4pEAAAAJ,https://scholar.google.com/citations?user=KSvF4pEAAAAJ&view_op=list_works&sortby=pubdate,"['geochronology', 'metamorphic petrology', 'tectonics', 'petrochronology', 'metamorphic geology']"
36,Jackson,Matt Jackson, UCSB,Matt Jackson UCSB,Earth Science,Geochemistry and Igneous Petrology,Volcanology; Petrology; Marine Geology,2013.0,,dDNiAwEAAAAJ,https://scholar.google.com/citations?user=dDNiAwEAAAAJ&view_op=list_works&sortby=pubdate,"['Geochemistry', 'Geology']"
37,Ji,Chen Ji UCSB, UCSB,Chen Ji UCSB UCSB,Earth Science,Seismology,Geophysics,,,M0ZSdNUAAAAJ,https://scholar.google.com/citations?user=M0ZSdNUAAAAJ&view_op=list_works&sortby=pubdate,['Earthquake Seismology']
38,Keller,Edward Keller, UCSB,Edward Keller UCSB,Earth Science,"Earth Surface Processes, Environmental Geology",Geomorphology; Hydrology,,2020.0,MlDIrsgAAAAJ,https://scholar.google.com/citations?user=MlDIrsgAAAAJ&view_op=list_works&sortby=pubdate,"['Earth Surface Processes', 'Environmental Geology']"
39,Lea,David Lea, UCSB,David Lea UCSB,Earth Science,"Paleoclimatology, Paleoceanography, Marine Geochemistry, Global Climate Change",Paleoclimate;  Chemical oceanography,,,lto7l1kAAAAJ,https://scholar.google.com/citations?user=lto7l1kAAAAJ&view_op=list_works&sortby=pubdate,"['Climate Change', 'Paleoceanography', 'Geochemistry', 'Paleoclimate']"
40,Lisiecki,Lorraine Lisiecki, UCSB,Lorraine Lisiecki UCSB,Earth Science,Paleoclimate and Paleoceanography,Paleoclimate,,,McNJSi4AAAAJ,https://scholar.google.com/citations?user=McNJSi4AAAAJ&view_op=list_works&sortby=pubdate,"['paleoclimate', 'paleoceanography', 'glacial cycles']"
41,Macdonald,Francis A. Macdonald, UCSB,Francis A. Macdonald UCSB,Earth Science,Geology,"Tectonics, Paleobiology",2018.0,,fLRRRrcAAAAJ,https://scholar.google.com/citations?user=fLRRRrcAAAAJ&view_op=list_works&sortby=pubdate,['Geology']
42,Matoza,Robin Matoza, UCSB,Robin Matoza UCSB,Earth Science,"Geophysics, seismology, and acoustics",Geophysics,2015.0,,HNKEI3MAAAAJ,https://scholar.google.com/citations?user=HNKEI3MAAAAJ&view_op=list_works&sortby=pubdate,"['Geophysics', 'Volcanology', 'Seismology', 'Acoustics', 'Infrasound']"
43,Morell,Kristin Morell UCSB, UCSB,Kristin Morell UCSB UCSB,Earth Science,Tectonic geomorphology and active tectonics.,"Tectonics, Geophysics",2017.0,,d5_TSk8AAAAJ,https://scholar.google.com/citations?user=d5_TSk8AAAAJ&view_op=list_works&sortby=pubdate,"['Geology', 'Active tectonics', 'tectonic geomorphology', 'landscape evolution']"
44,Porter,Susannah Porter, UCSB,Susannah Porter UCSB,Earth Science,"Precambrian and Cambrian Paleobiology, Early Eukaryote and Animal Evolution",Paleobiology; Evolutionary Ecology,,,O_Fcmwy21PIC,https://scholar.google.com/citations?user=O_Fcmwy21PIC&view_op=list_works&sortby=pubdate,['Paleobiology']
45,Raven,Morgan Raven, UCSB,Morgan Raven UCSB,Earth Science,"Organic Geochemistry, Geobiology",Biogeochemistry,2018.0,,KtVrxIcAAAAJ,https://scholar.google.com/citations?user=KtVrxIcAAAAJ&view_op=list_works&sortby=pubdate,"['Sulfur biogeochemistry', 'carbon cycling', 'geobiology']"
46,Rudnick,Roberta Rudnick, UCSB,Roberta Rudnick UCSB,Earth Science,Geochemistry and Petrology,Petrology,2015.0,,ocbjavsAAAAJ,https://scholar.google.com/citations?user=ocbjavsAAAAJ&view_op=list_works&sortby=pubdate,"['Geology', 'Geochemistry', 'Geophysics', 'Lithium Isotopes']"
47,Simms,Alexander R. Simms, UCSB,Alexander R. Simms UCSB,Earth Science,"Sedimentology - depositional systems response to sea-level, climate, and tectonic changes","Sedimentology, Paleoclimate",,,1pt8QIsAAAAJ,https://scholar.google.com/citations?user=1pt8QIsAAAAJ&view_op=list_works&sortby=pubdate,"['Sedimentology', 'Coastal Geology', 'Quaternary Science', 'Antarctica']"
48,Spera,Frank Spera, UCSB,Frank Spera UCSB,Earth Science,"Magma Dynamics, Properties of Magmas, Volcanology and Geomaterials",Volcanology; Petrology,,2018.0,E3cCohYAAAAJ,https://scholar.google.com/citations?user=E3cCohYAAAAJ&view_op=list_works&sortby=pubdate,"['Geomaterials', 'Magma Transport Phenomena', 'Molecular Dynamics', 'Volcanology']"
49,Tanimoto,Toshiro Tanimoto, UCSB,Toshiro Tanimoto UCSB,Earth Science,"Seismology, Earth structure",Geophysics,,,tHnXe84AAAAJ,https://scholar.google.com/citations?user=tHnXe84AAAAJ&view_op=list_works&sortby=pubdate,"['Geophysics', 'Seismology']"
50,Tiffney,Bruce Tiffney, UCSB,Bruce Tiffney UCSB,Earth Science,"Angiosperm paleo- & neocarpology, land plant evolution, plant-animal interactions in the fossil record",Paleobiology; Evolutionary Ecology,,2020.0,none,none,none
51,Valentine,David Valentine, UCSB,David Valentine UCSB,Earth Science,"Geochemistry, Microbiology, Marine Science",Chemical Oceanography; Environmental Microbiology,,,UvoDtbcAAAAJ,https://scholar.google.com/citations?user=UvoDtbcAAAAJ&view_op=list_works&sortby=pubdate,"['Microbiology', 'Geochemistry', 'Oceanography']"
52,Weldeab,Syee Weldeab, UCSB,Syee Weldeab UCSB,Earth Science,"Paleoclimatology, Paleoceanography",Paleoclimate,,,uLjMZtQAAAAJ,https://scholar.google.com/citations?user=uLjMZtQAAAAJ&view_op=list_works&sortby=pubdate,"['Paleoclimate', 'Paleoceanography']"
53,Wyss,Andy Wyss UCSB, UCSB,Andy Wyss UCSB UCSB,Earth Science,"Vertebrate Paleontology, Mammalian Systematics ",Paleobiology,,,none,none,none
54,Briggs,Cherie Briggs, UCSB,Cherie Briggs UCSB,EEMB,Dynamics of animal populations,Population Ecology,,,q0xdxtsAAAAJ,https://scholar.google.com/citations?user=q0xdxtsAAAAJ&view_op=list_works&sortby=pubdate,"['Population Ecology', 'Disease Ecology', 'Systems Biology']"
55,Brzezinski,Mark Brzezinski, UCSB,Mark Brzezinski UCSB,EEMB,Marine phytoplankton -  diatoms,Biological Oceanography,,,NgJPuK8AAAAJ,https://scholar.google.com/citations?user=NgJPuK8AAAAJ&view_op=list_works&sortby=pubdate,"['Biological Oceanography', 'Marine Silicon Cycling']"
56,Burkepile,Deron Burkepile, UCSB,Deron Burkepile UCSB,EEMB,Coral Reef Ecology and Community Ecology,Marine Ecology and Community Ecology,2016.0,,lOhiBXAAAAAJ,https://scholar.google.com/citations?user=lOhiBXAAAAAJ&view_op=list_works&sortby=pubdate,"['Community ecology', 'marine ecology', 'plant-herbivore interactions', 'biodiversity', 'coral reefs']"
57,Carlson,Craig Carlson, UCSB,Craig Carlson UCSB,EEMB,"Biological oceanography – Marine microbial ecology, bacterioplankton, biogeochemical cycling",Biological Oceanography; EnvMicrobiology,,,4Td-fJUAAAAJ,https://scholar.google.com/citations?user=4Td-fJUAAAAJ&view_op=list_works&sortby=pubdate,"['oceanography', 'Biological oceanography', 'marine microbial ecology', 'biogeochemistry', 'microbial oceanography']"
58,Collins,Peter Collins UCSB, UCSB,Peter Collins UCSB UCSB,EEMB,Mechanisms regulating reproduction and development in vertebrate animal models,Physiology/Development,,2017.0,none,none,none
59,Eliason,Erika Eliason, UCSB,Erika Eliason UCSB,EEMB,Fish Physiology,"Marine Ecology, Ecophysiology",2016.0,,wPlGMRoAAAAJ,https://scholar.google.com/citations?user=wPlGMRoAAAAJ&view_op=list_works&sortby=pubdate,"['Comparative Physiology', 'Environmental and Evolutionary Physiology', 'Conservation Biology', 'Climate Change', 'Fish Physiology']"
60,Hodges,Scott Hodges, UCSB,Scott Hodges UCSB,EEMB,Genetic basis of adaptation and speciation,Evolution; Genetics,,,1Fr1vakAAAAJ,https://scholar.google.com/citations?user=1Fr1vakAAAAJ&view_op=list_works&sortby=pubdate,"['Evolution', 'Ecology']"
61,Hofmann,Gretchen Hofmann, UCSB,Gretchen Hofmann UCSB,EEMB,"Ecological physiology of marine organisms, in particular kelp, invertebrates and perciform fishes",Ecophysiology; Marine Ecology,,,-PWYRzIAAAAJ,https://scholar.google.com/citations?user=-PWYRzIAAAAJ&view_op=list_works&sortby=pubdate,"['Global Change Biology', 'Ecological Physiology', 'Invertebrate Zoology', 'Environmental Genomics', 'Marine Ecology']"
62,Holbrook,Sally J. Holbrook, UCSB,Sally J. Holbrook UCSB,EEMB,"Population dynamics and species interactions of marine species, mainly reef fishes",Community & Population Ecology; Marine Ecology,,2025.0,LtUBsnwAAAAJ,https://scholar.google.com/citations?user=LtUBsnwAAAAJ&view_op=list_works&sortby=pubdate,"['Ecology', 'Population Biology', 'Community Ecology', 'Marine Ecology']"
63,Iglesias-Rodriguez,Debora Iglesias-Rodriguez, UCSB,Debora Iglesias-Rodriguez UCSB,EEMB,Biological Oceanography; Diversity and function in marine phytoplankton ,Biological Oceanography; Ecophysiology,2013.0,,none,none,none
64,J. Mazer,Susan Mazer, UCSB,Susan Mazer UCSB,EEMB,Evolutionary biology,Evolution; Genetics,,,qbamjFYAAAAJ,https://scholar.google.com/citations?user=qbamjFYAAAAJ&view_op=list_works&sortby=pubdate,"['Adaptive evolution', 'Quantitative genetics', 'Phenological responses to climate change', 'Phenotypic plasticity and G x E', 'Life histo']"
65,Kuris,Armand Kuris, UCSB,Armand Kuris UCSB,EEMB,Infectious processes in ecosystems,Community Ecology; Marine Ecology,,2025.0,Fx4qe20AAAAJ,https://scholar.google.com/citations?user=Fx4qe20AAAAJ&view_op=list_works&sortby=pubdate,"['parasite ecology', 'marine ecology', 'disease ecology', 'crustacean biology', 'biological control']"
66,Levine,Jonathan Levine, UCSB,Jonathan Levine UCSB,EEMB,Niche and neutral controls over plant species coexistence,Community Ecology,,2013.0,none,none,none
67,MacIntyre,Sally MacIntyre, UCSB,Sally MacIntyre UCSB,EEMB,"Physical-biological coupling; physical limnology and oceanography; tropical, temperate and arctic lakes",Limnology/Aquatic Ecosystems; Biological & Physical Oceanography,,2025.0,GPlRHI8AAAAJ,https://scholar.google.com/citations?user=GPlRHI8AAAAJ&view_op=list_works&sortby=pubdate,"['Limnology', 'Oceanography', 'Physical-Biological Coupling']"
68,Mahall,Bruce Mahall, UCSB,Bruce Mahall UCSB,EEMB,Physiological plant ecology; controls of community structures and plant distribution,Ecophysiology; Biogeography/Landscape Ecology,,2013.0,6OtfsT0AAAAJ,https://scholar.google.com/citations?user=6OtfsT0AAAAJ&view_op=list_works&sortby=pubdate,['Plant Ecology']
69,McCauley,Douglas McCauley, UCSB,Douglas McCauley UCSB,EEMB,Ecology of communities and ecosystems in a rapidly changing world,Community Ecology; Conservation; Marine Ecology,2014.0,,HYXM3_sAAAAJ,https://scholar.google.com/citations?user=HYXM3_sAAAAJ&view_op=list_works&sortby=pubdate,['UC Santa Barbara']
70,Moeller,Holly Moeller, UCSB,Holly Moeller UCSB,EEMB,,,2016.0,,hcuuM8gAAAAJ,https://scholar.google.com/citations?user=hcuuM8gAAAAJ&view_op=list_works&sortby=pubdate,"['Theoretical Ecology', 'Acquired Metabolic Potential', 'Bioeconomics', 'Community Ecology', 'Ecosystem Dynamics']"
71,Nisbet,Roger Nisbet, UCSB,Roger Nisbet UCSB,EEMB,Theoretical ecology; population dynamics; dynamic energy budget theory,Population Ecology,,2017.0,l_9TshUAAAAJ,https://scholar.google.com/citations?user=l_9TshUAAAAJ&view_op=list_works&sortby=pubdate,"['Ecology', 'Environmental science']"
72,Oakley,Todd Oakley, UCSB,Todd Oakley UCSB,EEMB,Evolutionary biology: Origins of vision and light interaction genes,Evolution; Genetics,,,kztqPjYAAAAJ,https://scholar.google.com/citations?user=kztqPjYAAAAJ&view_op=list_works&sortby=pubdate,"['Macroevolution', 'Phylogenetics', 'Invertebrate Zoology', 'Bioluminescence', 'Opsin']"
73,Oono,Ryoko Oono, UCSB,Ryoko Oono UCSB,EEMB,Evolutionary ecology focusing on plant-microbe interactions,Evolutionary Ecology; Env Microbiology,2014.0,,GaabAg8AAAAJ,https://scholar.google.com/citations?user=GaabAg8AAAAJ&view_op=list_works&sortby=pubdate,['Ryoko Oono']
74,Proulx,Stephen Proulx, UCSB,Stephen Proulx UCSB,EEMB,Evolution; Genetics; Biometry,Evolution; Genetics,,,5y_dK0oAAAAJ,https://scholar.google.com/citations?user=5y_dK0oAAAAJ&view_op=list_works&sortby=pubdate,"['Evolution', 'population genetics', 'behavioral ecology', 'life history']"
75,Rice,William Rice, UCSB,William Rice UCSB,EEMB,Evolutionary biology,Evolution; Genetics,,2019.0,OtbhlmIAAAAJ,https://scholar.google.com/citations?user=OtbhlmIAAAAJ&view_op=list_works&sortby=pubdate,"['evolution', 'genetics', 'ecology', 'biometry', 'statistics']"
76,Santoro,Alyson Santoro, UCSB,Alyson Santoro UCSB,EEMB,Microbial Oceanography,Biological & Chemical Oceanography,2016.0,,TsZjKA4AAAAJ,https://scholar.google.com/citations?user=TsZjKA4AAAAJ&view_op=list_works&sortby=pubdate,"['marine microbial ecology', 'marine archaea', 'nitrogen cycling', 'oceanography']"
77,Schmitt,Russell Schmitt, UCSB,Russell Schmitt UCSB,EEMB,Abundance and dynamics of populations; species composition and diversity of communities,"Community, Population & Marine Ecology",,2025.0,sFIZSUYAAAAJ,https://scholar.google.com/citations?user=sFIZSUYAAAAJ&view_op=list_works&sortby=pubdate,"['Population & Community Ecology', 'Marine Ecology']"
78,Stier,Adrian Stier, UCSB,Adrian Stier UCSB,EEMB,Marine Coastal Ecologist,Marine Ecology,2016.0,,bxbOvMgAAAAJ,https://scholar.google.com/citations?user=bxbOvMgAAAAJ&view_op=list_works&sortby=pubdate,['Adrian C. Stier']
79,Suarez,Raul Suarez, UCSB,Raul Suarez UCSB,EEMB,Metabolic biochemistry,Physiology/Development,,2018.0,none,none,none
80,Sweet,Samuel Sweet, UCSB,Samuel Sweet UCSB,EEMB,Vertebrate systematics and evolutionary morphology; herpetology,Evolutionary Ecology; Paleobiology,,2025.0,t07iyOAAAAAJ,https://scholar.google.com/citations?user=t07iyOAAAAAJ&view_op=list_works&sortby=pubdate,"['herpetology', 'macroevolution']"
81,Turner,Thomas Turner, UCSB,Thomas Turner UCSB,EEMB,Evolutionary Genetics,Evolution; Genetics,2010.0,,-JrND60AAAAJ,https://scholar.google.com/citations?user=-JrND60AAAAJ&view_op=list_works&sortby=pubdate,['The causes and consequences of genetic …']
82,Wilbanks,Lizzie Wilbanks, UCSB,Lizzie Wilbanks UCSB,EEMB,Bioinformatics,,2016.0,,9Jcd7mcAAAAJ,https://scholar.google.com/citations?user=9Jcd7mcAAAAJ&view_op=list_works&sortby=pubdate,['Marine Microbial Ecology and Evolution']
83,Young,Hillary Young, UCSB,Hillary Young UCSB,EEMB,Community ecology and human disturbance,Community Ecology; Conservation,2014.0,,X-2BjW4AAAAJ,https://scholar.google.com/citations?user=X-2BjW4AAAAJ&view_op=list_works&sortby=pubdate,"['conservation biology', 'ecology', 'community', 'food-web', 'disease ecology']"
84,D’Antonio,Carla D’Antonio, UCSB,Carla D’Antonio UCSB,EEMB / Env Studies,"Plant and ecosystem ecology, invasive species, species affects on ecosystem processes, restoration ecology.",Community Ecology; Ecosystem Ecology; Conservation,,2025.0,qYym6p0AAAAJ,https://scholar.google.com/citations?user=qYym6p0AAAAJ&view_op=list_works&sortby=pubdate,['plant community and ecosystem ecology']
85,Froelich,Halley Froelich, UCSB,Halley Froelich UCSB,EEMB / Env Studies,Aquatic farming and Climate Change,"Food Systems, Marine Ecology, Conservation",2018.0,,072ktIQAAAAJ,https://scholar.google.com/citations?user=072ktIQAAAAJ&view_op=list_works&sortby=pubdate,"['Aquaculture', 'Marine Ecology', 'Fisheries', 'Climate Change', 'Ecophysiology']"
86,Schimel,Josh Schimel, UCSB,Josh Schimel UCSB,EEMB / Env Studies,Ecosystem ecology – Soil ecology; microbial controls of ecosystem processes; terrestrial biogeochemistry,Soils; Ecosystem Ecology; Env Microbiology,,,uzDaznAAAAAJ,https://scholar.google.com/citations?user=uzDaznAAAAAJ&view_op=list_works&sortby=pubdate,"['soil science', 'ecology', 'arctic science', 'microbial ecology']"
87,Alagona,Peter Alagona, UCSB,Peter Alagona UCSB,Environmental Studies,"Environmental history, history of science, wildlife and endangered species, California",Environmental History,,,none,none,none
