Last_Name,Name,School,Researcher,Home_Dept,Areas_Expertise,Sub_Headings,Start_Year,Depart_Year
Melack,John Melack, UCSB,John Melack UCSB,Bren,"Biology, Ecology, Limnology",Limnology/Aquatic Ecosystems; Ecosystem Ecology; Hydrology;,,2021
Plantinga,Andrew Plantinga, UCSB,Andrew Plantinga UCSB,Bren,Natural Resource Economics and Policy,Environmental Economics,2013,
Potoski,Matthew Potoski, UCSB,Matthew Potoski UCSB,Bren,Corporate Environmental Management,Environmental Politics,2011,
Salzman,James Salzman, UCSB,James Salzman UCSB,Bren,Environmental Law,Environmental Law,2015,
Suh,Sangwon Suh, UCSB,Sangwon Suh UCSB,Bren,"Corporate Environmental Management, Industrial Ecology, Life Cycle Assessment",Industrial Ecology,2011,
Tague,"
Christina Tague", UCSB,"
Christina Tague UCSB",Bren,"Hydrology and ecosystem processes, modeling eco-hydrologic systems as altered by land use and climate",Ecosystem Ecology; Hydrology; LULCC,,
Tilman,David Tilman, UCSB,David Tilman UCSB,Bren,"Ecology, Biodiversity, Ecosystem Functioning",Population Ecology; Community Ecology; Conservation,,2022
Stucky,Galen Stucky, UCSB,Galen Stucky UCSB,Chemistry & Biochemistry,"Inorganic Chemistry, Materials Chemistry",Materials,,2022
Archuleta,Ralph Archuleta, UCSB,Ralph Archuleta UCSB,Earth Science,"Seismic Source Studies, Strong Motion Seismology",Geophysics,,2014
Awramik,Stanley Awramik, UCSB,Stanley Awramik UCSB,Earth Science,Pre-Phanerozoic Biogeology,Paleobiology,,2022
Burbank,Douglas Burbank, UCSB,Douglas Burbank UCSB,Earth Science,"Tectonic Geomorphology, Collisional Orogens, Sedimentation and Tectonics, Surface Processes",Geomorphology; Tectonics; Cryospheric Sciences,,2017
Busby,Cathy Busby, UCSB,Cathy Busby UCSB,Earth Science,Sedimentology and Stratigraphy of Active Margins,"Sedimentology, Tectonics; Volcanology",,2014
Clark,Jordan Clark, UCSB,Jordan Clark UCSB,Earth Science,"Hydrogeology, Aqueous Geochemistry",Hydrology; Limnology,,
Cottle,John Cottle, UCSB,John Cottle UCSB,Earth Science,Tectonics and Geochronology,Tectonics ,,
Eilon,Zachary Eilon, UCSB,Zachary Eilon UCSB,Earth Science,"Seismology, Tectonics, Inverse Theory",,2016,
Gans,Phil Gans, UCSB,Phil Gans UCSB,Earth Science,"Structural geology, tectonics",Tectonics,,
Hacker,Bradley Hacker, UCSB,Bradley Hacker UCSB,Earth Science,"Metamorphic Petrology, Tectonics, Geochronology and Petrophysics",Tectonics; Petrology,,2020
Jackson,Matt Jackson, UCSB,Matt Jackson UCSB,Earth Science,Geochemistry and Igneous Petrology,Volcanology; Petrology; Marine Geology,2013,
Ji,Chen Ji UCSB, UCSB,Chen Ji UCSB UCSB,Earth Science,Seismology,Geophysics,,
Keller,Edward Keller, UCSB,Edward Keller UCSB,Earth Science,"Earth Surface Processes, Environmental Geology",Geomorphology; Hydrology,,2020
Lea,David Lea, UCSB,David Lea UCSB,Earth Science,"Paleoclimatology, Paleoceanography, Marine Geochemistry, Global Climate Change",Paleoclimate;  Chemical oceanography,,
Lisiecki,Lorraine Lisiecki, UCSB,Lorraine Lisiecki UCSB,Earth Science,Paleoclimate and Paleoceanography,Paleoclimate,,
Macdonald,Francis A. Macdonald, UCSB,Francis A. Macdonald UCSB,Earth Science,Geology,"Tectonics, Paleobiology",2018,
Matoza,Robin Matoza, UCSB,Robin Matoza UCSB,Earth Science,"Geophysics, seismology, and acoustics",Geophysics,2015,
Morell,Kristin Morell UCSB, UCSB,Kristin Morell UCSB UCSB,Earth Science,Tectonic geomorphology and active tectonics.,"Tectonics, Geophysics",2017,
Porter,Susannah Porter, UCSB,Susannah Porter UCSB,Earth Science,"Precambrian and Cambrian Paleobiology, Early Eukaryote and Animal Evolution",Paleobiology; Evolutionary Ecology,,
Raven,Morgan Raven, UCSB,Morgan Raven UCSB,Earth Science,"Organic Geochemistry, Geobiology",Biogeochemistry,2018,
Rudnick,Roberta Rudnick, UCSB,Roberta Rudnick UCSB,Earth Science,Geochemistry and Petrology,Petrology,2015,
Simms,Alexander R. Simms, UCSB,Alexander R. Simms UCSB,Earth Science,"Sedimentology - depositional systems response to sea-level, climate, and tectonic changes","Sedimentology, Paleoclimate",,
Spera,Frank Spera, UCSB,Frank Spera UCSB,Earth Science,"Magma Dynamics, Properties of Magmas, Volcanology and Geomaterials",Volcanology; Petrology,,2018
Tanimoto,Toshiro Tanimoto, UCSB,Toshiro Tanimoto UCSB,Earth Science,"Seismology, Earth structure",Geophysics,,
Tiffney,Bruce Tiffney, UCSB,Bruce Tiffney UCSB,Earth Science,"Angiosperm paleo- & neocarpology, land plant evolution, plant-animal interactions in the fossil record",Paleobiology; Evolutionary Ecology,,2020
Valentine,David Valentine, UCSB,David Valentine UCSB,Earth Science,"Geochemistry, Microbiology, Marine Science",Chemical Oceanography; Environmental Microbiology,,
Weldeab,Syee Weldeab, UCSB,Syee Weldeab UCSB,Earth Science,"Paleoclimatology, Paleoceanography",Paleoclimate,,
Wyss,Andy Wyss UCSB, UCSB,Andy Wyss UCSB UCSB,Earth Science,"Vertebrate Paleontology, Mammalian Systematics ",Paleobiology,,
Briggs,Cherie Briggs, UCSB,Cherie Briggs UCSB,EEMB,Dynamics of animal populations,Population Ecology,,
Brzezinski,Mark Brzezinski, UCSB,Mark Brzezinski UCSB,EEMB,Marine phytoplankton -  diatoms,Biological Oceanography,,
Burkepile,Deron Burkepile, UCSB,Deron Burkepile UCSB,EEMB,Coral Reef Ecology and Community Ecology,Marine Ecology and Community Ecology,2016,
Carlson,Craig Carlson, UCSB,Craig Carlson UCSB,EEMB,"Biological oceanography – Marine microbial ecology, bacterioplankton, biogeochemical cycling",Biological Oceanography; EnvMicrobiology,,
Collins,Peter Collins UCSB, UCSB,Peter Collins UCSB UCSB,EEMB,Mechanisms regulating reproduction and development in vertebrate animal models,Physiology/Development,,2017
Eliason,Erika Eliason, UCSB,Erika Eliason UCSB,EEMB,Fish Physiology,"Marine Ecology, Ecophysiology",2016,
Hodges,Scott Hodges, UCSB,Scott Hodges UCSB,EEMB,Genetic basis of adaptation and speciation,Evolution; Genetics,,
Hofmann,Gretchen Hofmann, UCSB,Gretchen Hofmann UCSB,EEMB,"Ecological physiology of marine organisms, in particular kelp, invertebrates and perciform fishes",Ecophysiology; Marine Ecology,,
Holbrook,Sally J. Holbrook, UCSB,Sally J. Holbrook UCSB,EEMB,"Population dynamics and species interactions of marine species, mainly reef fishes",Community & Population Ecology; Marine Ecology,,2025
Iglesias-Rodriguez,Debora Iglesias-Rodriguez, UCSB,Debora Iglesias-Rodriguez UCSB,EEMB,Biological Oceanography; Diversity and function in marine phytoplankton ,Biological Oceanography; Ecophysiology,2013,
J. Mazer,Susan Mazer, UCSB,Susan Mazer UCSB,EEMB,Evolutionary biology,Evolution; Genetics,,
Kuris,Armand Kuris, UCSB,Armand Kuris UCSB,EEMB,Infectious processes in ecosystems,Community Ecology; Marine Ecology,,2025
Levine,Jonathan Levine, UCSB,Jonathan Levine UCSB,EEMB,Niche and neutral controls over plant species coexistence,Community Ecology,,2013
MacIntyre,Sally MacIntyre, UCSB,Sally MacIntyre UCSB,EEMB,"Physical-biological coupling; physical limnology and oceanography; tropical, temperate and arctic lakes",Limnology/Aquatic Ecosystems; Biological & Physical Oceanography,,2025
Mahall,Bruce Mahall, UCSB,Bruce Mahall UCSB,EEMB,Physiological plant ecology; controls of community structures and plant distribution,Ecophysiology; Biogeography/Landscape Ecology,,2013
McCauley,Douglas McCauley, UCSB,Douglas McCauley UCSB,EEMB,Ecology of communities and ecosystems in a rapidly changing world,Community Ecology; Conservation; Marine Ecology,2014,
Moeller,Holly Moeller, UCSB,Holly Moeller UCSB,EEMB,,,2016,
Nisbet,Roger Nisbet, UCSB,Roger Nisbet UCSB,EEMB,Theoretical ecology; population dynamics; dynamic energy budget theory,Population Ecology,,2017
Oakley,Todd Oakley, UCSB,Todd Oakley UCSB,EEMB,Evolutionary biology: Origins of vision and light interaction genes,Evolution; Genetics,,
Oono,Ryoko Oono, UCSB,Ryoko Oono UCSB,EEMB,Evolutionary ecology focusing on plant-microbe interactions,Evolutionary Ecology; Env Microbiology,2014,
Proulx,Stephen Proulx, UCSB,Stephen Proulx UCSB,EEMB,Evolution; Genetics; Biometry,Evolution; Genetics,,
Rice,William Rice, UCSB,William Rice UCSB,EEMB,Evolutionary biology,Evolution; Genetics,,2019
Santoro,Alyson Santoro, UCSB,Alyson Santoro UCSB,EEMB,Microbial Oceanography,Biological & Chemical Oceanography,2016,
Schmitt,Russell Schmitt, UCSB,Russell Schmitt UCSB,EEMB,Abundance and dynamics of populations; species composition and diversity of communities,"Community, Population & Marine Ecology",,2025
Stier,Adrian Stier, UCSB,Adrian Stier UCSB,EEMB,Marine Coastal Ecologist,Marine Ecology,2016,
Suarez,Raul Suarez, UCSB,Raul Suarez UCSB,EEMB,Metabolic biochemistry,Physiology/Development,,2018
Sweet,Samuel Sweet, UCSB,Samuel Sweet UCSB,EEMB,Vertebrate systematics and evolutionary morphology; herpetology,Evolutionary Ecology; Paleobiology,,2025
Turner,Thomas Turner, UCSB,Thomas Turner UCSB,EEMB,Evolutionary Genetics,Evolution; Genetics,2010,
Wilbanks,Lizzie Wilbanks, UCSB,Lizzie Wilbanks UCSB,EEMB,Bioinformatics,,2016,
Young,Hillary Young, UCSB,Hillary Young UCSB,EEMB,Community ecology and human disturbance,Community Ecology; Conservation,2014,
D’Antonio,Carla D’Antonio, UCSB,Carla D’Antonio UCSB,EEMB / Env Studies,"Plant and ecosystem ecology, invasive species, species affects on ecosystem processes, restoration ecology.",Community Ecology; Ecosystem Ecology; Conservation,,2025
Froelich,Halley Froelich, UCSB,Halley Froelich UCSB,EEMB / Env Studies,Aquatic farming and Climate Change,"Food Systems, Marine Ecology, Conservation",2018,
Schimel,Josh Schimel, UCSB,Josh Schimel UCSB,EEMB / Env Studies,Ecosystem ecology – Soil ecology; microbial controls of ecosystem processes; terrestrial biogeochemistry,Soils; Ecosystem Ecology; Env Microbiology,,
Alagona,Peter Alagona, UCSB,Peter Alagona UCSB,Environmental Studies,"Environmental history, history of science, wildlife and endangered species, California",Environmental History,,
Cleveland,David Cleveland, UCSB,David Cleveland UCSB,Environmental Studies,"Sustainable, small-scale agrifood systems: plant breeding, climate change, nutrition, food sovereignty.",LULCC; Conservation,,2016
Gray,Summer Gray, UCSB,Summer Gray UCSB,Environmental Studies,"Environment and Society, Infrastructure and Adaptation, Climate Justice Studies","Environmental Justice, Environmental Politics",2017,
Heilmayr,Robert Heilmayr, UCSB,Robert Heilmayr UCSB,Environmental Studies,"Environmental economics, Ecological economics, Land systems science",Environmental Economics; Conservation,2017,
Pellow,David Pellow, UCSB,David Pellow UCSB,Environmental Studies,"Environmental Justice, Social Change",Environmental Politics,2016,
Perrone,Debra Perrone, UCSB,Debra Perrone UCSB,Environmental Studies,"Water Resources Engineering, Groundwater Science and Policy","Hydrology, Coupled Natural Human Systems",2017,
Pulver,Simone Pulver, UCSB,Simone Pulver UCSB,Environmental Studies,"Global environmental politics, organizational theory, and the sociology of development",Environmental Politics,,
Stonich,Susan Stonich, UCSB,Susan Stonich UCSB,Environmental Studies,Ecological anthropology and third world environmental problems,Human Geography,,2014
Wilkinson,Robert Wilkinson, UCSB,Robert Wilkinson UCSB,Environmental Studies,"Environmental policy, water and watershed policy, energy, climate change, urban environment.",Environmental Politics,,2015
Harthorn,Barbara Harthorn, UCSB,Barbara Harthorn UCSB,Feminist Studies,Nanomaterials and Environmental Risk Perception,Environmental Politics,,
Bookhagen,Bodo Bookhagen, UCSB,Bodo Bookhagen UCSB,Geography,"Geomorphology – remote sensing, hydrology, cosmogenic isotopes, climate change",Geomorphology; Hydrology,,2014
Carvalho,Leila Carvalho, UCSB,Leila Carvalho UCSB,Geography,Atmospheric science – Regional and large-scale climate variability; scaling processes in geophysics,Climate; Atmospheric Science,,
Cassels,Susan Cassels, UCSB,Susan Cassels UCSB,Geography,Epidemiology & mathematical modeling; social network analysis; infectious disease epidemiology,Human Geography,2015,
Chadwick,Oliver Chadwick, UCSB,Oliver Chadwick UCSB,Geography,Biogeosciences; soil science,Soils; Geomorphology,,2019
Chrastil,Liz Chrastil, UCSB,Liz Chrastil UCSB,Geography,"Cognitive and Behavioral Geography, Human-Environment Relations",,2017,
Chu,Vena Chu, UCSB,Vena Chu UCSB,Geography,"Remote sensing, Cryosphere, Arctic climate change",,2018,
Church,Richard Church, UCSB,Richard Church UCSB,Geography,"Geographic Information Science, Transportation",Transportation; Human Geography; GIScience,,
Clarke,Keith Clarke, UCSB,Keith Clarke UCSB,Geography,Geographic Information Science; Cartography,GIScience; LULCC; Human Geography,,2021
Couclelis,Helen Couclelis, UCSB,Helen Couclelis UCSB,Geography,"Cognitive and Behavioral Geography, Geographic Information Science, Human-Environment Relations",Human Geography; Cognition,,2015
DeVries,Timothy DeVries, UCSB,Timothy DeVries UCSB,Geography,Global ocean modeling; cycling of carbon and nutrients,"Biological, Chemical & Physical Oceanography; Paleoclimate",2014,
Dickey,Tommy Dickey, UCSB,Tommy Dickey UCSB,Geography,Optical and physical oceanography; ocean instrumentation,Biological & Physical Oceanography,,
Ding,Qinghua Ding, UCSB,Qinghua Ding UCSB,Geography,Climate  Dynamics,,2017,
Ganti,Vamsi Ganti, UCSB,Vamsi Ganti UCSB,Geography,Fluvial Geomorphology,"Hydrology, Geomorphology",2018,
Gautier,Catherine Gautier, UCSB,Catherine Gautier UCSB,Geography,"Climate science – atmospheric science, radiation, climate change, education",Climate; Atmospheric Science,,2013
Goulias,Kostas Goulias, UCSB,Kostas Goulias UCSB,Geography,"Geographic Information Science, Transportation",GIScience; Transportation; Human Geography,,
Janowicz,Krzysztof Janowicz, UCSB,Krzysztof Janowicz UCSB,Geography,Geographic Information Science,GIScience,2011,
Jones,Charles Jones, UCSB,Charles Jones UCSB,Geography,"Atmospheric science – Regional and large-scale climate variability and modeling, air-sea interaction",Climate; Atmospheric Science,2013,
King,Jennifer King, UCSB,Jennifer King UCSB,Geography,Terrestrial biogeochemistry; Soil Science,Soils; Ecosystem Ecology,,
Kuhn,Werner Kuhn, UCSB,Werner Kuhn UCSB,Geography,Geographic Information Science,GIScience,2013,2024
Kyriakidis,Phaedon Kyriakidis, UCSB,Phaedon Kyriakidis UCSB,Geography,Geographic Information Science; geostatistics ,GIScience,,2014
Loaiciga,Hugo Loaiciga, UCSB,Hugo Loaiciga UCSB,Geography,Groundwater hydrology; water resources,Hydrology,,2022
Lopez-Carr,David Lopez-Carr, UCSB,David Lopez-Carr UCSB,Geography,Human-Environment Relations; Demography & migration,Human Geography,,
McFadden,Joseph McFadden, UCSB,Joseph McFadden UCSB,Geography,"Land-use and land-cover change, biosphere-atmosphere interactions, Earth system science, urban ecology","LULCC; Land-atmosphere interaction; Ecosystems Ecology, Ecophysiology",,
Michaelsen,Joel Michaelsen, UCSB,Joel Michaelsen UCSB,Geography,"Climatology, meteorology, and statistics",Climate; Atmospheric Science,,2014
Montello,Dan Montello, UCSB,Dan Montello UCSB,Geography,"Cognitive and Behavioral Geography, Geographic Information Science, Human-Environment Relations",Human Geography; Cognition,,
Murray,Alan Murray, UCSB,Alan Murray UCSB,Geography,GIS/Transport,GIScience; Transportaion; Human Geography,2016,
Nidzieko,Nick Nidzieko, UCSB,Nick Nidzieko UCSB,Geography,Estuarine and Coastal Processes,Physical Oceanography and Marine Ecology,2015,
Raubal,Martin Raubal, UCSB,Martin Raubal UCSB,Geography,"Cognitive Engineering for Geospatial Services, Cognitive semantic interoperability",GIScience,,2014
Roberts,Dar Roberts, UCSB,Dar Roberts UCSB,Geography,"Terrestrial ecosystems – Remote sensing of vegetation, geology, ecology, and ecophysiology",Landscape Ecology; Ecophysiology; LULCC,,
Siegel,David Siegel, UCSB,David Siegel UCSB,Geography,Interdisciplinary marine science; global biogeochemistry; coastal processes; spatial ecology,Biological & Physical Oceanography; Marine & Spatial Ecology,,
Sweeney,Stuart Sweeney, UCSB,Stuart Sweeney UCSB,Geography,Human-Environment Relations; spatial econometrics,Human Geography,,
Washburn,Libe Washburn, UCSB,Libe Washburn UCSB,Geography,"Coastal circulation, mesoscale processes, air-sea interaction, and interdisciplinary oceanography",Physical Oceanography,,2020
Caylor,Kelly Caylor, UCSB,Kelly Caylor UCSB,Geography/Bren/ ERI,Ecohydrology,Hydrology; Ecosystem Ecology; Human-Environment; Food Systems; ,2016,
Carlson,Jean Carlson, UCSB,Jean Carlson UCSB,Physics,"Robustness, tradeoffs, and feedback in complex, highly connected systems.",Geophysics,,
Deshmukh,Ranjit Deshmukh, UCSB,Ranjit Deshmukh UCSB,Environmental Studies,"Energy systems and policy analysis; electricity sector planning, operations, and markets; geospatial analysis of energy resources; energy access in developing regions",Environmental Politics,2019,
Krintz,Chandra Krintz, UCSB,Chandra Krintz UCSB,Computer Science,"Programming systems, cloud computing and services, and the Internet of Things (IoT)",,2001,
O'Malley,Michelle O'Malley, UCSB,Michelle O'Malley UCSB,Chemical Engineering,"Bioengineering
Energy, Efficiency & Sustainability",,2018,
Stevenson,Samantha Stevenson, UCSB,Samantha Stevenson UCSB,Bren School,"Climate Modeling, Drought, Oceanography, Climate Dynamics","Climate; Hydrology, Oceanography",2017,
