,"""About the data: Exported on Oct 31, 2019. Criteria: Researcher is Bruce Haynes Tiffney. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,200,pub.1058789005,10.1086/513479,,,"Metabolic Scaling and the Evolutionary Dynamics of Plant Size, Form, and Diversity: Toward a Synthesis of Ecology, Evolution, and Paleontology",International Journal of Plant Sciences,,,2007-06,2007,168,5,729-749,Closed,Article,"Enquist, Brian J.; Tiffney, Bruce H.; Niklas, Karl J.",,"Enquist, Brian J. (); Tiffney, Bruce H. (); Niklas, Karl J. ()",29,5,,3.94,,https://app.dimensions.ai/details/publication/pub.1058789005,0607 Plant Biology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,06 Biological Sciences,0603 Evolutionary Biology,,
11,100,pub.1031315096,10.3120/0024-9637(2007)54[167:aacftb]2.0.co;2,,,"AN APTIAN CYCADEOID FROM THE BUDDEN CANYON FORMATION, ONO QUADRANGLE, CALIFORNIA",Madroño,,,2007-04,2007,54,2,167-171,Closed,Article,"Going, Barbara M.; Hilton, Robert; Tiffney, Bruce H.",,"Going, Barbara M. (University of California, Davis); Hilton, Robert (Sierra College); Tiffney, Bruce H. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1031315096,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
12,100,pub.1045816429,10.1146/annurev.ecolsys.34.011802.132535,,,VERTEBRATE DISPERSAL OF SEED PLANTS THROUGH TIME,Annual Review of Ecology Evolution and Systematics,,,2004-12-15,2004,35,1,1-29,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. (University of California, Santa Barbara)",111,24,,9.32,,https://app.dimensions.ai/details/publication/pub.1045816429,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
13,400,pub.1058674366,10.1086/382898,15122486,,Similarity of mammalian body size across the taxonomic hierarchy and across space and time.,The American Naturalist,,Animals; Biological Evolution; Body Size; Classification; Geography; Mammals; Regression Analysis,2004-05,2004,163,5,672-91,"All OA; Green, Published",Article,"Smith, Felisa A; Brown, James H; Haskell, John P; Lyons, S Kathleen; Alroy, John; Charnov, Eric L; Dayan, Tamar; Enquist, Brian J; Ernest, S K Morgan; Hadly, Elizabeth A; Jones, Kate E; Kaufman, Dawn M; Marquet, Pablo A; Maurer, Brian A; Niklas, Karl J; Porter, Warren P; Tiffney, Bruce; Willig, Michael R",,"Smith, Felisa A (University of California, Santa Barbara); Brown, James H (); Haskell, John P (); Lyons, S Kathleen (); Alroy, John (); Charnov, Eric L (); Dayan, Tamar (); Enquist, Brian J (); Ernest, S K Morgan (); Hadly, Elizabeth A (); Jones, Kate E (); Kaufman, Dawn M (); Marquet, Pablo A (); Maurer, Brian A (); Niklas, Karl J (); Porter, Warren P (); Tiffney, Bruce (); Willig, Michael R ()",126,12,1.56,10.58,https://digitalrepository.unm.edu/cgi/viewcontent.cgi?article=1081&context=biol_fsp,https://app.dimensions.ai/details/publication/pub.1058674366,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
14,100,pub.1018689713,10.1046/j.1461-0248.2003.00526.x,,,Thermodynamic and metabolic effects on the scaling of production and population energy use,Ecology Letters,,,2003-11,2003,6,11,990-995,Closed,Article,"Ernest, S. K. Morgan; Enquist, Brian J.; Brown, James H.; Charnov, Eric L.; Gillooly, James F.; Van M. Savage; White, Ethan P.; Smith, Felisa A.; Hadly, Elizabeth A.; Haskell, John P.; Lyons, S. Kathleen; Maurer, Brian A.; Niklas, Karl J.; Tiffney, Bruce",,"Ernest, S. K. Morgan (University of New Mexico); Enquist, Brian J. (University of Arizona); Brown, James H. (University of New Mexico); Charnov, Eric L. (University of New Mexico); Gillooly, James F. (University of New Mexico); Van M. Savage (Santa Fe Institute; Los Alamos National Laboratory); White, Ethan P. (University of New Mexico); Smith, Felisa A. (University of New Mexico); Hadly, Elizabeth A. (Stanford University); Haskell, John P. (Utah State University); Lyons, S. Kathleen (University of New Mexico); Maurer, Brian A. (Michigan State University); Niklas, Karl J. (Cornell University); Tiffney, Bruce (University of California, Santa Barbara)",154,20,,11.31,,https://app.dimensions.ai/details/publication/pub.1018689713,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,400,pub.1002084472,10.1038/nature01069,12374977,,General patterns of taxonomic and biomass partitioning in extant and fossil plant communities,Nature,,"Animals; Biological Evolution; Biomass; Ecology; Ecosystem; Fossils; Mammals; Models, Biological; Phylogeny; Plants",2002-10,2002,419,6907,610-613,Closed,Article,"Enquist, Brian J.; Haskell, John P.; Tiffney, Bruce H.","Enquist, Brian J.","Enquist, Brian J. (University of Arizona; Conservation International); Haskell, John P. (Utah State University); Tiffney, Bruce H. (University of California, Santa Barbara)",75,0,0.48,6.67,,https://app.dimensions.ai/details/publication/pub.1002084472,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
16,200,pub.1058624317,10.1086/323880,,,The Use of Geological and Paleontological Evidence in Evaluating Plant Phylogeographic Hypotheses in the Northern Hemisphere Tertiary,International Journal of Plant Sciences,,,2001-11,2001,162,S6,s3-s17,Closed,Article,"Tiffney, Bruce H.; Manchester, Steven R.",,"Tiffney, Bruce H. (); Manchester, Steven R. ()",365,52,,49.68,,https://app.dimensions.ai/details/publication/pub.1058624317,0607 Plant Biology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,06 Biological Sciences,0603 Evolutionary Biology,,
17,200,pub.1058624233,10.1086/323657,,,Integration of Paleobotanical and Neobotanical Data in the Assessment of Phytogeographic History of Holarctic Angiosperm Clades,International Journal of Plant Sciences,,,2001-11,2001,162,S6,s19-s27,Closed,Article,"Manchester, Steven R.; Tiffney, Bruce H.",,"Manchester, Steven R. (); Tiffney, Bruce H. ()",39,7,,5.31,,https://app.dimensions.ai/details/publication/pub.1058624233,0607 Plant Biology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,06 Biological Sciences,0603 Evolutionary Biology,,
18,200,pub.1001796765,10.1666/0022-3360(2001)075<0919:potpsm>2.0.co;2,,,PRESENTATION OF THE PALEONTOLOGICAL SOCIETY MEDAL TO JACK A. WOLFE,Journal of Paleontology,,,2001-07,2001,75,4,919-919,Closed,Article,"TIFFNEY, BRUCE H.",,"TIFFNEY, BRUCE H. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1001796765,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
19,200,pub.1000898901,10.1017/s0022336000017042,,,Presentation of the Paleontological Society Medal to Jack A. Wolfe,Journal of Paleontology,,,2001-07,2001,75,4,919-921,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. (University of California, Santa Barbara)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1000898901,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
20,200,pub.1020077538,10.1016/b0-12-226865-2/00342-4,,,"Plant Communities, Evolution of",,Encyclopedia of Biodiversity,,2001,2001,,,631-644,Closed,Chapter,"Enquist, Brian J.; Haskell, John; Tiffney, Bruce H.; Niklas, Karl J.",,"Enquist, Brian J. (University of California, Santa Barbara); Haskell, John (); Tiffney, Bruce H. (University of California, Santa Barbara); Niklas, Karl J. (Cornell University)",3,1,,,,https://app.dimensions.ai/details/publication/pub.1020077538,,,,,,
21,100,pub.1015291126,10.1016/b978-0-12-384719-5.00201-x,,,"Plant Communities, Evolution of",,Encyclopedia of Biodiversity,,2001,2001,,,65-75,Closed,Chapter,"Enquist, Brian J.; Tiffney, Bruce H.; Haskell, John; Niklas, Karl J.",,"Enquist, Brian J. (University of California, Santa Barbara); Tiffney, Bruce H. (University of California, Santa Barbara); Haskell, John (University of New Mexico); Niklas, Karl J. (Cornell University)",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1015291126,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
22,200,pub.1014157269,10.1016/s0169-5347(97)84101-8,,,"Reptiles and herbivory By Gillian King Chapman & Hall, 1996. $39.00 hbk (vii + 160 pages) ISBN 0 412 46110 2",Trends in Ecology & Evolution,,,1997-05,1997,12,5,204,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1014157269,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
23,400,pub.1069939013,10.2307/2446086,21712204,,"The Flora of the Early Miocene Brandon Lignite, Vermont, USA. VIII. Caldesia (Alismataceae)",American Journal of Botany,,,1997-02,1997,84,2,239-252,All OA; Gold,Article,"Haggard, Kristina K.; Tiffney, Bruce H.",,"Haggard, Kristina K. (University of California, Santa Barbara); Tiffney, Bruce H. (University of California, Santa Barbara)",11,1,0.06,,https://onlinelibrary.wiley.com/doi/pdf/10.2307/2446086,https://app.dimensions.ai/details/publication/pub.1069939013,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
24,100,pub.1043217866,10.1016/0034-6667(96)00104-2,,,Fruits of Mastixioideae (Cornaceae) from the Paleogene of western North America,Review of Palaeobotany and Palynology,,,1996-04,1996,92,1-2,29-54,Closed,Article,"Tiffney, Bruce H.; Haggard, Kristina K.",,"Tiffney, Bruce H. (University of California, Santa Barbara); Haggard, Kristina K. (University of California, Santa Barbara)",26,1,,,,https://app.dimensions.ai/details/publication/pub.1043217866,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,100,pub.1014179803,10.1007/bf01237700,,,"Angiosperm growth habit, dispersal and diversification reconsidered",Evolutionary Ecology,,,1995-01,1995,9,1,93-117,Closed,Article,"Tiffney, Bruce H.; Mazer, Susan J.",,"Tiffney, Bruce H. (University of California, Santa Barbara); Mazer, Susan J. (University of California, Santa Barbara)",79,5,,,,https://app.dimensions.ai/details/publication/pub.1014179803,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
26,100,pub.1019686900,10.1098/rstb.1994.0084,,,The Quantification of Plant Biodiversity through Time,Philosophical Transactions of the Royal Society B Biological Sciences,,,1994-07-29,1994,345,1311,35-44,Closed,Article,"Niklas, Karl J.; Tiffney, Bruce H.",,"Niklas, Karl J. (); Tiffney, Bruce H. ()",33,3,,,,https://app.dimensions.ai/details/publication/pub.1019686900,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
27,100,pub.1022781159,10.1016/0034-6667(94)90081-7,,,"Re-evaluation of the age of the Brandon Lignite (Vermont, USA) based on plant megafossils",Review of Palaeobotany and Palynology,,,1994-07,1994,82,3-4,299-315,Closed,Article,"Tiffney, Bruce H",,"Tiffney, Bruce H (University of California, Santa Barbara)",30,3,,,,https://app.dimensions.ai/details/publication/pub.1022781159,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
28,100,pub.1051807686,10.1007/978-3-642-79378-3_19,,,An Estimate of the Early Tertiary Paleoclimate of the Southern Arctic,,Cenozoic Plants and Climates of the Arctic,,1994,1994,,,267-295,Closed,Chapter,"Tiffney, B. H.",,"Tiffney, B. H. (University of California, Santa Barbara)",10,0,,,,https://app.dimensions.ai/details/publication/pub.1051807686,04 Earth Sciences; 0401 Atmospheric Sciences,04 Earth Sciences,0401 Atmospheric Sciences,,,
29,400,pub.1100744658,10.1002/j.1537-2197.1993.tb13834.x,30139158,,FRUITS AND SEEDS OF THE TERTIARY BRANDON LIGNITE. VII. SARGENTODOXA (SARGENTODOXACEAE),American Journal of Botany,,,1993-05,1993,80,5,517-523,Closed,Article,"Tiffney, Bruce H",,"Tiffney, Bruce H (University of California, Santa Barbara)",11,0,0.06,,,https://app.dimensions.ai/details/publication/pub.1100744658,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
30,200,pub.1069938397,10.2307/2445366,,,Fruits and Seeds of the Tertiary Brandon Lignite. VII. Sargentodoxa (Sargentodoxaceae),American Journal of Botany,,,1993-05,1993,80,5,517,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. ()",16,0,,,,https://app.dimensions.ai/details/publication/pub.1069938397,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
31,200,pub.1032104702,10.1007/bf01581879,,,Book reviews,Origins of Life and Evolution of Biospheres,,,1993-04,1993,23,2,145-152,Closed,Article,"Kasting, James F.; Abell, Paul I.; Tiffney, Bruce H.",,"Kasting, James F. (Pennsylvania State University); Abell, Paul I. (University of Rhode Island); Tiffney, Bruce H. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1032104702,06 Biological Sciences,06 Biological Sciences,,,,
32,200,pub.1070358876,10.2307/3514859,,,The Collection and Study of Dispersed Angiosperm Fruits and Seeds,Palaios,,,1990-12,1990,5,6,499,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. ()",12,0,,,,https://app.dimensions.ai/details/publication/pub.1070358876,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
33,200,pub.1070358875,10.2307/3514858,,,The Importance of the Little Bits & Pieces,Palaios,,,1990-12,1990,5,6,497,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1070358875,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
34,100,pub.1041223888,10.1130/0091-7613(1990)018<0311:ltfafu>2.3.co;2,,,Late Tertiary floral assemblage from upland gravel deposits of the southern Maryland Coastal Plain,Geology,,,1990,1990,18,4,311-314,"All OA; Green, Accepted & Submitted",Article,"McCartan, Lucy; Tiffney, Bruce H.; Wolfe, Jack A.; Ager, Thomas A.; Wing, Scott L.; Sirkin, Leslie A.; Ward, Lauck W.; Brooks, James",,"McCartan, Lucy (United States Geological Survey); Tiffney, Bruce H. (University of California, Santa Barbara); Wolfe, Jack A. (Denver Federal Center); Ager, Thomas A. (United States Geological Survey); Wing, Scott L. (Smithsonian Institution); Sirkin, Leslie A. (Adelphi University); Ward, Lauck W. (Virginia Museum of Natural History); Brooks, James ()",36,2,,,https://repository.si.edu/bitstream/handle/10088/8806/paleo_McCartan_et_al_1990_Geology_Brandywine_flora.pdf,https://app.dimensions.ai/details/publication/pub.1041223888,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
35,100,pub.1021557846,10.1080/08912968909386510,,,Book review,Historical Biology,,,1989-09,1989,2,4,323-330,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1021557846,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
36,100,pub.1117003658,10.1017/s2475263000000830,,,Plant Life in the Age of Dinosaurs,Short Courses in Paleontology,,,1989,1989,2,,34-47,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. ()",1,0,,,,https://app.dimensions.ai/details/publication/pub.1117003658,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
37,100,pub.1029238169,10.5408/0022-1368-36.4.221,,,Conceptual Advances in Paleobotany,Journal of Geoscience Education,,,1988-09,1988,36,4,221-226,All OA; Gold,Article,"Tiffney, Bruce Haynes",,"Tiffney, Bruce Haynes ()",1,0,,,http://nagt-jge.org/doi/pdf/10.5408/0022-1368-36.4.221,https://app.dimensions.ai/details/publication/pub.1029238169,1302 Curriculum and Pedagogy; 13 Education,1302 Curriculum and Pedagogy,13 Education,,,
38,200,pub.1001567742,10.1017/s009483730001215x,,,"The Evolution and Palaeobiology of Land Plants. Barry A. Thomas and Robert A. Spicer Dioscorides Press; Portland, Oregon. 1987. 309 pp. Hardcover, $51.95; paperbound, $28.95. - Fundamentals of Palaeobotany. Sergei V. Meyen Chapman and Hall; London. 1987. 432 pp. Hardcover, $110.00.",Paleobiology,,,1988,1988,14,4,432-437,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1001567742,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
39,100,pub.1027824522,10.1016/0034-6667(87)90045-5,,,The reciprocal interaction of angiosperm evolution and tetrapod herbivory,Review of Palaeobotany and Palynology,,,1987-02,1987,50,1-2,179-210,"All OA; Green, Accepted & Submitted",Article,"Wing, Scott L.; Tiffney, Bruce H.",,"Wing, Scott L. (Smithsonian Institution; Yale University); Tiffney, Bruce H. (Smithsonian Institution; Yale University)",92,6,,,https://repository.si.edu/bitstream/handle/10088/9659/paleo_Wing__Tiffney_1987_RPP.pdf,https://app.dimensions.ai/details/publication/pub.1027824522,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
40,200,pub.1069910360,10.2307/2399119,,,Fruit and Seed Dispersal and the Evolution of the Hamamelidae,Annals of the Missouri Botanical Garden,,,1986,1986,73,2,394,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. ()",54,4,,,,https://app.dimensions.ai/details/publication/pub.1069910360,0607 Plant Biology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,06 Biological Sciences,0603 Evolutionary Biology,,
41,200,pub.1069910298,10.2307/2399037,,,"Seed Size, Dispersal Syndromes, and the Rise of the Angiosperms: Evidence and Hypothesis",Annals of the Missouri Botanical Garden,,,1984,1984,71,2,551,Closed,Article,"Tiffney, Bruce H.",,"Tiffney, Bruce H. ()",175,10,,,,https://app.dimensions.ai/details/publication/pub.1069910298,0607 Plant Biology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,06 Biological Sciences,0603 Evolutionary Biology,,
42,100,pub.1029769865,10.1017/s0094837300008009,,,Character diversification and patterns of evolution in early vascular plants,Paleobiology,,,1984,1984,10,1,34-47,Closed,Article,"Knoll, Andrew H.; Niklas, Karl J.; Gensel, Patricia G.; Tiffney, Bruce H.",,"Knoll, Andrew H. (Harvard University); Niklas, Karl J. (Cornell University); Gensel, Patricia G. (University of North Carolina System); Tiffney, Bruce H. (Yale University)",76,6,,,,https://app.dimensions.ai/details/publication/pub.1029769865,0602 Ecology; 0403 Geology; 0603 Evolutionary Biology; 04 Earth Sciences; 06 Biological Sciences,0602 Ecology,0403 Geology,0603 Evolutionary Biology,04 Earth Sciences,06 Biological Sciences
