,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is William Richard Rice. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
10,400,pub.1036709387,10.1002/bies.201300033,23868698,PMC3840696,Homosexuality via canalized sexual development: A testing protocol for a new epigenetic model,BioEssays,,"Embryonic Stem Cells; Epigenesis, Genetic; Female; Gene Expression; Gene Expression Profiling; Homosexuality; Humans; Karyotype; Male; Models, Genetic; Phenotype; Polymorphism, Genetic; Twins",2013-09,2013,35,9,764-770,"All OA; Green, Published",Article,"Rice, William R.; Friberg, Urban; Gavrilets, Sergey",,"Rice, William R. (University of California, Santa Barbara); Friberg, Urban (Uppsala University); Gavrilets, Sergey (University of Tennessee at Knoxville)",20,6,0.91,2.26,http://europepmc.org/articles/pmc3840696?pdf=render,https://app.dimensions.ai/details/publication/pub.1036709387,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
11,400,pub.1020511096,10.1086/668167,23397798,,Homosexuality as a Consequence of Epigenetically Canalized Sexual Development,The Quarterly Review of Biology,,"DNA Packaging; Epigenesis, Genetic; Female; Gonadal Steroid Hormones; Homosexuality; Humans; Male",2012-12,2012,87,4,343-68,"All OA; Green, Published",Article,"Rice, William R; Friberg, Urban; Gavrilets, Sergey",,"Rice, William R (University of California, Santa Barbara); Friberg, Urban (); Gavrilets, Sergey ()",54,15,1.37,5.08,http://scottbarrykaufman.com/wp-content/uploads/2012/12/Rice-et-al.-2012.pdf,https://app.dimensions.ai/details/publication/pub.1020511096,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
12,400,pub.1058849947,10.1086/665001,22504539,,The evolution of an enigmatic human trait: false beliefs due to pseudo-solution traps.,The American Naturalist,,Biological Evolution; Brain; Cognition; Culture; Humans; Intuition; Optical Illusions; Perception,2012-05,2012,179,5,557-66,Closed,Article,"Rice, William R",,"Rice, William R (University of California, Santa Barbara)",1,1,0,,,https://app.dimensions.ai/details/publication/pub.1058849947,06 Biological Sciences,06 Biological Sciences,,,,
13,400,pub.1030183549,10.1098/rsbl.2011.0608,21831881,PMC3259968,X- and Y-chromosome linked paternal effects on a life-history trait,Biology Letters,,"Analysis of Variance; Animals; Congo; Crosses, Genetic; Drosophila melanogaster; Epigenesis, Genetic; Female; Green Fluorescent Proteins; Inheritance Patterns; Linear Models; Male; Ovum; Species Specificity; Survival Analysis; United States; X Chromosome; Y Chromosome; Zimbabwe",2012-02-23,2012,8,1,71-73,"All OA; Green, Published",Article,"Friberg, Urban; Stewart, Andrew D.; Rice, William R.",,"Friberg, Urban (Uppsala University); Stewart, Andrew D. (University of California, Santa Barbara); Rice, William R. (University of California, Santa Barbara)",13,2,0.43,1.22,http://europepmc.org/articles/pmc3259968?pdf=render,https://app.dimensions.ai/details/publication/pub.1030183549,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
14,400,pub.1015927616,10.1073/pnas.1110841109,22308337,PMC3277537,Partitioning sexual selection into its mating success and fertilization success components,Proceedings of the National Academy of Sciences,,"Animals; Drosophila melanogaster; Female; Fertilization; Male; Regression Analysis; Selection, Genetic; Sexual Behavior, Animal",2012-02-07,2012,109,6,2049-2053,All OA; Gold,Article,"Pischedda, Alison; Rice, William R.",,"Pischedda, Alison (University of California, Santa Barbara); Rice, William R. (University of California, Santa Barbara)",70,11,2.84,8.71,http://www.pnas.org/content/109/6/2049.full.pdf,https://app.dimensions.ai/details/publication/pub.1015927616,0604 Genetics; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
15,400,pub.1028416701,10.1016/j.tig.2011.05.005,21962970,,Are all sex chromosomes created equal?,Trends in Genetics,,"Animals; Evolution, Molecular; Female; Gene Expression; Genetic Drift; Genetic Speciation; Haploidy; Heredity; Humans; Male; Meiosis; Recombination, Genetic; Sex Characteristics; Sex Chromosomes",2011-09,2011,27,9,350-357,Closed,Article,"Bachtrog, Doris; Kirkpatrick, Mark; Mank, Judith E.; McDaniel, Stuart F.; Pires, J. Chris; Rice, William; Valenzuela, Nicole",,"Bachtrog, Doris (University of California, Berkeley); Kirkpatrick, Mark (); Mank, Judith E. (University of Oxford); McDaniel, Stuart F. (University of Florida); Pires, J. Chris (University of Missouri); Rice, William (University of California, Santa Barbara); Valenzuela, Nicole (Iowa State University)",168,47,4.95,20.16,,https://app.dimensions.ai/details/publication/pub.1028416701,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
16,400,pub.1020840698,10.1371/journal.pone.0023508,21858149,PMC3157394,Empirical Evidence for Son-Killing X Chromosomes and the Operation of SA-Zygotic Drive,PLoS ONE,,"Algorithms; Animals; Diploidy; Female; Gametogenesis; Genes, Insect; Haploidy; Inheritance Patterns; Male; Models, Genetic; Selection, Genetic; Sex Factors; Sex Ratio; X Chromosome; Y Chromosome; Zygote",2011-08-17,2011,6,8,e23508,All OA; Gold,Article,"Friberg, Urban; Stewart, Andrew D.; Rice, William R.",,"Friberg, Urban (University of California, Santa Barbara; Uppsala University); Stewart, Andrew D. (University of California, Santa Barbara); Rice, William R. (University of California, Santa Barbara)",7,0,0.17,0.61,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0023508&type=printable,https://app.dimensions.ai/details/publication/pub.1020840698,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
17,400,pub.1017032876,10.1098/rspb.2010.2272,21159677,PMC3107629,Male genotype influences female reproductive investment in Drosophila melanogaster,Proceedings of The Royal Society B Biological Sciences,,"Animals; Drosophila melanogaster; Female; Fertility; Genetic Variation; Genotype; Male; Ovum; Reproduction; Sexual Behavior, Animal",2011-07-22,2011,278,1715,2165-2172,"All OA; Green, Published",Article,"Pischedda, Alison; Stewart, Andrew D.; Little, Monica K.; Rice, William R.",,"Pischedda, Alison (University of California, Santa Barbara); Stewart, Andrew D. (University of California, Santa Barbara); Little, Monica K. (University of California, Santa Barbara); Rice, William R. (University of California, Santa Barbara)",19,6,0.62,2.76,http://europepmc.org/articles/pmc3107629?pdf=render,https://app.dimensions.ai/details/publication/pub.1017032876,11 Medical and Health Sciences; 0602 Ecology; 1114 Paediatrics and Reproductive Medicine; 0604 Genetics; 06 Biological Sciences,11 Medical and Health Sciences,0602 Ecology,1114 Paediatrics and Reproductive Medicine,0604 Genetics,06 Biological Sciences
18,400,pub.1027763832,10.1371/journal.pgen.1001336,21437274,PMC3060078,Population-Based Resequencing of Experimentally Evolved Populations Reveals the Genetic Basis of Body Size Variation in Drosophila melanogaster,PLoS Genetics,,"Alleles; Animals; Body Size; Chromosome Mapping; Drosophila melanogaster; Evolution, Molecular; Female; Gene Frequency; Genetics, Population; Genome-Wide Association Study; Genotype; Male; Phenotype; Polymorphism, Genetic; Sequence Analysis, DNA",2011-03-17,2011,7,3,e1001336,All OA; Gold,Article,"Turner, Thomas L.; Stewart, Andrew D.; Fields, Andrew T.; Rice, William R.; Tarone, Aaron M.",,"Turner, Thomas L. (University of California, Santa Barbara); Stewart, Andrew D. (University of California, Santa Barbara); Fields, Andrew T. (Texas A&M University); Rice, William R. (University of California, Santa Barbara); Tarone, Aaron M. (Texas A&M University)",159,38,4.29,13.82,https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1001336&type=printable,https://app.dimensions.ai/details/publication/pub.1027763832,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
19,400,pub.1007678474,10.1371/journal.pone.0016448,21283625,PMC3025984,Mechanisms Promoting the Long-Term Persistence of a Wolbachia Infection in a Laboratory-Adapted Population of Drosophila melanogaster,PLoS ONE,,Animals; Clinical Laboratory Techniques; Cytoplasm; Drosophila melanogaster; Female; Host Specificity; Insecta; Male; Phenotype; Rickettsiaceae Infections; Symbiosis; Wolbachia,2011-01-24,2011,6,1,e16448,All OA; Gold,Article,"Friberg, Urban; Miller, Paige M.; Stewart, Andrew D.; Rice, William R.",,"Friberg, Urban (Uppsala University; University of California, Santa Barbara); Miller, Paige M. (University of California, Santa Barbara); Stewart, Andrew D. (University of California, Santa Barbara); Rice, William R. (University of California, Santa Barbara)",10,1,0.36,1.28,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0016448&type=printable,https://app.dimensions.ai/details/publication/pub.1007678474,0604 Genetics; 06 Biological Sciences; 0608 Zoology,0604 Genetics,06 Biological Sciences,0608 Zoology,,
20,400,pub.1001642378,10.1098/rspb.2010.0409,20427341,PMC2982045,The evolution of sex-specific grandparental harm,Proceedings of The Royal Society B Biological Sciences,,Biological Evolution; Family; Family Relations; Female; Humans; Inheritance Patterns; Male; Sex Factors; Social Behavior,2010-09-07,2010,277,1694,2727-2735,All OA; Gold,Article,"Rice, William R.; Gavrilets, Sergey; Friberg, Urban",,"Rice, William R. (University of California, Santa Barbara); Gavrilets, Sergey (University of Tennessee at Knoxville); Friberg, Urban (University of California, Santa Barbara; Uppsala University)",19,1,0.57,1.52,http://rspb.royalsocietypublishing.org/content/277/1694/2727.full.pdf,https://app.dimensions.ai/details/publication/pub.1001642378,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
21,400,pub.1007850729,10.1111/j.1558-5646.2010.00997.x,20394654,PMC2930934,REMATING IN DROSOPHILA MELANOGASTER: ARE INDIRECT BENEFITS CONDITION DEPENDENT?,Evolution,,"Animals; Body Size; Drosophila melanogaster; Female; Male; Sexual Behavior, Animal",2010-09,2010,64,9,2767-2774,All OA; Gold,Article,"Long, Tristan A. F.; Pischedda, Alison; Rice, William R.",,"Long, Tristan A. F. (); Pischedda, Alison (); Rice, William R. ()",6,0,0.19,0.48,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1558-5646.2010.00997.x,https://app.dimensions.ai/details/publication/pub.1007850729,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
22,400,pub.1009931534,10.1111/j.1420-9101.2010.01973.x,20345814,,The timing of mating influences reproductive success in Drosophila melanogaster: implications for sexual conflict,Journal of Evolutionary Biology,,"Animals; Biological Evolution; Body Size; Drosophila melanogaster; Female; Fertility; Genetic Fitness; Male; Regression Analysis; Sexual Behavior, Animal; Time Factors",2010-05,2010,23,5,1024-1032,All OA; Gold,Article,"LONG, T. A. F.; PISCHEDDA, A.; NICHOLS, R. V.; RICE, W. R.",,"LONG, T. A. F. (); PISCHEDDA, A. (); NICHOLS, R. V. (); RICE, W. R. ()",15,1,0.47,1.2,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1420-9101.2010.01973.x,https://app.dimensions.ai/details/publication/pub.1009931534,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
23,400,pub.1004229558,10.1093/jhered/esq011,20421329,PMC2859891,Resolving Intralocus Sexual Conflict: Genetic Mechanisms and Time Frame,Journal of Heredity,,"Evolution, Molecular; Genetic Fitness; Genomics; Molecular Biology; Oligonucleotide Array Sequence Analysis; Phenotype; Selection, Genetic; Sex Chromosomes; Sex Factors",2010-03-01,2010,101,suppl_1,s94-s99,All OA; Gold,Article,"Stewart, Andrew D.; Pischedda, Alison; Rice, William R.",,"Stewart, Andrew D. (University of California, Santa Barbara); Pischedda, Alison (University of California, Santa Barbara); Rice, William R. (University of California, Santa Barbara)",58,10,1.83,4.64,https://academic.oup.com/jhered/article-pdf/101/suppl_1/S94/6821554/esq011.pdf,https://app.dimensions.ai/details/publication/pub.1004229558,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
24,400,pub.1026100264,10.1371/journal.pbio.1000254,19997646,PMC2780925,A Cost of Sexual Attractiveness to High-Fitness Females,PLoS Biology,,"Animals; Biological Evolution; Body Size; Courtship; Drosophila melanogaster; Female; Fertility; Genetic Fitness; Genetic Variation; Male; Mating Preference, Animal; Models, Biological; Selection, Genetic; Sex Characteristics; Sex Factors",2009-12-08,2009,7,12,e1000254,All OA; Gold,Article,"Long, Tristan A. F.; Pischedda, Alison; Stewart, Andrew D.; Rice, William R.",,"Long, Tristan A. F. (University of California, Santa Barbara); Pischedda, Alison (University of California, Santa Barbara); Stewart, Andrew D. (University of California, Santa Barbara); Rice, William R. (University of California, Santa Barbara)",81,25,2.17,6.22,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1000254&type=printable,https://app.dimensions.ai/details/publication/pub.1026100264,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
25,400,pub.1006929967,10.1098/rsbl.2009.0061,19364719,PMC2781942,Sexually antagonistic chromosomal cuckoos,Biology Letters,,"Agonistic Behavior; Animals; Behavior, Animal; Biological Evolution; Female; Male; Mutation; Phenotype; Sex Chromosomes; Sex Ratio; Siblings",2009-10-23,2009,5,5,686-688,All OA; Gold,Article,"Rice, William R.; Gavrilets, Sergey; Friberg, Urban",,"Rice, William R. (University of California, Santa Barbara); Gavrilets, Sergey (University of Tennessee at Knoxville); Friberg, Urban (University of California, Santa Barbara)",10,0,0.36,0.77,http://rsbl.royalsocietypublishing.org/content/5/5/686.full.pdf,https://app.dimensions.ai/details/publication/pub.1006929967,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
26,400,pub.1028243779,10.1111/j.1420-9101.2008.01676.x,19210593,,Estimating the heritability of female lifetime fecundity in a locally adapted Drosophila melanogaster population,Journal of Evolutionary Biology,,"Adaptation, Physiological; Animals; Drosophila melanogaster; Female; Fertility; Heredity; Male; Phenotype",2009-03,2009,22,3,637-643,All OA; Gold,Article,"LONG, T. A. F.; MILLER, P. M.; STEWART, A. D.; RICE, W. R.",,"LONG, T. A. F. (University of California, Santa Barbara); MILLER, P. M. (University of California, Santa Barbara); STEWART, A. D. (University of California, Santa Barbara); RICE, W. R. (University of California, Santa Barbara)",16,3,0.49,1.23,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1420-9101.2008.01676.x,https://app.dimensions.ai/details/publication/pub.1028243779,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
27,100,pub.1010285033,10.1007/978-90-481-2770-2_5,,,A Graphical Approach to Lineage Selection Between Clonals and Sexuals,,Lost Sex,,2009,2009,,,75-97,Closed,Chapter,"Rice, William R.; Friberg, Urban","Rice, William R.","Rice, William R. (University of California, Santa Barbara); Friberg, Urban (University of California, Santa Barbara)",7,1,,0.54,,https://app.dimensions.ai/details/publication/pub.1010285033,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
28,400,pub.1053522704,10.1371/journal.pgen.1000313,19096519,PMC2596966,Sexually Antagonistic “Zygotic Drive” of the Sex Chromosomes,PLoS Genetics,,"Animals; Epigenesis, Genetic; Evolution, Molecular; Female; Humans; Male; Models, Genetic; Models, Theoretical; Phenotype; Selection, Genetic; Sex Chromosomes; Zygote",2008-12-19,2008,4,12,e1000313,All OA; Gold,Article,"Rice, William R.; Gavrilets, Sergey; Friberg, Urban",,"Rice, William R. (University of California, Santa Barbara); Gavrilets, Sergey (University of Tennessee at Knoxville); Friberg, Urban (University of California, Santa Barbara)",35,3,0.9,2.52,https://journals.plos.org/plosgenetics/article/file?id=10.1371/journal.pgen.1000313&type=printable,https://app.dimensions.ai/details/publication/pub.1053522704,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
29,400,pub.1021683111,10.1111/j.1420-9101.2008.01593.x,18681915,,Sexual conflict is not counterbalanced by good genes in the laboratory Drosophila melanogaster model system,Journal of Evolutionary Biology,,"Animals; Conflict (Psychology); Crosses, Genetic; Drosophila melanogaster; Female; Fertility; Male; Sexual Behavior, Animal",2008-11,2008,21,6,1808-1813,All OA; Gold,Article,"STEWART, A. D.; HANNES, A. M.; MIRZATUNY, A.; RICE, W. R.",,"STEWART, A. D. (University of California, Santa Barbara); HANNES, A. M. (University of California, Santa Barbara); MIRZATUNY, A. (University of California, Santa Barbara); RICE, W. R. (University of California, Santa Barbara)",21,1,0.65,1.51,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1420-9101.2008.01593.x,https://app.dimensions.ai/details/publication/pub.1021683111,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
30,400,pub.1024487777,10.1534/genetics.107.085563,18689896,PMC2516093,Cut Thy Neighbor: Cyclic Birth and Death of Recombination Hotspots via Genetic Conflict,Genetics,,"Animals; DNA Breaks, Double-Stranded; Evolution, Molecular; Gene Conversion; Humans; Meiosis; Models, Genetic; Models, Theoretical; Recombination, Genetic; Selection, Genetic",2008-08,2008,179,4,2229-2238,All OA; Gold,Article,"Friberg, Urban; Rice, William R",,"Friberg, Urban (University of California, Santa Barbara); Rice, William R ()",10,2,0.17,0.72,http://www.genetics.org/content/179/4/2229.full.pdf,https://app.dimensions.ai/details/publication/pub.1024487777,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
31,400,pub.1021553283,10.1111/j.1420-9101.2008.01542.x,18462311,,Assessing the extent of genome‐wide intralocus sexual conflict via experimentally enforced gender‐limited selection,Journal of Evolutionary Biology,,"Animals; Biological Evolution; Drosophila melanogaster; Female; Genome, Insect; Male; Selection, Genetic; Sex Characteristics",2008-07,2008,21,4,1046-1054,All OA; Gold,Article,"MORROW, E. H.; STEWART, A. D.; RICE, W. R.",,"MORROW, E. H. (University of California, Santa Barbara; Uppsala University); STEWART, A. D. (University of California, Santa Barbara); RICE, W. R. (University of California, Santa Barbara)",41,2,1.15,2.95,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1420-9101.2008.01542.x,https://app.dimensions.ai/details/publication/pub.1021553283,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
32,400,pub.1025756971,10.1093/icb/icn001,21669780,,Effect of a refuge from persistent male courtship in the Drosophila laboratory environment,Integrative and Comparative Biology,,,2008-06-21,2008,48,2,e1-e1,All OA; Gold,Article,"Byrne, Phillip G.; Rice, Gavin R.; Rice, William R.",,"Byrne, Phillip G. (); Rice, Gavin R. (); Rice, William R. ()",13,6,0.22,0.93,https://academic.oup.com/icb/article-pdf/48/2/e1/6179560/icn001.pdf,https://app.dimensions.ai/details/publication/pub.1025756971,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
33,200,pub.1062457342,10.1126/science.1153482,18174425,,Functionally Degenerate--Y Not So?,Science,,"Animals; Biological Evolution; Drosophila melanogaster; Female; Gene Expression Regulation; Gene Silencing; Genes, Insect; Male; Mutation; Selection, Genetic; Y Chromosome",2008-01-04,2008,319,5859,42-43,Closed,Article,"Rice, William R.; Friberg, Urban",,"Rice, William R. (University of California, Santa Barbara); Friberg, Urban (University of California, Santa Barbara)",2,0,0.03,,,https://app.dimensions.ai/details/publication/pub.1062457342,,,,,,
34,400,pub.1045769532,10.1098/rspb.2007.1140,17925279,PMC2293944,Adult locomotory activity mediates intralocus sexual conflict in a laboratory-adapted population of Drosophila melanogaster,Proceedings of The Royal Society B Biological Sciences,,"Adaptation, Physiological; Animals; Drosophila melanogaster; Female; Inheritance Patterns; Male; Motor Activity; Selection, Genetic; Sex Characteristics",2007-12-22,2007,274,1629,3105-3112,"All OA; Green, Published",Article,"Long, Tristan A.F; Rice, William R",,"Long, Tristan A.F (); Rice, William R ()",75,9,1.99,7.03,http://europepmc.org/articles/pmc2293944?pdf=render,https://app.dimensions.ai/details/publication/pub.1045769532,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
35,400,pub.1023896101,10.1186/gb-2007-8-12-232,18177507,PMC2246254,Genomic clues to an ancient asexual scandal,Genome Biology,,Animals; Biological Evolution; Genetic Variation; Meiosis; Rotifera,2007-12,2007,8,12,232,All OA; Gold,Article,"Rice, William R; Friberg, Urban","Rice, William R","Rice, William R (University of California, Santa Barbara); Friberg, Urban (University of California, Santa Barbara)",8,0,0.08,0.54,https://genomebiology.biomedcentral.com/track/pdf/10.1186/gb-2007-8-12-232,https://app.dimensions.ai/details/publication/pub.1023896101,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
